QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,GOLDEN STATE_ACTION,OKLAHOMA CITY_SCORE,GOLDEN STATE_SCORE
1,4:22.0,,A. Iguodala makes 2-pt layup from 2 ft (assist by D. Green),16,22
1,4:02.0,P. George makes 2-pt jump shot from 10 ft,,18,22
1,3:46.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Green),18,24
1,3:36.0,Shooting foul by S. Curry (drawn by D. Schröder),,18,24
1,3:36.0,D. Schröder misses free throw 1 of 2,,18,24
1,3:36.0,Offensive rebound by Team,,18,24
1,3:36.0,D. Schröder makes free throw 2 of 2,,19,24
1,3:20.0,,K. Durant makes 2-pt jump shot from 20 ft (assist by A. Iguodala),19,26
1,3:08.0,Turnover by D. Schröder (bad pass),,19,26
1,2:58.0,,S. Curry misses 2-pt layup from 2 ft,19,26
1,2:56.0,,Offensive rebound by K. Looney,19,26
1,2:53.0,,K. Looney misses 2-pt layup at rim,19,26
1,2:52.0,,Offensive rebound by K. Looney,19,26
1,2:49.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by K. Looney),19,29
1,2:30.0,P. George misses 3-pt jump shot from 26 ft,,19,29
1,2:28.0,,Defensive rebound by D. Green,19,29
1,2:23.0,,Personal foul by J. Grant (drawn by D. Green),19,29
1,2:23.0,R. Felton enters the game for S. Adams,,19,29
1,2:23.0,N. Noel enters the game for D. Schröder,,19,29
1,2:23.0,,Q. Cook enters the game for S. Curry,19,29
1,2:17.0,,Personal foul by P. George (drawn by K. Looney),19,29
1,2:08.0,,K. Durant misses 2-pt jump shot from 21 ft,19,29
1,2:06.0,Defensive rebound by N. Noel,,19,29
1,1:54.0,P. George misses 3-pt jump shot from 25 ft,,19,29
1,1:52.0,,Defensive rebound by A. Iguodala,19,29
1,1:44.0,,Shooting foul by P. George (drawn by K. Durant),19,29
1,1:44.0,,K. Durant makes free throw 1 of 2,19,30
1,1:44.0,,K. Durant makes free throw 2 of 2,19,31
1,1:31.0,R. Felton misses 3-pt jump shot from 28 ft,,19,31
1,1:29.0,,Defensive rebound by A. Iguodala,19,31
1,1:19.0,,K. Durant misses 2-pt jump shot from 4 ft,19,31
1,1:17.0,Defensive rebound by N. Noel,,19,31
1,1:12.0,P. George misses 2-pt jump shot from 6 ft,,19,31
1,1:10.0,Offensive rebound by N. Noel,,19,31
1,1:10.0,N. Noel makes 2-pt dunk from 1 ft,,21,31
1,0:47.0,,D. Green misses 2-pt jump shot from 6 ft (block by J. Grant),21,31
1,0:45.0,Defensive rebound by P. George,,21,31
1,0:41.0,Á. Abrines makes 2-pt layup from 2 ft (assist by P. George),,23,31
1,0:30.0,,Turnover by K. Looney (bad pass),23,31
1,0:00.0,R. Felton misses 3-pt jump shot from 25 ft,,23,31
1,0:00.0,Offensive rebound by Team,,23,31
2,11:40.0,Shooting foul by Q. Cook (drawn by R. Felton),,23,31
2,11:40.0,R. Felton makes free throw 1 of 3,,24,31
2,11:40.0,R. Felton misses free throw 2 of 3,,24,31
2,11:40.0,Offensive rebound by Team,,24,31
2,11:40.0,R. Felton makes free throw 3 of 3,,25,31
2,11:21.0,,K. Thompson makes 2-pt jump shot from 6 ft,25,33
2,11:21.0,,Shooting foul by N. Noel (drawn by K. Thompson),25,33
2,11:21.0,,K. Thompson makes free throw 1 of 1,25,34
2,11:00.0,J. Grant misses 2-pt jump shot from 6 ft,,25,34
2,10:58.0,,Defensive rebound by D. Green,25,34
2,10:55.0,,Q. Cook makes 3-pt jump shot from 26 ft (assist by A. Iguodala),25,37
2,10:40.0,J. Grant misses 3-pt jump shot from 26 ft,,25,37
2,10:37.0,,Defensive rebound by Q. Cook,25,37
2,10:31.0,,Turnover by D. Green (bad pass; steal by N. Noel),25,37
2,10:28.0,R. Felton makes 2-pt layup from 4 ft (assist by J. Grant),,27,37
2,10:19.0,,Offensive foul by K. Thompson (drawn by Á. Abrines),27,37
2,10:19.0,,Turnover by K. Thompson (offensive foul),27,37
2,10:01.0,H. Diallo makes 2-pt jump shot from 20 ft (assist by N. Noel),,29,37
2,9:47.0,,K. Thompson misses 3-pt jump shot from 27 ft,29,37
2,9:40.0,Defensive rebound by N. Noel,,29,37
2,9:38.0,Turnover by R. Felton (lost ball; steal by D. Green),,29,37
2,9:33.0,,K. Thompson misses 3-pt jump shot from 28 ft,29,37
2,9:30.0,Defensive rebound by R. Felton,,29,37
2,9:22.0,N. Noel misses 2-pt hook shot from 8 ft,,29,37
2,9:17.0,,Defensive rebound by D. Green,29,37
2,9:05.0,,K. Thompson misses 2-pt jump shot from 17 ft,29,37
2,9:03.0,,Offensive rebound by Team,29,37
2,9:03.0,,J. Bell enters the game for D. Green,29,37
2,8:59.0,,Shooting foul by H. Diallo (drawn by K. Thompson),29,37
2,8:59.0,,K. Thompson makes free throw 1 of 2,29,38
2,8:59.0,,K. Thompson makes free throw 2 of 2,29,39
2,8:38.0,H. Diallo misses 2-pt layup from 2 ft (block by J. Bell),,29,39
2,8:36.0,Offensive rebound by Team,,29,39
2,8:36.0,Oklahoma City full timeout,,29,39
2,8:36.0,S. Adams enters the game for R. Felton,,29,39
2,8:36.0,D. Schröder enters the game for N. Noel,,29,39
2,8:32.0,S. Adams misses 2-pt layup from 1 ft,,29,39
2,8:31.0,Offensive rebound by S. Adams,,29,39
2,8:30.0,S. Adams makes 2-pt layup from 1 ft,,31,39
2,8:20.0,,Personal foul by H. Diallo (drawn by K. Thompson),31,39
2,8:07.0,,K. Thompson makes 2-pt jump shot from 20 ft,31,41
2,8:00.0,J. Grant makes 3-pt jump shot from 28 ft (assist by D. Schröder),,34,41
2,7:44.0,,A. Iguodala misses 3-pt jump shot from 27 ft,34,41
2,7:42.0,,Offensive rebound by Q. Cook,34,41
2,7:41.0,,Turnover by Q. Cook (bad pass; steal by D. Schröder),34,41
2,7:38.0,Á. Abrines misses 3-pt jump shot from 26 ft,,34,41
2,7:36.0,Offensive rebound by J. Grant,,34,41
2,7:35.0,H. Diallo misses 2-pt layup from 3 ft,,34,41
2,7:34.0,Offensive rebound by S. Adams,,34,41
2,7:34.0,S. Adams makes 2-pt layup from 1 ft,,36,41
2,7:34.0,P. George enters the game for H. Diallo,,36,41
2,7:34.0,,S. Curry enters the game for J. Bell,36,41
2,7:34.0,,K. Looney enters the game for Q. Cook,36,41
2,7:10.0,,Personal foul by P. George (drawn by K. Looney),36,41
2,7:04.0,,K. Looney misses 2-pt layup at rim,36,41
2,7:03.0,Defensive rebound by D. Schröder,,36,41
2,7:01.0,Personal foul by K. Looney (drawn by D. Schröder),,36,41
2,6:47.0,D. Schröder misses 2-pt jump shot from 18 ft,,36,41
2,6:46.0,,Defensive rebound by S. Curry,36,41
2,6:39.0,,S. Curry misses 2-pt jump shot from 10 ft,36,41
2,6:38.0,,Offensive rebound by K. Looney,36,41
2,6:31.0,,K. Looney makes 2-pt dunk at rim,36,43
2,6:27.0,P. George misses 2-pt jump shot from 18 ft,,36,43
2,6:26.0,,Defensive rebound by S. Curry,36,43
2,6:20.0,,K. Thompson misses 2-pt layup from 2 ft (block by D. Schröder),36,43
2,6:19.0,Defensive rebound by Á. Abrines,,36,43
2,6:11.0,Shooting foul by S. Livingston (drawn by P. George),,36,43
2,6:11.0,P. George makes free throw 1 of 2,,37,43
2,6:11.0,,K. Durant enters the game for A. Iguodala,37,43
2,6:11.0,,D. Green enters the game for K. Thompson,37,43
2,6:11.0,P. George misses free throw 2 of 2,,37,43
2,6:10.0,,Defensive rebound by K. Durant,37,43
2,6:05.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Durant),37,46
2,5:54.0,D. Schröder misses 2-pt jump shot from 11 ft,,37,46
2,5:53.0,,Defensive rebound by S. Curry,37,46
2,5:40.0,,S. Livingston misses 2-pt jump shot from 9 ft,37,46
2,5:38.0,Defensive rebound by D. Schröder,,37,46
2,5:32.0,D. Schröder makes 2-pt jump shot from 12 ft,,39,46
2,5:09.0,,D. Green makes 2-pt jump shot from 8 ft,39,48
2,5:00.0,P. George misses 3-pt jump shot from 26 ft,,39,48
2,4:58.0,,Defensive rebound by K. Durant,39,48
2,4:48.0,,Offensive foul by S. Livingston (drawn by Á. Abrines),39,48
2,4:48.0,,Turnover by S. Livingston (offensive foul),39,48
2,4:48.0,T. Ferguson enters the game for Á. Abrines,,39,48
2,4:48.0,P. Patterson enters the game for J. Grant,,39,48
2,4:35.0,Personal foul by K. Looney (drawn by S. Adams),,39,48
2,4:35.0,,D. Jones enters the game for S. Livingston,39,48
2,4:35.0,,K. Thompson enters the game for K. Looney,39,48
2,4:21.0,D. Schröder misses 2-pt jump shot from 9 ft,,39,48
2,4:20.0,,Defensive rebound by K. Durant,39,48
2,4:12.0,,Turnover by K. Durant (bad pass; steal by P. George),39,48
2,4:04.0,Turnover by P. George (lost ball; steal by S. Curry),,39,48
2,4:02.0,,Clear path foul by D. Schröder,39,48
2,4:02.0,,S. Curry makes clear path free throw 1 of 2,39,49
2,4:02.0,,S. Curry makes clear path free throw 2 of 2,39,50
2,3:49.0,,K. Durant makes 2-pt jump shot from 18 ft,39,52
2,3:33.0,Offensive foul by S. Adams (drawn by K. Durant),,39,52
2,3:33.0,Turnover by S. Adams (offensive foul),,39,52
2,3:21.0,,Turnover by S. Curry (bad pass; steal by P. George),39,52
2,3:19.0,Turnover by P. George (bad pass),,39,52
2,3:19.0,,Golden State full timeout,39,52
2,3:04.0,,Shooting foul by S. Adams (drawn by K. Durant),39,52
2,3:04.0,,Offensive rebound by Team,39,52
2,3:04.0,,K. Durant misses free throw 1 of 2,39,52
2,3:04.0,,K. Durant makes free throw 2 of 2,39,53
2,2:54.0,D. Schröder makes 2-pt jump shot from 17 ft (assist by S. Adams),,41,53
2,2:32.0,,Turnover by D. Green (bad pass; steal by D. Schröder),41,53
2,2:28.0,P. George misses 3-pt jump shot from 26 ft,,41,53
2,2:26.0,Offensive rebound by P. Patterson,,41,53
2,2:21.0,Shooting foul by K. Thompson (drawn by P. George),,41,53
2,2:21.0,P. George makes free throw 1 of 2,,42,53
2,2:21.0,,A. McKinnie enters the game for K. Thompson,42,53
2,2:21.0,P. George misses free throw 2 of 2,,42,53
2,2:20.0,,Defensive rebound by D. Green,42,53
2,1:59.0,,Shooting foul by D. Schröder (drawn by K. Durant),42,53
2,1:59.0,,K. Durant makes free throw 1 of 2,42,54
2,1:59.0,Á. Abrines enters the game for P. George,,42,54
2,1:59.0,,K. Durant makes free throw 2 of 2,42,55
2,1:39.0,D. Schröder makes 2-pt jump shot from 7 ft,,44,55
2,1:31.0,,Turnover by D. Jones (bad pass),44,55
2,1:31.0,R. Felton enters the game for D. Schröder,,44,55
2,1:21.0,Á. Abrines makes 3-pt jump shot from 26 ft (assist by S. Adams),,47,55
2,1:03.0,,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),47,57
2,0:52.0,Á. Abrines misses 3-pt jump shot from 26 ft,,47,57
2,0:52.0,,Defensive rebound by Team,47,57
2,0:44.0,,S. Curry misses 2-pt jump shot from 12 ft,47,57
2,0:43.0,Defensive rebound by P. Patterson,,47,57
2,0:34.0,R. Felton misses 2-pt hook shot from 8 ft,,47,57
2,0:32.0,,Defensive rebound by D. Green,47,57
2,0:26.0,,A. McKinnie misses 3-pt jump shot from 27 ft,47,57
2,0:23.0,Defensive rebound by Team,,47,57
2,0:23.0,,Q. Cook enters the game for S. Curry,47,57
2,0:04.0,Á. Abrines misses 2-pt jump shot from 14 ft,,47,57
2,0:00.0,Offensive rebound by Team,,47,57
3,11:50.0,P. George makes 2-pt jump shot from 4 ft,,49,57
3,11:27.0,Violation by Team (kicked ball),,49,57
3,11:24.0,,K. Thompson misses 2-pt jump shot from 8 ft,49,57
3,11:20.0,Defensive rebound by D. Schröder,,49,57
3,11:11.0,P. George makes 2-pt jump shot from 20 ft,,51,57
3,11:02.0,,K. Durant misses 3-pt jump shot from 28 ft,51,57
3,10:58.0,Defensive rebound by T. Ferguson,,51,57
3,10:54.0,P. Patterson misses 3-pt jump shot from 25 ft,,51,57
3,10:51.0,Offensive rebound by T. Ferguson,,51,57
3,10:49.0,P. Patterson misses 3-pt jump shot from 25 ft,,51,57
3,10:47.0,,Defensive rebound by S. Curry,51,57
3,10:42.0,,D. Jones makes 2-pt dunk from 2 ft (assist by S. Curry),51,59
3,10:28.0,P. George makes 3-pt jump shot from 27 ft (assist by S. Adams),,54,59
3,10:19.0,,K. Thompson misses 2-pt jump shot from 11 ft,54,59
3,10:16.0,,Offensive rebound by Team,54,59
3,10:07.0,,D. Green misses 2-pt jump shot from 11 ft,54,59
3,10:06.0,Defensive rebound by D. Schröder,,54,59
3,10:00.0,P. George makes 2-pt jump shot from 21 ft (assist by D. Schröder),,56,59
3,9:47.0,,S. Curry makes 3-pt jump shot from 28 ft,56,62
3,9:25.0,D. Schröder makes 2-pt layup from 2 ft,,58,62
3,9:11.0,,K. Durant misses 3-pt jump shot from 23 ft,58,62
3,9:09.0,,Offensive rebound by D. Jones,58,62
3,9:08.0,,D. Jones makes 2-pt dunk from 1 ft,58,64
3,8:56.0,Personal foul by D. Jones (drawn by P. George),,58,64
3,8:46.0,P. Patterson makes 3-pt jump shot from 26 ft (assist by P. George),,61,64
3,8:29.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by D. Jones),61,66
3,8:18.0,P. George makes 3-pt jump shot from 25 ft (assist by D. Schröder),,64,66
3,8:09.0,,Turnover by D. Green (bad pass; steal by S. Adams),64,66
3,8:04.0,D. Schröder makes 3-pt jump shot from 27 ft (assist by P. George),,67,66
3,7:44.0,,K. Durant misses 2-pt jump shot from 17 ft,67,66
3,7:43.0,Defensive rebound by P. Patterson,,67,66
3,7:35.0,D. Schröder misses 3-pt jump shot from 31 ft,,67,66
3,7:33.0,,Defensive rebound by K. Thompson,67,66
3,7:28.0,,K. Thompson misses 2-pt jump shot from 11 ft,67,66
3,7:27.0,Defensive rebound by S. Adams,,67,66
3,7:16.0,S. Adams makes 2-pt layup from 2 ft (assist by D. Schröder),,69,66
3,7:16.0,,Golden State full timeout,69,66
3,7:16.0,,K. Looney enters the game for D. Green,69,66
3,6:58.0,,D. Jones makes 2-pt dunk from 1 ft (assist by S. Curry),69,68
3,6:40.0,P. Patterson misses 2-pt jump shot from 12 ft,,69,68
3,6:36.0,,Defensive rebound by S. Curry,69,68
3,6:27.0,,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),69,70
3,6:19.0,D. Schröder makes 2-pt jump shot from 19 ft,,71,70
3,5:59.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Curry),71,72
3,5:52.0,Personal foul by K. Durant (drawn by P. George),,71,72
3,5:48.0,T. Ferguson misses 3-pt jump shot from 23 ft,,71,72
3,5:45.0,Offensive rebound by Team,,71,72
3,5:45.0,J. Grant enters the game for P. Patterson,,71,72
3,5:34.0,D. Schröder misses 2-pt jump shot from 15 ft,,71,72
3,5:33.0,,Defensive rebound by K. Durant,71,72
3,5:27.0,,K. Looney misses 2-pt jump shot from 5 ft (block by J. Grant),71,72
3,5:25.0,,Offensive rebound by K. Looney,71,72
3,5:20.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Looney),71,75
3,5:11.0,P. George misses 3-pt jump shot from 27 ft,,71,75
3,5:09.0,,Defensive rebound by S. Curry,71,75
3,5:03.0,,S. Curry misses 3-pt jump shot from 27 ft,71,75
3,5:01.0,,Offensive rebound by Team,71,75
3,5:01.0,Loose ball foul by S. Adams (drawn by D. Jones),,71,75
3,4:50.0,,S. Curry misses 3-pt jump shot from 26 ft,71,75
3,4:48.0,,Offensive rebound by K. Thompson,71,75
3,4:32.0,,K. Durant misses 3-pt jump shot from 26 ft,71,75
3,4:30.0,Defensive rebound by Team,,71,75
3,4:30.0,Oklahoma City full timeout,,71,75
3,4:30.0,,D. Green enters the game for D. Jones,71,75
3,4:30.0,,S. Livingston enters the game for K. Thompson,71,75
3,4:22.0,Shooting foul by K. Looney (drawn by S. Adams),,71,75
3,4:22.0,S. Adams makes free throw 1 of 2,,72,75
3,4:22.0,S. Adams misses free throw 2 of 2,,72,75
3,4:19.0,,Defensive rebound by K. Durant,72,75
3,4:12.0,,Turnover by D. Green (bad pass; steal by D. Schröder),72,75
3,4:08.0,Offensive foul by T. Ferguson (drawn by S. Curry),,72,75
3,4:08.0,Turnover by T. Ferguson (offensive foul),,72,75
3,4:08.0,,D. Jones enters the game for K. Looney,72,75
3,3:48.0,,D. Green misses 2-pt jump shot from 14 ft,72,75
3,3:45.0,Defensive rebound by S. Adams,,72,75
3,3:38.0,P. George makes 3-pt jump shot from 28 ft (assist by D. Schröder),,75,75
3,3:25.0,,Offensive foul by D. Jones (drawn by D. Schröder),75,75
3,3:25.0,,Turnover by D. Jones (offensive foul),75,75
3,3:09.0,D. Schröder misses 2-pt jump shot from 9 ft,,75,75
3,3:05.0,,Defensive rebound by D. Green,75,75
3,3:01.0,,S. Curry misses 3-pt jump shot from 26 ft,75,75
3,2:57.0,Defensive rebound by S. Adams,,75,75
3,2:49.0,P. George misses 2-pt jump shot from 10 ft,,75,75
3,2:45.0,,Defensive rebound by D. Green,75,75
3,2:42.0,,Personal foul by T. Ferguson (drawn by K. Durant),75,75
3,2:42.0,R. Felton enters the game for S. Adams,,75,75
3,2:42.0,N. Noel enters the game for D. Schröder,,75,75
3,2:34.0,,D. Jones makes 2-pt layup from 1 ft (assist by S. Curry),75,77
3,2:21.0,J. Grant misses 3-pt jump shot from 27 ft,,75,77
3,2:18.0,,Defensive rebound by S. Livingston,75,77
3,2:08.0,,K. Durant misses 2-pt jump shot from 18 ft,75,77
3,2:06.0,,Offensive rebound by S. Livingston,75,77
3,2:06.0,,S. Livingston makes 2-pt layup from 1 ft,75,79
3,2:06.0,Á. Abrines enters the game for T. Ferguson,,75,79
3,2:06.0,,Q. Cook enters the game for K. Durant,75,79
3,1:40.0,Turnover by P. George (bad pass; steal by S. Livingston),,75,79
3,1:28.0,,S. Curry misses 3-pt jump shot from 26 ft,75,79
3,1:26.0,Defensive rebound by R. Felton,,75,79
3,1:21.0,Á. Abrines misses 3-pt jump shot from 25 ft,,75,79
3,1:19.0,,Defensive rebound by S. Curry,75,79
3,1:11.0,,S. Curry makes 2-pt layup from 2 ft,75,81
3,0:59.0,Shooting foul by D. Green (drawn by N. Noel),,75,81
3,0:59.0,N. Noel makes free throw 1 of 2,,76,81
3,0:59.0,,J. Bell enters the game for D. Jones,76,81
3,0:59.0,N. Noel misses free throw 2 of 2,,76,81
3,0:57.0,,Defensive rebound by D. Green,76,81
3,0:49.0,,S. Livingston misses 2-pt jump shot from 11 ft,76,81
3,0:47.0,,Offensive rebound by S. Livingston,76,81
3,0:40.0,,S. Curry misses 2-pt layup from 5 ft,76,81
3,0:38.0,,Offensive rebound by D. Green,76,81
3,0:38.0,,D. Green misses 2-pt layup from 1 ft,76,81
3,0:37.0,Defensive rebound by N. Noel,,76,81
3,0:30.0,P. George misses 3-pt jump shot from 28 ft,,76,81
3,0:28.0,Offensive rebound by N. Noel,,76,81
3,0:24.0,Á. Abrines makes 3-pt jump shot from 27 ft (assist by R. Felton),,79,81
3,0:01.0,,S. Livingston makes 2-pt layup from 3 ft (assist by S. Curry),79,83
3,0:00.0,P. George misses 3-pt jump shot from 50 ft,,79,83
3,0:00.0,Offensive rebound by Team,,79,83
4,11:45.0,,Offensive foul by J. Jerebko (drawn by H. Diallo),79,83
4,11:45.0,,Turnover by J. Jerebko (offensive foul),79,83
4,11:34.0,Shooting foul by Q. Cook (drawn by R. Felton),,79,83
4,11:34.0,R. Felton makes free throw 1 of 2,,80,83
4,11:34.0,R. Felton makes free throw 2 of 2,,81,83
4,11:22.0,,K. Thompson makes 2-pt jump shot from 23 ft (assist by S. Livingston),81,85
4,11:00.0,H. Diallo makes 2-pt hook shot from 8 ft (assist by J. Grant),,83,85
4,11:00.0,Shooting foul by J. Bell (drawn by H. Diallo),,83,85
4,11:00.0,H. Diallo misses free throw 1 of 1,,83,85
4,10:59.0,Offensive rebound by N. Noel,,83,85
4,10:44.0,R. Felton misses 3-pt jump shot from 28 ft,,83,85
4,10:42.0,,Defensive rebound by J. Jerebko,83,85
4,10:34.0,,Q. Cook misses 2-pt jump shot from 19 ft,83,85
4,10:33.0,,Offensive rebound by Team,83,85
4,10:33.0,Loose ball foul by N. Noel (drawn by J. Bell),,83,85
4,10:31.0,,K. Thompson misses 2-pt layup from 4 ft,83,85
4,10:29.0,Defensive rebound by H. Diallo,,83,85
4,10:19.0,J. Grant makes 2-pt layup from 2 ft (assist by H. Diallo),,85,85
4,10:08.0,,Personal foul by N. Noel (drawn by J. Bell),85,85
4,9:58.0,,S. Livingston makes 2-pt jump shot from 11 ft (assist by Q. Cook),85,87
4,9:49.0,Á. Abrines misses 3-pt jump shot from 23 ft,,85,87
4,9:47.0,,Defensive rebound by J. Bell,85,87
4,9:28.0,,Turnover by Q. Cook (bad pass; steal by H. Diallo),85,87
4,9:21.0,Shooting foul by J. Jerebko (drawn by J. Grant),,85,87
4,9:21.0,J. Grant makes free throw 1 of 2,,86,87
4,9:21.0,,K. Durant enters the game for S. Livingston,86,87
4,9:21.0,J. Grant makes free throw 2 of 2,,87,87
4,9:12.0,,Shooting foul by Á. Abrines (drawn by K. Durant),87,87
4,9:12.0,,K. Durant makes free throw 1 of 2,87,88
4,9:12.0,,K. Durant makes free throw 2 of 2,87,89
4,8:59.0,Turnover by R. Felton (bad pass),,87,89
4,8:53.0,,K. Thompson misses 3-pt jump shot from 27 ft,87,89
4,8:51.0,,Offensive rebound by J. Bell,87,89
4,8:48.0,,K. Thompson misses 3-pt jump shot from 27 ft,87,89
4,8:47.0,Defensive rebound by Á. Abrines,,87,89
4,8:47.0,Oklahoma City full timeout,,87,89
4,8:34.0,J. Grant misses 3-pt jump shot from 27 ft,,87,89
