QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
2,5:10.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Dotson),53,48
2,5:00.0,Turnover by J. Okogie (bad pass; steal by D. Smith),,53,48
2,4:59.0,,Personal foul by J. Teague (drawn by D. Smith),53,48
2,4:59.0,D. Šarić enters the game for A. Tolliver,,53,48
2,4:48.0,,A. Trier misses 2-pt jump shot from 16 ft,53,48
2,4:45.0,Defensive rebound by D. Šarić,,53,48
2,4:32.0,A. Wiggins misses 2-pt jump shot from 22 ft,,53,48
2,4:29.0,,Defensive rebound by D. Dotson,53,48
2,4:25.0,,D. Dotson misses 2-pt layup at rim,53,48
2,4:25.0,,Offensive rebound by Team,53,48
2,4:25.0,L. Deng enters the game for J. Okogie,,53,48
2,4:22.0,,Turnover by A. Trier (bad pass; steal by T. Gibson),53,48
2,4:13.0,Shooting foul by A. Trier (drawn by J. Teague),,53,48
2,4:13.0,J. Teague misses free throw 1 of 2,,53,48
2,4:13.0,Offensive rebound by Team,,53,48
2,4:13.0,J. Teague makes free throw 2 of 2,,54,48
2,4:01.0,,Shooting foul by A. Wiggins (drawn by K. Knox),54,48
2,4:01.0,,K. Knox makes free throw 1 of 2,54,49
2,4:01.0,,K. Knox makes free throw 2 of 2,54,50
2,3:48.0,T. Gibson misses 2-pt layup from 1 ft (block by D. Dotson),,54,50
2,3:46.0,Offensive rebound by T. Gibson,,54,50
2,3:44.0,T. Gibson misses 2-pt layup from 1 ft (block by D. Smith),,54,50
2,3:44.0,Offensive rebound by Team,,54,50
2,3:42.0,T. Gibson makes 2-pt hook shot from 4 ft (assist by J. Teague),,56,50
2,3:42.0,Shooting foul by K. Knox (drawn by T. Gibson),,56,50
2,3:42.0,T. Gibson makes free throw 1 of 1,,57,50
2,3:26.0,,D. Smith misses 3-pt jump shot from 25 ft,57,50
2,3:22.0,Defensive rebound by D. Šarić,,57,50
2,3:13.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by T. Gibson),,60,50
2,2:59.0,,New York full timeout,60,50
2,2:59.0,,N. Vonleh enters the game for K. Knox,60,50
2,2:41.0,,A. Trier makes 3-pt jump shot from 26 ft,60,53
2,2:19.0,D. Šarić misses 2-pt hook shot from 5 ft,,60,53
2,2:19.0,Offensive rebound by Team,,60,53
2,2:19.0,,Loose ball foul by A. Trier (drawn by L. Deng),60,53
2,2:19.0,,K. Knox enters the game for A. Trier,60,53
2,2:19.0,L. Deng makes free throw 1 of 2,,61,53
2,2:19.0,L. Deng makes free throw 2 of 2,,62,53
2,2:03.0,,D. Dotson misses 2-pt jump shot from 21 ft,62,53
2,2:01.0,Defensive rebound by Team,,62,53
2,1:48.0,Turnover by D. Šarić (3 sec),,62,53
2,1:42.0,,Turnover by D. Smith (bad pass),62,53
2,1:30.0,L. Deng makes 2-pt hook shot from 3 ft (assist by J. Teague),,64,53
2,1:30.0,Shooting foul by K. Knox (drawn by L. Deng),,64,53
2,1:30.0,L. Deng misses free throw 1 of 1,,64,53
2,1:30.0,,Defensive rebound by N. Vonleh,64,53
2,1:22.0,,D. Smith misses 2-pt jump shot from 21 ft,64,53
2,1:18.0,Defensive rebound by D. Šarić,,64,53
2,1:10.0,J. Teague misses 2-pt jump shot from 11 ft,,64,53
2,1:07.0,,Defensive rebound by D. Jordan,64,53
2,1:01.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by D. Smith),64,56
2,0:51.0,T. Gibson makes 2-pt hook shot from 5 ft,,66,56
2,0:30.0,,D. Dotson makes 2-pt jump shot from 20 ft,66,58
2,0:16.0,D. Šarić misses 3-pt jump shot from 26 ft,,66,58
2,0:13.0,,Defensive rebound by D. Jordan,66,58
2,0:12.0,,Turnover by D. Jordan (bad pass; steal by A. Wiggins),66,58
2,0:01.0,L. Deng misses 2-pt jump shot from 4 ft,,66,58
2,0:00.0,Offensive rebound by Team,,66,58
3,11:53.0,Shooting foul by D. Smith (drawn by J. Okogie),,66,58
3,11:53.0,J. Okogie misses free throw 1 of 2,,66,58
3,11:53.0,Offensive rebound by Team,,66,58
3,11:53.0,J. Okogie misses free throw 2 of 2,,66,58
3,11:49.0,Offensive rebound by T. Gibson,,66,58
3,11:49.0,T. Gibson misses 2-pt layup from 1 ft,,66,58
3,11:48.0,,Defensive rebound by K. Knox,66,58
3,11:38.0,,K. Knox misses 2-pt jump shot from 20 ft,66,58
3,11:36.0,Defensive rebound by T. Gibson,,66,58
3,11:26.0,T. Gibson makes 2-pt jump shot from 19 ft (assist by J. Teague),,68,58
3,11:15.0,,K. Knox makes 3-pt jump shot from 24 ft (assist by D. Smith),68,61
3,10:53.0,J. Teague makes 2-pt layup from 1 ft,,70,61
3,10:31.0,,Turnover by D. Smith (bad pass; steal by J. Okogie),70,61
3,10:23.0,J. Okogie misses 2-pt layup from 1 ft,,70,61
3,10:21.0,,Defensive rebound by D. Jordan,70,61
3,10:13.0,,K. Knox misses 3-pt jump shot from 24 ft,70,61
3,10:09.0,Defensive rebound by D. Šarić,,70,61
3,9:58.0,D. Šarić makes 2-pt jump shot from 17 ft,,72,61
3,9:40.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Dotson),72,63
3,9:30.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Teague),,75,63
3,9:18.0,,Personal foul by D. Šarić (drawn by L. Kornet),75,63
3,9:18.0,,N. Vonleh enters the game for L. Kornet,75,63
3,9:08.0,,K. Knox misses 2-pt layup from 8 ft,75,63
3,9:04.0,,Offensive rebound by D. Jordan,75,63
3,9:04.0,,D. Jordan misses 2-pt layup at rim,75,63
3,9:04.0,,Offensive rebound by K. Knox,75,63
3,8:54.0,,D. Jordan makes 2-pt layup from 1 ft (assist by D. Smith),75,65
3,8:35.0,T. Gibson misses 2-pt layup from 1 ft (block by D. Jordan),,75,65
3,8:31.0,,Defensive rebound by N. Vonleh,75,65
3,8:23.0,,D. Dotson misses 3-pt jump shot from 27 ft,75,65
3,8:20.0,Defensive rebound by D. Šarić,,75,65
3,8:10.0,A. Wiggins misses 2-pt jump shot from 19 ft,,75,65
3,8:07.0,,Defensive rebound by D. Jordan,75,65
3,7:51.0,,Turnover by D. Dotson (lost ball; steal by D. Šarić),75,65
3,7:48.0,J. Okogie makes 2-pt dunk from 2 ft,,77,65
3,7:48.0,,New York full timeout,77,65
3,7:48.0,,E. Mudiay enters the game for D. Smith,77,65
3,7:32.0,,N. Vonleh makes 2-pt hook shot from 8 ft,77,67
3,7:20.0,A. Wiggins misses 2-pt jump shot from 12 ft,,77,67
3,7:17.0,Offensive rebound by J. Okogie,,77,67
3,7:10.0,Turnover by T. Gibson (bad pass; steal by E. Mudiay),,77,67
3,7:05.0,,D. Dotson misses 3-pt jump shot from 26 ft,77,67
3,7:02.0,Defensive rebound by T. Gibson,,77,67
3,6:53.0,J. Teague misses 3-pt jump shot from 25 ft,,77,67
3,6:49.0,,Defensive rebound by E. Mudiay,77,67
3,6:36.0,,K. Knox misses 2-pt jump shot from 11 ft (block by A. Wiggins),77,67
3,6:36.0,,Offensive rebound by Team,77,67
3,6:36.0,L. Deng enters the game for J. Okogie,,77,67
3,6:32.0,,D. Dotson misses 2-pt jump shot from 16 ft,77,67
3,6:29.0,Defensive rebound by D. Šarić,,77,67
3,6:18.0,T. Gibson makes 2-pt layup at rim (assist by L. Deng),,79,67
3,5:52.0,,E. Mudiay misses 2-pt jump shot from 18 ft,79,67
3,5:50.0,,Offensive rebound by D. Jordan,79,67
3,5:50.0,,D. Jordan misses 2-pt layup at rim,79,67
3,5:50.0,,Offensive rebound by Team,79,67
3,5:35.0,,N. Vonleh misses 2-pt jump shot from 21 ft,79,67
3,5:34.0,Defensive rebound by Team,,79,67
3,5:34.0,,Violation by Team (delay of game),79,67
3,5:22.0,Shooting foul by D. Jordan (drawn by J. Teague),,79,67
3,5:22.0,J. Teague makes free throw 1 of 2,,80,67
3,5:22.0,J. Teague misses free throw 2 of 2,,80,67
3,5:20.0,,Defensive rebound by D. Jordan,80,67
3,5:14.0,,Shooting foul by D. Šarić (drawn by E. Mudiay),80,67
3,5:14.0,D. Rose enters the game for J. Teague,,80,67
3,5:14.0,,A. Trier enters the game for D. Dotson,80,67
3,5:14.0,,Offensive rebound by Team,80,67
3,5:14.0,,E. Mudiay misses free throw 1 of 2,80,67
3,5:14.0,,E. Mudiay makes free throw 2 of 2,80,68
3,4:56.0,L. Deng misses 3-pt jump shot from 23 ft,,80,68
3,4:52.0,Offensive rebound by T. Gibson,,80,68
3,4:50.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by T. Gibson),,83,68
3,4:22.0,,Turnover by Team (shot clock),83,68
3,4:22.0,,M. Robinson enters the game for D. Jordan,83,68
3,4:15.0,Shooting foul by K. Knox (drawn by D. Šarić),,83,68
3,4:15.0,A. Tolliver enters the game for T. Gibson,,83,68
3,4:15.0,Offensive rebound by Team,,83,68
3,4:15.0,D. Šarić misses free throw 1 of 2,,83,68
3,4:15.0,D. Šarić misses free throw 2 of 2,,83,68
3,4:14.0,,Defensive rebound by N. Vonleh,83,68
3,4:01.0,,K. Knox makes 2-pt layup from 2 ft,83,70
3,4:01.0,,Shooting foul by A. Tolliver (drawn by K. Knox),83,70
3,4:01.0,,K. Knox makes free throw 1 of 1,83,71
3,3:51.0,A. Wiggins misses 2-pt layup from 8 ft (block by M. Robinson),,83,71
3,3:51.0,Offensive rebound by Team,,83,71
3,3:51.0,T. Jones enters the game for D. Šarić,,83,71
3,3:43.0,D. Rose misses 2-pt jump shot from 22 ft,,83,71
3,3:37.0,,Defensive rebound by M. Robinson,83,71
3,3:21.0,,K. Knox makes 3-pt jump shot from 26 ft,83,74
3,3:20.0,Minnesota full timeout,,83,74
3,3:10.0,Turnover by D. Rose (bad pass; steal by E. Mudiay),,83,74
3,3:06.0,,E. Mudiay makes 2-pt layup from 1 ft,83,76
3,2:52.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by T. Jones),,86,76
3,2:31.0,,E. Mudiay misses 2-pt jump shot from 10 ft,86,76
3,2:29.0,Defensive rebound by A. Tolliver,,86,76
3,2:20.0,Shooting foul by M. Robinson (drawn by A. Wiggins),,86,76
3,2:20.0,A. Wiggins makes free throw 1 of 2,,87,76
3,2:20.0,A. Wiggins misses free throw 2 of 2,,87,76
3,2:19.0,,Defensive rebound by N. Vonleh,87,76
3,2:10.0,,A. Trier misses 2-pt jump shot from 17 ft,87,76
3,2:06.0,Defensive rebound by A. Wiggins,,87,76
3,2:01.0,Shooting foul by M. Robinson (drawn by D. Rose),,87,76
3,2:01.0,D. Rose makes free throw 1 of 2,,88,76
3,2:01.0,D. Rose makes free throw 2 of 2,,89,76
3,1:41.0,,Shooting foul by L. Deng (drawn by A. Trier),89,76
3,1:41.0,,A. Trier makes free throw 1 of 2,89,77
3,1:41.0,,A. Trier makes free throw 2 of 2,89,78
3,1:31.0,A. Wiggins makes 2-pt jump shot from 20 ft,,91,78
3,1:07.0,,K. Knox misses 3-pt jump shot from 26 ft,91,78
3,1:05.0,,Offensive rebound by E. Mudiay,91,78
3,1:04.0,,E. Mudiay makes 2-pt layup from 1 ft,91,80
3,0:51.0,A. Wiggins misses 3-pt jump shot from 28 ft,,91,80
3,0:48.0,,Defensive rebound by A. Trier,91,80
3,0:43.0,,N. Vonleh misses 3-pt jump shot from 26 ft,91,80
3,0:39.0,,Offensive rebound by E. Mudiay,91,80
3,0:38.0,,E. Mudiay makes 3-pt jump shot from 24 ft,91,83
3,0:28.0,D. Rose makes 2-pt layup from 1 ft,,93,83
3,0:28.0,Shooting foul by M. Robinson (drawn by D. Rose),,93,83
3,0:28.0,D. Rose makes free throw 1 of 1,,94,83
3,0:05.0,,E. Mudiay misses 2-pt jump shot from 18 ft,94,83
3,0:02.0,Defensive rebound by A. Wiggins,,94,83
4,11:47.0,,J. Jenkins misses 2-pt jump shot from 23 ft,94,83
4,11:43.0,Defensive rebound by D. Rose,,94,83
4,11:35.0,K. Bates-Diop makes 3-pt jump shot from 23 ft (assist by D. Rose),,97,83
4,11:19.0,,Turnover by A. Trier (traveling),97,83
4,11:07.0,Turnover by D. Rose (lost ball; steal by M. Robinson),,97,83
4,11:02.0,,N. Vonleh makes 2-pt layup from 1 ft,97,85
4,11:02.0,,Shooting foul by A. Tolliver (drawn by N. Vonleh),97,85
4,11:02.0,,N. Vonleh misses free throw 1 of 1,97,85
4,10:55.0,Defensive rebound by L. Deng,,97,85
4,10:48.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by D. Rose),,100,85
4,10:28.0,,Offensive foul by E. Mudiay (drawn by A. Tolliver),100,85
4,10:28.0,,Turnover by E. Mudiay (offensive foul),100,85
4,10:19.0,Turnover by L. Deng (out of bounds lost ball),,100,85
4,10:19.0,,K. Knox enters the game for M. Robinson,100,85
4,10:19.0,,J. Jenkins misses 2-pt jump shot from 15 ft,100,85
4,10:02.0,Defensive rebound by T. Jones,,100,85
4,9:48.0,Shooting foul by N. Vonleh (drawn by L. Deng),,100,85
4,9:48.0,L. Deng misses free throw 1 of 2,,100,85
4,9:48.0,Offensive rebound by Team,,100,85
4,9:48.0,L. Deng makes free throw 2 of 2,,101,85
4,9:44.0,,E. Mudiay misses 2-pt layup from 1 ft (block by A. Tolliver),101,85
4,9:44.0,,Offensive rebound by Team,101,85
4,9:41.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by A. Trier),101,88
4,9:18.0,A. Tolliver makes 2-pt layup from 1 ft,,103,88
4,9:18.0,J. Teague enters the game for T. Jones,,103,88
4,8:59.0,,Personal foul by J. Teague (drawn by N. Vonleh),103,88
4,8:51.0,,E. Mudiay misses 2-pt layup from 1 ft,103,88
4,8:51.0,,Offensive rebound by Team,103,88
4,8:47.0,,E. Mudiay misses 3-pt jump shot from 28 ft,103,88
4,8:45.0,,Offensive rebound by Team,103,88
4,8:45.0,,Turnover by Team (shot clock),103,88
4,8:25.0,L. Deng makes 2-pt jump shot from 11 ft,,105,88
4,8:12.0,,Turnover by K. Knox (lost ball; steal by D. Rose),105,88
4,8:07.0,A. Tolliver misses 3-pt jump shot from 26 ft,,105,88
4,8:03.0,,Defensive rebound by E. Mudiay,105,88
4,7:56.0,,Turnover by A. Trier (bad pass),105,88
4,7:56.0,Minnesota full timeout,,105,88
4,7:56.0,T. Gibson enters the game for L. Deng,,105,88
4,7:56.0,,D. Dotson enters the game for J. Jenkins,105,88
4,7:56.0,,D. Jordan enters the game for N. Vonleh,105,88
4,7:50.0,Turnover by A. Tolliver (bad pass),,105,88
4,7:42.0,,Personal foul by T. Gibson (drawn by D. Jordan),105,88
4,7:39.0,,Personal foul by A. Tolliver (drawn by K. Knox),105,88
4,7:37.0,,Turnover by K. Knox (bad pass; steal by D. Rose),105,88
4,7:33.0,D. Rose makes 2-pt layup from 1 ft,,107,88
4,7:19.0,,A. Trier makes 2-pt layup from 1 ft,107,90
4,7:00.0,D. Rose misses 2-pt jump shot from 17 ft,,107,90
4,6:56.0,Offensive rebound by D. Rose,,107,90
4,6:53.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,107,90
4,6:50.0,,Defensive rebound by D. Jordan,107,90
