QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
1,2:10.0,,O. Casspi enters the game for K. Anderson,23,18
1,2:10.0,,J. Noah enters the game for M. Gasol,23,18
1,1:52.0,A. Drummond makes 2-pt layup at rim,,25,18
1,1:52.0,Shooting foul by J. Noah (drawn by A. Drummond),,25,18
1,1:52.0,A. Drummond makes free throw 1 of 1,,26,18
1,1:42.0,,J. Green misses 3-pt jump shot from 26 ft,26,18
1,1:38.0,Defensive rebound by J. Leuer,,26,18
1,1:22.0,L. Galloway misses 3-pt jump shot from 24 ft,,26,18
1,1:19.0,,Defensive rebound by S. Mack,26,18
1,1:03.0,,J. Green makes 2-pt dunk from 1 ft (assist by J. Noah),26,20
1,0:46.0,L. Kennard misses 3-pt jump shot from 24 ft,,26,20
1,0:44.0,,Defensive rebound by J. Noah,26,20
1,0:38.0,,S. Mack makes 2-pt layup from 2 ft,26,22
1,0:22.0,A. Drummond misses 2-pt layup from 2 ft (block by J. Noah),,26,22
1,0:22.0,,Defensive rebound by J. Green,26,22
1,0:19.0,,Turnover by J. Green (lost ball; steal by L. Galloway),26,22
1,0:18.0,J. Leuer misses 3-pt jump shot from 26 ft,,26,22
1,0:15.0,,Defensive rebound by J. Green,26,22
1,0:02.0,,S. Mack makes 2-pt jump shot from 6 ft,26,24
1,0:01.0,,Violation by Team (delay of game),26,24
1,0:01.0,Turnover by J. Leuer (bad pass),,26,24
1,0:00.0,,S. Mack misses 3-pt jump shot from 23 ft,26,24
1,0:00.0,,Offensive rebound by Team,26,24
2,11:42.0,L. Kennard misses 2-pt jump shot from 12 ft,,26,24
2,11:40.0,,Defensive rebound by Team,26,24
2,11:22.0,,D. Brooks makes 2-pt layup from 4 ft,26,26
2,11:03.0,S. Johnson makes 2-pt jump shot from 6 ft (assist by L. Galloway),,28,26
2,10:48.0,,D. Brooks makes 2-pt jump shot from 15 ft,28,28
2,10:35.0,Personal foul by D. Brooks (drawn by L. Galloway),,28,28
2,10:29.0,L. Galloway misses 3-pt jump shot from 23 ft,,28,28
2,10:25.0,,Defensive rebound by O. Casspi,28,28
2,10:18.0,,O. Casspi misses 2-pt layup from 1 ft,28,28
2,10:15.0,Defensive rebound by S. Johnson,,28,28
2,10:13.0,Shooting foul by D. Brooks (drawn by S. Johnson),,28,28
2,10:13.0,S. Johnson makes free throw 1 of 2,,29,28
2,10:13.0,,J. Jackson enters the game for D. Brooks,29,28
2,10:13.0,,G. Temple enters the game for J. Noah,29,28
2,10:13.0,S. Johnson misses free throw 2 of 2,,29,28
2,10:11.0,,Defensive rebound by J. Green,29,28
2,9:53.0,,O. Casspi misses 2-pt jump shot from 3 ft,29,28
2,9:50.0,Defensive rebound by L. Kennard,,29,28
2,9:42.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by L. Kennard),,32,28
2,9:40.0,,Memphis full timeout,32,28
2,9:40.0,,W. Selden enters the game for O. Casspi,32,28
