QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
2,1:35.0,S. Johnson makes 2-pt jump shot from 7 ft (assist by R. Jackson),,40,51
2,1:19.0,,Turnover by B. Ingram (bad pass; steal by R. Jackson),40,51
2,1:16.0,R. Jackson makes 2-pt dunk from 2 ft,,42,51
2,0:56.0,,J. McGee makes 2-pt dunk from 2 ft (assist by B. Ingram),42,53
2,0:45.0,Turnover by B. Griffin (bad pass; steal by L. Ball),,42,53
2,0:42.0,,K. Kuzma makes 2-pt layup from 1 ft,42,55
2,0:36.0,B. Griffin makes 3-pt jump shot from 27 ft (assist by S. Johnson),,45,55
2,0:29.0,,Turnover by K. Kuzma (bad pass; steal by A. Drummond),45,55
2,0:20.0,S. Johnson misses 3-pt jump shot from 25 ft,,45,55
2,0:19.0,Offensive rebound by A. Drummond,,45,55
2,0:19.0,A. Drummond makes 2-pt dunk at rim,,47,55
2,0:00.0,,Turnover by B. Ingram (lost ball; steal by S. Johnson),47,55
3,11:46.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by A. Drummond),,50,55
3,11:23.0,,J. McGee makes 2-pt dunk from 2 ft (assist by B. Ingram),50,57
3,11:04.0,B. Griffin misses 3-pt jump shot from 26 ft,,50,57
3,10:59.0,Offensive rebound by A. Drummond,,50,57
3,10:58.0,A. Drummond misses 2-pt layup from 2 ft (block by J. McGee),,50,57
3,10:56.0,,Defensive rebound by J. Hart,50,57
3,10:56.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by J. Hart),50,59
3,10:56.0,,Shooting foul by R. Jackson (drawn by K. Kuzma),50,59
3,10:56.0,,K. Kuzma makes free throw 1 of 1,50,60
3,10:48.0,R. Jackson makes 2-pt jump shot from 3 ft (assist by B. Griffin),,52,60
3,10:32.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),52,62
3,10:21.0,Def 3 sec tech foul by Team,,52,62
3,10:21.0,R. Jackson makes technical free throw,,53,62
3,10:08.0,R. Bullock makes 2-pt layup from 1 ft,,55,62
3,9:54.0,,K. Kuzma makes 3-pt jump shot from 29 ft (assist by L. Ball),55,65
3,9:31.0,A. Drummond misses 2-pt dunk from 2 ft (block by J. McGee),,55,65
3,9:28.0,,Defensive rebound by B. Ingram,55,65
3,9:25.0,,Turnover by K. Kuzma (step out of bounds),55,65
3,9:01.0,R. Bullock misses 2-pt jump shot from 13 ft,,55,65
3,8:59.0,,Defensive rebound by B. Ingram,55,65
3,8:54.0,,Shooting foul by B. Griffin (drawn by K. Kuzma),55,65
3,8:54.0,,K. Kuzma misses free throw 1 of 2,55,65
3,8:54.0,,Offensive rebound by Team,55,65
3,8:54.0,,K. Kuzma makes free throw 2 of 2,55,66
3,8:47.0,B. Griffin misses 3-pt jump shot from 24 ft,,55,66
3,8:45.0,,Defensive rebound by J. Hart,55,66
3,8:31.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. Ball),55,69
3,8:31.0,Detroit full timeout,,55,69
3,8:04.0,R. Bullock misses 3-pt jump shot from 28 ft,,55,69
3,8:02.0,,Defensive rebound by J. Hart,55,69
3,7:48.0,,K. Kuzma misses 2-pt jump shot from 11 ft,55,69
3,7:46.0,,Offensive rebound by J. McGee,55,69
3,7:45.0,,J. McGee misses 2-pt layup from 3 ft,55,69
3,7:43.0,Defensive rebound by A. Drummond,,55,69
3,7:25.0,B. Brown makes 2-pt layup from 3 ft,,57,69
3,7:08.0,,B. Ingram misses 2-pt layup from 2 ft,57,69
3,7:06.0,Defensive rebound by R. Bullock,,57,69
3,7:02.0,Shooting foul by J. McGee (drawn by A. Drummond),,57,69
3,7:02.0,A. Drummond misses free throw 1 of 2,,57,69
3,7:02.0,Offensive rebound by Team,,57,69
3,7:02.0,A. Drummond misses free throw 2 of 2,,57,69
3,6:59.0,,Defensive rebound by J. McGee,57,69
3,6:39.0,,K. Kuzma makes 3-pt jump shot from 28 ft,57,72
3,6:19.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Brown),,60,72
3,6:19.0,Shooting foul by J. Hart (drawn by R. Bullock),,60,72
3,6:19.0,R. Bullock makes free throw 1 of 1,,61,72
3,5:55.0,,K. Kuzma misses 3-pt jump shot from 26 ft,61,72
3,5:53.0,Defensive rebound by A. Drummond,,61,72
3,5:47.0,B. Griffin makes 3-pt jump shot from 26 ft,,64,72
3,5:47.0,,LA Lakers full timeout,64,72
3,5:47.0,,K. Caldwell-Pope enters the game for L. Ball,64,72
3,5:47.0,,I. Zubac enters the game for J. McGee,64,72
3,5:29.0,,B. Ingram makes 2-pt jump shot from 13 ft,64,74
3,5:04.0,R. Jackson misses 3-pt jump shot from 24 ft,,64,74
3,5:02.0,,Defensive rebound by K. Kuzma,64,74
3,4:56.0,,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,64,74
3,4:54.0,Defensive rebound by A. Drummond,,64,74
3,4:52.0,Personal foul by K. Kuzma (drawn by B. Griffin),,64,74
3,4:40.0,B. Griffin misses 2-pt jump shot from 4 ft,,64,74
3,4:35.0,Offensive rebound by B. Brown,,64,74
3,4:35.0,B. Brown makes 2-pt layup from 2 ft,,66,74
3,4:22.0,,Personal foul by B. Brown (drawn by I. Zubac),66,74
3,4:22.0,S. Johnson enters the game for B. Brown,,66,74
3,4:22.0,L. Kennard enters the game for R. Bullock,,66,74
3,4:08.0,,Shooting foul by R. Jackson (drawn by K. Kuzma),66,74
3,4:08.0,,K. Kuzma makes free throw 1 of 2,66,75
3,4:08.0,J. Calderón enters the game for R. Jackson,,66,75
3,4:08.0,,K. Kuzma makes free throw 2 of 2,66,76
3,3:47.0,S. Johnson misses 2-pt jump shot from 15 ft (block by J. Hart),,66,76
3,3:44.0,,Defensive rebound by I. Zubac,66,76
3,3:35.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by K. Caldwell-Pope),66,78
3,3:35.0,Violation by Team (def goaltending),,66,78
3,3:19.0,S. Johnson misses 3-pt jump shot from 25 ft,,66,78
3,3:16.0,,Defensive rebound by K. Caldwell-Pope,66,78
3,3:08.0,,Turnover by K. Caldwell-Pope (bad pass; steal by A. Drummond),66,78
3,3:04.0,Turnover by A. Drummond (lost ball; steal by I. Zubac),,66,78
3,3:01.0,,Turnover by K. Caldwell-Pope (out of bounds lost ball),66,78
3,2:49.0,L. Kennard misses 3-pt jump shot from 27 ft,,66,78
3,2:46.0,,Defensive rebound by I. Zubac,66,78
3,2:33.0,,K. Kuzma misses 2-pt hook shot from 5 ft (block by A. Drummond),66,78
3,2:31.0,,Offensive rebound by K. Kuzma,66,78
3,2:31.0,,K. Kuzma makes 2-pt layup from 3 ft,66,80
3,2:31.0,Violation by Team (def goaltending),,66,80
3,2:31.0,Detroit full timeout,,66,80
3,2:31.0,L. Galloway enters the game for B. Griffin,,66,80
3,2:20.0,L. Kennard makes 2-pt jump shot from 14 ft,,68,80
3,1:55.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by I. Zubac),68,82
3,1:38.0,L. Galloway makes 3-pt jump shot from 26 ft (assist by J. Calderón),,71,82
3,1:23.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by B. Ingram),71,85
3,1:23.0,,Shooting foul by S. Johnson (drawn by K. Kuzma),71,85
3,1:23.0,,L. Stephenson enters the game for J. Hart,71,85
3,1:23.0,,K. Kuzma misses free throw 1 of 1,71,85
3,1:21.0,,Offensive rebound by B. Ingram,71,85
3,1:14.0,,K. Caldwell-Pope makes 2-pt jump shot from 4 ft (assist by B. Ingram),71,87
3,1:07.0,Personal foul by L. Stephenson (drawn by S. Johnson),,71,87
3,1:07.0,,M. Beasley enters the game for K. Kuzma,71,87
3,0:56.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by S. Johnson),,74,87
3,0:44.0,,B. Ingram misses 2-pt jump shot from 12 ft,74,87
3,0:41.0,Defensive rebound by L. Kennard,,74,87
3,0:37.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by L. Kennard),,77,87
3,0:25.0,,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,77,87
3,0:23.0,Defensive rebound by A. Drummond,,77,87
3,0:04.0,A. Drummond misses 2-pt jump shot from 13 ft (block by M. Beasley),,77,87
3,0:02.0,,Defensive rebound by M. Beasley,77,87
3,0:01.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by M. Beasley),77,89
4,11:39.0,,Shooting foul by L. Kennard (drawn by I. Zubac),77,89
4,11:39.0,,I. Zubac misses free throw 1 of 2,77,89
4,11:39.0,,Offensive rebound by Team,77,89
4,11:39.0,,I. Zubac makes free throw 2 of 2,77,90
4,11:23.0,L. Galloway misses 2-pt layup from 1 ft,,77,90
4,11:21.0,,Defensive rebound by I. Zubac,77,90
4,11:14.0,,I. Zubac misses 2-pt layup from 3 ft,77,90
4,11:12.0,,Offensive rebound by I. Zubac,77,90
4,11:11.0,,I. Zubac makes 2-pt hook shot from 3 ft,77,92
4,10:58.0,Turnover by J. Leuer (lost ball; steal by L. Stephenson),,77,92
4,10:43.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by M. Beasley),77,94
4,10:41.0,Detroit full timeout,,77,94
4,10:41.0,R. Bullock enters the game for J. Calderón,,77,94
4,10:41.0,B. Griffin enters the game for S. Johnson,,77,94
4,10:41.0,R. Jackson enters the game for L. Kennard,,77,94
4,10:20.0,R. Jackson misses 3-pt jump shot from 27 ft,,77,94
4,10:18.0,,Defensive rebound by K. Caldwell-Pope,77,94
4,10:04.0,,M. Beasley misses 2-pt jump shot from 12 ft,77,94
4,10:01.0,Defensive rebound by J. Leuer,,77,94
4,9:45.0,J. Leuer makes 2-pt jump shot from 8 ft (assist by R. Bullock),,79,94
4,9:27.0,,M. Beasley makes 2-pt layup from 1 ft (assist by L. Stephenson),79,96
4,9:11.0,R. Bullock misses 3-pt jump shot from 23 ft,,79,96
4,9:08.0,,Defensive rebound by K. Caldwell-Pope,79,96
4,8:46.0,,M. Beasley makes 2-pt jump shot from 10 ft,79,98
4,8:30.0,J. Leuer makes 2-pt layup from 3 ft (assist by B. Griffin),,81,98
4,8:15.0,,L. Stephenson misses 3-pt jump shot from 28 ft,81,98
4,8:14.0,Defensive rebound by Team,,81,98
4,8:14.0,,Loose ball foul by I. Zubac (drawn by B. Griffin),81,98
4,7:50.0,Turnover by Team (shot clock),,81,98
4,7:23.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by L. Ball),81,101
4,7:07.0,Personal foul by L. Ball (drawn by B. Griffin),,81,101
4,6:55.0,Offensive foul by B. Griffin (drawn by L. Ball),,81,101
4,6:55.0,Turnover by B. Griffin (offensive foul),,81,101
4,6:43.0,,Turnover by M. Beasley (traveling),81,101
4,6:31.0,Personal foul by L. Ball (drawn by B. Griffin),,81,101
4,6:31.0,A. Drummond enters the game for J. Leuer,,81,101
4,6:28.0,Personal foul by M. Beasley (drawn by B. Griffin),,81,101
4,6:16.0,R. Bullock misses 3-pt jump shot from 25 ft,,81,101
4,6:14.0,,Defensive rebound by I. Zubac,81,101
4,5:59.0,,Turnover by L. Ball (bad pass; steal by B. Griffin),81,101
4,5:53.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by B. Griffin),,84,101
4,5:48.0,,M. Beasley makes 2-pt dunk from 2 ft (assist by L. Ball),84,103
4,5:20.0,A. Drummond misses 3-pt jump shot from 27 ft,,84,103
4,5:16.0,,Defensive rebound by K. Caldwell-Pope,84,103
4,5:07.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,84,103
4,5:05.0,Defensive rebound by L. Galloway,,84,103
4,4:59.0,R. Bullock misses 3-pt jump shot from 25 ft,,84,103
4,4:57.0,,Defensive rebound by I. Zubac,84,103
4,4:43.0,,M. Beasley makes 2-pt jump shot from 19 ft,84,105
4,4:33.0,Turnover by B. Griffin (bad pass; steal by L. Ball),,84,105
4,4:26.0,,Shooting foul by B. Griffin (drawn by I. Zubac),84,105
4,4:26.0,,I. Zubac makes free throw 1 of 2,84,106
4,4:26.0,J. Calderón enters the game for R. Jackson,,84,106
4,4:26.0,,I. Zubac makes free throw 2 of 2,84,107
4,4:26.0,Detroit full timeout,,84,107
4,4:26.0,S. Johnson enters the game for R. Bullock,,84,107
4,4:26.0,L. Kennard enters the game for A. Drummond,,84,107
4,4:26.0,J. Leuer enters the game for B. Griffin,,84,107
4,4:14.0,L. Kennard makes 2-pt jump shot from 2 ft,,86,107
4,3:54.0,,K. Caldwell-Pope misses 2-pt hook shot from 5 ft,86,107
4,3:50.0,,Offensive rebound by I. Zubac,86,107
4,3:48.0,,I. Zubac misses 2-pt layup at rim,86,107
4,3:48.0,,Offensive rebound by I. Zubac,86,107
4,3:44.0,,I. Zubac misses 2-pt layup at rim,86,107
4,3:44.0,Defensive rebound by L. Kennard,,86,107
4,3:44.0,Personal foul by K. Caldwell-Pope (drawn by L. Kennard),,86,107
4,3:44.0,L. Kennard misses free throw 1 of 2,,86,107
4,3:44.0,Offensive rebound by Team,,86,107
4,3:44.0,B. Brown enters the game for J. Calderón,,86,107
4,3:44.0,L. Kennard makes free throw 2 of 2,,87,107
4,3:33.0,,Personal foul by J. Leuer (drawn by I. Zubac),87,107
4,3:24.0,,I. Zubac makes 2-pt dunk from 3 ft (assist by M. Beasley),87,109
4,3:13.0,L. Kennard makes 2-pt jump shot from 18 ft (assist by J. Leuer),,89,109
4,2:51.0,,M. Beasley makes 2-pt hook shot from 2 ft,89,111
4,2:51.0,,S. Mykhailiuk enters the game for L. Ball,89,111
4,2:51.0,,M. Wagner enters the game for K. Caldwell-Pope,89,111
4,2:36.0,L. Galloway makes 3-pt jump shot from 28 ft (assist by L. Kennard),,92,111
4,2:17.0,,M. Beasley makes 2-pt jump shot from 4 ft,92,113
4,2:07.0,L. Galloway misses 3-pt jump shot from 28 ft,,92,113
4,2:05.0,,Defensive rebound by I. Zubac,92,113
4,1:56.0,,Personal foul by J. Leuer (drawn by M. Beasley),92,113
4,1:50.0,,Turnover by M. Beasley (bad pass; steal by S. Johnson),92,113
4,1:50.0,S. Johnson makes 2-pt dunk from 2 ft,,94,113
4,1:36.0,,Turnover by M. Wagner (traveling),94,113
4,1:22.0,Turnover by B. Brown (bad pass; steal by S. Mykhailiuk),,94,113
