QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
1,1:53.0,Defensive rebound by D. Lillard,,24,21
1,1:47.0,D. Lillard misses 2-pt jump shot from 19 ft,,24,21
1,1:42.0,,Defensive rebound by M. Wagner,24,21
1,1:39.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,24,21
1,1:36.0,,Offensive rebound by J. Jones,24,21
1,1:35.0,,J. Jones misses 2-pt layup from 5 ft (block by Z. Collins),24,21
1,1:30.0,Defensive rebound by D. Lillard,,24,21
1,1:28.0,D. Lillard makes 2-pt layup from 2 ft,,26,21
1,1:14.0,,K. Caldwell-Pope makes 2-pt dunk from 3 ft (assist by J. Williams),26,23
1,0:51.0,Turnover by D. Lillard (bad pass; steal by J. Jones),,26,23
1,0:45.0,,M. Wagner makes 2-pt layup from 2 ft (assist by J. Jones),26,25
1,0:37.0,E. Turner misses 2-pt jump shot from 12 ft,,26,25
1,0:34.0,,Defensive rebound by J. Williams,26,25
1,0:29.0,,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,26,25
1,0:24.0,Defensive rebound by R. Hood,,26,25
1,0:05.0,S. Curry misses 2-pt jump shot from 6 ft,,26,25
1,0:02.0,,Defensive rebound by K. Caldwell-Pope,26,25
1,0:00.0,,M. Wagner misses 2-pt layup from 1 ft,26,25
1,0:00.0,,Offensive rebound by Team,26,25
2,11:46.0,S. Curry misses 3-pt jump shot from 28 ft,,26,25
2,11:43.0,,Defensive rebound by J. Jones,26,25
2,11:28.0,,A. Caruso misses 2-pt layup from 3 ft,26,25
2,11:27.0,,Offensive rebound by J. Williams,26,25
2,11:27.0,,J. Williams misses 2-pt dunk at rim,26,25
2,11:25.0,,Offensive rebound by J. Jones,26,25
2,11:19.0,,Turnover by J. Jones (bad pass),26,25
2,11:03.0,R. Hood misses 2-pt hook shot from 8 ft,,26,25
2,10:59.0,,Defensive rebound by Team,26,25
2,10:53.0,,Shooting foul by J. Layman (drawn by M. Wagner),26,25
2,10:53.0,,M. Wagner makes free throw 1 of 2,26,26
2,10:53.0,,M. Wagner misses free throw 2 of 2,26,26
2,10:49.0,Defensive rebound by Z. Collins,,26,26
2,10:40.0,E. Turner makes 2-pt layup from 2 ft (assist by R. Hood),,28,26
2,10:32.0,,Turnover by A. Caruso (discontinued dribble),28,26
2,10:22.0,Turnover by Z. Collins (bad pass; steal by J. Williams),,28,26
2,10:17.0,,J. Jones makes 2-pt layup from 3 ft (assist by A. Caruso),28,28
2,10:01.0,J. Layman misses 3-pt jump shot from 27 ft,,28,28
2,9:58.0,,Defensive rebound by J. Jones,28,28
2,9:52.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by J. Jones),28,31
2,9:35.0,Shooting foul by M. Wagner (drawn by E. Turner),,28,31
2,9:35.0,E. Turner makes free throw 1 of 2,,29,31
2,9:35.0,E. Turner makes free throw 2 of 2,,30,31
2,9:20.0,,M. Muscala misses 3-pt jump shot from 28 ft,30,31
2,9:16.0,Defensive rebound by J. Layman,,30,31
2,9:08.0,S. Curry makes 3-pt jump shot from 27 ft (assist by E. Turner),,33,31
2,8:58.0,,A. Caruso misses 2-pt jump shot from 14 ft (block by R. Hood),33,31
2,8:55.0,Defensive rebound by R. Hood,,33,31
2,8:53.0,R. Hood misses 2-pt layup from 1 ft,,33,31
2,8:50.0,Offensive rebound by Z. Collins,,33,31
2,8:50.0,J. Layman misses 2-pt layup from 2 ft,,33,31
2,8:50.0,,Defensive rebound by J. Williams,33,31
2,8:43.0,,M. Muscala makes 2-pt layup from 1 ft (assist by J. Williams),33,33
2,8:28.0,Turnover by E. Turner (bad pass; steal by A. Caruso),,33,33
2,8:21.0,,A. Caruso misses 3-pt jump shot from 27 ft,33,33
2,8:17.0,Defensive rebound by J. Layman,,33,33
2,8:10.0,R. Hood misses 3-pt jump shot from 25 ft,,33,33
2,8:07.0,,Defensive rebound by M. Muscala,33,33
2,7:59.0,,M. Wagner misses 3-pt jump shot from 27 ft,33,33
2,7:57.0,,Offensive rebound by Team,33,33
2,7:57.0,,LA Lakers full timeout,33,33
2,7:57.0,,K. Caldwell-Pope enters the game for M. Wagner,33,33
2,7:57.0,,J. McGee enters the game for J. Williams,33,33
2,7:44.0,,J. McGee makes 2-pt layup from 4 ft (assist by K. Caldwell-Pope),33,35
2,7:25.0,S. Curry makes 3-pt jump shot from 26 ft (assist by E. Turner),,36,35
2,7:10.0,,Offensive foul by J. McGee (drawn by R. Hood),36,35
2,7:10.0,,Turnover by J. McGee (offensive foul),36,35
2,7:10.0,M. Harkless enters the game for Z. Collins,,36,35
2,7:10.0,E. Freedom enters the game for R. Hood,,36,35
2,7:10.0,C. McCollum enters the game for E. Turner,,36,35
2,7:10.0,,I. Bonga enters the game for A. Caruso,36,35
2,6:59.0,S. Curry makes 3-pt jump shot from 26 ft,,39,35
2,6:50.0,,Shooting foul by C. McCollum (drawn by K. Caldwell-Pope),39,35
2,6:50.0,,K. Caldwell-Pope makes free throw 1 of 2,39,36
2,6:50.0,,K. Caldwell-Pope makes free throw 2 of 2,39,37
2,6:38.0,S. Curry makes 2-pt layup from 3 ft,,41,37
2,6:21.0,,Shooting foul by E. Freedom (drawn by J. McGee),41,37
2,6:21.0,,J. McGee misses free throw 1 of 2,41,37
2,6:21.0,,Offensive rebound by Team,41,37
2,6:21.0,,A. Caruso enters the game for I. Bonga,41,37
2,6:21.0,,J. McGee makes free throw 2 of 2,41,38
2,6:01.0,Turnover by S. Curry (bad pass),,41,38
2,5:52.0,,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,41,38
2,5:51.0,,Offensive rebound by Team,41,38
2,5:51.0,Loose ball foul by C. McCollum (drawn by M. Muscala),,41,38
2,5:46.0,,Offensive foul by J. McGee (drawn by S. Curry),41,38
2,5:46.0,,Turnover by J. McGee (offensive foul),41,38
2,5:46.0,,J. Williams enters the game for J. McGee,41,38
2,5:28.0,C. McCollum misses 2-pt jump shot from 21 ft,,41,38
2,5:27.0,,Defensive rebound by M. Muscala,41,38
2,5:27.0,,Shooting foul by J. Layman (drawn by K. Caldwell-Pope),41,38
2,5:27.0,,K. Caldwell-Pope misses free throw 1 of 2,41,38
2,5:27.0,,Offensive rebound by Team,41,38
2,5:27.0,D. Lillard enters the game for J. Layman,,41,38
2,5:27.0,,K. Caldwell-Pope makes free throw 2 of 2,41,39
2,5:16.0,M. Harkless misses 3-pt jump shot from 26 ft,,41,39
2,5:16.0,Offensive rebound by Team,,41,39
2,5:07.0,D. Lillard makes 2-pt jump shot from 19 ft (assist by S. Curry),,43,39
2,4:59.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,43,39
2,4:55.0,Defensive rebound by M. Harkless,,43,39
2,4:53.0,C. McCollum misses 2-pt layup from 3 ft (block by A. Caruso),,43,39
2,4:53.0,,Defensive rebound by Team,43,39
2,4:31.0,,M. Muscala misses 3-pt jump shot from 24 ft,43,39
2,4:28.0,Defensive rebound by S. Curry,,43,39
2,4:17.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by E. Freedom),,46,39
2,3:54.0,,Turnover by A. Caruso (bad pass; steal by D. Lillard),46,39
2,3:49.0,S. Curry misses 2-pt layup from 2 ft (block by J. Jones),,46,39
2,3:49.0,Offensive rebound by E. Freedom,,46,39
2,3:49.0,Shooting foul by J. Williams (drawn by E. Freedom),,46,39
2,3:49.0,E. Freedom makes free throw 1 of 2,,47,39
2,3:49.0,A. Aminu enters the game for S. Curry,,47,39
2,3:49.0,E. Freedom makes free throw 2 of 2,,48,39
2,3:32.0,,Turnover by K. Caldwell-Pope (bad pass),48,39
2,3:12.0,C. McCollum misses 3-pt jump shot from 25 ft,,48,39
2,3:07.0,Offensive rebound by D. Lillard,,48,39
2,3:05.0,E. Freedom makes 2-pt hook shot from 4 ft (assist by D. Lillard),,50,39
2,2:56.0,,J. Williams makes 2-pt layup from 4 ft (assist by K. Caldwell-Pope),50,41
2,2:40.0,Turnover by D. Lillard (bad pass; steal by J. Jones),,50,41
2,2:27.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,50,41
2,2:24.0,,Offensive rebound by J. Jones,50,41
2,2:23.0,,J. Jones misses 2-pt layup from 3 ft (block by M. Harkless),50,41
2,2:23.0,,Offensive rebound by J. Williams,50,41
2,2:23.0,,J. Williams misses 2-pt layup from 2 ft (block by C. McCollum),50,41
2,2:23.0,,Offensive rebound by Team,50,41
2,2:23.0,Portland full timeout,,50,41
2,2:15.0,,M. Muscala misses 2-pt hook shot from 6 ft,50,41
2,2:11.0,,Offensive rebound by J. Jones,50,41
2,2:11.0,,J. Jones makes 2-pt layup at rim,50,43
2,1:51.0,D. Lillard makes 3-pt jump shot from 25 ft,,53,43
2,1:43.0,,A. Caruso misses 2-pt layup from 3 ft (block by M. Harkless),53,43
2,1:40.0,Defensive rebound by A. Aminu,,53,43
2,1:39.0,Turnover by C. McCollum (step out of bounds),,53,43
2,1:27.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by J. Williams),53,46
2,1:01.0,Turnover by Team (shot clock),,53,46
2,0:42.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,53,46
2,0:39.0,Defensive rebound by D. Lillard,,53,46
2,0:33.0,D. Lillard misses 3-pt jump shot from 29 ft,,53,46
2,0:33.0,,Defensive rebound by Team,53,46
2,0:21.0,,J. Jones makes 2-pt layup at rim (assist by A. Caruso),53,48
2,0:07.0,Personal foul by K. Caldwell-Pope (drawn by D. Lillard),,53,48
2,0:07.0,S. Curry enters the game for A. Aminu,,53,48
2,0:07.0,J. Layman enters the game for E. Freedom,,53,48
2,0:07.0,,I. Bonga enters the game for M. Muscala,53,48
2,0:00.0,J. Layman misses 2-pt hook shot from 4 ft,,53,48
2,0:00.0,Offensive rebound by Team,,53,48
3,11:45.0,E. Freedom misses 2-pt jump shot from 16 ft,,53,48
3,11:40.0,,Defensive rebound by J. Jones,53,48
3,11:26.0,,A. Caruso misses 2-pt jump shot from 22 ft,53,48
3,11:24.0,Defensive rebound by M. Harkless,,53,48
3,11:21.0,D. Lillard misses 3-pt jump shot from 28 ft,,53,48
3,11:16.0,Offensive rebound by E. Freedom,,53,48
3,11:14.0,C. McCollum misses 3-pt jump shot from 26 ft,,53,48
3,11:09.0,,Defensive rebound by K. Caldwell-Pope,53,48
3,11:04.0,,M. Muscala makes 3-pt jump shot from 27 ft (assist by K. Caldwell-Pope),53,51
3,10:43.0,C. McCollum misses 3-pt jump shot from 28 ft,,53,51
3,10:38.0,Offensive rebound by E. Freedom,,53,51
3,10:37.0,E. Freedom makes 2-pt layup from 2 ft,,55,51
3,10:30.0,,Shooting foul by M. Harkless (drawn by K. Caldwell-Pope),55,51
3,10:30.0,,K. Caldwell-Pope misses free throw 1 of 3,55,51
3,10:30.0,,Offensive rebound by Team,55,51
3,10:30.0,,K. Caldwell-Pope makes free throw 2 of 3,55,52
3,10:30.0,,K. Caldwell-Pope makes free throw 3 of 3,55,53
3,10:16.0,D. Lillard misses 3-pt jump shot from 30 ft,,55,53
3,10:12.0,,Defensive rebound by A. Caruso,55,53
3,10:00.0,,Turnover by A. Caruso (bad pass),55,53
3,9:52.0,Shooting foul by J. Jones (drawn by D. Lillard),,55,53
3,9:52.0,D. Lillard makes free throw 1 of 2,,56,53
3,9:52.0,D. Lillard makes free throw 2 of 2,,57,53
3,9:38.0,,M. Muscala misses 3-pt jump shot from 25 ft,57,53
3,9:34.0,Defensive rebound by E. Freedom,,57,53
3,9:19.0,Shooting foul by A. Caruso (drawn by M. Harkless),,57,53
3,9:19.0,M. Harkless misses free throw 1 of 2,,57,53
3,9:19.0,Offensive rebound by Team,,57,53
3,9:19.0,M. Harkless makes free throw 2 of 2,,58,53
3,9:06.0,,K. Caldwell-Pope makes 2-pt jump shot from 17 ft (assist by A. Caruso),58,55
3,8:46.0,M. Harkless misses 3-pt jump shot from 27 ft,,58,55
3,8:44.0,,Defensive rebound by K. Caldwell-Pope,58,55
3,8:39.0,,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,58,55
3,8:37.0,Defensive rebound by M. Harkless,,58,55
3,8:27.0,D. Lillard misses 3-pt jump shot from 25 ft,,58,55
3,8:19.0,Offensive rebound by M. Harkless,,58,55
3,8:19.0,M. Harkless makes 2-pt dunk at rim,,60,55
3,8:11.0,,Personal foul by E. Freedom (drawn by J. McGee),60,55
3,8:11.0,,I. Bonga enters the game for A. Caruso,60,55
3,7:59.0,,J. McGee makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),60,57
3,7:33.0,Shooting foul by J. McGee (drawn by E. Freedom),,60,57
3,7:33.0,E. Freedom misses free throw 1 of 2,,60,57
3,7:33.0,Offensive rebound by Team,,60,57
3,7:33.0,E. Freedom makes free throw 2 of 2,,61,57
3,7:33.0,,LA Lakers full timeout,61,57
3,7:18.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,61,57
3,7:15.0,Defensive rebound by E. Freedom,,61,57
3,7:09.0,C. McCollum makes 2-pt jump shot from 16 ft,,63,57
3,6:45.0,,J. Jones misses 2-pt jump shot from 16 ft,63,57
3,6:43.0,Defensive rebound by E. Freedom,,63,57
3,6:40.0,,Technical foul by K. Caldwell-Pope,63,57
3,6:40.0,D. Lillard makes technical free throw,,64,57
3,6:40.0,,J. Williams enters the game for J. McGee,64,57
3,6:29.0,M. Harkless makes 2-pt layup from 4 ft (assist by E. Freedom),,66,57
3,6:16.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft,66,57
3,6:14.0,,Offensive rebound by J. Williams,66,57
3,6:14.0,,J. Williams makes 2-pt layup from 1 ft,66,59
3,5:56.0,Turnover by E. Freedom (lost ball; steal by J. Williams),,66,59
3,5:52.0,,J. Williams makes 2-pt dunk from 2 ft,66,61
3,5:32.0,D. Lillard misses 2-pt dunk from 3 ft (block by I. Bonga),,66,61
3,5:29.0,,Defensive rebound by J. Jones,66,61
3,5:21.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,66,61
3,5:16.0,,Offensive rebound by I. Bonga,66,61
3,5:08.0,,I. Bonga misses 2-pt layup from 2 ft,66,61
3,5:06.0,Defensive rebound by E. Freedom,,66,61
3,4:53.0,M. Harkless makes 2-pt dunk from 2 ft (assist by D. Lillard),,68,61
3,4:26.0,,J. Williams misses 2-pt hook shot from 1 ft,68,61
3,4:23.0,Defensive rebound by A. Aminu,,68,61
3,4:10.0,M. Harkless makes 2-pt dunk from 2 ft (assist by C. McCollum),,70,61
3,4:10.0,Shooting foul by M. Muscala (drawn by M. Harkless),,70,61
3,4:10.0,,LA Lakers full timeout,70,61
3,4:10.0,S. Curry enters the game for A. Aminu,,70,61
3,4:10.0,R. Hood enters the game for C. McCollum,,70,61
3,4:10.0,,A. Caruso enters the game for I. Bonga,70,61
3,4:10.0,M. Harkless makes free throw 1 of 1,,71,61
3,3:56.0,,Turnover by A. Caruso (bad pass; steal by E. Freedom),71,61
3,3:39.0,M. Harkless misses 3-pt jump shot from 26 ft,,71,61
3,3:36.0,,Defensive rebound by J. Williams,71,61
3,3:30.0,,J. Jones makes 3-pt jump shot from 25 ft (assist by A. Caruso),71,64
3,3:11.0,R. Hood misses 3-pt jump shot from 25 ft,,71,64
3,3:08.0,,Defensive rebound by J. Jones,71,64
3,2:48.0,,A. Caruso misses 2-pt layup from 3 ft,71,64
3,2:45.0,Defensive rebound by E. Freedom,,71,64
3,2:37.0,D. Lillard misses 2-pt layup from 2 ft,,71,64
3,2:34.0,,Defensive rebound by J. Jones,71,64
3,2:30.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by A. Caruso),71,67
3,2:03.0,Turnover by E. Freedom (bad pass; steal by K. Caldwell-Pope),,71,67
3,1:51.0,,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,71,67
3,1:48.0,Defensive rebound by E. Freedom,,71,67
3,1:36.0,Shooting foul by A. Caruso (drawn by D. Lillard),,71,67
3,1:36.0,D. Lillard makes free throw 1 of 2,,72,67
3,1:36.0,Z. Collins enters the game for M. Harkless,,72,67
3,1:36.0,E. Turner enters the game for E. Freedom,,72,67
3,1:36.0,,M. Wagner enters the game for M. Muscala,72,67
3,1:36.0,D. Lillard makes free throw 2 of 2,,73,67
3,1:28.0,,A. Caruso makes 2-pt jump shot from 2 ft,73,69
3,1:11.0,Z. Collins misses 3-pt jump shot from 25 ft,,73,69
3,1:09.0,,Defensive rebound by A. Caruso,73,69
3,1:07.0,,A. Caruso misses 2-pt layup from 2 ft (block by Z. Collins),73,69
3,1:04.0,Defensive rebound by E. Turner,,73,69
3,1:00.0,S. Curry misses 3-pt jump shot from 26 ft,,73,69
3,0:55.0,,Defensive rebound by M. Wagner,73,69
3,0:51.0,,M. Wagner makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),73,71
3,0:51.0,Portland full timeout,,73,71
3,0:34.0,D. Lillard misses 3-pt jump shot from 27 ft,,73,71
3,0:31.0,,Defensive rebound by J. Jones,73,71
3,0:22.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,73,71
3,0:17.0,,Offensive rebound by J. Jones,73,71
3,0:16.0,,K. Caldwell-Pope makes 3-pt jump shot from 28 ft (assist by J. Jones),73,74
4,11:46.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,73,74
4,11:42.0,,Offensive rebound by J. Williams,73,74
4,11:37.0,,A. Caruso misses 3-pt jump shot from 26 ft,73,74
4,11:34.0,Defensive rebound by E. Turner,,73,74
4,11:26.0,E. Turner misses 2-pt layup from 3 ft,,73,74
4,11:24.0,,Defensive rebound by A. Caruso,73,74
4,11:17.0,,J. Jones makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),73,76
4,10:54.0,S. Curry makes 3-pt jump shot from 26 ft,,76,76
4,10:48.0,,Personal foul by S. Curry (drawn by A. Caruso),76,76
4,10:35.0,,J. Jones misses 2-pt jump shot from 15 ft,76,76
4,10:30.0,,Offensive rebound by J. Williams,76,76
4,10:30.0,,J. Williams makes 2-pt dunk from 1 ft,76,78
4,10:15.0,J. Layman misses 3-pt jump shot from 25 ft,,76,78
4,10:12.0,,Defensive rebound by K. Caldwell-Pope,76,78
4,10:07.0,,Shooting foul by R. Hood (drawn by J. Williams),76,78
4,10:07.0,,J. Williams makes free throw 1 of 2,76,79
4,10:07.0,,J. Williams makes free throw 2 of 2,76,80
4,9:50.0,R. Hood misses 2-pt layup from 4 ft,,76,80
4,9:50.0,Offensive rebound by Team,,76,80
4,9:50.0,,Loose ball foul by J. Williams (drawn by Z. Collins),76,80
4,9:50.0,E. Freedom enters the game for J. Layman,,76,80
4,9:47.0,S. Curry makes 2-pt layup from 2 ft (assist by E. Turner),,78,80
4,9:38.0,,LA Lakers full timeout,78,80
4,9:16.0,,J. Williams misses 2-pt hook shot from 1 ft,78,80
4,9:11.0,Defensive rebound by E. Freedom,,78,80
4,9:05.0,,Violation by Team (kicked ball),78,80
4,8:57.0,Z. Collins misses 2-pt hook shot from 4 ft,,78,80
4,8:54.0,,Defensive rebound by J. Jones,78,80
4,8:49.0,,Turnover by K. Caldwell-Pope (out of bounds lost ball),78,80
4,8:32.0,Offensive foul by Z. Collins (drawn by K. Caldwell-Pope),,78,80
4,8:32.0,Turnover by Z. Collins (offensive foul),,78,80
4,8:32.0,M. Harkless enters the game for Z. Collins,,78,80
4,8:24.0,,Turnover by A. Caruso (bad pass; steal by S. Curry),78,80
4,8:20.0,S. Curry misses 2-pt layup from 1 ft,,78,80
4,8:18.0,Offensive rebound by E. Freedom,,78,80
4,8:17.0,E. Freedom misses 2-pt layup from 1 ft,,78,80
4,8:15.0,,Defensive rebound by J. Williams,78,80
4,8:07.0,,Turnover by J. Williams (lost ball; steal by S. Curry),78,80
4,7:49.0,E. Turner makes 2-pt jump shot from 9 ft,,80,80
4,7:33.0,,A. Caruso makes 2-pt jump shot from 11 ft,80,82
4,7:33.0,,J. McGee enters the game for J. Williams,80,82
4,7:02.0,E. Freedom misses 2-pt hook shot from 2 ft (block by J. McGee),,80,82
4,7:01.0,Offensive rebound by Team,,80,82
4,7:01.0,Turnover by Team (shot clock),,80,82
4,6:49.0,,A. Caruso misses 2-pt jump shot from 15 ft,80,82
4,6:43.0,,Offensive rebound by A. Caruso,80,82
4,6:41.0,,A. Caruso misses 2-pt layup from 3 ft (block by E. Turner),80,82
4,6:35.0,,Offensive rebound by A. Caruso,80,82
4,6:34.0,,M. Wagner misses 3-pt jump shot from 26 ft,80,82
4,6:32.0,Defensive rebound by E. Turner,,80,82
4,6:30.0,Offensive foul by E. Freedom (drawn by M. Wagner),,80,82
4,6:30.0,Turnover by E. Freedom (offensive foul),,80,82
4,6:30.0,D. Lillard enters the game for S. Curry,,80,82
4,6:30.0,C. McCollum enters the game for E. Turner,,80,82
4,6:14.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by A. Caruso),80,85
4,5:58.0,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),,82,85
4,5:40.0,,Turnover by M. Wagner (bad pass),82,85
4,5:26.0,D. Lillard makes 3-pt jump shot from 27 ft,,85,85
4,5:15.0,,J. McGee makes 2-pt dunk from 2 ft (assist by A. Caruso),85,87
4,5:05.0,C. McCollum makes 2-pt jump shot from 21 ft,,87,87
4,4:51.0,,J. Jones misses 2-pt layup from 1 ft (block by D. Lillard),87,87
4,4:51.0,,Offensive rebound by Team,87,87
4,4:51.0,S. Curry enters the game for R. Hood,,87,87
4,4:43.0,,J. Jones misses 2-pt layup from 2 ft,87,87
