QUARTER,TIME_REMAINING,MIAMI_ACTION,MINNESOTA_ACTION,MIAMI_SCORE,MINNESOTA_SCORE
1,3:39.0,,G. Dieng misses 2-pt jump shot from 13 ft,23,24
1,3:37.0,Defensive rebound by K. Olynyk,,23,24
1,3:30.0,Personal foul by G. Dieng (drawn by B. Adebayo),,23,24
1,3:30.0,J. Johnson enters the game for B. Adebayo,,23,24
1,3:30.0,R. McGruder enters the game for G. Dragić,,23,24
1,3:30.0,H. Whiteside enters the game for K. Olynyk,,23,24
1,3:30.0,,K. Bates-Diop enters the game for J. Okogie,23,24
1,3:30.0,,A. Tolliver enters the game for D. Šarić,23,24
1,3:17.0,R. McGruder makes 2-pt dunk from 1 ft (assist by J. Johnson),,25,24
1,3:04.0,,T. Jones makes 2-pt jump shot from 8 ft,25,26
1,2:51.0,D. Wade makes 2-pt jump shot from 16 ft,,27,26
1,2:35.0,,G. Dieng misses 2-pt layup from 1 ft (block by H. Whiteside),27,26
1,2:33.0,Defensive rebound by D. Wade,,27,26
1,2:29.0,R. McGruder misses 3-pt jump shot from 24 ft,,27,26
1,2:26.0,,Defensive rebound by G. Dieng,27,26
1,2:24.0,,A. Wiggins misses 2-pt layup from 1 ft,27,26
1,2:24.0,,Offensive rebound by A. Tolliver,27,26
1,2:21.0,,A. Tolliver makes 2-pt layup at rim,27,28
1,2:12.0,Personal foul by K. Bates-Diop (drawn by H. Whiteside),,27,28
1,2:12.0,,J. Bayless enters the game for T. Jones,27,28
1,2:06.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by R. McGruder),,29,28
1,1:52.0,,Personal foul by J. Johnson (drawn by G. Dieng),29,28
1,1:52.0,,G. Dieng makes free throw 1 of 2,29,29
1,1:52.0,,G. Dieng makes free throw 2 of 2,29,30
1,1:39.0,R. McGruder misses 3-pt jump shot from 23 ft,,29,30
1,1:36.0,,Defensive rebound by J. Bayless,29,30
1,1:27.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by J. Bayless),29,32
1,1:10.0,D. Wade makes 2-pt layup from 2 ft,,31,32
1,1:00.0,,G. Dieng makes 2-pt jump shot from 19 ft,31,34
1,0:49.0,Turnover by D. Wade (bad pass; steal by G. Dieng),,31,34
1,0:42.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft,31,34
1,0:38.0,Defensive rebound by J. Winslow,,31,34
1,0:31.0,J. Johnson makes 2-pt dunk at rim (assist by J. Winslow),,33,34
1,0:24.0,,K. Bates-Diop makes 2-pt layup from 2 ft (assist by J. Bayless),33,36
1,0:04.0,D. Wade makes 2-pt jump shot from 17 ft,,35,36
1,0:00.0,,A. Wiggins misses 3-pt jump shot from 32 ft,35,36
1,0:00.0,,Offensive rebound by Team,35,36
2,11:51.0,Offensive foul by H. Whiteside (drawn by K. Bates-Diop),,35,36
2,11:51.0,Turnover by H. Whiteside (offensive foul),,35,36
2,11:36.0,,J. Bayless misses 2-pt jump shot from 20 ft,35,36
2,11:33.0,Defensive rebound by Team,,35,36
2,11:23.0,D. Wade makes 2-pt layup at rim,,37,36
2,11:10.0,,G. Dieng misses 3-pt jump shot from 23 ft,37,36
2,11:08.0,Defensive rebound by G. Dragić,,37,36
2,11:00.0,D. Wade makes 2-pt layup from 1 ft,,39,36
2,10:52.0,,J. Bayless misses 2-pt jump shot from 13 ft,39,36
2,10:50.0,Defensive rebound by H. Whiteside,,39,36
2,10:48.0,Turnover by H. Whiteside (dbl dribble),,39,36
2,10:48.0,Violation by Team (delay of game),,39,36
2,10:40.0,,G. Dieng makes 2-pt jump shot from 16 ft (assist by J. Bayless),39,38
2,10:29.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by G. Dragić),,42,38
2,10:16.0,,Shooting foul by R. McGruder (drawn by G. Dieng),42,38
2,10:16.0,,G. Dieng makes free throw 1 of 2,42,39
2,10:16.0,,G. Dieng misses free throw 2 of 2,42,39
2,10:14.0,Defensive rebound by H. Whiteside,,42,39
2,10:09.0,Offensive foul by J. Johnson (drawn by A. Tolliver),,42,39
2,10:09.0,Turnover by J. Johnson (offensive foul),,42,39
2,9:59.0,,A. Tolliver misses 3-pt jump shot from 29 ft,42,39
2,9:56.0,,Offensive rebound by K. Bates-Diop,42,39
2,9:54.0,,K. Bates-Diop misses 2-pt layup from 4 ft (block by R. McGruder),42,39
2,9:54.0,Defensive rebound by R. McGruder,,42,39
2,9:51.0,G. Dragić makes 2-pt layup from 1 ft (assist by R. McGruder),,44,39
2,9:51.0,Shooting foul by J. Bayless (drawn by G. Dragić),,44,39
2,9:51.0,G. Dragić makes free throw 1 of 1,,45,39
2,9:27.0,,Turnover by J. Bayless (bad pass; steal by G. Dragić),45,39
2,9:22.0,J. Johnson misses 3-pt jump shot from 23 ft,,45,39
2,9:20.0,,Defensive rebound by A. Tolliver,45,39
2,9:15.0,,Shooting foul by D. Wade (drawn by A. Tolliver),45,39
2,9:15.0,,A. Tolliver makes free throw 1 of 3,45,40
2,9:15.0,,A. Tolliver makes free throw 2 of 3,45,41
2,9:15.0,,A. Tolliver misses free throw 3 of 3,45,41
2,9:13.0,Defensive rebound by H. Whiteside,,45,41
2,8:59.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by D. Wade),,48,41
2,8:57.0,,Minnesota full timeout,48,41
2,8:36.0,,G. Dieng makes 2-pt jump shot from 19 ft (assist by A. Tolliver),48,43
2,8:17.0,Shooting foul by J. Bayless (drawn by D. Wade),,48,43
2,8:17.0,D. Wade makes free throw 1 of 2,,49,43
2,8:17.0,D. Wade makes free throw 2 of 2,,50,43
2,8:03.0,,C. Reynolds makes 3-pt jump shot from 26 ft (assist by J. Bayless),50,46
2,7:41.0,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Johnson),,52,46
2,7:27.0,,G. Dieng misses 2-pt jump shot from 13 ft,52,46
2,7:27.0,Defensive rebound by H. Whiteside,,52,46
2,7:19.0,H. Whiteside misses 2-pt layup from 6 ft (block by G. Dieng),,52,46
2,7:16.0,Offensive rebound by R. McGruder,,52,46
2,7:12.0,D. Wade makes 3-pt jump shot from 26 ft (assist by J. Johnson),,55,46
2,7:00.0,,J. Bayless makes 2-pt jump shot from 13 ft,55,48
2,6:47.0,G. Dragić misses 3-pt jump shot from 24 ft,,55,48
2,6:44.0,,Defensive rebound by A. Tolliver,55,48
2,6:23.0,,G. Dieng misses 2-pt layup from 2 ft,55,48
2,6:20.0,Defensive rebound by R. McGruder,,55,48
2,6:11.0,D. Wade misses 3-pt jump shot from 26 ft,,55,48
2,6:07.0,Offensive rebound by R. McGruder,,55,48
2,6:06.0,R. McGruder makes 2-pt layup from 4 ft,,57,48
2,5:56.0,,J. Bayless misses 2-pt layup from 4 ft,57,48
2,5:55.0,Defensive rebound by G. Dragić,,57,48
2,5:54.0,Personal take foul by G. Dieng (drawn by G. Dragić),,57,48
2,5:54.0,B. Adebayo enters the game for R. McGruder,,57,48
2,5:54.0,D. Waiters enters the game for D. Wade,,57,48
2,5:54.0,J. Winslow enters the game for H. Whiteside,,57,48
2,5:54.0,,T. Jones enters the game for K. Bates-Diop,57,48
2,5:54.0,,D. Šarić enters the game for J. Bayless,57,48
2,5:54.0,,K. Towns enters the game for G. Dieng,57,48
2,5:54.0,,A. Wiggins enters the game for A. Tolliver,57,48
2,5:43.0,J. Winslow misses 3-pt jump shot from 24 ft,,57,48
2,5:41.0,,Defensive rebound by A. Wiggins,57,48
2,5:31.0,,Turnover by A. Wiggins (bad pass; steal by G. Dragić),57,48
2,5:17.0,D. Waiters misses 2-pt layup from 4 ft,,57,48
2,5:15.0,,Defensive rebound by K. Towns,57,48
2,5:12.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),57,50
2,5:00.0,Personal foul by T. Jones (drawn by G. Dragić),,57,50
2,5:00.0,,J. Okogie enters the game for C. Reynolds,57,50
2,4:45.0,D. Waiters misses 2-pt layup from 4 ft,,57,50
2,4:44.0,,Defensive rebound by D. Šarić,57,50
2,4:30.0,,Personal foul by J. Johnson (drawn by K. Towns),57,50
2,4:19.0,,K. Towns misses 2-pt hook shot from 10 ft,57,50
2,4:17.0,Defensive rebound by B. Adebayo,,57,50
2,3:59.0,J. Johnson misses 3-pt jump shot from 26 ft,,57,50
2,3:55.0,,Defensive rebound by A. Wiggins,57,50
2,3:46.0,,J. Okogie misses 2-pt jump shot from 11 ft,57,50
2,3:44.0,Defensive rebound by J. Johnson,,57,50
2,3:34.0,Personal foul by J. Okogie (drawn by D. Waiters),,57,50
2,3:34.0,D. Waiters misses free throw 1 of 2,,57,50
2,3:34.0,Offensive rebound by Team,,57,50
2,3:34.0,K. Olynyk enters the game for J. Johnson,,57,50
2,3:34.0,D. Waiters misses free throw 2 of 2,,57,50
2,3:31.0,,Defensive rebound by T. Jones,57,50
2,3:12.0,,J. Okogie misses 3-pt jump shot from 25 ft,57,50
2,3:11.0,Defensive rebound by J. Winslow,,57,50
2,3:04.0,J. Winslow makes 2-pt layup from 3 ft,,59,50
2,2:46.0,,D. Šarić makes 2-pt jump shot from 19 ft (assist by T. Jones),59,52
2,2:36.0,G. Dragić makes 2-pt layup from 1 ft,,61,52
2,2:20.0,,J. Okogie makes 2-pt jump shot from 12 ft,61,54
2,2:05.0,J. Winslow makes 2-pt jump shot from 12 ft,,63,54
2,1:51.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Jones),63,57
2,1:49.0,Miami full timeout,,63,57
2,1:49.0,D. Wade enters the game for D. Waiters,,63,57
2,1:41.0,Personal foul by J. Okogie (drawn by D. Wade),,63,57
2,1:41.0,D. Wade makes free throw 1 of 2,,64,57
2,1:41.0,D. Wade makes free throw 2 of 2,,65,57
2,1:29.0,,Turnover by K. Towns (bad pass; steal by B. Adebayo),65,57
2,1:24.0,Turnover by J. Winslow (lost ball; steal by T. Jones),,65,57
2,1:19.0,,A. Wiggins makes 2-pt layup from 1 ft,65,59
2,1:13.0,D. Wade makes 2-pt jump shot from 5 ft (assist by G. Dragić),,67,59
2,0:57.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by A. Wiggins),67,61
2,0:41.0,D. Wade misses 2-pt jump shot from 15 ft,,67,61
2,0:38.0,,Defensive rebound by T. Jones,67,61
2,0:31.0,,T. Jones misses 3-pt jump shot from 25 ft,67,61
2,0:29.0,Defensive rebound by G. Dragić,,67,61
2,0:10.0,G. Dragić makes 2-pt jump shot from 14 ft,,69,61
2,0:04.0,,Personal foul by G. Dragić (drawn by T. Jones),69,61
2,0:04.0,R. McGruder enters the game for G. Dragić,,69,61
2,0:01.0,,A. Wiggins misses 3-pt jump shot from 33 ft,69,61
2,0:01.0,,Offensive rebound by Team,69,61
3,11:40.0,Turnover by K. Olynyk (lost ball; steal by J. Okogie),,69,61
3,11:19.0,,T. Jones misses 2-pt jump shot from 19 ft,69,61
3,11:18.0,,Offensive rebound by Team,69,61
3,11:18.0,Loose ball foul by B. Adebayo (drawn by K. Towns),,69,61
3,11:12.0,,Personal foul by B. Adebayo (drawn by K. Towns),69,61
3,11:07.0,,K. Towns makes 2-pt jump shot from 19 ft,69,63
3,10:54.0,G. Dragić misses 2-pt jump shot from 8 ft,,69,63
3,10:52.0,Offensive rebound by G. Dragić,,69,63
3,10:44.0,J. Winslow misses 2-pt jump shot from 7 ft,,69,63
3,10:41.0,,Defensive rebound by D. Šarić,69,63
3,10:35.0,,J. Okogie misses 2-pt layup from 1 ft,69,63
3,10:32.0,Defensive rebound by J. Winslow,,69,63
3,10:27.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by G. Dragić),,72,63
3,10:18.0,,D. Šarić makes 3-pt jump shot from 26 ft,72,66
3,10:05.0,G. Dragić misses 2-pt jump shot from 6 ft,,72,66
3,10:03.0,,Defensive rebound by K. Towns,72,66
3,9:56.0,,Turnover by K. Towns (traveling),72,66
3,9:41.0,K. Olynyk misses 3-pt jump shot from 23 ft,,72,66
3,9:38.0,,Defensive rebound by K. Towns,72,66
3,9:32.0,,T. Jones misses 2-pt layup from 4 ft (block by K. Olynyk),72,66
3,9:32.0,Defensive rebound by Team,,72,66
3,9:19.0,J. Winslow misses 3-pt jump shot from 25 ft,,72,66
3,9:16.0,,Defensive rebound by K. Towns,72,66
3,9:06.0,,D. Šarić makes 2-pt jump shot from 8 ft (assist by J. Okogie),72,68
3,8:49.0,G. Dragić misses 2-pt jump shot from 18 ft,,72,68
3,8:46.0,,Defensive rebound by D. Šarić,72,68
3,8:42.0,,Personal foul by G. Dragić (drawn by T. Jones),72,68
3,8:35.0,,T. Jones makes 2-pt layup from 1 ft,72,70
3,8:19.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by G. Dragić),,75,70
3,8:05.0,,D. Šarić makes 2-pt layup from 2 ft (assist by K. Towns),75,72
3,7:59.0,,Violation by Team (kicked ball),75,72
3,7:49.0,,Violation by Team (kicked ball),75,72
3,7:42.0,Turnover by B. Adebayo (lost ball; steal by J. Okogie),,75,72
3,7:24.0,,D. Šarić misses 2-pt jump shot from 15 ft,75,72
3,7:22.0,Defensive rebound by J. Winslow,,75,72
3,7:15.0,J. Winslow misses 2-pt layup from 4 ft,,75,72
3,7:13.0,,Defensive rebound by T. Jones,75,72
3,7:02.0,,A. Wiggins makes 3-pt jump shot from 27 ft (assist by T. Jones),75,75
3,6:49.0,Offensive foul by D. Waiters (drawn by J. Okogie),,75,75
3,6:49.0,Turnover by D. Waiters (offensive foul),,75,75
3,6:49.0,,Minnesota full timeout,75,75
3,6:49.0,J. Johnson enters the game for K. Olynyk,,75,75
3,6:33.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by D. Šarić),75,77
3,6:33.0,D. Wade enters the game for G. Dragić,,75,77
3,6:07.0,Turnover by J. Winslow (bad pass; steal by A. Wiggins),,75,77
3,5:54.0,,T. Jones makes 2-pt jump shot from 8 ft,75,79
3,5:35.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Johnson),,78,79
3,5:20.0,,T. Jones makes 2-pt layup from 3 ft,78,81
3,5:01.0,J. Johnson makes 2-pt layup from 2 ft,,80,81
3,4:48.0,,J. Okogie misses 3-pt jump shot from 23 ft,80,81
3,4:46.0,,Offensive rebound by Team,80,81
3,4:46.0,,G. Dieng enters the game for D. Šarić,80,81
3,4:46.0,,C. Reynolds enters the game for A. Wiggins,80,81
3,4:38.0,,K. Towns misses 2-pt hook shot from 11 ft,80,81
3,4:37.0,Defensive rebound by J. Winslow,,80,81
3,4:33.0,J. Winslow makes 2-pt layup from 2 ft,,82,81
3,4:13.0,,G. Dieng misses 2-pt jump shot from 16 ft,82,81
3,4:11.0,Defensive rebound by D. Wade,,82,81
3,4:11.0,,Technical foul by G. Dieng,82,81
3,4:11.0,D. Wade makes technical free throw,,83,81
3,4:02.0,D. Waiters misses 3-pt jump shot from 26 ft,,83,81
3,3:56.0,,Defensive rebound by K. Towns,83,81
3,3:43.0,,T. Jones makes 2-pt jump shot from 5 ft,83,83
3,3:27.0,J. Winslow makes 2-pt jump shot from 10 ft,,85,83
3,3:17.0,,Personal foul by J. Winslow (drawn by J. Okogie),85,83
3,3:17.0,,K. Bates-Diop enters the game for J. Okogie,85,83
3,3:08.0,,Turnover by K. Towns (bad pass; steal by B. Adebayo),85,83
3,3:03.0,D. Waiters makes 2-pt layup from 1 ft (assist by J. Johnson),,87,83
3,2:42.0,,Flagrant foul type 1 by J. Winslow (drawn by K. Towns),87,83
3,2:42.0,Miami full timeout,,87,83
3,2:42.0,,J. Bayless enters the game for T. Jones,87,83
3,2:42.0,,K. Towns makes flagrant free throw 1 of 2,87,84
3,2:42.0,,K. Towns makes flagrant free throw 2 of 2,87,85
3,2:30.0,,K. Towns misses 2-pt jump shot from 13 ft,87,85
3,2:26.0,Defensive rebound by J. Johnson,,87,85
3,2:18.0,D. Waiters misses 3-pt jump shot from 25 ft,,87,85
3,2:14.0,,Defensive rebound by G. Dieng,87,85
3,1:59.0,,Offensive foul by K. Towns (drawn by B. Adebayo),87,85
3,1:59.0,,Turnover by K. Towns (offensive foul),87,85
3,1:59.0,,A. Tolliver enters the game for K. Towns,87,85
3,1:52.0,Personal foul by K. Bates-Diop (drawn by B. Adebayo),,87,85
3,1:52.0,,A. Wiggins enters the game for C. Reynolds,87,85
3,1:38.0,D. Wade misses 3-pt jump shot from 28 ft,,87,85
3,1:35.0,,Defensive rebound by K. Bates-Diop,87,85
3,1:31.0,,Personal foul by D. Wade (drawn by A. Wiggins),87,85
3,1:31.0,,A. Wiggins makes free throw 1 of 2,87,86
3,1:31.0,H. Whiteside enters the game for B. Adebayo,,87,86
3,1:31.0,,A. Wiggins misses free throw 2 of 2,87,86
3,1:28.0,Defensive rebound by H. Whiteside,,87,86
3,1:17.0,Turnover by D. Wade (out of bounds lost ball),,87,86
3,1:05.0,,A. Wiggins makes 2-pt dunk from 1 ft (assist by G. Dieng),87,88
3,0:50.0,D. Wade misses 2-pt jump shot from 10 ft,,87,88
3,0:48.0,Offensive rebound by H. Whiteside,,87,88
3,0:48.0,H. Whiteside makes 2-pt layup from 1 ft,,89,88
3,0:29.0,,G. Dieng makes 2-pt jump shot from 14 ft (assist by K. Bates-Diop),89,90
3,0:04.0,D. Waiters makes 2-pt layup from 1 ft,,91,90
4,11:43.0,,A. Wiggins makes 2-pt layup from 4 ft,91,92
4,11:23.0,D. Wade misses 3-pt jump shot from 23 ft,,91,92
4,11:21.0,,Defensive rebound by A. Tolliver,91,92
4,11:15.0,,A. Tolliver misses 2-pt layup from 3 ft (block by H. Whiteside),91,92
4,11:12.0,Defensive rebound by D. Wade,,91,92
4,10:57.0,Turnover by J. Johnson (out of bounds lost ball),,91,92
4,10:40.0,,A. Tolliver misses 2-pt jump shot from 13 ft,91,92
4,10:38.0,Defensive rebound by Team,,91,92
4,10:38.0,,Loose ball foul by G. Dieng (drawn by J. Johnson),91,92
4,10:28.0,J. Johnson makes 2-pt layup from 5 ft (assist by G. Dragić),,93,92
4,10:14.0,,A. Tolliver makes 3-pt jump shot from 23 ft (assist by J. Bayless),93,95
4,10:00.0,Shooting foul by J. Bayless (drawn by G. Dragić),,93,95
4,10:00.0,G. Dragić misses free throw 1 of 2,,93,95
4,10:00.0,Offensive rebound by Team,,93,95
4,10:00.0,G. Dragić makes free throw 2 of 2,,94,95
4,9:40.0,,Turnover by A. Wiggins (bad pass; steal by G. Dragić),94,95
4,9:35.0,D. Waiters misses 3-pt jump shot from 23 ft,,94,95
4,9:33.0,Offensive rebound by G. Dragić,,94,95
4,9:19.0,D. Wade misses 2-pt jump shot from 19 ft,,94,95
4,9:15.0,,Defensive rebound by A. Tolliver,94,95
4,8:56.0,,J. Bayless makes 3-pt jump shot from 25 ft (assist by A. Tolliver),94,98
4,8:37.0,,Violation by Team (kicked ball),94,98
4,8:37.0,,C. Reynolds enters the game for A. Wiggins,94,98
4,8:31.0,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Wade),,96,98
4,8:08.0,,K. Bates-Diop misses 2-pt layup from 3 ft,96,98
4,8:03.0,,Offensive rebound by G. Dieng,96,98
4,8:03.0,,G. Dieng makes 2-pt layup from 1 ft,96,100
4,7:38.0,G. Dragić misses 3-pt jump shot from 24 ft,,96,100
4,7:33.0,Offensive rebound by H. Whiteside,,96,100
4,7:33.0,H. Whiteside makes 2-pt dunk at rim,,98,100
4,7:22.0,,C. Reynolds misses 3-pt jump shot from 25 ft,98,100
4,7:19.0,,Offensive rebound by G. Dieng,98,100
4,7:16.0,,G. Dieng misses 3-pt jump shot from 23 ft,98,100
4,7:16.0,,Offensive rebound by K. Bates-Diop,98,100
4,7:14.0,,K. Bates-Diop makes 2-pt layup from 1 ft,98,102
4,7:14.0,Miami full timeout,,98,102
4,7:14.0,B. Adebayo enters the game for D. Waiters,,98,102
4,7:14.0,J. Winslow enters the game for H. Whiteside,,98,102
4,7:14.0,,D. Šarić enters the game for G. Dieng,98,102
4,7:14.0,,K. Towns enters the game for A. Tolliver,98,102
4,7:02.0,J. Johnson makes 2-pt dunk from 2 ft (assist by G. Dragić),,100,102
4,6:48.0,,K. Bates-Diop makes 2-pt layup from 1 ft (assist by K. Towns),100,104
4,6:36.0,J. Winslow misses 3-pt jump shot from 23 ft,,100,104
4,6:33.0,,Defensive rebound by J. Bayless,100,104
4,6:24.0,,Turnover by J. Bayless (bad pass; steal by G. Dragić),100,104
4,6:14.0,D. Wade misses 2-pt jump shot from 16 ft,,100,104
4,6:12.0,,Defensive rebound by K. Towns,100,104
4,5:55.0,,Turnover by K. Towns (out of bounds lost ball),100,104
4,5:55.0,D. Waiters enters the game for D. Wade,,100,104
4,5:55.0,,T. Jones enters the game for J. Bayless,100,104
4,5:55.0,,A. Wiggins enters the game for C. Reynolds,100,104
4,5:33.0,J. Johnson misses 2-pt jump shot from 7 ft,,100,104
4,5:29.0,,Defensive rebound by K. Bates-Diop,100,104
4,5:22.0,,K. Towns misses 3-pt jump shot from 26 ft,100,104
4,5:19.0,Defensive rebound by B. Adebayo,,100,104
4,5:04.0,J. Johnson misses 3-pt jump shot from 23 ft,,100,104
4,5:03.0,,Defensive rebound by T. Jones,100,104
4,5:02.0,,Personal foul by J. Johnson (drawn by T. Jones),100,104
4,4:45.0,,Shooting foul by J. Winslow (drawn by D. Šarić),100,104
4,4:45.0,,D. Šarić makes free throw 1 of 2,100,105
4,4:45.0,,D. Šarić makes free throw 2 of 2,100,106
4,4:32.0,J. Johnson makes 2-pt jump shot from 7 ft,,102,106
4,4:14.0,,Offensive foul by A. Wiggins (drawn by J. Johnson),102,106
4,4:14.0,,Turnover by A. Wiggins (offensive foul),102,106
4,4:01.0,D. Waiters misses 3-pt jump shot from 24 ft,,102,106
4,3:59.0,,Defensive rebound by D. Šarić,102,106
4,3:54.0,,Personal foul by B. Adebayo (drawn by K. Towns),102,106
4,3:44.0,,K. Bates-Diop misses 3-pt jump shot from 23 ft,102,106
4,3:42.0,,Offensive rebound by K. Towns,102,106
4,3:42.0,,K. Towns makes 2-pt layup from 1 ft,102,108
4,3:41.0,Miami full timeout,,102,108
4,3:32.0,B. Adebayo misses 2-pt layup from 1 ft,,102,108
4,3:25.0,Offensive rebound by B. Adebayo,,102,108
4,3:25.0,B. Adebayo makes 2-pt layup at rim,,104,108
4,3:12.0,,Turnover by K. Bates-Diop (bad pass; steal by B. Adebayo),104,108
4,3:04.0,G. Dragić misses 3-pt jump shot from 26 ft,,104,108
4,3:01.0,,Defensive rebound by T. Jones,104,108
4,2:40.0,,Offensive foul by D. Šarić (drawn by J. Johnson),104,108
4,2:40.0,,Turnover by D. Šarić (offensive foul),104,108
