QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
1,1:52.0,Defensive rebound by J. Murray,,20,27
1,1:30.0,M. Morris misses 2-pt layup from 9 ft,,20,27
1,1:24.0,Offensive rebound by T. Craig,,20,27
1,1:24.0,T. Craig misses 2-pt layup at rim,,20,27
1,1:22.0,Offensive rebound by T. Craig,,20,27
1,1:22.0,T. Craig makes 2-pt layup at rim,,22,27
1,1:07.0,,Shooting foul by T. Craig (drawn by R. Gay),22,27
1,1:07.0,,R. Gay makes free throw 1 of 2,22,28
1,1:07.0,,R. Gay makes free throw 2 of 2,22,29
1,0:46.0,J. Murray misses 3-pt jump shot from 26 ft,,22,29
1,0:44.0,,Defensive rebound by M. Belinelli,22,29
1,0:32.0,,L. Aldridge misses 2-pt layup from 5 ft,22,29
1,0:30.0,,Offensive rebound by L. Aldridge,22,29
1,0:30.0,,L. Aldridge makes 2-pt layup from 1 ft,22,31
1,0:12.0,M. Morris misses 2-pt jump shot from 8 ft,,22,31
1,0:10.0,,Defensive rebound by M. Belinelli,22,31
1,0:00.0,,P. Mills misses 2-pt layup from 8 ft,22,31
1,0:00.0,,Offensive rebound by Team,22,31
2,11:46.0,M. Beasley makes 3-pt jump shot from 27 ft (assist by M. Morris),,25,31
2,11:33.0,,Turnover by R. Gay (bad pass; steal by T. Craig),25,31
2,11:27.0,M. Plumlee makes 2-pt dunk from 3 ft (assist by T. Craig),,27,31
2,11:27.0,,San Antonio full timeout,27,31
2,11:27.0,,D. DeRozan enters the game for D. Bertāns,27,31
2,11:16.0,,M. Belinelli misses 2-pt jump shot from 20 ft,27,31
2,11:13.0,Defensive rebound by M. Beasley,,27,31
2,11:02.0,M. Beasley makes 2-pt jump shot from 11 ft (assist by M. Morris),,29,31
2,10:47.0,,Shooting foul by M. Plumlee (drawn by P. Mills),29,31
2,10:47.0,,P. Mills misses free throw 1 of 2,29,31
2,10:47.0,,Offensive rebound by Team,29,31
2,10:47.0,,P. Mills misses free throw 2 of 2,29,31
2,10:44.0,Defensive rebound by T. Craig,,29,31
2,10:24.0,M. Plumlee misses 2-pt hook shot from 5 ft,,29,31
2,10:20.0,M. Plumlee makes 2-pt layup at rim,,31,31
2,10:20.0,Offensive rebound by M. Plumlee,,31,31
2,10:05.0,,P. Mills misses 2-pt jump shot from 15 ft,31,31
2,10:02.0,Defensive rebound by T. Craig,,31,31
2,9:58.0,T. Craig makes 2-pt layup from 4 ft,,33,31
2,9:40.0,,R. Gay misses 2-pt jump shot from 12 ft,33,31
2,9:37.0,Defensive rebound by M. Beasley,,33,31
2,9:31.0,M. Beasley makes 3-pt jump shot from 26 ft,,36,31
2,9:12.0,,D. DeRozan misses 2-pt jump shot from 17 ft,36,31
2,9:09.0,Defensive rebound by M. Plumlee,,36,31
2,9:00.0,M. Morris makes 2-pt jump shot from 18 ft (assist by M. Plumlee),,38,31
2,8:59.0,,San Antonio full timeout,38,31
2,8:59.0,,D. Bertāns enters the game for R. Gay,38,31
2,8:59.0,,D. White enters the game for P. Mills,38,31
2,8:41.0,,Shooting foul by M. Morris (drawn by J. Poeltl),38,31
2,8:41.0,,J. Poeltl makes free throw 1 of 2,38,32
2,8:41.0,,J. Poeltl makes free throw 2 of 2,38,33
2,8:26.0,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,41,33
2,8:05.0,,M. Belinelli makes 3-pt jump shot from 27 ft (assist by D. DeRozan),41,36
2,7:41.0,T. Craig makes 2-pt layup from 6 ft (assist by M. Morris),,43,36
2,7:31.0,,Shooting foul by M. Plumlee (drawn by D. White),43,36
2,7:31.0,,D. White makes free throw 1 of 2,43,37
2,7:31.0,G. Harris enters the game for J. Murray,,43,37
2,7:31.0,N. Jokić enters the game for M. Plumlee,,43,37
2,7:31.0,,B. Forbes enters the game for D. Bertāns,43,37
2,7:31.0,,D. White makes free throw 2 of 2,43,38
2,7:19.0,Personal foul by M. Belinelli (drawn by N. Jokić),,43,38
2,7:19.0,,L. Aldridge enters the game for J. Poeltl,43,38
2,7:03.0,Turnover by M. Beasley (lost ball; steal by D. DeRozan),,43,38
2,6:57.0,,D. DeRozan misses 2-pt jump shot from 6 ft,43,38
2,6:55.0,Defensive rebound by T. Craig,,43,38
2,6:47.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by G. Harris),,46,38
2,6:31.0,,D. White makes 2-pt layup from 2 ft,46,40
2,6:20.0,M. Morris misses 2-pt jump shot from 12 ft,,46,40
2,6:18.0,Offensive rebound by T. Craig,,46,40
2,6:15.0,Personal foul by D. DeRozan (drawn by T. Craig),,46,40
2,6:15.0,,Technical foul by D. DeRozan,46,40
2,6:15.0,M. Beasley makes technical free throw,,47,40
2,6:15.0,W. Barton enters the game for M. Beasley,,47,40
2,6:15.0,P. Millsap enters the game for T. Craig,,47,40
2,6:15.0,,R. Gay enters the game for M. Belinelli,47,40
2,6:07.0,W. Barton misses 2-pt jump shot from 6 ft,,47,40
2,6:05.0,,Defensive rebound by D. White,47,40
2,6:02.0,,B. Forbes misses 3-pt jump shot from 27 ft,47,40
2,5:58.0,Defensive rebound by G. Harris,,47,40
2,5:51.0,G. Harris misses 2-pt layup from 7 ft (block by L. Aldridge),,47,40
2,5:47.0,,Defensive rebound by R. Gay,47,40
2,5:44.0,,Turnover by R. Gay (lost ball; steal by G. Harris),47,40
2,5:41.0,G. Harris makes 3-pt jump shot from 27 ft,,50,40
2,5:21.0,,B. Forbes misses 3-pt jump shot from 26 ft,50,40
2,5:21.0,,Offensive rebound by R. Gay,50,40
2,5:18.0,,Shooting foul by P. Millsap (drawn by R. Gay),50,40
2,5:18.0,,R. Gay misses free throw 1 of 2,50,40
2,5:18.0,,Offensive rebound by Team,50,40
2,5:18.0,,R. Gay makes free throw 2 of 2,50,41
2,5:04.0,Turnover by M. Morris (bad pass; steal by R. Gay),,50,41
2,5:03.0,,Personal foul by W. Barton (drawn by D. White),50,41
2,5:03.0,,D. White makes free throw 1 of 2,50,42
2,5:03.0,,D. White makes free throw 2 of 2,50,43
2,4:46.0,Turnover by W. Barton (traveling),,50,43
2,4:46.0,J. Murray enters the game for M. Morris,,50,43
2,4:32.0,,R. Gay misses 3-pt jump shot from 27 ft,50,43
2,4:28.0,Defensive rebound by W. Barton,,50,43
2,4:24.0,W. Barton misses 3-pt jump shot from 26 ft,,50,43
2,4:20.0,,Defensive rebound by R. Gay,50,43
2,4:14.0,,D. White makes 2-pt jump shot from 16 ft,50,45
2,4:02.0,J. Murray misses 3-pt jump shot from 26 ft,,50,45
2,4:00.0,,Defensive rebound by D. DeRozan,50,45
2,3:54.0,,Personal foul by N. Jokić (drawn by D. DeRozan),50,45
2,3:54.0,,D. DeRozan makes free throw 1 of 2,50,46
2,3:54.0,,D. DeRozan makes free throw 2 of 2,50,47
2,3:44.0,Personal foul by B. Forbes (drawn by G. Harris),,50,47
2,3:44.0,,M. Belinelli enters the game for D. DeRozan,50,47
2,3:40.0,P. Millsap makes 2-pt dunk from 2 ft (assist by J. Murray),,52,47
2,3:31.0,,D. White makes 2-pt layup from 2 ft,52,49
2,3:31.0,,Shooting foul by J. Murray (drawn by D. White),52,49
2,3:31.0,,D. White misses free throw 1 of 1,52,49
2,3:29.0,Defensive rebound by N. Jokić,,52,49
2,3:23.0,G. Harris misses 2-pt jump shot from 14 ft,,52,49
2,3:19.0,,Defensive rebound by R. Gay,52,49
2,3:14.0,,B. Forbes misses 2-pt layup from 6 ft,52,49
2,3:14.0,,Offensive rebound by Team,52,49
2,3:08.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by M. Belinelli),52,51
2,2:56.0,Personal foul by B. Forbes (drawn by P. Millsap),,52,51
2,2:56.0,,D. DeRozan enters the game for M. Belinelli,52,51
2,2:47.0,G. Harris misses 2-pt layup from 5 ft,,52,51
2,2:43.0,Offensive rebound by N. Jokić,,52,51
2,2:43.0,N. Jokić misses 2-pt layup at rim,,52,51
2,2:42.0,,Defensive rebound by R. Gay,52,51
2,2:38.0,,D. White makes 2-pt layup from 2 ft (assist by R. Gay),52,53
2,2:25.0,Personal foul by R. Gay (drawn by P. Millsap),,52,53
2,2:25.0,P. Millsap makes free throw 1 of 2,,53,53
2,2:25.0,,J. Poeltl enters the game for R. Gay,53,53
2,2:25.0,P. Millsap makes free throw 2 of 2,,54,53
2,2:12.0,,Personal foul by P. Millsap (drawn by L. Aldridge),54,53
2,2:12.0,,L. Aldridge makes free throw 1 of 2,54,54
2,2:12.0,M. Plumlee enters the game for P. Millsap,,54,54
2,2:12.0,,L. Aldridge makes free throw 2 of 2,54,55
2,2:09.0,Personal take foul by D. White (drawn by M. Plumlee),,54,55
2,2:09.0,M. Plumlee misses free throw 1 of 2,,54,55
2,2:09.0,Offensive rebound by Team,,54,55
2,2:09.0,M. Plumlee misses free throw 2 of 2,,54,55
2,2:02.0,,Defensive rebound by D. DeRozan,54,55
2,1:58.0,,D. White misses 2-pt layup from 3 ft (block by W. Barton),54,55
2,1:58.0,,Offensive rebound by Team,54,55
2,1:54.0,,D. DeRozan misses 2-pt jump shot from 4 ft,54,55
2,1:50.0,,Offensive rebound by L. Aldridge,54,55
2,1:50.0,,L. Aldridge misses 2-pt layup from 1 ft,54,55
2,1:48.0,,Offensive rebound by J. Poeltl,54,55
2,1:48.0,,J. Poeltl misses 2-pt layup from 1 ft,54,55
2,1:48.0,Defensive rebound by G. Harris,,54,55
2,1:48.0,Personal foul by L. Aldridge (drawn by N. Jokić),,54,55
2,1:48.0,N. Jokić makes free throw 1 of 2,,55,55
2,1:48.0,N. Jokić makes free throw 2 of 2,,56,55
2,1:32.0,,D. White makes 2-pt layup from 5 ft (assist by L. Aldridge),56,57
2,1:17.0,Turnover by W. Barton (bad pass),,56,57
2,1:17.0,T. Lyles enters the game for M. Plumlee,,56,57
2,1:07.0,,D. White misses 2-pt layup from 7 ft,56,57
2,1:03.0,,Offensive rebound by J. Poeltl,56,57
2,1:03.0,,J. Poeltl makes 2-pt layup from 1 ft,56,59
2,0:49.0,W. Barton misses 2-pt layup from 5 ft,,56,59
2,0:47.0,Offensive rebound by N. Jokić,,56,59
2,0:47.0,N. Jokić makes 2-pt layup at rim,,58,59
2,0:33.0,,D. White misses 3-pt jump shot from 26 ft,58,59
2,0:32.0,,Offensive rebound by Team,58,59
2,0:32.0,Loose ball foul by T. Lyles (drawn by J. Poeltl),,58,59
2,0:32.0,,J. Poeltl misses free throw 1 of 2,58,59
2,0:32.0,,Offensive rebound by Team,58,59
2,0:32.0,,J. Poeltl misses free throw 2 of 2,58,59
2,0:30.0,Defensive rebound by N. Jokić,,58,59
2,0:12.0,Turnover by W. Barton (bad pass; steal by D. White),,58,59
2,0:10.0,,D. White makes 2-pt dunk from 5 ft,58,61
2,0:00.0,N. Jokić misses 3-pt jump shot from 23 ft,,58,61
2,0:00.0,Offensive rebound by Team,,58,61
3,11:42.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by G. Harris),,61,61
3,11:24.0,,D. DeRozan makes 2-pt jump shot from 7 ft,61,63
3,11:04.0,P. Millsap makes 2-pt layup from 6 ft (assist by G. Harris),,63,63
3,10:50.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),63,66
3,10:31.0,G. Harris misses 2-pt layup from 5 ft,,63,66
3,10:29.0,,Defensive rebound by L. Aldridge,63,66
3,10:19.0,,L. Aldridge misses 2-pt jump shot from 15 ft,63,66
3,10:16.0,Defensive rebound by W. Barton,,63,66
3,10:13.0,Personal foul by D. DeRozan (drawn by N. Jokić),,63,66
3,9:58.0,W. Barton misses 3-pt jump shot from 25 ft,,63,66
3,9:54.0,,Defensive rebound by B. Forbes,63,66
3,9:48.0,,B. Forbes misses 3-pt jump shot from 25 ft,63,66
3,9:44.0,,Offensive rebound by D. DeRozan,63,66
3,9:35.0,,D. DeRozan makes 2-pt jump shot from 10 ft,63,68
3,9:12.0,Turnover by J. Murray (lost ball; steal by D. DeRozan),,63,68
3,9:07.0,,D. DeRozan makes 2-pt layup from 3 ft,63,70
3,9:07.0,Denver full timeout,,63,70
3,8:46.0,Shooting foul by L. Aldridge (drawn by P. Millsap),,63,70
3,8:46.0,P. Millsap misses free throw 1 of 2,,63,70
3,8:46.0,Offensive rebound by Team,,63,70
3,8:46.0,P. Millsap makes free throw 2 of 2,,64,70
3,8:35.0,,D. DeRozan makes 2-pt dunk from 2 ft (assist by L. Aldridge),64,72
3,8:17.0,W. Barton makes 2-pt layup from 4 ft (assist by N. Jokić),,66,72
3,7:52.0,,Shooting foul by N. Jokić (drawn by B. Forbes),66,72
3,7:52.0,,B. Forbes misses free throw 1 of 2,66,72
3,7:52.0,,Offensive rebound by Team,66,72
3,7:52.0,,B. Forbes makes free throw 2 of 2,66,73
3,7:36.0,Personal foul by J. Poeltl (drawn by N. Jokić),,66,73
3,7:24.0,Turnover by G. Harris (bad pass; steal by D. White),,66,73
3,7:12.0,,Turnover by L. Aldridge (traveling),66,73
3,6:58.0,J. Murray misses 2-pt layup from 8 ft (block by D. White),,66,73
3,6:54.0,,Defensive rebound by B. Forbes,66,73
3,6:52.0,,D. DeRozan makes 2-pt layup from 4 ft (assist by B. Forbes),66,75
3,6:52.0,Denver full timeout,,66,75
3,6:52.0,M. Beasley enters the game for W. Barton,,66,75
3,6:52.0,M. Morris enters the game for J. Murray,,66,75
3,6:37.0,G. Harris makes 2-pt jump shot from 10 ft (assist by N. Jokić),,68,75
3,6:19.0,,L. Aldridge misses 2-pt jump shot from 14 ft,68,75
3,6:16.0,Defensive rebound by M. Beasley,,68,75
3,6:14.0,Shooting foul by L. Aldridge (drawn by G. Harris),,68,75
3,6:14.0,G. Harris misses free throw 1 of 2,,68,75
3,6:14.0,Offensive rebound by Team,,68,75
3,6:14.0,G. Harris misses free throw 2 of 2,,68,75
3,6:11.0,,Defensive rebound by L. Aldridge,68,75
3,6:01.0,,Turnover by D. White (bad pass),68,75
3,5:53.0,M. Beasley misses 2-pt jump shot from 13 ft,,68,75
3,5:50.0,,Defensive rebound by D. White,68,75
3,5:37.0,,D. DeRozan makes 2-pt jump shot from 16 ft (assist by J. Poeltl),68,77
3,5:16.0,N. Jokić makes 2-pt layup from 2 ft,,70,77
3,5:05.0,,Shooting foul by M. Beasley (drawn by D. DeRozan),70,77
3,5:05.0,,D. DeRozan makes free throw 1 of 2,70,78
3,5:05.0,,P. Mills enters the game for D. White,70,78
3,5:05.0,,D. DeRozan makes free throw 2 of 2,70,79
3,4:39.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by M. Morris),,72,79
3,4:25.0,,Personal foul by G. Harris (drawn by D. DeRozan),72,79
3,4:25.0,M. Plumlee enters the game for P. Millsap,,72,79
3,4:25.0,,R. Gay enters the game for J. Poeltl,72,79
3,4:22.0,,R. Gay misses 2-pt jump shot from 15 ft,72,79
3,4:19.0,Defensive rebound by M. Beasley,,72,79
3,4:07.0,M. Morris misses 2-pt jump shot from 11 ft,,72,79
3,4:05.0,,Defensive rebound by P. Mills,72,79
3,4:01.0,,B. Forbes misses 3-pt jump shot from 26 ft,72,79
3,3:57.0,Defensive rebound by M. Beasley,,72,79
3,3:53.0,G. Harris misses 2-pt layup from 8 ft,,72,79
3,3:49.0,Offensive rebound by G. Harris,,72,79
3,3:44.0,N. Jokić makes 2-pt layup from 2 ft (assist by G. Harris),,74,79
3,3:26.0,,D. DeRozan makes 2-pt jump shot from 11 ft,74,81
3,3:01.0,N. Jokić misses 2-pt layup from 5 ft,,74,81
3,2:57.0,Offensive rebound by M. Plumlee,,74,81
3,2:57.0,M. Plumlee makes 2-pt layup from 1 ft,,76,81
3,2:43.0,,D. DeRozan misses 2-pt jump shot from 15 ft,76,81
3,2:40.0,Defensive rebound by G. Harris,,76,81
3,2:36.0,M. Morris makes 2-pt layup from 1 ft (assist by G. Harris),,78,81
3,2:12.0,,L. Aldridge makes 2-pt jump shot from 13 ft,78,83
3,1:52.0,Shooting foul by B. Forbes (drawn by G. Harris),,78,83
3,1:52.0,G. Harris makes free throw 1 of 2,,79,83
3,1:52.0,P. Millsap enters the game for N. Jokić,,79,83
3,1:52.0,,M. Belinelli enters the game for L. Aldridge,79,83
3,1:52.0,,J. Poeltl enters the game for B. Forbes,79,83
3,1:52.0,G. Harris makes free throw 2 of 2,,80,83
3,1:34.0,,Shooting foul by G. Harris (drawn by D. DeRozan),80,83
3,1:34.0,,D. DeRozan makes free throw 1 of 2,80,84
3,1:34.0,T. Craig enters the game for G. Harris,,80,84
3,1:34.0,,D. DeRozan makes free throw 2 of 2,80,85
3,1:20.0,M. Morris makes 2-pt layup from 6 ft (assist by M. Plumlee),,82,85
3,1:02.0,,M. Belinelli misses 3-pt jump shot from 26 ft,82,85
3,1:00.0,,Offensive rebound by J. Poeltl,82,85
3,1:00.0,,J. Poeltl makes 2-pt layup at rim,82,87
3,0:44.0,P. Millsap misses 2-pt jump shot from 9 ft,,82,87
3,0:40.0,,Defensive rebound by R. Gay,82,87
3,0:34.0,,Offensive foul by R. Gay (drawn by M. Plumlee),82,87
3,0:34.0,,Turnover by R. Gay (offensive foul),82,87
3,0:29.0,M. Morris makes 2-pt layup from 4 ft,,84,87
3,0:05.0,,Shooting foul by T. Craig (drawn by D. DeRozan),84,87
3,0:05.0,,D. DeRozan makes free throw 1 of 2,84,88
3,0:05.0,G. Harris enters the game for T. Craig,,84,88
3,0:05.0,,D. DeRozan misses free throw 2 of 2,84,88
3,0:04.0,,Offensive rebound by D. DeRozan,84,88
3,0:00.0,,D. DeRozan misses 3-pt jump shot from 23 ft,84,88
3,0:00.0,,Offensive rebound by Team,84,88
4,11:37.0,,R. Gay misses 2-pt jump shot from 6 ft,84,88
4,11:36.0,,Offensive rebound by R. Gay,84,88
4,11:35.0,,Shooting foul by M. Plumlee (drawn by R. Gay),84,88
4,11:35.0,,R. Gay misses free throw 1 of 2,84,88
4,11:35.0,,Offensive rebound by Team,84,88
4,11:35.0,,R. Gay makes free throw 2 of 2,84,89
4,11:17.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by J. Murray),,87,89
4,10:54.0,,R. Gay makes 2-pt jump shot from 10 ft,87,91
4,10:44.0,Offensive foul by P. Millsap (drawn by P. Mills),,87,91
4,10:44.0,Turnover by P. Millsap (offensive foul),,87,91
4,10:27.0,,J. Poeltl makes 2-pt layup from 4 ft (assist by D. White),87,93
4,10:12.0,Personal foul by J. Poeltl (drawn by J. Murray),,87,93
4,10:08.0,M. Beasley makes 2-pt layup from 2 ft (assist by M. Morris),,89,93
4,9:57.0,,D. White misses 2-pt jump shot from 19 ft,89,93
4,9:54.0,Defensive rebound by M. Morris,,89,93
4,9:47.0,Personal foul by R. Gay (drawn by P. Millsap),,89,93
4,9:46.0,M. Beasley misses 3-pt jump shot from 26 ft,,89,93
4,9:42.0,,Defensive rebound by R. Gay,89,93
4,9:34.0,,R. Gay misses 2-pt jump shot from 16 ft,89,93
4,9:31.0,Defensive rebound by M. Beasley,,89,93
4,9:23.0,Turnover by J. Murray (lost ball; steal by D. White),,89,93
4,9:18.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. White),89,96
4,8:58.0,P. Millsap misses 3-pt jump shot from 27 ft,,89,96
4,8:54.0,,Defensive rebound by D. White,89,96
4,8:52.0,,D. White makes 2-pt layup from 5 ft,89,98
4,8:52.0,,Shooting foul by P. Millsap (drawn by D. White),89,98
4,8:52.0,G. Harris enters the game for J. Murray,,89,98
4,8:52.0,N. Jokić enters the game for M. Plumlee,,89,98
4,8:52.0,,L. Aldridge enters the game for R. Gay,89,98
4,8:52.0,,D. White makes free throw 1 of 1,89,99
4,8:40.0,N. Jokić makes 2-pt layup from 5 ft (assist by M. Morris),,91,99
4,8:26.0,,L. Aldridge misses 2-pt layup from 7 ft,91,99
4,8:26.0,Defensive rebound by N. Jokić,,91,99
4,8:26.0,Personal foul by D. White (drawn by N. Jokić),,91,99
4,8:26.0,,B. Forbes enters the game for P. Mills,91,99
4,8:12.0,N. Jokić misses 3-pt jump shot from 27 ft,,91,99
4,8:05.0,M. Beasley misses 2-pt layup from 1 ft,,91,99
4,8:05.0,Offensive rebound by M. Beasley,,91,99
4,8:04.0,,Defensive rebound by L. Aldridge,91,99
4,8:03.0,,San Antonio full timeout,91,99
4,8:03.0,M. Plumlee enters the game for P. Millsap,,91,99
4,8:03.0,,P. Mills enters the game for D. White,91,99
4,7:55.0,,M. Belinelli misses 2-pt jump shot from 20 ft,91,99
4,7:53.0,Defensive rebound by M. Morris,,91,99
4,7:39.0,M. Morris misses 2-pt jump shot from 17 ft,,91,99
4,7:36.0,,Defensive rebound by J. Poeltl,91,99
4,7:25.0,,J. Poeltl makes 2-pt hook shot from 6 ft (assist by P. Mills),91,101
4,7:12.0,Turnover by N. Jokić (lost ball; steal by P. Mills),,91,101
4,7:08.0,,B. Forbes misses 2-pt layup from 7 ft,91,101
4,7:07.0,,Offensive rebound by L. Aldridge,91,101
4,7:07.0,,L. Aldridge makes 2-pt dunk from 1 ft,91,103
4,6:46.0,Turnover by M. Plumlee (bad pass),,91,103
4,6:46.0,P. Millsap enters the game for M. Morris,,91,103
4,6:46.0,J. Murray enters the game for M. Plumlee,,91,103
4,6:46.0,,D. DeRozan enters the game for M. Belinelli,91,103
4,6:35.0,,L. Aldridge makes 2-pt layup from 4 ft,91,105
4,6:35.0,Denver full timeout,,91,105
4,6:35.0,,D. White enters the game for P. Mills,91,105
4,6:21.0,G. Harris misses 3-pt jump shot from 25 ft,,91,105
4,6:16.0,,Defensive rebound by L. Aldridge,91,105
4,5:57.0,,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),91,108
4,5:44.0,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),,94,108
4,5:27.0,,D. White makes 2-pt layup from 2 ft,94,110
4,5:14.0,M. Beasley misses 2-pt jump shot from 10 ft,,94,110
4,5:13.0,,Defensive rebound by Team,94,110
4,4:49.0,,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. White),94,112
4,4:43.0,Denver full timeout,,94,112
4,4:31.0,Turnover by J. Murray (bad pass; steal by J. Poeltl),,94,112
4,4:14.0,,D. White makes 2-pt jump shot from 20 ft (assist by J. Poeltl),94,114
4,4:13.0,Denver full timeout,,94,114
4,4:13.0,T. Craig enters the game for G. Harris,,94,114
