QUARTER,TIME_REMAINING,DALLAS_ACTION,LA LAKERS_ACTION,DALLAS_SCORE,LA LAKERS_SCORE
1,2:05.0,,J. Hart misses 3-pt jump shot from 22 ft,15,32
1,2:01.0,Defensive rebound by M. Kleber,,15,32
1,1:55.0,W. Matthews misses 3-pt jump shot from 26 ft,,15,32
1,1:52.0,,Defensive rebound by K. Caldwell-Pope,15,32
1,1:45.0,,Turnover by R. Rondo (bad pass),15,32
1,1:32.0,J. Barea makes 2-pt layup from 3 ft,,17,32
1,1:20.0,,J. Hart makes 3-pt jump shot from 24 ft (assist by R. Rondo),17,35
1,0:37.0,J. Barea misses 3-pt jump shot from 26 ft,,17,35
1,0:33.0,Offensive rebound by D. Finney-Smith,,17,35
1,0:33.0,D. Finney-Smith makes 2-pt dunk at rim,,19,35
1,0:31.0,,J. Hart misses 3-pt jump shot from 25 ft,19,35
1,0:31.0,Defensive rebound by D. Finney-Smith,,19,35
1,0:11.0,M. Kleber makes 2-pt layup from 2 ft (assist by J. Barea),,21,35
1,0:05.0,,Personal take foul by J. Barea (drawn by R. Rondo),21,35
1,0:05.0,,K. Kuzma enters the game for J. Williams,21,35
1,0:00.0,,R. Rondo makes 3-pt jump shot from 27 ft,21,38
2,11:50.0,M. Kleber makes 2-pt dunk from 1 ft (assist by J. Barea),,23,38
2,11:36.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by L. James),23,40
2,11:18.0,J. Barea makes 2-pt layup from 2 ft (assist by M. Kleber),,25,40
2,11:05.0,,L. Stephenson makes 2-pt jump shot from 7 ft,25,42
2,10:57.0,Offensive foul by J. Barea (drawn by R. Rondo),,25,42
2,10:57.0,Turnover by J. Barea (offensive foul),,25,42
2,10:47.0,,R. Rondo misses 2-pt layup from 2 ft,25,42
2,10:45.0,Defensive rebound by M. Kleber,,25,42
2,10:32.0,Turnover by J. Barea (lost ball; steal by R. Rondo),,25,42
2,10:26.0,,Turnover by L. Stephenson (bad pass; steal by W. Matthews),25,42
2,10:20.0,D. Powell makes 2-pt layup from 2 ft (assist by W. Matthews),,27,42
2,10:20.0,,LA Lakers full timeout,27,42
2,10:10.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by J. Hart),27,44
2,9:56.0,Turnover by J. Barea (bad pass; steal by J. Hart),,27,44
2,9:51.0,,L. James misses 2-pt layup from 1 ft (block by M. Kleber),27,44
2,9:51.0,Defensive rebound by Team,,27,44
2,9:42.0,Shooting foul by L. Stephenson (drawn by J. Brunson),,27,44
2,9:42.0,J. Brunson makes free throw 1 of 2,,28,44
2,9:42.0,J. Brunson makes free throw 2 of 2,,29,44
2,9:28.0,,L. James makes 2-pt layup from 1 ft (assist by R. Rondo),29,46
2,9:05.0,W. Matthews makes 2-pt layup from 4 ft,,31,46
2,8:54.0,,Personal foul by D. Powell (drawn by K. Caldwell-Pope),31,46
2,8:46.0,,K. Caldwell-Pope misses 2-pt dunk from 3 ft (block by M. Kleber),31,46
2,8:43.0,Defensive rebound by D. Powell,,31,46
2,8:39.0,D. Powell makes 2-pt layup from 2 ft (assist by J. Barea),,33,46
2,8:27.0,,R. Rondo misses 3-pt jump shot from 24 ft,33,46
2,8:27.0,Defensive rebound by J. Brunson,,33,46
2,8:22.0,J. Barea makes 2-pt layup from 1 ft (assist by J. Brunson),,35,46
2,8:07.0,,Turnover by L. Stephenson (lost ball; steal by W. Matthews),35,46
2,8:02.0,Shooting foul by L. Stephenson (drawn by D. Powell),,35,46
2,8:02.0,D. Powell makes free throw 1 of 2,,36,46
2,8:02.0,,L. Ball enters the game for K. Caldwell-Pope,36,46
2,8:02.0,,B. Ingram enters the game for J. Hart,36,46
2,8:02.0,,K. Kuzma enters the game for L. Stephenson,36,46
2,8:02.0,D. Powell makes free throw 2 of 2,,37,46
2,7:42.0,,Turnover by R. Rondo (out of bounds lost ball),37,46
2,7:31.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Barea),,40,46
2,7:16.0,,Offensive foul by B. Ingram (drawn by M. Kleber),40,46
2,7:16.0,,Turnover by B. Ingram (offensive foul),40,46
2,7:08.0,J. Barea makes 2-pt layup from 2 ft,,42,46
2,7:07.0,,LA Lakers full timeout,42,46
2,7:07.0,H. Barnes enters the game for M. Kleber,,42,46
2,7:07.0,,J. McGee enters the game for R. Rondo,42,46
2,6:48.0,,J. McGee misses 2-pt jump shot from 10 ft,42,46
2,6:43.0,,K. Kuzma makes 2-pt layup from 1 ft,42,48
2,6:43.0,,Offensive rebound by K. Kuzma,42,48
2,6:27.0,W. Matthews misses 3-pt jump shot from 25 ft,,42,48
2,6:24.0,,Defensive rebound by L. James,42,48
2,6:09.0,,Shooting foul by J. Brunson (drawn by B. Ingram),42,48
2,6:09.0,,B. Ingram misses free throw 1 of 2,42,48
2,6:09.0,,Offensive rebound by Team,42,48
2,6:09.0,L. Dončić enters the game for J. Barea,,42,48
2,6:09.0,D. Finney-Smith enters the game for J. Brunson,,42,48
2,6:09.0,D. Jordan enters the game for W. Matthews,,42,48
2,6:09.0,D. Smith enters the game for D. Powell,,42,48
2,6:09.0,,B. Ingram makes free throw 2 of 2,42,49
2,5:50.0,Turnover by D. Smith (lost ball; steal by L. James),,42,49
2,5:45.0,,L. James makes 2-pt layup from 2 ft,42,51
2,5:45.0,,Shooting foul by H. Barnes (drawn by L. James),42,51
2,5:45.0,,L. James makes free throw 1 of 1,42,52
2,5:27.0,D. Smith misses 2-pt jump shot from 21 ft,,42,52
2,5:24.0,,Defensive rebound by J. McGee,42,52
2,5:21.0,,Turnover by K. Kuzma (offensive foul),42,52
2,5:21.0,,Offensive foul by K. Kuzma (drawn by L. Dončić),42,52
2,5:00.0,H. Barnes makes 2-pt jump shot from 12 ft,,44,52
2,5:00.0,Shooting foul by K. Kuzma (drawn by H. Barnes),,44,52
2,5:00.0,H. Barnes makes free throw 1 of 1,,45,52
2,4:47.0,,Personal foul by L. Dončić (drawn by B. Ingram),45,52
2,4:40.0,,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),45,54
2,4:26.0,H. Barnes misses 2-pt layup from 5 ft,,45,54
2,4:21.0,Offensive rebound by D. Jordan,,45,54
2,4:18.0,H. Barnes misses 2-pt dunk from 2 ft (block by J. McGee),,45,54
2,4:15.0,Offensive rebound by H. Barnes,,45,54
2,4:13.0,D. Jordan makes 2-pt dunk from 2 ft (assist by D. Smith),,47,54
2,4:02.0,,B. Ingram misses 2-pt jump shot from 5 ft,47,54
2,3:59.0,Defensive rebound by H. Barnes,,47,54
2,3:55.0,H. Barnes makes 3-pt jump shot from 26 ft,,50,54
2,3:35.0,,Offensive foul by K. Kuzma (drawn by D. Finney-Smith),50,54
2,3:35.0,,Turnover by K. Kuzma (offensive foul),50,54
2,3:35.0,,J. Hart enters the game for K. Kuzma,50,54
2,3:24.0,L. Dončić misses 2-pt jump shot from 20 ft,,50,54
2,3:21.0,,Defensive rebound by L. James,50,54
2,3:14.0,,L. James makes 2-pt layup from 1 ft,50,56
2,2:59.0,Turnover by D. Jordan (lost ball; steal by L. James),,50,56
2,2:58.0,,Personal take foul by D. Jordan (drawn by L. James),50,56
2,2:58.0,,L. James makes free throw 1 of 2,50,57
2,2:58.0,W. Matthews enters the game for L. Dončić,,50,57
2,2:58.0,,L. James misses free throw 2 of 2,50,57
2,2:56.0,Defensive rebound by D. Jordan,,50,57
2,2:39.0,Turnover by D. Smith (bad pass),,50,57
2,2:39.0,,K. Caldwell-Pope enters the game for L. James,50,57
2,2:25.0,,B. Ingram misses 2-pt jump shot from 13 ft,50,57
2,2:21.0,Defensive rebound by D. Smith,,50,57
2,2:13.0,W. Matthews makes 2-pt jump shot from 9 ft,,52,57
2,2:01.0,,B. Ingram makes 2-pt layup from 2 ft,52,59
2,1:43.0,Turnover by H. Barnes (bad pass),,52,59
2,1:32.0,,B. Ingram misses 2-pt layup from 4 ft (block by D. Jordan),52,59
2,1:30.0,,Offensive rebound by J. McGee,52,59
2,1:30.0,,J. McGee makes 2-pt layup from 1 ft,52,61
2,1:30.0,Dallas full timeout,,52,61
2,1:30.0,,R. Rondo enters the game for B. Ingram,52,61
2,1:20.0,H. Barnes makes 2-pt hook shot from 6 ft,,54,61
2,1:06.0,,Personal foul by H. Barnes (drawn by K. Caldwell-Pope),54,61
2,1:06.0,,K. Caldwell-Pope makes free throw 1 of 2,54,62
2,1:06.0,,K. Caldwell-Pope makes free throw 2 of 2,54,63
2,1:02.0,Personal foul by J. Hart (drawn by H. Barnes),,54,63
2,0:55.0,Personal foul by J. Hart (drawn by H. Barnes),,54,63
2,0:55.0,H. Barnes makes free throw 1 of 2,,55,63
2,0:55.0,,L. James enters the game for J. Hart,55,63
2,0:55.0,H. Barnes makes free throw 2 of 2,,56,63
2,0:43.0,,J. McGee misses 2-pt hook shot from 7 ft,56,63
2,0:40.0,Defensive rebound by D. Jordan,,56,63
2,0:33.0,Turnover by W. Matthews (out of bounds lost ball),,56,63
2,0:29.0,,L. Ball makes 3-pt jump shot from 27 ft (assist by R. Rondo),56,66
2,0:06.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Smith),,59,66
2,0:00.0,,L. James misses 2-pt jump shot from 7 ft,59,66
2,0:00.0,,Offensive rebound by Team,59,66
3,11:48.0,H. Barnes misses 3-pt jump shot from 26 ft,,59,66
3,11:44.0,,Defensive rebound by B. Ingram,59,66
3,11:35.0,,Personal foul by D. Smith (drawn by J. McGee),59,66
3,11:27.0,,J. McGee makes 2-pt layup from 3 ft (assist by L. Ball),59,68
3,11:11.0,Turnover by D. Jordan (bad pass),,59,68
3,11:00.0,,K. Kuzma misses 2-pt jump shot from 9 ft,59,68
3,10:54.0,,Offensive rebound by J. McGee,59,68
3,10:54.0,,J. McGee makes 2-pt dunk at rim,59,70
3,10:44.0,Personal foul by B. Ingram (drawn by L. Dončić),,59,70
3,10:38.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by L. Dončić),,62,70
3,10:12.0,,B. Ingram misses 2-pt jump shot from 19 ft,62,70
3,10:09.0,Defensive rebound by D. Jordan,,62,70
3,10:02.0,W. Matthews misses 3-pt jump shot from 26 ft,,62,70
3,9:59.0,,Defensive rebound by J. McGee,62,70
3,9:51.0,,K. Kuzma misses 2-pt hook shot from 3 ft,62,70
3,9:46.0,,Offensive rebound by J. McGee,62,70
3,9:46.0,,J. McGee misses 2-pt dunk at rim,62,70
3,9:46.0,Defensive rebound by L. Dončić,,62,70
3,9:33.0,W. Matthews makes 2-pt jump shot from 3 ft,,64,70
3,9:19.0,,L. James makes 3-pt jump shot from 23 ft (assist by L. Ball),64,73
3,9:08.0,H. Barnes misses 3-pt jump shot from 23 ft,,64,73
3,9:04.0,,Defensive rebound by K. Kuzma,64,73
3,8:59.0,,L. James makes 3-pt jump shot from 25 ft (assist by K. Kuzma),64,76
3,8:58.0,Dallas full timeout,,64,76
3,8:37.0,Turnover by D. Jordan (lost ball; steal by L. James),,64,76
3,8:31.0,,K. Kuzma misses 2-pt layup from 3 ft,64,76
3,8:29.0,Defensive rebound by D. Jordan,,64,76
3,8:11.0,Turnover by W. Matthews (out of bounds lost ball),,64,76
3,7:53.0,,L. James misses 2-pt jump shot from 19 ft,64,76
3,7:50.0,Defensive rebound by D. Jordan,,64,76
3,7:45.0,H. Barnes misses 2-pt jump shot from 4 ft,,64,76
3,7:42.0,,Defensive rebound by L. James,64,76
3,7:41.0,,Offensive foul by L. James (drawn by L. Dončić),64,76
3,7:41.0,,Turnover by L. James (offensive foul),64,76
3,7:28.0,L. Dončić misses 2-pt jump shot from 9 ft,,64,76
3,7:24.0,,Defensive rebound by J. McGee,64,76
3,7:19.0,,L. James misses 3-pt jump shot from 29 ft,64,76
3,7:15.0,Defensive rebound by D. Jordan,,64,76
3,7:07.0,D. Smith makes 2-pt layup from 2 ft,,66,76
3,6:53.0,,B. Ingram misses 2-pt jump shot from 15 ft,66,76
3,6:50.0,,Offensive rebound by L. Ball,66,76
3,6:48.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by L. Ball),66,78
3,6:26.0,W. Matthews misses 3-pt jump shot from 25 ft,,66,78
3,6:24.0,,Defensive rebound by J. McGee,66,78
3,6:10.0,,Turnover by J. McGee (traveling),66,78
3,6:10.0,D. Finney-Smith enters the game for W. Matthews,,66,78
3,6:01.0,D. Smith misses 2-pt jump shot from 16 ft,,66,78
3,5:58.0,,Defensive rebound by K. Kuzma,66,78
3,5:50.0,,L. James makes 2-pt layup from 1 ft (assist by K. Kuzma),66,80
3,5:30.0,Turnover by D. Finney-Smith (bad pass; steal by B. Ingram),,66,80
3,5:26.0,,L. James makes 2-pt layup from 2 ft (assist by K. Kuzma),66,82
3,5:26.0,Dallas full timeout,,66,82
3,5:26.0,J. Barea enters the game for H. Barnes,,66,82
3,5:26.0,M. Kleber enters the game for D. Smith,,66,82
3,5:26.0,,K. Caldwell-Pope enters the game for L. James,66,82
3,5:09.0,Turnover by D. Jordan (bad pass; steal by J. McGee),,66,82
3,5:04.0,,L. Ball misses 2-pt layup from 3 ft,66,82
3,5:02.0,,Offensive rebound by L. Ball,66,82
3,5:01.0,,Shooting foul by D. Finney-Smith (drawn by K. Caldwell-Pope),66,82
3,5:01.0,,K. Caldwell-Pope makes free throw 1 of 2,66,83
3,5:01.0,,K. Caldwell-Pope makes free throw 2 of 2,66,84
3,4:50.0,L. Dončić makes 2-pt jump shot from 3 ft,,68,84
3,4:40.0,,L. Ball makes 3-pt jump shot from 25 ft,68,87
3,4:25.0,Turnover by M. Kleber (bad pass; steal by K. Caldwell-Pope),,68,87
3,4:21.0,,Turnover by K. Caldwell-Pope (bad pass; steal by D. Jordan),68,87
3,4:17.0,D. Finney-Smith makes 2-pt layup from 2 ft (assist by J. Barea),,70,87
3,3:55.0,,L. Ball misses 2-pt jump shot from 3 ft,70,87
3,3:52.0,Defensive rebound by L. Dončić,,70,87
3,3:47.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by J. Barea),,73,87
3,3:46.0,,LA Lakers full timeout,73,87
3,3:46.0,,J. Hart enters the game for L. Ball,73,87
3,3:46.0,,R. Rondo enters the game for K. Kuzma,73,87
3,3:24.0,,B. Ingram makes 2-pt jump shot from 6 ft,73,89
3,3:13.0,D. Jordan makes 2-pt dunk at rim (assist by L. Dončić),,75,89
3,3:02.0,,Offensive foul by J. McGee (drawn by M. Kleber),75,89
3,3:02.0,,Turnover by J. McGee (offensive foul),75,89
3,2:52.0,L. Dončić makes 3-pt jump shot from 25 ft,,78,89
3,2:34.0,,B. Ingram misses 2-pt jump shot from 12 ft,78,89
3,2:32.0,Defensive rebound by D. Jordan,,78,89
3,2:14.0,Turnover by D. Jordan (lost ball; steal by K. Caldwell-Pope),,78,89
3,2:01.0,,J. McGee misses 2-pt jump shot from 6 ft,78,89
3,2:00.0,Defensive rebound by Team,,78,89
3,2:00.0,,Loose ball foul by J. McGee (drawn by D. Jordan),78,89
3,1:49.0,D. Finney-Smith misses 2-pt jump shot from 5 ft,,78,89
3,1:46.0,,Defensive rebound by J. McGee,78,89
3,1:40.0,,B. Ingram misses 2-pt layup from 4 ft,78,89
3,1:38.0,Defensive rebound by M. Kleber,,78,89
3,1:38.0,Technical foul by D. Jordan,,78,89
3,1:38.0,,K. Caldwell-Pope makes technical free throw,78,90
3,1:38.0,D. Powell enters the game for D. Jordan,,78,90
3,1:38.0,,L. James enters the game for B. Ingram,78,90
3,1:31.0,J. Barea misses 2-pt layup from 2 ft,,78,90
3,1:31.0,Offensive rebound by D. Powell,,78,90
3,1:31.0,Shooting foul by J. McGee (drawn by D. Powell),,78,90
3,1:31.0,D. Powell misses free throw 1 of 2,,78,90
3,1:31.0,Offensive rebound by Team,,78,90
3,1:31.0,D. Powell makes free throw 2 of 2,,79,90
3,1:28.0,,Personal foul by D. Finney-Smith (drawn by L. James),79,90
3,1:28.0,,J. Williams enters the game for J. McGee,79,90
3,1:23.0,Violation by Team (kicked ball),,79,90
3,1:18.0,,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,79,90
3,1:14.0,Defensive rebound by L. Dončić,,79,90
3,1:10.0,Turnover by L. Dončić (bad pass),,79,90
3,0:52.0,,Shooting foul by D. Powell (drawn by L. James),79,90
3,0:52.0,,L. James makes free throw 1 of 2,79,91
3,0:52.0,W. Matthews enters the game for L. Dončić,,79,91
3,0:52.0,,L. James makes free throw 2 of 2,79,92
3,0:38.0,W. Matthews misses 3-pt jump shot from 26 ft,,79,92
3,0:35.0,,Defensive rebound by L. James,79,92
3,0:26.0,,L. James makes 2-pt jump shot from 19 ft,79,94
3,0:03.0,J. Barea misses 2-pt jump shot from 8 ft,,79,94
3,0:01.0,Offensive rebound by D. Finney-Smith,,79,94
3,0:01.0,D. Finney-Smith makes 2-pt dunk from 1 ft,,81,94
3,0:00.0,,R. Rondo misses 3-pt jump shot from 60 ft,81,94
3,0:00.0,,Offensive rebound by Team,81,94
4,11:47.0,,Personal foul by W. Matthews (drawn by R. Rondo),81,94
4,11:41.0,,Personal foul by D. Finney-Smith (drawn by J. Williams),81,94
4,11:36.0,,L. James misses 2-pt jump shot from 19 ft,81,94
4,11:32.0,Defensive rebound by M. Kleber,,81,94
4,11:26.0,Personal foul by R. Rondo (drawn by J. Barea),,81,94
4,11:26.0,J. Brunson enters the game for D. Finney-Smith,,81,94
4,11:16.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,83,94
4,11:03.0,,Turnover by J. Hart (traveling),83,94
4,10:51.0,Personal foul by J. Williams (drawn by D. Powell),,83,94
4,10:47.0,Personal foul by J. Hart (drawn by M. Kleber),,83,94
4,10:47.0,,L. Stephenson enters the game for J. Hart,83,94
4,10:43.0,Turnover by D. Powell (bad pass; steal by R. Rondo),,83,94
4,10:40.0,,R. Rondo makes 2-pt layup from 1 ft,83,96
4,10:26.0,Personal foul by L. James (drawn by D. Powell),,83,96
4,10:23.0,Shooting foul by J. Williams (drawn by D. Powell),,83,96
4,10:23.0,D. Powell makes free throw 1 of 2,,84,96
4,10:23.0,,J. McGee enters the game for J. Williams,84,96
4,10:23.0,D. Powell misses free throw 2 of 2,,84,96
4,10:19.0,Offensive rebound by M. Kleber,,84,96
4,10:15.0,J. Barea misses 2-pt jump shot from 9 ft,,84,96
4,10:11.0,,Defensive rebound by J. McGee,84,96
4,9:54.0,,L. James misses 2-pt jump shot from 19 ft,84,96
4,9:50.0,Defensive rebound by D. Powell,,84,96
4,9:46.0,J. Brunson makes 2-pt layup from 2 ft,,86,96
4,9:27.0,,Turnover by J. McGee (bad pass),86,96
4,9:21.0,Offensive foul by D. Powell (drawn by R. Rondo),,86,96
4,9:21.0,Turnover by D. Powell (offensive foul),,86,96
4,9:06.0,,R. Rondo misses 2-pt jump shot from 18 ft,86,96
4,9:02.0,Defensive rebound by D. Powell,,86,96
4,8:56.0,J. Barea makes 2-pt layup from 1 ft,,88,96
4,8:56.0,,LA Lakers full timeout,88,96
4,8:56.0,,L. Ball enters the game for K. Caldwell-Pope,88,96
4,8:56.0,,B. Ingram enters the game for R. Rondo,88,96
4,8:56.0,,K. Kuzma enters the game for L. Stephenson,88,96
4,8:38.0,,Shooting foul by J. Brunson (drawn by B. Ingram),88,96
4,8:38.0,,B. Ingram makes free throw 1 of 2,88,97
4,8:38.0,,B. Ingram makes free throw 2 of 2,88,98
4,8:31.0,J. Barea misses 2-pt layup from 2 ft (block by J. McGee),,88,98
4,8:31.0,Offensive rebound by Team,,88,98
4,8:22.0,J. Barea makes 2-pt jump shot from 4 ft (assist by D. Powell),,90,98
4,8:12.0,,Personal foul by J. Barea (drawn by B. Ingram),90,98
4,8:08.0,,B. Ingram makes 2-pt jump shot from 18 ft,90,100
4,7:54.0,Personal foul by B. Ingram (drawn by J. Barea),,90,100
4,7:54.0,J. Barea misses free throw 1 of 2,,90,100
4,7:54.0,Offensive rebound by Team,,90,100
4,7:54.0,J. Barea makes free throw 2 of 2,,91,100
4,7:34.0,,B. Ingram makes 2-pt jump shot from 14 ft,91,102
4,7:21.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),,93,102
4,7:13.0,,Turnover by K. Kuzma (traveling),93,102
4,6:52.0,W. Matthews misses 2-pt jump shot from 19 ft,,93,102
4,6:48.0,,Defensive rebound by B. Ingram,93,102
4,6:35.0,,Offensive foul by B. Ingram (drawn by J. Barea),93,102
4,6:35.0,,Turnover by B. Ingram (offensive foul),93,102
4,6:35.0,H. Barnes enters the game for J. Barea,,93,102
4,6:35.0,D. Finney-Smith enters the game for M. Kleber,,93,102
4,6:35.0,D. Jordan enters the game for W. Matthews,,93,102
4,6:35.0,D. Smith enters the game for D. Powell,,93,102
4,6:35.0,,K. Caldwell-Pope enters the game for B. Ingram,93,102
4,6:23.0,H. Barnes misses 2-pt jump shot from 7 ft,,93,102
4,6:21.0,,Defensive rebound by K. Caldwell-Pope,93,102
4,6:10.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. Ball),93,104
4,6:10.0,Dallas full timeout,,93,104
4,6:10.0,L. Dončić enters the game for J. Brunson,,93,104
4,5:55.0,D. Smith misses 2-pt jump shot from 14 ft,,93,104
