QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
2,8:46.0,L. Aldridge makes 2-pt hook shot from 5 ft,,43,45
2,8:29.0,,Personal foul by L. Aldridge (drawn by J. Embiid),43,45
2,8:17.0,,L. Shamet misses 3-pt jump shot from 26 ft,43,45
2,8:14.0,Defensive rebound by M. Belinelli,,43,45
2,8:10.0,Turnover by M. Belinelli (bad pass),,43,45
2,8:10.0,,J. Bolden enters the game for J. Embiid,43,45
2,8:10.0,,C. Brewer enters the game for T. McConnell,43,45
2,8:10.0,,B. Simmons enters the game for M. Muscala,43,45
2,7:55.0,,C. Brewer makes 3-pt jump shot from 25 ft (assist by J. Bolden),43,48
2,7:44.0,M. Belinelli misses 2-pt jump shot from 17 ft,,43,48
2,7:42.0,,Defensive rebound by B. Simmons,43,48
2,7:34.0,,C. Brewer misses 2-pt layup from 4 ft (block by L. Aldridge),43,48
2,7:34.0,Defensive rebound by Team,,43,48
2,7:34.0,,Loose ball foul by C. Brewer (drawn by D. White),43,48
2,7:23.0,Turnover by L. Aldridge (lost ball; steal by C. Brewer),,43,48
2,7:02.0,,Turnover by W. Chandler (bad pass; steal by L. Aldridge),43,48
2,6:51.0,D. DeRozan makes 2-pt jump shot from 11 ft,,45,48
2,6:51.0,Shooting foul by B. Simmons (drawn by D. DeRozan),,45,48
2,6:51.0,B. Forbes enters the game for M. Belinelli,,45,48
2,6:51.0,D. DeRozan misses free throw 1 of 1,,45,48
2,6:48.0,,Defensive rebound by B. Simmons,45,48
2,6:39.0,,Turnover by B. Simmons (traveling),45,48
2,6:30.0,Turnover by D. DeRozan (traveling),,45,48
2,6:30.0,,J. Redick enters the game for L. Shamet,45,48
2,6:19.0,,Turnover by B. Simmons (lost ball; steal by R. Gay),45,48
2,6:09.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,48,48
2,5:49.0,,C. Brewer makes 3-pt jump shot from 26 ft (assist by B. Simmons),48,51
2,5:37.0,L. Aldridge misses 2-pt hook shot from 6 ft (block by J. Bolden),,48,51
2,5:33.0,Offensive rebound by L. Aldridge,,48,51
2,5:33.0,L. Aldridge misses 2-pt dunk from 1 ft (block by J. Bolden),,48,51
2,5:33.0,Offensive rebound by L. Aldridge,,48,51
2,5:28.0,Turnover by L. Aldridge (lost ball; steal by B. Simmons),,48,51
2,5:27.0,,J. Bolden makes 2-pt dunk at rim (assist by B. Simmons),48,53
2,5:27.0,San Antonio full timeout,,48,53
2,5:27.0,J. Poeltl enters the game for L. Aldridge,,48,53
2,5:12.0,R. Gay misses 3-pt jump shot from 25 ft,,48,53
2,5:05.0,Offensive rebound by J. Poeltl,,48,53
2,5:05.0,J. Poeltl misses 2-pt layup from 1 ft,,48,53
2,5:03.0,,Defensive rebound by J. Bolden,48,53
2,4:51.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Brewer),48,56
2,4:34.0,R. Gay makes 2-pt layup from 2 ft,,50,56
2,4:21.0,,J. Bolden misses 3-pt jump shot from 25 ft,50,56
2,4:17.0,Defensive rebound by D. White,,50,56
2,4:04.0,B. Forbes makes 3-pt jump shot from 25 ft,,53,56
2,4:04.0,,Philadelphia full timeout,53,56
2,4:04.0,P. Mills enters the game for R. Gay,,53,56
2,4:04.0,,J. Embiid enters the game for J. Bolden,53,56
2,4:04.0,,M. Muscala enters the game for W. Chandler,53,56
2,3:46.0,,J. Embiid misses 2-pt jump shot from 2 ft,53,56
2,3:44.0,Defensive rebound by B. Forbes,,53,56
2,3:40.0,B. Forbes misses 3-pt jump shot from 25 ft,,53,56
2,3:37.0,,Defensive rebound by J. Embiid,53,56
2,3:21.0,,C. Brewer misses 2-pt jump shot from 11 ft,53,56
2,3:17.0,Defensive rebound by D. DeRozan,,53,56
2,3:06.0,Turnover by D. DeRozan (lost ball; steal by C. Brewer),,53,56
2,2:59.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by B. Simmons),53,59
2,2:42.0,D. DeRozan misses 2-pt jump shot from 14 ft,,53,59
2,2:39.0,,Defensive rebound by M. Muscala,53,59
2,2:28.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),53,61
2,2:11.0,Offensive foul by D. DeRozan (drawn by C. Brewer),,53,61
2,2:11.0,Turnover by D. DeRozan (offensive foul),,53,61
2,2:11.0,L. Aldridge enters the game for J. Poeltl,,53,61
2,1:58.0,,Turnover by C. Brewer (bad pass; steal by D. White),53,61
2,1:56.0,Shooting foul by C. Brewer (drawn by D. White),,53,61
2,1:56.0,D. White makes free throw 1 of 2,,54,61
2,1:56.0,M. Belinelli enters the game for B. Forbes,,54,61
2,1:56.0,D. White makes free throw 2 of 2,,55,61
2,1:47.0,,Turnover by J. Embiid (traveling),55,61
2,1:35.0,D. DeRozan makes 2-pt layup from 1 ft (assist by L. Aldridge),,57,61
2,1:25.0,,Shooting foul by D. White (drawn by B. Simmons),57,61
2,1:25.0,,B. Simmons makes free throw 1 of 2,57,62
2,1:25.0,,B. Simmons makes free throw 2 of 2,57,63
2,1:12.0,D. DeRozan makes 2-pt jump shot from 17 ft,,59,63
2,1:03.0,,B. Simmons makes 2-pt layup from 3 ft,59,65
2,0:54.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. White),,62,65
2,0:34.0,,Turnover by J. Embiid (lost ball; steal by P. Mills),62,65
2,0:31.0,P. Mills misses 3-pt jump shot from 25 ft,,62,65
2,0:27.0,,Defensive rebound by C. Brewer,62,65
2,0:07.0,,C. Brewer makes 2-pt layup from 1 ft (assist by B. Simmons),62,67
2,0:01.0,Shooting foul by J. Embiid (drawn by D. DeRozan),,62,67
2,0:01.0,D. DeRozan makes free throw 1 of 2,,63,67
2,0:01.0,B. Forbes enters the game for L. Aldridge,,63,67
2,0:01.0,,L. Shamet enters the game for C. Brewer,63,67
2,0:01.0,D. DeRozan makes free throw 2 of 2,,64,67
2,0:01.0,,M. Muscala misses 3-pt jump shot from 52 ft (block by M. Belinelli),64,67
2,0:00.0,,Offensive rebound by Team,64,67
3,11:37.0,D. DeRozan makes 2-pt jump shot from 7 ft,,66,67
3,11:21.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Embiid),66,69
3,11:06.0,D. White misses 2-pt jump shot from 21 ft,,66,69
3,11:02.0,Offensive rebound by D. DeRozan,,66,69
3,10:55.0,R. Gay makes 2-pt layup from 3 ft (assist by D. DeRozan),,68,69
3,10:35.0,,J. Embiid makes 2-pt jump shot from 17 ft (assist by B. Simmons),68,71
3,10:23.0,D. White makes 3-pt jump shot from 26 ft,,71,71
3,10:05.0,,J. Embiid misses 2-pt jump shot from 19 ft,71,71
3,10:03.0,Defensive rebound by R. Gay,,71,71
3,9:53.0,L. Aldridge misses 2-pt jump shot from 17 ft,,71,71
3,9:50.0,,Defensive rebound by J. Redick,71,71
3,9:44.0,,B. Simmons makes 2-pt jump shot from 13 ft,71,73
3,9:29.0,L. Aldridge makes 2-pt hook shot from 6 ft (assist by D. White),,73,73
3,9:21.0,,J. Redick misses 3-pt jump shot from 28 ft,73,73
3,9:17.0,Defensive rebound by D. White,,73,73
3,9:04.0,Shooting foul by J. Embiid (drawn by L. Aldridge),,73,73
3,9:04.0,L. Aldridge makes free throw 1 of 2,,74,73
3,9:04.0,L. Aldridge makes free throw 2 of 2,,75,73
3,8:50.0,,W. Chandler misses 3-pt jump shot from 24 ft,75,73
3,8:46.0,Defensive rebound by R. Gay,,75,73
3,8:39.0,R. Gay makes 2-pt layup from 3 ft,,77,73
3,8:39.0,,Philadelphia full timeout,77,73
3,8:20.0,,Turnover by W. Chandler (bad pass; steal by D. DeRozan),77,73
3,8:16.0,Turnover by R. Gay (lost ball; steal by W. Chandler),,77,73
3,8:12.0,,B. Simmons makes 2-pt dunk at rim (assist by C. Brewer),77,75
3,7:57.0,D. DeRozan makes 2-pt jump shot from 23 ft,,79,75
3,7:51.0,,Turnover by C. Brewer (step out of bounds),79,75
3,7:38.0,D. DeRozan misses 2-pt jump shot from 22 ft,,79,75
3,7:34.0,,Defensive rebound by W. Chandler,79,75
3,7:29.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by B. Simmons),79,78
3,7:15.0,L. Aldridge misses 2-pt jump shot from 11 ft,,79,78
3,7:13.0,,Defensive rebound by J. Embiid,79,78
3,6:58.0,,B. Simmons makes 2-pt layup from 2 ft,79,80
3,6:58.0,San Antonio full timeout,,79,80
3,6:58.0,,L. Shamet enters the game for C. Brewer,79,80
3,6:39.0,R. Gay misses 2-pt jump shot from 18 ft,,79,80
3,6:36.0,,Defensive rebound by J. Embiid,79,80
3,6:22.0,,J. Embiid makes 2-pt jump shot from 9 ft,79,82
3,6:00.0,D. White makes 2-pt jump shot from 19 ft,,81,82
3,5:42.0,,J. Redick misses 3-pt jump shot from 27 ft,81,82
3,5:39.0,Defensive rebound by D. White,,81,82
3,5:33.0,R. Gay makes 2-pt jump shot from 12 ft (assist by D. White),,83,82
3,5:18.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by J. Redick),83,85
3,5:00.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. White),,85,85
3,4:40.0,,J. Embiid misses 3-pt jump shot from 24 ft,85,85
3,4:37.0,Defensive rebound by D. DeRozan,,85,85
3,4:19.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by R. Gay),,87,85
3,4:06.0,,J. Redick misses 3-pt jump shot from 25 ft,87,85
3,4:03.0,Defensive rebound by B. Forbes,,87,85
3,3:58.0,Personal foul by B. Simmons (drawn by D. DeRozan),,87,85
3,3:58.0,M. Belinelli enters the game for L. Aldridge,,87,85
3,3:58.0,P. Mills enters the game for B. Forbes,,87,85
3,3:58.0,J. Poeltl enters the game for D. White,,87,85
3,3:58.0,,J. Bolden enters the game for J. Embiid,87,85
3,3:58.0,,T. McConnell enters the game for J. Redick,87,85
3,3:54.0,D. DeRozan makes 2-pt layup from 2 ft (assist by M. Belinelli),,89,85
3,3:44.0,,Turnover by T. McConnell (bad pass; steal by R. Gay),89,85
3,3:30.0,R. Gay makes 2-pt hook shot from 6 ft (assist by P. Mills),,91,85
3,3:30.0,Shooting foul by J. Bolden (drawn by R. Gay),,91,85
3,3:30.0,R. Gay makes free throw 1 of 1,,92,85
3,3:06.0,,B. Simmons makes 2-pt jump shot from 12 ft,92,87
3,2:47.0,P. Mills makes 2-pt layup from 1 ft,,94,87
3,2:47.0,,Philadelphia full timeout,94,87
3,2:47.0,D. Cunningham enters the game for R. Gay,,94,87
3,2:47.0,,C. Brewer enters the game for J. Bolden,94,87
3,2:47.0,,J. Embiid enters the game for W. Chandler,94,87
3,2:47.0,,M. Muscala enters the game for B. Simmons,94,87
3,2:21.0,,C. Brewer misses 2-pt layup from 6 ft,94,87
3,2:16.0,Defensive rebound by J. Poeltl,,94,87
3,2:13.0,Turnover by D. DeRozan (bad pass; steal by L. Shamet),,94,87
3,2:08.0,,L. Shamet makes 2-pt layup from 3 ft (assist by T. McConnell),94,89
3,2:00.0,P. Mills misses 3-pt jump shot from 27 ft,,94,89
3,2:00.0,,Defensive rebound by J. Embiid,94,89
3,1:46.0,,Turnover by J. Embiid (lost ball; steal by D. DeRozan),94,89
3,1:41.0,M. Belinelli misses 3-pt jump shot from 26 ft,,94,89
3,1:37.0,,Defensive rebound by J. Embiid,94,89
3,1:22.0,,J. Embiid makes 2-pt jump shot from 7 ft (assist by T. McConnell),94,91
3,1:01.0,Personal foul by C. Brewer (drawn by D. DeRozan),,94,91
3,0:51.0,D. DeRozan makes 2-pt layup from 3 ft,,96,91
3,0:45.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by T. McConnell),96,94
3,0:30.0,Turnover by D. DeRozan (bad pass; steal by L. Shamet),,96,94
3,0:26.0,,C. Brewer misses 3-pt jump shot from 26 ft,96,94
3,0:23.0,,Offensive rebound by J. Embiid,96,94
3,0:23.0,,Shooting foul by D. Cunningham (drawn by J. Embiid),96,94
3,0:23.0,,J. Embiid makes free throw 1 of 2,96,95
3,0:23.0,,W. Chandler enters the game for C. Brewer,96,95
3,0:23.0,,B. Simmons enters the game for M. Muscala,96,95
3,0:23.0,,J. Embiid makes free throw 2 of 2,96,96
3,0:01.0,P. Mills misses 3-pt jump shot from 27 ft,,96,96
3,0:00.0,Offensive rebound by Team,,96,96
4,11:43.0,,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),96,98
4,11:30.0,B. Forbes misses 3-pt jump shot from 26 ft,,96,98
4,11:28.0,,Defensive rebound by J. Embiid,96,98
4,11:23.0,,J. Embiid misses 3-pt jump shot from 26 ft,96,98
4,11:17.0,Defensive rebound by J. Poeltl,,96,98
4,11:06.0,Shooting foul by J. Embiid (drawn by M. Belinelli),,96,98
4,11:06.0,M. Belinelli makes free throw 1 of 2,,97,98
4,11:06.0,,L. Shamet enters the game for C. Brewer,97,98
4,11:06.0,M. Belinelli makes free throw 2 of 2,,98,98
4,10:50.0,,Turnover by B. Simmons (lost ball; steal by D. White),98,98
4,10:41.0,D. White makes 2-pt layup from 1 ft,,100,98
4,10:27.0,,Personal foul by D. White (drawn by B. Simmons),100,98
4,10:16.0,,Shooting foul by M. Belinelli (drawn by J. Embiid),100,98
4,10:16.0,,J. Embiid misses free throw 1 of 2,100,98
4,10:16.0,,Offensive rebound by Team,100,98
4,10:16.0,,J. Embiid makes free throw 2 of 2,100,99
4,10:03.0,P. Mills misses 3-pt jump shot from 26 ft,,100,99
4,9:59.0,,Defensive rebound by B. Simmons,100,99
4,9:50.0,,B. Simmons misses 2-pt layup from 5 ft,100,99
4,9:47.0,Defensive rebound by J. Poeltl,,100,99
4,9:44.0,Shooting foul by J. Redick (drawn by P. Mills),,100,99
4,9:44.0,P. Mills misses free throw 1 of 2,,100,99
4,9:44.0,Offensive rebound by Team,,100,99
4,9:44.0,R. Gay enters the game for M. Belinelli,,100,99
4,9:44.0,P. Mills makes free throw 2 of 2,,101,99
4,9:29.0,,B. Simmons misses 2-pt hook shot from 4 ft,101,99
4,9:25.0,,Offensive rebound by J. Embiid,101,99
4,9:25.0,,J. Embiid makes 2-pt layup from 1 ft,101,101
4,9:09.0,B. Forbes makes 2-pt jump shot from 14 ft,,103,101
4,8:58.0,,J. Embiid makes 2-pt layup from 1 ft (assist by T. McConnell),103,103
4,8:53.0,San Antonio full timeout,,103,103
4,8:53.0,L. Aldridge enters the game for J. Poeltl,,103,103
4,8:53.0,,W. Chandler enters the game for B. Simmons,103,103
4,8:41.0,R. Gay makes 2-pt layup from 2 ft (assist by L. Aldridge),,105,103
4,8:16.0,,J. Embiid misses 2-pt layup from 2 ft,105,103
4,8:14.0,Defensive rebound by L. Aldridge,,105,103
4,7:54.0,B. Forbes misses 2-pt layup from 5 ft (block by J. Redick),,105,103
4,7:51.0,Offensive rebound by B. Forbes,,105,103
4,7:50.0,Turnover by B. Forbes (bad pass; steal by L. Shamet),,105,103
4,7:46.0,,L. Shamet misses 3-pt jump shot from 25 ft,105,103
4,7:44.0,Defensive rebound by R. Gay,,105,103
4,7:40.0,P. Mills makes 3-pt jump shot from 26 ft (assist by R. Gay),,108,103
4,7:18.0,,T. McConnell misses 2-pt layup from 2 ft,108,103
4,7:16.0,Defensive rebound by B. Forbes,,108,103
4,7:08.0,Turnover by D. White (bad pass; steal by T. McConnell),,108,103
4,6:54.0,,J. Embiid makes 2-pt jump shot from 19 ft,108,105
4,6:37.0,R. Gay makes 2-pt jump shot from 15 ft,,110,105
4,6:25.0,,L. Shamet makes 3-pt jump shot from 22 ft (assist by T. McConnell),110,108
4,6:25.0,,Shooting foul by R. Gay (drawn by L. Shamet),110,108
4,6:25.0,D. DeRozan enters the game for D. White,,110,108
4,6:25.0,,J. Bolden enters the game for J. Embiid,110,108
4,6:25.0,,L. Shamet makes free throw 1 of 1,110,109
4,6:07.0,D. DeRozan makes 2-pt layup from 2 ft (assist by L. Aldridge),,112,109
4,5:43.0,,W. Chandler misses 3-pt jump shot from 25 ft,112,109
4,5:38.0,Defensive rebound by D. DeRozan,,112,109
4,5:38.0,M. Belinelli enters the game for P. Mills,,112,109
4,5:38.0,,C. Brewer enters the game for J. Redick,112,109
4,5:22.0,L. Aldridge misses 2-pt layup from 4 ft,,112,109
4,5:20.0,,Defensive rebound by J. Bolden,112,109
4,5:02.0,,J. Bolden misses 2-pt jump shot from 18 ft,112,109
4,5:00.0,Defensive rebound by B. Forbes,,112,109
4,4:55.0,M. Belinelli makes 3-pt jump shot from 23 ft (assist by B. Forbes),,115,109
4,4:54.0,,Philadelphia full timeout,115,109
4,4:54.0,D. White enters the game for B. Forbes,,115,109
4,4:54.0,,J. Embiid enters the game for J. Bolden,115,109
4,4:54.0,,J. Redick enters the game for T. McConnell,115,109
4,4:54.0,,B. Simmons enters the game for L. Shamet,115,109
4,4:33.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),115,112
4,4:12.0,D. White misses 3-pt jump shot from 25 ft,,115,112
4,4:07.0,,Defensive rebound by J. Redick,115,112
4,3:55.0,,J. Redick misses 3-pt jump shot from 26 ft,115,112
4,3:53.0,Defensive rebound by L. Aldridge,,115,112
4,3:46.0,D. DeRozan makes 2-pt jump shot from 21 ft,,117,112
4,3:26.0,,J. Redick misses 2-pt jump shot from 20 ft,117,112
4,3:23.0,,Offensive rebound by J. Embiid,117,112
4,3:10.0,,J. Embiid misses 2-pt jump shot from 13 ft,117,112
4,3:06.0,Defensive rebound by D. DeRozan,,117,112
4,2:48.0,M. Belinelli makes 3-pt jump shot from 24 ft (assist by D. White),,120,112
4,2:46.0,,Philadelphia full timeout,120,112
4,2:46.0,,L. Shamet enters the game for C. Brewer,120,112
4,2:37.0,,W. Chandler misses 3-pt jump shot from 27 ft,120,112
4,2:35.0,Defensive rebound by D. DeRozan,,120,112
4,2:23.0,D. DeRozan misses 2-pt jump shot from 18 ft,,120,112
4,2:19.0,,Defensive rebound by J. Embiid,120,112
4,2:15.0,,B. Simmons makes 2-pt jump shot from 1 ft (assist by L. Shamet),120,114
4,1:50.0,D. DeRozan misses 2-pt layup from 6 ft (block by J. Embiid),,120,114
4,1:46.0,,Defensive rebound by B. Simmons,120,114
4,1:44.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by B. Simmons),120,117
4,1:21.0,D. White misses 3-pt jump shot from 28 ft,,120,117
