QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
1,3:11.0,,M. Brogdon makes 2-pt layup from 1 ft,16,22
1,3:04.0,V. Oladipo misses 2-pt jump shot from 16 ft,,16,22
1,3:01.0,,Defensive rebound by M. Brogdon,16,22
1,2:53.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by M. Brogdon),16,25
1,2:35.0,V. Oladipo misses 2-pt jump shot from 19 ft,,16,25
1,2:33.0,Offensive rebound by M. Turner,,16,25
1,2:31.0,Turnover by T. Evans (out of bounds lost ball),,16,25
1,2:31.0,B. Bogdanović enters the game for D. Collison,,16,25
1,2:31.0,C. Joseph enters the game for M. Turner,,16,25
1,2:31.0,,G. Antetokounmpo enters the game for K. Middleton,16,25
1,2:20.0,,D. DiVincenzo misses 3-pt jump shot from 27 ft,16,25
1,2:16.0,Defensive rebound by V. Oladipo,,16,25
1,2:12.0,V. Oladipo makes 2-pt layup from 2 ft,,18,25
1,2:12.0,Shooting foul by D. DiVincenzo (drawn by V. Oladipo),,18,25
1,2:12.0,V. Oladipo misses free throw 1 of 1,,18,25
1,2:09.0,Offensive rebound by D. Sabonis,,18,25
1,2:07.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,18,25
1,2:05.0,Offensive rebound by D. Sabonis,,18,25
1,2:02.0,V. Oladipo misses 3-pt jump shot from 29 ft,,18,25
1,1:58.0,,Defensive rebound by M. Brogdon,18,25
1,1:54.0,,M. Brogdon makes 2-pt jump shot from 12 ft,18,27
1,1:54.0,,Shooting foul by C. Joseph (drawn by M. Brogdon),18,27
1,1:54.0,D. McDermott enters the game for B. Bogdanović,,18,27
1,1:54.0,T. Young enters the game for V. Oladipo,,18,27
1,1:54.0,,J. Henson enters the game for C. Wood,18,27
1,1:54.0,,M. Brogdon makes free throw 1 of 1,18,28
1,1:40.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,20,28
1,1:40.0,Shooting foul by D. DiVincenzo (drawn by D. Sabonis),,20,28
1,1:40.0,D. Sabonis makes free throw 1 of 1,,21,28
1,1:26.0,,Turnover by G. Antetokounmpo (traveling),21,28
1,1:13.0,C. Joseph misses 3-pt jump shot from 26 ft,,21,28
1,1:10.0,,Defensive rebound by D. DiVincenzo,21,28
1,1:02.0,,J. Henson misses 2-pt layup from 4 ft,21,28
1,0:59.0,Defensive rebound by D. Sabonis,,21,28
1,0:53.0,T. Evans makes 2-pt layup from 1 ft,,23,28
1,0:42.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,23,28
1,0:39.0,Defensive rebound by C. Joseph,,23,28
1,0:34.0,C. Joseph misses 2-pt jump shot from 14 ft,,23,28
1,0:31.0,,Defensive rebound by G. Antetokounmpo,23,28
1,0:28.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,23,30
1,0:08.0,C. Joseph makes 2-pt jump shot from 16 ft,,25,30
1,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,25,30
1,0:00.0,,Offensive rebound by Team,25,30
2,11:46.0,,Turnover by D. DiVincenzo (out of bounds lost ball),25,30
2,11:30.0,T. Young makes 2-pt hook shot from 2 ft,,27,30
2,11:24.0,,Personal foul by D. McDermott (drawn by T. Snell),27,30
2,11:18.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,27,32
2,11:18.0,,Shooting foul by C. Joseph (drawn by G. Antetokounmpo),27,32
2,11:18.0,,G. Antetokounmpo makes free throw 1 of 1,27,33
2,11:12.0,D. McDermott misses 3-pt jump shot from 27 ft,,27,33
2,11:08.0,,Defensive rebound by M. Brogdon,27,33
2,11:08.0,,B. Lopez enters the game for J. Henson,27,33
2,11:02.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by M. Brogdon),27,36
2,11:02.0,,Shooting foul by D. McDermott (drawn by T. Snell),27,36
2,11:02.0,,T. Snell misses free throw 1 of 1,27,36
2,10:59.0,Defensive rebound by D. Sabonis,,27,36
2,10:43.0,D. Sabonis misses 2-pt hook shot from 5 ft,,27,36
2,10:43.0,Offensive rebound by T. Evans,,27,36
2,10:36.0,Turnover by T. Evans (bad pass; steal by M. Brogdon),,27,36
2,10:32.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Brogdon),27,38
2,10:20.0,C. Joseph misses 2-pt jump shot from 14 ft,,27,38
2,10:20.0,Offensive rebound by Team,,27,38
2,10:20.0,,Loose ball foul by B. Lopez (drawn by D. Sabonis),27,38
2,10:17.0,Offensive foul by D. Sabonis (drawn by T. Snell),,27,38
2,10:17.0,Turnover by D. Sabonis (offensive foul),,27,38
2,10:03.0,,Turnover by M. Brogdon (bad pass; steal by C. Joseph),27,38
2,10:03.0,Personal foul by G. Antetokounmpo (drawn by C. Joseph),,27,38
2,10:03.0,,K. Middleton enters the game for D. DiVincenzo,27,38
2,9:51.0,D. Sabonis makes 2-pt dunk from 2 ft (assist by T. Evans),,29,38
2,9:51.0,Shooting foul by B. Lopez (drawn by D. Sabonis),,29,38
2,9:51.0,D. Sabonis makes free throw 1 of 1,,30,38
2,9:33.0,,B. Lopez misses 2-pt jump shot from 8 ft,30,38
2,9:31.0,Defensive rebound by T. Evans,,30,38
2,9:22.0,T. Evans misses 2-pt layup from 3 ft,,30,38
2,9:21.0,,Defensive rebound by G. Antetokounmpo,30,38
2,9:21.0,,Personal foul by T. Evans (drawn by G. Antetokounmpo),30,38
2,9:21.0,,E. Bledsoe enters the game for M. Brogdon,30,38
2,9:12.0,,Personal foul by T. Evans (drawn by K. Middleton),30,38
2,9:12.0,,K. Middleton makes free throw 1 of 2,30,39
2,9:12.0,,K. Middleton makes free throw 2 of 2,30,40
2,8:56.0,D. Sabonis makes 2-pt layup from 3 ft,,32,40
2,8:46.0,,Turnover by K. Middleton (bad pass; steal by T. Young),32,40
2,8:32.0,D. Sabonis misses 2-pt jump shot from 10 ft,,32,40
2,8:29.0,,Defensive rebound by K. Middleton,32,40
2,8:09.0,,B. Lopez misses 3-pt jump shot from 25 ft,32,40
2,8:05.0,Defensive rebound by D. Sabonis,,32,40
2,7:55.0,T. Evans makes 2-pt jump shot from 18 ft,,34,40
2,7:36.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,34,42
2,7:24.0,Turnover by D. Sabonis (bad pass; steal by E. Bledsoe),,34,42
2,7:19.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,34,42
2,7:11.0,,Offensive rebound by G. Antetokounmpo,34,42
2,7:11.0,,G. Antetokounmpo makes 2-pt dunk at rim,34,44
2,7:10.0,Indiana full timeout,,34,44
2,7:10.0,B. Bogdanović enters the game for T. Evans,,34,44
2,7:10.0,D. Collison enters the game for C. Joseph,,34,44
2,7:10.0,V. Oladipo enters the game for D. Sabonis,,34,44
2,7:10.0,M. Turner enters the game for T. Young,,34,44
2,7:10.0,,J. Henson enters the game for G. Antetokounmpo,34,44
2,7:10.0,,E. İlyasova enters the game for B. Lopez,34,44
2,7:00.0,D. McDermott makes 3-pt jump shot from 27 ft (assist by D. Collison),,37,44
2,6:44.0,,K. Middleton misses 3-pt jump shot from 27 ft,37,44
2,6:38.0,,Offensive rebound by J. Henson,37,44
2,6:38.0,,J. Henson misses 2-pt layup at rim,37,44
2,6:38.0,,Offensive rebound by J. Henson,37,44
2,6:29.0,,J. Henson makes 2-pt hook shot from 5 ft,37,46
2,6:23.0,M. Turner makes 2-pt jump shot from 7 ft (assist by D. McDermott),,39,46
2,6:18.0,,Offensive foul by K. Middleton (drawn by V. Oladipo),39,46
2,6:18.0,,Turnover by K. Middleton (offensive foul),39,46
2,6:04.0,V. Oladipo makes 3-pt jump shot from 26 ft,,42,46
2,5:42.0,,J. Henson misses 2-pt hook shot from 7 ft,42,46
2,5:40.0,,Offensive rebound by E. Bledsoe,42,46
2,5:38.0,,T. Snell misses 3-pt jump shot from 27 ft,42,46
2,5:38.0,Defensive rebound by Team,,42,46
2,5:37.0,,Loose ball foul by J. Henson (drawn by M. Turner),42,46
2,5:37.0,,G. Antetokounmpo enters the game for T. Snell,42,46
2,5:23.0,V. Oladipo misses 2-pt jump shot from 16 ft (block by E. Bledsoe),,42,46
2,5:23.0,Offensive rebound by Team,,42,46
2,5:20.0,D. McDermott misses 2-pt jump shot from 18 ft (block by J. Henson),,42,46
2,5:15.0,,Defensive rebound by E. İlyasova,42,46
2,5:14.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),42,48
2,4:59.0,B. Bogdanović misses 2-pt layup from 6 ft (block by E. İlyasova),,42,48
2,4:55.0,Offensive rebound by M. Turner,,42,48
2,4:49.0,M. Turner misses 2-pt jump shot from 16 ft,,42,48
2,4:47.0,,Defensive rebound by G. Antetokounmpo,42,48
2,4:31.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by K. Middleton),42,51
2,4:15.0,V. Oladipo makes 2-pt jump shot from 16 ft,,44,51
2,3:58.0,,K. Middleton misses 2-pt layup from 3 ft,44,51
2,3:56.0,,Offensive rebound by J. Henson,44,51
2,3:43.0,,J. Henson makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),44,54
2,3:19.0,V. Oladipo misses 2-pt jump shot from 15 ft,,44,54
2,3:15.0,,Defensive rebound by G. Antetokounmpo,44,54
2,3:11.0,,Turnover by K. Middleton (traveling),44,54
2,3:11.0,T. Young enters the game for D. McDermott,,44,54
2,3:11.0,,D. DiVincenzo enters the game for K. Middleton,44,54
2,3:03.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,44,54
2,3:00.0,,Defensive rebound by J. Henson,44,54
2,2:59.0,,Personal foul by B. Bogdanović (drawn by G. Antetokounmpo),44,54
2,2:59.0,,Milwaukee full timeout,44,54
2,2:59.0,,M. Brogdon enters the game for E. Bledsoe,44,54
2,2:59.0,,G. Antetokounmpo misses free throw 1 of 2,44,54
2,2:59.0,,Offensive rebound by Team,44,54
2,2:59.0,,G. Antetokounmpo makes free throw 2 of 2,44,55
2,2:50.0,V. Oladipo makes 2-pt jump shot from 17 ft,,46,55
2,2:39.0,,Turnover by G. Antetokounmpo (traveling),46,55
2,2:31.0,B. Bogdanović misses 2-pt layup from 7 ft (block by J. Henson),,46,55
2,2:27.0,,Defensive rebound by D. DiVincenzo,46,55
2,2:24.0,,M. Brogdon makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),46,58
2,2:11.0,V. Oladipo misses 2-pt jump shot from 17 ft,,46,58
2,2:09.0,,Defensive rebound by G. Antetokounmpo,46,58
2,1:49.0,,D. DiVincenzo misses 3-pt jump shot from 22 ft,46,58
2,1:49.0,,Offensive rebound by Team,46,58
2,1:49.0,,Personal foul by T. Young (drawn by J. Henson),46,58
2,1:49.0,,J. Henson misses free throw 1 of 2,46,58
2,1:49.0,,Offensive rebound by Team,46,58
2,1:49.0,T. Evans enters the game for T. Young,,46,58
2,1:49.0,,T. Snell enters the game for E. İlyasova,46,58
2,1:49.0,,J. Henson makes free throw 2 of 2,46,59
2,1:38.0,Personal foul by M. Brogdon (drawn by D. Collison),,46,59
2,1:38.0,D. Collison makes free throw 1 of 2,,47,59
2,1:38.0,,E. İlyasova enters the game for J. Henson,47,59
2,1:38.0,D. Collison makes free throw 2 of 2,,48,59
2,1:22.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,48,59
2,1:22.0,Defensive rebound by B. Bogdanović,,48,59
2,1:22.0,Personal foul by D. DiVincenzo (drawn by B. Bogdanović),,48,59
2,1:22.0,B. Bogdanović misses free throw 1 of 2,,48,59
2,1:22.0,Offensive rebound by Team,,48,59
2,1:22.0,B. Bogdanović makes free throw 2 of 2,,49,59
2,1:08.0,,Turnover by D. DiVincenzo (bad pass; steal by D. Collison),49,59
2,1:05.0,Personal foul by M. Brogdon (drawn by B. Bogdanović),,49,59
2,1:05.0,B. Bogdanović makes free throw 1 of 2,,50,59
2,1:05.0,B. Bogdanović makes free throw 2 of 2,,51,59
2,0:55.0,,T. Snell misses 3-pt jump shot from 24 ft,51,59
2,0:54.0,Defensive rebound by Team,,51,59
2,0:38.0,Offensive foul by M. Turner (drawn by M. Brogdon),,51,59
2,0:38.0,Turnover by M. Turner (offensive foul),,51,59
2,0:32.0,,Offensive foul by G. Antetokounmpo (drawn by B. Bogdanović),51,59
2,0:32.0,,Turnover by G. Antetokounmpo (offensive foul),51,59
2,0:27.0,V. Oladipo misses 2-pt jump shot from 18 ft,,51,59
2,0:23.0,,Defensive rebound by G. Antetokounmpo,51,59
2,0:07.0,,M. Brogdon makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),51,62
2,0:03.0,Shooting foul by T. Snell (drawn by V. Oladipo),,51,62
2,0:03.0,V. Oladipo makes free throw 1 of 2,,52,62
2,0:03.0,D. McDermott enters the game for T. Evans,,52,62
2,0:03.0,,B. Lopez enters the game for D. DiVincenzo,52,62
2,0:03.0,V. Oladipo makes free throw 2 of 2,,53,62
2,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 47 ft,53,62
2,0:00.0,,Offensive rebound by Team,53,62
3,11:35.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),53,64
3,11:21.0,Offensive foul by M. Turner (drawn by M. Brogdon),,53,64
3,11:21.0,Turnover by M. Turner (offensive foul),,53,64
3,11:08.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),53,67
3,10:51.0,V. Oladipo misses 2-pt jump shot from 15 ft (block by E. Bledsoe),,53,67
3,10:48.0,,Defensive rebound by G. Antetokounmpo,53,67
3,10:45.0,,Turnover by G. Antetokounmpo (traveling),53,67
3,10:33.0,Personal foul by E. Bledsoe (drawn by M. Turner),,53,67
3,10:19.0,D. Collison misses 2-pt jump shot from 16 ft,,53,67
3,10:17.0,,Defensive rebound by G. Antetokounmpo,53,67
3,10:08.0,,B. Lopez misses 3-pt jump shot from 30 ft,53,67
3,10:06.0,Defensive rebound by B. Bogdanović,,53,67
3,10:02.0,D. Collison makes 2-pt jump shot from 15 ft,,55,67
3,9:50.0,Violation by Team (kicked ball),,55,67
3,9:47.0,,Personal foul by T. Young (drawn by G. Antetokounmpo),55,67
3,9:37.0,,E. Bledsoe makes 2-pt jump shot from 7 ft,55,69
3,9:30.0,Personal foul by E. Bledsoe (drawn by V. Oladipo),,55,69
3,9:19.0,Turnover by D. Collison (bad pass; steal by M. Brogdon),,55,69
3,9:15.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,55,69
3,9:12.0,Defensive rebound by M. Turner,,55,69
3,8:58.0,V. Oladipo makes 2-pt jump shot from 13 ft,,57,69
3,8:46.0,,M. Brogdon misses 3-pt jump shot from 27 ft,57,69
3,8:43.0,Defensive rebound by V. Oladipo,,57,69
3,8:32.0,Turnover by V. Oladipo (out of bounds lost ball),,57,69
3,8:07.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,57,69
3,8:04.0,Defensive rebound by B. Bogdanović,,57,69
3,7:54.0,V. Oladipo makes 2-pt layup from 2 ft,,59,69
3,7:29.0,,G. Antetokounmpo makes 2-pt layup at rim,59,71
3,7:06.0,M. Turner misses 2-pt layup from 4 ft (block by G. Antetokounmpo),,59,71
3,7:02.0,,Defensive rebound by B. Lopez,59,71
3,6:58.0,,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),59,74
3,6:56.0,Indiana full timeout,,59,74
3,6:56.0,,E. İlyasova enters the game for M. Brogdon,59,74
3,6:45.0,V. Oladipo misses 2-pt jump shot from 16 ft,,59,74
3,6:42.0,,Defensive rebound by K. Middleton,59,74
3,6:40.0,,Offensive foul by G. Antetokounmpo (drawn by V. Oladipo),59,74
3,6:40.0,,Turnover by G. Antetokounmpo (offensive foul),59,74
3,6:28.0,D. Collison misses 2-pt jump shot from 12 ft,,59,74
3,6:26.0,,Defensive rebound by E. Bledsoe,59,74
3,6:20.0,,Shooting foul by B. Bogdanović (drawn by K. Middleton),59,74
3,6:20.0,,K. Middleton misses free throw 1 of 3,59,74
3,6:20.0,,Offensive rebound by Team,59,74
3,6:20.0,,K. Middleton makes free throw 2 of 3,59,75
3,6:20.0,,K. Middleton misses free throw 3 of 3,59,75
3,6:16.0,Defensive rebound by M. Turner,,59,75
3,5:58.0,T. Young makes 2-pt hook shot from 6 ft,,61,75
3,5:40.0,,E. İlyasova misses 2-pt jump shot from 8 ft,61,75
3,5:40.0,,Offensive rebound by E. Bledsoe,61,75
3,5:40.0,,E. Bledsoe misses 2-pt layup from 1 ft,61,75
3,5:40.0,,Offensive rebound by Team,61,75
3,5:40.0,Loose ball foul by T. Young (drawn by G. Antetokounmpo),,61,75
3,5:40.0,D. Sabonis enters the game for T. Young,,61,75
3,5:40.0,,D. DiVincenzo enters the game for G. Antetokounmpo,61,75
3,5:34.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Lopez),61,78
3,5:18.0,M. Turner makes 2-pt jump shot from 6 ft,,63,78
3,5:18.0,Shooting foul by B. Lopez (drawn by M. Turner),,63,78
3,5:18.0,,J. Henson enters the game for B. Lopez,63,78
3,5:18.0,M. Turner makes free throw 1 of 1,,64,78
3,4:57.0,,Turnover by D. DiVincenzo (lost ball; steal by D. Sabonis),64,78
3,4:53.0,V. Oladipo makes 2-pt dunk from 1 ft (assist by D. Sabonis),,66,78
3,4:41.0,,K. Middleton makes 3-pt jump shot from 26 ft,66,81
3,4:25.0,M. Turner misses 3-pt jump shot from 27 ft,,66,81
3,4:18.0,Offensive rebound by D. Sabonis,,66,81
3,4:15.0,Personal foul by E. İlyasova (drawn by D. Sabonis),,66,81
3,4:15.0,T. Evans enters the game for B. Bogdanović,,66,81
3,4:15.0,,M. Brogdon enters the game for E. Bledsoe,66,81
3,4:01.0,M. Turner misses 3-pt jump shot from 28 ft,,66,81
3,3:58.0,,Defensive rebound by K. Middleton,66,81
3,3:44.0,,Personal foul by V. Oladipo (drawn by M. Brogdon),66,81
3,3:44.0,,Milwaukee full timeout,66,81
3,3:31.0,,K. Middleton misses 2-pt jump shot from 10 ft,66,81
3,3:28.0,Defensive rebound by D. Sabonis,,66,81
3,3:23.0,Personal foul by E. İlyasova (drawn by D. Sabonis),,66,81
3,3:23.0,D. Sabonis makes free throw 1 of 2,,67,81
3,3:23.0,D. Sabonis makes free throw 2 of 2,,68,81
3,3:03.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by K. Middleton),68,83
3,2:41.0,Turnover by D. Collison (traveling),,68,83
3,2:41.0,C. Joseph enters the game for D. Collison,,68,83
3,2:28.0,,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by M. Brogdon),68,86
3,2:11.0,Turnover by V. Oladipo (lost ball),,68,86
3,2:11.0,Loose ball foul by D. Sabonis (drawn by D. DiVincenzo),,68,86
3,2:11.0,,D. DiVincenzo makes free throw 1 of 2,68,87
3,2:11.0,,G. Antetokounmpo enters the game for K. Middleton,68,87
3,2:11.0,,D. DiVincenzo misses free throw 2 of 2,68,87
3,2:06.0,,Offensive rebound by Team,68,87
3,1:59.0,,D. DiVincenzo misses 3-pt jump shot from 23 ft,68,87
3,1:59.0,Defensive rebound by Team,,68,87
3,1:59.0,Personal foul by G. Antetokounmpo (drawn by C. Joseph),,68,87
3,1:59.0,C. Joseph misses free throw 1 of 2,,68,87
3,1:59.0,Offensive rebound by Team,,68,87
3,1:59.0,D. McDermott enters the game for V. Oladipo,,68,87
3,1:59.0,,T. Snell enters the game for G. Antetokounmpo,68,87
3,1:59.0,C. Joseph makes free throw 2 of 2,,69,87
3,1:48.0,,M. Brogdon makes 2-pt layup from 1 ft,69,89
3,1:31.0,T. Evans makes 3-pt jump shot from 27 ft,,72,89
3,1:19.0,,Turnover by M. Brogdon (bad pass; steal by D. McDermott),72,89
3,1:16.0,Shooting foul by D. DiVincenzo (drawn by T. Evans),,72,89
3,1:16.0,T. Evans misses free throw 1 of 2,,72,89
3,1:16.0,Offensive rebound by Team,,72,89
3,1:16.0,B. Bogdanović enters the game for M. Turner,,72,89
3,1:16.0,T. Evans makes free throw 2 of 2,,73,89
3,1:00.0,,T. Snell misses 3-pt jump shot from 27 ft,73,89
3,0:56.0,Defensive rebound by T. Evans,,73,89
3,0:51.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by T. Evans),,76,89
3,0:38.0,,Shooting foul by B. Bogdanović (drawn by J. Henson),76,89
3,0:38.0,,J. Henson misses free throw 1 of 2,76,89
3,0:38.0,,Offensive rebound by Team,76,89
3,0:38.0,,J. Henson makes free throw 2 of 2,76,90
3,0:18.0,B. Bogdanović misses 2-pt layup from 3 ft (block by J. Henson),,76,90
3,0:18.0,,Defensive rebound by M. Brogdon,76,90
3,0:00.0,,J. Henson makes 3-pt jump shot from 26 ft (assist by M. Brogdon),76,93
4,11:52.0,T. Evans misses 2-pt jump shot from 21 ft,,76,93
4,11:48.0,,Defensive rebound by T. Snell,76,93
4,11:30.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),76,96
4,11:17.0,Turnover by C. Joseph (lost ball; steal by G. Antetokounmpo),,76,96
4,11:16.0,,Personal foul by T. Evans (drawn by G. Antetokounmpo),76,96
4,10:51.0,,T. Snell makes 2-pt jump shot from 4 ft,76,98
4,10:36.0,D. McDermott makes 2-pt dunk from 2 ft (assist by T. Evans),,78,98
4,10:18.0,,Turnover by D. DiVincenzo (bad pass; steal by T. Evans),78,98
4,10:13.0,T. Evans makes 2-pt layup from 2 ft,,80,98
4,9:56.0,,Personal foul by D. Sabonis (drawn by G. Antetokounmpo),80,98
4,9:45.0,,G. Antetokounmpo misses 2-pt hook shot from 3 ft,80,98
4,9:41.0,,Offensive rebound by G. Antetokounmpo,80,98
4,9:41.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,80,98
4,9:39.0,Defensive rebound by D. Sabonis,,80,98
4,9:37.0,T. Evans misses 2-pt layup from 1 ft,,80,98
4,9:28.0,Offensive rebound by D. Sabonis,,80,98
4,9:28.0,D. Sabonis makes 2-pt layup at rim,,82,98
4,9:23.0,,D. DiVincenzo makes 2-pt layup from 2 ft (assist by T. Snell),82,100
4,9:10.0,D. McDermott misses 3-pt jump shot from 26 ft,,82,100
4,9:08.0,,Defensive rebound by J. Henson,82,100
4,8:57.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,82,100
4,8:54.0,Defensive rebound by T. Evans,,82,100
4,8:49.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,82,100
4,8:46.0,,Defensive rebound by J. Henson,82,100
4,8:38.0,,Milwaukee full timeout,82,100
4,8:38.0,V. Oladipo enters the game for B. Bogdanović,,82,100
4,8:38.0,T. Young enters the game for D. McDermott,,82,100
4,8:38.0,,E. Bledsoe enters the game for M. Brogdon,82,100
4,8:38.0,,B. Lopez enters the game for J. Henson,82,100
4,8:38.0,,K. Middleton enters the game for T. Snell,82,100
