QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
2,9:28.0,,Defensive rebound by J. Noah,23,25
2,9:21.0,,D. Wright misses 3-pt jump shot from 23 ft,23,25
2,9:18.0,Defensive rebound by C. Felício,,23,25
2,9:18.0,R. Lopez enters the game for C. Felício,,23,25
2,9:18.0,,J. Valančiūnas enters the game for J. Noah,23,25
2,9:09.0,W. Selden misses 2-pt jump shot from 10 ft,,23,25
2,9:06.0,,Defensive rebound by C. Parsons,23,25
2,8:57.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,23,25
2,8:55.0,Defensive rebound by O. Porter,,23,25
2,8:47.0,O. Porter makes 2-pt jump shot from 22 ft,,25,25
2,8:31.0,,D. Wright makes 2-pt jump shot from 17 ft,25,27
2,8:11.0,S. Harrison makes 2-pt layup from 1 ft,,27,27
2,7:57.0,,T. Dorsey misses 3-pt jump shot from 26 ft,27,27
2,7:54.0,Defensive rebound by O. Porter,,27,27
2,7:45.0,O. Porter misses 3-pt jump shot from 26 ft,,27,27
2,7:45.0,,Defensive rebound by T. Dorsey,27,27
2,7:38.0,,Shooting foul by S. Harrison (drawn by D. Wright),27,27
2,7:38.0,,D. Wright misses free throw 1 of 2,27,27
2,7:38.0,,Offensive rebound by Team,27,27
2,7:38.0,Z. LaVine enters the game for W. Selden,,27,27
2,7:38.0,,M. Conley enters the game for T. Dorsey,27,27
2,7:38.0,,J. Holiday enters the game for C. Miles,27,27
2,7:38.0,,D. Wright makes free throw 2 of 2,27,28
2,7:24.0,Turnover by O. Porter (step out of bounds),,27,28
2,7:06.0,,Turnover by J. Valančiūnas (lost ball; steal by K. Dunn),27,28
2,7:01.0,Z. LaVine makes 2-pt dunk at rim (assist by K. Dunn),,29,28
2,6:47.0,,J. Valančiūnas makes 2-pt layup from 4 ft (assist by D. Wright),29,30
2,6:36.0,Z. LaVine misses 2-pt layup from 1 ft,,29,30
2,6:33.0,Offensive rebound by Z. LaVine,,29,30
2,6:33.0,Z. LaVine makes 2-pt layup at rim,,31,30
2,6:20.0,,C. Parsons misses 3-pt jump shot from 25 ft,31,30
2,6:18.0,Defensive rebound by O. Porter,,31,30
2,6:06.0,K. Dunn makes 2-pt jump shot from 15 ft,,33,30
2,5:40.0,,M. Conley misses 2-pt jump shot from 13 ft,33,30
2,5:36.0,,Offensive rebound by J. Holiday,33,30
2,5:35.0,,Turnover by J. Holiday (bad pass; steal by O. Porter),33,30
2,5:35.0,Personal take foul by M. Conley (drawn by K. Dunn),,33,30
2,5:35.0,,Memphis full timeout,33,30
2,5:35.0,L. Markkanen enters the game for O. Porter,,33,30
2,5:35.0,,A. Bradley enters the game for C. Parsons,33,30
2,5:35.0,,B. Caboclo enters the game for D. Wright,33,30
2,5:14.0,K. Dunn makes 3-pt jump shot from 25 ft (assist by S. Harrison),,36,30
2,5:07.0,,M. Conley makes 2-pt jump shot from 4 ft,36,32
2,5:07.0,,Shooting foul by K. Dunn (drawn by M. Conley),36,32
2,5:07.0,R. Arcidiacono enters the game for K. Dunn,,36,32
2,5:07.0,,M. Conley makes free throw 1 of 1,36,33
2,4:48.0,Offensive foul by L. Markkanen (drawn by A. Bradley),,36,33
2,4:48.0,Turnover by L. Markkanen (offensive foul),,36,33
2,4:40.0,,M. Conley misses 3-pt jump shot from 27 ft,36,33
2,4:38.0,Defensive rebound by Team,,36,33
2,4:23.0,R. Arcidiacono makes 2-pt jump shot from 10 ft (assist by Z. LaVine),,38,33
2,4:07.0,,J. Holiday makes 2-pt layup from 1 ft (assist by B. Caboclo),38,35
2,3:46.0,Turnover by L. Markkanen (lost ball; steal by M. Conley),,38,35
2,3:42.0,,M. Conley misses 3-pt jump shot from 25 ft,38,35
2,3:35.0,,Offensive rebound by J. Holiday,38,35
2,3:35.0,,J. Holiday makes 2-pt dunk from 1 ft,38,37
2,3:19.0,Turnover by R. Lopez (traveling),,38,37
2,2:59.0,,A. Bradley makes 2-pt jump shot from 20 ft,38,39
2,2:38.0,Z. LaVine makes 2-pt layup from 1 ft,,40,39
2,2:25.0,,A. Bradley makes 3-pt jump shot from 26 ft,40,42
2,2:00.0,Turnover by Z. LaVine (bad pass; steal by B. Caboclo),,40,42
2,1:55.0,,A. Bradley misses 3-pt jump shot from 26 ft,40,42
2,1:51.0,Defensive rebound by Z. LaVine,,40,42
2,1:43.0,Shooting foul by M. Conley (drawn by Z. LaVine),,40,42
2,1:43.0,Chicago full timeout,,40,42
2,1:43.0,O. Porter enters the game for S. Harrison,,40,42
2,1:43.0,,J. Noah enters the game for M. Conley,40,42
2,1:43.0,,D. Wright enters the game for J. Valančiūnas,40,42
2,1:43.0,Z. LaVine makes free throw 1 of 2,,41,42
2,1:43.0,Z. LaVine makes free throw 2 of 2,,42,42
2,1:25.0,,B. Caboclo misses 2-pt jump shot from 7 ft,42,42
2,1:22.0,Defensive rebound by R. Lopez,,42,42
2,1:11.0,Turnover by Z. LaVine (bad pass),,42,42
2,1:11.0,W. Selden enters the game for R. Lopez,,42,42
2,1:01.0,,J. Noah makes 2-pt dunk at rim (assist by A. Bradley),42,44
2,0:52.0,Z. LaVine makes 2-pt dunk at rim (assist by W. Selden),,44,44
2,0:38.0,,J. Noah makes 2-pt jump shot from 5 ft,44,46
