QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BOSTON_ACTION,MINNESOTA_SCORE,BOSTON_SCORE
1,1:07.0,,G. Hayward misses 2-pt jump shot from 22 ft,16,23
1,1:06.0,Defensive rebound by A. Wiggins,,16,23
1,0:58.0,D. Šarić makes 2-pt layup from 2 ft (assist by A. Wiggins),,18,23
1,0:46.0,,J. Brown makes 2-pt jump shot from 10 ft,18,25
1,0:33.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by T. Jones),,21,25
1,0:09.0,,S. Ojeleye misses 2-pt jump shot from 9 ft,21,25
1,0:08.0,Defensive rebound by A. Tolliver,,21,25
1,0:00.0,T. Jones misses 2-pt jump shot from 7 ft (block by G. Yabusele),,21,25
1,0:00.0,,Defensive rebound by J. Brown,21,25
2,11:41.0,A. Wiggins makes 2-pt jump shot from 18 ft,,23,25
2,11:19.0,,D. Theis misses 2-pt jump shot from 17 ft,23,25
2,11:16.0,Defensive rebound by J. Bayless,,23,25
2,10:57.0,A. Tolliver misses 3-pt jump shot from 26 ft,,23,25
2,10:55.0,,Defensive rebound by S. Ojeleye,23,25
2,10:48.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by G. Hayward),23,28
2,10:29.0,Personal foul by J. Brown (drawn by A. Wiggins),,23,28
2,10:18.0,A. Wiggins makes 2-pt jump shot from 20 ft,,25,28
2,10:06.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by M. Smart),25,31
2,9:46.0,G. Dieng makes 2-pt jump shot from 16 ft (assist by J. Bayless),,27,31
2,9:23.0,,G. Hayward makes 3-pt jump shot from 23 ft (assist by M. Smart),27,34
2,9:02.0,D. Šarić misses 2-pt hook shot from 7 ft,,27,34
2,9:00.0,,Defensive rebound by D. Theis,27,34
2,8:44.0,,J. Brown makes 2-pt jump shot from 15 ft,27,36
2,8:32.0,Turnover by J. Bayless (lost ball; steal by S. Ojeleye),,27,36
2,8:30.0,,M. Smart makes 2-pt dunk at rim (assist by S. Ojeleye),27,38
2,8:21.0,Minnesota full timeout,,27,38
2,8:21.0,J. Okogie enters the game for A. Wiggins,,27,38
2,8:21.0,,J. Tatum enters the game for G. Hayward,27,38
2,8:12.0,Shooting foul by D. Theis (drawn by J. Bayless),,27,38
2,8:12.0,J. Bayless misses free throw 1 of 2,,27,38
2,8:12.0,Offensive rebound by Team,,27,38
2,8:12.0,J. Bayless misses free throw 2 of 2,,27,38
2,8:11.0,,Defensive rebound by D. Theis,27,38
2,8:00.0,,Personal foul by J. Okogie (drawn by J. Brown),27,38
2,7:53.0,,Turnover by J. Brown (bad pass; steal by J. Okogie),27,38
2,7:48.0,J. Okogie misses 2-pt layup from 10 ft (block by D. Theis),,27,38
2,7:47.0,Offensive rebound by Team,,27,38
2,7:38.0,D. Šarić misses 2-pt hook shot from 7 ft,,27,38
2,7:35.0,,Defensive rebound by M. Smart,27,38
2,7:27.0,,J. Tatum misses 3-pt jump shot from 26 ft,27,38
2,7:24.0,,Offensive rebound by D. Theis,27,38
2,7:22.0,,S. Ojeleye makes 3-pt jump shot from 26 ft (assist by D. Theis),27,41
2,7:05.0,J. Bayless misses 3-pt jump shot from 26 ft,,27,41
2,7:04.0,,Defensive rebound by J. Brown,27,41
2,6:51.0,,Offensive foul by J. Brown (drawn by D. Šarić),27,41
2,6:51.0,,Turnover by J. Brown (offensive foul),27,41
2,6:51.0,T. Jones enters the game for J. Bayless,,27,41
2,6:51.0,K. Towns enters the game for G. Dieng,,27,41
2,6:35.0,K. Towns misses 2-pt layup from 6 ft,,27,41
2,6:33.0,,Defensive rebound by D. Theis,27,41
2,6:29.0,,S. Ojeleye makes 2-pt dunk from 1 ft (assist by M. Smart),27,43
2,6:19.0,Minnesota full timeout,,27,43
2,6:19.0,,A. Horford enters the game for D. Theis,27,43
2,6:19.0,Turnover by J. Okogie (bad pass; steal by J. Brown),,27,43
2,6:16.0,,Personal foul by J. Okogie (drawn by J. Tatum),27,43
2,6:16.0,A. Wiggins enters the game for J. Okogie,,27,43
2,6:16.0,Violation by Team (delay of game),,27,43
2,6:02.0,,J. Tatum misses 3-pt jump shot from 25 ft,27,43
2,6:01.0,,Offensive rebound by S. Ojeleye,27,43
2,5:49.0,,A. Horford makes 2-pt jump shot from 17 ft (assist by M. Smart),27,45
2,5:49.0,,T. Rozier enters the game for M. Smart,27,45
2,5:28.0,K. Towns misses 2-pt layup from 7 ft (block by A. Horford),,27,45
2,5:27.0,Offensive rebound by Team,,27,45
2,5:24.0,A. Wiggins misses 2-pt jump shot from 18 ft,,27,45
2,5:22.0,Offensive rebound by Team,,27,45
2,5:22.0,Turnover by Team (shot clock),,27,45
2,5:02.0,,A. Horford makes 2-pt jump shot from 9 ft,27,47
2,4:47.0,Offensive foul by K. Towns (drawn by A. Horford),,27,47
2,4:47.0,Turnover by K. Towns (offensive foul),,27,47
2,4:47.0,T. Gibson enters the game for D. Šarić,,27,47
2,4:47.0,,G. Hayward enters the game for J. Brown,27,47
2,4:47.0,,M. Morris enters the game for S. Ojeleye,27,47
2,4:32.0,,A. Horford misses 2-pt dunk from 3 ft (block by A. Tolliver),27,47
2,4:30.0,Defensive rebound by K. Towns,,27,47
2,4:19.0,A. Tolliver misses 3-pt jump shot from 25 ft,,27,47
2,4:17.0,,Defensive rebound by Team,27,47
2,4:04.0,,A. Horford misses 3-pt jump shot from 26 ft,27,47
2,4:03.0,Defensive rebound by T. Gibson,,27,47
2,3:51.0,K. Towns misses 2-pt hook shot from 6 ft,,27,47
2,3:49.0,,Defensive rebound by J. Tatum,27,47
2,3:40.0,,T. Rozier misses 3-pt jump shot from 25 ft,27,47
2,3:38.0,Defensive rebound by A. Tolliver,,27,47
2,3:31.0,T. Jones makes 2-pt jump shot from 12 ft,,29,47
2,3:23.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by T. Rozier),29,50
2,2:57.0,A. Wiggins makes 2-pt jump shot from 21 ft (assist by T. Gibson),,31,50
2,2:48.0,,T. Rozier misses 2-pt jump shot from 13 ft,31,50
2,2:47.0,Defensive rebound by K. Towns,,31,50
2,2:40.0,T. Jones makes 2-pt layup from 4 ft,,33,50
2,2:39.0,,Boston full timeout,33,50
2,2:39.0,J. Nunnally enters the game for A. Tolliver,,33,50
2,2:27.0,,G. Hayward makes 2-pt jump shot from 8 ft,33,52
2,2:11.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Towns),,36,52
2,1:57.0,,G. Hayward makes 2-pt dunk at rim,36,54
2,1:42.0,Personal foul by A. Horford (drawn by K. Towns),,36,54
2,1:35.0,T. Jones misses 2-pt jump shot from 13 ft,,36,54
2,1:34.0,,Defensive rebound by A. Horford,36,54
2,1:25.0,,Shooting foul by T. Gibson (drawn by G. Hayward),36,54
2,1:25.0,,G. Hayward makes free throw 1 of 3,36,55
2,1:25.0,,G. Hayward makes free throw 2 of 3,36,56
2,1:25.0,,G. Hayward makes free throw 3 of 3,36,57
2,1:07.0,A. Wiggins misses 2-pt jump shot from 18 ft,,36,57
2,1:05.0,Offensive rebound by T. Gibson,,36,57
2,1:03.0,T. Gibson makes 2-pt layup from 2 ft,,38,57
2,0:47.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),38,60
2,0:27.0,K. Towns makes 2-pt jump shot from 10 ft (assist by A. Wiggins),,40,60
2,0:08.0,,Turnover by G. Hayward (bad pass; steal by T. Jones),40,60
2,0:05.0,T. Jones makes 2-pt layup from 1 ft,,42,60
2,0:00.0,,M. Morris misses 3-pt jump shot from 26 ft,42,60
2,0:00.0,,Offensive rebound by Team,42,60
3,11:46.0,A. Wiggins misses 2-pt jump shot from 22 ft,,42,60
3,11:45.0,,Defensive rebound by M. Morris,42,60
3,11:29.0,,T. Rozier makes 3-pt jump shot from 23 ft (assist by A. Horford),42,63
3,11:10.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by K. Towns),,44,63
3,10:52.0,,Shooting foul by J. Okogie (drawn by M. Morris),44,63
3,10:52.0,,M. Morris makes free throw 1 of 3,44,64
3,10:52.0,,M. Morris makes free throw 2 of 3,44,65
3,10:52.0,,M. Morris makes free throw 3 of 3,44,66
3,10:41.0,K. Towns makes 2-pt layup from 4 ft (assist by T. Jones),,46,66
3,10:38.0,,Boston full timeout,46,66
3,10:38.0,,G. Hayward enters the game for M. Smart,46,66
3,10:26.0,,M. Morris misses 3-pt jump shot from 25 ft,46,66
3,10:25.0,Defensive rebound by K. Towns,,46,66
3,10:09.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,48,66
3,9:59.0,,Personal foul by A. Wiggins (drawn by J. Tatum),48,66
3,9:50.0,,G. Hayward misses 3-pt jump shot from 26 ft,48,66
3,9:49.0,Defensive rebound by T. Jones,,48,66
3,9:35.0,K. Towns makes 2-pt jump shot from 16 ft (assist by T. Jones),,50,66
3,9:24.0,,G. Hayward makes 2-pt dunk from 1 ft (assist by A. Horford),50,68
3,9:12.0,T. Jones misses 3-pt jump shot from 26 ft,,50,68
3,9:11.0,Offensive rebound by K. Towns,,50,68
3,9:09.0,T. Gibson makes 2-pt dunk from 1 ft (assist by K. Towns),,52,68
3,8:55.0,,J. Tatum misses 2-pt jump shot from 19 ft,52,68
3,8:54.0,Defensive rebound by J. Okogie,,52,68
3,8:37.0,T. Gibson misses 2-pt layup from 7 ft (block by T. Rozier),,52,68
3,8:36.0,Offensive rebound by K. Towns,,52,68
3,8:34.0,K. Towns misses 2-pt layup from 1 ft (block by A. Horford),,52,68
3,8:32.0,,Defensive rebound by A. Horford,52,68
3,8:29.0,,G. Hayward makes 2-pt layup from 2 ft (assist by A. Horford),52,70
3,8:11.0,J. Okogie misses 2-pt layup from 6 ft,,52,70
3,8:11.0,,Defensive rebound by M. Morris,52,70
3,8:03.0,,T. Rozier misses 3-pt jump shot from 26 ft,52,70
3,7:58.0,Defensive rebound by A. Wiggins,,52,70
3,7:52.0,A. Wiggins makes 2-pt jump shot from 10 ft,,54,70
3,7:30.0,,A. Horford makes 2-pt jump shot from 15 ft (assist by J. Tatum),54,72
3,7:19.0,K. Towns makes 2-pt layup from 8 ft (assist by T. Jones),,56,72
3,7:19.0,Shooting foul by M. Morris (drawn by K. Towns),,56,72
3,7:19.0,K. Towns makes free throw 1 of 1,,57,72
3,6:59.0,,G. Hayward makes 3-pt jump shot from 23 ft (assist by T. Rozier),57,75
3,6:41.0,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),,59,75
3,6:27.0,,M. Morris misses 2-pt hook shot from 7 ft,59,75
3,6:26.0,Defensive rebound by T. Gibson,,59,75
3,6:23.0,Personal foul by M. Morris (drawn by T. Gibson),,59,75
3,6:13.0,A. Wiggins misses 3-pt jump shot from 26 ft,,59,75
3,6:12.0,Offensive rebound by K. Towns,,59,75
3,6:10.0,K. Towns makes 2-pt hook shot from 5 ft,,61,75
3,6:10.0,Shooting foul by M. Morris (drawn by K. Towns),,61,75
3,6:10.0,K. Towns makes free throw 1 of 1,,62,75
3,6:10.0,,G. Yabusele enters the game for A. Horford,62,75
3,5:52.0,,Offensive foul by G. Hayward (drawn by J. Okogie),62,75
3,5:52.0,,Turnover by G. Hayward (offensive foul),62,75
3,5:36.0,Turnover by K. Towns (bad pass),,62,75
3,5:36.0,,J. Brown enters the game for M. Morris,62,75
3,5:36.0,,S. Ojeleye enters the game for J. Tatum,62,75
3,5:21.0,,Personal foul by T. Jones (drawn by T. Rozier),62,75
3,5:17.0,,Offensive foul by G. Yabusele (drawn by J. Okogie),62,75
3,5:17.0,,Turnover by G. Yabusele (offensive foul),62,75
3,5:08.0,K. Towns makes 2-pt layup from 9 ft (assist by T. Jones),,64,75
3,4:50.0,,G. Hayward makes 2-pt jump shot from 16 ft (assist by G. Yabusele),64,77
3,4:36.0,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Jones),,67,77
3,4:21.0,,Personal foul by T. Gibson (drawn by S. Ojeleye),67,77
3,4:14.0,,G. Hayward makes 2-pt jump shot from 17 ft,67,79
3,3:51.0,T. Jones misses 2-pt jump shot from 11 ft,,67,79
3,3:50.0,,Defensive rebound by S. Ojeleye,67,79
3,3:45.0,,Shooting foul by T. Jones (drawn by T. Rozier),67,79
3,3:45.0,,T. Rozier makes free throw 1 of 2,67,80
3,3:45.0,D. Šarić enters the game for T. Gibson,,67,80
3,3:45.0,,T. Rozier makes free throw 2 of 2,67,81
3,3:35.0,T. Jones makes 2-pt jump shot from 10 ft,,69,81
3,3:28.0,,T. Rozier misses 3-pt jump shot from 27 ft,69,81
3,3:27.0,Defensive rebound by D. Šarić,,69,81
3,3:23.0,Personal take foul by S. Ojeleye (drawn by T. Jones),,69,81
3,3:12.0,D. Šarić makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,72,81
3,2:56.0,,G. Hayward makes 2-pt layup from 1 ft (assist by T. Rozier),72,83
3,2:36.0,D. Šarić makes 2-pt layup at rim (assist by K. Towns),,74,83
3,2:10.0,,G. Yabusele makes 2-pt jump shot from 4 ft,74,85
3,1:52.0,Turnover by K. Towns (lost ball; steal by T. Rozier),,74,85
3,1:41.0,,Turnover by J. Brown (traveling),74,85
3,1:41.0,Minnesota full timeout,,74,85
3,1:41.0,A. Tolliver enters the game for J. Okogie,,74,85
3,1:41.0,,M. Smart enters the game for T. Rozier,74,85
3,1:28.0,K. Towns makes 2-pt layup from 1 ft (assist by T. Jones),,76,85
3,1:28.0,Shooting foul by G. Yabusele (drawn by K. Towns),,76,85
3,1:28.0,,D. Theis enters the game for G. Yabusele,76,85
3,1:28.0,K. Towns makes free throw 1 of 1,,77,85
3,1:16.0,,M. Smart misses 3-pt jump shot from 24 ft,77,85
3,1:15.0,Defensive rebound by D. Šarić,,77,85
3,1:03.0,Turnover by A. Tolliver (bad pass; steal by M. Smart),,77,85
3,1:00.0,,G. Hayward makes 2-pt dunk from 1 ft (assist by M. Smart),77,87
3,0:53.0,Shooting foul by D. Theis (drawn by A. Wiggins),,77,87
3,0:53.0,A. Wiggins makes free throw 1 of 2,,78,87
3,0:53.0,A. Wiggins makes free throw 2 of 2,,79,87
3,0:34.0,,S. Ojeleye misses 3-pt jump shot from 25 ft,79,87
3,0:32.0,Defensive rebound by K. Towns,,79,87
3,0:09.0,K. Towns makes 2-pt jump shot from 12 ft,,81,87
3,0:00.0,,J. Brown misses 2-pt layup from 4 ft,81,87
3,0:00.0,,Offensive rebound by Team,81,87
4,11:45.0,,D. Theis makes 2-pt dunk from 1 ft (assist by J. Brown),81,89
4,11:30.0,T. Jones makes 2-pt jump shot from 7 ft,,83,89
4,11:09.0,,M. Morris makes 2-pt layup from 2 ft (assist by D. Theis),83,91
4,10:47.0,A. Wiggins makes 2-pt jump shot from 14 ft,,85,91
4,10:33.0,,J. Tatum misses 3-pt jump shot from 26 ft,85,91
4,10:32.0,Defensive rebound by D. Šarić,,85,91
4,10:22.0,A. Wiggins misses 3-pt jump shot from 26 ft,,85,91
4,10:21.0,,Defensive rebound by J. Brown,85,91
4,10:11.0,,D. Theis makes 2-pt layup from 2 ft (assist by J. Tatum),85,93
4,10:11.0,,Shooting foul by A. Wiggins (drawn by D. Theis),85,93
4,10:11.0,,S. Ojeleye enters the game for M. Morris,85,93
4,10:11.0,,D. Theis makes free throw 1 of 1,85,94
4,10:00.0,Shooting foul by D. Theis (drawn by A. Wiggins),,85,94
4,10:00.0,A. Wiggins misses free throw 1 of 2,,85,94
4,10:00.0,Offensive rebound by Team,,85,94
4,10:00.0,A. Wiggins makes free throw 2 of 2,,86,94
4,9:41.0,,J. Tatum misses 2-pt layup from 4 ft,86,94
4,9:38.0,Defensive rebound by D. Šarić,,86,94
4,9:29.0,A. Tolliver misses 3-pt jump shot from 25 ft,,86,94
4,9:28.0,,Defensive rebound by M. Smart,86,94
4,9:22.0,,Turnover by J. Brown (out of bounds lost ball),86,94
4,9:05.0,Turnover by T. Jones (bad pass; steal by M. Smart),,86,94
4,9:01.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by M. Smart),86,96
4,9:00.0,Minnesota full timeout,,86,96
4,9:00.0,K. Towns enters the game for G. Dieng,,86,96
4,8:39.0,D. Šarić misses 3-pt jump shot from 26 ft,,86,96
4,8:38.0,,Defensive rebound by J. Tatum,86,96
4,8:18.0,,Turnover by M. Smart (bad pass),86,96
4,8:18.0,,A. Horford enters the game for D. Theis,86,96
4,8:09.0,Turnover by K. Towns (traveling),,86,96
4,7:54.0,,J. Tatum misses 2-pt jump shot from 11 ft,86,96
4,7:53.0,Defensive rebound by K. Towns,,86,96
4,7:39.0,Shooting foul by J. Brown (drawn by A. Wiggins),,86,96
4,7:39.0,A. Wiggins makes free throw 1 of 2,,87,96
4,7:39.0,A. Wiggins misses free throw 2 of 2,,87,96
4,7:39.0,,Defensive rebound by A. Horford,87,96
4,7:24.0,,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Tatum),87,99
4,7:05.0,A. Tolliver misses 3-pt jump shot from 23 ft,,87,99
4,7:04.0,,Defensive rebound by J. Brown,87,99
4,7:01.0,,Turnover by J. Brown (bad pass),87,99
4,6:49.0,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),,89,99
4,6:26.0,,J. Tatum misses 2-pt layup from 4 ft,89,99
4,6:25.0,Defensive rebound by K. Towns,,89,99
4,6:20.0,T. Jones misses 2-pt layup from 4 ft (block by J. Brown),,89,99
4,6:19.0,Offensive rebound by Team,,89,99
4,6:19.0,,G. Hayward enters the game for S. Ojeleye,89,99
4,6:19.0,,T. Rozier enters the game for M. Smart,89,99
4,6:09.0,Shooting foul by J. Brown (drawn by A. Wiggins),,89,99
4,6:09.0,A. Wiggins misses free throw 1 of 2,,89,99
4,6:09.0,Offensive rebound by Team,,89,99
4,6:09.0,A. Wiggins makes free throw 2 of 2,,90,99
4,6:00.0,,Personal foul by K. Towns (drawn by A. Horford),90,99
4,5:54.0,,G. Hayward makes 2-pt jump shot from 12 ft,90,101
4,5:29.0,A. Wiggins misses 2-pt jump shot from 14 ft,,90,101
4,5:26.0,,Defensive rebound by Team,90,101
4,5:26.0,T. Gibson enters the game for D. Šarić,,90,101
4,5:04.0,,Shooting foul by T. Gibson (drawn by J. Tatum),90,101
4,5:04.0,,J. Tatum makes free throw 1 of 2,90,102
4,5:04.0,,J. Tatum makes free throw 2 of 2,90,103
4,4:54.0,T. Jones misses 2-pt layup from 5 ft,,90,103
4,4:53.0,Offensive rebound by K. Towns,,90,103
4,4:53.0,K. Towns makes 2-pt dunk from 1 ft,,92,103
4,4:37.0,,G. Hayward makes 3-pt jump shot from 27 ft,92,106
4,4:13.0,A. Tolliver misses 3-pt jump shot from 24 ft,,92,106
4,4:12.0,,Defensive rebound by T. Rozier,92,106
4,3:58.0,,A. Horford makes 2-pt dunk from 1 ft (assist by G. Hayward),92,108
4,3:58.0,Minnesota full timeout,,92,108
4,3:50.0,Turnover by A. Wiggins (bad pass; steal by T. Rozier),,92,108
4,3:49.0,,Turnover by J. Tatum (bad pass; steal by T. Jones),92,108
4,3:47.0,Personal take foul by J. Brown (drawn by T. Jones),,92,108
4,3:34.0,K. Towns misses 2-pt hook shot from 7 ft,,92,108
4,3:31.0,,Defensive rebound by A. Horford,92,108
4,3:11.0,,A. Horford makes 2-pt layup from 2 ft (assist by J. Brown),92,110
4,2:54.0,Turnover by T. Jones (bad pass; steal by T. Rozier),,92,110
4,2:47.0,,Shooting foul by T. Gibson (drawn by J. Brown),92,110
4,2:47.0,,J. Brown misses free throw 1 of 2,92,110
4,2:47.0,,Offensive rebound by Team,92,110
4,2:47.0,G. Dieng enters the game for T. Jones,,92,110
4,2:47.0,J. Okogie enters the game for K. Towns,,92,110
4,2:47.0,J. Terrell enters the game for A. Wiggins,,92,110
4,2:47.0,,D. Theis enters the game for A. Horford,92,110
4,2:47.0,,B. Wanamaker enters the game for J. Tatum,92,110
4,2:47.0,,J. Brown makes free throw 2 of 2,92,111
4,2:26.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by J. Terrell),,95,111
4,2:14.0,,G. Hayward misses 3-pt jump shot from 25 ft,95,111
4,2:11.0,Defensive rebound by J. Okogie,,95,111
4,2:01.0,J. Terrell misses 3-pt jump shot from 26 ft,,95,111
4,2:00.0,,Defensive rebound by B. Wanamaker,95,111
4,1:50.0,,Turnover by T. Rozier (lost ball; steal by A. Tolliver),95,111
4,1:41.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by J. Okogie),,98,111
4,1:21.0,,J. Brown misses 3-pt jump shot from 23 ft,98,111
4,1:20.0,Defensive rebound by T. Gibson,,98,111
4,1:10.0,J. Okogie misses 2-pt jump shot from 17 ft,,98,111
4,1:09.0,Offensive rebound by T. Gibson,,98,111
4,1:08.0,T. Gibson makes 2-pt hook shot from 6 ft,,100,111
4,0:56.0,,G. Hayward makes 2-pt jump shot from 19 ft (assist by D. Theis),100,113
4,0:37.0,T. Gibson misses 3-pt jump shot from 23 ft,,100,113
4,0:32.0,Offensive rebound by A. Tolliver,,100,113
4,0:28.0,J. Terrell misses 2-pt layup from 6 ft,,100,113
4,0:27.0,Offensive rebound by J. Terrell,,100,113
4,0:26.0,J. Terrell misses 2-pt layup from 2 ft (block by D. Theis),,100,113
4,0:24.0,,Defensive rebound by B. Wanamaker,100,113
4,0:22.0,,J. Brown makes 2-pt dunk from 3 ft (assist by T. Rozier),100,115
4,0:13.0,Personal foul by B. Wanamaker (drawn by J. Okogie),,100,115
4,0:13.0,,P. Dozier enters the game for J. Brown,100,115
4,0:13.0,,S. Ojeleye enters the game for G. Hayward,100,115
4,0:13.0,,G. Yabusele enters the game for T. Rozier,100,115
4,0:13.0,J. Okogie makes free throw 1 of 2,,101,115
4,0:13.0,J. Okogie makes free throw 2 of 2,,102,115
