QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
1,7:47.0,,D. Mitchell makes 2-pt jump shot from 12 ft,15,11
1,7:40.0,M. Bagley makes 2-pt dunk from 3 ft (assist by D. Fox),,17,11
1,7:31.0,,Turnover by J. Ingles (bad pass; steal by W. Cauley-Stein),17,11
1,7:29.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,19,11
1,7:29.0,Shooting foul by J. Ingles (drawn by W. Cauley-Stein),,19,11
1,7:29.0,W. Cauley-Stein misses free throw 1 of 1,,19,11
1,7:29.0,,Defensive rebound by J. Ingles,19,11
1,7:06.0,,R. Rubio misses 2-pt jump shot from 11 ft,19,11
1,7:03.0,Defensive rebound by D. Fox,,19,11
1,7:00.0,Personal foul by R. Rubio (drawn by D. Fox),,19,11
1,6:50.0,D. Fox makes 3-pt jump shot from 24 ft,,22,11
1,6:30.0,,J. Ingles misses 3-pt jump shot from 27 ft,22,11
1,6:27.0,,Offensive rebound by R. Gobert,22,11
1,6:26.0,,R. Gobert misses 2-pt layup from 5 ft,22,11
1,6:24.0,Defensive rebound by M. Bagley,,22,11
1,6:21.0,,Violation by Team (kicked ball),22,11
1,6:21.0,,A. Burks enters the game for D. Mitchell,22,11
1,6:12.0,Shooting foul by R. Gobert (drawn by M. Bagley),,22,11
1,6:12.0,M. Bagley makes free throw 1 of 2,,23,11
1,6:12.0,M. Bagley misses free throw 2 of 2,,23,11
1,6:12.0,,Defensive rebound by R. Gobert,23,11
1,5:53.0,,Personal foul by W. Cauley-Stein (drawn by R. Gobert),23,11
1,5:44.0,,R. Rubio misses 3-pt jump shot from 23 ft,23,11
1,5:41.0,Defensive rebound by B. Hield,,23,11
1,5:29.0,M. Bagley makes 2-pt layup from 2 ft (assist by I. Shumpert),,25,11
1,5:12.0,,J. Crowder makes 2-pt jump shot from 8 ft (assist by R. Rubio),25,13
1,5:00.0,Sacramento full timeout,,25,13
1,5:00.0,B. Bogdanović enters the game for B. Hield,,25,13
1,5:00.0,,D. Exum enters the game for R. Rubio,25,13
1,4:49.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,25,13
1,4:47.0,,Defensive rebound by R. Gobert,25,13
1,4:42.0,,Shooting foul by B. Bogdanović (drawn by D. Exum),25,13
1,4:42.0,,D. Exum makes free throw 1 of 2,25,14
1,4:42.0,,D. Exum makes free throw 2 of 2,25,15
1,4:33.0,D. Fox misses 2-pt jump shot from 19 ft,,25,15
1,4:30.0,,Defensive rebound by R. Gobert,25,15
1,4:15.0,,J. Ingles makes 2-pt layup from 3 ft,25,17
1,4:00.0,M. Bagley misses 2-pt jump shot from 10 ft,,25,17
1,3:57.0,,Defensive rebound by A. Burks,25,17
1,3:51.0,,A. Burks misses 3-pt jump shot from 25 ft,25,17
1,3:48.0,,Offensive rebound by R. Gobert,25,17
1,3:46.0,,A. Burks makes 2-pt layup from 2 ft (assist by R. Gobert),25,19
1,3:30.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,25,19
1,3:28.0,,Defensive rebound by R. Gobert,25,19
1,3:25.0,,Offensive foul by D. Exum (drawn by B. Bogdanović),25,19
1,3:25.0,,Turnover by D. Exum (offensive foul),25,19
1,3:25.0,N. Bjelica enters the game for W. Cauley-Stein,,25,19
1,3:25.0,J. Jackson enters the game for I. Shumpert,,25,19
1,3:25.0,,D. Favors enters the game for R. Gobert,25,19
1,3:25.0,,R. Neto enters the game for J. Ingles,25,19
1,3:17.0,D. Fox makes 2-pt layup from 1 ft,,27,19
1,3:17.0,Shooting foul by R. Neto (drawn by D. Fox),,27,19
1,3:17.0,D. Fox makes free throw 1 of 1,,28,19
1,3:04.0,,J. Crowder misses 3-pt jump shot from 25 ft,28,19
1,3:01.0,Defensive rebound by D. Fox,,28,19
1,2:49.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,28,19
1,2:46.0,,Defensive rebound by D. Exum,28,19
1,2:39.0,,J. Crowder misses 2-pt layup from 2 ft,28,19
1,2:37.0,Defensive rebound by M. Bagley,,28,19
1,2:17.0,B. Bogdanović misses 3-pt jump shot from 29 ft,,28,19
1,2:15.0,,Defensive rebound by J. Crowder,28,19
1,2:09.0,,A. Burks misses 2-pt layup from 4 ft,28,19
1,2:06.0,Defensive rebound by N. Bjelica,,28,19
1,1:50.0,B. Bogdanović makes 2-pt jump shot from 4 ft,,30,19
1,1:41.0,,Shooting foul by N. Bjelica (drawn by J. Crowder),30,19
1,1:41.0,,J. Crowder makes free throw 1 of 2,30,20
1,1:41.0,F. Mason enters the game for D. Fox,,30,20
1,1:41.0,,D. Mitchell enters the game for A. Burks,30,20
1,1:41.0,,R. O'Neale enters the game for R. Neto,30,20
1,1:41.0,,J. Crowder makes free throw 2 of 2,30,21
1,1:17.0,B. Bogdanović misses 2-pt layup from 5 ft (block by D. Favors),,30,21
1,1:14.0,,Defensive rebound by R. O'Neale,30,21
1,0:56.0,,D. Exum misses 2-pt layup from 3 ft,30,21
1,0:54.0,,Offensive rebound by D. Favors,30,21
1,0:54.0,,Turnover by D. Favors (off goaltending),30,21
1,0:45.0,M. Bagley makes 2-pt jump shot from 10 ft,,32,21
1,0:32.0,,D. Mitchell misses 2-pt layup from 6 ft,32,21
1,0:30.0,Defensive rebound by M. Bagley,,32,21
1,0:28.0,F. Mason misses 3-pt jump shot from 25 ft,,32,21
1,0:25.0,,Defensive rebound by D. Favors,32,21
1,0:07.0,,Personal foul by J. Jackson (drawn by D. Mitchell),32,21
1,0:07.0,,D. Mitchell makes free throw 1 of 2,32,22
1,0:07.0,B. Hield enters the game for N. Bjelica,,32,22
1,0:07.0,,D. Mitchell makes free throw 2 of 2,32,23
1,0:01.0,B. Hield makes 2-pt jump shot from 19 ft (assist by F. Mason),,34,23
2,11:44.0,M. Bagley makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),,36,23
2,11:20.0,,J. Crowder misses 3-pt jump shot from 23 ft,36,23
2,11:17.0,Defensive rebound by J. Jackson,,36,23
2,11:06.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,38,23
2,10:55.0,,D. Mitchell makes 2-pt jump shot from 18 ft,38,25
2,10:27.0,B. Bogdanović misses 2-pt layup from 9 ft (block by J. Crowder),,38,25
2,10:27.0,,Defensive rebound by J. Crowder,38,25
2,10:23.0,,Personal foul by B. Bogdanović (drawn by D. Favors),38,25
2,10:16.0,,D. Mitchell misses 2-pt layup from 2 ft,38,25
2,10:11.0,,Offensive rebound by D. Favors,38,25
2,10:11.0,,D. Favors makes 2-pt layup from 1 ft,38,27
2,9:50.0,J. Jackson misses 3-pt jump shot from 25 ft,,38,27
2,9:47.0,,Defensive rebound by D. Favors,38,27
2,9:42.0,,D. Exum misses 2-pt layup from 1 ft,38,27
2,9:40.0,Defensive rebound by N. Bjelica,,38,27
2,9:36.0,Turnover by N. Bjelica (bad pass; steal by R. O'Neale),,38,27
2,9:30.0,,R. O'Neale makes 2-pt layup from 2 ft,38,29
2,9:23.0,Shooting foul by D. Mitchell (drawn by J. Jackson),,38,29
2,9:23.0,J. Jackson makes free throw 1 of 2,,39,29
2,9:23.0,H. Giles enters the game for M. Bagley,,39,29
2,9:23.0,,R. Rubio enters the game for D. Exum,39,29
2,9:23.0,J. Jackson makes free throw 2 of 2,,40,29
2,9:13.0,,J. Crowder makes 2-pt layup from 1 ft (assist by D. Mitchell),40,31
2,9:13.0,,Shooting foul by F. Mason (drawn by J. Crowder),40,31
2,9:13.0,B. Hield enters the game for N. Bjelica,,40,31
2,9:13.0,,J. Crowder makes free throw 1 of 1,40,32
2,9:01.0,Shooting foul by D. Favors (drawn by F. Mason),,40,32
2,9:01.0,F. Mason makes free throw 1 of 2,,41,32
2,9:01.0,,R. Gobert enters the game for J. Crowder,41,32
2,9:01.0,,J. Ingles enters the game for D. Favors,41,32
2,9:01.0,F. Mason makes free throw 2 of 2,,42,32
2,8:46.0,,R. Gobert makes 2-pt hook shot from 3 ft (assist by R. Rubio),42,34
2,8:35.0,Offensive foul by H. Giles (drawn by R. Rubio),,42,34
2,8:35.0,Turnover by H. Giles (offensive foul),,42,34
2,8:35.0,,A. Burks enters the game for D. Mitchell,42,34
2,8:22.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. O'Neale),42,36
2,8:15.0,Sacramento full timeout,,42,36
2,8:15.0,W. Cauley-Stein enters the game for H. Giles,,42,36
2,8:15.0,D. Fox enters the game for F. Mason,,42,36
2,8:04.0,B. Hield misses 2-pt jump shot from 21 ft,,42,36
2,8:01.0,,Defensive rebound by R. Gobert,42,36
2,7:48.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),42,39
2,7:31.0,J. Jackson makes 2-pt layup from 2 ft (assist by D. Fox),,44,39
2,7:14.0,,R. Rubio misses 3-pt jump shot from 25 ft,44,39
2,7:12.0,Defensive rebound by Team,,44,39
2,7:12.0,M. Bagley enters the game for B. Bogdanović,,44,39
2,7:12.0,I. Shumpert enters the game for J. Jackson,,44,39
2,6:54.0,W. Cauley-Stein misses 2-pt layup from 4 ft,,44,39
2,6:52.0,Offensive rebound by Team,,44,39
2,6:52.0,,Loose ball foul by R. O'Neale (drawn by M. Bagley),44,39
2,6:52.0,,J. Crowder enters the game for R. O'Neale,44,39
2,6:49.0,Turnover by B. Hield (bad pass; steal by J. Ingles),,44,39
2,6:43.0,,A. Burks makes 2-pt jump shot from 21 ft (assist by J. Ingles),44,41
2,6:26.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),,46,41
2,6:14.0,,J. Crowder misses 3-pt jump shot from 25 ft,46,41
2,6:12.0,Defensive rebound by B. Hield,,46,41
2,6:02.0,M. Bagley misses 2-pt jump shot from 12 ft,,46,41
2,5:58.0,,Defensive rebound by J. Ingles,46,41
2,5:53.0,,J. Ingles misses 3-pt jump shot from 27 ft,46,41
2,5:50.0,Defensive rebound by D. Fox,,46,41
2,5:50.0,,D. Mitchell enters the game for A. Burks,46,41
2,5:29.0,D. Fox misses 3-pt jump shot from 23 ft,,46,41
2,5:26.0,,Defensive rebound by R. Rubio,46,41
2,5:23.0,,Shooting foul by M. Bagley (drawn by D. Mitchell),46,41
2,5:23.0,,D. Mitchell makes free throw 1 of 2,46,42
2,5:23.0,,D. Mitchell makes free throw 2 of 2,46,43
2,5:05.0,W. Cauley-Stein makes 2-pt jump shot from 17 ft (assist by B. Hield),,48,43
2,4:48.0,,R. Rubio misses 2-pt layup from 4 ft,48,43
2,4:46.0,,Offensive rebound by R. Gobert,48,43
2,4:45.0,,R. Gobert misses 2-pt dunk from 2 ft,48,43
2,4:43.0,Defensive rebound by M. Bagley,,48,43
2,4:39.0,I. Shumpert makes 2-pt jump shot from 15 ft,,50,43
2,4:25.0,,Personal foul by I. Shumpert (drawn by J. Ingles),50,43
2,4:22.0,,Shooting foul by W. Cauley-Stein (drawn by R. Gobert),50,43
2,4:22.0,,R. Gobert makes free throw 1 of 2,50,44
2,4:22.0,,R. Gobert makes free throw 2 of 2,50,45
2,4:16.0,Personal foul by R. Rubio (drawn by D. Fox),,50,45
2,4:16.0,,A. Burks enters the game for R. Rubio,50,45
2,4:02.0,Shooting foul by A. Burks (drawn by D. Fox),,50,45
2,4:02.0,D. Fox makes free throw 1 of 2,,51,45
2,4:02.0,B. Bogdanović enters the game for B. Hield,,51,45
2,4:02.0,D. Fox misses free throw 2 of 2,,51,45
2,3:59.0,,Defensive rebound by J. Crowder,51,45
2,3:41.0,,D. Mitchell misses 3-pt jump shot from 27 ft,51,45
2,3:37.0,Defensive rebound by B. Bogdanović,,51,45
2,3:27.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,53,45
2,3:27.0,,Utah full timeout,53,45
2,3:10.0,,D. Mitchell makes 2-pt layup from 2 ft,53,47
2,2:49.0,W. Cauley-Stein misses 2-pt hook shot from 6 ft,,53,47
2,2:47.0,,Defensive rebound by Team,53,47
2,2:47.0,,R. O'Neale enters the game for A. Burks,53,47
2,2:31.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),53,49
2,2:23.0,M. Bagley misses 2-pt layup from 1 ft,,53,49
2,2:18.0,,Defensive rebound by J. Crowder,53,49
2,2:10.0,,J. Crowder misses 3-pt jump shot from 25 ft,53,49
2,2:08.0,Defensive rebound by W. Cauley-Stein,,53,49
2,2:01.0,M. Bagley makes 2-pt jump shot from 8 ft,,55,49
2,1:41.0,,Personal foul by D. Fox (drawn by J. Ingles),55,49
2,1:41.0,,J. Ingles misses free throw 1 of 2,55,49
2,1:41.0,,Offensive rebound by Team,55,49
2,1:41.0,,J. Ingles makes free throw 2 of 2,55,50
2,1:28.0,D. Fox misses 3-pt jump shot from 24 ft,,55,50
2,1:26.0,,Defensive rebound by J. Crowder,55,50
2,1:19.0,,Shooting foul by I. Shumpert (drawn by J. Ingles),55,50
2,1:19.0,,J. Ingles makes free throw 1 of 3,55,51
2,1:19.0,,J. Ingles makes free throw 2 of 3,55,52
2,1:19.0,B. Hield enters the game for I. Shumpert,,55,52
2,1:19.0,,J. Ingles misses free throw 3 of 3,55,52
2,1:17.0,Defensive rebound by W. Cauley-Stein,,55,52
2,1:01.0,B. Bogdanović makes 2-pt layup from 5 ft,,57,52
2,0:43.0,,D. Mitchell makes 2-pt jump shot from 17 ft,57,54
2,0:34.0,B. Hield makes 3-pt jump shot from 25 ft,,60,54
2,0:26.0,,Offensive foul by J. Ingles (drawn by B. Hield),60,54
2,0:26.0,,Turnover by J. Ingles (offensive foul),60,54
2,0:26.0,,D. Exum enters the game for D. Mitchell,60,54
2,0:04.0,D. Fox misses 2-pt jump shot from 20 ft,,60,54
2,0:01.0,,Defensive rebound by R. O'Neale,60,54
3,11:43.0,Turnover by N. Bjelica (lost ball; steal by J. Ingles),,60,54
3,11:36.0,,D. Mitchell misses 3-pt jump shot from 26 ft,60,54
3,11:32.0,Defensive rebound by W. Cauley-Stein,,60,54
3,11:15.0,B. Hield misses 2-pt layup from 3 ft,,60,54
3,11:13.0,,Defensive rebound by R. Gobert,60,54
3,10:53.0,,D. Mitchell misses 2-pt jump shot from 8 ft,60,54
3,10:51.0,Defensive rebound by W. Cauley-Stein,,60,54
3,10:41.0,I. Shumpert misses 2-pt jump shot from 16 ft,,60,54
3,10:39.0,,Defensive rebound by R. Rubio,60,54
3,10:22.0,,R. Rubio misses 2-pt jump shot from 8 ft,60,54
3,10:20.0,Defensive rebound by W. Cauley-Stein,,60,54
3,10:17.0,D. Fox makes 2-pt dunk from 2 ft,,62,54
3,9:55.0,,R. Gobert misses 2-pt layup from 2 ft,62,54
3,9:53.0,,Offensive rebound by R. Gobert,62,54
3,9:47.0,,Turnover by J. Crowder (bad pass; steal by I. Shumpert),62,54
3,9:43.0,B. Hield misses 3-pt jump shot from 25 ft,,62,54
3,9:40.0,,Defensive rebound by R. Gobert,62,54
3,9:24.0,,J. Crowder makes 2-pt layup from 2 ft (assist by J. Ingles),62,56
3,9:19.0,D. Fox misses 2-pt layup from 8 ft (block by R. Rubio),,62,56
3,9:19.0,Offensive rebound by Team,,62,56
3,9:10.0,Shooting foul by J. Crowder (drawn by W. Cauley-Stein),,62,56
3,9:10.0,W. Cauley-Stein makes free throw 1 of 2,,63,56
3,9:10.0,,D. Favors enters the game for R. Gobert,63,56
3,9:10.0,W. Cauley-Stein misses free throw 2 of 2,,63,56
3,9:08.0,,Defensive rebound by D. Favors,63,56
3,8:47.0,,D. Mitchell makes 3-pt jump shot from 26 ft,63,59
3,8:38.0,Personal foul by D. Mitchell (drawn by I. Shumpert),,63,59
3,8:32.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),,65,59
3,8:13.0,,R. Rubio makes 3-pt jump shot from 27 ft (assist by D. Mitchell),65,62
3,7:55.0,B. Hield misses 3-pt jump shot from 23 ft,,65,62
3,7:52.0,,Defensive rebound by R. Rubio,65,62
3,7:44.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),65,65
3,7:27.0,N. Bjelica makes 2-pt layup from 2 ft,,67,65
3,7:22.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),67,67
3,7:11.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),,69,67
3,6:49.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by J. Ingles),69,70
3,6:31.0,W. Cauley-Stein makes 2-pt hook shot from 5 ft (assist by N. Bjelica),,71,70
3,6:16.0,,R. Rubio makes 2-pt jump shot from 19 ft (assist by J. Crowder),71,72
3,6:07.0,N. Bjelica misses 2-pt layup from 2 ft (block by D. Mitchell),,71,72
3,6:05.0,Offensive rebound by N. Bjelica,,71,72
3,6:05.0,N. Bjelica makes 2-pt layup from 2 ft,,73,72
3,6:05.0,,Utah full timeout,73,72
3,6:05.0,,A. Burks enters the game for D. Mitchell,73,72
3,5:51.0,,J. Ingles misses 3-pt jump shot from 25 ft,73,72
3,5:48.0,,Offensive rebound by D. Favors,73,72
3,5:37.0,,Turnover by J. Ingles (bad pass; steal by W. Cauley-Stein),73,72
3,5:20.0,B. Hield makes 3-pt jump shot from 24 ft (assist by N. Bjelica),,76,72
3,4:57.0,,A. Burks misses 3-pt jump shot from 23 ft,76,72
3,4:52.0,Defensive rebound by N. Bjelica,,76,72
3,4:42.0,D. Fox misses 2-pt jump shot from 7 ft (block by D. Favors),,76,72
3,4:41.0,,Defensive rebound by A. Burks,76,72
3,4:41.0,,Personal foul by B. Hield (drawn by A. Burks),76,72
3,4:19.0,,J. Crowder makes 3-pt jump shot from 25 ft,76,75
3,4:19.0,,Shooting foul by N. Bjelica (drawn by J. Crowder),76,75
3,4:19.0,M. Bagley enters the game for N. Bjelica,,76,75
3,4:19.0,B. Bogdanović enters the game for I. Shumpert,,76,75
3,4:19.0,,D. Exum enters the game for D. Favors,76,75
3,4:19.0,,R. Gobert enters the game for R. Rubio,76,75
3,4:19.0,,J. Crowder misses free throw 1 of 1,76,75
3,4:19.0,Defensive rebound by W. Cauley-Stein,,76,75
3,4:05.0,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Fox),,78,75
3,3:47.0,,Personal foul by B. Bogdanović (drawn by R. Gobert),78,75
3,3:47.0,,D. Favors enters the game for J. Crowder,78,75
3,3:41.0,,J. Ingles misses 3-pt jump shot from 25 ft,78,75
3,3:39.0,,Offensive rebound by D. Favors,78,75
3,3:38.0,,D. Favors makes 2-pt dunk from 2 ft,78,77
3,3:32.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,78,77
3,3:30.0,,Defensive rebound by J. Ingles,78,77
3,3:15.0,,J. Ingles misses 2-pt layup from 4 ft (block by M. Bagley),78,77
3,3:15.0,,Offensive rebound by Team,78,77
3,3:15.0,H. Giles enters the game for W. Cauley-Stein,,78,77
3,3:15.0,J. Jackson enters the game for B. Hield,,78,77
3,3:07.0,,J. Ingles misses 3-pt jump shot from 25 ft,78,77
3,3:04.0,Defensive rebound by M. Bagley,,78,77
3,3:01.0,Shooting foul by J. Ingles (drawn by D. Fox),,78,77
3,3:01.0,D. Fox makes free throw 1 of 2,,79,77
3,3:01.0,,D. Mitchell enters the game for A. Burks,79,77
3,3:01.0,,R. O'Neale enters the game for J. Ingles,79,77
3,3:01.0,D. Fox makes free throw 2 of 2,,80,77
3,2:48.0,,Turnover by D. Favors (bad pass; steal by M. Bagley),80,77
3,2:29.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,80,77
3,2:26.0,,Defensive rebound by D. Favors,80,77
3,2:19.0,,Shooting foul by M. Bagley (drawn by R. Gobert),80,77
3,2:19.0,Sacramento full timeout,,80,77
3,2:19.0,B. Hield enters the game for D. Fox,,80,77
3,2:19.0,,R. Gobert misses free throw 1 of 2,80,77
3,2:19.0,,Offensive rebound by Team,80,77
3,2:19.0,,R. Gobert misses free throw 2 of 2,80,77
3,2:17.0,Defensive rebound by J. Jackson,,80,77
3,2:02.0,B. Hield makes 2-pt jump shot from 19 ft,,82,77
3,1:46.0,,D. Exum makes 2-pt layup from 2 ft,82,79
3,1:39.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,82,79
3,1:36.0,Offensive rebound by J. Jackson,,82,79
3,1:27.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,82,79
3,1:24.0,,Defensive rebound by D. Favors,82,79
3,1:17.0,,R. O'Neale misses 2-pt layup from 6 ft,82,79
3,1:16.0,,Offensive rebound by R. O'Neale,82,79
3,1:15.0,,R. O'Neale misses 2-pt layup from 2 ft (block by M. Bagley),82,79
3,1:12.0,Defensive rebound by H. Giles,,82,79
3,1:06.0,J. Jackson makes 2-pt jump shot from 7 ft (assist by B. Hield),,84,79
3,0:49.0,,D. Mitchell makes 2-pt jump shot from 13 ft,84,81
3,0:24.0,B. Hield misses 3-pt jump shot from 23 ft,,84,81
3,0:21.0,,Defensive rebound by D. Mitchell,84,81
3,0:03.0,,D. Mitchell misses 3-pt jump shot from 27 ft,84,81
3,0:03.0,,Offensive rebound by D. Favors,84,81
3,0:00.0,,D. Favors makes 2-pt hook shot from 2 ft,84,83
4,11:47.0,,Turnover by D. Favors (bad pass),84,83
4,11:35.0,M. Bagley misses 2-pt layup from 5 ft,,84,83
4,11:27.0,Offensive rebound by H. Giles,,84,83
4,11:27.0,H. Giles makes 2-pt dunk from 1 ft,,86,83
4,11:26.0,,Personal foul by B. Hield (drawn by D. Mitchell),86,83
4,11:20.0,,D. Mitchell misses 2-pt jump shot from 11 ft,86,83
4,11:19.0,,Offensive rebound by Team,86,83
4,11:08.0,,D. Favors misses 3-pt jump shot from 22 ft,86,83
4,11:05.0,Defensive rebound by B. Hield,,86,83
4,10:45.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by B. Hield),,89,83
4,10:40.0,,Utah full timeout,89,83
4,10:40.0,,A. Burks enters the game for D. Favors,89,83
4,10:40.0,,J. Ingles enters the game for D. Mitchell,89,83
4,10:19.0,,D. Exum misses 3-pt jump shot from 23 ft,89,83
4,10:17.0,Defensive rebound by M. Bagley,,89,83
4,10:07.0,Offensive foul by M. Bagley (drawn by R. O'Neale),,89,83
4,10:07.0,Turnover by M. Bagley (offensive foul),,89,83
4,10:07.0,,J. Crowder enters the game for D. Exum,89,83
4,10:07.0,,R. Rubio enters the game for R. O'Neale,89,83
4,9:54.0,,A. Burks makes 3-pt jump shot from 25 ft (assist by R. Rubio),89,86
4,9:32.0,B. Hield misses 2-pt jump shot from 20 ft,,89,86
4,9:30.0,,Defensive rebound by R. Gobert,89,86
4,9:26.0,,Personal foul by B. Bogdanović (drawn by J. Ingles),89,86
4,9:20.0,,J. Crowder misses 3-pt jump shot from 24 ft,89,86
4,9:18.0,Defensive rebound by B. Hield,,89,86
4,9:06.0,Turnover by H. Giles (bad pass; steal by J. Crowder),,89,86
4,8:51.0,,J. Crowder misses 3-pt jump shot from 25 ft,89,86
4,8:50.0,Defensive rebound by H. Giles,,89,86
4,8:50.0,Sacramento full timeout,,89,86
4,8:50.0,W. Cauley-Stein enters the game for H. Giles,,89,86
4,8:40.0,Offensive foul by B. Hield (drawn by J. Ingles),,89,86
4,8:40.0,Turnover by B. Hield (offensive foul),,89,86
4,8:40.0,D. Fox enters the game for J. Jackson,,89,86
4,8:23.0,,Shooting foul by W. Cauley-Stein (drawn by J. Ingles),89,86
4,8:23.0,,J. Ingles makes free throw 1 of 2,89,87
4,8:23.0,,J. Ingles misses free throw 2 of 2,89,87
4,8:21.0,Defensive rebound by B. Bogdanović,,89,87
4,8:09.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),,92,87
4,7:50.0,,Turnover by R. Rubio (bad pass; steal by M. Bagley),92,87
4,7:44.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,92,87
4,7:42.0,,Defensive rebound by R. Gobert,92,87
4,7:27.0,,R. Rubio misses 2-pt jump shot from 16 ft,92,87
4,7:23.0,Defensive rebound by B. Hield,,92,87
4,7:06.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,92,87
4,7:05.0,Offensive rebound by Team,,92,87
4,7:05.0,N. Bjelica enters the game for M. Bagley,,92,87
4,7:05.0,I. Shumpert enters the game for B. Hield,,92,87
4,7:05.0,,D. Favors enters the game for R. Gobert,92,87
4,7:05.0,Away from play foul by A. Burks (drawn by B. Bogdanović),,92,87
4,7:05.0,B. Bogdanović makes free throw 1 of 1,,93,87
4,6:56.0,D. Fox makes 2-pt jump shot from 12 ft,,95,87
4,6:38.0,,R. Rubio misses 2-pt jump shot from 4 ft,95,87
4,6:35.0,,Offensive rebound by D. Favors,95,87
