QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
2,5:47.0,,C. Osman enters the game for L. Nance,29,51
2,5:43.0,B. Beal makes 2-pt jump shot from 19 ft (assist by J. Wall),,31,51
2,5:29.0,,C. Sexton makes 2-pt layup from 1 ft (assist by T. Thompson),31,53
2,5:20.0,Personal foul by J. Blossomgame (drawn by M. Morris),,31,53
2,5:20.0,,A. Burks enters the game for J. Clarkson,31,53
2,5:15.0,B. Beal makes 2-pt layup from 1 ft (assist by M. Morris),,33,53
2,4:51.0,,J. Blossomgame makes 2-pt layup from 1 ft,33,55
2,4:40.0,B. Beal makes 2-pt jump shot from 12 ft,,35,55
2,4:28.0,,C. Sexton makes 2-pt jump shot from 9 ft,35,57
2,4:21.0,Personal foul by C. Sexton (drawn by J. Wall),,35,57
2,4:21.0,T. Satoranský enters the game for J. Green,,35,57
2,4:14.0,B. Beal makes 2-pt jump shot from 18 ft,,37,57
2,3:59.0,,C. Sexton misses 2-pt jump shot from 17 ft,37,57
2,3:57.0,Defensive rebound by B. Beal,,37,57
2,3:49.0,J. Wall misses 2-pt jump shot from 12 ft,,37,57
2,3:44.0,,Defensive rebound by T. Thompson,37,57
2,3:41.0,,T. Thompson makes 2-pt layup from 1 ft,37,59
2,3:21.0,O. Porter misses 3-pt jump shot from 23 ft,,37,59
2,3:18.0,,Defensive rebound by T. Thompson,37,59
2,3:11.0,,A. Burks misses 3-pt jump shot from 27 ft,37,59
2,3:07.0,Defensive rebound by M. Morris,,37,59
2,2:58.0,M. Morris makes 3-pt jump shot from 26 ft (assist by B. Beal),,40,59
2,2:47.0,,Cleveland full timeout,40,59
2,2:47.0,,J. Clarkson enters the game for J. Blossomgame,40,59
2,2:31.0,,A. Burks misses 2-pt jump shot from 21 ft,40,59
2,2:28.0,Defensive rebound by M. Morris,,40,59
2,2:23.0,B. Beal misses 3-pt jump shot from 24 ft,,40,59
2,2:22.0,,Defensive rebound by A. Burks,40,59
2,2:22.0,,Personal take foul by M. Morris (drawn by A. Burks),40,59
2,2:22.0,,A. Burks makes free throw 1 of 2,40,60
2,2:22.0,,A. Burks misses free throw 2 of 2,40,60
2,2:20.0,Defensive rebound by O. Porter,,40,60
2,2:03.0,M. Morris makes 3-pt jump shot from 26 ft (assist by J. Wall),,43,60
2,1:54.0,,C. Sexton misses 2-pt layup from 1 ft,43,60
2,1:52.0,,Offensive rebound by T. Thompson,43,60
