QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
3,10:39.0,,Personal foul by W. Cauley-Stein (drawn by D. Cousins),68,60
3,10:37.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),68,63
3,10:14.0,H. Barnes makes 2-pt layup from 2 ft (assist by B. Hield),,70,63
3,10:02.0,,K. Durant misses 2-pt layup from 8 ft (block by B. Hield),70,63
3,10:02.0,,Offensive rebound by Team,70,63
3,10:00.0,,K. Durant misses 2-pt layup from 3 ft,70,63
3,9:59.0,Defensive rebound by H. Barnes,,70,63
3,9:53.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Hield),,72,63
3,9:43.0,,S. Curry makes 2-pt jump shot from 17 ft,72,65
3,9:37.0,Personal foul by D. Cousins (drawn by W. Cauley-Stein),,72,65
3,9:29.0,B. Bogdanović makes 2-pt layup from 4 ft,,74,65
3,9:04.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Cousins),74,68
3,8:50.0,B. Hield misses 3-pt jump shot from 26 ft,,74,68
3,8:48.0,,Defensive rebound by D. Cousins,74,68
3,8:38.0,,D. Cousins makes 3-pt jump shot from 28 ft (assist by S. Curry),74,71
3,8:19.0,B. Hield misses 2-pt jump shot from 13 ft,,74,71
3,8:18.0,,Defensive rebound by K. Durant,74,71
3,8:14.0,,Personal foul by W. Cauley-Stein (drawn by S. Curry),74,71
3,8:10.0,,S. Curry misses 3-pt jump shot from 23 ft,74,71
3,8:08.0,Defensive rebound by B. Bogdanović,,74,71
3,8:04.0,D. Fox misses 2-pt layup from 4 ft,,74,71
3,8:03.0,,Defensive rebound by S. Curry,74,71
3,7:57.0,,Shooting foul by W. Cauley-Stein (drawn by K. Durant),74,71
3,7:57.0,,K. Durant makes free throw 1 of 2,74,72
3,7:57.0,,K. Durant makes free throw 2 of 2,74,73
3,7:45.0,H. Barnes misses 3-pt jump shot from 26 ft,,74,73
3,7:43.0,,Defensive rebound by D. Cousins,74,73
3,7:37.0,,K. Durant misses 3-pt jump shot from 27 ft,74,73
3,7:32.0,Defensive rebound by B. Bogdanović,,74,73
3,7:32.0,Personal foul by K. Durant (drawn by B. Bogdanović),,74,73
3,7:27.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,74,73
3,7:25.0,,Defensive rebound by D. Cousins,74,73
3,7:19.0,,Turnover by K. Thompson (bad pass; steal by D. Fox),74,73
3,7:13.0,Flagrant foul type 1 by D. Cousins (drawn by H. Barnes),,74,73
3,7:13.0,M. Bagley enters the game for B. Bogdanović,,74,73
3,7:13.0,H. Barnes makes flagrant free throw 1 of 2,,75,73
3,7:13.0,H. Barnes makes flagrant free throw 2 of 2,,76,73
3,6:58.0,W. Cauley-Stein misses 2-pt jump shot from 8 ft (block by D. Cousins),,76,73
3,6:57.0,,Defensive rebound by K. Thompson,76,73
3,6:49.0,,K. Thompson misses 3-pt jump shot from 26 ft,76,73
3,6:47.0,,Offensive rebound by K. Durant,76,73
3,6:45.0,,S. Curry misses 3-pt jump shot from 26 ft,76,73
3,6:43.0,Defensive rebound by M. Bagley,,76,73
3,6:35.0,M. Bagley misses 2-pt layup from 3 ft,,76,73
3,6:34.0,,Defensive rebound by K. Durant,76,73
3,6:34.0,,Personal foul by H. Barnes (drawn by K. Durant),76,73
3,6:34.0,H. Giles enters the game for W. Cauley-Stein,,76,73
3,6:22.0,,K. Durant makes 2-pt dunk at rim (assist by D. Green),76,75
3,6:06.0,H. Giles makes 2-pt layup from 4 ft,,78,75
3,5:43.0,,Shooting foul by H. Giles (drawn by D. Cousins),78,75
3,5:43.0,,D. Cousins makes free throw 1 of 2,78,76
