QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DENVER_ACTION,PHILADELPHIA_SCORE,DENVER_SCORE
1,6:56.0,,G. Harris misses 3-pt jump shot from 22 ft,11,17
1,6:52.0,Defensive rebound by J. Bolden,,11,17
1,6:50.0,Turnover by B. Simmons (bad pass; steal by T. Craig),,11,17
1,6:45.0,,T. Craig makes 2-pt layup from 3 ft,11,19
1,6:45.0,Philadelphia full timeout,,11,19
1,6:45.0,S. Milton enters the game for J. Bolden,,11,19
1,6:45.0,M. Muscala enters the game for T. McConnell,,11,19
1,6:45.0,L. Shamet enters the game for J. Redick,,11,19
1,6:28.0,C. Brewer makes 2-pt layup from 3 ft (assist by S. Milton),,13,19
1,6:16.0,,N. Jokić makes 2-pt dunk from 1 ft (assist by G. Harris),13,21
1,6:04.0,Turnover by B. Simmons (bad pass; steal by G. Harris),,13,21
1,6:00.0,,G. Harris makes 2-pt dunk from 1 ft,13,23
1,5:50.0,B. Simmons misses 2-pt layup from 3 ft (block by G. Harris),,13,23
1,5:50.0,,Defensive rebound by Team,13,23
1,5:50.0,,M. Morris enters the game for G. Harris,13,23
1,5:29.0,,P. Millsap misses 2-pt jump shot from 4 ft,13,23
1,5:27.0,Defensive rebound by M. Muscala,,13,23
1,5:20.0,C. Brewer makes 2-pt layup from 2 ft,,15,23
1,5:14.0,,W. Barton misses 2-pt layup from 2 ft,15,23
1,5:14.0,,Offensive rebound by Team,15,23
1,5:06.0,,N. Jokić misses 2-pt hook shot from 6 ft,15,23
1,5:03.0,Defensive rebound by L. Shamet,,15,23
1,4:57.0,Shooting foul by P. Millsap (drawn by B. Simmons),,15,23
1,4:57.0,B. Simmons makes free throw 1 of 2,,16,23
1,4:57.0,,M. Plumlee enters the game for P. Millsap,16,23
1,4:57.0,B. Simmons misses free throw 2 of 2,,16,23
1,4:55.0,,Defensive rebound by T. Craig,16,23
1,4:42.0,,N. Jokić makes 2-pt hook shot from 4 ft,16,25
1,4:35.0,C. Brewer makes 2-pt dunk from 1 ft (assist by L. Shamet),,18,25
1,4:35.0,Technical foul by C. Brewer,,18,25
1,4:35.0,,W. Barton misses technical free throw,18,25
1,4:35.0,,Offensive rebound by Team,18,25
1,4:21.0,,T. Craig misses 3-pt jump shot from 22 ft,18,25
1,4:18.0,,Offensive rebound by T. Craig,18,25
1,4:16.0,,W. Barton misses 3-pt jump shot from 22 ft,18,25
1,4:16.0,Defensive rebound by C. Brewer,,18,25
1,4:08.0,L. Shamet misses 3-pt jump shot from 22 ft,,18,25
1,4:04.0,,Defensive rebound by N. Jokić,18,25
1,3:55.0,,M. Morris misses 2-pt jump shot from 21 ft,18,25
1,3:52.0,Defensive rebound by B. Simmons,,18,25
1,3:46.0,B. Simmons misses 2-pt layup from 2 ft,,18,25
1,3:46.0,Offensive rebound by C. Brewer,,18,25
1,3:46.0,Shooting foul by M. Morris (drawn by C. Brewer),,18,25
1,3:46.0,,Denver full timeout,18,25
1,3:46.0,,M. Beasley enters the game for W. Barton,18,25
1,3:46.0,C. Brewer misses free throw 1 of 2,,18,25
1,3:46.0,Offensive rebound by Team,,18,25
1,3:46.0,C. Brewer makes free throw 2 of 2,,19,25
1,3:37.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by M. Beasley),19,28
1,3:23.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by L. Shamet),,22,28
1,3:02.0,,N. Jokić misses 2-pt hook shot from 3 ft,22,28
1,3:00.0,Defensive rebound by C. Brewer,,22,28
1,2:56.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by B. Simmons),,25,28
1,2:39.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by N. Jokić),25,30
1,2:26.0,L. Shamet makes 3-pt jump shot from 22 ft,,28,30
1,2:18.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by M. Plumlee),28,33
1,1:59.0,Personal foul by M. Plumlee (drawn by B. Simmons),,28,33
1,1:59.0,B. Simmons makes free throw 1 of 2,,29,33
1,1:59.0,F. Korkmaz enters the game for C. Brewer,,29,33
1,1:59.0,T. McConnell enters the game for S. Milton,,29,33
1,1:59.0,J. Redick enters the game for L. Shamet,,29,33
1,1:59.0,,T. Lyles enters the game for N. Jokić,29,33
1,1:59.0,B. Simmons makes free throw 2 of 2,,30,33
1,1:46.0,,M. Morris makes 2-pt jump shot from 5 ft (assist by M. Plumlee),30,35
1,1:26.0,B. Simmons makes 2-pt hook shot from 4 ft (assist by T. McConnell),,32,35
1,1:13.0,,Turnover by M. Beasley (bad pass; steal by T. McConnell),32,35
1,1:12.0,Turnover by M. Muscala (out of bounds lost ball),,32,35
1,1:12.0,A. Johnson enters the game for B. Simmons,,32,35
1,1:12.0,,J. Hernangómez enters the game for T. Craig,32,35
1,1:00.0,,M. Plumlee makes 2-pt hook shot from 2 ft,32,37
1,0:49.0,J. Redick makes 2-pt jump shot from 21 ft (assist by A. Johnson),,34,37
1,0:33.0,,M. Morris makes 2-pt jump shot from 8 ft,34,39
1,0:20.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by T. McConnell),,37,39
1,0:06.0,,Shooting foul by F. Korkmaz (drawn by T. Lyles),37,39
1,0:06.0,,T. Lyles makes free throw 1 of 2,37,40
1,0:06.0,,T. Lyles makes free throw 2 of 2,37,41
2,11:44.0,A. Johnson makes 2-pt layup from 1 ft (assist by T. McConnell),,39,41
2,11:44.0,Shooting foul by M. Plumlee (drawn by A. Johnson),,39,41
2,11:44.0,A. Johnson makes free throw 1 of 1,,40,41
2,11:25.0,,T. Lyles misses 2-pt jump shot from 6 ft,40,41
2,11:25.0,Defensive rebound by T. McConnell,,40,41
2,11:21.0,Shooting foul by T. Lyles (drawn by M. Muscala),,40,41
2,11:21.0,M. Muscala misses free throw 1 of 2,,40,41
2,11:21.0,Offensive rebound by Team,,40,41
2,11:21.0,M. Muscala makes free throw 2 of 2,,41,41
2,11:09.0,,Shooting foul by T. McConnell (drawn by M. Plumlee),41,41
2,11:09.0,,M. Plumlee misses free throw 1 of 2,41,41
2,11:09.0,,Offensive rebound by Team,41,41
2,11:09.0,,M. Plumlee makes free throw 2 of 2,41,42
2,10:59.0,J. Redick misses 3-pt jump shot from 24 ft,,41,42
2,10:56.0,,Defensive rebound by M. Plumlee,41,42
2,10:46.0,,Personal foul by J. Redick (drawn by M. Beasley),41,42
2,10:42.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),41,45
2,10:28.0,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by A. Johnson),,44,45
2,10:13.0,,Shooting foul by A. Johnson (drawn by M. Plumlee),44,45
2,10:13.0,,M. Plumlee makes free throw 1 of 2,44,46
2,10:13.0,,M. Plumlee makes free throw 2 of 2,44,47
2,9:57.0,J. Redick makes 2-pt layup from 2 ft (assist by A. Johnson),,46,47
2,9:43.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),46,49
2,9:31.0,M. Muscala misses 3-pt jump shot from 25 ft,,46,49
2,9:29.0,,Defensive rebound by T. Lyles,46,49
2,9:15.0,,T. Lyles makes 2-pt jump shot from 4 ft,46,51
2,9:01.0,M. Muscala misses 2-pt hook shot from 4 ft,,46,51
2,8:59.0,,Defensive rebound by M. Plumlee,46,51
2,8:49.0,,M. Morris makes 2-pt jump shot from 9 ft,46,53
2,8:47.0,Philadelphia full timeout,,46,53
2,8:39.0,Turnover by M. Muscala (bad pass; steal by M. Beasley),,46,53
2,8:30.0,,M. Beasley misses 3-pt jump shot from 24 ft,46,53
2,8:26.0,Defensive rebound by M. Muscala,,46,53
2,8:17.0,Personal foul by M. Beasley (drawn by M. Muscala),,46,53
2,8:04.0,J. Redick makes 3-pt jump shot from 26 ft (assist by M. Muscala),,49,53
2,7:49.0,,M. Morris misses 2-pt jump shot from 6 ft,49,53
2,7:49.0,,Offensive rebound by Team,49,53
2,7:49.0,Loose ball foul by A. Johnson (drawn by M. Morris),,49,53
2,7:49.0,C. Brewer enters the game for A. Johnson,,49,53
2,7:49.0,S. Milton enters the game for F. Korkmaz,,49,53
2,7:49.0,L. Shamet enters the game for T. McConnell,,49,53
2,7:49.0,B. Simmons enters the game for J. Redick,,49,53
2,7:44.0,,M. Beasley misses 2-pt jump shot from 6 ft,49,53
2,7:41.0,Defensive rebound by B. Simmons,,49,53
2,7:38.0,B. Simmons misses 2-pt layup from 1 ft,,49,53
2,7:36.0,,Defensive rebound by J. Hernangómez,49,53
2,7:31.0,,Turnover by J. Hernangómez (lost ball; steal by C. Brewer),49,53
2,7:28.0,B. Simmons makes 2-pt dunk from 1 ft (assist by C. Brewer),,51,53
2,7:27.0,,Denver full timeout,51,53
2,7:27.0,,T. Craig enters the game for M. Beasley,51,53
2,7:27.0,,G. Harris enters the game for J. Hernangómez,51,53
2,7:27.0,,N. Jokić enters the game for T. Lyles,51,53
2,7:07.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by M. Morris),51,56
2,6:57.0,Personal foul by T. Craig (drawn by B. Simmons),,51,56
2,6:54.0,M. Muscala misses 3-pt jump shot from 24 ft,,51,56
2,6:51.0,,Defensive rebound by T. Craig,51,56
2,6:32.0,,T. Craig misses 3-pt jump shot from 26 ft,51,56
2,6:29.0,Defensive rebound by B. Simmons,,51,56
2,6:22.0,S. Milton makes 3-pt jump shot from 22 ft (assist by L. Shamet),,54,56
2,6:01.0,,T. Craig makes 2-pt jump shot from 9 ft (assist by G. Harris),54,58
2,5:41.0,B. Simmons misses 2-pt layup from 2 ft,,54,58
2,5:38.0,,Defensive rebound by N. Jokić,54,58
2,5:34.0,,Turnover by T. Craig (bad pass; steal by S. Milton),54,58
2,5:34.0,,W. Barton enters the game for M. Morris,54,58
2,5:34.0,,P. Millsap enters the game for M. Plumlee,54,58
2,5:22.0,B. Simmons makes 2-pt dunk at rim (assist by L. Shamet),,56,58
2,5:15.0,,Personal foul by C. Brewer (drawn by N. Jokić),56,58
2,5:15.0,,N. Jokić misses free throw 1 of 2,56,58
2,5:15.0,,Offensive rebound by Team,56,58
2,5:15.0,,N. Jokić makes free throw 2 of 2,56,59
2,5:00.0,M. Muscala misses 3-pt jump shot from 25 ft,,56,59
2,4:56.0,Offensive rebound by C. Brewer,,56,59
2,4:52.0,S. Milton misses 2-pt jump shot from 7 ft,,56,59
2,4:49.0,Offensive rebound by S. Milton,,56,59
2,4:45.0,Turnover by L. Shamet (step out of bounds),,56,59
2,4:25.0,,Turnover by N. Jokić (bad pass; steal by C. Brewer),56,59
2,4:19.0,S. Milton misses 3-pt jump shot from 23 ft,,56,59
2,4:15.0,,Defensive rebound by P. Millsap,56,59
2,4:07.0,,Personal foul by B. Simmons (drawn by N. Jokić),56,59
2,4:07.0,,N. Jokić makes free throw 1 of 2,56,60
2,4:07.0,J. Bolden enters the game for C. Brewer,,56,60
2,4:07.0,T. McConnell enters the game for S. Milton,,56,60
2,4:07.0,J. Redick enters the game for M. Muscala,,56,60
2,4:07.0,,N. Jokić makes free throw 2 of 2,56,61
2,3:56.0,B. Simmons misses 2-pt jump shot from 6 ft,,56,61
2,3:54.0,,Defensive rebound by N. Jokić,56,61
2,3:51.0,,Personal foul by J. Bolden (drawn by P. Millsap),56,61
2,3:51.0,,P. Millsap makes free throw 1 of 2,56,62
2,3:51.0,,P. Millsap makes free throw 2 of 2,56,63
2,3:39.0,Shooting foul by W. Barton (drawn by L. Shamet),,56,63
2,3:39.0,L. Shamet makes free throw 1 of 3,,57,63
2,3:39.0,L. Shamet makes free throw 2 of 3,,58,63
2,3:39.0,L. Shamet makes free throw 3 of 3,,59,63
2,3:24.0,,G. Harris makes 2-pt dunk from 2 ft (assist by N. Jokić),59,65
2,3:08.0,T. McConnell misses 2-pt jump shot from 7 ft,,59,65
2,3:06.0,,Defensive rebound by W. Barton,59,65
2,3:00.0,,W. Barton makes 2-pt layup from 1 ft,59,67
2,2:56.0,Personal foul by P. Millsap (drawn by B. Simmons),,59,67
2,2:56.0,B. Simmons makes free throw 1 of 2,,60,67
2,2:56.0,,M. Plumlee enters the game for P. Millsap,60,67
2,2:56.0,B. Simmons misses free throw 2 of 2,,60,67
2,2:53.0,,Defensive rebound by N. Jokić,60,67
2,2:42.0,,Shooting foul by J. Bolden (drawn by W. Barton),60,67
2,2:42.0,,W. Barton misses free throw 1 of 2,60,67
2,2:42.0,,Offensive rebound by Team,60,67
2,2:42.0,M. Muscala enters the game for J. Bolden,,60,67
2,2:42.0,,W. Barton makes free throw 2 of 2,60,68
2,2:33.0,T. McConnell misses 2-pt jump shot from 18 ft,,60,68
2,2:31.0,,Defensive rebound by M. Plumlee,60,68
2,2:26.0,,G. Harris makes 2-pt jump shot from 23 ft (assist by M. Plumlee),60,70
2,2:04.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Redick),,62,70
2,1:45.0,,W. Barton makes 2-pt jump shot from 13 ft,62,72
2,1:30.0,M. Muscala misses 3-pt jump shot from 24 ft,,62,72
2,1:27.0,,Defensive rebound by M. Plumlee,62,72
2,1:20.0,,T. Craig misses 3-pt jump shot from 24 ft,62,72
2,1:18.0,Defensive rebound by B. Simmons,,62,72
2,1:11.0,J. Redick misses 2-pt jump shot from 24 ft,,62,72
2,1:09.0,,Defensive rebound by N. Jokić,62,72
2,1:09.0,Loose ball foul by B. Simmons (drawn by T. Craig),,62,72
2,1:09.0,,T. Craig makes free throw 1 of 2,62,73
2,1:09.0,A. Johnson enters the game for B. Simmons,,62,73
2,1:09.0,,T. Craig makes free throw 2 of 2,62,74
2,0:54.0,J. Redick makes 3-pt jump shot from 22 ft (assist by T. McConnell),,65,74
2,0:49.0,,W. Barton makes 3-pt jump shot from 25 ft,65,77
2,0:33.0,T. McConnell makes 3-pt jump shot from 23 ft (assist by A. Johnson),,68,77
2,0:24.0,,T. Craig misses 2-pt dunk from 2 ft (block by A. Johnson),68,77
2,0:22.0,Defensive rebound by T. McConnell,,68,77
2,0:01.0,A. Johnson misses 2-pt layup from 6 ft,,68,77
2,0:01.0,,Defensive rebound by N. Jokić,68,77
2,0:00.0,,N. Jokić misses 3-pt jump shot from 65 ft,68,77
2,0:00.0,,Offensive rebound by Team,68,77
3,11:47.0,C. Brewer makes 3-pt jump shot from 25 ft (assist by J. Redick),,71,77
3,11:33.0,,Personal foul by A. Johnson (drawn by N. Jokić),71,77
3,11:27.0,,G. Harris misses 2-pt jump shot from 7 ft,71,77
3,11:24.0,Defensive rebound by A. Johnson,,71,77
3,11:13.0,J. Redick misses 3-pt jump shot from 25 ft,,71,77
3,11:11.0,Offensive rebound by J. Redick,,71,77
3,11:11.0,J. Redick makes 2-pt layup from 1 ft,,73,77
3,11:11.0,,Denver full timeout,73,77
3,11:01.0,,Turnover by G. Harris (bad pass; steal by A. Johnson),73,77
3,10:52.0,J. Redick makes 2-pt jump shot from 23 ft (assist by T. McConnell),,75,77
3,10:33.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by N. Jokić),75,80
3,10:15.0,C. Brewer misses 2-pt jump shot from 15 ft,,75,80
3,10:13.0,,Defensive rebound by N. Jokić,75,80
3,10:06.0,,Offensive foul by T. Craig (drawn by J. Redick),75,80
3,10:06.0,,Turnover by T. Craig (offensive foul),75,80
3,9:52.0,B. Simmons misses 2-pt hook shot from 4 ft,,75,80
3,9:49.0,,Defensive rebound by P. Millsap,75,80
3,9:45.0,,W. Barton makes 2-pt jump shot from 21 ft,75,82
3,9:24.0,T. McConnell misses 2-pt jump shot from 10 ft,,75,82
3,9:21.0,,Defensive rebound by T. Craig,75,82
3,9:12.0,,N. Jokić makes 2-pt layup from 1 ft,75,84
3,9:10.0,Philadelphia full timeout,,75,84
3,9:00.0,Personal foul by G. Harris (drawn by A. Johnson),,75,84
3,8:54.0,A. Johnson makes 2-pt layup from 4 ft (assist by J. Redick),,77,84
3,8:39.0,,G. Harris misses 2-pt jump shot from 14 ft,77,84
3,8:37.0,Defensive rebound by B. Simmons,,77,84
3,8:34.0,J. Redick misses 3-pt jump shot from 24 ft,,77,84
3,8:31.0,Offensive rebound by J. Redick,,77,84
3,8:30.0,Turnover by C. Brewer (traveling),,77,84
3,8:20.0,,T. Craig misses 3-pt jump shot from 23 ft,77,84
3,8:19.0,,Offensive rebound by P. Millsap,77,84
3,8:17.0,,Personal foul by A. Johnson (drawn by P. Millsap),77,84
3,8:12.0,,P. Millsap makes 2-pt dunk at rim (assist by T. Craig),77,86
3,8:01.0,B. Simmons misses 2-pt dunk from 1 ft,,77,86
3,7:59.0,,Defensive rebound by P. Millsap,77,86
3,7:59.0,M. Muscala enters the game for A. Johnson,,77,86
3,7:48.0,,Turnover by T. Craig (out of bounds lost ball),77,86
3,7:37.0,Personal foul by G. Harris (drawn by J. Redick),,77,86
3,7:22.0,B. Simmons misses 2-pt hook shot from 3 ft,,77,86
3,7:20.0,,Defensive rebound by N. Jokić,77,86
3,7:15.0,,T. Craig makes 2-pt dunk from 1 ft (assist by N. Jokić),77,88
3,7:14.0,Philadelphia full timeout,,77,88
3,7:14.0,S. Milton enters the game for T. McConnell,,77,88
3,7:14.0,L. Shamet enters the game for J. Redick,,77,88
3,6:53.0,C. Brewer misses 3-pt jump shot from 25 ft,,77,88
3,6:49.0,Offensive rebound by L. Shamet,,77,88
3,6:46.0,S. Milton makes 3-pt jump shot from 25 ft (assist by L. Shamet),,80,88
3,6:28.0,,W. Barton misses 2-pt jump shot from 11 ft,80,88
3,6:25.0,,Offensive rebound by N. Jokić,80,88
3,6:17.0,,T. Craig misses 3-pt jump shot from 25 ft,80,88
3,6:14.0,Defensive rebound by M. Muscala,,80,88
3,6:05.0,C. Brewer makes 2-pt layup from 2 ft (assist by L. Shamet),,82,88
3,5:49.0,,Personal foul by L. Shamet (drawn by P. Millsap),82,88
3,5:49.0,,M. Morris enters the game for G. Harris,82,88
3,5:37.0,,T. Craig makes 2-pt layup from 1 ft (assist by N. Jokić),82,90
3,5:18.0,C. Brewer misses 2-pt jump shot from 2 ft,,82,90
3,5:17.0,,Defensive rebound by N. Jokić,82,90
3,4:57.0,,W. Barton misses 2-pt layup from 2 ft,82,90
3,4:56.0,,Offensive rebound by N. Jokić,82,90
3,4:56.0,,N. Jokić makes 2-pt layup at rim,82,92
3,4:56.0,,Violation by Team (delay of game),82,92
3,4:38.0,L. Shamet makes 2-pt layup from 1 ft,,84,92
3,4:27.0,,Shooting foul by S. Milton (drawn by W. Barton),84,92
3,4:27.0,,W. Barton misses free throw 1 of 2,84,92
3,4:27.0,,Offensive rebound by Team,84,92
3,4:27.0,,M. Plumlee enters the game for P. Millsap,84,92
3,4:27.0,,W. Barton makes free throw 2 of 2,84,93
3,4:18.0,Personal foul by W. Barton (drawn by B. Simmons),,84,93
3,4:14.0,L. Shamet misses 3-pt jump shot from 24 ft,,84,93
3,4:11.0,,Defensive rebound by M. Morris,84,93
3,4:00.0,,M. Morris makes 2-pt jump shot from 12 ft (assist by N. Jokić),84,95
3,3:46.0,S. Milton makes 3-pt jump shot from 25 ft (assist by B. Simmons),,87,95
3,3:29.0,,N. Jokić makes 2-pt layup from 1 ft (assist by M. Morris),87,97
3,3:22.0,Shooting foul by M. Plumlee (drawn by C. Brewer),,87,97
3,3:22.0,C. Brewer makes free throw 1 of 2,,88,97
3,3:22.0,,M. Beasley enters the game for W. Barton,88,97
3,3:22.0,C. Brewer makes free throw 2 of 2,,89,97
3,3:15.0,,Personal take foul by S. Milton (drawn by M. Plumlee),89,97
3,3:15.0,,M. Plumlee misses free throw 1 of 2,89,97
3,3:15.0,,Offensive rebound by Team,89,97
3,3:15.0,,M. Plumlee makes free throw 2 of 2,89,98
3,2:59.0,C. Brewer misses 3-pt jump shot from 23 ft,,89,98
3,2:56.0,,Defensive rebound by M. Beasley,89,98
3,2:44.0,,Personal foul by L. Shamet (drawn by M. Plumlee),89,98
3,2:44.0,,M. Plumlee misses free throw 1 of 2,89,98
3,2:44.0,,Offensive rebound by Team,89,98
3,2:44.0,T. McConnell enters the game for C. Brewer,,89,98
3,2:44.0,J. Redick enters the game for S. Milton,,89,98
3,2:44.0,,M. Plumlee makes free throw 2 of 2,89,99
3,2:36.0,B. Simmons misses 2-pt layup from 3 ft,,89,99
3,2:36.0,,Defensive rebound by Team,89,99
3,2:36.0,Loose ball foul by M. Muscala (drawn by M. Plumlee),,89,99
3,2:36.0,,M. Plumlee makes free throw 1 of 2,89,100
3,2:36.0,,M. Plumlee makes free throw 2 of 2,89,101
3,2:24.0,Shooting foul by M. Plumlee (drawn by B. Simmons),,89,101
3,2:24.0,B. Simmons misses free throw 1 of 2,,89,101
3,2:24.0,Offensive rebound by Team,,89,101
3,2:24.0,A. Johnson enters the game for M. Muscala,,89,101
3,2:24.0,B. Simmons makes free throw 2 of 2,,90,101
3,2:05.0,,M. Plumlee makes 2-pt hook shot from 2 ft (assist by N. Jokić),90,103
3,1:48.0,T. McConnell misses 2-pt jump shot from 17 ft,,90,103
3,1:45.0,,Defensive rebound by T. Craig,90,103
3,1:35.0,,Personal foul by A. Johnson (drawn by N. Jokić),90,103
3,1:35.0,,N. Jokić makes free throw 1 of 2,90,104
3,1:35.0,J. Bolden enters the game for A. Johnson,,90,104
3,1:35.0,,T. Lyles enters the game for M. Plumlee,90,104
3,1:35.0,,N. Jokić makes free throw 2 of 2,90,105
3,1:24.0,J. Redick makes 3-pt jump shot from 25 ft (assist by L. Shamet),,93,105
3,1:04.0,,M. Morris misses 3-pt jump shot from 25 ft,93,105
3,1:02.0,Defensive rebound by B. Simmons,,93,105
3,0:47.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,96,105
3,0:36.0,,T. Lyles misses 3-pt jump shot from 22 ft,96,105
3,0:30.0,Defensive rebound by J. Bolden,,96,105
3,0:26.0,Turnover by J. Redick (step out of bounds),,96,105
3,0:26.0,,G. Harris enters the game for T. Craig,96,105
3,0:17.0,,Denver full timeout,96,105
3,0:03.0,,M. Morris makes 2-pt jump shot from 18 ft,96,107
3,0:00.0,B. Simmons misses 3-pt jump shot from 32 ft,,96,107
3,0:00.0,Offensive rebound by Team,,96,107
4,11:48.0,,Personal foul by C. Brewer (drawn by T. Lyles),96,107
4,11:41.0,,Turnover by M. Morris (bad pass),96,107
4,11:28.0,J. Redick misses 2-pt jump shot from 3 ft,,96,107
4,11:25.0,,Defensive rebound by J. Hernangómez,96,107
4,11:15.0,,M. Beasley makes 2-pt layup from 3 ft,96,109
4,11:05.0,Turnover by M. Muscala (bad pass),,96,109
4,10:53.0,,M. Beasley makes 2-pt jump shot from 10 ft (assist by T. Lyles),96,111
4,10:53.0,Philadelphia full timeout,,96,111
4,10:35.0,C. Brewer misses 2-pt layup from 3 ft,,96,111
4,10:32.0,Offensive rebound by M. Muscala,,96,111
4,10:32.0,M. Muscala misses 2-pt layup from 1 ft,,96,111
4,10:32.0,Offensive rebound by M. Muscala,,96,111
4,10:31.0,J. Bolden misses 2-pt layup from 3 ft (block by T. Lyles),,96,111
4,10:27.0,,Defensive rebound by M. Plumlee,96,111
4,10:25.0,,Turnover by M. Plumlee (lost ball; steal by C. Brewer),96,111
4,10:20.0,J. Redick misses 2-pt layup from 2 ft,,96,111
4,10:17.0,Offensive rebound by J. Bolden,,96,111
4,10:17.0,J. Bolden makes 2-pt layup from 1 ft,,98,111
4,10:02.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Plumlee),98,114
4,9:46.0,T. McConnell misses 2-pt jump shot from 7 ft (block by M. Plumlee),,98,114
4,9:42.0,,Defensive rebound by T. Lyles,98,114
4,9:30.0,,M. Morris misses 2-pt layup from 4 ft,98,114
4,9:29.0,Defensive rebound by T. McConnell,,98,114
4,9:25.0,J. Redick misses 3-pt jump shot from 26 ft,,98,114
4,9:21.0,,Defensive rebound by T. Lyles,98,114
4,9:20.0,,Personal foul by C. Brewer (drawn by T. Lyles),98,114
4,9:20.0,B. Simmons enters the game for J. Bolden,,98,114
4,9:03.0,,M. Beasley misses 2-pt layup from 4 ft,98,114
4,9:01.0,,Offensive rebound by M. Plumlee,98,114
4,8:58.0,,J. Hernangómez misses 2-pt layup from 3 ft (block by T. McConnell),98,114
4,8:55.0,Defensive rebound by M. Muscala,,98,114
4,8:45.0,C. Brewer makes 2-pt layup from 2 ft (assist by B. Simmons),,100,114
