QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
1,0:56.0,,Turnover by A. Tolliver (lost ball; steal by E. İlyasova),24,14
1,0:51.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by D. DiVincenzo),,27,14
1,0:27.0,,T. Jones misses 2-pt jump shot from 13 ft,27,14
1,0:24.0,,Offensive rebound by J. Okogie,27,14
1,0:16.0,,T. Jones makes 2-pt layup from 1 ft,27,16
1,0:03.0,E. İlyasova misses 3-pt jump shot from 25 ft,,27,16
1,0:00.0,,Defensive rebound by D. Rose,27,16
2,11:50.0,Shooting foul by J. Butler (drawn by G. Antetokounmpo),,27,16
2,11:50.0,G. Antetokounmpo misses free throw 1 of 2,,27,16
2,11:50.0,Offensive rebound by Team,,27,16
2,11:50.0,G. Antetokounmpo makes free throw 2 of 2,,28,16
2,11:37.0,,A. Tolliver makes 3-pt jump shot from 29 ft (assist by J. Butler),28,19
2,11:26.0,T. Snell misses 3-pt jump shot from 26 ft,,28,19
2,11:24.0,,Defensive rebound by G. Dieng,28,19
2,11:11.0,,A. Tolliver makes 2-pt jump shot from 22 ft,28,21
2,10:48.0,T. Snell makes 3-pt jump shot from 23 ft (assist by D. DiVincenzo),,31,21
2,10:38.0,,J. Butler misses 2-pt layup from 4 ft,31,21
2,10:35.0,Defensive rebound by J. Henson,,31,21
2,10:30.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,31,21
2,10:26.0,,Defensive rebound by G. Dieng,31,21
2,10:18.0,,G. Dieng misses 2-pt jump shot from 20 ft,31,21
2,10:15.0,Defensive rebound by G. Antetokounmpo,,31,21
2,10:04.0,T. Snell makes 2-pt jump shot from 13 ft,,33,21
2,9:46.0,,T. Jones misses 3-pt jump shot from 27 ft,33,21
2,9:45.0,Defensive rebound by G. Antetokounmpo,,33,21
2,9:40.0,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,35,21
2,9:40.0,,Minnesota full timeout,35,21
2,9:40.0,P. Connaughton enters the game for D. DiVincenzo,,35,21
2,9:40.0,B. Lopez enters the game for J. Henson,,35,21
2,9:27.0,,J. Butler misses 3-pt jump shot from 25 ft,35,21
2,9:24.0,,Offensive rebound by G. Dieng,35,21
2,9:19.0,,T. Jones makes 3-pt jump shot from 27 ft (assist by A. Tolliver),35,24
2,9:01.0,Turnover by M. Brogdon (bad pass; steal by G. Dieng),,35,24
2,8:52.0,,G. Dieng misses 2-pt jump shot from 18 ft,35,24
2,8:48.0,Defensive rebound by P. Connaughton,,35,24
2,8:40.0,B. Lopez misses 3-pt jump shot from 27 ft,,35,24
2,8:38.0,,Defensive rebound by G. Dieng,35,24
2,8:27.0,,D. Rose makes 3-pt jump shot from 23 ft (assist by A. Tolliver),35,27
2,8:04.0,Personal foul by D. Rose (drawn by G. Antetokounmpo),,35,27
2,8:04.0,E. Bledsoe enters the game for M. Brogdon,,35,27
2,8:04.0,,T. Gibson enters the game for G. Dieng,35,27
2,8:04.0,,K. Towns enters the game for A. Tolliver,35,27
2,7:57.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,38,27
2,7:44.0,,K. Towns misses 2-pt jump shot from 18 ft,38,27
2,7:43.0,Defensive rebound by Team,,38,27
2,7:43.0,K. Middleton enters the game for T. Snell,,38,27
2,7:31.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Rose),,38,27
2,7:12.0,,J. Butler misses 2-pt layup from 2 ft,38,27
2,7:09.0,Defensive rebound by E. Bledsoe,,38,27
2,7:07.0,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by E. Bledsoe),,40,27
2,6:56.0,,Shooting foul by G. Antetokounmpo (drawn by T. Jones),40,27
2,6:56.0,E. İlyasova enters the game for G. Antetokounmpo,,40,27
2,6:56.0,,T. Jones makes free throw 1 of 2,40,28
2,6:56.0,,T. Jones makes free throw 2 of 2,40,29
2,6:37.0,B. Lopez misses 2-pt jump shot from 9 ft,,40,29
2,6:35.0,Offensive rebound by E. İlyasova,,40,29
2,6:35.0,E. İlyasova makes 2-pt layup from 1 ft,,42,29
2,6:25.0,,Turnover by T. Jones (bad pass; steal by K. Middleton),42,29
2,6:17.0,Personal foul by K. Towns (drawn by K. Middleton),,42,29
2,6:17.0,,J. Teague enters the game for T. Jones,42,29
2,6:08.0,K. Middleton makes 3-pt jump shot from 25 ft,,45,29
2,5:57.0,,Personal foul by K. Middleton (drawn by J. Butler),45,29
2,5:52.0,,Personal foul by P. Connaughton (drawn by J. Butler),45,29
2,5:39.0,,J. Butler misses 2-pt jump shot from 11 ft,45,29
2,5:36.0,,Offensive rebound by T. Gibson,45,29
2,5:29.0,,T. Gibson misses 2-pt jump shot from 9 ft (block by E. İlyasova),45,29
2,5:26.0,,Offensive rebound by T. Gibson,45,29
2,5:24.0,,T. Gibson makes 2-pt hook shot from 6 ft,45,31
2,5:17.0,K. Middleton misses 2-pt jump shot from 7 ft,,45,31
2,5:17.0,,Defensive rebound by Team,45,31
2,5:17.0,,J. Okogie enters the game for J. Butler,45,31
2,5:09.0,,Offensive foul by T. Gibson (drawn by P. Connaughton),45,31
2,5:09.0,,Turnover by T. Gibson (offensive foul),45,31
2,5:09.0,,A. Tolliver enters the game for T. Gibson,45,31
2,4:54.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by B. Lopez),,48,31
2,4:38.0,,D. Rose misses 2-pt jump shot from 17 ft,48,31
2,4:35.0,Defensive rebound by P. Connaughton,,48,31
2,4:26.0,P. Connaughton misses 3-pt jump shot from 28 ft,,48,31
2,4:23.0,,Defensive rebound by D. Rose,48,31
2,4:20.0,,J. Teague misses 3-pt jump shot from 23 ft,48,31
2,4:17.0,Defensive rebound by B. Lopez,,48,31
2,4:11.0,K. Middleton makes 2-pt layup from 2 ft (assist by E. Bledsoe),,50,31
2,4:11.0,,Minnesota full timeout,50,31
2,4:11.0,D. DiVincenzo enters the game for P. Connaughton,,50,31
2,4:03.0,,Turnover by J. Teague (bad pass),50,31
2,3:49.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,50,31
2,3:46.0,,Defensive rebound by K. Towns,50,31
2,3:39.0,,A. Tolliver makes 3-pt jump shot from 27 ft (assist by J. Teague),50,34
2,3:22.0,Shooting foul by A. Tolliver (drawn by E. İlyasova),,50,34
2,3:22.0,E. İlyasova makes free throw 1 of 2,,51,34
2,3:22.0,G. Antetokounmpo enters the game for K. Middleton,,51,34
2,3:22.0,,J. Butler enters the game for D. Rose,51,34
2,3:22.0,E. İlyasova makes free throw 2 of 2,,52,34
2,3:14.0,,Turnover by A. Tolliver (bad pass),52,34
2,3:01.0,E. İlyasova misses 3-pt jump shot from 25 ft,,52,34
2,3:00.0,Offensive rebound by D. DiVincenzo,,52,34
2,3:00.0,D. DiVincenzo makes 2-pt layup at rim,,54,34
2,2:46.0,,J. Teague makes 2-pt jump shot from 13 ft,54,36
2,2:32.0,B. Lopez misses 3-pt jump shot from 26 ft,,54,36
2,2:31.0,Offensive rebound by D. DiVincenzo,,54,36
2,2:27.0,B. Lopez makes 2-pt jump shot from 10 ft (assist by D. DiVincenzo),,56,36
2,2:11.0,,J. Teague makes 2-pt jump shot from 12 ft (assist by K. Towns),56,38
2,2:11.0,,Shooting foul by B. Lopez (drawn by J. Teague),56,38
2,2:11.0,M. Brogdon enters the game for E. Bledsoe,,56,38
2,2:11.0,J. Henson enters the game for E. İlyasova,,56,38
2,2:11.0,,J. Teague misses free throw 1 of 1,56,38
2,2:11.0,Defensive rebound by J. Henson,,56,38
2,1:51.0,G. Antetokounmpo misses 2-pt jump shot from 6 ft (block by K. Towns),,56,38
2,1:48.0,Offensive rebound by J. Henson,,56,38
2,1:46.0,J. Henson misses 2-pt jump shot from 11 ft,,56,38
2,1:42.0,,Defensive rebound by J. Butler,56,38
2,1:40.0,,A. Tolliver misses 3-pt jump shot from 23 ft,56,38
2,1:37.0,Defensive rebound by D. DiVincenzo,,56,38
2,1:32.0,D. DiVincenzo makes 3-pt jump shot from 25 ft,,59,38
2,1:10.0,,J. Teague misses 2-pt jump shot from 6 ft,59,38
2,1:07.0,Defensive rebound by J. Henson,,59,38
2,1:03.0,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,61,38
2,0:50.0,,J. Butler misses 2-pt jump shot from 10 ft,61,38
2,0:50.0,Defensive rebound by J. Henson,,61,38
2,0:40.0,Offensive foul by G. Antetokounmpo (drawn by J. Okogie),,61,38
2,0:40.0,Turnover by G. Antetokounmpo (offensive foul),,61,38
2,0:40.0,E. İlyasova enters the game for G. Antetokounmpo,,61,38
2,0:29.0,,J. Okogie misses 3-pt jump shot from 27 ft,61,38
2,0:25.0,,Offensive rebound by K. Towns,61,38
2,0:25.0,,K. Towns misses 2-pt layup from 4 ft,61,38
2,0:22.0,Defensive rebound by E. İlyasova,,61,38
2,0:00.0,M. Brogdon makes 2-pt jump shot from 9 ft,,63,38
3,11:49.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,65,38
3,11:29.0,,K. Towns makes 2-pt jump shot from 5 ft (assist by J. Okogie),65,40
3,11:12.0,Offensive foul by B. Lopez (drawn by J. Okogie),,65,40
3,11:12.0,Turnover by B. Lopez (offensive foul),,65,40
3,10:59.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by J. Teague),65,43
3,10:44.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,68,43
3,10:23.0,,K. Towns makes 2-pt jump shot from 14 ft (assist by T. Gibson),68,45
3,10:04.0,Personal foul by K. Towns (drawn by B. Lopez),,68,45
3,10:01.0,E. Bledsoe misses 2-pt jump shot from 9 ft (block by K. Towns),,68,45
3,9:59.0,,Defensive rebound by K. Towns,68,45
3,9:39.0,,T. Gibson misses 3-pt jump shot from 23 ft,68,45
3,9:36.0,Defensive rebound by E. Bledsoe,,68,45
3,9:31.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,70,45
3,9:17.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),70,47
3,9:09.0,G. Antetokounmpo makes 2-pt dunk from 3 ft,,72,47
3,8:58.0,,K. Towns misses 3-pt jump shot from 26 ft,72,47
3,8:55.0,Defensive rebound by G. Antetokounmpo,,72,47
3,8:45.0,B. Lopez makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,75,47
3,8:33.0,,J. Butler misses 3-pt jump shot from 22 ft,75,47
3,8:31.0,Defensive rebound by K. Middleton,,75,47
3,8:26.0,Turnover by E. Bledsoe (bad pass; steal by K. Towns),,75,47
3,8:12.0,,J. Teague misses 3-pt jump shot from 27 ft,75,47
3,8:10.0,Defensive rebound by B. Lopez,,75,47
3,8:08.0,K. Middleton misses 3-pt jump shot from 26 ft,,75,47
3,8:07.0,,Defensive rebound by J. Butler,75,47
3,7:56.0,,Personal foul by K. Middleton (drawn by T. Gibson),75,47
3,7:43.0,,J. Teague misses 3-pt jump shot from 26 ft,75,47
3,7:39.0,Defensive rebound by G. Antetokounmpo,,75,47
3,7:37.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,77,47
3,7:37.0,Shooting foul by J. Teague (drawn by E. Bledsoe),,77,47
3,7:37.0,E. İlyasova enters the game for M. Brogdon,,77,47
3,7:37.0,E. Bledsoe misses free throw 1 of 1,,77,47
3,7:37.0,,Defensive rebound by Team,77,47
3,7:37.0,Loose ball foul by E. Bledsoe (drawn by T. Gibson),,77,47
3,7:24.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Teague),77,50
3,7:14.0,E. Bledsoe makes 2-pt layup at rim,,79,50
3,7:06.0,,J. Teague misses 2-pt layup from 2 ft,79,50
3,7:04.0,Defensive rebound by E. Bledsoe,,79,50
3,6:57.0,E. İlyasova misses 2-pt layup from 8 ft (block by J. Butler),,79,50
3,6:55.0,,Defensive rebound by J. Butler,79,50
3,6:55.0,,Personal take foul by E. Bledsoe (drawn by J. Butler),79,50
3,6:55.0,,Minnesota full timeout,79,50
3,6:40.0,,J. Okogie makes 2-pt jump shot from 20 ft (assist by J. Butler),79,52
3,6:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,81,52
3,6:14.0,,J. Okogie misses 2-pt jump shot from 19 ft,81,52
3,6:12.0,Defensive rebound by E. Bledsoe,,81,52
3,6:06.0,E. İlyasova makes 2-pt layup at rim (assist by E. Bledsoe),,83,52
3,5:52.0,,Turnover by K. Towns (bad pass; steal by E. İlyasova),83,52
3,5:51.0,Shooting foul by J. Teague (drawn by G. Antetokounmpo),,83,52
3,5:51.0,G. Antetokounmpo makes free throw 1 of 2,,84,52
3,5:51.0,J. Henson enters the game for B. Lopez,,84,52
3,5:51.0,,T. Jones enters the game for J. Butler,84,52
3,5:51.0,,D. Rose enters the game for J. Teague,84,52
3,5:51.0,G. Antetokounmpo makes free throw 2 of 2,,85,52
3,5:38.0,,D. Rose misses 3-pt jump shot from 25 ft,85,52
3,5:36.0,,Offensive rebound by K. Towns,85,52
3,5:34.0,,K. Towns makes 2-pt jump shot from 7 ft,85,54
3,5:33.0,J. Henson misses 2-pt jump shot from 7 ft,,85,54
3,5:27.0,,Defensive rebound by T. Jones,85,54
3,5:13.0,,D. Rose misses 2-pt hook shot from 7 ft (block by G. Antetokounmpo),85,54
3,5:07.0,Defensive rebound by G. Antetokounmpo,,85,54
3,5:05.0,Turnover by G. Antetokounmpo (lost ball; steal by T. Gibson),,85,54
3,5:02.0,,J. Okogie misses 2-pt jump shot from 5 ft (block by K. Middleton),85,54
3,5:02.0,,Offensive rebound by Team,85,54
3,5:02.0,D. DiVincenzo enters the game for E. Bledsoe,,85,54
3,4:58.0,,K. Towns misses 3-pt jump shot from 25 ft,85,54
3,4:54.0,Defensive rebound by K. Middleton,,85,54
3,4:47.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,88,54
3,4:26.0,,T. Jones misses 2-pt jump shot from 15 ft,88,54
3,4:23.0,,Offensive rebound by T. Gibson,88,54
3,4:23.0,,T. Gibson makes 2-pt layup at rim,88,56
3,4:18.0,Turnover by G. Antetokounmpo (lost ball; steal by T. Jones),,88,56
3,4:11.0,,Shooting foul by G. Antetokounmpo (drawn by T. Gibson),88,56
3,4:11.0,,T. Gibson makes free throw 1 of 2,88,57
3,4:11.0,M. Brogdon enters the game for G. Antetokounmpo,,88,57
3,4:11.0,,T. Gibson makes free throw 2 of 2,88,58
3,3:58.0,E. İlyasova misses 3-pt jump shot from 26 ft (block by T. Gibson),,88,58
3,3:54.0,,Defensive rebound by K. Towns,88,58
3,3:51.0,,T. Gibson makes 2-pt jump shot from 5 ft (assist by T. Jones),88,60
3,3:51.0,,Shooting foul by E. İlyasova (drawn by T. Gibson),88,60
3,3:51.0,Milwaukee full timeout,,88,60
3,3:51.0,,T. Gibson makes free throw 1 of 1,88,61
3,3:41.0,D. DiVincenzo makes 2-pt layup from 1 ft (assist by K. Middleton),,90,61
3,3:27.0,,J. Okogie misses 2-pt jump shot from 7 ft,90,61
3,3:25.0,,Offensive rebound by T. Gibson,90,61
3,3:25.0,,T. Gibson makes 2-pt dunk at rim,90,63
3,3:06.0,K. Middleton misses 3-pt jump shot from 26 ft,,90,63
3,3:03.0,,Defensive rebound by T. Jones,90,63
3,2:59.0,,T. Jones misses 2-pt layup from 2 ft,90,63
3,2:55.0,,Offensive rebound by J. Okogie,90,63
3,2:51.0,,J. Okogie misses 3-pt jump shot from 25 ft,90,63
3,2:49.0,Defensive rebound by D. DiVincenzo,,90,63
3,2:37.0,D. DiVincenzo misses 3-pt jump shot from 29 ft,,90,63
3,2:32.0,,Defensive rebound by K. Towns,90,63
3,2:30.0,,Shooting foul by M. Brogdon (drawn by T. Gibson),90,63
3,2:30.0,,T. Gibson misses free throw 1 of 2,90,63
3,2:30.0,,Offensive rebound by Team,90,63
3,2:30.0,T. Snell enters the game for K. Middleton,,90,63
3,2:30.0,,G. Dieng enters the game for K. Towns,90,63
3,2:30.0,,T. Gibson misses free throw 2 of 2,90,63
3,2:28.0,Defensive rebound by J. Henson,,90,63
3,2:19.0,T. Snell misses 3-pt jump shot from 25 ft,,90,63
3,2:16.0,,Defensive rebound by J. Okogie,90,63
3,2:00.0,,T. Jones makes 2-pt layup from 1 ft (assist by D. Rose),90,65
3,1:46.0,D. DiVincenzo makes 2-pt jump shot from 13 ft,,92,65
3,1:32.0,,T. Jones misses 2-pt jump shot from 11 ft (block by J. Henson),92,65
3,1:29.0,Defensive rebound by M. Brogdon,,92,65
3,1:26.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,92,65
3,1:25.0,Offensive rebound by E. İlyasova,,92,65
3,1:25.0,E. İlyasova makes 2-pt layup from 1 ft,,94,65
3,1:08.0,,D. Rose misses 2-pt jump shot from 16 ft,94,65
3,1:08.0,Defensive rebound by Team,,94,65
3,1:08.0,,Loose ball foul by T. Gibson (drawn by E. İlyasova),94,65
3,1:08.0,,A. Tolliver enters the game for T. Gibson,94,65
3,1:01.0,Milwaukee full timeout,,94,65
3,0:49.0,J. Henson makes 3-pt jump shot from 23 ft,,97,65
3,0:34.0,,D. Rose makes 2-pt hook shot from 6 ft,97,67
3,0:19.0,Turnover by M. Brogdon (step out of bounds),,97,67
3,0:02.0,,J. Okogie misses 3-pt jump shot from 23 ft,97,67
3,0:01.0,Defensive rebound by J. Henson,,97,67
4,11:50.0,,D. Rose misses 2-pt jump shot from 20 ft,97,67
4,11:46.0,Defensive rebound by J. Henson,,97,67
4,11:31.0,T. Maker makes 3-pt jump shot from 23 ft (assist by T. Snell),,100,67
4,11:13.0,,G. Dieng misses 2-pt jump shot from 16 ft,100,67
4,11:10.0,Defensive rebound by J. Henson,,100,67
4,11:02.0,J. Henson misses 3-pt jump shot from 26 ft,,100,67
4,10:58.0,,Defensive rebound by A. Tolliver,100,67
4,10:51.0,,T. Jones makes 3-pt jump shot from 25 ft,100,70
4,10:38.0,T. Snell makes 2-pt layup from 1 ft (assist by M. Brogdon),,102,70
4,10:28.0,,G. Dieng makes 2-pt layup from 1 ft (assist by T. Jones),102,72
4,10:19.0,P. Connaughton makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,105,72
4,10:07.0,,Personal take foul by P. Connaughton (drawn by D. Rose),105,72
4,10:07.0,S. Brown enters the game for M. Brogdon,,105,72
4,10:07.0,M. Dellavedova enters the game for J. Henson,,105,72
4,9:58.0,,Shooting foul by T. Maker (drawn by D. Rose),105,72
4,9:58.0,,D. Rose makes free throw 1 of 2,105,73
4,9:58.0,,D. Rose makes free throw 2 of 2,105,74
4,9:43.0,Turnover by T. Snell (bad pass),,105,74
4,9:25.0,,G. Dieng misses 3-pt jump shot from 25 ft,105,74
4,9:23.0,Defensive rebound by P. Connaughton,,105,74
4,9:14.0,T. Snell misses 3-pt jump shot from 27 ft,,105,74
4,9:11.0,,Defensive rebound by A. Tolliver,105,74
4,9:01.0,,D. Rose misses 3-pt jump shot from 22 ft,105,74
4,8:59.0,,Offensive rebound by L. Deng,105,74
4,8:59.0,,L. Deng makes 2-pt layup at rim,105,76
4,8:43.0,P. Connaughton misses 3-pt jump shot from 25 ft,,105,76
4,8:40.0,,Defensive rebound by L. Deng,105,76
4,8:34.0,,T. Jones misses 3-pt jump shot from 27 ft,105,76
4,8:33.0,Defensive rebound by Team,,105,76
4,8:33.0,,Loose ball foul by G. Dieng (drawn by T. Maker),105,76
4,8:16.0,Turnover by S. Brown (lost ball; steal by D. Rose),,105,76
4,8:12.0,,L. Deng makes 2-pt layup from 2 ft,105,78
4,7:55.0,Turnover by M. Dellavedova (bad pass),,105,78
4,7:43.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Rose),105,81
4,7:30.0,T. Snell misses 2-pt jump shot from 10 ft,,105,81
4,7:27.0,,Defensive rebound by G. Dieng,105,81
4,7:24.0,,L. Deng misses 3-pt jump shot from 25 ft,105,81
4,7:22.0,,Offensive rebound by A. Tolliver,105,81
4,7:22.0,,A. Tolliver misses 2-pt layup at rim,105,81
4,7:20.0,Defensive rebound by T. Maker,,105,81
4,7:11.0,Shooting foul by T. Jones (drawn by T. Maker),,105,81
4,7:11.0,T. Maker misses free throw 1 of 2,,105,81
4,7:11.0,Offensive rebound by Team,,105,81
