QUARTER,TIME_REMAINING,TORONTO_ACTION,MEMPHIS_ACTION,TORONTO_SCORE,MEMPHIS_SCORE
2,11:50.0,,Personal foul by C. Miles (drawn by O. Casspi),31,32
2,11:45.0,,O. Casspi misses 2-pt jump shot from 4 ft,31,32
2,11:38.0,,Offensive rebound by O. Casspi,31,32
2,11:38.0,,O. Casspi makes 2-pt layup at rim,31,34
2,11:22.0,Turnover by J. Valančiūnas (lost ball; steal by S. Mack),,31,34
2,11:13.0,,O. Casspi makes 2-pt layup from 3 ft (assist by W. Selden),31,36
2,11:13.0,,Shooting foul by O. Anunoby (drawn by O. Casspi),31,36
2,11:13.0,,O. Casspi makes free throw 1 of 1,31,37
2,10:59.0,D. Wright misses 2-pt layup from 7 ft,,31,37
2,10:58.0,Offensive rebound by J. Valančiūnas,,31,37
2,10:58.0,Shooting foul by O. Casspi (drawn by J. Valančiūnas),,31,37
2,10:58.0,J. Valančiūnas makes free throw 1 of 2,,32,37
2,10:58.0,J. Valančiūnas makes free throw 2 of 2,,33,37
2,10:45.0,,S. Mack misses 2-pt jump shot from 7 ft,33,37
2,10:41.0,Defensive rebound by J. Valančiūnas,,33,37
2,10:37.0,C. Miles makes 3-pt jump shot from 22 ft (assist by D. Wright),,36,37
2,10:20.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by W. Selden),36,40
2,10:02.0,J. Valančiūnas makes 2-pt jump shot from 8 ft,,38,40
2,9:51.0,,J. Jackson misses 2-pt hook shot from 5 ft,38,40
2,9:51.0,Defensive rebound by Team,,38,40
2,9:35.0,Turnover by F. VanVleet (out of bounds lost ball),,38,40
2,9:22.0,,G. Temple makes 2-pt jump shot from 21 ft,38,42
2,9:06.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,41,42
2,8:54.0,,J. Jackson misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),41,42
2,8:54.0,,Offensive rebound by Team,41,42
2,8:54.0,,M. Conley enters the game for W. Selden,41,42
2,8:49.0,,O. Casspi misses 2-pt hook shot from 2 ft,41,42
2,8:46.0,,Offensive rebound by M. Conley,41,42
2,8:45.0,,Turnover by M. Conley (lost ball; steal by F. VanVleet),41,42
2,8:35.0,F. VanVleet makes 2-pt jump shot from 19 ft (assist by C. Miles),,43,42
2,8:20.0,,S. Mack makes 2-pt jump shot from 16 ft,43,44
2,8:05.0,Turnover by J. Valančiūnas (lost ball; steal by S. Mack),,43,44
2,8:01.0,,M. Conley makes 2-pt jump shot from 6 ft (assist by S. Mack),43,46
2,7:46.0,Turnover by O. Anunoby (bad pass; steal by G. Temple),,43,46
2,7:43.0,,Shooting foul by F. VanVleet (drawn by G. Temple),43,46
2,7:43.0,,G. Temple makes free throw 1 of 2,43,47
2,7:43.0,,J. Green enters the game for O. Casspi,43,47
2,7:43.0,,G. Temple makes free throw 2 of 2,43,48
2,7:43.0,Toronto full timeout,,43,48
2,7:43.0,K. Leonard enters the game for C. Miles,,43,48
2,7:43.0,,K. Anderson enters the game for G. Temple,43,48
2,7:18.0,O. Anunoby misses 3-pt jump shot from 25 ft,,43,48
2,7:16.0,,Defensive rebound by J. Jackson,43,48
2,7:10.0,,Shooting foul by J. Valančiūnas (drawn by J. Jackson),43,48
2,7:10.0,,J. Jackson makes free throw 1 of 2,43,49
2,7:10.0,S. Ibaka enters the game for O. Anunoby,,43,49
2,7:10.0,K. Lowry enters the game for J. Valančiūnas,,43,49
2,7:10.0,P. Siakam enters the game for F. VanVleet,,43,49
2,7:10.0,,J. Jackson makes free throw 2 of 2,43,50
2,6:57.0,Personal foul by J. Green (drawn by K. Leonard),,43,50
2,6:47.0,K. Lowry misses 2-pt layup from 4 ft (block by M. Conley),,43,50
2,6:44.0,,Defensive rebound by M. Conley,43,50
2,6:32.0,,M. Conley makes 2-pt jump shot from 14 ft,43,52
2,6:21.0,Shooting foul by J. Jackson (drawn by K. Lowry),,43,52
2,6:21.0,K. Lowry misses free throw 1 of 2,,43,52
2,6:21.0,Offensive rebound by Team,,43,52
2,6:21.0,D. Green enters the game for D. Wright,,43,52
2,6:21.0,,M. Gasol enters the game for J. Jackson,43,52
2,6:21.0,K. Lowry makes free throw 2 of 2,,44,52
2,6:03.0,,S. Mack makes 2-pt jump shot from 10 ft,44,54
2,5:47.0,D. Green makes 2-pt layup from 3 ft,,46,54
2,5:33.0,,J. Green makes 2-pt hook shot from 4 ft,46,56
2,5:26.0,Turnover by K. Lowry (bad pass; steal by M. Conley),,46,56
2,5:17.0,,J. Green misses 2-pt layup from 2 ft (block by K. Leonard),46,56
2,5:13.0,,Offensive rebound by J. Green,46,56
2,5:12.0,,S. Mack misses 3-pt jump shot from 23 ft,46,56
2,5:10.0,Defensive rebound by P. Siakam,,46,56
2,5:04.0,P. Siakam makes 2-pt layup from 4 ft,,48,56
2,4:41.0,,M. Gasol misses 2-pt hook shot from 7 ft,48,56
2,4:38.0,Defensive rebound by D. Green,,48,56
2,4:36.0,Turnover by P. Siakam (lost ball; steal by K. Anderson),,48,56
2,4:24.0,,M. Gasol makes 2-pt hook shot from 5 ft (assist by S. Mack),48,58
2,4:24.0,,O. Casspi enters the game for J. Green,48,58
2,4:05.0,K. Lowry misses 3-pt jump shot from 25 ft,,48,58
2,4:03.0,,Defensive rebound by O. Casspi,48,58
2,3:47.0,,M. Gasol misses 2-pt jump shot from 14 ft,48,58
2,3:45.0,Defensive rebound by P. Siakam,,48,58
2,3:38.0,S. Ibaka misses 2-pt hook shot from 6 ft,,48,58
2,3:35.0,,Defensive rebound by O. Casspi,48,58
2,3:28.0,,O. Casspi misses 3-pt jump shot from 24 ft,48,58
2,3:25.0,Defensive rebound by K. Leonard,,48,58
2,3:11.0,K. Leonard misses 2-pt layup from 3 ft,,48,58
2,3:08.0,,Defensive rebound by S. Mack,48,58
2,2:59.0,,S. Mack makes 2-pt jump shot from 12 ft (assist by O. Casspi),48,60
2,2:48.0,Shooting foul by O. Casspi (drawn by P. Siakam),,48,60
2,2:48.0,,Memphis full timeout,48,60
2,2:48.0,P. Siakam makes free throw 1 of 2,,49,60
2,2:48.0,P. Siakam makes free throw 2 of 2,,50,60
2,2:36.0,,Turnover by K. Anderson (lost ball; steal by K. Leonard),50,60
2,2:36.0,Personal take foul by K. Anderson (drawn by K. Leonard),,50,60
2,2:36.0,K. Leonard misses free throw 1 of 2,,50,60
2,2:36.0,Offensive rebound by Team,,50,60
2,2:36.0,K. Leonard makes free throw 2 of 2,,51,60
2,2:20.0,,M. Gasol makes 2-pt hook shot from 5 ft (assist by M. Conley),51,62
2,2:04.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,54,62
2,1:56.0,,Personal foul by S. Ibaka (drawn by M. Gasol),54,62
2,1:56.0,Technical foul by S. Ibaka,,54,62
2,1:56.0,,M. Conley makes technical free throw,54,63
2,1:56.0,,M. Gasol makes free throw 1 of 2,54,64
2,1:56.0,,G. Temple enters the game for S. Mack,54,64
2,1:56.0,,M. Gasol makes free throw 2 of 2,54,65
2,1:41.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by S. Ibaka),,57,65
2,1:26.0,,O. Casspi makes 3-pt jump shot from 26 ft (assist by M. Conley),57,68
2,1:15.0,K. Lowry makes 2-pt layup from 2 ft,,59,68
2,0:55.0,,M. Conley misses 2-pt jump shot from 7 ft,59,68
2,0:53.0,Defensive rebound by S. Ibaka,,59,68
2,0:47.0,P. Siakam misses 2-pt jump shot from 6 ft,,59,68
2,0:44.0,,Defensive rebound by G. Temple,59,68
2,0:32.0,,Personal foul by K. Leonard (drawn by O. Casspi),59,68
2,0:32.0,,Technical foul by N. Nurse,59,68
2,0:32.0,,M. Conley makes technical free throw,59,69
2,0:32.0,,O. Casspi makes free throw 1 of 2,59,70
2,0:32.0,,O. Casspi makes free throw 2 of 2,59,71
2,0:14.0,,Violation by Team (kicked ball),59,71
2,0:14.0,,S. Mack enters the game for O. Casspi,59,71
2,0:00.0,K. Lowry misses 2-pt jump shot from 16 ft (block by M. Conley),,59,71
2,0:00.0,,Defensive rebound by M. Conley,59,71
3,11:37.0,,M. Gasol makes 3-pt jump shot from 24 ft (assist by M. Conley),59,74
3,11:13.0,Turnover by S. Ibaka (lost ball; steal by M. Conley),,59,74
3,10:50.0,,G. Temple misses 2-pt jump shot from 14 ft (block by S. Ibaka),59,74
3,10:47.0,Defensive rebound by S. Ibaka,,59,74
3,10:40.0,D. Green misses 3-pt jump shot from 26 ft,,59,74
3,10:37.0,,Defensive rebound by M. Gasol,59,74
3,10:19.0,,M. Conley misses 2-pt jump shot from 8 ft,59,74
3,10:09.0,,Offensive rebound by K. Anderson,59,74
3,10:09.0,,K. Anderson makes 2-pt layup from 1 ft,59,76
3,10:01.0,Shooting foul by M. Gasol (drawn by S. Ibaka),,59,76
3,10:01.0,S. Ibaka makes free throw 1 of 2,,60,76
3,10:01.0,S. Ibaka makes free throw 2 of 2,,61,76
3,9:41.0,,M. Gasol makes 2-pt jump shot from 13 ft,61,78
3,9:34.0,K. Leonard makes 2-pt jump shot from 10 ft,,63,78
3,9:16.0,,Personal foul by P. Siakam (drawn by J. Jackson),63,78
3,9:09.0,,Turnover by M. Gasol (bad pass),63,78
3,9:02.0,K. Lowry makes 3-pt jump shot from 25 ft,,66,78
3,8:39.0,,J. Jackson makes 2-pt hook shot from 4 ft (assist by M. Conley),66,80
3,8:24.0,S. Ibaka makes 2-pt jump shot from 15 ft (assist by K. Lowry),,68,80
3,8:05.0,,M. Conley misses 2-pt layup from 4 ft (block by P. Siakam),68,80
3,8:02.0,Defensive rebound by K. Leonard,,68,80
3,8:02.0,Personal foul by K. Anderson (drawn by K. Leonard),,68,80
3,7:52.0,Turnover by K. Leonard (bad pass),,68,80
3,7:38.0,,M. Conley makes 3-pt jump shot from 25 ft,68,83
3,7:25.0,Shooting foul by M. Gasol (drawn by K. Leonard),,68,83
3,7:25.0,K. Leonard makes free throw 1 of 2,,69,83
3,7:25.0,K. Leonard makes free throw 2 of 2,,70,83
3,7:04.0,,K. Anderson misses 3-pt jump shot from 22 ft,70,83
3,6:58.0,Defensive rebound by P. Siakam,,70,83
3,6:52.0,D. Green makes 3-pt jump shot from 25 ft (assist by P. Siakam),,73,83
3,6:52.0,,Memphis full timeout,73,83
3,6:30.0,,M. Gasol makes 3-pt jump shot from 30 ft (assist by M. Conley),73,86
3,6:20.0,K. Leonard makes 2-pt layup from 2 ft,,75,86
3,6:10.0,,J. Jackson misses 2-pt hook shot from 3 ft,75,86
3,6:08.0,Defensive rebound by K. Lowry,,75,86
3,6:05.0,Shooting foul by G. Temple (drawn by K. Lowry),,75,86
3,6:05.0,K. Lowry makes free throw 1 of 2,,76,86
3,6:05.0,K. Lowry makes free throw 2 of 2,,77,86
3,5:52.0,,M. Conley misses 3-pt jump shot from 27 ft,77,86
3,5:50.0,Defensive rebound by D. Green,,77,86
3,5:35.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Lowry),,79,86
3,5:23.0,,Turnover by J. Jackson (traveling),79,86
3,5:23.0,,J. Green enters the game for J. Jackson,79,86
3,5:04.0,K. Lowry misses 2-pt jump shot from 21 ft,,79,86
3,5:00.0,,Defensive rebound by K. Anderson,79,86
3,4:53.0,,M. Gasol misses 3-pt jump shot from 25 ft,79,86
3,4:49.0,Defensive rebound by K. Leonard,,79,86
3,4:43.0,Shooting foul by K. Anderson (drawn by K. Leonard),,79,86
3,4:43.0,K. Leonard makes free throw 1 of 3,,80,86
3,4:43.0,K. Leonard misses free throw 2 of 3,,80,86
3,4:43.0,Offensive rebound by Team,,80,86
3,4:43.0,K. Leonard makes free throw 3 of 3,,81,86
3,4:23.0,,K. Anderson makes 2-pt jump shot from 3 ft (assist by G. Temple),81,88
3,4:23.0,,Shooting foul by K. Leonard (drawn by K. Anderson),81,88
3,4:23.0,,K. Anderson makes free throw 1 of 1,81,89
3,4:11.0,Shooting foul by G. Temple (drawn by K. Leonard),,81,89
3,4:11.0,K. Leonard makes free throw 1 of 2,,82,89
3,4:11.0,,S. Mack enters the game for M. Conley,82,89
3,4:11.0,K. Leonard misses free throw 2 of 2,,82,89
3,4:11.0,,Defensive rebound by J. Green,82,89
3,4:11.0,,Personal foul by P. Siakam (drawn by J. Green),82,89
3,4:11.0,,Memphis full timeout,82,89
3,3:47.0,,J. Green misses 2-pt layup from 3 ft,82,89
3,3:45.0,Defensive rebound by K. Leonard,,82,89
3,3:41.0,S. Ibaka makes 2-pt layup from 2 ft (assist by K. Leonard),,84,89
3,3:27.0,,Personal foul by S. Ibaka (drawn by M. Gasol),84,89
3,3:19.0,,J. Green makes 2-pt jump shot from 11 ft (assist by G. Temple),84,91
3,2:53.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by K. Lowry),,86,91
3,2:38.0,,Shooting foul by P. Siakam (drawn by J. Green),86,91
3,2:38.0,,J. Green makes free throw 1 of 2,86,92
3,2:38.0,O. Anunoby enters the game for K. Leonard,,86,92
3,2:38.0,F. VanVleet enters the game for P. Siakam,,86,92
3,2:38.0,,W. Selden enters the game for G. Temple,86,92
3,2:38.0,,J. Green makes free throw 2 of 2,86,93
3,2:24.0,K. Lowry makes 3-pt jump shot from 30 ft,,89,93
3,2:02.0,,W. Selden misses 3-pt jump shot from 26 ft,89,93
3,1:59.0,Defensive rebound by F. VanVleet,,89,93
3,1:55.0,F. VanVleet makes 2-pt layup from 2 ft,,91,93
3,1:40.0,,Personal foul by S. Ibaka (drawn by M. Gasol),91,93
3,1:40.0,,M. Gasol misses free throw 1 of 2,91,93
3,1:40.0,,Offensive rebound by Team,91,93
3,1:40.0,,M. Conley enters the game for K. Anderson,91,93
3,1:40.0,,M. Gasol makes free throw 2 of 2,91,94
3,1:25.0,K. Lowry makes 2-pt layup from 3 ft (assist by F. VanVleet),,93,94
3,1:13.0,,W. Selden misses 2-pt dunk from 2 ft,93,94
3,1:12.0,,Offensive rebound by M. Conley,93,94
3,1:12.0,,M. Conley makes 2-pt jump shot from 11 ft,93,96
3,1:12.0,,Shooting foul by F. VanVleet (drawn by M. Conley),93,96
3,1:12.0,,O. Casspi enters the game for S. Mack,93,96
3,1:12.0,,M. Conley makes free throw 1 of 1,93,97
3,0:59.0,D. Green misses 3-pt jump shot from 22 ft,,93,97
3,0:56.0,,Defensive rebound by O. Casspi,93,97
3,0:48.0,,Turnover by O. Casspi (traveling),93,97
3,0:27.0,O. Anunoby misses 2-pt layup from 3 ft (block by M. Gasol),,93,97
3,0:24.0,,Defensive rebound by M. Gasol,93,97
3,0:04.0,,M. Conley misses 3-pt jump shot from 26 ft,93,97
3,0:02.0,,Offensive rebound by Team,93,97
3,0:02.0,,Turnover by Team (shot clock),93,97
3,0:02.0,J. Valančiūnas enters the game for S. Ibaka,,93,97
3,0:00.0,Toronto full timeout,,93,97
4,11:40.0,Turnover by J. Valančiūnas (out of bounds lost ball),,93,97
4,11:21.0,,Turnover by M. Conley (bad pass; steal by F. VanVleet),93,97
4,11:13.0,K. Leonard misses 2-pt layup from 2 ft (block by J. Jackson),,93,97
4,11:12.0,,Defensive rebound by Team,93,97
4,10:52.0,,Offensive foul by J. Jackson (drawn by D. Wright),93,97
4,10:52.0,,Turnover by J. Jackson (offensive foul),93,97
4,10:35.0,O. Anunoby makes 2-pt layup from 2 ft,,95,97
4,10:35.0,Shooting foul by J. Jackson (drawn by O. Anunoby),,95,97
4,10:35.0,O. Anunoby misses free throw 1 of 1,,95,97
4,10:31.0,,Defensive rebound by J. Jackson,95,97
4,10:24.0,,J. Green misses 3-pt jump shot from 25 ft,95,97
4,10:20.0,Defensive rebound by K. Leonard,,95,97
4,10:08.0,O. Anunoby misses 3-pt jump shot from 23 ft,,95,97
4,10:07.0,,Defensive rebound by O. Casspi,95,97
4,9:58.0,,W. Selden makes 3-pt jump shot from 23 ft (assist by O. Casspi),95,100
4,9:41.0,Turnover by D. Wright (palming),,95,100
4,9:27.0,,M. Conley makes 2-pt jump shot from 17 ft,95,102
4,9:16.0,Shooting foul by M. Conley (drawn by F. VanVleet),,95,102
4,9:16.0,F. VanVleet misses free throw 1 of 2,,95,102
4,9:16.0,Offensive rebound by Team,,95,102
4,9:16.0,,M. Gasol enters the game for M. Conley,95,102
4,9:16.0,,S. Mack enters the game for J. Green,95,102
4,9:16.0,F. VanVleet makes free throw 2 of 2,,96,102
4,8:58.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by S. Mack),96,105
4,8:40.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by D. Wright),,99,105
4,8:16.0,,W. Selden misses 3-pt jump shot from 24 ft,99,105
4,8:13.0,Defensive rebound by K. Leonard,,99,105
4,7:55.0,D. Wright makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,102,105
4,7:32.0,,S. Mack misses 3-pt jump shot from 26 ft,102,105
4,7:28.0,Defensive rebound by J. Valančiūnas,,102,105
4,7:16.0,K. Leonard misses 3-pt jump shot from 22 ft,,102,105
4,7:13.0,,Defensive rebound by S. Mack,102,105
4,6:58.0,,W. Selden misses 2-pt jump shot from 21 ft,102,105
4,6:54.0,Defensive rebound by K. Leonard,,102,105
4,6:48.0,F. VanVleet makes 3-pt jump shot from 24 ft (assist by K. Leonard),,105,105
4,6:47.0,,Memphis full timeout,105,105
4,6:47.0,K. Lowry enters the game for K. Leonard,,105,105
4,6:47.0,,K. Anderson enters the game for O. Casspi,105,105
4,6:47.0,,M. Conley enters the game for J. Jackson,105,105
4,6:47.0,,G. Temple enters the game for W. Selden,105,105
4,6:26.0,,M. Conley misses 3-pt jump shot from 25 ft,105,105
4,6:22.0,Defensive rebound by K. Lowry,,105,105
4,6:13.0,K. Lowry makes 2-pt jump shot from 8 ft,,107,105
4,5:56.0,,Offensive foul by G. Temple (drawn by O. Anunoby),107,105
4,5:56.0,,Turnover by G. Temple (offensive foul),107,105
4,5:45.0,Turnover by K. Lowry (bad pass; steal by M. Conley),,107,105
4,5:32.0,,K. Anderson makes 2-pt layup from 3 ft (assist by M. Conley),107,107
4,5:10.0,D. Wright misses 2-pt layup from 1 ft (block by M. Gasol),,107,107
4,5:05.0,,Defensive rebound by K. Anderson,107,107
4,5:02.0,,G. Temple misses 3-pt jump shot from 23 ft,107,107
4,5:01.0,Defensive rebound by O. Anunoby,,107,107
4,5:01.0,Toronto full timeout,,107,107
4,5:01.0,S. Ibaka enters the game for O. Anunoby,,107,107
4,5:01.0,K. Leonard enters the game for J. Valančiūnas,,107,107
4,5:01.0,P. Siakam enters the game for D. Wright,,107,107
4,4:49.0,S. Ibaka misses 3-pt jump shot from 23 ft,,107,107
4,4:45.0,Offensive rebound by Team,,107,107
4,4:45.0,,J. Green enters the game for S. Mack,107,107
4,4:35.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by K. Leonard),,110,107
4,4:09.0,,M. Conley misses 2-pt jump shot from 7 ft,110,107
4,4:06.0,Defensive rebound by K. Leonard,,110,107
4,4:02.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by K. Leonard),,113,107
4,3:38.0,,K. Anderson makes 2-pt layup from 3 ft (assist by M. Gasol),113,109
4,3:27.0,Toronto full timeout,,113,109
4,3:14.0,K. Lowry misses 3-pt jump shot from 25 ft,,113,109
4,3:10.0,,Defensive rebound by M. Gasol,113,109
4,2:51.0,,Shooting foul by F. VanVleet (drawn by M. Conley),113,109
4,2:51.0,,M. Conley misses free throw 1 of 2,113,109
4,2:51.0,,Offensive rebound by Team,113,109
4,2:51.0,,M. Conley misses free throw 2 of 2,113,109
4,2:49.0,Defensive rebound by P. Siakam,,113,109
4,2:33.0,Personal foul by G. Temple (drawn by K. Leonard),,113,109
4,2:29.0,Offensive foul by S. Ibaka (drawn by K. Anderson),,113,109
4,2:29.0,Turnover by S. Ibaka (offensive foul),,113,109
4,2:09.0,,G. Temple misses 3-pt jump shot from 25 ft,113,109
4,2:07.0,Defensive rebound by K. Leonard,,113,109
4,2:03.0,F. VanVleet makes 3-pt jump shot from 24 ft (assist by K. Leonard),,116,109
4,2:00.0,,Memphis full timeout,116,109
4,1:40.0,,M. Conley misses 2-pt jump shot from 7 ft,116,109
4,1:37.0,,Offensive rebound by J. Green,116,109
4,1:27.0,,M. Conley misses 2-pt jump shot from 21 ft,116,109
4,1:25.0,,Offensive rebound by K. Anderson,116,109
4,1:25.0,,K. Anderson makes 2-pt layup from 3 ft,116,111
4,1:07.0,K. Leonard misses 3-pt jump shot from 25 ft,,116,111
4,1:04.0,Offensive rebound by F. VanVleet,,116,111
4,1:04.0,Personal foul by M. Conley (drawn by F. VanVleet),,116,111
4,0:56.0,K. Leonard makes 3-pt jump shot from 25 ft,,119,111
4,0:45.0,,M. Conley makes 3-pt jump shot from 24 ft (assist by G. Temple),119,114
4,0:36.0,Personal take foul by M. Conley (drawn by P. Siakam),,119,114
4,0:36.0,P. Siakam misses free throw 1 of 2,,119,114
4,0:36.0,Offensive rebound by Team,,119,114
4,0:36.0,P. Siakam makes free throw 2 of 2,,120,114
4,0:28.0,,Turnover by M. Conley (lost ball; steal by F. VanVleet),120,114
