QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
4,6:45.0,,S. Harrison enters the game for B. Sampson,84,75
4,6:45.0,,R. Arcidiacono misses free throw 2 of 2,84,75
4,6:42.0,Defensive rebound by D. Dotson,,84,75
4,6:28.0,J. Jenkins misses 3-pt jump shot from 23 ft,,84,75
4,6:25.0,,Defensive rebound by C. Felício,84,75
4,6:18.0,,R. Arcidiacono makes 2-pt jump shot from 9 ft,84,77
4,6:09.0,New York full timeout,,84,77
4,6:09.0,K. Knox enters the game for J. Jenkins,,84,77
4,5:54.0,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Smith),,84,77
4,5:54.0,D. Smith misses free throw 1 of 2,,84,77
4,5:54.0,Offensive rebound by Team,,84,77
4,5:54.0,D. Smith misses free throw 2 of 2,,84,77
4,5:51.0,,Defensive rebound by J. Sampson,84,77
4,5:36.0,,J. Sampson misses 2-pt jump shot from 4 ft,84,77
4,5:33.0,Defensive rebound by M. Robinson,,84,77
4,5:15.0,K. Knox misses 2-pt jump shot from 12 ft,,84,77
4,5:12.0,,Defensive rebound by J. Sampson,84,77
4,5:06.0,,Turnover by S. Harrison (bad pass),84,77
4,4:54.0,D. Dotson misses 2-pt jump shot from 20 ft,,84,77
4,4:53.0,,Defensive rebound by Team,84,77
4,4:32.0,,S. Harrison makes 2-pt layup from 2 ft (assist by J. Sampson),84,79
4,4:18.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Smith),,84,79
4,4:18.0,D. Smith makes free throw 1 of 2,,85,79
4,4:18.0,D. Smith makes free throw 2 of 2,,86,79
4,4:06.0,,Shooting foul by M. Robinson (drawn by J. Sampson),86,79
4,4:06.0,,J. Sampson misses free throw 1 of 2,86,79
4,4:06.0,,Offensive rebound by Team,86,79
4,4:06.0,,J. Sampson misses free throw 2 of 2,86,79
4,3:57.0,Defensive rebound by Team,,86,79
4,3:43.0,Turnover by D. Dotson (bad pass; steal by J. Sampson),,86,79
