QUARTER,TIME_REMAINING,TORONTO_ACTION,GOLDEN STATE_ACTION,TORONTO_SCORE,GOLDEN STATE_SCORE
1,1:10.0,,Defensive rebound by Team,28,20
1,0:59.0,,K. Durant misses 2-pt jump shot from 13 ft,28,20
1,0:58.0,,Offensive rebound by S. Livingston,28,20
1,0:54.0,,K. Looney misses 2-pt layup from 2 ft,28,20
1,0:53.0,Defensive rebound by J. Valančiūnas,,28,20
1,0:33.0,Shooting foul by K. Durant (drawn by K. Lowry),,28,20
1,0:33.0,K. Lowry makes free throw 1 of 2,,29,20
1,0:33.0,K. Lowry misses free throw 2 of 2,,29,20
1,0:32.0,Offensive rebound by Team,,29,20
1,0:31.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by K. Lowry),,31,20
1,0:21.0,,K. Durant misses 2-pt layup from 2 ft,31,20
1,0:20.0,,Offensive rebound by K. Looney,31,20
1,0:20.0,,K. Looney makes 2-pt dunk from 1 ft,31,22
1,0:04.0,K. Lowry misses 3-pt jump shot from 26 ft,,31,22
1,0:00.0,Offensive rebound by D. Wright,,31,22
2,11:47.0,,K. Thompson misses 2-pt jump shot from 18 ft,31,22
2,11:46.0,Defensive rebound by J. Valančiūnas,,31,22
2,11:37.0,J. Valančiūnas makes 2-pt hook shot from 7 ft (assist by K. Lowry),,33,22
2,11:24.0,,Personal foul by O. Anunoby (drawn by D. Green),33,22
2,11:14.0,,K. Thompson misses 3-pt jump shot from 25 ft,33,22
2,11:12.0,Defensive rebound by P. Siakam,,33,22
2,11:02.0,P. Siakam misses 2-pt hook shot from 8 ft,,33,22
2,11:01.0,Offensive rebound by J. Valančiūnas,,33,22
2,11:00.0,Turnover by D. Wright (step out of bounds),,33,22
2,10:44.0,,Q. Cook makes 2-pt jump shot from 20 ft (assist by D. Green),33,24
2,10:17.0,J. Valančiūnas makes 2-pt layup from 6 ft (assist by K. Lowry),,35,24
2,10:02.0,,K. Thompson misses 3-pt jump shot from 27 ft,35,24
2,10:00.0,Defensive rebound by J. Valančiūnas,,35,24
2,9:40.0,D. Wright makes 2-pt hook shot from 7 ft,,37,24
2,9:35.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),37,26
2,9:28.0,K. Lowry misses 3-pt jump shot from 28 ft,,37,26
2,9:26.0,,Defensive rebound by J. Jerebko,37,26
2,9:15.0,,D. Green misses 3-pt jump shot from 26 ft,37,26
2,9:13.0,Defensive rebound by J. Valančiūnas,,37,26
2,9:11.0,O. Anunoby misses 2-pt layup from 3 ft (block by D. Green),,37,26
2,9:10.0,,Defensive rebound by Q. Cook,37,26
2,9:02.0,,Q. Cook misses 3-pt jump shot from 26 ft,37,26
2,9:00.0,Defensive rebound by P. Siakam,,37,26
2,8:51.0,D. Wright misses 2-pt layup from 8 ft,,37,26
2,8:50.0,,Defensive rebound by K. Thompson,37,26
2,8:44.0,,J. Jerebko misses 3-pt jump shot from 28 ft,37,26
2,8:42.0,Defensive rebound by J. Valančiūnas,,37,26
2,8:26.0,Turnover by P. Siakam (lost ball; steal by K. Thompson),,37,26
2,8:21.0,,K. Thompson misses 2-pt layup from 3 ft,37,26
2,8:21.0,,Offensive rebound by Team,37,26
2,8:21.0,D. Green enters the game for O. Anunoby,,37,26
2,8:21.0,C. Miles enters the game for D. Wright,,37,26
2,8:21.0,,S. Curry enters the game for S. Livingston,37,26
2,8:17.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by S. Curry),37,28
2,7:56.0,D. Green makes 2-pt layup from 3 ft,,39,28
2,7:54.0,,Personal take foul by P. Siakam (drawn by D. Green),39,28
2,7:54.0,S. Ibaka enters the game for J. Valančiūnas,,39,28
2,7:37.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),39,31
2,7:28.0,Toronto full timeout,,39,31
2,7:28.0,,K. Looney enters the game for J. Jerebko,39,31
2,7:10.0,S. Ibaka misses 3-pt jump shot from 27 ft,,39,31
2,7:08.0,,Defensive rebound by Q. Cook,39,31
2,6:46.0,,Q. Cook makes 2-pt jump shot from 20 ft (assist by D. Green),39,33
2,6:23.0,P. Siakam makes 3-pt jump shot from 22 ft (assist by D. Green),,42,33
2,6:12.0,,D. Green misses 3-pt jump shot from 27 ft,42,33
2,6:10.0,Defensive rebound by S. Ibaka,,42,33
2,5:56.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Lowry),,44,33
2,5:44.0,,Personal foul by C. Miles (drawn by Q. Cook),44,33
2,5:44.0,,K. Durant enters the game for D. Green,44,33
2,5:44.0,,J. Jerebko enters the game for K. Thompson,44,33
2,5:35.0,,S. Curry misses 3-pt jump shot from 26 ft,44,33
2,5:33.0,Defensive rebound by S. Ibaka,,44,33
2,5:25.0,D. Green makes 2-pt layup from 3 ft (assist by K. Lowry),,46,33
2,5:04.0,,K. Looney misses 2-pt hook shot from 3 ft,46,33
2,5:04.0,Defensive rebound by Team,,46,33
2,4:56.0,C. Miles misses 2-pt jump shot from 19 ft,,46,33
2,4:55.0,,Defensive rebound by K. Looney,46,33
2,4:45.0,,Q. Cook misses 3-pt jump shot from 27 ft,46,33
2,4:43.0,Defensive rebound by S. Ibaka,,46,33
2,4:38.0,D. Green misses 3-pt jump shot from 26 ft,,46,33
2,4:36.0,,Defensive rebound by K. Durant,46,33
2,4:26.0,,Turnover by K. Durant (step out of bounds),46,33
2,4:26.0,F. VanVleet enters the game for K. Lowry,,46,33
2,4:09.0,S. Ibaka makes 2-pt jump shot from 11 ft (assist by F. VanVleet),,48,33
2,3:55.0,,Turnover by K. Looney (off goaltending),48,33
2,3:55.0,,S. Livingston enters the game for Q. Cook,48,33
2,3:38.0,S. Ibaka misses 2-pt jump shot from 18 ft,,48,33
2,3:37.0,,Defensive rebound by K. Durant,48,33
2,3:32.0,,Turnover by K. Durant (lost ball; steal by P. Siakam),48,33
2,3:26.0,S. Ibaka misses 2-pt jump shot from 6 ft (block by J. Jerebko),,48,33
2,3:25.0,Offensive rebound by Team,,48,33
2,3:25.0,K. Lowry enters the game for C. Miles,,48,33
2,3:25.0,,D. Green enters the game for J. Jerebko,48,33
2,3:25.0,,K. Thompson enters the game for K. Looney,48,33
2,3:09.0,P. Siakam misses 3-pt jump shot from 23 ft,,48,33
2,3:07.0,,Defensive rebound by K. Durant,48,33
2,2:52.0,,K. Durant makes 2-pt jump shot from 13 ft,48,35
2,2:30.0,K. Lowry makes 3-pt jump shot from 28 ft (assist by F. VanVleet),,51,35
2,2:11.0,,Personal foul by D. Green (drawn by K. Durant),51,35
2,2:11.0,,Golden State full timeout,51,35
2,2:07.0,,Personal foul by F. VanVleet (drawn by S. Curry),51,35
2,2:07.0,,S. Curry makes free throw 1 of 2,51,36
2,2:07.0,,S. Curry makes free throw 2 of 2,51,37
2,1:55.0,Personal foul by S. Curry (drawn by D. Green),,51,37
2,1:44.0,K. Lowry makes 2-pt jump shot from 21 ft,,53,37
2,1:22.0,,S. Livingston misses 2-pt jump shot from 10 ft,53,37
2,1:21.0,,Offensive rebound by S. Curry,53,37
2,1:18.0,,S. Curry misses 2-pt layup from 3 ft,53,37
2,1:17.0,Defensive rebound by S. Ibaka,,53,37
2,1:13.0,S. Ibaka makes 2-pt hook shot from 9 ft (assist by P. Siakam),,55,37
2,1:01.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Green),55,39
2,0:37.0,S. Ibaka misses 2-pt jump shot from 13 ft,,55,39
2,0:36.0,,Defensive rebound by K. Durant,55,39
2,0:29.0,,K. Durant makes 2-pt dunk from 2 ft,55,41
2,0:07.0,D. Green makes 2-pt jump shot from 11 ft,,57,41
2,0:02.0,,K. Thompson misses 3-pt jump shot from 23 ft,57,41
2,0:00.0,Defensive rebound by K. Lowry,,57,41
3,11:49.0,,S. Curry makes 2-pt jump shot from 18 ft,57,43
3,11:19.0,D. Green makes 2-pt hook shot from 11 ft,,59,43
3,11:00.0,,K. Durant misses 2-pt layup from 2 ft,59,43
3,10:59.0,Defensive rebound by D. Green,,59,43
3,10:55.0,D. Green misses 3-pt jump shot from 26 ft,,59,43
3,10:53.0,,Defensive rebound by S. Curry,59,43
3,10:39.0,,D. Green makes 2-pt layup from 3 ft (assist by K. Durant),59,45
3,10:25.0,F. VanVleet makes 3-pt jump shot from 27 ft (assist by K. Lowry),,62,45
3,10:14.0,,K. Thompson misses 2-pt jump shot from 10 ft,62,45
3,10:13.0,Defensive rebound by S. Ibaka,,62,45
3,9:59.0,K. Lowry misses 2-pt jump shot from 18 ft,,62,45
3,9:58.0,,Defensive rebound by K. Durant,62,45
3,9:50.0,,K. Durant misses 2-pt jump shot from 18 ft,62,45
3,9:49.0,Defensive rebound by F. VanVleet,,62,45
3,9:33.0,S. Ibaka makes 2-pt dunk from 3 ft (assist by K. Lowry),,64,45
3,9:21.0,,Turnover by D. Green (bad pass; steal by K. Lowry),64,45
3,9:16.0,K. Lowry misses 3-pt jump shot from 26 ft,,64,45
3,9:14.0,,Defensive rebound by S. Curry,64,45
3,9:06.0,,Turnover by S. Curry (bad pass; steal by P. Siakam),64,45
3,9:00.0,Turnover by P. Siakam (bad pass; steal by D. Green),,64,45
3,8:50.0,,Personal foul by P. Siakam (drawn by K. Durant),64,45
3,8:45.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),64,47
3,8:26.0,Turnover by P. Siakam (lost ball; steal by S. Curry),,64,47
3,8:21.0,,S. Curry misses 3-pt jump shot from 26 ft,64,47
3,8:19.0,Defensive rebound by S. Ibaka,,64,47
3,7:58.0,Turnover by K. Lowry (bad pass),,64,47
3,7:44.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Looney),64,49
3,7:44.0,Toronto full timeout,,64,49
3,7:24.0,F. VanVleet misses 2-pt jump shot from 21 ft (block by K. Looney),,64,49
3,7:23.0,,Defensive rebound by K. Thompson,64,49
3,7:17.0,,S. Curry misses 3-pt jump shot from 26 ft,64,49
3,7:13.0,Defensive rebound by K. Lowry,,64,49
3,7:11.0,D. Green misses 3-pt jump shot from 26 ft,,64,49
3,7:09.0,,Defensive rebound by D. Green,64,49
3,6:59.0,,K. Durant misses 3-pt jump shot from 25 ft,64,49
3,6:57.0,Defensive rebound by D. Green,,64,49
3,6:52.0,P. Siakam misses 2-pt layup from 2 ft,,64,49
3,6:48.0,,Defensive rebound by K. Thompson,64,49
3,6:46.0,,K. Durant makes 3-pt jump shot from 29 ft (assist by K. Thompson),64,52
3,6:30.0,F. VanVleet misses 2-pt layup from 2 ft,,64,52
3,6:29.0,,Defensive rebound by K. Looney,64,52
3,6:20.0,,K. Thompson misses 2-pt jump shot from 13 ft,64,52
3,6:19.0,Defensive rebound by S. Ibaka,,64,52
3,6:05.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by D. Green),,66,52
3,5:44.0,,K. Thompson makes 2-pt jump shot from 12 ft (assist by K. Looney),66,54
3,5:28.0,Shooting foul by K. Durant (drawn by S. Ibaka),,66,54
3,5:28.0,S. Ibaka makes free throw 1 of 2,,67,54
3,5:28.0,,J. Jerebko enters the game for D. Green,67,54
3,5:28.0,S. Ibaka makes free throw 2 of 2,,68,54
3,5:17.0,,K. Looney misses 2-pt dunk from 3 ft (block by S. Ibaka),68,54
3,5:16.0,Defensive rebound by K. Lowry,,68,54
3,5:12.0,Shooting foul by J. Jerebko (drawn by P. Siakam),,68,54
3,5:12.0,,J. Bell enters the game for K. Looney,68,54
3,5:12.0,P. Siakam makes free throw 1 of 2,,69,54
3,5:12.0,P. Siakam makes free throw 2 of 2,,70,54
3,5:00.0,,S. Curry misses 3-pt jump shot from 25 ft,70,54
3,4:58.0,Defensive rebound by D. Green,,70,54
3,4:48.0,F. VanVleet makes 2-pt layup from 3 ft (assist by D. Green),,72,54
3,4:48.0,,Violation by Team (def goaltending),72,54
3,4:48.0,,Golden State full timeout,72,54
3,4:36.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by J. Jerebko),72,56
3,4:15.0,D. Green makes 2-pt layup from 2 ft,,74,56
3,4:08.0,,K. Durant makes 2-pt jump shot from 17 ft,74,58
3,3:51.0,P. Siakam misses 2-pt jump shot from 5 ft (block by J. Bell),,74,58
3,3:50.0,,Defensive rebound by J. Jerebko,74,58
3,3:38.0,,K. Durant makes 2-pt jump shot from 12 ft,74,60
3,3:18.0,K. Lowry makes 2-pt layup from 2 ft,,76,60
3,3:09.0,,K. Durant misses 2-pt layup from 2 ft (block by S. Ibaka),76,60
3,3:05.0,,Offensive rebound by J. Bell,76,60
3,3:02.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by J. Bell),76,62
3,2:49.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,78,62
3,2:39.0,,Turnover by S. Curry (bad pass),78,62
3,2:39.0,O. Anunoby enters the game for S. Ibaka,,78,62
3,2:39.0,G. Monroe enters the game for P. Siakam,,78,62
3,2:39.0,,A. McKinnie enters the game for K. Thompson,78,62
3,2:14.0,O. Anunoby misses 2-pt jump shot from 22 ft,,78,62
3,2:13.0,,Defensive rebound by J. Jerebko,78,62
3,2:00.0,,Turnover by K. Durant (bad pass; steal by F. VanVleet),78,62
3,1:57.0,Turnover by O. Anunoby (offensive foul),,78,62
3,1:57.0,Offensive foul by O. Anunoby (drawn by K. Durant),,78,62
3,1:57.0,D. Wright enters the game for K. Lowry,,78,62
3,1:57.0,,S. Livingston enters the game for S. Curry,78,62
3,1:46.0,,K. Durant makes 2-pt dunk from 2 ft (assist by J. Jerebko),78,64
3,1:23.0,G. Monroe makes 2-pt jump shot from 6 ft,,80,64
3,1:12.0,,Shooting foul by G. Monroe (drawn by J. Bell),80,64
3,1:12.0,,J. Bell makes free throw 1 of 2,80,65
3,1:12.0,,J. Bell misses free throw 2 of 2,80,65
3,1:10.0,Defensive rebound by O. Anunoby,,80,65
3,0:51.0,F. VanVleet misses 3-pt jump shot from 28 ft,,80,65
3,0:49.0,,Defensive rebound by J. Bell,80,65
3,0:36.0,,Turnover by K. Durant (lost ball; steal by F. VanVleet),80,65
3,0:31.0,F. VanVleet makes 2-pt layup from 1 ft,,82,65
3,0:15.0,,A. McKinnie makes 2-pt layup from 2 ft (assist by K. Durant),82,67
3,0:15.0,,Shooting foul by D. Wright (drawn by A. McKinnie),82,67
3,0:15.0,,A. McKinnie misses free throw 1 of 1,82,67
3,0:14.0,,Offensive rebound by J. Bell,82,67
3,0:11.0,,Turnover by J. Jerebko (out of bounds lost ball),82,67
3,0:11.0,,K. Looney enters the game for J. Bell,82,67
3,0:11.0,,K. Thompson enters the game for J. Jerebko,82,67
3,0:06.0,Personal take foul by K. Thompson (drawn by F. VanVleet),,82,67
3,0:02.0,F. VanVleet misses 2-pt layup from 4 ft (block by A. McKinnie),,82,67
3,0:02.0,Offensive rebound by G. Monroe,,82,67
3,0:01.0,G. Monroe misses 2-pt layup from 2 ft (block by K. Looney),,82,67
3,0:00.0,,Defensive rebound by K. Looney,82,67
4,11:41.0,D. Wright misses 2-pt jump shot from 9 ft,,82,67
4,11:40.0,,Defensive rebound by A. McKinnie,82,67
4,11:21.0,,D. Green misses 3-pt jump shot from 26 ft,82,67
4,11:19.0,Defensive rebound by D. Wright,,82,67
4,10:58.0,O. Anunoby misses 2-pt jump shot from 22 ft,,82,67
4,10:57.0,,Defensive rebound by D. Green,82,67
4,10:49.0,,Turnover by J. Jerebko (offensive foul),82,67
4,10:49.0,,Offensive foul by J. Jerebko (drawn by K. Lowry),82,67
4,10:35.0,K. Lowry misses 2-pt jump shot from 21 ft,,82,67
4,10:32.0,Offensive rebound by G. Monroe,,82,67
4,10:27.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by D. Wright),,85,67
4,10:15.0,,Turnover by J. Jerebko (bad pass; steal by K. Lowry),85,67
4,10:13.0,Personal foul by D. Green (drawn by O. Anunoby),,85,67
4,9:49.0,D. Wright makes 2-pt layup from 3 ft,,87,67
4,9:40.0,,Personal foul by G. Monroe (drawn by D. Green),87,67
4,9:40.0,,S. Curry enters the game for A. McKinnie,87,67
4,9:34.0,,S. Curry misses 2-pt jump shot from 12 ft,87,67
4,9:33.0,Defensive rebound by G. Monroe,,87,67
4,9:26.0,C. Miles makes 3-pt jump shot from 25 ft (assist by D. Wright),,90,67
4,9:11.0,,D. Green misses 2-pt jump shot from 4 ft,90,67
4,9:10.0,Defensive rebound by G. Monroe,,90,67
4,8:48.0,G. Monroe makes 2-pt layup from 3 ft,,92,67
4,8:48.0,Shooting foul by S. Livingston (drawn by G. Monroe),,92,67
4,8:48.0,,K. Durant enters the game for J. Jerebko,92,67
4,8:48.0,G. Monroe makes free throw 1 of 1,,93,67
4,8:39.0,,Shooting foul by C. Miles (drawn by S. Livingston),93,67
4,8:39.0,,S. Livingston misses free throw 1 of 2,93,67
4,8:39.0,,Offensive rebound by Team,93,67
4,8:39.0,,S. Livingston makes free throw 2 of 2,93,68
4,8:36.0,Personal take foul by S. Livingston (drawn by D. Wright),,93,68
4,8:36.0,,A. McKinnie enters the game for S. Livingston,93,68
4,8:18.0,O. Anunoby misses 3-pt jump shot from 23 ft,,93,68
4,8:16.0,Offensive rebound by G. Monroe,,93,68
4,8:13.0,G. Monroe misses 2-pt jump shot from 7 ft (block by D. Green),,93,68
4,8:12.0,,Defensive rebound by A. McKinnie,93,68
4,8:03.0,,K. Durant makes 2-pt jump shot from 9 ft (assist by D. Green),93,70
4,7:50.0,K. Lowry misses 2-pt layup from 2 ft,,93,70
4,7:49.0,,Defensive rebound by D. Green,93,70
4,7:44.0,,Turnover by D. Green (lost ball; steal by G. Monroe),93,70
4,7:41.0,Personal foul by A. McKinnie (drawn by K. Lowry),,93,70
4,7:41.0,P. Siakam enters the game for O. Anunoby,,93,70
4,7:40.0,Turnover by D. Wright (bad pass; steal by D. Green),,93,70
4,7:36.0,,Turnover by D. Green (bad pass; steal by D. Wright),93,70
4,7:12.0,K. Lowry misses 3-pt jump shot from 29 ft (block by D. Green),,93,70
4,7:11.0,,Defensive rebound by Team,93,70
4,7:11.0,,K. Looney enters the game for D. Green,93,70
4,7:11.0,Toronto full timeout,,93,70
4,7:11.0,Violation by Team (jump ball),,93,70
4,7:11.0,S. Ibaka enters the game for G. Monroe,,93,70
4,7:00.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),93,73
4,6:34.0,P. Siakam makes 2-pt jump shot from 11 ft (assist by K. Lowry),,95,73
4,6:21.0,,K. Durant misses 3-pt jump shot from 26 ft,95,73
4,6:20.0,Defensive rebound by D. Wright,,95,73
4,6:06.0,S. Ibaka misses 2-pt jump shot from 20 ft,,95,73
4,6:05.0,Offensive rebound by D. Wright,,95,73
4,5:53.0,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),,97,73
4,5:41.0,,A. McKinnie makes 3-pt jump shot from 23 ft (assist by S. Curry),97,76
4,5:24.0,K. Lowry makes 2-pt jump shot from 14 ft,,99,76
4,5:21.0,,Golden State full timeout,99,76
4,5:21.0,D. Green enters the game for C. Miles,,99,76
4,5:21.0,F. VanVleet enters the game for D. Wright,,99,76
4,5:21.0,,J. Bell enters the game for S. Curry,99,76
4,5:21.0,,Q. Cook enters the game for K. Durant,99,76
4,5:21.0,,J. Evans enters the game for K. Looney,99,76
4,5:21.0,,D. Lee enters the game for K. Thompson,99,76
4,5:08.0,,Q. Cook makes 2-pt jump shot from 19 ft,99,78
4,4:46.0,P. Siakam misses 2-pt jump shot from 9 ft (block by A. McKinnie),,99,78
4,4:45.0,Offensive rebound by S. Ibaka,,99,78
4,4:43.0,Personal foul by D. Lee (drawn by S. Ibaka),,99,78
4,4:43.0,S. Ibaka makes free throw 1 of 2,,100,78
4,4:43.0,O. Anunoby enters the game for D. Green,,100,78
4,4:43.0,L. Brown enters the game for K. Lowry,,100,78
4,4:43.0,D. Wright enters the game for F. VanVleet,,100,78
4,4:43.0,S. Ibaka makes free throw 2 of 2,,101,78
4,4:25.0,,A. McKinnie makes 2-pt jump shot from 20 ft (assist by J. Bell),101,80
4,4:01.0,Turnover by S. Ibaka (3 sec),,101,80
4,4:01.0,C. Miles enters the game for S. Ibaka,,101,80
4,4:01.0,M. Richardson enters the game for P. Siakam,,101,80
4,3:49.0,,J. Bell makes 2-pt dunk from 1 ft (assist by J. Evans),101,82
4,3:34.0,Shooting foul by J. Evans (drawn by C. Miles),,101,82
4,3:34.0,C. Miles makes free throw 1 of 2,,102,82
4,3:34.0,C. Miles makes free throw 2 of 2,,103,82
4,3:18.0,,Q. Cook makes 2-pt layup from 3 ft (assist by J. Bell),103,84
4,2:57.0,M. Richardson misses 3-pt jump shot from 28 ft (block by J. Bell),,103,84
4,2:55.0,,Defensive rebound by J. Bell,103,84
4,2:51.0,,Q. Cook misses 2-pt layup from 2 ft,103,84
4,2:50.0,,Offensive rebound by Team,103,84
4,2:48.0,,Turnover by Q. Cook (bad pass; steal by L. Brown),103,84
