QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
1,5:03.0,G. Green enters the game for E. Gordon,,22,14
1,5:03.0,A. Rivers enters the game for C. Paul,,22,14
1,5:03.0,,A. Baynes enters the game for A. Horford,22,14
1,5:03.0,,J. Brown enters the game for M. Morris,22,14
1,5:03.0,,G. Hayward enters the game for M. Smart,22,14
1,4:54.0,,G. Hayward misses 2-pt jump shot from 12 ft,22,14
1,4:52.0,Defensive rebound by G. Green,,22,14
1,4:36.0,J. Harden misses 3-pt jump shot from 24 ft,,22,14
1,4:34.0,Offensive rebound by P. Tucker,,22,14
1,4:32.0,G. Green misses 3-pt jump shot from 26 ft,,22,14
1,4:30.0,Offensive rebound by C. Capela,,22,14
1,4:19.0,J. Harden makes 2-pt layup from 3 ft,,24,14
1,3:54.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Tatum),24,17
1,3:38.0,Shooting foul by J. Brown (drawn by J. Harden),,24,17
1,3:38.0,J. Harden makes free throw 1 of 2,,25,17
1,3:38.0,N. Hilário enters the game for C. Capela,,25,17
1,3:38.0,J. Harden makes free throw 2 of 2,,26,17
1,3:28.0,,K. Irving misses 2-pt jump shot from 7 ft (block by A. Rivers),26,17
1,3:25.0,Defensive rebound by A. Rivers,,26,17
1,3:15.0,J. Harden makes 2-pt layup from 3 ft,,28,17
1,3:02.0,,Personal foul by A. Rivers (drawn by A. Baynes),28,17
1,2:55.0,,J. Brown misses 3-pt jump shot from 25 ft,28,17
1,2:53.0,Defensive rebound by A. Rivers,,28,17
1,2:45.0,J. Harden misses 3-pt jump shot from 28 ft,,28,17
1,2:42.0,,Defensive rebound by A. Baynes,28,17
1,2:26.0,,J. Tatum misses 2-pt layup from 1 ft,28,17
1,2:23.0,Defensive rebound by G. Green,,28,17
1,2:18.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by J. Harden),,31,17
1,1:58.0,,Offensive foul by A. Baynes (drawn by N. Hilário),31,17
1,1:58.0,,Turnover by A. Baynes (offensive foul),31,17
1,1:58.0,Houston full timeout,,31,17
1,1:58.0,C. Paul enters the game for J. Harden,,31,17
1,1:58.0,,T. Rozier enters the game for J. Tatum,31,17
1,1:36.0,G. Green misses 2-pt jump shot from 23 ft,,31,17
1,1:34.0,Offensive rebound by P. Tucker,,31,17
1,1:34.0,Turnover by P. Tucker (bad pass),,31,17
1,1:19.0,,Shooting foul by N. Hilário (drawn by A. Baynes),31,17
1,1:19.0,,A. Baynes makes free throw 1 of 2,31,18
1,1:19.0,,A. Baynes makes free throw 2 of 2,31,19
1,1:07.0,Turnover by C. Paul (bad pass; steal by J. Brown),,31,19
1,1:03.0,,T. Rozier misses 2-pt layup from 2 ft,31,19
1,1:01.0,,Offensive rebound by A. Baynes,31,19
1,1:00.0,,A. Baynes makes 2-pt dunk from 1 ft,31,21
1,0:50.0,A. Rivers misses 3-pt jump shot from 26 ft,,31,21
1,0:48.0,,Defensive rebound by K. Irving,31,21
1,0:38.0,,J. Brown makes 2-pt jump shot from 6 ft (assist by K. Irving),31,23
1,0:27.0,N. Hilário makes 2-pt layup from 1 ft (assist by C. Paul),,33,23
1,0:27.0,Shooting foul by J. Brown (drawn by N. Hilário),,33,23
1,0:27.0,,A. Horford enters the game for A. Baynes,33,23
1,0:27.0,N. Hilário misses free throw 1 of 1,,33,23
1,0:27.0,,Defensive rebound by J. Brown,33,23
1,0:18.0,,G. Hayward misses 2-pt jump shot from 13 ft,33,23
1,0:14.0,Defensive rebound by G. Green,,33,23
1,0:00.0,Turnover by G. Green (traveling),,33,23
2,11:35.0,Turnover by C. Paul (bad pass; steal by G. Hayward),,33,23
2,11:34.0,,Turnover by J. Brown (traveling),33,23
2,11:19.0,C. Paul makes 2-pt jump shot from 19 ft,,35,23
2,10:57.0,,G. Hayward misses 3-pt jump shot from 27 ft,35,23
2,10:56.0,Defensive rebound by C. Paul,,35,23
2,10:42.0,A. Rivers makes 2-pt layup from 3 ft (assist by C. Paul),,37,23
2,10:30.0,,Personal foul by G. Clark (drawn by M. Smart),37,23
2,10:20.0,,A. Horford makes 2-pt layup from 2 ft (assist by G. Hayward),37,25
2,10:09.0,C. Paul makes 3-pt jump shot from 28 ft,,40,25
2,9:57.0,,T. Rozier makes 2-pt layup at rim (assist by M. Smart),40,27
2,9:34.0,A. Rivers misses 3-pt jump shot from 23 ft,,40,27
2,9:32.0,,Defensive rebound by A. Horford,40,27
2,9:29.0,,M. Smart misses 3-pt jump shot from 25 ft,40,27
2,9:28.0,Defensive rebound by C. Paul,,40,27
2,9:19.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),,43,27
2,9:00.0,,G. Hayward misses 2-pt layup from 2 ft,43,27
2,8:59.0,Defensive rebound by G. Clark,,43,27
2,8:52.0,Turnover by C. Paul (bad pass),,43,27
2,8:52.0,C. Capela enters the game for N. Hilário,,43,27
2,8:52.0,,M. Morris enters the game for G. Hayward,43,27
2,8:52.0,,Technical foul by M. Morris,43,27
2,8:52.0,C. Paul makes technical free throw,,44,27
2,8:52.0,G. Green enters the game for G. Clark,,44,27
2,8:52.0,J. Harden enters the game for A. Rivers,,44,27
2,8:36.0,,J. Brown makes 2-pt jump shot from 10 ft,44,29
2,8:23.0,Personal foul by T. Rozier (drawn by C. Capela),,44,29
2,8:09.0,J. Harden misses 3-pt jump shot from 26 ft,,44,29
2,8:07.0,,Defensive rebound by T. Rozier,44,29
2,7:54.0,,T. Rozier makes 2-pt jump shot from 19 ft,44,31
2,7:29.0,Turnover by C. Capela (bad pass; steal by M. Morris),,44,31
2,7:24.0,,T. Rozier misses 3-pt jump shot from 26 ft,44,31
2,7:21.0,,Offensive rebound by J. Brown,44,31
2,7:21.0,,J. Brown makes 2-pt layup from 1 ft,44,33
2,7:07.0,J. Harden misses 3-pt jump shot from 27 ft,,44,33
2,7:05.0,,Defensive rebound by A. Horford,44,33
2,7:01.0,,J. Brown misses 3-pt jump shot from 25 ft,44,33
2,7:00.0,Defensive rebound by C. Capela,,44,33
2,6:51.0,Personal foul by M. Smart (drawn by C. Paul),,44,33
2,6:51.0,,Boston full timeout,44,33
2,6:51.0,P. Tucker enters the game for C. Paul,,44,33
2,6:51.0,,K. Irving enters the game for J. Brown,44,33
2,6:37.0,J. Harden makes 3-pt jump shot from 27 ft,,47,33
2,6:16.0,,A. Horford makes 2-pt layup from 2 ft (assist by M. Smart),47,35
2,6:05.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Capela),,50,35
2,5:48.0,,Shooting foul by J. Harden (drawn by K. Irving),50,35
2,5:48.0,,K. Irving makes free throw 1 of 2,50,36
2,5:48.0,,A. Baynes enters the game for A. Horford,50,36
2,5:48.0,,K. Irving misses free throw 2 of 2,50,36
2,5:48.0,Defensive rebound by J. Harden,,50,36
2,5:35.0,J. Harden misses 2-pt layup from 7 ft,,50,36
2,5:31.0,,Defensive rebound by K. Irving,50,36
2,5:22.0,,T. Rozier misses 3-pt jump shot from 25 ft,50,36
2,5:20.0,Defensive rebound by P. Tucker,,50,36
2,5:14.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by E. Gordon),,53,36
2,5:02.0,,A. Baynes misses 3-pt jump shot from 23 ft,53,36
2,5:00.0,Defensive rebound by P. Tucker,,53,36
2,4:54.0,J. Harden misses 3-pt jump shot from 28 ft,,53,36
2,4:52.0,,Defensive rebound by A. Baynes,53,36
2,4:28.0,,M. Morris misses 3-pt jump shot from 28 ft,53,36
2,4:27.0,Defensive rebound by Team,,53,36
2,4:14.0,Shooting foul by T. Rozier (drawn by C. Capela),,53,36
2,4:14.0,C. Capela makes free throw 1 of 2,,54,36
2,4:14.0,,J. Tatum enters the game for T. Rozier,54,36
2,4:14.0,C. Capela misses free throw 2 of 2,,54,36
2,4:14.0,,Defensive rebound by J. Tatum,54,36
2,4:07.0,Violation by Team (kicked ball),,54,36
2,3:55.0,,M. Morris misses 2-pt layup from 2 ft (block by J. Harden),54,36
2,3:55.0,Defensive rebound by Team,,54,36
2,3:49.0,J. Harden makes 2-pt layup from 2 ft,,56,36
2,3:32.0,,Personal foul by E. Gordon (drawn by A. Baynes),56,36
2,3:32.0,Houston full timeout,,56,36
2,3:32.0,,J. Brown enters the game for A. Baynes,56,36
2,3:32.0,,A. Horford enters the game for M. Morris,56,36
2,3:18.0,,M. Smart misses 3-pt jump shot from 26 ft,56,36
2,3:15.0,Defensive rebound by E. Gordon,,56,36
2,3:05.0,G. Green misses 3-pt jump shot from 26 ft,,56,36
2,3:03.0,,Defensive rebound by J. Brown,56,36
2,2:53.0,,Shooting foul by G. Green (drawn by J. Tatum),56,36
2,2:53.0,,J. Tatum makes free throw 1 of 2,56,37
2,2:53.0,C. Paul enters the game for G. Green,,56,37
2,2:53.0,,J. Tatum misses free throw 2 of 2,56,37
2,2:53.0,Defensive rebound by J. Harden,,56,37
2,2:42.0,Personal foul by K. Irving (drawn by E. Gordon),,56,37
2,2:36.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),,59,37
2,2:08.0,,J. Brown misses 2-pt jump shot from 20 ft,59,37
2,2:06.0,Defensive rebound by J. Harden,,59,37
2,1:56.0,J. Harden makes 2-pt layup from 3 ft,,61,37
2,1:43.0,,K. Irving makes 2-pt jump shot from 2 ft (assist by A. Horford),61,39
2,1:29.0,P. Tucker misses 3-pt jump shot from 26 ft,,61,39
2,1:25.0,Offensive rebound by C. Paul,,61,39
2,1:18.0,J. Harden misses 3-pt jump shot from 34 ft,,61,39
2,1:16.0,,Defensive rebound by A. Horford,61,39
2,1:10.0,,Personal foul by C. Paul (drawn by K. Irving),61,39
2,1:10.0,,K. Irving makes free throw 1 of 2,61,40
2,1:10.0,,K. Irving makes free throw 2 of 2,61,41
2,1:04.0,Turnover by J. Harden (bad pass),,61,41
2,0:55.0,,A. Horford misses 3-pt jump shot from 23 ft,61,41
2,0:53.0,Defensive rebound by J. Harden,,61,41
2,0:47.0,Shooting foul by J. Brown (drawn by C. Capela),,61,41
2,0:47.0,C. Capela makes free throw 1 of 2,,62,41
2,0:47.0,C. Capela misses free throw 2 of 2,,62,41
2,0:47.0,,Defensive rebound by A. Horford,62,41
2,0:33.0,,Shooting foul by C. Paul (drawn by K. Irving),62,41
2,0:33.0,,K. Irving makes free throw 1 of 2,62,42
2,0:33.0,,T. Rozier enters the game for J. Brown,62,42
2,0:33.0,,K. Irving makes free throw 2 of 2,62,43
2,0:11.0,Shooting foul by T. Rozier (drawn by J. Harden),,62,43
2,0:11.0,J. Harden makes free throw 1 of 3,,63,43
2,0:11.0,J. Harden makes free throw 2 of 3,,64,43
2,0:11.0,A. Rivers enters the game for C. Paul,,64,43
2,0:11.0,J. Harden makes free throw 3 of 3,,65,43
2,0:02.0,,M. Smart misses 2-pt jump shot from 3 ft,65,43
2,0:01.0,Defensive rebound by E. Gordon,,65,43
3,11:46.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),,68,43
3,11:28.0,,K. Irving misses 2-pt jump shot from 18 ft,68,43
3,11:26.0,Defensive rebound by C. Capela,,68,43
3,11:07.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),,71,43
3,11:05.0,,Boston full timeout,71,43
3,10:52.0,,J. Tatum misses 2-pt jump shot from 13 ft,71,43
3,10:51.0,,Offensive rebound by A. Horford,71,43
3,10:51.0,,Personal foul by J. Harden (drawn by A. Horford),71,43
3,10:46.0,,K. Irving makes 3-pt jump shot from 28 ft (assist by M. Smart),71,46
3,10:25.0,J. Harden makes 3-pt jump shot from 25 ft,,74,46
3,10:16.0,,K. Irving makes 2-pt layup from 2 ft,74,48
3,10:03.0,C. Capela misses 2-pt layup from 3 ft,,74,48
3,9:58.0,,Defensive rebound by K. Irving,74,48
3,9:58.0,,Shooting foul by C. Paul (drawn by K. Irving),74,48
3,9:58.0,,K. Irving makes free throw 1 of 2,74,49
3,9:58.0,,K. Irving makes free throw 2 of 2,74,50
3,9:48.0,J. Harden misses 3-pt jump shot from 26 ft,,74,50
3,9:46.0,,Defensive rebound by K. Irving,74,50
3,9:35.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),74,53
3,9:17.0,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Paul),,77,53
3,8:59.0,,M. Morris misses 3-pt jump shot from 26 ft,77,53
3,8:57.0,,Offensive rebound by A. Horford,77,53
3,8:56.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by A. Horford),77,56
3,8:34.0,E. Gordon misses 3-pt jump shot from 26 ft,,77,56
3,8:32.0,,Defensive rebound by K. Irving,77,56
3,8:26.0,,Turnover by K. Irving (bad pass; steal by J. Harden),77,56
3,8:23.0,,Violation by Team (kicked ball),77,56
3,8:12.0,C. Capela makes 2-pt dunk at rim (assist by C. Paul),,79,56
3,7:51.0,,Shooting foul by P. Tucker (drawn by M. Morris),79,56
3,7:51.0,,M. Morris misses free throw 1 of 2,79,56
3,7:51.0,,Offensive rebound by Team,79,56
3,7:51.0,,M. Morris misses free throw 2 of 2,79,56
3,7:49.0,Defensive rebound by P. Tucker,,79,56
3,7:35.0,Turnover by J. Harden (bad pass; steal by M. Smart),,79,56
3,7:28.0,,Turnover by K. Irving (lost ball; steal by C. Paul),79,56
3,7:08.0,J. Harden misses 3-pt jump shot from 27 ft,,79,56
3,7:08.0,Offensive rebound by Team,,79,56
3,7:08.0,,Loose ball foul by J. Tatum (drawn by P. Tucker),79,56
3,7:08.0,A. Rivers enters the game for C. Paul,,79,56
3,6:55.0,E. Gordon misses 2-pt layup from 5 ft,,79,56
3,6:54.0,Offensive rebound by C. Capela,,79,56
3,6:52.0,E. Gordon makes 2-pt dunk from 1 ft (assist by C. Capela),,81,56
3,6:43.0,,Personal foul by A. Rivers (drawn by J. Tatum),81,56
3,6:43.0,,A. Baynes enters the game for M. Morris,81,56
3,6:36.0,,Shooting foul by A. Rivers (drawn by M. Smart),81,56
3,6:36.0,,M. Smart makes free throw 1 of 3,81,57
3,6:36.0,,M. Smart makes free throw 2 of 3,81,58
3,6:36.0,,M. Smart makes free throw 3 of 3,81,59
3,6:23.0,Shooting foul by A. Horford (drawn by E. Gordon),,81,59
3,6:23.0,Offensive rebound by Team,,81,59
3,6:23.0,E. Gordon misses free throw 1 of 2,,81,59
3,6:23.0,E. Gordon misses free throw 2 of 2,,81,59
3,6:23.0,,Defensive rebound by A. Baynes,81,59
3,6:13.0,,Personal foul by E. Gordon (drawn by M. Smart),81,59
3,6:13.0,,M. Smart makes free throw 1 of 2,81,60
3,6:13.0,,M. Smart makes free throw 2 of 2,81,61
3,5:50.0,J. Harden misses 3-pt jump shot from 25 ft,,81,61
3,5:47.0,Offensive rebound by C. Capela,,81,61
3,5:36.0,J. Harden misses 2-pt jump shot from 15 ft,,81,61
3,5:34.0,,Defensive rebound by K. Irving,81,61
3,5:24.0,,Shooting foul by P. Tucker (drawn by A. Horford),81,61
3,5:24.0,,A. Horford makes free throw 1 of 2,81,62
3,5:24.0,,A. Horford makes free throw 2 of 2,81,63
3,5:02.0,J. Harden makes 3-pt jump shot from 28 ft,,84,63
3,4:49.0,,Shooting foul by J. Harden (drawn by A. Horford),84,63
3,4:49.0,,A. Horford makes free throw 1 of 2,84,64
3,4:49.0,G. Green enters the game for C. Capela,,84,64
3,4:49.0,N. Hilário enters the game for E. Gordon,,84,64
3,4:49.0,,A. Horford makes free throw 2 of 2,84,65
3,4:34.0,P. Tucker misses 3-pt jump shot from 25 ft,,84,65
3,4:32.0,,Defensive rebound by J. Tatum,84,65
3,4:30.0,,J. Tatum misses 2-pt layup from 2 ft,84,65
3,4:29.0,,Offensive rebound by M. Smart,84,65
3,4:28.0,,Shooting foul by N. Hilário (drawn by M. Smart),84,65
3,4:28.0,,M. Smart makes free throw 1 of 2,84,66
3,4:28.0,,M. Smart makes free throw 2 of 2,84,67
3,4:09.0,J. Harden misses 2-pt jump shot from 3 ft,,84,67
3,4:08.0,,Defensive rebound by Team,84,67
3,4:08.0,Houston full timeout,,84,67
3,3:55.0,,K. Irving misses 3-pt jump shot from 23 ft,84,67
3,3:53.0,Defensive rebound by J. Harden,,84,67
3,3:44.0,P. Tucker misses 2-pt jump shot from 5 ft,,84,67
3,3:42.0,,Defensive rebound by M. Smart,84,67
3,3:33.0,,A. Baynes misses 2-pt jump shot from 15 ft,84,67
3,3:31.0,Defensive rebound by A. Rivers,,84,67
3,3:12.0,Shooting foul by J. Tatum (drawn by J. Harden),,84,67
3,3:12.0,J. Harden misses free throw 1 of 2,,84,67
3,3:12.0,Offensive rebound by Team,,84,67
3,3:12.0,,J. Brown enters the game for A. Horford,84,67
3,3:12.0,,G. Hayward enters the game for J. Tatum,84,67
3,3:12.0,J. Harden makes free throw 2 of 2,,85,67
3,2:59.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by K. Irving),85,70
3,2:46.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by J. Harden),,88,70
3,2:32.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by A. Baynes),88,73
3,2:22.0,Shooting foul by K. Irving (drawn by J. Harden),,88,73
3,2:22.0,J. Harden makes free throw 1 of 2,,89,73
3,2:22.0,C. Paul enters the game for G. Green,,89,73
3,2:22.0,J. Harden makes free throw 2 of 2,,90,73
3,2:07.0,,G. Hayward makes 2-pt layup from 3 ft,90,75
3,1:51.0,J. Harden makes 3-pt jump shot from 26 ft,,93,75
3,1:40.0,,A. Baynes misses 2-pt layup from 2 ft,93,75
3,1:37.0,Defensive rebound by J. Harden,,93,75
3,1:34.0,J. Harden misses 3-pt jump shot from 26 ft,,93,75
3,1:32.0,,Defensive rebound by K. Irving,93,75
3,1:29.0,,J. Brown misses 2-pt layup from 4 ft (block by C. Paul),93,75
3,1:28.0,,Offensive rebound by Team,93,75
3,1:28.0,E. Gordon enters the game for A. Rivers,,93,75
3,1:28.0,,D. Theis enters the game for A. Baynes,93,75
3,1:26.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by K. Irving),93,78
3,1:02.0,J. Harden makes 2-pt jump shot from 8 ft (assist by E. Gordon),,95,78
3,0:54.0,,Turnover by D. Theis (bad pass),95,78
3,0:54.0,A. Rivers enters the game for P. Tucker,,95,78
3,0:54.0,,T. Rozier enters the game for K. Irving,95,78
3,0:46.0,Personal foul by T. Rozier (drawn by C. Paul),,95,78
3,0:46.0,C. Paul makes free throw 1 of 2,,96,78
3,0:46.0,C. Paul makes free throw 2 of 2,,97,78
3,0:37.0,,Turnover by D. Theis (traveling),97,78
3,0:30.0,C. Paul makes 3-pt jump shot from 26 ft,,100,78
3,0:06.0,,J. Brown misses 3-pt jump shot from 25 ft,100,78
3,0:04.0,Defensive rebound by C. Paul,,100,78
3,0:00.0,C. Paul misses 3-pt jump shot from 26 ft,,100,78
3,0:00.0,Offensive rebound by Team,,100,78
4,11:42.0,,J. Tatum misses 2-pt jump shot from 16 ft,100,78
4,11:38.0,,Offensive rebound by D. Theis,100,78
4,11:36.0,,T. Rozier misses 2-pt layup from 6 ft,100,78
4,11:35.0,Defensive rebound by E. Gordon,,100,78
4,11:21.0,E. Gordon misses 3-pt jump shot from 26 ft,,100,78
4,11:18.0,,Defensive rebound by G. Hayward,100,78
4,11:11.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by D. Theis),100,81
4,10:42.0,G. Clark misses 3-pt jump shot from 25 ft,,100,81
4,10:40.0,,Defensive rebound by J. Brown,100,81
4,10:34.0,,J. Brown makes 2-pt layup from 3 ft,100,83
4,10:34.0,,Shooting foul by G. Clark (drawn by J. Brown),100,83
4,10:34.0,,J. Brown makes free throw 1 of 1,100,84
4,10:14.0,E. Gordon misses 3-pt jump shot from 29 ft,,100,84
4,10:11.0,,Defensive rebound by D. Theis,100,84
4,10:01.0,,J. Tatum misses 3-pt jump shot from 23 ft,100,84
4,9:59.0,Defensive rebound by C. Capela,,100,84
4,9:46.0,Turnover by C. Paul (bad pass; steal by G. Hayward),,100,84
4,9:44.0,,G. Hayward makes 2-pt dunk from 1 ft (assist by T. Rozier),100,86
4,9:44.0,Houston full timeout,,100,86
4,9:44.0,J. Harden enters the game for G. Clark,,100,86
4,9:44.0,P. Tucker enters the game for E. Gordon,,100,86
4,9:28.0,Turnover by C. Paul (bad pass; steal by J. Tatum),,100,86
4,9:27.0,,Personal foul by J. Harden (drawn by J. Tatum),100,86
4,9:14.0,,G. Hayward makes 2-pt jump shot from 11 ft,100,88
4,8:55.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),,103,88
4,8:38.0,,J. Brown makes 2-pt layup from 2 ft (assist by G. Hayward),103,90
4,8:14.0,J. Harden misses 3-pt jump shot from 28 ft,,103,90
4,8:12.0,,Defensive rebound by J. Tatum,103,90
4,8:00.0,,J. Tatum misses 2-pt layup from 2 ft,103,90
4,7:59.0,Defensive rebound by C. Capela,,103,90
4,7:59.0,Personal take foul by D. Theis (drawn by C. Paul),,103,90
4,7:36.0,J. Harden misses 2-pt layup from 3 ft,,103,90
4,7:31.0,,Defensive rebound by T. Rozier,103,90
4,7:24.0,,J. Tatum misses 3-pt jump shot from 28 ft,103,90
4,7:22.0,,Offensive rebound by Team,103,90
4,7:14.0,,D. Theis makes 2-pt dunk from 1 ft (assist by G. Hayward),103,92
4,6:57.0,C. Paul misses 3-pt jump shot from 25 ft,,103,92
4,6:54.0,Offensive rebound by P. Tucker,,103,92
4,6:52.0,C. Paul makes 3-pt jump shot from 24 ft (assist by P. Tucker),,106,92
4,6:34.0,,J. Tatum makes 2-pt layup from 1 ft,106,94
4,6:15.0,A. Rivers misses 3-pt jump shot from 25 ft,,106,94
4,6:11.0,,Defensive rebound by G. Hayward,106,94
4,6:08.0,,J. Brown makes 2-pt dunk at rim (assist by G. Hayward),106,96
4,5:49.0,Turnover by J. Harden (lost ball; steal by D. Theis),,106,96
4,5:42.0,,T. Rozier misses 3-pt jump shot from 25 ft,106,96
4,5:38.0,Defensive rebound by C. Paul,,106,96
4,5:35.0,Personal take foul by D. Theis (drawn by C. Paul),,106,96
4,5:35.0,Houston full timeout,,106,96
4,5:35.0,E. Gordon enters the game for C. Capela,,106,96
4,5:35.0,N. Hilário enters the game for C. Paul,,106,96
4,5:35.0,,K. Irving enters the game for G. Hayward,106,96
4,5:21.0,J. Harden misses 3-pt jump shot from 26 ft,,106,96
4,5:18.0,Offensive rebound by N. Hilário,,106,96
4,5:18.0,Shooting foul by J. Brown (drawn by N. Hilário),,106,96
4,5:18.0,N. Hilário makes free throw 1 of 2,,107,96
4,5:18.0,N. Hilário misses free throw 2 of 2,,107,96
4,5:18.0,,Defensive rebound by D. Theis,107,96
4,5:00.0,,Shooting foul by N. Hilário (drawn by T. Rozier),107,96
4,5:00.0,,T. Rozier misses free throw 1 of 3,107,96
4,5:00.0,,Offensive rebound by Team,107,96
4,5:00.0,,T. Rozier misses free throw 2 of 3,107,96
4,5:00.0,,Offensive rebound by Team,107,96
4,5:00.0,,A. Horford enters the game for D. Theis,107,96
4,5:00.0,,T. Rozier misses free throw 3 of 3,107,96
4,4:57.0,,Offensive rebound by J. Brown,107,96
4,4:52.0,Loose ball foul by J. Harden (drawn by J. Tatum),,107,96
4,4:52.0,,M. Smart enters the game for T. Rozier,107,96
4,4:44.0,,J. Brown misses 3-pt jump shot from 26 ft,107,96
4,4:41.0,,Offensive rebound by M. Smart,107,96
4,4:40.0,,M. Smart makes 2-pt layup from 1 ft,107,98
4,4:16.0,J. Harden makes 2-pt layup from 6 ft,,109,98
4,4:01.0,,J. Tatum makes 2-pt layup from 3 ft (assist by M. Smart),109,100
4,3:38.0,E. Gordon misses 2-pt jump shot from 10 ft,,109,100
4,3:35.0,Offensive rebound by N. Hilário,,109,100
4,3:24.0,J. Harden makes 3-pt jump shot from 26 ft,,112,100
4,3:20.0,,Boston full timeout,112,100
4,3:20.0,C. Capela enters the game for N. Hilário,,112,100
4,3:20.0,C. Paul enters the game for A. Rivers,,112,100
4,3:04.0,,A. Horford makes 2-pt hook shot from 7 ft (assist by M. Smart),112,102
4,2:40.0,C. Paul misses 3-pt jump shot from 25 ft,,112,102
4,2:38.0,,Defensive rebound by J. Brown,112,102
4,2:31.0,,J. Brown makes 2-pt dunk from 1 ft,112,104
4,2:14.0,E. Gordon misses 2-pt jump shot from 13 ft,,112,104
4,2:13.0,,Defensive rebound by J. Tatum,112,104
