QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
1,2:07.0,,H. Giles enters the game for W. Cauley-Stein,19,23
1,1:54.0,R. Gay misses 2-pt jump shot from 11 ft,,19,23
1,1:50.0,,Defensive rebound by M. Bagley,19,23
1,1:49.0,,Turnover by H. Giles (traveling),19,23
1,1:31.0,P. Mills makes 3-pt jump shot from 25 ft (assist by J. Poeltl),,22,23
1,1:08.0,,H. Giles misses 2-pt layup from 5 ft,22,23
1,1:04.0,,Offensive rebound by H. Giles,22,23
1,1:04.0,,H. Giles makes 2-pt layup from 1 ft,22,25
1,0:59.0,P. Mills misses 3-pt jump shot from 25 ft,,22,25
1,0:54.0,Offensive rebound by R. Gay,,22,25
1,0:45.0,R. Gay misses 3-pt jump shot from 25 ft,,22,25
1,0:42.0,,Defensive rebound by B. Bogdanović,22,25
1,0:36.0,,Personal foul by J. Poeltl (drawn by M. Bagley),22,25
1,0:31.0,,F. Mason misses 3-pt jump shot from 25 ft,22,25
1,0:28.0,,Offensive rebound by F. Mason,22,25
1,0:24.0,,J. Jackson misses 2-pt jump shot from 15 ft,22,25
1,0:24.0,Defensive rebound by J. Poeltl,,22,25
1,0:06.0,Personal foul by H. Giles (drawn by R. Gay),,22,25
1,0:04.0,R. Gay makes 2-pt jump shot from 13 ft (assist by B. Forbes),,24,25
1,0:00.0,,B. Bogdanović misses 3-pt jump shot from 48 ft,24,25
1,0:00.0,,Offensive rebound by Team,24,25
2,11:37.0,B. Forbes makes 2-pt jump shot from 8 ft (assist by P. Mills),,26,25
2,11:20.0,,Turnover by M. Bagley (lost ball; steal by P. Mills),26,25
2,11:15.0,B. Forbes misses 3-pt jump shot from 24 ft,,26,25
2,11:11.0,,Defensive rebound by J. Jackson,26,25
2,10:59.0,,B. Bogdanović makes 3-pt jump shot from 26 ft,26,28
2,10:47.0,M. Belinelli misses 2-pt jump shot from 20 ft,,26,28
2,10:45.0,,Defensive rebound by H. Giles,26,28
2,10:38.0,,M. Bagley misses 3-pt jump shot from 25 ft,26,28
2,10:35.0,Defensive rebound by P. Mills,,26,28
2,10:32.0,M. Belinelli makes 2-pt jump shot from 20 ft (assist by P. Mills),,28,28
2,10:12.0,,H. Giles makes 2-pt jump shot from 21 ft (assist by F. Mason),28,30
2,9:56.0,R. Gay misses 2-pt layup from 3 ft (block by M. Bagley),,28,30
2,9:52.0,Offensive rebound by R. Gay,,28,30
2,9:48.0,B. Forbes makes 2-pt layup from 3 ft,,30,30
2,9:30.0,,F. Mason makes 2-pt layup from 2 ft,30,32
2,9:17.0,R. Gay makes 3-pt jump shot from 25 ft (assist by P. Mills),,33,32
2,9:05.0,,Def 3 sec tech foul by Team,33,32
2,9:05.0,,B. Bogdanović makes technical free throw,33,33
2,9:05.0,L. Aldridge enters the game for R. Gay,,33,33
2,9:05.0,D. Bertāns enters the game for J. Poeltl,,33,33
2,9:00.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by F. Mason),33,36
2,8:45.0,L. Aldridge misses 2-pt layup from 5 ft,,33,36
2,8:45.0,,Defensive rebound by F. Mason,33,36
2,8:33.0,,H. Giles makes 2-pt layup from 3 ft (assist by B. Bogdanović),33,38
2,8:33.0,San Antonio full timeout,,33,38
2,8:33.0,D. Cunningham enters the game for D. Bertāns,,33,38
2,8:33.0,D. DeRozan enters the game for B. Forbes,,33,38
2,8:19.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Mills),,35,38
2,8:06.0,,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by F. Mason),35,40
2,7:54.0,D. DeRozan misses 2-pt jump shot from 7 ft,,35,40
2,7:51.0,Offensive rebound by L. Aldridge,,35,40
2,7:50.0,L. Aldridge misses 2-pt hook shot from 4 ft,,35,40
2,7:48.0,,Defensive rebound by H. Giles,35,40
2,7:45.0,,Personal foul by M. Belinelli (drawn by M. Bagley),35,40
2,7:45.0,D. White enters the game for P. Mills,,35,40
2,7:31.0,,H. Giles makes 2-pt dunk from 1 ft (assist by B. Bogdanović),35,42
2,7:15.0,D. DeRozan makes 2-pt jump shot from 10 ft,,37,42
2,7:03.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,37,42
2,7:03.0,Defensive rebound by L. Aldridge,,37,42
2,6:52.0,L. Aldridge makes 2-pt layup from 4 ft (assist by D. White),,39,42
2,6:35.0,,B. Bogdanović makes 2-pt jump shot from 12 ft,39,44
2,6:20.0,Turnover by D. DeRozan (bad pass; steal by F. Mason),,39,44
2,6:13.0,,F. Mason makes 2-pt jump shot from 13 ft,39,46
2,6:11.0,San Antonio full timeout,,39,46
2,6:11.0,Q. Pondexter enters the game for M. Belinelli,,39,46
2,6:11.0,,W. Cauley-Stein enters the game for H. Giles,39,46
2,5:55.0,L. Aldridge misses 2-pt jump shot from 14 ft,,39,46
2,5:52.0,Offensive rebound by D. Cunningham,,39,46
2,5:49.0,Q. Pondexter misses 3-pt jump shot from 23 ft,,39,46
2,5:47.0,,Defensive rebound by W. Cauley-Stein,39,46
2,5:32.0,,M. Bagley misses 2-pt hook shot from 8 ft,39,46
2,5:29.0,Defensive rebound by D. DeRozan,,39,46
2,5:23.0,D. White makes 3-pt jump shot from 26 ft (assist by Q. Pondexter),,42,46
2,5:16.0,,M. Bagley makes 2-pt dunk from 1 ft (assist by F. Mason),42,48
2,4:57.0,D. DeRozan misses 2-pt layup from 2 ft,,42,48
2,4:54.0,,Defensive rebound by J. Jackson,42,48
2,4:42.0,,Turnover by B. Bogdanović (bad pass; steal by D. Cunningham),42,48
2,4:38.0,Q. Pondexter misses 2-pt layup from 2 ft (block by F. Mason),,42,48
2,4:38.0,Offensive rebound by Team,,42,48
2,4:38.0,,N. Bjelica enters the game for M. Bagley,42,48
2,4:38.0,,D. Fox enters the game for F. Mason,42,48
2,4:22.0,D. Cunningham makes 2-pt layup from 5 ft (assist by D. DeRozan),,44,48
2,4:22.0,R. Gay enters the game for Q. Pondexter,,44,48
2,4:22.0,,B. Hield enters the game for B. Bogdanović,44,48
2,4:00.0,,D. Fox makes 3-pt jump shot from 24 ft (assist by J. Jackson),44,51
2,3:35.0,D. Cunningham misses 2-pt jump shot from 10 ft,,44,51
2,3:32.0,,Defensive rebound by J. Jackson,44,51
2,3:25.0,,B. Hield misses 2-pt jump shot from 20 ft,44,51
2,3:22.0,Defensive rebound by L. Aldridge,,44,51
2,3:13.0,D. Cunningham misses 2-pt layup from 4 ft,,44,51
2,3:12.0,Offensive rebound by D. Cunningham,,44,51
2,3:11.0,D. Cunningham makes 2-pt layup from 3 ft,,46,51
2,2:57.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,46,51
2,2:55.0,Defensive rebound by L. Aldridge,,46,51
2,2:51.0,D. Cunningham makes 2-pt layup from 2 ft (assist by D. White),,48,51
2,2:51.0,,Sacramento full timeout,48,51
2,2:51.0,P. Mills enters the game for D. White,,48,51
2,2:51.0,,I. Shumpert enters the game for J. Jackson,48,51
2,2:37.0,,B. Hield misses 2-pt jump shot from 17 ft,48,51
2,2:32.0,Defensive rebound by D. Cunningham,,48,51
2,2:24.0,D. Cunningham makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,51,51
2,2:09.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,51,51
2,2:05.0,Defensive rebound by R. Gay,,51,51
2,1:59.0,R. Gay makes 2-pt jump shot from 10 ft,,53,51
2,1:44.0,,Shooting foul by L. Aldridge (drawn by W. Cauley-Stein),53,51
2,1:44.0,,W. Cauley-Stein makes free throw 1 of 2,53,52
2,1:44.0,,W. Cauley-Stein misses free throw 2 of 2,53,52
2,1:41.0,Defensive rebound by P. Mills,,53,52
2,1:24.0,P. Mills misses 3-pt jump shot from 25 ft,,53,52
2,1:18.0,,Defensive rebound by W. Cauley-Stein,53,52
2,1:13.0,,D. Fox makes 2-pt jump shot from 16 ft,53,54
2,0:57.0,P. Mills makes 2-pt layup from 2 ft (assist by D. DeRozan),,55,54
2,0:53.0,,Personal foul by D. Cunningham (drawn by D. Fox),55,54
2,0:53.0,,D. Fox makes free throw 1 of 2,55,55
2,0:53.0,,D. Fox makes free throw 2 of 2,55,56
2,0:35.0,Turnover by D. DeRozan (out of bounds lost ball),,55,56
2,0:25.0,,Personal foul by D. Cunningham (drawn by B. Hield),55,56
2,0:25.0,,B. Hield misses free throw 1 of 2,55,56
2,0:25.0,,Offensive rebound by Team,55,56
2,0:25.0,,B. Hield misses free throw 2 of 2,55,56
2,0:23.0,Defensive rebound by L. Aldridge,,55,56
2,0:03.0,D. DeRozan misses 2-pt jump shot from 12 ft,,55,56
2,0:00.0,,Defensive rebound by W. Cauley-Stein,55,56
3,11:45.0,Personal foul by B. Hield (drawn by B. Forbes),,55,56
3,11:40.0,D. DeRozan makes 2-pt jump shot from 15 ft,,57,56
3,11:18.0,,W. Cauley-Stein misses 2-pt hook shot from 3 ft,57,56
3,11:14.0,Defensive rebound by L. Aldridge,,57,56
3,11:11.0,B. Forbes misses 3-pt jump shot from 25 ft,,57,56
3,11:07.0,,Defensive rebound by W. Cauley-Stein,57,56
3,11:03.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by I. Shumpert),57,59
3,10:44.0,Turnover by L. Aldridge (bad pass; steal by I. Shumpert),,57,59
3,10:34.0,,Shooting foul by B. Forbes (drawn by B. Hield),57,59
3,10:34.0,,B. Hield makes free throw 1 of 2,57,60
3,10:34.0,,B. Hield makes free throw 2 of 2,57,61
3,10:12.0,D. DeRozan misses 3-pt jump shot from 23 ft,,57,61
3,10:07.0,Offensive rebound by D. Cunningham,,57,61
3,10:07.0,D. Cunningham misses 2-pt layup from 1 ft,,57,61
3,10:05.0,Offensive rebound by L. Aldridge,,57,61
3,10:03.0,Personal foul by W. Cauley-Stein (drawn by L. Aldridge),,57,61
3,9:54.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. DeRozan),,59,61
3,9:46.0,,Shooting foul by B. Forbes (drawn by D. Fox),59,61
3,9:46.0,,D. Fox misses free throw 1 of 2,59,61
3,9:46.0,,Offensive rebound by Team,59,61
3,9:46.0,,D. Fox misses free throw 2 of 2,59,61
3,9:44.0,Defensive rebound by L. Aldridge,,59,61
3,9:27.0,D. DeRozan makes 2-pt layup from 3 ft,,61,61
3,9:27.0,Shooting foul by I. Shumpert (drawn by D. DeRozan),,61,61
3,9:27.0,D. DeRozan makes free throw 1 of 1,,62,61
3,9:16.0,,Personal foul by D. DeRozan (drawn by W. Cauley-Stein),62,61
3,9:07.0,,N. Bjelica makes 3-pt jump shot from 23 ft (assist by D. Fox),62,64
3,8:46.0,Shooting foul by W. Cauley-Stein (drawn by D. DeRozan),,62,64
3,8:46.0,D. DeRozan makes free throw 1 of 2,,63,64
3,8:46.0,D. DeRozan makes free throw 2 of 2,,64,64
3,8:24.0,,N. Bjelica misses 2-pt jump shot from 8 ft,64,64
3,8:21.0,,Offensive rebound by N. Bjelica,64,64
3,8:21.0,,N. Bjelica makes 2-pt layup at rim,64,66
3,8:08.0,D. White misses 3-pt jump shot from 26 ft,,64,66
3,8:05.0,,Defensive rebound by N. Bjelica,64,66
3,8:00.0,,D. Fox makes 2-pt jump shot from 15 ft (assist by B. Hield),64,68
3,7:59.0,San Antonio full timeout,,64,68
3,7:34.0,B. Forbes misses 3-pt jump shot from 25 ft,,64,68
3,7:30.0,,Defensive rebound by W. Cauley-Stein,64,68
3,7:11.0,,D. Fox misses 2-pt jump shot from 17 ft,64,68
3,7:06.0,Defensive rebound by L. Aldridge,,64,68
3,6:59.0,B. Forbes misses 3-pt jump shot from 25 ft,,64,68
3,6:56.0,,Defensive rebound by B. Hield,64,68
3,6:49.0,,B. Hield makes 2-pt jump shot from 17 ft,64,70
3,6:24.0,D. DeRozan misses 3-pt jump shot from 24 ft,,64,70
3,6:20.0,,Defensive rebound by W. Cauley-Stein,64,70
3,6:15.0,,B. Hield misses 3-pt jump shot from 25 ft,64,70
3,6:12.0,Defensive rebound by L. Aldridge,,64,70
3,6:01.0,Turnover by D. DeRozan (step out of bounds),,64,70
3,6:01.0,P. Mills enters the game for D. White,,64,70
3,5:51.0,,W. Cauley-Stein misses 2-pt layup from 5 ft,64,70
3,5:49.0,Defensive rebound by D. Cunningham,,64,70
3,5:43.0,Shooting foul by N. Bjelica (drawn by D. DeRozan),,64,70
3,5:43.0,D. DeRozan makes free throw 1 of 2,,65,70
3,5:43.0,M. Belinelli enters the game for D. Cunningham,,65,70
3,5:43.0,R. Gay enters the game for B. Forbes,,65,70
3,5:43.0,D. DeRozan misses free throw 2 of 2,,65,70
3,5:41.0,,Defensive rebound by W. Cauley-Stein,65,70
3,5:28.0,,B. Hield misses 2-pt jump shot from 19 ft,65,70
3,5:23.0,Defensive rebound by D. DeRozan,,65,70
3,5:17.0,Shooting foul by W. Cauley-Stein (drawn by D. DeRozan),,65,70
3,5:17.0,D. DeRozan makes free throw 1 of 2,,66,70
3,5:17.0,,M. Bagley enters the game for N. Bjelica,66,70
3,5:17.0,,B. Bogdanović enters the game for B. Hield,66,70
3,5:17.0,D. DeRozan makes free throw 2 of 2,,67,70
3,5:01.0,,M. Bagley misses 2-pt jump shot from 10 ft,67,70
3,4:58.0,Defensive rebound by R. Gay,,67,70
3,4:49.0,R. Gay misses 3-pt jump shot from 26 ft,,67,70
3,4:45.0,,Defensive rebound by W. Cauley-Stein,67,70
3,4:38.0,,I. Shumpert misses 3-pt jump shot from 25 ft,67,70
3,4:35.0,Defensive rebound by L. Aldridge,,67,70
3,4:31.0,M. Belinelli misses 3-pt jump shot from 25 ft,,67,70
3,4:26.0,,Defensive rebound by M. Bagley,67,70
3,4:19.0,,M. Bagley misses 3-pt jump shot from 25 ft,67,70
3,4:17.0,Defensive rebound by P. Mills,,67,70
3,4:00.0,P. Mills misses 3-pt jump shot from 23 ft,,67,70
3,3:57.0,,Defensive rebound by W. Cauley-Stein,67,70
3,3:52.0,,B. Bogdanović makes 2-pt hook shot from 4 ft (assist by W. Cauley-Stein),67,72
3,3:47.0,Turnover by P. Mills (bad pass; steal by D. Fox),,67,72
3,3:36.0,,B. Bogdanović misses 2-pt layup from 5 ft (block by R. Gay),67,72
3,3:32.0,Defensive rebound by L. Aldridge,,67,72
3,3:25.0,Shooting foul by I. Shumpert (drawn by M. Belinelli),,67,72
3,3:25.0,M. Belinelli misses free throw 1 of 2,,67,72
3,3:25.0,Offensive rebound by Team,,67,72
3,3:25.0,J. Poeltl enters the game for L. Aldridge,,67,72
3,3:25.0,,J. Jackson enters the game for I. Shumpert,67,72
3,3:25.0,M. Belinelli makes free throw 2 of 2,,68,72
3,3:10.0,,W. Cauley-Stein misses 2-pt jump shot from 16 ft,68,72
3,3:07.0,,Offensive rebound by M. Bagley,68,72
3,3:07.0,,M. Bagley misses 2-pt layup at rim,68,72
3,3:07.0,,Offensive rebound by M. Bagley,68,72
3,3:07.0,,M. Bagley makes 2-pt layup from 3 ft,68,74
3,3:07.0,,Shooting foul by R. Gay (drawn by M. Bagley),68,74
3,3:07.0,,F. Mason enters the game for D. Fox,68,74
3,3:07.0,,M. Bagley makes free throw 1 of 1,68,75
3,2:45.0,Turnover by M. Belinelli (bad pass; steal by W. Cauley-Stein),,68,75
3,2:38.0,,Sacramento full timeout,68,75
3,2:38.0,,H. Giles enters the game for W. Cauley-Stein,68,75
3,2:23.0,,H. Giles misses 2-pt layup from 6 ft,68,75
3,2:20.0,Defensive rebound by J. Poeltl,,68,75
3,2:14.0,D. DeRozan makes 2-pt jump shot from 7 ft,,70,75
3,1:56.0,,M. Bagley makes 2-pt dunk from 2 ft (assist by B. Bogdanović),70,77
3,1:47.0,Shooting foul by H. Giles (drawn by J. Poeltl),,70,77
3,1:47.0,J. Poeltl makes free throw 1 of 2,,71,77
3,1:47.0,D. Bertāns enters the game for D. DeRozan,,71,77
3,1:47.0,J. Poeltl misses free throw 2 of 2,,71,77
3,1:44.0,,Defensive rebound by H. Giles,71,77
3,1:34.0,,Offensive foul by H. Giles (drawn by M. Belinelli),71,77
3,1:34.0,,Turnover by H. Giles (offensive foul),71,77
3,1:18.0,R. Gay makes 2-pt jump shot from 18 ft,,73,77
3,1:02.0,,H. Giles misses 2-pt jump shot from 16 ft,73,77
3,0:58.0,Defensive rebound by R. Gay,,73,77
3,0:58.0,Turnover by R. Gay (bad pass; steal by J. Jackson),,73,77
3,0:54.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,73,77
3,0:50.0,Defensive rebound by J. Poeltl,,73,77
3,0:46.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by M. Belinelli),,76,77
3,0:29.0,,J. Jackson misses 2-pt jump shot from 18 ft,76,77
3,0:25.0,Defensive rebound by R. Gay,,76,77
3,0:07.0,R. Gay misses 2-pt jump shot from 20 ft,,76,77
3,0:03.0,,Defensive rebound by H. Giles,76,77
3,0:00.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,76,77
3,0:00.0,,Offensive rebound by Team,76,77
4,11:40.0,,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by H. Giles),76,79
4,11:28.0,M. Belinelli misses 3-pt jump shot from 25 ft,,76,79
4,11:23.0,,Defensive rebound by J. Jackson,76,79
4,11:16.0,,B. Bogdanović misses 2-pt jump shot from 21 ft,76,79
4,11:16.0,Defensive rebound by Team,,76,79
4,10:59.0,P. Mills misses 3-pt jump shot from 25 ft,,76,79
4,10:58.0,Offensive rebound by Team,,76,79
4,10:58.0,,Loose ball foul by J. Jackson (drawn by J. Poeltl),76,79
4,10:49.0,R. Gay makes 2-pt jump shot from 7 ft,,78,79
4,10:38.0,,H. Giles misses 2-pt layup from 6 ft,78,79
4,10:35.0,Defensive rebound by R. Gay,,78,79
4,10:33.0,Turnover by D. Bertāns (bad pass),,78,79
4,10:33.0,D. White enters the game for P. Mills,,78,79
4,10:17.0,,Offensive foul by M. Bagley (drawn by R. Gay),78,79
4,10:17.0,,Turnover by M. Bagley (offensive foul),78,79
4,10:17.0,,Violation by Team (delay of game),78,79
4,10:17.0,D. Cunningham enters the game for R. Gay,,78,79
4,9:59.0,D. White makes 2-pt jump shot from 21 ft,,80,79
4,9:36.0,,H. Giles makes 2-pt hook shot from 8 ft,80,81
4,9:16.0,D. Bertāns misses 3-pt jump shot from 25 ft,,80,81
4,9:15.0,,Defensive rebound by Team,80,81
4,9:15.0,Loose ball foul by J. Poeltl (drawn by F. Mason),,80,81
4,9:15.0,L. Aldridge enters the game for J. Poeltl,,80,81
4,9:06.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by F. Mason),80,84
4,9:05.0,San Antonio full timeout,,80,84
4,9:05.0,B. Forbes enters the game for M. Belinelli,,80,84
4,8:47.0,Turnover by B. Forbes (bad pass; steal by H. Giles),,80,84
4,8:36.0,,B. Bogdanović misses 2-pt jump shot from 6 ft,80,84
4,8:36.0,,Offensive rebound by H. Giles,80,84
4,8:34.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Jackson),80,86
4,8:15.0,Shooting foul by H. Giles (drawn by D. White),,80,86
4,8:15.0,D. White makes free throw 1 of 2,,81,86
4,8:15.0,D. DeRozan enters the game for D. Bertāns,,81,86
4,8:15.0,,D. Fox enters the game for J. Jackson,81,86
4,8:15.0,,B. Hield enters the game for F. Mason,81,86
4,8:15.0,D. White makes free throw 2 of 2,,82,86
4,8:01.0,,M. Bagley misses 2-pt layup from 4 ft (block by L. Aldridge),82,86
4,7:58.0,Defensive rebound by D. Cunningham,,82,86
4,7:48.0,D. DeRozan misses 2-pt jump shot from 20 ft,,82,86
4,7:46.0,,Defensive rebound by M. Bagley,82,86
4,7:38.0,,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),82,88
4,7:18.0,D. White misses 2-pt layup from 2 ft,,82,88
4,7:18.0,Offensive rebound by L. Aldridge,,82,88
4,7:18.0,Shooting foul by H. Giles (drawn by L. Aldridge),,82,88
4,7:18.0,L. Aldridge makes free throw 1 of 2,,83,88
4,7:18.0,,N. Bjelica enters the game for M. Bagley,83,88
4,7:18.0,L. Aldridge makes free throw 2 of 2,,84,88
4,7:01.0,,Turnover by H. Giles (bad pass; steal by B. Forbes),84,88
4,6:56.0,D. DeRozan makes 2-pt layup from 1 ft (assist by B. Forbes),,86,88
4,6:45.0,,Personal foul by D. Cunningham (drawn by H. Giles),86,88
4,6:45.0,,W. Cauley-Stein enters the game for B. Bogdanović,86,88
4,6:45.0,,I. Shumpert enters the game for H. Giles,86,88
4,6:45.0,,Sacramento full timeout,86,88
4,6:39.0,,W. Cauley-Stein makes 2-pt jump shot from 15 ft (assist by D. Fox),86,90
4,6:19.0,D. DeRozan makes 2-pt jump shot from 19 ft,,88,90
4,6:08.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft (block by L. Aldridge),88,90
4,6:07.0,Defensive rebound by Team,,88,90
4,5:48.0,D. White misses 2-pt jump shot from 16 ft,,88,90
4,5:45.0,,Defensive rebound by I. Shumpert,88,90
4,5:28.0,,Offensive foul by D. Fox (drawn by D. White),88,90
4,5:28.0,,Turnover by D. Fox (offensive foul),88,90
4,5:11.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by B. Forbes),,90,90
4,5:01.0,,I. Shumpert makes 2-pt jump shot from 16 ft,90,92
4,4:44.0,Turnover by D. DeRozan (lost ball; steal by I. Shumpert),,90,92
4,4:38.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Hield),90,95
4,4:15.0,D. DeRozan misses 2-pt jump shot from 17 ft,,90,95
4,4:10.0,,Defensive rebound by N. Bjelica,90,95
4,4:06.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),90,98
4,4:05.0,San Antonio full timeout,,90,98
4,4:05.0,R. Gay enters the game for D. Cunningham,,90,98
4,3:44.0,Turnover by L. Aldridge (lost ball; steal by N. Bjelica),,90,98
4,3:39.0,,B. Hield misses 3-pt jump shot from 25 ft,90,98
4,3:36.0,Defensive rebound by R. Gay,,90,98
4,3:36.0,P. Mills enters the game for D. White,,90,98
4,3:16.0,L. Aldridge misses 2-pt jump shot from 19 ft,,90,98
4,3:13.0,,Defensive rebound by D. Fox,90,98
