QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
4,5:07.0,R. Rubio makes 2-pt jump shot from 11 ft (assist by D. Mitchell),,91,88
4,4:49.0,,Turnover by B. Griffin (bad pass; steal by D. Mitchell),91,88
4,4:44.0,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,94,88
4,4:37.0,,Detroit full timeout,94,88
4,4:37.0,J. Ingles enters the game for K. Korver,,94,88
4,4:30.0,,Turnover by B. Brown (bad pass; steal by J. Crowder),94,88
4,4:24.0,J. Crowder makes 2-pt dunk from 1 ft (assist by R. Rubio),,96,88
4,4:10.0,,R. Jackson misses 3-pt jump shot from 28 ft,96,88
4,4:07.0,Defensive rebound by R. Gobert,,96,88
4,3:55.0,J. Ingles misses 2-pt layup at rim,,96,88
4,3:52.0,Offensive rebound by J. Crowder,,96,88
4,3:51.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by J. Crowder),,99,88
4,3:24.0,,B. Griffin makes 2-pt jump shot from 17 ft,99,90
4,3:07.0,D. Mitchell misses 2-pt layup from 5 ft,,99,90
4,3:05.0,,Defensive rebound by A. Drummond,99,90
4,2:46.0,,B. Griffin makes 2-pt layup from 2 ft,99,92
4,2:45.0,Utah full timeout,,99,92
4,2:21.0,J. Crowder misses 3-pt jump shot from 27 ft,,99,92
4,2:19.0,,Defensive rebound by A. Drummond,99,92
4,2:09.0,,R. Jackson makes 3-pt jump shot from 28 ft,99,95
4,1:50.0,D. Mitchell makes 3-pt jump shot from 27 ft,,102,95
4,1:40.0,,Shooting foul by R. Gobert (drawn by B. Griffin),102,95
4,1:40.0,,B. Griffin makes free throw 1 of 2,102,96
4,1:40.0,,B. Griffin makes free throw 2 of 2,102,97
4,1:25.0,D. Mitchell makes 2-pt layup from 3 ft,,104,97
4,1:10.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by B. Brown),104,100
4,0:52.0,R. Rubio misses 3-pt jump shot from 24 ft,,104,100
4,0:49.0,,Defensive rebound by B. Griffin,104,100
4,0:40.0,,B. Griffin makes 2-pt hook shot from 5 ft,104,102
4,0:22.0,D. Mitchell makes 2-pt jump shot from 16 ft,,106,102
4,0:22.0,,Detroit full timeout,106,102
4,0:22.0,D. Favors enters the game for J. Crowder,,106,102
4,0:22.0,,Detroit full timeout,106,102
4,0:14.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by R. Bullock),106,105
4,0:13.0,Personal take foul by B. Brown (drawn by D. Mitchell),,106,105
4,0:13.0,J. Crowder enters the game for D. Favors,,106,105
4,0:12.0,Personal take foul by R. Jackson (drawn by R. Rubio),,106,105
4,0:12.0,R. Rubio makes free throw 1 of 2,,107,105
4,0:12.0,R. Rubio makes free throw 2 of 2,,108,105
4,0:07.0,,Turnover by R. Jackson (bad pass; steal by J. Crowder),108,105
4,0:01.0,Personal take foul by R. Jackson (drawn by R. Rubio),,108,105
4,0:01.0,R. Rubio makes free throw 1 of 2,,109,105
4,0:01.0,R. Rubio makes free throw 2 of 2,,110,105
