QUARTER,TIME_REMAINING,PORTLAND_ACTION,UTAH_ACTION,PORTLAND_SCORE,UTAH_SCORE
1,7:47.0,C. McCollum misses 2-pt jump shot from 14 ft,,11,12
1,7:44.0,,Defensive rebound by D. Favors,11,12
1,7:30.0,,D. Favors misses 2-pt layup from 2 ft,11,12
1,7:27.0,,Offensive rebound by D. Mitchell,11,12
1,7:21.0,,J. Ingles makes 2-pt layup from 2 ft,11,14
1,7:20.0,Portland full timeout,,11,14
1,7:20.0,J. Layman enters the game for C. McCollum,,11,14
1,7:00.0,J. Nurkić misses 2-pt hook shot from 4 ft,,11,14
1,6:57.0,Offensive rebound by M. Harkless,,11,14
1,6:56.0,J. Layman misses 2-pt jump shot from 23 ft,,11,14
1,6:56.0,Offensive rebound by Team,,11,14
1,6:54.0,Turnover by Team (shot clock),,11,14
1,6:42.0,,R. O'Neale misses 2-pt layup from 2 ft,11,14
1,6:41.0,,Offensive rebound by Team,11,14
1,6:41.0,,Offensive foul by D. Mitchell (drawn by D. Lillard),11,14
1,6:41.0,,Turnover by D. Mitchell (offensive foul),11,14
1,6:41.0,,J. Crowder enters the game for D. Favors,11,14
1,6:30.0,J. Layman makes 2-pt layup from 2 ft (assist by D. Lillard),,13,14
1,6:10.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by J. Ingles),13,17
1,5:55.0,Turnover by D. Lillard (bad pass; steal by R. O'Neale),,13,17
1,5:50.0,,J. Crowder makes 2-pt layup from 3 ft (assist by J. Ingles),13,19
1,5:29.0,D. Lillard makes 2-pt hook shot from 7 ft,,15,19
1,5:17.0,,Turnover by R. Gobert (traveling),15,19
1,5:17.0,E. Turner enters the game for M. Harkless,,15,19
1,5:17.0,,K. Korver enters the game for J. Ingles,15,19
1,5:03.0,J. Nurkić misses 2-pt hook shot from 8 ft,,15,19
1,4:58.0,Offensive rebound by A. Aminu,,15,19
1,4:56.0,E. Turner makes 2-pt layup from 4 ft (assist by A. Aminu),,17,19
1,4:38.0,,D. Mitchell misses 3-pt jump shot from 25 ft,17,19
1,4:35.0,Defensive rebound by J. Nurkić,,17,19
1,4:26.0,J. Layman misses 2-pt jump shot from 20 ft,,17,19
1,4:23.0,,Defensive rebound by K. Korver,17,19
1,4:15.0,,Turnover by D. Mitchell (out of bounds lost ball),17,19
1,4:15.0,,R. Rubio enters the game for R. O'Neale,17,19
1,4:03.0,D. Lillard misses 2-pt jump shot from 19 ft,,17,19
1,4:00.0,,Defensive rebound by J. Crowder,17,19
1,3:53.0,,J. Crowder misses 2-pt jump shot from 11 ft,17,19
1,3:51.0,,Offensive rebound by R. Gobert,17,19
1,3:51.0,,Shooting foul by E. Turner (drawn by R. Gobert),17,19
1,3:51.0,,R. Gobert makes free throw 1 of 2,17,20
1,3:51.0,Z. Collins enters the game for A. Aminu,,17,20
1,3:51.0,M. Leonard enters the game for J. Nurkić,,17,20
1,3:51.0,,R. Gobert misses free throw 2 of 2,17,20
1,3:48.0,Defensive rebound by M. Leonard,,17,20
1,3:40.0,E. Turner makes 2-pt layup from 2 ft,,19,20
1,3:29.0,,D. Mitchell makes 2-pt hook shot from 4 ft (assist by R. Gobert),19,22
1,3:07.0,E. Turner makes 2-pt jump shot from 10 ft,,21,22
1,2:52.0,,D. Mitchell makes 2-pt layup from 2 ft,21,24
1,2:34.0,Shooting foul by D. Mitchell (drawn by D. Lillard),,21,24
1,2:34.0,,Utah full timeout,21,24
1,2:34.0,,D. Favors enters the game for R. Gobert,21,24
1,2:34.0,,J. Ingles enters the game for D. Mitchell,21,24
1,2:34.0,D. Lillard makes free throw 1 of 2,,22,24
1,2:34.0,D. Lillard makes free throw 2 of 2,,23,24
1,2:22.0,,K. Korver misses 3-pt jump shot from 25 ft (block by J. Layman),23,24
1,2:19.0,Defensive rebound by D. Lillard,,23,24
1,2:14.0,D. Lillard makes 2-pt layup from 2 ft,,25,24
1,2:01.0,,R. Rubio misses 3-pt jump shot from 25 ft,25,24
1,1:57.0,Defensive rebound by D. Lillard,,25,24
1,1:53.0,Personal foul by R. Rubio (drawn by D. Lillard),,25,24
1,1:40.0,M. Leonard makes 2-pt dunk from 15 ft (assist by Z. Collins),,27,24
1,1:22.0,,K. Korver makes 2-pt jump shot from 22 ft (assist by J. Crowder),27,26
1,1:03.0,Z. Collins misses 2-pt jump shot from 18 ft,,27,26
1,1:00.0,,Defensive rebound by K. Korver,27,26
1,0:46.0,,Turnover by R. Rubio (out of bounds lost ball),27,26
1,0:46.0,C. McCollum enters the game for M. Leonard,,27,26
1,0:34.0,D. Lillard makes 2-pt jump shot from 21 ft,,29,26
1,0:13.0,,D. Favors makes 2-pt layup from 3 ft (assist by J. Ingles),29,28
1,0:00.0,E. Turner misses 2-pt layup from 3 ft,,29,28
1,0:00.0,Offensive rebound by Team,,29,28
2,11:46.0,Z. Collins misses 2-pt layup from 4 ft,,29,28
2,11:44.0,,Defensive rebound by D. Favors,29,28
2,11:33.0,,Turnover by R. Rubio (out of bounds lost ball),29,28
2,11:16.0,Z. Collins misses 2-pt layup from 2 ft (block by D. Favors),,29,28
2,11:14.0,,Defensive rebound by J. Ingles,29,28
2,11:09.0,,Shooting foul by M. Leonard (drawn by R. Rubio),29,28
2,11:09.0,,R. Rubio makes free throw 1 of 2,29,29
2,11:09.0,,R. Rubio makes free throw 2 of 2,29,30
2,10:54.0,M. Leonard misses 2-pt jump shot from 8 ft,,29,30
2,10:51.0,,Defensive rebound by D. Favors,29,30
2,10:39.0,,R. Rubio makes 3-pt jump shot from 22 ft (assist by D. Favors),29,33
2,10:25.0,Z. Collins misses 3-pt jump shot from 25 ft,,29,33
2,10:22.0,,Defensive rebound by R. Rubio,29,33
2,10:14.0,,Turnover by R. Rubio (bad pass; steal by Z. Collins),29,33
2,9:58.0,C. McCollum misses 2-pt jump shot from 23 ft,,29,33
2,9:57.0,,Defensive rebound by J. Crowder,29,33
2,9:48.0,,Turnover by D. Favors (lost ball; steal by M. Leonard),29,33
2,9:41.0,Personal foul by R. Rubio (drawn by E. Turner),,29,33
2,9:41.0,Technical foul by E. Turner,,29,33
2,9:41.0,,R. Rubio makes technical free throw,29,34
2,9:41.0,,D. Mitchell enters the game for J. Crowder,29,34
2,9:41.0,,G. Niang enters the game for K. Korver,29,34
2,9:41.0,,R. O'Neale enters the game for R. Rubio,29,34
2,9:24.0,Turnover by Team (shot clock),,29,34
2,9:24.0,Portland full timeout,,29,34
2,9:10.0,,J. Ingles misses 2-pt jump shot from 23 ft,29,34
2,9:08.0,Defensive rebound by M. Leonard,,29,34
2,9:00.0,E. Turner misses 2-pt jump shot from 20 ft,,29,34
2,8:56.0,Offensive rebound by S. Curry,,29,34
2,8:49.0,E. Turner makes 2-pt jump shot from 19 ft (assist by S. Curry),,31,34
2,8:37.0,,D. Mitchell makes 2-pt jump shot from 12 ft,31,36
2,8:19.0,S. Curry makes 3-pt jump shot from 28 ft (assist by M. Leonard),,34,36
2,8:00.0,,D. Mitchell misses 3-pt jump shot from 25 ft,34,36
2,7:57.0,Defensive rebound by C. McCollum,,34,36
2,7:52.0,C. McCollum misses 2-pt jump shot from 20 ft,,34,36
2,7:49.0,,Defensive rebound by D. Mitchell,34,36
2,7:44.0,,R. O'Neale makes 2-pt layup from 3 ft (assist by D. Mitchell),34,38
2,7:28.0,C. McCollum misses 2-pt layup from 3 ft (block by D. Favors),,34,38
2,7:25.0,,Defensive rebound by R. O'Neale,34,38
2,7:21.0,,G. Niang misses 2-pt layup from 2 ft,34,38
2,7:19.0,Defensive rebound by E. Turner,,34,38
2,7:04.0,S. Curry misses 2-pt jump shot from 21 ft,,34,38
2,7:02.0,,Defensive rebound by D. Favors,34,38
2,6:55.0,,Personal foul by S. Curry (drawn by D. Mitchell),34,38
2,6:55.0,A. Aminu enters the game for Z. Collins,,34,38
2,6:55.0,J. Nurkić enters the game for M. Leonard,,34,38
2,6:55.0,,J. Crowder enters the game for D. Favors,34,38
2,6:55.0,,R. Gobert enters the game for J. Ingles,34,38
2,6:55.0,,K. Korver enters the game for G. Niang,34,38
2,6:48.0,,D. Mitchell misses 2-pt jump shot from 14 ft,34,38
2,6:44.0,Defensive rebound by S. Curry,,34,38
2,6:38.0,J. Nurkić misses 2-pt jump shot from 21 ft,,34,38
2,6:35.0,,Defensive rebound by R. Gobert,34,38
2,6:29.0,,R. O'Neale makes 3-pt jump shot from 22 ft (assist by D. Mitchell),34,41
2,6:11.0,Personal foul by K. Korver (drawn by E. Turner),,34,41
2,6:11.0,D. Lillard enters the game for E. Turner,,34,41
2,6:03.0,J. Nurkić misses 2-pt layup from 5 ft (block by R. Gobert),,34,41
2,6:01.0,,Defensive rebound by J. Crowder,34,41
2,5:49.0,,J. Crowder misses 3-pt jump shot from 25 ft,34,41
2,5:46.0,,Offensive rebound by R. Gobert,34,41
2,5:38.0,,D. Mitchell misses 2-pt jump shot from 15 ft,34,41
2,5:35.0,,Offensive rebound by J. Crowder,34,41
2,5:35.0,,J. Crowder makes 2-pt dunk at rim,34,43
2,5:35.0,Portland full timeout,,34,43
2,5:35.0,M. Harkless enters the game for S. Curry,,34,43
2,5:22.0,C. McCollum misses 2-pt jump shot from 20 ft,,34,43
2,5:19.0,,Defensive rebound by D. Mitchell,34,43
2,4:58.0,,D. Mitchell misses 2-pt layup from 3 ft (block by J. Nurkić),34,43
2,4:58.0,,Offensive rebound by Team,34,43
2,4:56.0,,D. Mitchell misses 2-pt jump shot from 19 ft,34,43
2,4:53.0,Defensive rebound by J. Nurkić,,34,43
2,4:48.0,Personal foul by D. Mitchell (drawn by D. Lillard),,34,43
2,4:48.0,,J. Ingles enters the game for D. Mitchell,34,43
2,4:33.0,J. Nurkić misses 2-pt hook shot from 2 ft (block by R. Gobert),,34,43
2,4:30.0,,Defensive rebound by K. Korver,34,43
2,4:21.0,,J. Crowder makes 2-pt jump shot from 18 ft (assist by R. Gobert),34,45
2,4:08.0,D. Lillard misses 3-pt jump shot from 27 ft,,34,45
2,4:06.0,Offensive rebound by Team,,34,45
2,4:01.0,D. Lillard makes 2-pt jump shot from 10 ft (assist by J. Nurkić),,36,45
2,3:39.0,,Utah full timeout,36,45
2,3:37.0,,J. Crowder misses 3-pt jump shot from 23 ft,36,45
2,3:34.0,Defensive rebound by D. Lillard,,36,45
2,3:28.0,D. Lillard makes 2-pt layup from 2 ft,,38,45
2,3:16.0,,J. Crowder misses 2-pt layup from 2 ft,38,45
2,3:13.0,,Offensive rebound by R. Gobert,38,45
2,3:13.0,,R. Gobert makes 2-pt dunk at rim,38,47
2,3:07.0,Turnover by J. Nurkić (bad pass; steal by R. O'Neale),,38,47
2,3:01.0,,R. Gobert misses 2-pt layup from 2 ft,38,47
2,2:57.0,Defensive rebound by A. Aminu,,38,47
2,2:48.0,C. McCollum makes 2-pt jump shot from 11 ft (assist by M. Harkless),,40,47
2,2:29.0,,K. Korver makes 2-pt jump shot from 21 ft (assist by J. Crowder),40,49
2,2:16.0,Personal foul by K. Korver (drawn by J. Nurkić),,40,49
2,2:08.0,C. McCollum misses 3-pt jump shot from 25 ft,,40,49
2,2:06.0,,Defensive rebound by J. Crowder,40,49
2,1:55.0,,R. Gobert misses 2-pt layup from 3 ft (block by J. Nurkić),40,49
2,1:55.0,,Offensive rebound by Team,40,49
2,1:53.0,,K. Korver makes 2-pt jump shot from 21 ft (assist by J. Ingles),40,51
2,1:35.0,J. Nurkić misses 2-pt jump shot from 20 ft,,40,51
2,1:32.0,,Defensive rebound by R. Gobert,40,51
2,1:28.0,,K. Korver misses 3-pt jump shot from 24 ft,40,51
2,1:24.0,Defensive rebound by C. McCollum,,40,51
2,1:15.0,A. Aminu makes 2-pt layup from 3 ft (assist by J. Nurkić),,42,51
2,0:56.0,,J. Crowder misses 3-pt jump shot from 24 ft,42,51
2,0:52.0,Defensive rebound by D. Lillard,,42,51
2,0:34.0,D. Lillard makes 2-pt jump shot from 21 ft,,44,51
2,0:15.0,,J. Ingles misses 2-pt layup from 3 ft (block by A. Aminu),44,51
2,0:15.0,,Offensive rebound by Team,44,51
2,0:15.0,E. Turner enters the game for C. McCollum,,44,51
2,0:12.0,,K. Korver misses 3-pt jump shot from 23 ft,44,51
2,0:09.0,Defensive rebound by D. Lillard,,44,51
3,11:46.0,A. Aminu misses 3-pt jump shot from 25 ft,,44,51
3,11:43.0,,Defensive rebound by Team,44,51
3,11:32.0,,Personal foul by M. Harkless (drawn by R. Gobert),44,51
3,11:27.0,,Turnover by R. Gobert (bad pass; steal by M. Harkless),44,51
3,11:26.0,Personal foul by R. O'Neale (drawn by C. McCollum),,44,51
3,11:21.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),,47,51
3,11:11.0,,Personal foul by D. Lillard (drawn by D. Mitchell),47,51
3,11:03.0,,D. Mitchell makes 2-pt jump shot from 8 ft (assist by J. Ingles),47,53
3,10:51.0,Shooting foul by D. Favors (drawn by J. Nurkić),,47,53
3,10:51.0,J. Nurkić misses free throw 1 of 2,,47,53
3,10:51.0,Offensive rebound by Team,,47,53
3,10:51.0,J. Nurkić makes free throw 2 of 2,,48,53
3,10:40.0,,R. O'Neale makes 2-pt layup from 2 ft,48,55
3,10:27.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,50,55
3,10:11.0,,D. Favors misses 3-pt jump shot from 23 ft,50,55
3,10:06.0,Defensive rebound by J. Nurkić,,50,55
3,9:58.0,D. Lillard makes 2-pt jump shot from 20 ft,,52,55
3,9:56.0,,Utah full timeout,52,55
3,9:39.0,,D. Mitchell misses 2-pt jump shot from 4 ft,52,55
3,9:36.0,Defensive rebound by J. Nurkić,,52,55
3,9:25.0,C. McCollum misses 2-pt layup from 3 ft (block by D. Favors),,52,55
3,9:23.0,,Defensive rebound by D. Mitchell,52,55
3,9:21.0,,R. O'Neale makes 2-pt layup from 1 ft (assist by D. Mitchell),52,57
3,9:21.0,,Shooting foul by M. Harkless (drawn by R. O'Neale),52,57
3,9:21.0,,R. O'Neale misses free throw 1 of 1,52,57
3,9:19.0,,Offensive rebound by Team,52,57
3,9:11.0,,R. Gobert misses 2-pt layup from 4 ft (block by M. Harkless),52,57
3,9:11.0,,Offensive rebound by Team,52,57
3,9:03.0,,D. Mitchell misses 3-pt jump shot from 24 ft,52,57
3,9:01.0,Defensive rebound by C. McCollum,,52,57
3,8:54.0,M. Harkless makes 2-pt dunk from 3 ft (assist by C. McCollum),,54,57
3,8:46.0,,R. Gobert misses 2-pt layup from 6 ft (block by J. Nurkić),54,57
3,8:43.0,Defensive rebound by D. Lillard,,54,57
3,8:38.0,A. Aminu makes 2-pt dunk from 2 ft (assist by C. McCollum),,56,57
3,8:23.0,,D. Mitchell misses 3-pt jump shot from 26 ft,56,57
3,8:20.0,Defensive rebound by J. Nurkić,,56,57
3,8:11.0,D. Lillard misses 2-pt layup from 2 ft,,56,57
3,8:08.0,,Defensive rebound by D. Mitchell,56,57
3,8:01.0,,R. O'Neale misses 2-pt layup from 3 ft (block by J. Nurkić),56,57
3,8:01.0,,Offensive rebound by D. Mitchell,56,57
3,7:58.0,,Shooting foul by J. Nurkić (drawn by D. Mitchell),56,57
3,7:58.0,,D. Mitchell makes free throw 1 of 2,56,58
3,7:58.0,,J. Crowder enters the game for D. Favors,56,58
3,7:58.0,,D. Mitchell makes free throw 2 of 2,56,59
3,7:41.0,J. Nurkić misses 2-pt jump shot from 11 ft,,56,59
3,7:39.0,,Defensive rebound by R. Gobert,56,59
3,7:33.0,,J. Ingles misses 2-pt layup from 2 ft (block by J. Nurkić),56,59
3,7:31.0,,Offensive rebound by Team,56,59
3,7:25.0,,D. Mitchell makes 2-pt jump shot from 8 ft,56,61
3,7:13.0,Personal foul by R. O'Neale (drawn by D. Lillard),,56,61
3,7:07.0,D. Lillard misses 3-pt jump shot from 27 ft,,56,61
3,7:04.0,,Defensive rebound by J. Ingles,56,61
3,6:56.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. O'Neale),56,64
3,6:34.0,A. Aminu makes 2-pt layup from 2 ft,,58,64
3,6:33.0,Technical foul by A. Aminu,,58,64
3,6:33.0,,D. Mitchell misses technical free throw,58,64
3,6:33.0,,Offensive rebound by Team,58,64
3,6:33.0,,K. Korver enters the game for J. Ingles,58,64
3,6:17.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),58,66
3,6:06.0,C. McCollum makes 2-pt jump shot from 7 ft,,60,66
3,6:01.0,,Technical foul by J. Crowder,60,66
3,6:01.0,D. Lillard makes technical free throw,,61,66
3,6:01.0,J. Layman enters the game for M. Harkless,,61,66
3,5:41.0,,Turnover by R. Gobert (bad pass; steal by J. Nurkić),61,66
3,5:35.0,J. Nurkić makes 2-pt layup from 2 ft (assist by C. McCollum),,63,66
3,5:35.0,Shooting foul by R. O'Neale (drawn by J. Nurkić),,63,66
3,5:35.0,J. Nurkić makes free throw 1 of 1,,64,66
3,5:21.0,,Turnover by D. Mitchell (bad pass),64,66
3,5:09.0,C. McCollum misses 2-pt jump shot from 13 ft,,64,66
3,5:06.0,,Defensive rebound by R. O'Neale,64,66
3,4:59.0,,R. Gobert misses 2-pt layup from 2 ft (block by J. Nurkić),64,66
3,4:57.0,Defensive rebound by J. Nurkić,,64,66
3,4:38.0,Shooting foul by R. Gobert (drawn by J. Nurkić),,64,66
3,4:38.0,,Technical foul by R. Gobert,64,66
3,4:38.0,D. Lillard makes technical free throw,,65,66
3,4:38.0,J. Nurkić makes free throw 1 of 2,,66,66
3,4:38.0,,R. Rubio enters the game for R. O'Neale,66,66
3,4:38.0,J. Nurkić makes free throw 2 of 2,,67,66
3,4:31.0,,Personal foul by C. McCollum (drawn by D. Mitchell),67,66
3,4:31.0,,D. Mitchell makes free throw 1 of 2,67,67
3,4:31.0,,D. Mitchell makes free throw 2 of 2,67,68
3,4:22.0,J. Nurkić makes 2-pt dunk from 2 ft (assist by D. Lillard),,69,68
3,4:03.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by R. Gobert),69,71
3,3:50.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,71,71
3,3:50.0,Shooting foul by D. Mitchell (drawn by C. McCollum),,71,71
3,3:50.0,,Utah full timeout,71,71
3,3:50.0,,J. Ingles enters the game for D. Mitchell,71,71
3,3:50.0,C. McCollum misses free throw 1 of 1,,71,71
3,3:48.0,,Defensive rebound by R. Gobert,71,71
3,3:40.0,,Offensive foul by K. Korver (drawn by A. Aminu),71,71
3,3:40.0,,Turnover by K. Korver (offensive foul),71,71
3,3:24.0,J. Nurkić makes 2-pt layup from 4 ft (assist by D. Lillard),,73,71
3,3:07.0,,R. Rubio makes 2-pt layup from 3 ft (assist by J. Ingles),73,73
3,3:07.0,,Shooting foul by J. Layman (drawn by R. Rubio),73,73
3,3:07.0,E. Turner enters the game for C. McCollum,,73,73
3,3:07.0,,R. Rubio misses free throw 1 of 1,73,73
3,3:06.0,,Offensive rebound by R. Rubio,73,73
3,3:03.0,,Personal foul by J. Layman (drawn by R. Rubio),73,73
3,3:03.0,,R. Rubio makes free throw 1 of 2,73,74
3,3:03.0,,R. Rubio makes free throw 2 of 2,73,75
3,2:56.0,Turnover by J. Nurkić (bad pass),,73,75
3,2:44.0,,J. Ingles misses 3-pt jump shot from 26 ft,73,75
3,2:41.0,Defensive rebound by A. Aminu,,73,75
3,2:29.0,Offensive foul by J. Nurkić (drawn by R. Gobert),,73,75
3,2:29.0,Turnover by J. Nurkić (offensive foul),,73,75
3,2:18.0,,R. Rubio misses 3-pt jump shot from 26 ft,73,75
3,2:15.0,Defensive rebound by A. Aminu,,73,75
3,2:08.0,J. Nurkić makes 2-pt layup from 5 ft (assist by D. Lillard),,75,75
3,2:08.0,Shooting foul by K. Korver (drawn by J. Nurkić),,75,75
3,2:08.0,S. Curry enters the game for A. Aminu,,75,75
3,2:08.0,,D. Favors enters the game for R. Gobert,75,75
3,2:08.0,,R. O'Neale enters the game for K. Korver,75,75
3,2:08.0,J. Nurkić makes free throw 1 of 1,,76,75
3,1:47.0,,Offensive foul by D. Favors (drawn by J. Nurkić),76,75
3,1:47.0,,Turnover by D. Favors (offensive foul),76,75
3,1:35.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,78,75
3,1:30.0,,Turnover by R. Rubio (bad pass; steal by J. Layman),78,75
3,1:24.0,D. Lillard misses 3-pt jump shot from 25 ft,,78,75
3,1:21.0,Offensive rebound by J. Nurkić,,78,75
3,1:21.0,J. Nurkić makes 2-pt layup at rim,,80,75
3,1:00.0,,R. Rubio makes 2-pt layup from 2 ft (assist by D. Favors),80,77
3,0:46.0,Turnover by J. Nurkić (bad pass; steal by R. Rubio),,80,77
3,0:43.0,,Shooting foul by J. Layman (drawn by D. Favors),80,77
3,0:43.0,,D. Favors makes free throw 1 of 2,80,78
3,0:43.0,Z. Collins enters the game for J. Nurkić,,80,78
3,0:43.0,,D. Favors makes free throw 2 of 2,80,79
3,0:32.0,Turnover by D. Lillard (bad pass),,80,79
3,0:14.0,,D. Favors misses 2-pt layup from 3 ft,80,79
3,0:12.0,,Offensive rebound by D. Favors,80,79
3,0:08.0,,J. Crowder misses 3-pt jump shot from 26 ft,80,79
3,0:05.0,Defensive rebound by Z. Collins,,80,79
3,0:01.0,J. Layman makes 3-pt jump shot from 24 ft (assist by E. Turner),,83,79
4,11:41.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),83,81
4,11:23.0,J. Layman misses 2-pt layup from 1 ft,,83,81
4,11:22.0,,Defensive rebound by J. Crowder,83,81
4,11:11.0,,R. Rubio misses 2-pt jump shot from 8 ft,83,81
4,11:10.0,,Offensive rebound by D. Favors,83,81
4,11:09.0,,Shooting foul by S. Curry (drawn by D. Favors),83,81
4,11:09.0,,D. Favors makes free throw 1 of 2,83,82
4,11:09.0,,D. Mitchell enters the game for R. O'Neale,83,82
4,11:09.0,,D. Favors makes free throw 2 of 2,83,83
4,10:58.0,Turnover by E. Turner (lost ball; steal by J. Crowder),,83,83
4,10:52.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Rubio),83,86
4,10:49.0,Portland full timeout,,83,86
4,10:49.0,M. Leonard enters the game for Z. Collins,,83,86
4,10:38.0,J. Layman makes 3-pt jump shot from 26 ft (assist by E. Turner),,86,86
4,10:18.0,,D. Mitchell misses 2-pt jump shot from 8 ft,86,86
4,10:15.0,Defensive rebound by E. Turner,,86,86
4,10:07.0,C. McCollum misses 3-pt jump shot from 26 ft,,86,86
4,10:07.0,,Defensive rebound by Team,86,86
4,9:48.0,,J. Crowder misses 3-pt jump shot from 25 ft,86,86
4,9:45.0,Defensive rebound by E. Turner,,86,86
4,9:37.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by S. Curry),,89,86
4,9:34.0,,Utah full timeout,89,86
4,9:34.0,,K. Korver enters the game for J. Ingles,89,86
4,9:34.0,,R. O'Neale enters the game for R. Rubio,89,86
4,9:22.0,,K. Korver misses 3-pt jump shot from 25 ft,89,86
4,9:20.0,Defensive rebound by E. Turner,,89,86
4,9:07.0,E. Turner makes 2-pt jump shot from 7 ft (assist by C. McCollum),,91,86
4,8:53.0,,D. Mitchell misses 2-pt jump shot from 12 ft,91,86
4,8:51.0,Defensive rebound by E. Turner,,91,86
4,8:45.0,J. Layman makes 2-pt layup from 2 ft (assist by E. Turner),,93,86
4,8:29.0,,Shooting foul by S. Curry (drawn by D. Favors),93,86
4,8:29.0,,D. Favors makes free throw 1 of 2,93,87
4,8:29.0,,G. Niang enters the game for J. Crowder,93,87
4,8:29.0,,D. Favors makes free throw 2 of 2,93,88
4,8:17.0,C. McCollum misses 2-pt jump shot from 12 ft,,93,88
4,8:15.0,,Defensive rebound by D. Favors,93,88
4,8:09.0,,R. O'Neale misses 3-pt jump shot from 25 ft,93,88
4,8:06.0,Defensive rebound by J. Layman,,93,88
4,7:50.0,M. Leonard makes 3-pt jump shot from 24 ft (assist by E. Turner),,96,88
4,7:35.0,,D. Mitchell misses 2-pt layup from 3 ft,96,88
4,7:32.0,,Offensive rebound by D. Favors,96,88
4,7:32.0,,D. Favors makes 2-pt dunk from 1 ft,96,90
4,7:05.0,Turnover by Team (shot clock),,96,90
4,7:05.0,,R. Gobert enters the game for D. Favors,96,90
4,6:46.0,,D. Mitchell misses 3-pt jump shot from 27 ft,96,90
4,6:42.0,Defensive rebound by S. Curry,,96,90
4,6:34.0,J. Layman makes 2-pt dunk from 2 ft (assist by S. Curry),,98,90
4,6:16.0,,D. Mitchell misses 2-pt jump shot from 5 ft,98,90
4,6:15.0,,Offensive rebound by Team,98,90
4,6:15.0,D. Lillard enters the game for S. Curry,,98,90
4,6:15.0,J. Nurkić enters the game for M. Leonard,,98,90
4,6:13.0,,K. Korver misses 3-pt jump shot from 23 ft,98,90
4,6:10.0,Defensive rebound by D. Lillard,,98,90
4,5:58.0,J. Nurkić misses 2-pt jump shot from 8 ft,,98,90
4,5:56.0,,Defensive rebound by K. Korver,98,90
4,5:48.0,,G. Niang misses 3-pt jump shot from 24 ft,98,90
4,5:44.0,Defensive rebound by C. McCollum,,98,90
4,5:38.0,Portland full timeout,,98,90
4,5:38.0,,J. Crowder enters the game for K. Korver,98,90
4,5:38.0,,J. Ingles enters the game for G. Niang,98,90
4,5:35.0,Turnover by J. Nurkić (bad pass; steal by D. Mitchell),,98,90
4,5:18.0,,R. O'Neale misses 2-pt jump shot from 5 ft,98,90
4,5:15.0,,Offensive rebound by R. O'Neale,98,90
