QUARTER,TIME_REMAINING,ORLANDO_ACTION,DALLAS_ACTION,ORLANDO_SCORE,DALLAS_SCORE
2,7:36.0,,Defensive rebound by H. Barnes,25,35
2,7:21.0,,D. Harris misses 3-pt jump shot from 27 ft,25,35
2,7:19.0,Defensive rebound by T. Ross,,25,35
2,7:09.0,W. Iwundu misses 3-pt jump shot from 23 ft,,25,35
2,7:06.0,,Defensive rebound by D. Finney-Smith,25,35
2,7:06.0,J. Grant enters the game for D. Augustin,,25,35
2,7:06.0,J. Isaac enters the game for A. Gordon,,25,35
2,7:06.0,J. Simmons enters the game for W. Iwundu,,25,35
2,6:53.0,,J. Barea misses 2-pt jump shot from 17 ft,25,35
2,6:52.0,,Offensive rebound by D. Powell,25,35
2,6:51.0,,Turnover by D. Powell (bad pass; steal by J. Simmons),25,35
2,6:46.0,Turnover by J. Isaac (out of bounds lost ball),,25,35
2,6:46.0,,J. Brunson enters the game for J. Barea,25,35
2,6:46.0,,L. Dončić enters the game for D. Finney-Smith,25,35
2,6:46.0,,D. Jordan enters the game for D. Harris,25,35
2,6:46.0,,W. Matthews enters the game for D. Powell,25,35
2,6:30.0,,Turnover by H. Barnes (lost ball; steal by J. Grant),25,35
2,6:29.0,J. Simmons makes 2-pt layup at rim,,27,35
2,6:22.0,,J. Brunson makes 2-pt jump shot from 11 ft,27,37
2,6:04.0,J. Simmons makes 2-pt layup from 1 ft,,29,37
2,5:42.0,,W. Matthews makes 2-pt layup from 1 ft (assist by D. Jordan),29,39
2,5:23.0,Turnover by J. Simmons (lost ball; steal by J. Brunson),,29,39
2,5:21.0,,Shooting foul by J. Grant (drawn by J. Brunson),29,39
2,5:21.0,,J. Brunson makes free throw 1 of 2,29,40
2,5:21.0,N. Vučević enters the game for K. Birch,,29,40
2,5:21.0,,J. Brunson misses free throw 2 of 2,29,40
2,5:18.0,Defensive rebound by N. Vučević,,29,40
2,5:02.0,N. Vučević misses 2-pt jump shot from 19 ft,,29,40
2,4:57.0,,Defensive rebound by L. Dončić,29,40
2,4:54.0,,L. Dončić misses 2-pt jump shot from 18 ft,29,40
2,4:50.0,Defensive rebound by J. Isaac,,29,40
2,4:42.0,Turnover by J. Isaac (bad pass; steal by L. Dončić),,29,40
2,4:35.0,,J. Brunson makes 2-pt layup from 5 ft,29,42
2,4:20.0,N. Vučević misses 2-pt hook shot from 6 ft,,29,42
2,4:18.0,,Defensive rebound by D. Jordan,29,42
2,4:04.0,,W. Matthews misses 2-pt jump shot from 6 ft,29,42
2,4:02.0,Defensive rebound by N. Vučević,,29,42
2,3:55.0,Turnover by N. Vučević (traveling),,29,42
2,3:55.0,A. Gordon enters the game for T. Ross,,29,42
2,3:45.0,,Personal foul by J. Grant (drawn by J. Brunson),29,42
2,3:39.0,,L. Dončić misses 3-pt jump shot from 25 ft,29,42
2,3:36.0,Defensive rebound by N. Vučević,,29,42
2,3:27.0,J. Simmons makes 2-pt layup from 1 ft (assist by N. Vučević),,31,42
2,3:27.0,,Dallas full timeout,31,42
2,3:27.0,D. Augustin enters the game for J. Grant,,31,42
2,3:20.0,,Personal foul by A. Gordon (drawn by L. Dončić),31,42
2,3:20.0,,L. Dončić makes free throw 1 of 2,31,43
2,3:20.0,,L. Dončić makes free throw 2 of 2,31,44
2,3:07.0,A. Gordon misses 2-pt jump shot from 20 ft,,31,44
2,3:04.0,,Defensive rebound by W. Matthews,31,44
2,3:00.0,,D. Jordan misses 2-pt layup from 2 ft,31,44
2,2:58.0,Defensive rebound by N. Vučević,,31,44
2,2:51.0,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),,33,44
2,2:36.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by J. Brunson),33,47
2,2:19.0,Turnover by D. Augustin (bad pass; steal by D. Jordan),,33,47
2,2:02.0,,L. Dončić misses 2-pt layup from 3 ft,33,47
2,2:01.0,,Offensive rebound by L. Dončić,33,47
2,1:59.0,,Turnover by D. Jordan (lost ball; steal by N. Vučević),33,47
2,1:52.0,Personal foul by L. Dončić (drawn by N. Vučević),,33,47
2,1:52.0,W. Iwundu enters the game for A. Gordon,,33,47
2,1:46.0,J. Simmons makes 2-pt layup from 1 ft,,35,47
2,1:26.0,,L. Dončić misses 2-pt jump shot from 10 ft,35,47
2,1:24.0,Defensive rebound by N. Vučević,,35,47
2,1:12.0,N. Vučević makes 2-pt jump shot from 14 ft,,37,47
2,0:50.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by L. Dončić),37,49
2,0:41.0,J. Simmons makes 3-pt jump shot from 25 ft,,40,49
2,0:29.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Brunson),40,52
2,0:05.0,W. Iwundu misses 2-pt layup from 1 ft,,40,52
2,0:03.0,,Defensive rebound by D. Jordan,40,52
2,0:00.0,,L. Dončić misses 3-pt jump shot from 48 ft,40,52
2,0:00.0,,Offensive rebound by Team,40,52
3,11:44.0,Turnover by D. Augustin (traveling),,40,52
3,11:28.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by L. Dončić),40,55
3,11:14.0,D. Augustin misses 2-pt layup from 2 ft,,40,55
3,11:12.0,,Defensive rebound by L. Dončić,40,55
3,11:00.0,,W. Matthews misses 2-pt jump shot from 12 ft,40,55
3,10:57.0,Defensive rebound by N. Vučević,,40,55
3,10:46.0,N. Vučević misses 2-pt jump shot from 15 ft,,40,55
3,10:44.0,,Defensive rebound by L. Dončić,40,55
3,10:33.0,,J. Brunson misses 2-pt jump shot from 15 ft,40,55
3,10:30.0,Defensive rebound by N. Vučević,,40,55
3,10:22.0,A. Gordon makes 2-pt jump shot from 19 ft (assist by D. Augustin),,42,55
3,10:09.0,,L. Dončić misses 2-pt layup from 3 ft (block by J. Isaac),42,55
3,10:07.0,Defensive rebound by N. Vučević,,42,55
3,10:05.0,Personal foul by H. Barnes (drawn by A. Gordon),,42,55
3,9:56.0,D. Augustin misses 3-pt jump shot from 25 ft,,42,55
3,9:54.0,,Defensive rebound by H. Barnes,42,55
3,9:36.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),42,58
3,9:18.0,J. Simmons makes 2-pt jump shot from 18 ft,,44,58
3,9:05.0,,J. Brunson makes 3-pt jump shot from 23 ft (assist by L. Dončić),44,61
3,9:05.0,Orlando full timeout,,44,61
3,8:47.0,J. Isaac makes 2-pt dunk from 1 ft,,46,61
3,8:23.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),46,63
3,8:03.0,Turnover by J. Isaac (out of bounds lost ball),,46,63
3,7:50.0,,H. Barnes misses 2-pt jump shot from 15 ft,46,63
3,7:47.0,Defensive rebound by N. Vučević,,46,63
3,7:37.0,N. Vučević misses 2-pt jump shot from 4 ft (block by D. Jordan),,46,63
3,7:34.0,,Defensive rebound by J. Brunson,46,63
3,7:30.0,,J. Brunson misses 3-pt jump shot from 25 ft,46,63
3,7:28.0,,Offensive rebound by H. Barnes,46,63
3,7:26.0,,H. Barnes misses 2-pt jump shot from 11 ft,46,63
3,7:22.0,Defensive rebound by N. Vučević,,46,63
3,7:12.0,Violation by Team (kicked ball),,46,63
3,7:00.0,,W. Matthews misses 3-pt jump shot from 25 ft,46,63
3,6:56.0,Defensive rebound by D. Augustin,,46,63
3,6:54.0,Shooting foul by W. Matthews (drawn by J. Simmons),,46,63
3,6:54.0,J. Simmons makes free throw 1 of 2,,47,63
3,6:54.0,J. Simmons makes free throw 2 of 2,,48,63
3,6:34.0,,Shooting foul by N. Vučević (drawn by W. Matthews),48,63
3,6:34.0,,W. Matthews misses free throw 1 of 3,48,63
3,6:34.0,,Offensive rebound by Team,48,63
3,6:34.0,,W. Matthews makes free throw 2 of 3,48,64
3,6:34.0,,W. Matthews makes free throw 3 of 3,48,65
3,6:18.0,A. Gordon misses 2-pt jump shot from 17 ft,,48,65
3,6:14.0,,Defensive rebound by D. Jordan,48,65
3,6:07.0,,Turnover by L. Dončić (bad pass; steal by N. Vučević),48,65
3,5:54.0,N. Vučević misses 2-pt jump shot from 3 ft,,48,65
3,5:52.0,,Defensive rebound by L. Dončić,48,65
3,5:44.0,,H. Barnes makes 2-pt jump shot from 1 ft (assist by L. Dončić),48,67
3,5:22.0,J. Simmons misses 3-pt jump shot from 25 ft,,48,67
3,5:20.0,Offensive rebound by D. Augustin,,48,67
3,5:16.0,A. Gordon misses 3-pt jump shot from 26 ft,,48,67
3,5:16.0,,Defensive rebound by L. Dončić,48,67
3,5:06.0,,W. Matthews misses 3-pt jump shot from 23 ft,48,67
3,5:04.0,Defensive rebound by J. Simmons,,48,67
3,4:55.0,N. Vučević misses 3-pt jump shot from 26 ft,,48,67
3,4:53.0,,Defensive rebound by L. Dončić,48,67
3,4:53.0,,Dallas full timeout,48,67
3,4:53.0,W. Iwundu enters the game for A. Gordon,,48,67
3,4:53.0,T. Ross enters the game for J. Simmons,,48,67
3,4:43.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by W. Matthews),48,70
3,4:15.0,N. Vučević misses 2-pt hook shot from 11 ft,,48,70
3,4:13.0,,Defensive rebound by L. Dončić,48,70
3,4:05.0,,Turnover by L. Dončić (bad pass; steal by T. Ross),48,70
3,4:01.0,W. Iwundu misses 2-pt layup from 2 ft,,48,70
3,3:58.0,,Defensive rebound by L. Dončić,48,70
3,3:48.0,,H. Barnes misses 3-pt jump shot from 25 ft,48,70
3,3:45.0,,Offensive rebound by W. Matthews,48,70
3,3:43.0,,W. Matthews misses 2-pt jump shot from 8 ft,48,70
3,3:41.0,Defensive rebound by N. Vučević,,48,70
3,3:29.0,D. Augustin makes 2-pt layup from 4 ft,,50,70
3,3:04.0,,L. Dončić misses 3-pt jump shot from 25 ft,50,70
3,3:03.0,Defensive rebound by Team,,50,70
3,3:03.0,J. Grant enters the game for D. Augustin,,50,70
3,3:03.0,,J. Barea enters the game for J. Brunson,50,70
3,3:03.0,,D. Finney-Smith enters the game for L. Dončić,50,70
3,3:03.0,,D. Harris enters the game for W. Matthews,50,70
3,2:48.0,J. Grant misses 2-pt jump shot from 17 ft,,50,70
3,2:45.0,,Defensive rebound by D. Jordan,50,70
3,2:33.0,,H. Barnes misses 3-pt jump shot from 26 ft,50,70
3,2:30.0,Defensive rebound by N. Vučević,,50,70
3,2:24.0,J. Grant misses 3-pt jump shot from 26 ft,,50,70
3,2:20.0,,Defensive rebound by H. Barnes,50,70
3,2:05.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Harris),50,72
3,1:45.0,J. Grant makes 3-pt jump shot from 23 ft (assist by N. Vučević),,53,72
3,1:45.0,K. Birch enters the game for J. Isaac,,53,72
3,1:45.0,A. Gordon enters the game for N. Vučević,,53,72
3,1:45.0,,D. Powell enters the game for D. Jordan,53,72
3,1:22.0,,D. Harris makes 3-pt jump shot from 26 ft (assist by J. Barea),53,75
3,1:05.0,T. Ross misses 3-pt jump shot from 25 ft,,53,75
3,1:03.0,,Defensive rebound by D. Finney-Smith,53,75
3,0:44.0,,Personal foul by J. Grant (drawn by D. Powell),53,75
3,0:36.0,,H. Barnes misses 3-pt jump shot from 25 ft,53,75
3,0:33.0,Defensive rebound by A. Gordon,,53,75
3,0:22.0,T. Ross misses 2-pt jump shot from 21 ft,,53,75
3,0:20.0,,Defensive rebound by Team,53,75
3,0:01.0,,J. Barea misses 2-pt jump shot from 12 ft,53,75
3,0:01.0,,Offensive rebound by Team,53,75
4,11:51.0,,Shooting foul by W. Iwundu (drawn by D. Harris),53,75
4,11:51.0,,D. Harris makes free throw 1 of 3,53,76
4,11:51.0,,D. Harris makes free throw 2 of 3,53,77
4,11:51.0,,D. Harris makes free throw 3 of 3,53,78
4,11:38.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by T. Ross),,56,78
4,11:11.0,,D. Finney-Smith misses 3-pt jump shot from 27 ft,56,78
4,11:06.0,Defensive rebound by K. Birch,,56,78
4,11:01.0,A. Gordon misses 3-pt jump shot from 28 ft,,56,78
4,10:57.0,,Defensive rebound by D. Powell,56,78
4,10:42.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by D. Harris),56,81
4,10:14.0,Turnover by Team (shot clock),,56,81
4,9:55.0,,J. Barea makes 2-pt jump shot from 21 ft (assist by D. Powell),56,83
4,9:40.0,W. Iwundu makes 3-pt jump shot from 23 ft (assist by K. Birch),,59,83
4,9:22.0,,Turnover by J. Barea (bad pass),59,83
4,9:22.0,,R. Broekhoff enters the game for D. Harris,59,83
4,9:09.0,K. Birch misses 2-pt dunk from 1 ft (block by M. Kleber),,59,83
4,9:06.0,,Defensive rebound by D. Finney-Smith,59,83
4,8:54.0,,J. Barea misses 3-pt jump shot from 25 ft,59,83
4,8:51.0,,Offensive rebound by Team,59,83
4,8:42.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),59,85
4,8:26.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by T. Ross),,62,85
4,8:13.0,,J. Barea makes 2-pt jump shot at rim,62,87
4,8:12.0,Orlando full timeout,,62,87
4,8:12.0,I. Briscoe enters the game for J. Grant,,62,87
4,8:12.0,,J. Brunson enters the game for J. Barea,62,87
4,7:54.0,A. Gordon misses 3-pt jump shot from 25 ft,,62,87
4,7:54.0,Offensive rebound by Team,,62,87
4,7:54.0,Personal foul by D. Powell (drawn by K. Birch),,62,87
4,7:45.0,A. Gordon misses 2-pt jump shot from 13 ft,,62,87
4,7:41.0,,Defensive rebound by D. Finney-Smith,62,87
4,7:24.0,,D. Powell makes 2-pt dunk from 1 ft (assist by R. Broekhoff),62,89
4,7:06.0,K. Birch makes 2-pt hook shot from 5 ft (assist by I. Briscoe),,64,89
4,6:51.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Brunson),64,91
4,6:51.0,,Shooting foul by K. Birch (drawn by D. Powell),64,91
4,6:51.0,,S. Mejri enters the game for M. Kleber,64,91
4,6:51.0,,D. Powell makes free throw 1 of 1,64,92
4,6:35.0,T. Ross makes 2-pt jump shot from 17 ft (assist by A. Gordon),,66,92
4,6:21.0,,Turnover by R. Broekhoff (traveling),66,92
4,6:10.0,I. Briscoe misses 2-pt jump shot from 20 ft,,66,92
4,6:08.0,Offensive rebound by K. Birch,,66,92
4,6:08.0,K. Birch misses 2-pt layup from 1 ft,,66,92
4,6:07.0,Offensive rebound by Team,,66,92
4,6:02.0,T. Ross misses 2-pt jump shot from 18 ft,,66,92
4,5:59.0,,Defensive rebound by D. Powell,66,92
4,5:51.0,,D. Powell misses 3-pt jump shot from 24 ft,66,92
4,5:46.0,Defensive rebound by W. Iwundu,,66,92
4,5:41.0,W. Iwundu misses 2-pt jump shot from 18 ft,,66,92
4,5:38.0,,Defensive rebound by D. Finney-Smith,66,92
4,5:20.0,,Shooting foul by A. Gordon (drawn by D. Finney-Smith),66,92
4,5:20.0,,Dallas full timeout,66,92
4,5:20.0,M. Frazier enters the game for A. Gordon,,66,92
4,5:20.0,J. Martin enters the game for T. Ross,,66,92
4,5:20.0,,D. Finney-Smith makes free throw 1 of 2,66,93
4,5:20.0,,D. Finney-Smith makes free throw 2 of 2,66,94
4,5:02.0,I. Briscoe makes 2-pt jump shot from 17 ft,,68,94
4,4:45.0,,D. Powell misses 2-pt layup from 7 ft,68,94
4,4:43.0,Defensive rebound by I. Briscoe,,68,94
4,4:37.0,K. Birch misses 2-pt jump shot from 18 ft,,68,94
4,4:34.0,,Defensive rebound by D. Powell,68,94
4,4:25.0,,Turnover by D. Powell (offensive foul),68,94
4,4:25.0,,Offensive foul by D. Powell (drawn by M. Frazier),68,94
4,4:11.0,Turnover by W. Iwundu (bad pass; steal by R. Broekhoff),,68,94
4,4:00.0,,S. Mejri misses 3-pt jump shot from 25 ft,68,94
4,3:56.0,Defensive rebound by W. Iwundu,,68,94
4,3:40.0,J. Martin makes 3-pt jump shot from 23 ft (assist by W. Iwundu),,71,94
4,3:21.0,,D. Powell misses 3-pt jump shot from 25 ft,71,94
4,3:19.0,,Offensive rebound by D. Finney-Smith,71,94
4,3:13.0,,Shooting foul by M. Frazier (drawn by J. Brunson),71,94
4,3:13.0,,J. Brunson makes free throw 1 of 2,71,95
4,3:13.0,,J. Brunson misses free throw 2 of 2,71,95
4,3:11.0,,Offensive rebound by J. Brunson,71,95
4,3:06.0,,D. Powell misses 3-pt jump shot from 26 ft,71,95
4,3:02.0,Defensive rebound by W. Iwundu,,71,95
4,2:54.0,Turnover by W. Iwundu (bad pass; steal by D. Finney-Smith),,71,95
4,2:49.0,,J. Brunson makes 2-pt layup at rim (assist by D. Finney-Smith),71,97
4,2:34.0,K. Birch makes 2-pt jump shot from 6 ft (assist by J. Martin),,73,97
4,2:12.0,,R. Broekhoff misses 3-pt jump shot from 24 ft,73,97
4,2:08.0,Defensive rebound by M. Frazier,,73,97
4,2:03.0,M. Frazier misses 2-pt jump shot from 10 ft,,73,97
4,2:01.0,,Defensive rebound by S. Mejri,73,97
4,1:57.0,,Turnover by J. Brunson (lost ball; steal by M. Frazier),73,97
4,1:57.0,Personal foul by J. Brunson (drawn by K. Birch),,73,97
4,1:50.0,Personal foul by J. Brunson (drawn by I. Briscoe),,73,97
4,1:50.0,I. Briscoe makes free throw 1 of 2,,74,97
4,1:50.0,I. Briscoe misses free throw 2 of 2,,74,97
4,1:49.0,Offensive rebound by K. Birch,,74,97
4,1:48.0,K. Birch misses 2-pt layup from 1 ft,,74,97
4,1:47.0,Offensive rebound by K. Birch,,74,97
4,1:47.0,K. Birch makes 2-pt layup from 1 ft,,76,97
4,1:30.0,,Personal foul by M. Frazier (drawn by D. Finney-Smith),76,97
4,1:30.0,,D. Finney-Smith makes free throw 1 of 2,76,98
4,1:30.0,,D. Finney-Smith makes free throw 2 of 2,76,99
