QUARTER,TIME_REMAINING,PORTLAND_ACTION,HOUSTON_ACTION,PORTLAND_SCORE,HOUSTON_SCORE
3,5:19.0,,M. Carter-Williams misses free throw 2 of 2,74,48
3,5:17.0,Defensive rebound by J. Nurkić,,74,48
3,5:05.0,Shooting foul by G. Clark (drawn by J. Nurkić),,74,48
3,5:05.0,J. Nurkić makes free throw 1 of 2,,75,48
3,5:05.0,J. Nurkić makes free throw 2 of 2,,76,48
3,4:50.0,,G. Clark makes 3-pt jump shot from 23 ft (assist by M. Carter-Williams),76,51
3,4:22.0,A. Aminu misses 2-pt jump shot from 14 ft,,76,51
3,4:20.0,,Defensive rebound by M. Carter-Williams,76,51
3,4:17.0,,Shooting foul by E. Turner (drawn by M. Carter-Williams),76,51
3,4:17.0,,M. Carter-Williams makes free throw 1 of 2,76,52
3,4:17.0,,M. Chriss enters the game for P. Tucker,76,52
3,4:17.0,,M. Carter-Williams makes free throw 2 of 2,76,53
3,3:59.0,J. Nurkić makes 2-pt jump shot from 3 ft (assist by D. Lillard),,78,53
3,3:44.0,,M. Chriss misses 3-pt jump shot from 24 ft,78,53
3,3:43.0,Defensive rebound by Team,,78,53
3,3:31.0,D. Lillard makes 3-pt jump shot from 26 ft,,81,53
3,3:07.0,,G. Clark misses 3-pt jump shot from 27 ft,81,53
3,3:04.0,Defensive rebound by J. Nurkić,,81,53
3,2:58.0,C. McCollum misses 2-pt layup from 6 ft (block by M. Chriss),,81,53
3,2:58.0,Offensive rebound by Team,,81,53
3,2:58.0,Portland full timeout,,81,53
3,2:58.0,Z. Collins enters the game for J. Nurkić,,81,53
3,2:47.0,C. McCollum misses 3-pt jump shot from 27 ft,,81,53
3,2:45.0,,Defensive rebound by M. Chriss,81,53
3,2:35.0,,C. Anthony misses 2-pt jump shot from 21 ft,81,53
3,2:35.0,,Offensive rebound by G. Green,81,53
3,2:28.0,,G. Clark makes 3-pt jump shot from 28 ft (assist by G. Green),81,56
3,2:13.0,E. Turner misses 2-pt jump shot from 4 ft,,81,56
3,2:13.0,Offensive rebound by A. Aminu,,81,56
3,2:09.0,A. Aminu makes 2-pt layup at rim,,83,56
3,2:03.0,,M. Chriss misses 3-pt jump shot from 25 ft,83,56
3,2:00.0,,Offensive rebound by C. Anthony,83,56
3,1:59.0,,C. Anthony misses 2-pt layup from 1 ft,83,56
3,1:59.0,,Offensive rebound by C. Anthony,83,56
3,1:58.0,,C. Anthony misses 2-pt layup from 3 ft,83,56
3,1:55.0,,Offensive rebound by G. Clark,83,56
3,1:55.0,,G. Clark makes 2-pt layup from 1 ft,83,58
3,1:35.0,Turnover by C. McCollum (lost ball; steal by M. Carter-Williams),,83,58
3,1:27.0,,M. Chriss makes 2-pt dunk from 3 ft (assist by G. Clark),83,60
3,1:01.0,D. Lillard makes 2-pt layup from 3 ft,,85,60
3,0:55.0,,G. Green misses 3-pt jump shot from 23 ft,85,60
3,0:54.0,,Offensive rebound by Team,85,60
3,0:54.0,Loose ball foul by Z. Collins (drawn by C. Anthony),,85,60
3,0:54.0,S. Curry enters the game for A. Aminu,,85,60
3,0:54.0,N. Stauskas enters the game for D. Lillard,,85,60
3,0:54.0,C. Swanigan enters the game for C. McCollum,,85,60
3,0:54.0,,C. Paul enters the game for M. Carter-Williams,85,60
3,0:54.0,,C. Anthony makes free throw 1 of 2,85,61
3,0:54.0,,C. Anthony makes free throw 2 of 2,85,62
3,0:31.0,Offensive foul by Z. Collins (drawn by C. Anthony),,85,62
3,0:31.0,Turnover by Z. Collins (offensive foul),,85,62
3,0:29.0,,C. Paul misses 3-pt jump shot from 26 ft,85,62
3,0:26.0,Defensive rebound by C. Swanigan,,85,62
3,0:03.0,N. Stauskas misses 3-pt jump shot from 27 ft,,85,62
3,0:03.0,Offensive rebound by Team,,85,62
4,11:48.0,Personal foul by C. Paul (drawn by E. Turner),,85,62
4,11:37.0,C. Swanigan misses 2-pt layup from 5 ft (block by C. Anthony),,85,62
4,11:34.0,,Defensive rebound by M. Chriss,85,62
4,11:21.0,,M. Chriss misses 2-pt jump shot from 7 ft (block by Z. Collins),85,62
4,11:17.0,Defensive rebound by S. Curry,,85,62
4,11:06.0,E. Turner misses 3-pt jump shot from 24 ft,,85,62
4,11:01.0,Offensive rebound by C. Swanigan,,85,62
4,10:59.0,Shooting foul by M. Chriss (drawn by E. Turner),,85,62
4,10:59.0,E. Turner makes free throw 1 of 2,,86,62
4,10:59.0,E. Turner misses free throw 2 of 2,,86,62
4,10:57.0,,Defensive rebound by C. Anthony,86,62
4,10:40.0,,C. Paul makes 3-pt jump shot from 26 ft,86,65
4,10:15.0,Z. Collins makes 2-pt layup from 3 ft,,88,65
4,10:09.0,,Turnover by C. Anthony (offensive foul),88,65
4,10:09.0,,Offensive foul by C. Anthony (drawn by Z. Collins),88,65
4,10:09.0,,C. Capela enters the game for C. Anthony,88,65
4,10:09.0,,E. Gordon enters the game for M. Chriss,88,65
4,10:09.0,,P. Tucker enters the game for G. Green,88,65
4,9:51.0,C. Swanigan misses 2-pt jump shot from 8 ft,,88,65
4,9:50.0,Offensive rebound by Team,,88,65
4,9:46.0,Z. Collins misses 2-pt jump shot from 19 ft,,88,65
4,9:43.0,,Defensive rebound by C. Capela,88,65
4,9:28.0,,C. Paul misses 3-pt jump shot from 23 ft,88,65
4,9:25.0,,Offensive rebound by G. Clark,88,65
4,9:25.0,,Shooting foul by N. Stauskas (drawn by C. Capela),88,65
4,9:25.0,,C. Capela makes free throw 1 of 2,88,66
4,9:25.0,,C. Capela misses free throw 2 of 2,88,66
4,9:25.0,Defensive rebound by E. Turner,,88,66
4,9:10.0,S. Curry misses 2-pt jump shot from 18 ft,,88,66
4,9:08.0,Offensive rebound by Team,,88,66
4,9:08.0,,Loose ball foul by G. Clark (drawn by C. Swanigan),88,66
4,8:59.0,Turnover by C. Swanigan (bad pass; steal by C. Paul),,88,66
4,8:55.0,,E. Gordon misses 3-pt jump shot from 28 ft,88,66
4,8:51.0,Defensive rebound by C. Swanigan,,88,66
4,8:45.0,S. Curry makes 3-pt jump shot from 24 ft (assist by E. Turner),,91,66
4,8:29.0,,Offensive foul by P. Tucker (drawn by E. Turner),91,66
4,8:29.0,,Turnover by P. Tucker (offensive foul),91,66
4,8:14.0,C. Swanigan makes 2-pt dunk from 2 ft (assist by E. Turner),,93,66
4,8:04.0,,G. Clark makes 3-pt jump shot from 27 ft (assist by C. Paul),93,69
4,7:42.0,S. Curry misses 2-pt jump shot from 20 ft,,93,69
4,7:39.0,,Defensive rebound by C. Capela,93,69
4,7:31.0,,P. Tucker misses 3-pt jump shot from 23 ft,93,69
4,7:31.0,,Offensive rebound by E. Gordon,93,69
4,7:22.0,,C. Paul makes 2-pt jump shot from 12 ft,93,71
4,6:59.0,S. Curry makes 2-pt jump shot from 13 ft (assist by Z. Collins),,95,71
4,6:51.0,,G. Clark misses 3-pt jump shot from 26 ft,95,71
4,6:46.0,Defensive rebound by Z. Collins,,95,71
4,6:33.0,Offensive foul by S. Curry (drawn by C. Paul),,95,71
4,6:33.0,Turnover by S. Curry (offensive foul),,95,71
4,6:33.0,,Houston full timeout,95,71
4,6:33.0,,G. Green enters the game for G. Clark,95,71
4,6:20.0,,E. Gordon misses 3-pt jump shot from 26 ft,95,71
