QUARTER,TIME_REMAINING,UTAH_ACTION,WASHINGTON_ACTION,UTAH_SCORE,WASHINGTON_SCORE
1,2:38.0,,Offensive rebound by Team,20,17
1,2:33.0,,B. Beal misses 3-pt jump shot from 26 ft,20,17
1,2:32.0,Defensive rebound by Team,,20,17
1,2:15.0,J. Ingles makes 2-pt jump shot from 14 ft (assist by R. Neto),,22,17
1,2:02.0,,T. Bryant makes 2-pt jump shot from 19 ft (assist by T. Brown),22,19
1,1:47.0,J. Ingles misses 3-pt jump shot from 27 ft,,22,19
1,1:43.0,Offensive rebound by D. Favors,,22,19
1,1:41.0,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Favors),,25,19
1,1:22.0,,Shooting foul by J. Ingles (drawn by B. Beal),25,19
1,1:22.0,,B. Beal makes free throw 1 of 2,25,20
1,1:22.0,,C. Randle enters the game for T. Ariza,25,20
1,1:22.0,,B. Beal makes free throw 2 of 2,25,21
1,1:13.0,J. Ingles misses 3-pt jump shot from 23 ft,,25,21
1,1:08.0,,Defensive rebound by T. Bryant,25,21
1,1:08.0,,Personal take foul by J. Ingles (drawn by B. Beal),25,21
1,1:08.0,,B. Beal makes free throw 1 of 2,25,22
1,1:08.0,,B. Beal misses free throw 2 of 2,25,22
1,1:05.0,Defensive rebound by J. Crowder,,25,22
1,0:53.0,J. Ingles makes 3-pt jump shot from 27 ft (assist by R. Neto),,28,22
1,0:34.0,,Turnover by T. Bryant (step out of bounds),28,22
1,0:26.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by J. Crowder),,31,22
1,0:05.0,,C. Randle makes 2-pt layup from 4 ft (assist by B. Beal),31,24
1,0:00.0,R. Neto misses 3-pt jump shot from 31 ft,,31,24
1,0:00.0,Offensive rebound by Team,,31,24
2,11:42.0,,J. Parker makes 2-pt layup from 2 ft (assist by C. Randle),31,26
2,11:21.0,J. Crowder makes 2-pt jump shot from 9 ft (assist by J. Ingles),,33,26
2,11:09.0,,T. Brown misses 2-pt jump shot from 6 ft,33,26
2,11:06.0,,Offensive rebound by T. Bryant,33,26
2,11:05.0,,T. Bryant misses 2-pt jump shot from 3 ft (block by J. Crowder),33,26
2,11:03.0,,Offensive rebound by T. Brown,33,26
2,11:01.0,,J. Parker misses 3-pt jump shot from 27 ft,33,26
2,10:57.0,Defensive rebound by D. Favors,,33,26
2,10:47.0,Personal foul by T. Brown (drawn by D. Favors),,33,26
2,10:47.0,Technical foul by S. Brooks,,33,26
2,10:47.0,K. Korver makes technical free throw,,34,26
2,10:38.0,J. Crowder misses 3-pt jump shot from 28 ft,,34,26
2,10:33.0,,Defensive rebound by T. Brown,34,26
2,10:22.0,,C. Randle makes 3-pt jump shot from 26 ft (assist by T. Satoranský),34,29
2,10:13.0,R. Neto makes 2-pt jump shot from 18 ft,,36,29
2,9:55.0,,Turnover by T. Brown (bad pass; steal by J. Ingles),36,29
2,9:53.0,R. Neto makes 2-pt layup from 3 ft (assist by J. Ingles),,38,29
2,9:53.0,,Washington full timeout,38,29
2,9:53.0,G. Niang enters the game for J. Crowder,,38,29
2,9:53.0,R. O'Neale enters the game for J. Ingles,,38,29
2,9:34.0,,T. Satoranský makes 2-pt jump shot from 9 ft,38,31
2,9:18.0,K. Korver makes 3-pt jump shot from 26 ft (assist by D. Favors),,41,31
2,9:00.0,,T. Satoranský makes 2-pt jump shot from 3 ft,41,33
2,8:39.0,D. Favors misses 2-pt jump shot from 16 ft,,41,33
2,8:34.0,,Defensive rebound by J. Parker,41,33
2,8:29.0,,J. Parker makes 2-pt jump shot from 9 ft,41,35
2,8:08.0,G. Niang makes 2-pt layup from 2 ft (assist by R. Neto),,43,35
2,8:08.0,Shooting foul by J. Parker (drawn by G. Niang),,43,35
2,8:08.0,D. Mitchell enters the game for R. Neto,,43,35
2,8:08.0,G. Niang misses free throw 1 of 1,,43,35
2,8:05.0,,Defensive rebound by J. Parker,43,35
2,7:47.0,,T. Bryant misses 2-pt layup from 6 ft (block by D. Favors),43,35
2,7:47.0,Defensive rebound by Team,,43,35
2,7:47.0,R. Gobert enters the game for D. Favors,,43,35
2,7:36.0,K. Korver misses 3-pt jump shot from 27 ft,,43,35
2,7:31.0,,Defensive rebound by J. Parker,43,35
2,7:29.0,,J. Parker misses 2-pt jump shot from 16 ft,43,35
2,7:25.0,Defensive rebound by R. Gobert,,43,35
2,7:04.0,D. Mitchell misses 2-pt jump shot from 19 ft (block by T. Brown),,43,35
2,7:01.0,,Defensive rebound by J. Parker,43,35
2,6:54.0,,J. Parker makes 2-pt layup from 2 ft (assist by C. Randle),43,37
2,6:54.0,Utah full timeout,,43,37
2,6:54.0,R. Rubio enters the game for K. Korver,,43,37
2,6:54.0,,B. Beal enters the game for T. Brown,43,37
2,6:54.0,,J. Green enters the game for C. Randle,43,37
2,6:41.0,Turnover by R. Rubio (bad pass),,43,37
2,6:21.0,,Personal foul by D. Mitchell (drawn by T. Satoranský),43,37
2,6:09.0,,J. Parker makes 2-pt jump shot from 11 ft,43,39
2,5:50.0,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),,45,39
2,5:36.0,,Personal foul by R. O'Neale (drawn by J. Parker),45,39
2,5:36.0,J. Crowder enters the game for G. Niang,,45,39
2,5:28.0,,B. Beal makes 2-pt jump shot from 19 ft,45,41
2,5:08.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. O'Neale),,48,41
2,4:46.0,,T. Bryant misses 2-pt layup from 4 ft (block by D. Mitchell),48,41
2,4:42.0,Defensive rebound by R. O'Neale,,48,41
2,4:30.0,R. Rubio misses 3-pt jump shot from 23 ft,,48,41
2,4:26.0,,Defensive rebound by J. Parker,48,41
2,4:26.0,,Turnover by J. Parker (lost ball; steal by R. Rubio),48,41
2,4:25.0,Personal foul by J. Parker (drawn by R. Rubio),,48,41
2,4:25.0,J. Ingles enters the game for R. O'Neale,,48,41
2,4:25.0,,T. Ariza enters the game for T. Bryant,48,41
2,4:25.0,,B. Portis enters the game for T. Satoranský,48,41
2,4:04.0,Turnover by J. Ingles (bad pass; steal by J. Green),,48,41
2,3:59.0,,T. Ariza makes 2-pt layup from 1 ft (assist by J. Green),48,43
2,3:35.0,J. Crowder misses 3-pt jump shot from 24 ft,,48,43
2,3:35.0,,Defensive rebound by J. Green,48,43
2,3:26.0,,J. Parker makes 2-pt layup from 1 ft,48,45
2,3:26.0,Utah full timeout,,48,45
2,3:15.0,J. Crowder makes 2-pt jump shot from 6 ft (assist by R. Rubio),,50,45
2,2:56.0,,B. Beal misses 3-pt jump shot from 28 ft,50,45
2,2:53.0,Defensive rebound by J. Ingles,,50,45
2,2:38.0,Turnover by R. Rubio (bad pass; steal by J. Parker),,50,45
2,2:28.0,,J. Green misses 2-pt jump shot from 3 ft,50,45
2,2:26.0,Defensive rebound by R. Gobert,,50,45
2,2:22.0,J. Crowder makes 2-pt layup from 1 ft (assist by R. Rubio),,52,45
2,2:14.0,,J. Parker misses 2-pt layup from 6 ft (block by R. Gobert),52,45
2,2:14.0,Defensive rebound by J. Ingles,,52,45
2,2:04.0,J. Ingles misses 3-pt jump shot from 26 ft,,52,45
2,2:00.0,Offensive rebound by R. Gobert,,52,45
2,1:58.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),,55,45
2,1:55.0,,Washington full timeout,55,45
2,1:55.0,,T. Satoranský enters the game for J. Parker,55,45
2,1:35.0,,J. Green misses 2-pt jump shot from 20 ft,55,45
2,1:30.0,Defensive rebound by R. Gobert,,55,45
2,1:20.0,Personal foul by B. Portis (drawn by R. Gobert),,55,45
2,1:10.0,R. Gobert makes 2-pt layup from 3 ft (assist by J. Ingles),,57,45
2,0:54.0,,J. Green misses 3-pt jump shot from 26 ft,57,45
2,0:52.0,Defensive rebound by R. Rubio,,57,45
2,0:42.0,Turnover by D. Mitchell (bad pass),,57,45
2,0:35.0,Violation by Team (kicked ball),,57,45
2,0:31.0,,B. Beal misses 2-pt layup from 5 ft,57,45
2,0:28.0,Defensive rebound by J. Ingles,,57,45
2,0:13.0,Turnover by R. Gobert (traveling),,57,45
2,0:04.0,,Personal foul by J. Ingles (drawn by B. Beal),57,45
2,0:04.0,R. O'Neale enters the game for J. Ingles,,57,45
2,0:01.0,,Turnover by B. Beal (bad pass),57,45
3,11:45.0,,B. Portis misses 2-pt layup from 5 ft,57,45
3,11:42.0,,Offensive rebound by B. Portis,57,45
3,11:42.0,,B. Portis makes 2-pt layup from 1 ft,57,47
3,11:16.0,J. Ingles makes 2-pt jump shot from 18 ft,,59,47
3,10:59.0,,B. Beal makes 2-pt jump shot from 14 ft,59,49
3,10:42.0,Turnover by D. Mitchell (bad pass; steal by J. Green),,59,49
3,10:25.0,,T. Ariza misses 2-pt layup from 2 ft,59,49
3,10:22.0,Defensive rebound by J. Crowder,,59,49
3,10:10.0,R. Rubio makes 2-pt layup from 1 ft,,61,49
3,9:55.0,,B. Portis makes 3-pt jump shot from 27 ft (assist by T. Satoranský),61,52
3,9:35.0,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. Gobert),,64,52
3,9:21.0,,B. Portis makes 3-pt jump shot from 27 ft (assist by T. Satoranský),64,55
3,9:00.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by J. Crowder),,67,55
3,8:50.0,,J. Green makes 3-pt jump shot from 23 ft (assist by T. Ariza),67,58
3,8:45.0,Utah full timeout,,67,58
3,8:35.0,Shooting foul by B. Portis (drawn by R. Gobert),,67,58
3,8:35.0,R. Gobert misses free throw 1 of 2,,67,58
3,8:35.0,Offensive rebound by Team,,67,58
3,8:35.0,R. Gobert makes free throw 2 of 2,,68,58
3,8:24.0,,B. Beal misses 2-pt jump shot from 14 ft,68,58
3,8:16.0,Defensive rebound by J. Crowder,,68,58
3,8:10.0,Turnover by J. Ingles (step out of bounds),,68,58
3,7:58.0,,T. Satoranský misses 3-pt jump shot from 27 ft,68,58
3,7:53.0,Defensive rebound by R. Gobert,,68,58
3,7:48.0,D. Mitchell makes 2-pt layup from 1 ft,,70,58
3,7:29.0,,Personal foul by D. Mitchell (drawn by B. Beal),70,58
3,7:18.0,,Turnover by T. Ariza (traveling),70,58
3,6:56.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,72,58
3,6:39.0,,B. Portis misses 3-pt jump shot from 27 ft,72,58
3,6:35.0,Defensive rebound by R. Gobert,,72,58
3,6:32.0,J. Crowder makes 2-pt layup from 2 ft (assist by D. Mitchell),,74,58
3,6:32.0,,Washington full timeout,74,58
3,6:32.0,,J. Parker enters the game for B. Portis,74,58
3,6:15.0,,T. Satoranský makes 2-pt layup from 2 ft (assist by T. Ariza),74,60
3,5:59.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. Rubio),,77,60
3,5:50.0,,J. Parker misses 3-pt jump shot from 27 ft,77,60
3,5:50.0,Defensive rebound by Team,,77,60
3,5:39.0,D. Mitchell makes 2-pt dunk at rim (assist by R. Rubio),,79,60
3,5:30.0,,Offensive foul by J. Parker (drawn by J. Ingles),79,60
3,5:30.0,,Turnover by J. Parker (offensive foul),79,60
3,5:30.0,R. O'Neale enters the game for J. Ingles,,79,60
3,5:30.0,,T. Bryant enters the game for J. Green,79,60
3,5:19.0,Turnover by R. Rubio (bad pass; steal by J. Parker),,79,60
3,5:14.0,,Personal foul by R. Rubio (drawn by J. Parker),79,60
3,5:08.0,,Shooting foul by J. Crowder (drawn by B. Beal),79,60
3,5:08.0,,B. Beal makes free throw 1 of 2,79,61
3,5:08.0,,B. Beal makes free throw 2 of 2,79,62
3,4:57.0,R. O'Neale misses 3-pt jump shot from 23 ft,,79,62
3,4:53.0,,Defensive rebound by T. Ariza,79,62
3,4:45.0,,T. Bryant misses 2-pt layup from 2 ft,79,62
3,4:45.0,Defensive rebound by D. Mitchell,,79,62
3,4:39.0,Turnover by D. Mitchell (bad pass; steal by T. Satoranský),,79,62
3,4:38.0,,Personal take foul by J. Crowder (drawn by T. Satoranský),79,62
3,4:38.0,K. Korver enters the game for J. Crowder,,79,62
3,4:38.0,R. Neto enters the game for D. Mitchell,,79,62
3,4:38.0,G. Niang enters the game for R. Rubio,,79,62
3,4:30.0,,B. Beal misses 2-pt layup from 4 ft,79,62
3,4:30.0,,Offensive rebound by Team,79,62
3,4:30.0,Loose ball foul by R. O'Neale (drawn by T. Bryant),,79,62
3,4:30.0,,T. Bryant makes free throw 1 of 2,79,63
3,4:30.0,,T. Bryant misses free throw 2 of 2,79,63
3,4:26.0,Defensive rebound by G. Niang,,79,63
3,4:17.0,Turnover by R. Neto (out of bounds lost ball),,79,63
3,4:07.0,,B. Beal makes 2-pt jump shot from 20 ft (assist by T. Satoranský),79,65
3,3:54.0,K. Korver makes 3-pt jump shot from 26 ft (assist by R. Neto),,82,65
3,3:40.0,,T. Satoranský misses 2-pt jump shot from 19 ft,82,65
3,3:40.0,Defensive rebound by Team,,82,65
3,3:40.0,Personal foul by T. Bryant (drawn by R. Gobert),,82,65
3,3:40.0,J. Crowder enters the game for R. Gobert,,82,65
3,3:40.0,J. Ingles enters the game for G. Niang,,82,65
3,3:40.0,E. Udoh enters the game for R. O'Neale,,82,65
3,3:40.0,,T. Brown enters the game for T. Satoranský,82,65
3,3:28.0,Offensive rebound by Team,,82,65
3,3:28.0,E. Udoh misses 2-pt layup from 2 ft (block by J. Parker),,82,65
3,3:19.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by K. Korver),,85,65
3,3:07.0,,T. Bryant misses 3-pt jump shot from 28 ft,85,65
3,3:02.0,Defensive rebound by J. Crowder,,85,65
3,2:50.0,K. Korver misses 3-pt jump shot from 29 ft,,85,65
3,2:48.0,,Defensive rebound by Team,85,65
3,2:30.0,,T. Brown misses 2-pt layup from 5 ft (block by J. Crowder),85,65
3,2:28.0,Defensive rebound by J. Crowder,,85,65
3,2:26.0,Personal foul by T. Brown (drawn by R. Neto),,85,65
3,2:26.0,,J. McRae enters the game for T. Ariza,85,65
3,2:14.0,J. Ingles misses 2-pt layup from 6 ft,,85,65
3,2:13.0,Offensive rebound by E. Udoh,,85,65
3,2:13.0,E. Udoh makes 2-pt dunk at rim,,87,65
3,2:04.0,,T. Brown misses 2-pt jump shot from 7 ft (block by E. Udoh),87,65
3,2:04.0,Defensive rebound by Team,,87,65
3,1:53.0,R. Neto misses 2-pt layup from 1 ft,,87,65
3,1:52.0,Offensive rebound by E. Udoh,,87,65
3,1:52.0,E. Udoh misses 2-pt layup at rim,,87,65
3,1:50.0,Offensive rebound by E. Udoh,,87,65
3,1:50.0,J. Crowder makes 2-pt layup from 2 ft,,89,65
3,1:38.0,,Shooting foul by E. Udoh (drawn by B. Beal),89,65
3,1:38.0,,B. Beal makes free throw 1 of 2,89,66
3,1:38.0,T. Sefolosha enters the game for J. Crowder,,89,66
3,1:38.0,,B. Beal makes free throw 2 of 2,89,67
3,1:21.0,T. Sefolosha makes 2-pt layup from 9 ft (assist by K. Korver),,91,67
3,1:05.0,,B. Beal makes 2-pt layup from 4 ft (assist by T. Brown),91,69
3,0:56.0,R. Neto misses 3-pt jump shot from 26 ft,,91,69
3,0:53.0,,Defensive rebound by B. Beal,91,69
3,0:46.0,,B. Beal misses 2-pt layup from 5 ft,91,69
3,0:44.0,Defensive rebound by T. Sefolosha,,91,69
3,0:44.0,Personal foul by T. Brown (drawn by R. Neto),,91,69
3,0:23.0,E. Udoh misses 2-pt layup from 6 ft,,91,69
3,0:20.0,,Defensive rebound by J. Parker,91,69
3,0:05.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Parker),91,71
3,0:01.0,J. Ingles misses 2-pt jump shot from 15 ft,,91,71
3,0:01.0,,Defensive rebound by T. Bryant,91,71
4,11:43.0,K. Korver misses 2-pt jump shot from 17 ft,,91,71
4,11:39.0,,Defensive rebound by T. Brown,91,71
4,11:20.0,,Turnover by J. Parker (lost ball; steal by T. Sefolosha),91,71
4,11:15.0,R. Rubio misses 2-pt layup from 2 ft,,91,71
4,11:11.0,,Defensive rebound by T. Brown,91,71
4,11:10.0,,Turnover by T. Brown (lost ball; steal by R. Rubio),91,71
4,11:08.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,93,71
4,10:49.0,,Turnover by J. Parker (bad pass; steal by R. Rubio),93,71
4,10:49.0,Personal take foul by J. Parker (drawn by R. Rubio),,93,71
4,10:36.0,K. Korver misses 3-pt jump shot from 26 ft,,93,71
4,10:32.0,,Defensive rebound by T. Bryant,93,71
4,10:26.0,,J. Parker makes 3-pt jump shot from 27 ft,93,74
4,10:07.0,T. Sefolosha misses 3-pt jump shot from 25 ft,,93,74
4,10:07.0,Offensive rebound by Team,,93,74
4,10:07.0,R. O'Neale enters the game for K. Korver,,93,74
4,9:58.0,D. Mitchell misses 2-pt jump shot from 15 ft,,93,74
4,9:54.0,,Defensive rebound by T. Bryant,93,74
4,9:50.0,,Turnover by J. Parker (bad pass; steal by T. Sefolosha),93,74
4,9:44.0,Turnover by R. Rubio (bad pass; steal by T. Satoranský),,93,74
4,9:41.0,,Shooting foul by D. Mitchell (drawn by J. McRae),93,74
4,9:41.0,,J. McRae makes free throw 1 of 2,93,75
4,9:41.0,,J. McRae makes free throw 2 of 2,93,76
4,9:31.0,D. Mitchell misses 3-pt jump shot from 27 ft,,93,76
4,9:27.0,,Defensive rebound by J. Parker,93,76
4,9:21.0,,Offensive foul by T. Brown (drawn by R. Rubio),93,76
4,9:21.0,,Turnover by T. Brown (offensive foul),93,76
4,9:06.0,T. Sefolosha makes 2-pt jump shot from 8 ft,,95,76
4,8:54.0,,T. Brown misses 2-pt jump shot from 17 ft,95,76
4,8:49.0,Defensive rebound by R. Rubio,,95,76
4,8:37.0,D. Mitchell makes 2-pt layup from 2 ft (assist by R. Rubio),,97,76
4,8:28.0,,Personal foul by R. Rubio (drawn by J. McRae),97,76
4,8:18.0,,T. Bryant misses 2-pt layup from 1 ft (block by R. Gobert),97,76
4,8:14.0,Defensive rebound by R. Gobert,,97,76
4,8:08.0,R. Rubio makes 2-pt jump shot from 17 ft,,99,76
4,8:06.0,,Washington full timeout,99,76
4,8:06.0,R. Neto enters the game for R. Rubio,,99,76
4,8:06.0,,S. Dekker enters the game for T. Bryant,99,76
4,8:06.0,,I. Mahinmi enters the game for T. Satoranský,99,76
4,7:46.0,,I. Mahinmi misses 3-pt jump shot from 27 ft,99,76
4,7:42.0,Defensive rebound by R. Gobert,,99,76
4,7:29.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. O'Neale),,101,76
4,7:20.0,,Personal foul by R. Neto (drawn by T. Brown),101,76
4,7:10.0,,T. Brown makes 2-pt jump shot from 7 ft,101,78
4,6:58.0,D. Mitchell misses 2-pt jump shot from 18 ft,,101,78
4,6:53.0,,Defensive rebound by J. McRae,101,78
4,6:49.0,,J. Parker makes 2-pt layup from 1 ft (assist by J. McRae),101,80
4,6:33.0,T. Sefolosha makes 2-pt dunk at rim (assist by D. Mitchell),,103,80
4,6:15.0,,I. Mahinmi makes 2-pt dunk from 1 ft (assist by T. Brown),103,82
4,5:52.0,Personal foul by I. Mahinmi (drawn by R. Gobert),,103,82
4,5:52.0,J. Crowder enters the game for R. Gobert,,103,82
4,5:52.0,R. Rubio enters the game for R. Neto,,103,82
4,5:52.0,E. Udoh enters the game for T. Sefolosha,,103,82
4,5:40.0,D. Mitchell makes 3-pt jump shot from 27 ft (assist by R. O'Neale),,106,82
4,5:26.0,,J. Parker misses 3-pt jump shot from 24 ft,106,82
4,5:24.0,,Offensive rebound by Team,106,82
4,5:17.0,,J. McRae misses 2-pt jump shot from 16 ft,106,82
4,5:12.0,Defensive rebound by R. O'Neale,,106,82
4,5:05.0,Turnover by R. Rubio (lost ball; steal by J. McRae),,106,82
4,5:02.0,,Shooting foul by R. O'Neale (drawn by J. McRae),106,82
4,5:02.0,,J. McRae makes free throw 1 of 2,106,83
4,5:02.0,G. Niang enters the game for R. O'Neale,,106,83
4,5:02.0,,J. McRae makes free throw 2 of 2,106,84
4,4:48.0,D. Mitchell misses 3-pt jump shot from 25 ft,,106,84
4,4:42.0,,Defensive rebound by S. Dekker,106,84
4,4:41.0,,S. Dekker misses 3-pt jump shot from 27 ft,106,84
4,4:39.0,,Offensive rebound by Team,106,84
4,4:39.0,K. Korver enters the game for D. Mitchell,,106,84
4,4:37.0,,Shooting foul by R. Rubio (drawn by J. McRae),106,84
4,4:37.0,,J. McRae makes free throw 1 of 2,106,85
4,4:37.0,R. Neto enters the game for R. Rubio,,106,85
4,4:37.0,,J. McRae makes free throw 2 of 2,106,86
4,4:26.0,Offensive foul by E. Udoh (drawn by J. Parker),,106,86
4,4:26.0,Turnover by E. Udoh (offensive foul),,106,86
4,4:15.0,,T. Brown misses 2-pt jump shot from 9 ft,106,86
4,4:08.0,Defensive rebound by E. Udoh,,106,86
4,4:08.0,,I. Mahinmi misses 2-pt layup from 1 ft,106,86
4,4:08.0,,Offensive rebound by I. Mahinmi,106,86
4,4:03.0,Turnover by J. Crowder (bad pass; steal by J. Parker),,106,86
4,4:03.0,,Shooting foul by R. Neto (drawn by J. Parker),106,86
4,4:03.0,,J. Parker makes free throw 1 of 2,106,87
4,4:03.0,,J. Parker makes free throw 2 of 2,106,88
4,3:48.0,Personal foul by J. Parker (drawn by J. Crowder),,106,88
4,3:48.0,Utah full timeout,,106,88
4,3:48.0,R. O'Neale enters the game for J. Crowder,,106,88
4,3:48.0,T. Sefolosha enters the game for K. Korver,,106,88
4,3:34.0,R. Neto makes 3-pt jump shot from 25 ft,,109,88
4,3:15.0,,Shooting foul by T. Sefolosha (drawn by J. McRae),109,88
4,3:15.0,,J. McRae makes free throw 1 of 2,109,89
4,3:15.0,,J. McRae makes free throw 2 of 2,109,90
4,3:04.0,R. Neto makes 2-pt layup from 2 ft,,111,90
4,2:52.0,,J. Parker makes 2-pt layup from 3 ft,111,92
4,2:36.0,Turnover by R. Neto (traveling),,111,92
4,2:19.0,,S. Dekker misses 2-pt layup from 4 ft,111,92
4,2:19.0,Defensive rebound by E. Udoh,,111,92
4,2:08.0,G. Niang misses 3-pt jump shot from 26 ft,,111,92
4,2:04.0,,Defensive rebound by T. Brown,111,92
4,2:02.0,,Turnover by T. Brown (bad pass),111,92
4,1:51.0,R. Neto misses 2-pt layup from 10 ft,,111,92
4,1:51.0,,Defensive rebound by Team,111,92
4,1:51.0,,C. Randle enters the game for J. Parker,111,92
4,1:42.0,,Turnover by C. Randle (bad pass; steal by R. Neto),111,92
4,1:39.0,G. Niang makes 2-pt layup from 1 ft (assist by R. Neto),,113,92
