QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
2,5:52.0,A. Aminu enters the game for Z. Collins,,35,38
2,5:52.0,M. Harkless enters the game for S. Curry,,35,38
2,5:52.0,D. Lillard enters the game for M. Leonard,,35,38
2,5:52.0,J. Nurkić enters the game for N. Stauskas,,35,38
2,5:52.0,,Q. Cook enters the game for S. Curry,35,38
2,5:52.0,,K. Durant enters the game for A. Iguodala,35,38
2,5:52.0,,A. McKinnie enters the game for J. Jerebko,35,38
2,5:52.0,,K. Thompson enters the game for S. Livingston,35,38
2,5:45.0,,K. Looney misses 2-pt dunk from 3 ft (block by M. Harkless),35,38
2,5:44.0,,Offensive rebound by K. Looney,35,38
2,5:35.0,,K. Durant makes 2-pt dunk from 1 ft,35,40
2,5:19.0,C. McCollum makes 2-pt jump shot from 12 ft (assist by D. Lillard),,37,40
2,4:55.0,,Q. Cook misses 3-pt jump shot from 26 ft,37,40
2,4:53.0,Defensive rebound by M. Harkless,,37,40
2,4:44.0,M. Harkless misses 2-pt layup from 4 ft,,37,40
2,4:43.0,,Defensive rebound by Team,37,40
2,4:43.0,Loose ball foul by J. Nurkić (drawn by K. Looney),,37,40
2,4:43.0,,Technical foul by K. Looney,37,40
2,4:43.0,D. Lillard makes technical free throw,,38,40
2,4:20.0,,K. Durant misses 2-pt hook shot from 9 ft,38,40
2,4:19.0,Defensive rebound by J. Nurkić,,38,40
2,4:14.0,D. Lillard makes 2-pt layup from 3 ft,,40,40
2,4:14.0,Shooting foul by K. Looney (drawn by D. Lillard),,40,40
2,4:14.0,,D. Green enters the game for K. Looney,40,40
2,4:14.0,D. Lillard makes free throw 1 of 1,,41,40
2,3:59.0,,D. Green misses 3-pt jump shot from 26 ft,41,40
2,3:57.0,,Offensive rebound by A. McKinnie,41,40
2,3:50.0,,D. Green makes 2-pt jump shot from 13 ft (assist by K. Durant),41,42
2,3:35.0,D. Lillard misses 3-pt jump shot from 26 ft,,41,42
2,3:33.0,,Defensive rebound by A. McKinnie,41,42
2,3:23.0,,K. Durant misses 2-pt jump shot from 11 ft,41,42
2,3:22.0,Defensive rebound by A. Aminu,,41,42
2,3:13.0,J. Nurkić makes 2-pt layup from 4 ft (assist by D. Lillard),,43,42
2,3:13.0,Shooting foul by D. Green (drawn by J. Nurkić),,43,42
2,3:13.0,,S. Curry enters the game for Q. Cook,43,42
2,3:13.0,,A. Iguodala enters the game for A. McKinnie,43,42
2,3:13.0,J. Nurkić makes free throw 1 of 1,,44,42
2,3:02.0,,Turnover by D. Green (bad pass),44,42
2,2:53.0,J. Nurkić misses 2-pt jump shot from 9 ft (block by S. Curry),,44,42
2,2:52.0,,Defensive rebound by K. Durant,44,42
2,2:47.0,,Shooting foul by D. Lillard (drawn by S. Curry),44,42
2,2:47.0,,S. Curry misses free throw 1 of 2,44,42
2,2:47.0,,Offensive rebound by Team,44,42
2,2:47.0,,S. Curry makes free throw 2 of 2,44,43
2,2:34.0,A. Aminu makes 2-pt dunk from 2 ft (assist by D. Lillard),,46,43
2,2:26.0,,Turnover by S. Curry (out of bounds lost ball),46,43
2,2:25.0,,Loose ball foul by S. Curry (drawn by D. Lillard),46,43
2,2:08.0,A. Aminu misses 2-pt jump shot from 13 ft (block by K. Thompson),,46,43
2,2:07.0,,Defensive rebound by D. Green,46,43
2,2:03.0,,K. Durant misses 3-pt jump shot from 27 ft,46,43
2,2:01.0,Defensive rebound by A. Aminu,,46,43
2,1:53.0,J. Nurkić misses 2-pt hook shot from 3 ft,,46,43
2,1:52.0,Offensive rebound by A. Aminu,,46,43
2,1:51.0,A. Aminu makes 2-pt layup from 1 ft,,48,43
2,1:39.0,,D. Green misses 2-pt jump shot from 11 ft,48,43
2,1:38.0,Defensive rebound by A. Aminu,,48,43
2,1:28.0,C. McCollum misses 3-pt jump shot from 30 ft,,48,43
2,1:26.0,,Defensive rebound by K. Durant,48,43
2,1:15.0,,K. Thompson misses 2-pt jump shot from 18 ft,48,43
2,1:13.0,,Offensive rebound by A. Iguodala,48,43
2,1:08.0,,D. Green misses 3-pt jump shot from 27 ft,48,43
2,1:06.0,Defensive rebound by M. Harkless,,48,43
2,0:55.0,D. Lillard makes 2-pt jump shot from 20 ft,,50,43
2,0:33.0,,A. Iguodala makes 3-pt jump shot from 22 ft (assist by S. Curry),50,46
2,0:12.0,C. McCollum misses 2-pt jump shot from 13 ft,,50,46
2,0:11.0,Offensive rebound by M. Harkless,,50,46
2,0:08.0,M. Harkless makes 2-pt layup from 1 ft,,52,46
2,0:06.0,,Personal foul by M. Harkless (drawn by S. Curry),52,46
2,0:01.0,,S. Curry misses 3-pt jump shot from 41 ft,52,46
2,0:00.0,,Offensive rebound by Team,52,46
3,11:49.0,,K. Durant misses 2-pt jump shot from 17 ft,52,46
3,11:48.0,,Offensive rebound by D. Green,52,46
3,11:37.0,,K. Looney makes 2-pt layup from 1 ft (assist by K. Durant),52,48
3,11:19.0,Def 3 sec tech foul by Team,,52,48
3,11:19.0,D. Lillard makes technical free throw,,53,48
3,11:17.0,Turnover by J. Nurkić (bad pass; steal by S. Curry),,53,48
3,11:09.0,,K. Durant makes 2-pt layup from 2 ft (assist by S. Curry),53,50
3,10:55.0,J. Nurkić misses 2-pt hook shot from 8 ft,,53,50
3,10:54.0,,Defensive rebound by Team,53,50
3,10:45.0,,K. Thompson misses 2-pt jump shot from 14 ft,53,50
3,10:44.0,Defensive rebound by A. Aminu,,53,50
3,10:33.0,M. Harkless misses 3-pt jump shot from 26 ft,,53,50
3,10:31.0,,Defensive rebound by K. Durant,53,50
3,10:22.0,,S. Curry misses 3-pt jump shot from 28 ft,53,50
3,10:20.0,Defensive rebound by C. McCollum,,53,50
3,10:11.0,J. Nurkić misses 2-pt hook shot from 6 ft,,53,50
3,10:10.0,Offensive rebound by M. Harkless,,53,50
3,10:04.0,M. Harkless misses 2-pt layup at rim,,53,50
3,10:03.0,Offensive rebound by M. Harkless,,53,50
3,10:03.0,M. Harkless makes 2-pt layup at rim,,55,50
3,10:01.0,,S. Curry misses 2-pt layup from 10 ft (block by M. Harkless),55,50
3,10:00.0,,Offensive rebound by Team,55,50
3,9:55.0,,K. Thompson misses 3-pt jump shot from 24 ft,55,50
3,9:53.0,Defensive rebound by A. Aminu,,55,50
3,9:41.0,Turnover by A. Aminu (out of bounds lost ball),,55,50
3,9:33.0,,K. Thompson misses 3-pt jump shot from 26 ft,55,50
3,9:31.0,Defensive rebound by A. Aminu,,55,50
3,9:19.0,A. Aminu misses 2-pt jump shot from 7 ft,,55,50
3,9:18.0,Offensive rebound by A. Aminu,,55,50
3,9:18.0,A. Aminu misses 2-pt layup at rim,,55,50
3,9:17.0,Offensive rebound by C. McCollum,,55,50
3,9:10.0,C. McCollum misses 3-pt jump shot from 23 ft,,55,50
3,9:08.0,,Defensive rebound by K. Durant,55,50
3,9:04.0,,Shooting foul by M. Harkless (drawn by K. Durant),55,50
3,9:04.0,,K. Durant misses free throw 1 of 2,55,50
3,9:04.0,,Offensive rebound by Team,55,50
3,9:04.0,,K. Durant misses free throw 2 of 2,55,50
3,9:03.0,Defensive rebound by M. Harkless,,55,50
3,8:54.0,A. Aminu misses 3-pt jump shot from 24 ft,,55,50
3,8:52.0,,Defensive rebound by S. Curry,55,50
3,8:42.0,,S. Curry makes 3-pt jump shot from 32 ft (assist by D. Green),55,53
3,8:24.0,A. Aminu misses 2-pt layup from 6 ft,,55,53
3,8:23.0,,Defensive rebound by K. Looney,55,53
3,8:17.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),55,55
3,8:17.0,Portland full timeout,,55,55
3,8:08.0,D. Lillard misses 2-pt jump shot from 13 ft,,55,55
3,8:07.0,,Defensive rebound by K. Durant,55,55
3,8:00.0,,K. Durant misses 3-pt jump shot from 29 ft,55,55
3,7:58.0,Defensive rebound by D. Lillard,,55,55
3,7:46.0,D. Lillard misses 3-pt jump shot from 27 ft,,55,55
3,7:44.0,,Defensive rebound by K. Looney,55,55
3,7:40.0,,Turnover by S. Curry (lost ball; steal by M. Harkless),55,55
3,7:38.0,Turnover by M. Harkless (bad pass; steal by K. Thompson),,55,55
3,7:34.0,,Turnover by K. Thompson (back court),55,55
3,7:28.0,M. Harkless makes 3-pt jump shot from 23 ft (assist by C. McCollum),,58,55
3,7:11.0,,D. Green misses 2-pt dunk from 3 ft,58,55
3,7:10.0,,Offensive rebound by Team,58,55
3,7:06.0,,K. Thompson makes 2-pt layup from 8 ft (assist by K. Durant),58,57
3,6:55.0,Shooting foul by K. Looney (drawn by C. McCollum),,58,57
3,6:55.0,C. McCollum makes free throw 1 of 3,,59,57
3,6:55.0,C. McCollum makes free throw 2 of 3,,60,57
3,6:55.0,,J. Jerebko enters the game for K. Looney,60,57
3,6:55.0,C. McCollum makes free throw 3 of 3,,61,57
3,6:46.0,,Personal foul by M. Harkless (drawn by K. Durant),61,57
3,6:41.0,,K. Durant makes 2-pt jump shot from 13 ft (assist by J. Jerebko),61,59
3,6:18.0,C. McCollum misses 2-pt jump shot from 15 ft,,61,59
3,6:17.0,,Defensive rebound by D. Green,61,59
3,6:13.0,,K. Thompson misses 3-pt jump shot from 27 ft,61,59
3,6:11.0,,Offensive rebound by S. Curry,61,59
3,6:05.0,,K. Thompson misses 3-pt jump shot from 24 ft,61,59
3,6:03.0,Defensive rebound by J. Nurkić,,61,59
3,5:54.0,C. McCollum misses 3-pt jump shot from 27 ft,,61,59
3,5:52.0,,Defensive rebound by K. Thompson,61,59
3,5:43.0,,Def 3 sec tech foul by Team,61,59
3,5:43.0,,S. Curry misses technical free throw,61,59
3,5:43.0,,Offensive rebound by Team,61,59
3,5:33.0,,K. Durant makes 2-pt jump shot from 18 ft,61,61
3,5:14.0,J. Nurkić makes 2-pt hook shot from 8 ft,,63,61
3,5:06.0,,Turnover by K. Durant (lost ball; steal by C. McCollum),63,61
3,4:59.0,Shooting foul by J. Jerebko (drawn by J. Nurkić),,63,61
3,4:59.0,J. Nurkić makes free throw 1 of 2,,64,61
3,4:59.0,E. Turner enters the game for M. Harkless,,64,61
3,4:59.0,,J. Bell enters the game for D. Green,64,61
3,4:59.0,J. Nurkić makes free throw 2 of 2,,65,61
3,4:52.0,,S. Curry misses 3-pt jump shot from 28 ft,65,61
3,4:50.0,Defensive rebound by J. Nurkić,,65,61
3,4:37.0,A. Aminu makes 3-pt jump shot from 23 ft (assist by E. Turner),,68,61
3,4:24.0,,Turnover by S. Curry (bad pass),68,61
3,4:07.0,J. Nurkić makes 2-pt hook shot from 7 ft (assist by E. Turner),,70,61
3,4:04.0,,Golden State full timeout,70,61
3,4:04.0,,D. Green enters the game for J. Bell,70,61
3,4:04.0,,A. Iguodala enters the game for S. Curry,70,61
3,3:51.0,,D. Green makes 2-pt jump shot from 18 ft (assist by J. Jerebko),70,63
3,3:25.0,C. McCollum misses 3-pt jump shot from 28 ft,,70,63
3,3:23.0,,Defensive rebound by K. Thompson,70,63
3,3:10.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by J. Jerebko),70,66
3,3:10.0,,Shooting foul by E. Turner (drawn by K. Thompson),70,66
3,3:10.0,S. Curry enters the game for C. McCollum,,70,66
3,3:10.0,,K. Thompson misses free throw 1 of 1,70,66
3,3:09.0,,Offensive rebound by K. Thompson,70,66
3,3:04.0,,Shooting foul by J. Nurkić (drawn by K. Thompson),70,66
3,3:04.0,,K. Thompson misses free throw 1 of 2,70,66
3,3:04.0,,Offensive rebound by Team,70,66
3,3:04.0,,K. Thompson makes free throw 2 of 2,70,67
3,2:59.0,,Violation by Team (kicked ball),70,67
3,2:59.0,Z. Collins enters the game for A. Aminu,,70,67
3,2:59.0,M. Leonard enters the game for J. Nurkić,,70,67
3,2:50.0,D. Lillard misses 3-pt jump shot from 28 ft (block by D. Green),,70,67
3,2:48.0,,Defensive rebound by K. Durant,70,67
3,2:42.0,,K. Thompson misses 3-pt jump shot from 28 ft,70,67
3,2:40.0,,Offensive rebound by K. Durant,70,67
3,2:33.0,,K. Thompson misses 2-pt layup from 3 ft,70,67
3,2:32.0,,Offensive rebound by D. Green,70,67
3,2:32.0,,D. Green makes 2-pt layup from 1 ft,70,69
3,2:16.0,D. Lillard misses 2-pt jump shot from 20 ft (block by J. Jerebko),,70,69
3,2:14.0,,Defensive rebound by K. Thompson,70,69
3,2:08.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by K. Thompson),70,71
3,2:08.0,Portland full timeout,,70,71
3,2:08.0,,S. Livingston enters the game for K. Thompson,70,71
3,1:53.0,D. Lillard misses 2-pt jump shot from 11 ft,,70,71
3,1:52.0,,Defensive rebound by D. Green,70,71
3,1:40.0,,K. Durant misses 2-pt layup from 4 ft,70,71
3,1:39.0,Defensive rebound by M. Leonard,,70,71
3,1:19.0,E. Turner makes 2-pt jump shot from 16 ft,,72,71
3,0:54.0,,J. Jerebko misses 3-pt jump shot from 28 ft,72,71
3,0:52.0,Defensive rebound by E. Turner,,72,71
3,0:36.0,D. Lillard makes 3-pt jump shot from 30 ft,,75,71
3,0:20.0,,D. Green misses 2-pt jump shot from 20 ft,75,71
3,0:19.0,Defensive rebound by M. Leonard,,75,71
3,0:01.0,Z. Collins misses 2-pt layup from 4 ft (block by K. Durant),,75,71
3,0:01.0,Offensive rebound by Team,,75,71
4,11:49.0,S. Curry misses 3-pt jump shot from 28 ft,,75,71
4,11:46.0,,Defensive rebound by Team,75,71
4,11:33.0,,S. Curry misses 3-pt jump shot from 24 ft,75,71
4,11:31.0,Defensive rebound by Team,,75,71
4,11:15.0,E. Turner misses 2-pt jump shot from 9 ft,,75,71
4,11:14.0,,Defensive rebound by K. Looney,75,71
4,11:00.0,,Personal foul by S. Curry (drawn by S. Curry),75,71
4,10:52.0,,S. Curry misses 2-pt jump shot from 18 ft,75,71
4,10:50.0,,Offensive rebound by K. Looney,75,71
4,10:46.0,,S. Curry makes 3-pt jump shot from 32 ft (assist by K. Looney),75,74
4,10:31.0,S. Curry makes 2-pt layup from 11 ft,,77,74
4,10:16.0,,A. Iguodala misses 2-pt jump shot from 20 ft,77,74
4,10:14.0,Defensive rebound by M. Leonard,,77,74
4,10:00.0,Turnover by Z. Collins (bad pass; steal by J. Jerebko),,77,74
4,9:54.0,,A. Iguodala misses 2-pt layup from 2 ft (block by Z. Collins),77,74
4,9:53.0,Defensive rebound by N. Stauskas,,77,74
4,9:45.0,S. Curry makes 3-pt jump shot from 30 ft (assist by M. Leonard),,80,74
4,9:33.0,,S. Curry misses 3-pt jump shot from 29 ft,80,74
4,9:31.0,Defensive rebound by Z. Collins,,80,74
4,9:20.0,S. Curry makes 3-pt jump shot from 29 ft,,83,74
4,9:19.0,,Golden State full timeout,83,74
4,9:09.0,,A. Iguodala misses 3-pt jump shot from 26 ft,83,74
4,9:07.0,Defensive rebound by E. Turner,,83,74
4,8:42.0,N. Stauskas misses 2-pt jump shot from 21 ft,,83,74
4,8:40.0,,Defensive rebound by K. Looney,83,74
4,8:33.0,,S. Livingston makes 2-pt jump shot from 10 ft (assist by A. Iguodala),83,76
4,8:14.0,,Violation by Team (kicked ball),83,76
4,8:14.0,,D. Green enters the game for A. Iguodala,83,76
4,8:14.0,,K. Thompson enters the game for K. Looney,83,76
4,8:06.0,Z. Collins misses 3-pt jump shot from 27 ft,,83,76
4,8:04.0,,Defensive rebound by K. Thompson,83,76
4,7:52.0,,K. Thompson misses 3-pt jump shot from 26 ft,83,76
4,7:50.0,Defensive rebound by S. Curry,,83,76
4,7:44.0,S. Curry makes 3-pt jump shot from 27 ft,,86,76
4,7:29.0,,D. Green misses 2-pt layup from 5 ft,86,76
4,7:28.0,,Offensive rebound by D. Green,86,76
4,7:28.0,,D. Green makes 2-pt layup from 1 ft,86,78
4,7:12.0,Turnover by S. Curry (bad pass; steal by S. Livingston),,86,78
4,7:08.0,,S. Curry misses 3-pt jump shot from 27 ft,86,78
4,7:06.0,Defensive rebound by Z. Collins,,86,78
4,6:43.0,N. Stauskas misses 3-pt jump shot from 23 ft,,86,78
4,6:43.0,Offensive rebound by Team,,86,78
4,6:43.0,Turnover by Team (shot clock),,86,78
4,6:43.0,A. Aminu enters the game for Z. Collins,,86,78
4,6:43.0,C. McCollum enters the game for S. Curry,,86,78
4,6:43.0,,K. Durant enters the game for S. Livingston,86,78
4,6:31.0,,K. Durant misses 3-pt jump shot from 28 ft,86,78
4,6:29.0,Defensive rebound by E. Turner,,86,78
4,6:29.0,D. Lillard enters the game for M. Leonard,,86,78
4,6:29.0,J. Nurkić enters the game for N. Stauskas,,86,78
4,6:18.0,Turnover by J. Nurkić (bad pass; steal by S. Curry),,86,78
