QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
2,7:28.0,,M. Kleber makes free throw 2 of 2,45,36
2,7:11.0,I. Rabb makes 2-pt layup from 1 ft (assist by J. Washburn),,47,36
2,6:57.0,,D. Nowitzki makes 2-pt jump shot from 21 ft (assist by J. Jackson),47,38
2,6:43.0,D. Wright misses 3-pt jump shot from 25 ft,,47,38
2,6:39.0,Offensive rebound by I. Rabb,,47,38
2,6:34.0,Y. Watanabe makes 2-pt dunk from 1 ft (assist by I. Rabb),,49,38
2,6:22.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),49,41
2,6:06.0,Turnover by Y. Watanabe (traveling),,49,41
2,6:06.0,B. Caboclo enters the game for J. Washburn,,49,41
2,6:06.0,J. Holiday enters the game for Y. Watanabe,,49,41
2,5:54.0,,D. Harris misses 3-pt jump shot from 26 ft,49,41
2,5:50.0,Defensive rebound by D. Wright,,49,41
2,5:48.0,D. Wright makes 2-pt layup from 1 ft,,51,41
2,5:48.0,Shooting foul by D. Nowitzki (drawn by D. Wright),,51,41
2,5:48.0,,T. Burke enters the game for R. Broekhoff,51,41
2,5:48.0,,D. Finney-Smith enters the game for D. Harris,51,41
2,5:48.0,,C. Lee enters the game for M. Kleber,51,41
2,5:48.0,,S. Mejri enters the game for D. Nowitzki,51,41
2,5:48.0,D. Wright makes free throw 1 of 1,,52,41
2,5:30.0,,D. Finney-Smith misses 2-pt jump shot from 18 ft,52,41
2,5:27.0,Defensive rebound by D. Wright,,52,41
2,5:19.0,J. Holiday misses 3-pt jump shot from 25 ft,,52,41
2,5:16.0,,Defensive rebound by S. Mejri,52,41
2,5:12.0,,J. Jackson misses 3-pt jump shot from 25 ft,52,41
2,5:08.0,Defensive rebound by B. Caboclo,,52,41
2,4:51.0,J. Holiday misses 3-pt jump shot from 25 ft,,52,41
2,4:46.0,,Defensive rebound by S. Mejri,52,41
2,4:34.0,,C. Lee makes 2-pt jump shot from 17 ft (assist by S. Mejri),52,43
2,4:23.0,I. Rabb misses 3-pt jump shot from 25 ft,,52,43
2,4:21.0,,Defensive rebound by D. Finney-Smith,52,43
2,4:13.0,,Turnover by D. Finney-Smith (bad pass; steal by J. Holiday),52,43
2,4:08.0,D. Wright makes 2-pt layup at rim (assist by B. Caboclo),,54,43
2,3:47.0,,J. Jackson makes 2-pt layup from 1 ft (assist by S. Mejri),54,45
2,3:38.0,T. Dorsey misses 3-pt jump shot from 25 ft,,54,45
2,3:35.0,Offensive rebound by B. Caboclo,,54,45
2,3:29.0,Turnover by B. Caboclo (out of bounds lost ball),,54,45
2,3:29.0,J. Carter enters the game for I. Rabb,,54,45
2,3:29.0,T. Zeller enters the game for D. Wright,,54,45
2,3:07.0,,S. Mejri misses 2-pt jump shot from 5 ft,54,45
2,3:05.0,Defensive rebound by B. Caboclo,,54,45
2,3:00.0,B. Caboclo misses 2-pt layup from 5 ft (block by S. Mejri),,54,45
2,2:58.0,Offensive rebound by T. Dorsey,,54,45
2,2:56.0,T. Dorsey makes 2-pt layup from 2 ft,,56,45
2,2:47.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by S. Mejri),56,48
2,2:33.0,B. Caboclo misses 3-pt jump shot from 23 ft,,56,48
2,2:33.0,,Defensive rebound by C. Lee,56,48
2,2:21.0,,Shooting foul by J. Holiday (drawn by J. Jackson),56,48
2,2:21.0,C. Parsons enters the game for B. Caboclo,,56,48
2,2:21.0,D. Wright enters the game for T. Dorsey,,56,48
2,2:21.0,,J. Jackson makes free throw 1 of 2,56,49
2,2:21.0,,J. Jackson makes free throw 2 of 2,56,50
2,2:08.0,J. Carter misses 3-pt jump shot from 23 ft,,56,50
2,2:06.0,Offensive rebound by J. Carter,,56,50
2,1:52.0,C. Parsons makes 3-pt jump shot from 27 ft (assist by J. Carter),,59,50
2,1:35.0,,Personal foul by C. Parsons (drawn by D. Finney-Smith),59,50
2,1:28.0,,S. Mejri makes 2-pt jump shot from 5 ft (assist by D. Finney-Smith),59,52
2,1:14.0,D. Wright misses 3-pt jump shot from 25 ft,,59,52
2,1:12.0,,Defensive rebound by D. Finney-Smith,59,52
2,1:01.0,,S. Mejri misses 2-pt layup from 4 ft (block by J. Holiday),59,52
2,1:01.0,,Offensive rebound by Team,59,52
2,1:01.0,I. Rabb enters the game for T. Zeller,,59,52
2,0:57.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,59,52
2,0:55.0,,Offensive rebound by J. Jackson,59,52
2,0:47.0,,Personal foul by C. Parsons (drawn by S. Mejri),59,52
2,0:47.0,,S. Mejri misses free throw 1 of 2,59,52
2,0:47.0,,Offensive rebound by Team,59,52
2,0:47.0,,D. Nowitzki enters the game for D. Finney-Smith,59,52
2,0:47.0,,S. Mejri makes free throw 2 of 2,59,53
2,0:31.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Wright),,62,53
2,0:10.0,,J. Jackson misses 3-pt jump shot from 25 ft,62,53
2,0:06.0,Defensive rebound by C. Parsons,,62,53
2,0:02.0,J. Carter makes 3-pt jump shot from 23 ft (assist by C. Parsons),,65,53
3,11:45.0,J. Holiday makes 2-pt layup from 1 ft (assist by B. Caboclo),,67,53
3,11:29.0,,M. Kleber makes 2-pt dunk at rim (assist by C. Lee),67,55
3,11:15.0,T. Dorsey misses 3-pt jump shot from 26 ft,,67,55
3,11:12.0,,Defensive rebound by M. Kleber,67,55
3,10:58.0,,Turnover by C. Lee (bad pass),67,55
3,10:50.0,J. Holiday misses 2-pt jump shot from 12 ft,,67,55
3,10:46.0,,Defensive rebound by J. Jackson,67,55
3,10:28.0,,C. Lee makes 2-pt jump shot from 12 ft (assist by T. Burke),67,57
3,10:11.0,D. Wright makes 2-pt layup from 2 ft,,69,57
3,10:00.0,,T. Burke makes 2-pt layup from 2 ft,69,59
3,9:45.0,I. Rabb misses 2-pt layup from 3 ft,,69,59
3,9:43.0,,Defensive rebound by D. Nowitzki,69,59
3,9:39.0,,M. Kleber misses 3-pt jump shot from 25 ft,69,59
3,9:39.0,Defensive rebound by D. Wright,,69,59
3,9:32.0,J. Holiday makes 2-pt layup from 3 ft (assist by D. Wright),,71,59
3,9:32.0,Shooting foul by D. Nowitzki (drawn by J. Holiday),,71,59
3,9:32.0,J. Holiday makes free throw 1 of 1,,72,59
3,9:18.0,,C. Lee misses 3-pt jump shot from 23 ft,72,59
3,9:15.0,,Offensive rebound by M. Kleber,72,59
3,9:13.0,,T. Burke misses 3-pt jump shot from 26 ft,72,59
3,9:13.0,Defensive rebound by I. Rabb,,72,59
3,9:00.0,T. Dorsey makes 2-pt jump shot from 20 ft,,74,59
3,8:43.0,,C. Lee makes 2-pt jump shot from 16 ft,74,61
3,8:27.0,Personal foul by J. Jackson (drawn by I. Rabb),,74,61
3,8:19.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Wright),,77,61
3,8:18.0,,Dallas full timeout,77,61
3,8:01.0,,C. Lee misses 2-pt jump shot from 13 ft (block by B. Caboclo),77,61
3,7:59.0,Defensive rebound by I. Rabb,,77,61
3,7:51.0,I. Rabb misses 2-pt jump shot from 17 ft,,77,61
3,7:47.0,,Defensive rebound by J. Jackson,77,61
3,7:39.0,,T. Burke misses 2-pt layup from 2 ft,77,61
3,7:37.0,Defensive rebound by T. Dorsey,,77,61
3,7:37.0,Personal foul by T. Burke (drawn by T. Dorsey),,77,61
3,7:27.0,B. Caboclo misses 3-pt jump shot from 25 ft,,77,61
3,7:25.0,Offensive rebound by I. Rabb,,77,61
3,7:25.0,Shooting foul by C. Lee (drawn by I. Rabb),,77,61
3,7:25.0,I. Rabb makes free throw 1 of 2,,78,61
3,7:25.0,I. Rabb makes free throw 2 of 2,,79,61
3,7:11.0,,J. Jackson misses 3-pt jump shot from 25 ft,79,61
3,7:08.0,Defensive rebound by J. Holiday,,79,61
3,7:01.0,I. Rabb misses 2-pt layup from 1 ft,,79,61
3,6:59.0,Offensive rebound by I. Rabb,,79,61
3,6:58.0,I. Rabb misses 2-pt layup from 1 ft,,79,61
3,6:58.0,,Defensive rebound by D. Nowitzki,79,61
3,6:58.0,,Personal foul by I. Rabb (drawn by D. Nowitzki),79,61
3,6:58.0,,D. Finney-Smith enters the game for M. Kleber,79,61
3,6:58.0,,S. Mejri enters the game for D. Nowitzki,79,61
3,6:41.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),79,64
3,6:30.0,B. Caboclo makes 3-pt jump shot from 25 ft (assist by D. Wright),,82,64
3,6:04.0,,Turnover by S. Mejri (lost ball; steal by D. Wright),82,64
3,5:57.0,T. Dorsey makes 2-pt layup from 4 ft (assist by J. Holiday),,84,64
3,5:57.0,,Dallas full timeout,84,64
3,5:57.0,J. Carter enters the game for J. Holiday,,84,64
3,5:57.0,C. Parsons enters the game for I. Rabb,,84,64
3,5:57.0,T. Zeller enters the game for D. Wright,,84,64
3,5:43.0,,J. Jackson misses 2-pt jump shot from 18 ft,84,64
3,5:39.0,Defensive rebound by Team,,84,64
3,5:27.0,T. Dorsey misses 3-pt jump shot from 26 ft,,84,64
3,5:25.0,,Defensive rebound by Team,84,64
3,5:15.0,,S. Mejri misses 3-pt jump shot from 25 ft,84,64
3,5:13.0,Defensive rebound by Team,,84,64
3,5:13.0,Personal foul by J. Jackson (drawn by T. Dorsey),,84,64
3,5:13.0,T. Dorsey makes free throw 1 of 2,,85,64
3,5:13.0,T. Dorsey makes free throw 2 of 2,,86,64
3,5:01.0,,D. Finney-Smith makes 2-pt layup from 6 ft (assist by C. Lee),86,66
3,5:01.0,,Shooting foul by T. Zeller (drawn by D. Finney-Smith),86,66
3,5:01.0,J. Washburn enters the game for B. Caboclo,,86,66
3,5:01.0,,D. Finney-Smith makes free throw 1 of 1,86,67
3,4:42.0,Turnover by J. Washburn (traveling),,86,67
3,4:30.0,,S. Mejri makes 2-pt dunk at rim (assist by J. Jackson),86,69
3,4:12.0,T. Dorsey makes 2-pt layup from 2 ft,,88,69
3,4:00.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,88,69
3,3:57.0,Defensive rebound by T. Dorsey,,88,69
3,3:51.0,T. Zeller misses 2-pt layup from 3 ft,,88,69
3,3:48.0,,Defensive rebound by S. Mejri,88,69
3,3:38.0,,J. Jackson misses 2-pt layup from 8 ft,88,69
3,3:37.0,,Offensive rebound by C. Lee,88,69
3,3:34.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by C. Lee),88,72
3,3:23.0,T. Dorsey misses 2-pt layup from 3 ft (block by S. Mejri),,88,72
3,3:23.0,,Defensive rebound by Team,88,72
3,3:23.0,J. Holiday enters the game for T. Dorsey,,88,72
3,3:09.0,,Shooting foul by J. Carter (drawn by T. Burke),88,72
3,3:09.0,,T. Burke makes free throw 1 of 3,88,73
3,3:09.0,,T. Burke makes free throw 2 of 3,88,74
3,3:09.0,,R. Broekhoff enters the game for C. Lee,88,74
3,3:09.0,,T. Burke makes free throw 3 of 3,88,75
3,2:45.0,J. Carter misses 2-pt jump shot from 20 ft,,88,75
3,2:42.0,,Defensive rebound by R. Broekhoff,88,75
3,2:31.0,,R. Broekhoff misses 3-pt jump shot from 24 ft,88,75
3,2:29.0,Defensive rebound by J. Carter,,88,75
3,2:21.0,J. Carter misses 3-pt jump shot from 23 ft,,88,75
3,2:18.0,Offensive rebound by T. Zeller,,88,75
3,2:17.0,T. Zeller makes 2-pt layup from 1 ft,,90,75
3,2:05.0,,T. Burke makes 2-pt jump shot from 19 ft (assist by S. Mejri),90,77
3,2:05.0,,Shooting foul by J. Holiday (drawn by T. Burke),90,77
3,2:05.0,D. Wright enters the game for J. Carter,,90,77
3,2:05.0,,D. Harris enters the game for J. Jackson,90,77
3,2:05.0,,T. Burke makes free throw 1 of 1,90,78
3,1:45.0,C. Parsons misses 2-pt jump shot from 8 ft,,90,78
3,1:44.0,Offensive rebound by T. Zeller,,90,78
3,1:44.0,Shooting foul by R. Broekhoff (drawn by T. Zeller),,90,78
3,1:44.0,T. Zeller makes free throw 1 of 2,,91,78
3,1:44.0,,D. Macon enters the game for T. Burke,91,78
3,1:44.0,T. Zeller makes free throw 2 of 2,,92,78
3,1:36.0,,S. Mejri makes 3-pt jump shot from 25 ft (assist by D. Harris),92,81
3,1:18.0,T. Zeller makes 2-pt dunk from 1 ft (assist by D. Wright),,94,81
3,1:05.0,,D. Harris makes 3-pt jump shot from 23 ft (assist by S. Mejri),94,84
3,0:47.0,D. Wright misses 2-pt hook shot from 3 ft (block by S. Mejri),,94,84
3,0:44.0,Offensive rebound by D. Wright,,94,84
3,0:41.0,D. Wright makes 3-pt jump shot from 24 ft,,97,84
3,0:23.0,,D. Harris misses 3-pt jump shot from 26 ft,97,84
3,0:19.0,Defensive rebound by D. Wright,,97,84
3,0:19.0,Personal foul by D. Finney-Smith (drawn by D. Wright),,97,84
3,0:19.0,D. Wright makes free throw 1 of 2,,98,84
3,0:19.0,B. Caboclo enters the game for C. Parsons,,98,84
3,0:19.0,D. Wright makes free throw 2 of 2,,99,84
3,0:01.0,,D. Harris misses 3-pt jump shot from 27 ft,99,84
3,0:01.0,,Offensive rebound by Team,99,84
4,11:40.0,,D. Macon makes 3-pt jump shot from 25 ft (assist by D. Harris),99,87
4,11:22.0,C. Parsons misses 2-pt jump shot from 13 ft,,99,87
4,11:18.0,,Defensive rebound by D. Harris,99,87
4,11:11.0,,C. Lee makes 2-pt layup from 1 ft (assist by D. Macon),99,89
4,10:52.0,T. Zeller misses 2-pt layup from 2 ft,,99,89
4,10:50.0,,Defensive rebound by D. Nowitzki,99,89
4,10:43.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,99,89
4,10:38.0,Defensive rebound by J. Washburn,,99,89
4,10:32.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by J. Washburn),,102,89
4,10:20.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,102,89
4,10:17.0,,Offensive rebound by R. Broekhoff,102,89
4,10:15.0,,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by C. Lee),102,92
4,10:00.0,D. Wright misses 3-pt jump shot from 25 ft,,102,92
4,9:57.0,,Defensive rebound by R. Broekhoff,102,92
4,9:44.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,102,92
4,9:41.0,Defensive rebound by J. Washburn,,102,92
4,9:33.0,J. Holiday makes 2-pt jump shot from 14 ft (assist by D. Wright),,104,92
4,9:11.0,,D. Harris misses 3-pt jump shot from 25 ft,104,92
4,9:09.0,Defensive rebound by Team,,104,92
4,9:09.0,B. Caboclo enters the game for J. Holiday,,104,92
4,9:09.0,T. Dorsey enters the game for J. Washburn,,104,92
4,9:09.0,I. Rabb enters the game for T. Zeller,,104,92
4,8:50.0,I. Rabb misses 2-pt jump shot from 20 ft,,104,92
4,8:47.0,,Defensive rebound by D. Harris,104,92
4,8:34.0,,D. Nowitzki misses 2-pt jump shot from 4 ft,104,92
4,8:31.0,Defensive rebound by D. Wright,,104,92
4,8:28.0,D. Wright misses 2-pt layup from 1 ft,,104,92
4,8:26.0,,Defensive rebound by D. Nowitzki,104,92
4,8:22.0,,D. Harris misses 3-pt jump shot from 25 ft,104,92
4,8:22.0,Defensive rebound by C. Parsons,,104,92
4,8:08.0,Turnover by C. Parsons (bad pass),,104,92
4,7:54.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,104,92
4,7:52.0,Defensive rebound by B. Caboclo,,104,92
4,7:41.0,I. Rabb makes 2-pt jump shot from 4 ft,,106,92
4,7:28.0,,D. Macon misses 2-pt jump shot from 10 ft,106,92
4,7:25.0,,Offensive rebound by R. Broekhoff,106,92
4,7:24.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by R. Broekhoff),106,95
4,7:11.0,T. Dorsey makes 2-pt layup from 4 ft,,108,95
4,7:06.0,,Personal foul by C. Parsons (drawn by D. Harris),108,95
4,7:06.0,J. Carter enters the game for C. Parsons,,108,95
4,7:06.0,Y. Watanabe enters the game for D. Wright,,108,95
4,6:56.0,,D. Macon makes 2-pt jump shot from 24 ft,108,97
4,6:43.0,T. Dorsey makes 3-pt jump shot from 25 ft (assist by I. Rabb),,111,97
4,6:24.0,,C. Lee misses 2-pt jump shot from 16 ft,111,97
4,6:24.0,Defensive rebound by T. Dorsey,,111,97
4,6:14.0,B. Caboclo misses 3-pt jump shot from 25 ft,,111,97
4,6:11.0,,Defensive rebound by D. Nowitzki,111,97
4,5:57.0,,R. Broekhoff misses 3-pt jump shot from 24 ft,111,97
4,5:54.0,Defensive rebound by Y. Watanabe,,111,97
4,5:43.0,J. Carter misses 3-pt jump shot from 25 ft,,111,97
4,5:40.0,,Defensive rebound by C. Lee,111,97
4,5:31.0,,D. Harris misses 2-pt hook shot from 3 ft,111,97
4,5:31.0,Defensive rebound by T. Dorsey,,111,97
