QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
1,5:37.0,,T. Rozier enters the game for M. Smart,17,11
1,5:37.0,,J. Brown misses free throw 2 of 2,17,11
1,5:36.0,Defensive rebound by T. Snell,,17,11
1,5:20.0,K. Middleton makes 2-pt jump shot from 9 ft,,19,11
1,5:10.0,,K. Irving makes 3-pt jump shot from 26 ft,19,14
1,4:50.0,K. Middleton misses 2-pt jump shot from 12 ft,,19,14
1,4:48.0,Offensive rebound by D. Wilson,,19,14
1,4:42.0,Turnover by T. Snell (bad pass),,19,14
1,4:26.0,,J. Brown misses 3-pt jump shot from 23 ft,19,14
1,4:24.0,Defensive rebound by D. Wilson,,19,14
1,4:19.0,S. Brown misses 3-pt jump shot from 26 ft,,19,14
1,4:18.0,,Defensive rebound by D. Theis,19,14
1,4:05.0,,G. Hayward misses 2-pt layup from 3 ft,19,14
1,4:03.0,Defensive rebound by D. Wilson,,19,14
1,3:48.0,D. Wilson misses 3-pt jump shot from 27 ft,,19,14
1,3:46.0,,Defensive rebound by G. Hayward,19,14
1,3:37.0,,G. Hayward misses 3-pt jump shot from 26 ft,19,14
1,3:35.0,Defensive rebound by Team,,19,14
1,3:35.0,,Loose ball foul by D. Theis (drawn by K. Middleton),19,14
1,3:35.0,G. Hill enters the game for E. Bledsoe,,19,14
1,3:17.0,T. Snell makes 2-pt layup from 4 ft (assist by K. Middleton),,21,14
1,3:17.0,,Boston full timeout,21,14
1,3:03.0,,K. Irving makes 2-pt jump shot from 11 ft,21,16
1,2:50.0,K. Middleton misses 3-pt jump shot from 25 ft,,21,16
1,2:49.0,Offensive rebound by D. Wilson,,21,16
1,2:49.0,Personal foul by K. Irving (drawn by D. Wilson),,21,16
1,2:49.0,D. Wilson misses free throw 1 of 2,,21,16
1,2:49.0,Offensive rebound by Team,,21,16
1,2:49.0,T. Maker enters the game for K. Middleton,,21,16
1,2:49.0,D. Wilson makes free throw 2 of 2,,22,16
1,2:34.0,,D. Theis makes 2-pt dunk at rim (assist by J. Brown),22,18
1,2:15.0,T. Snell makes 3-pt jump shot from 27 ft (assist by G. Hill),,25,18
1,2:00.0,,J. Brown misses 3-pt jump shot from 26 ft,25,18
1,1:58.0,Defensive rebound by S. Brown,,25,18
1,1:45.0,S. Brown makes 2-pt jump shot from 17 ft (assist by G. Hill),,27,18
1,1:27.0,,K. Irving makes 2-pt layup from 1 ft,27,20
1,1:11.0,T. Snell makes 2-pt layup from 2 ft (assist by S. Brown),,29,20
1,1:04.0,,Personal foul by G. Hill (drawn by K. Irving),29,20
1,1:04.0,G. Antetokounmpo enters the game for D. Wilson,,29,20
1,1:04.0,,M. Smart enters the game for G. Hayward,29,20
1,1:04.0,,J. Tatum enters the game for K. Irving,29,20
1,0:58.0,,M. Smart makes 2-pt jump shot from 15 ft,29,22
1,0:42.0,T. Snell makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,32,22
1,0:25.0,,T. Rozier misses 3-pt jump shot from 26 ft,32,22
1,0:24.0,Defensive rebound by T. Maker,,32,22
1,0:07.0,T. Maker makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,35,22
1,0:00.0,,J. Tatum misses 2-pt jump shot from 19 ft,35,22
1,0:00.0,,Offensive rebound by Team,35,22
2,11:48.0,,M. Smart misses 2-pt jump shot from 21 ft,35,22
2,11:46.0,Defensive rebound by M. Brogdon,,35,22
2,11:37.0,G. Hill makes 2-pt layup from 2 ft (assist by M. Brogdon),,37,22
2,11:23.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by T. Rozier),37,25
2,10:55.0,G. Hill misses 3-pt jump shot from 23 ft,,37,25
2,10:54.0,,Defensive rebound by J. Tatum,37,25
2,10:50.0,,Personal foul by T. Snell (drawn by J. Tatum),37,25
2,10:38.0,,Shooting foul by T. Maker (drawn by R. Williams),37,25
2,10:38.0,,R. Williams makes free throw 1 of 2,37,26
2,10:38.0,S. Brown enters the game for T. Snell,,37,26
2,10:38.0,,R. Williams makes free throw 2 of 2,37,27
2,10:21.0,T. Maker makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,40,27
2,10:03.0,,T. Rozier misses 2-pt jump shot from 14 ft,40,27
2,10:01.0,Defensive rebound by S. Brown,,40,27
2,9:54.0,Shooting foul by R. Williams (drawn by G. Antetokounmpo),,40,27
2,9:54.0,G. Antetokounmpo makes free throw 1 of 2,,41,27
2,9:54.0,G. Antetokounmpo makes free throw 2 of 2,,42,27
2,9:41.0,,T. Rozier misses 3-pt jump shot from 26 ft,42,27
2,9:39.0,Defensive rebound by S. Brown,,42,27
2,9:29.0,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,42,27
2,9:29.0,G. Antetokounmpo misses free throw 1 of 2,,42,27
2,9:29.0,Offensive rebound by Team,,42,27
2,9:29.0,G. Antetokounmpo makes free throw 2 of 2,,43,27
2,9:13.0,,Turnover by J. Tatum (bad pass; steal by T. Maker),43,27
2,8:57.0,T. Maker makes 3-pt jump shot from 23 ft (assist by S. Brown),,46,27
2,8:36.0,,J. Tatum misses 2-pt jump shot from 12 ft,46,27
2,8:34.0,,Offensive rebound by Team,46,27
2,8:31.0,,Technical foul by J. Tatum,46,27
2,8:31.0,M. Brogdon makes technical free throw,,47,27
2,8:31.0,,G. Hayward enters the game for J. Brown,47,27
2,8:31.0,,K. Irving enters the game for T. Rozier,47,27
2,8:31.0,,S. Ojeleye enters the game for J. Tatum,47,27
2,8:22.0,,G. Hayward misses 2-pt jump shot from 12 ft,47,27
2,8:18.0,,Offensive rebound by M. Smart,47,27
2,8:18.0,,M. Smart misses 2-pt layup from 5 ft,47,27
2,8:16.0,Defensive rebound by M. Brogdon,,47,27
2,8:08.0,M. Brogdon misses 2-pt layup from 4 ft,,47,27
2,8:07.0,Offensive rebound by M. Brogdon,,47,27
2,7:59.0,T. Maker misses 3-pt jump shot from 24 ft,,47,27
2,7:56.0,Offensive rebound by M. Brogdon,,47,27
2,7:47.0,M. Brogdon misses 3-pt jump shot from 32 ft (block by R. Williams),,47,27
2,7:45.0,Offensive rebound by M. Brogdon,,47,27
2,7:43.0,M. Brogdon misses 3-pt jump shot from 27 ft,,47,27
2,7:43.0,Offensive rebound by Team,,47,27
2,7:43.0,Turnover by Team (shot clock),,47,27
2,7:43.0,,Boston full timeout,47,27
2,7:43.0,E. Bledsoe enters the game for G. Antetokounmpo,,47,27
2,7:43.0,K. Middleton enters the game for M. Brogdon,,47,27
2,7:43.0,,G. Yabusele enters the game for R. Williams,47,27
2,7:26.0,,K. Irving makes 2-pt jump shot from 17 ft,47,29
2,7:10.0,S. Brown misses 3-pt jump shot from 23 ft,,47,29
2,7:08.0,,Defensive rebound by K. Irving,47,29
2,7:02.0,,G. Hayward makes 2-pt layup from 2 ft (assist by K. Irving),47,31
2,6:48.0,K. Middleton misses 2-pt layup from 4 ft,,47,31
2,6:47.0,Offensive rebound by K. Middleton,,47,31
2,6:47.0,K. Middleton makes 2-pt layup from 2 ft,,49,31
2,6:34.0,,G. Hayward misses 2-pt jump shot from 20 ft,49,31
2,6:34.0,Defensive rebound by E. Bledsoe,,49,31
2,6:27.0,S. Brown misses 3-pt jump shot from 24 ft,,49,31
2,6:25.0,,Defensive rebound by G. Hayward,49,31
2,6:20.0,,Shooting foul by T. Maker (drawn by S. Ojeleye),49,31
2,6:20.0,,S. Ojeleye misses free throw 1 of 2,49,31
2,6:20.0,,Offensive rebound by Team,49,31
2,6:20.0,B. Lopez enters the game for T. Maker,,49,31
2,6:20.0,,S. Ojeleye makes free throw 2 of 2,49,32
2,6:03.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by B. Lopez),,52,32
2,5:53.0,,K. Irving misses 3-pt jump shot from 25 ft,52,32
2,5:53.0,Defensive rebound by B. Lopez,,52,32
2,5:45.0,E. Bledsoe makes 2-pt layup from 2 ft,,54,32
2,5:29.0,,S. Ojeleye misses 2-pt hook shot from 4 ft (block by B. Lopez),54,32
2,5:29.0,Defensive rebound by Team,,54,32
2,5:29.0,G. Antetokounmpo enters the game for G. Hill,,54,32
2,5:16.0,E. Bledsoe makes 2-pt layup from 3 ft,,56,32
2,5:06.0,,Turnover by K. Irving (bad pass; steal by K. Middleton),56,32
2,4:51.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,56,32
2,4:50.0,Offensive rebound by G. Antetokounmpo,,56,32
2,4:50.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,58,32
2,4:50.0,,Boston full timeout,58,32
2,4:50.0,,J. Brown enters the game for S. Ojeleye,58,32
2,4:50.0,,J. Tatum enters the game for M. Smart,58,32
2,4:50.0,,D. Theis enters the game for G. Yabusele,58,32
2,4:27.0,,G. Hayward misses 2-pt jump shot from 21 ft,58,32
2,4:25.0,,Offensive rebound by D. Theis,58,32
2,4:22.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by D. Theis),58,35
2,3:55.0,G. Antetokounmpo misses 2-pt hook shot from 4 ft,,58,35
2,3:53.0,,Defensive rebound by J. Brown,58,35
2,3:42.0,,D. Theis makes 3-pt jump shot from 26 ft (assist by K. Irving),58,38
2,3:19.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,58,38
2,3:18.0,,Defensive rebound by J. Brown,58,38
2,3:12.0,,D. Theis misses 3-pt jump shot from 27 ft,58,38
2,3:10.0,Defensive rebound by G. Antetokounmpo,,58,38
2,2:57.0,E. Bledsoe misses 2-pt layup from 3 ft (block by J. Tatum),,58,38
2,2:55.0,,Defensive rebound by D. Theis,58,38
2,2:51.0,,J. Brown makes 2-pt layup from 3 ft (assist by K. Irving),58,40
2,2:51.0,,Shooting foul by K. Middleton (drawn by J. Brown),58,40
2,2:51.0,Milwaukee full timeout,,58,40
2,2:51.0,M. Brogdon enters the game for E. Bledsoe,,58,40
2,2:51.0,G. Hill enters the game for S. Brown,,58,40
2,2:51.0,,J. Brown misses free throw 1 of 1,58,40
2,2:49.0,Defensive rebound by G. Antetokounmpo,,58,40
2,2:35.0,K. Middleton makes 3-pt jump shot from 25 ft,,61,40
2,2:15.0,,Personal foul by K. Middleton (drawn by G. Hayward),61,40
2,2:15.0,,G. Hayward makes free throw 1 of 2,61,41
2,2:15.0,,G. Hayward makes free throw 2 of 2,61,42
2,1:53.0,G. Hill misses 3-pt jump shot from 22 ft,,61,42
2,1:51.0,,Defensive rebound by J. Brown,61,42
2,1:42.0,,K. Irving makes 2-pt jump shot from 7 ft,61,44
2,1:29.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Brown),,61,44
2,1:26.0,,J. Brown makes 2-pt layup from 3 ft,61,46
2,1:26.0,Violation by Team (def goaltending),,61,46
2,1:11.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,64,46
2,0:59.0,,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),64,48
2,0:38.0,K. Middleton misses 3-pt jump shot from 27 ft,,64,48
2,0:35.0,Offensive rebound by G. Antetokounmpo,,64,48
2,0:35.0,Shooting foul by D. Theis (drawn by G. Antetokounmpo),,64,48
2,0:35.0,G. Antetokounmpo misses free throw 1 of 2,,64,48
2,0:35.0,Offensive rebound by Team,,64,48
2,0:35.0,T. Maker enters the game for B. Lopez,,64,48
2,0:35.0,G. Antetokounmpo makes free throw 2 of 2,,65,48
2,0:22.0,,J. Tatum misses 2-pt jump shot from 3 ft,65,48
2,0:20.0,Defensive rebound by G. Hill,,65,48
2,0:00.0,M. Brogdon misses 3-pt jump shot from 27 ft,,65,48
2,0:00.0,Offensive rebound by Team,,65,48
3,11:45.0,,K. Irving misses 3-pt jump shot from 25 ft,65,48
3,11:43.0,Defensive rebound by M. Brogdon,,65,48
3,11:32.0,M. Brogdon misses 3-pt jump shot from 28 ft,,65,48
3,11:31.0,,Defensive rebound by S. Ojeleye,65,48
3,11:25.0,,K. Irving misses 2-pt layup from 1 ft,65,48
3,11:24.0,,Offensive rebound by S. Ojeleye,65,48
3,11:20.0,,G. Hayward misses 2-pt layup from 3 ft (block by B. Lopez),65,48
3,11:18.0,,Offensive rebound by K. Irving,65,48
3,11:17.0,,Shooting foul by K. Middleton (drawn by J. Tatum),65,48
3,11:17.0,,J. Tatum misses free throw 1 of 2,65,48
3,11:17.0,,Offensive rebound by Team,65,48
3,11:17.0,,J. Tatum makes free throw 2 of 2,65,49
3,10:56.0,K. Middleton misses 2-pt jump shot from 22 ft,,65,49
3,10:54.0,,Defensive rebound by M. Smart,65,49
3,10:49.0,,G. Hayward misses 3-pt jump shot from 25 ft,65,49
3,10:47.0,Defensive rebound by K. Middleton,,65,49
3,10:30.0,Turnover by B. Lopez (lost ball; steal by J. Tatum),,65,49
3,10:22.0,,K. Irving misses 2-pt layup from 1 ft (block by G. Antetokounmpo),65,49
3,10:18.0,Defensive rebound by B. Lopez,,65,49
3,10:17.0,Shooting foul by M. Smart (drawn by G. Antetokounmpo),,65,49
3,10:17.0,G. Antetokounmpo makes free throw 1 of 2,,66,49
3,10:17.0,G. Antetokounmpo makes free throw 2 of 2,,67,49
3,10:03.0,,J. Tatum misses 3-pt jump shot from 27 ft,67,49
3,10:00.0,Defensive rebound by K. Middleton,,67,49
3,9:57.0,Turnover by E. Bledsoe (lost ball; steal by M. Smart),,67,49
3,9:53.0,,M. Smart misses 3-pt jump shot from 24 ft,67,49
3,9:53.0,,Offensive rebound by S. Ojeleye,67,49
3,9:52.0,,S. Ojeleye makes 2-pt layup from 2 ft,67,51
3,9:52.0,Violation by Team (def goaltending),,67,51
3,9:37.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by M. Brogdon),,69,51
3,9:28.0,,S. Ojeleye misses 3-pt jump shot from 24 ft,69,51
3,9:28.0,Defensive rebound by M. Brogdon,,69,51
3,9:10.0,K. Middleton misses 2-pt hook shot from 4 ft,,69,51
3,9:08.0,,Defensive rebound by Team,69,51
3,8:58.0,,K. Irving makes 2-pt layup from 2 ft,69,53
3,8:45.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,72,53
3,8:34.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by K. Irving),72,56
3,8:17.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,74,56
3,8:17.0,Shooting foul by S. Ojeleye (drawn by G. Antetokounmpo),,74,56
3,8:17.0,G. Antetokounmpo misses free throw 1 of 1,,74,56
3,8:16.0,Offensive rebound by K. Middleton,,74,56
3,8:05.0,K. Middleton misses 2-pt jump shot from 15 ft,,74,56
3,8:03.0,,Defensive rebound by K. Irving,74,56
3,7:52.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by J. Tatum),74,59
3,7:41.0,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,74,59
3,7:41.0,G. Antetokounmpo makes free throw 1 of 2,,75,59
3,7:41.0,G. Antetokounmpo makes free throw 2 of 2,,76,59
3,7:30.0,,Turnover by J. Tatum (out of bounds lost ball),76,59
3,7:13.0,B. Lopez misses 2-pt hook shot from 5 ft,,76,59
3,7:11.0,,Defensive rebound by J. Tatum,76,59
3,7:01.0,,M. Smart misses 2-pt layup from 3 ft (block by G. Antetokounmpo),76,59
3,6:59.0,Defensive rebound by E. Bledsoe,,76,59
3,6:54.0,Turnover by E. Bledsoe (bad pass; steal by S. Ojeleye),,76,59
3,6:51.0,,Shooting foul by M. Brogdon (drawn by J. Tatum),76,59
3,6:51.0,,Boston full timeout,76,59
3,6:51.0,S. Brown enters the game for M. Brogdon,,76,59
3,6:51.0,,J. Tatum makes free throw 1 of 2,76,60
3,6:51.0,,J. Tatum makes free throw 2 of 2,76,61
3,6:30.0,K. Middleton misses 2-pt jump shot from 17 ft,,76,61
3,6:29.0,,Defensive rebound by K. Irving,76,61
3,6:20.0,,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),76,63
3,6:03.0,S. Brown misses 2-pt jump shot from 17 ft,,76,63
3,6:02.0,,Defensive rebound by K. Irving,76,63
3,5:52.0,,J. Tatum makes 2-pt jump shot from 17 ft,76,65
3,5:37.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by S. Brown),,78,65
3,5:37.0,Shooting foul by S. Ojeleye (drawn by G. Antetokounmpo),,78,65
3,5:37.0,D. Wilson enters the game for B. Lopez,,78,65
3,5:37.0,G. Antetokounmpo makes free throw 1 of 1,,79,65
3,5:20.0,,Shooting foul by D. Wilson (drawn by S. Ojeleye),79,65
3,5:20.0,,S. Ojeleye makes free throw 1 of 2,79,66
3,5:20.0,G. Hill enters the game for G. Antetokounmpo,,79,66
3,5:20.0,,J. Brown enters the game for G. Hayward,79,66
3,5:20.0,,S. Ojeleye makes free throw 2 of 2,79,67
3,4:56.0,Turnover by K. Middleton (back court),,79,67
3,4:56.0,T. Snell enters the game for E. Bledsoe,,79,67
3,4:56.0,,D. Theis enters the game for S. Ojeleye,79,67
3,4:52.0,,Personal foul by G. Hill (drawn by K. Irving),79,67
3,4:41.0,,J. Tatum misses 2-pt hook shot from 3 ft,79,67
3,4:39.0,Defensive rebound by K. Middleton,,79,67
3,4:37.0,G. Hill makes 3-pt jump shot from 26 ft (assist by K. Middleton),,82,67
3,4:20.0,,M. Smart makes 2-pt jump shot from 6 ft,82,69
3,4:02.0,Turnover by T. Snell (lost ball; steal by J. Brown),,82,69
3,3:55.0,,J. Brown makes 2-pt layup from 2 ft (assist by J. Tatum),82,71
3,3:51.0,Milwaukee full timeout,,82,71
3,3:35.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Hill),,85,71
3,3:13.0,,J. Brown misses 2-pt layup from 3 ft (block by D. Wilson),85,71
3,3:13.0,,Offensive rebound by J. Brown,85,71
3,3:13.0,,Shooting foul by G. Hill (drawn by J. Brown),85,71
3,3:13.0,,J. Brown misses free throw 1 of 2,85,71
3,3:13.0,,Offensive rebound by Team,85,71
3,3:13.0,,J. Brown makes free throw 2 of 2,85,72
3,3:00.0,K. Middleton misses 2-pt jump shot from 19 ft,,85,72
3,2:58.0,,Defensive rebound by J. Tatum,85,72
3,2:56.0,,Personal foul by T. Snell (drawn by M. Smart),85,72
3,2:56.0,,M. Smart makes free throw 1 of 2,85,73
3,2:56.0,M. Brogdon enters the game for S. Brown,,85,73
3,2:56.0,,T. Rozier enters the game for K. Irving,85,73
3,2:56.0,,M. Smart makes free throw 2 of 2,85,74
3,2:35.0,Turnover by M. Brogdon (bad pass; steal by J. Brown),,85,74
3,2:31.0,,J. Brown misses 2-pt layup from 7 ft,85,74
3,2:29.0,Defensive rebound by K. Middleton,,85,74
3,2:25.0,T. Snell makes 3-pt jump shot from 27 ft (assist by M. Brogdon),,88,74
3,2:12.0,,Personal foul by T. Snell (drawn by J. Tatum),88,74
3,2:12.0,,J. Tatum makes free throw 1 of 2,88,75
3,2:12.0,G. Antetokounmpo enters the game for K. Middleton,,88,75
3,2:12.0,,J. Tatum makes free throw 2 of 2,88,76
3,1:57.0,G. Antetokounmpo makes 2-pt layup from 4 ft,,90,76
3,1:57.0,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,90,76
3,1:57.0,G. Antetokounmpo makes free throw 1 of 1,,91,76
3,1:41.0,,M. Smart misses 2-pt jump shot from 5 ft,91,76
3,1:39.0,Defensive rebound by M. Brogdon,,91,76
3,1:30.0,G. Antetokounmpo misses 2-pt layup from 5 ft,,91,76
3,1:29.0,,Defensive rebound by T. Rozier,91,76
3,1:25.0,,Personal foul by D. Wilson (drawn by J. Tatum),91,76
3,1:25.0,,J. Tatum makes free throw 1 of 2,91,77
3,1:25.0,,G. Hayward enters the game for M. Smart,91,77
3,1:25.0,,J. Tatum makes free throw 2 of 2,91,78
3,1:06.0,Turnover by M. Brogdon (bad pass; steal by J. Brown),,91,78
3,1:01.0,,J. Brown misses 2-pt layup from 3 ft,91,78
3,0:59.0,Defensive rebound by T. Snell,,91,78
3,0:42.0,M. Brogdon makes 2-pt layup from 3 ft,,93,78
3,0:30.0,,T. Rozier misses 2-pt layup from 10 ft,93,78
3,0:27.0,Defensive rebound by M. Brogdon,,93,78
3,0:06.0,M. Brogdon misses 3-pt jump shot from 26 ft,,93,78
3,0:03.0,,Defensive rebound by D. Theis,93,78
3,0:00.0,,J. Brown misses 3-pt jump shot from 26 ft,93,78
3,0:00.0,,Offensive rebound by Team,93,78
4,11:39.0,Turnover by M. Brogdon (bad pass; steal by D. Theis),,93,78
4,11:30.0,,D. Theis misses 2-pt jump shot from 20 ft,93,78
4,11:27.0,,Offensive rebound by J. Brown,93,78
4,11:21.0,,K. Irving misses 2-pt jump shot from 9 ft,93,78
4,11:20.0,Defensive rebound by T. Maker,,93,78
4,10:58.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,93,78
4,10:56.0,,Defensive rebound by J. Brown,93,78
4,10:49.0,,T. Rozier makes 2-pt jump shot from 8 ft (assist by J. Brown),93,80
4,10:32.0,M. Brogdon makes 2-pt layup from 3 ft,,95,80
4,10:20.0,,G. Hayward misses 3-pt jump shot from 25 ft,95,80
4,10:20.0,Defensive rebound by T. Maker,,95,80
4,9:58.0,M. Brogdon makes 2-pt layup from 3 ft (assist by T. Snell),,97,80
4,9:47.0,,J. Brown makes 2-pt dunk from 3 ft (assist by T. Rozier),97,82
4,9:43.0,,Technical foul by J. Brown,97,82
4,9:43.0,M. Brogdon makes technical free throw,,98,82
4,9:43.0,S. Brown enters the game for M. Brogdon,,98,82
4,9:20.0,T. Snell makes 2-pt jump shot from 6 ft (assist by T. Maker),,100,82
4,9:10.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by T. Rozier),100,85
4,8:58.0,T. Maker makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,103,85
4,8:42.0,,Shooting foul by T. Maker (drawn by D. Theis),103,85
4,8:42.0,,D. Theis makes free throw 1 of 2,103,86
4,8:42.0,K. Middleton enters the game for G. Antetokounmpo,,103,86
4,8:42.0,,D. Theis makes free throw 2 of 2,103,87
4,8:26.0,Turnover by T. Snell (off goaltending),,103,87
4,8:11.0,,T. Rozier misses 3-pt jump shot from 26 ft,103,87
4,8:09.0,,Offensive rebound by K. Irving,103,87
4,8:06.0,,J. Brown makes 3-pt jump shot from 28 ft (assist by K. Irving),103,90
4,7:43.0,Turnover by K. Middleton (bad pass; steal by T. Rozier),,103,90
4,7:39.0,,G. Hayward makes 2-pt layup at rim (assist by T. Rozier),103,92
4,7:39.0,,Shooting foul by T. Snell (drawn by G. Hayward),103,92
4,7:39.0,Milwaukee full timeout,,103,92
4,7:39.0,G. Hill enters the game for T. Maker,,103,92
4,7:39.0,B. Lopez enters the game for T. Snell,,103,92
4,7:39.0,,G. Hayward misses free throw 1 of 1,103,92
4,7:39.0,Defensive rebound by E. Bledsoe,,103,92
4,7:17.0,E. Bledsoe makes 2-pt jump shot from 3 ft (assist by K. Middleton),,105,92
4,7:01.0,,Shooting foul by E. Bledsoe (drawn by T. Rozier),105,92
4,7:01.0,,T. Rozier makes free throw 1 of 2,105,93
4,7:01.0,,T. Rozier makes free throw 2 of 2,105,94
4,6:49.0,E. Bledsoe makes 2-pt jump shot from 5 ft,,107,94
4,6:49.0,Shooting foul by J. Brown (drawn by E. Bledsoe),,107,94
4,6:49.0,E. Bledsoe makes free throw 1 of 1,,108,94
