QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
1,6:17.0,R. Rondo enters the game for J. Hart,,16,12
1,6:17.0,J. Williams enters the game for J. McGee,,16,12
1,6:17.0,,R. Gay enters the game for D. Bertāns,16,12
1,6:17.0,,P. Mills enters the game for B. Forbes,16,12
1,6:06.0,K. Kuzma misses 3-pt jump shot from 26 ft,,16,12
1,6:01.0,,Defensive rebound by D. DeRozan,16,12
1,5:49.0,,D. DeRozan makes 2-pt layup from 1 ft,16,14
1,5:32.0,Shooting foul by R. Gay (drawn by L. James),,16,14
1,5:32.0,L. James misses free throw 1 of 2,,16,14
1,5:32.0,Offensive rebound by Team,,16,14
1,5:32.0,L. Stephenson enters the game for L. Ball,,16,14
1,5:32.0,,M. Belinelli enters the game for D. Cunningham,16,14
1,5:32.0,L. James makes free throw 2 of 2,,17,14
1,5:18.0,,D. DeRozan misses 2-pt jump shot from 15 ft,17,14
1,5:14.0,,Offensive rebound by R. Gay,17,14
1,5:04.0,,L. Aldridge misses 2-pt jump shot from 18 ft,17,14
1,5:03.0,,Offensive rebound by Team,17,14
1,5:03.0,,Personal foul by L. Stephenson (drawn by L. Aldridge),17,14
1,4:51.0,,P. Mills makes 2-pt jump shot from 5 ft (assist by D. DeRozan),17,16
1,4:32.0,Shooting foul by L. Aldridge (drawn by L. James),,17,16
1,4:32.0,L. James makes free throw 1 of 2,,18,16
1,4:32.0,,B. Forbes enters the game for D. DeRozan,18,16
1,4:32.0,L. James makes free throw 2 of 2,,19,16
1,4:13.0,,Shooting foul by L. James (drawn by R. Gay),19,16
1,4:13.0,,R. Gay misses free throw 1 of 2,19,16
1,4:13.0,,Offensive rebound by Team,19,16
1,4:13.0,K. Caldwell-Pope enters the game for L. James,,19,16
1,4:13.0,J. Hart enters the game for K. Kuzma,,19,16
1,4:13.0,,R. Gay makes free throw 2 of 2,19,17
1,4:01.0,L. Stephenson makes 2-pt jump shot from 17 ft,,21,17
1,3:47.0,,L. Aldridge makes 2-pt layup at rim (assist by B. Forbes),21,19
1,3:36.0,Turnover by L. Stephenson (lost ball; steal by B. Forbes),,21,19
1,3:22.0,,Turnover by L. Aldridge (lost ball; steal by J. Williams),21,19
1,3:10.0,J. Hart misses 3-pt jump shot from 22 ft,,21,19
1,3:08.0,,Defensive rebound by P. Mills,21,19
1,3:08.0,,Personal foul by R. Rondo (drawn by P. Mills),21,19
1,3:08.0,,P. Mills makes free throw 1 of 2,21,20
1,3:08.0,,P. Gasol enters the game for L. Aldridge,21,20
1,3:08.0,,P. Mills makes free throw 2 of 2,21,21
1,2:56.0,L. Stephenson makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),,24,21
1,2:55.0,,San Antonio full timeout,24,21
1,2:55.0,J. McGee enters the game for J. Williams,,24,21
1,2:41.0,,R. Gay misses 2-pt layup from 1 ft (block by J. McGee),24,21
1,2:38.0,Defensive rebound by L. Stephenson,,24,21
1,2:31.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by L. Stephenson),,27,21
1,2:18.0,,P. Mills misses 2-pt jump shot from 21 ft,27,21
1,2:18.0,Defensive rebound by J. McGee,,27,21
1,2:09.0,K. Caldwell-Pope makes 2-pt jump shot from 12 ft,,29,21
1,1:57.0,,P. Gasol misses 3-pt jump shot from 25 ft,29,21
1,1:57.0,Defensive rebound by K. Caldwell-Pope,,29,21
1,1:47.0,L. Stephenson makes 2-pt layup from 1 ft,,31,21
1,1:33.0,,B. Forbes makes 2-pt jump shot from 6 ft,31,23
1,1:24.0,Offensive foul by J. McGee (drawn by P. Mills),,31,23
1,1:24.0,Turnover by J. McGee (offensive foul),,31,23
1,1:24.0,,D. Cunningham enters the game for M. Belinelli,31,23
1,1:01.0,,R. Gay misses 2-pt jump shot from 9 ft,31,23
1,1:00.0,,Offensive rebound by P. Gasol,31,23
1,1:00.0,,P. Gasol makes 2-pt layup from 1 ft,31,25
1,1:00.0,Violation by Team (def goaltending),,31,25
1,1:00.0,Technical foul by L. Stephenson,,31,25
1,1:00.0,,Technical foul by R. Gay,31,25
1,0:42.0,L. Stephenson misses 3-pt jump shot from 25 ft,,31,25
1,0:40.0,,Defensive rebound by D. Cunningham,31,25
1,0:40.0,,Personal foul by J. McGee (drawn by D. Cunningham),31,25
1,0:40.0,,D. Cunningham makes free throw 1 of 2,31,26
1,0:40.0,J. Williams enters the game for J. McGee,,31,26
1,0:40.0,,M. Belinelli enters the game for P. Mills,31,26
1,0:40.0,,D. Cunningham makes free throw 2 of 2,31,27
1,0:32.0,R. Rondo makes 2-pt jump shot from 6 ft,,33,27
1,0:18.0,,P. Gasol makes 2-pt jump shot from 9 ft,33,29
1,0:00.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by R. Rondo),,36,29
2,11:52.0,,B. Forbes misses 3-pt jump shot from 26 ft,36,29
2,11:48.0,Defensive rebound by L. Stephenson,,36,29
2,11:38.0,Personal foul by B. Forbes (drawn by R. Rondo),,36,29
2,11:38.0,,D. Cunningham enters the game for R. Gay,36,29
2,11:25.0,Turnover by L. James (lost ball; steal by D. DeRozan),,36,29
2,11:21.0,,Turnover by M. Belinelli (out of bounds lost ball),36,29
2,11:10.0,J. Williams misses 2-pt hook shot from 6 ft,,36,29
2,11:08.0,,Defensive rebound by D. DeRozan,36,29
2,11:00.0,,D. DeRozan makes 2-pt layup from 1 ft,36,31
2,10:45.0,R. Rondo makes 2-pt jump shot from 18 ft,,38,31
2,10:26.0,,Turnover by P. Gasol (bad pass; steal by L. James),38,31
2,10:12.0,J. Williams misses 2-pt hook shot from 6 ft,,38,31
2,10:09.0,,Defensive rebound by P. Gasol,38,31
2,10:05.0,,M. Belinelli misses 3-pt jump shot from 27 ft,38,31
2,10:01.0,Defensive rebound by L. Stephenson,,38,31
2,9:52.0,J. Williams makes 2-pt layup from 1 ft,,40,31
2,9:32.0,,D. DeRozan misses 2-pt jump shot from 14 ft,40,31
2,9:30.0,Defensive rebound by J. Williams,,40,31
2,9:18.0,L. James misses 3-pt jump shot from 25 ft,,40,31
2,9:18.0,,Defensive rebound by P. Gasol,40,31
2,9:07.0,,Shooting foul by R. Rondo (drawn by B. Forbes),40,31
2,9:07.0,,B. Forbes makes free throw 1 of 2,40,32
2,9:07.0,J. McGee enters the game for J. Williams,,40,32
2,9:07.0,,B. Forbes misses free throw 2 of 2,40,32
2,9:04.0,Defensive rebound by L. James,,40,32
2,8:51.0,L. Stephenson makes 2-pt jump shot from 16 ft,,42,32
2,8:42.0,,D. DeRozan misses 2-pt jump shot at rim,42,32
2,8:42.0,,Offensive rebound by P. Gasol,42,32
2,8:42.0,,Shooting foul by L. Stephenson (drawn by P. Gasol),42,32
2,8:42.0,,P. Gasol misses free throw 1 of 2,42,32
2,8:42.0,,Offensive rebound by Team,42,32
2,8:42.0,,D. Bertāns enters the game for M. Belinelli,42,32
2,8:42.0,,P. Gasol makes free throw 2 of 2,42,33
2,8:29.0,R. Rondo misses 3-pt jump shot from 25 ft,,42,33
2,8:26.0,Offensive rebound by Team,,42,33
2,8:26.0,,L. Aldridge enters the game for P. Gasol,42,33
2,8:21.0,L. James misses 3-pt jump shot from 25 ft,,42,33
2,8:15.0,,Defensive rebound by D. DeRozan,42,33
2,8:08.0,,D. Cunningham misses 3-pt jump shot from 23 ft,42,33
2,8:04.0,Defensive rebound by L. James,,42,33
2,8:04.0,Shooting foul by D. Bertāns (drawn by L. James),,42,33
2,8:04.0,L. James makes free throw 1 of 2,,43,33
2,8:04.0,J. Hart enters the game for K. Caldwell-Pope,,43,33
2,8:04.0,K. Kuzma enters the game for L. Stephenson,,43,33
2,8:04.0,L. James makes free throw 2 of 2,,44,33
2,7:53.0,,D. DeRozan makes 2-pt jump shot from 14 ft,44,35
2,7:45.0,J. McGee makes 2-pt dunk at rim (assist by R. Rondo),,46,35
2,7:28.0,,Turnover by B. Forbes (bad pass; steal by L. James),46,35
2,7:23.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,48,35
2,7:23.0,,San Antonio full timeout,48,35
2,7:23.0,L. Ball enters the game for L. James,,48,35
2,7:23.0,,R. Gay enters the game for D. Cunningham,48,35
2,7:23.0,,P. Mills enters the game for B. Forbes,48,35
2,7:08.0,,D. DeRozan misses 2-pt jump shot from 15 ft,48,35
2,7:03.0,Defensive rebound by K. Kuzma,,48,35
2,7:02.0,Offensive foul by J. McGee (drawn by D. Bertāns),,48,35
2,7:02.0,Turnover by J. McGee (offensive foul),,48,35
2,7:02.0,J. Williams enters the game for J. McGee,,48,35
2,6:50.0,,Turnover by L. Aldridge (3 sec),48,35
2,6:29.0,R. Rondo misses 3-pt jump shot from 25 ft,,48,35
2,6:25.0,,Defensive rebound by R. Gay,48,35
2,6:16.0,,L. Aldridge makes 2-pt dunk from 1 ft (assist by R. Gay),48,37
2,6:04.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. Ball),,51,37
2,5:39.0,,D. Bertāns misses 3-pt jump shot from 26 ft,51,37
2,5:35.0,Defensive rebound by J. Hart,,51,37
2,5:30.0,Shooting foul by D. DeRozan (drawn by J. Williams),,51,37
2,5:30.0,J. Williams misses free throw 1 of 2,,51,37
2,5:30.0,Offensive rebound by Team,,51,37
2,5:30.0,J. Williams misses free throw 2 of 2,,51,37
2,5:27.0,,Defensive rebound by R. Gay,51,37
2,5:15.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by D. DeRozan),51,40
2,5:04.0,LA Lakers full timeout,,51,40
2,5:04.0,,M. Belinelli enters the game for D. Bertāns,51,40
2,4:55.0,L. Ball misses 3-pt jump shot from 23 ft,,51,40
2,4:52.0,Offensive rebound by K. Kuzma,,51,40
2,4:49.0,K. Kuzma makes 2-pt jump shot from 2 ft,,53,40
2,4:25.0,,R. Gay makes 2-pt jump shot from 16 ft,53,42
2,4:12.0,Shooting foul by M. Belinelli (drawn by L. Ball),,53,42
2,4:12.0,L. Ball misses free throw 1 of 2,,53,42
2,4:12.0,Offensive rebound by Team,,53,42
2,4:12.0,L. James enters the game for R. Rondo,,53,42
2,4:12.0,L. Stephenson enters the game for J. Williams,,53,42
2,4:12.0,L. Ball misses free throw 2 of 2,,53,42
2,4:09.0,,Defensive rebound by R. Gay,53,42
2,3:49.0,,D. DeRozan makes 2-pt jump shot from 14 ft,53,44
2,3:37.0,L. Stephenson misses 2-pt jump shot from 8 ft,,53,44
2,3:30.0,Offensive rebound by L. Stephenson,,53,44
2,3:30.0,L. Stephenson misses 2-pt layup at rim,,53,44
2,3:29.0,,Defensive rebound by D. DeRozan,53,44
2,3:26.0,,D. DeRozan makes 2-pt dunk from 1 ft,53,46
2,3:13.0,Turnover by L. Ball (bad pass),,53,46
2,3:05.0,,R. Gay misses 2-pt layup from 1 ft,53,46
2,3:05.0,Defensive rebound by L. Stephenson,,53,46
2,3:05.0,K. Kuzma makes 2-pt dunk from 1 ft,,55,46
2,2:53.0,,L. Aldridge misses 2-pt hook shot from 1 ft,55,46
2,2:53.0,,Offensive rebound by L. Aldridge,55,46
2,2:49.0,,L. Aldridge misses 2-pt layup from 1 ft,55,46
2,2:49.0,Defensive rebound by L. Stephenson,,55,46
2,2:41.0,Offensive foul by L. James (drawn by D. DeRozan),,55,46
2,2:41.0,Turnover by L. James (offensive foul),,55,46
2,2:28.0,,D. DeRozan makes 2-pt jump shot from 15 ft (assist by M. Belinelli),55,48
2,2:19.0,K. Kuzma misses 3-pt jump shot from 25 ft,,55,48
2,2:16.0,,Defensive rebound by P. Mills,55,48
2,2:10.0,,R. Gay makes 2-pt jump shot from 17 ft (assist by D. DeRozan),55,50
2,1:50.0,K. Kuzma misses 2-pt jump shot from 10 ft,,55,50
2,1:48.0,,Defensive rebound by R. Gay,55,50
2,1:45.0,,Turnover by D. DeRozan (bad pass; steal by L. Stephenson),55,50
2,1:41.0,L. James makes 2-pt dunk from 2 ft (assist by L. Ball),,57,50
2,1:23.0,,Personal foul by K. Kuzma (drawn by L. Aldridge),57,50
2,1:23.0,J. Williams enters the game for K. Kuzma,,57,50
2,1:16.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by P. Mills),57,52
2,1:06.0,L. Stephenson misses 2-pt jump shot from 18 ft,,57,52
2,1:03.0,Offensive rebound by J. Williams,,57,52
2,1:01.0,L. Ball makes 3-pt jump shot from 27 ft (assist by J. Hart),,60,52
2,0:46.0,,M. Belinelli misses 3-pt jump shot from 26 ft,60,52
2,0:42.0,Defensive rebound by L. Stephenson,,60,52
2,0:38.0,J. Hart misses 3-pt jump shot from 27 ft,,60,52
2,0:33.0,,Defensive rebound by P. Mills,60,52
2,0:16.0,,Shooting foul by L. Stephenson (drawn by D. DeRozan),60,52
2,0:16.0,,D. DeRozan makes free throw 1 of 2,60,53
2,0:16.0,K. Kuzma enters the game for J. Williams,,60,53
2,0:16.0,,D. DeRozan makes free throw 2 of 2,60,54
2,0:01.0,K. Kuzma misses 3-pt jump shot from 26 ft,,60,54
2,0:01.0,,Defensive rebound by D. DeRozan,60,54
3,11:46.0,,D. DeRozan makes 2-pt jump shot from 13 ft (assist by R. Gay),60,56
3,11:25.0,L. James makes 2-pt layup at rim,,62,56
3,11:08.0,,Personal foul by L. Ball (drawn by D. DeRozan),62,56
3,10:59.0,,B. Forbes makes 2-pt layup from 1 ft (assist by D. DeRozan),62,58
3,10:59.0,,Shooting foul by L. Ball (drawn by B. Forbes),62,58
3,10:59.0,,B. Forbes misses free throw 1 of 1,62,58
3,10:59.0,Defensive rebound by L. James,,62,58
3,10:52.0,L. James makes 2-pt jump shot from 18 ft,,64,58
3,10:41.0,,Offensive foul by L. Aldridge (drawn by K. Kuzma),64,58
3,10:41.0,,Turnover by L. Aldridge (offensive foul),64,58
3,10:41.0,,Violation by Team (delay of game),64,58
3,10:26.0,L. James misses 2-pt jump shot from 20 ft,,64,58
3,10:22.0,,Defensive rebound by R. Gay,64,58
3,10:15.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by R. Gay),64,60
3,10:09.0,Shooting foul by L. Aldridge (drawn by J. McGee),,64,60
3,10:09.0,J. McGee misses free throw 1 of 2,,64,60
3,10:09.0,Offensive rebound by Team,,64,60
3,10:09.0,J. McGee makes free throw 2 of 2,,65,60
3,9:54.0,,B. Forbes makes 2-pt jump shot from 22 ft (assist by L. Aldridge),65,62
3,9:42.0,J. McGee makes 2-pt jump shot from 13 ft (assist by L. Ball),,67,62
3,9:34.0,,Turnover by D. DeRozan (out of bounds lost ball),67,62
3,9:17.0,L. Ball misses 3-pt jump shot from 23 ft,,67,62
3,9:13.0,,Defensive rebound by D. Cunningham,67,62
3,9:04.0,,B. Forbes misses 2-pt jump shot from 24 ft,67,62
3,9:01.0,Defensive rebound by J. McGee,,67,62
3,9:01.0,Personal foul by B. Forbes (drawn by L. Ball),,67,62
3,8:53.0,L. James makes 2-pt layup from 1 ft,,69,62
3,8:30.0,,B. Forbes makes 2-pt layup from 1 ft,69,64
3,8:17.0,K. Kuzma misses 2-pt layup from 2 ft (block by L. Aldridge),,69,64
3,8:14.0,,Defensive rebound by R. Gay,69,64
3,8:10.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),69,67
3,8:09.0,LA Lakers full timeout,,69,67
3,7:51.0,L. James makes 2-pt jump shot from 17 ft,,71,67
3,7:32.0,,D. DeRozan makes 2-pt jump shot from 19 ft,71,69
3,7:23.0,Turnover by L. Ball (bad pass; steal by B. Forbes),,71,69
3,7:15.0,,D. Cunningham misses 3-pt jump shot from 22 ft,71,69
3,7:10.0,Defensive rebound by L. James,,71,69
3,7:05.0,L. Ball misses 3-pt jump shot from 26 ft,,71,69
3,7:00.0,,Defensive rebound by D. Cunningham,71,69
3,6:52.0,,D. DeRozan makes 2-pt jump shot from 14 ft,71,71
3,6:42.0,L. James makes 3-pt jump shot from 25 ft,,74,71
3,6:19.0,,D. Cunningham makes 2-pt jump shot from 13 ft (assist by D. DeRozan),74,73
3,6:04.0,L. James misses 2-pt jump shot from 10 ft,,74,73
3,6:04.0,Offensive rebound by L. James,,74,73
3,5:59.0,L. James makes 2-pt layup from 1 ft,,76,73
3,5:40.0,,R. Gay makes 2-pt jump shot from 12 ft,76,75
3,5:16.0,J. Hart misses 3-pt jump shot from 25 ft,,76,75
3,5:13.0,,Defensive rebound by D. DeRozan,76,75
3,5:01.0,,R. Gay misses 2-pt jump shot from 8 ft (block by J. McGee),76,75
3,4:55.0,Defensive rebound by L. James,,76,75
3,4:53.0,J. Hart makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,79,75
3,4:53.0,,San Antonio full timeout,79,75
3,4:53.0,R. Rondo enters the game for L. Ball,,79,75
3,4:53.0,L. Stephenson enters the game for L. James,,79,75
3,4:53.0,J. Williams enters the game for J. McGee,,79,75
3,4:53.0,,M. Belinelli enters the game for B. Forbes,79,75
3,4:53.0,,P. Mills enters the game for R. Gay,79,75
3,4:36.0,,L. Aldridge misses 2-pt hook shot from 1 ft,79,75
3,4:34.0,Defensive rebound by L. Stephenson,,79,75
3,4:11.0,J. Hart misses 2-pt jump shot from 12 ft,,79,75
3,4:09.0,,Defensive rebound by L. Aldridge,79,75
3,3:55.0,,D. Cunningham misses 2-pt jump shot from 16 ft,79,75
3,3:51.0,Defensive rebound by J. Williams,,79,75
3,3:41.0,K. Kuzma makes 2-pt hook shot from 10 ft,,81,75
3,3:27.0,,Turnover by L. Aldridge (out of bounds lost ball),81,75
3,3:27.0,,D. Bertāns enters the game for L. Aldridge,81,75
3,3:27.0,,P. Gasol enters the game for D. Cunningham,81,75
3,3:18.0,Shooting foul by P. Mills (drawn by R. Rondo),,81,75
3,3:18.0,R. Rondo makes free throw 1 of 2,,82,75
3,3:18.0,K. Caldwell-Pope enters the game for J. Hart,,82,75
3,3:18.0,,R. Gay enters the game for D. DeRozan,82,75
3,3:18.0,R. Rondo makes free throw 2 of 2,,83,75
3,3:10.0,,Shooting foul by K. Caldwell-Pope (drawn by M. Belinelli),83,75
3,3:10.0,,M. Belinelli makes free throw 1 of 2,83,76
3,3:10.0,,M. Belinelli makes free throw 2 of 2,83,77
3,2:58.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by J. Williams),,86,77
3,2:43.0,,P. Mills misses 2-pt layup from 3 ft,86,77
3,2:40.0,Defensive rebound by K. Kuzma,,86,77
3,2:32.0,J. Williams makes 2-pt layup from 2 ft (assist by R. Rondo),,88,77
3,2:12.0,,R. Gay misses 2-pt jump shot from 14 ft,88,77
3,2:11.0,,Offensive rebound by R. Gay,88,77
3,2:11.0,,R. Gay makes 2-pt layup from 1 ft,88,79
3,2:11.0,,Shooting foul by R. Rondo (drawn by R. Gay),88,79
3,2:11.0,J. Hart enters the game for K. Kuzma,,88,79
3,2:11.0,,R. Gay makes free throw 1 of 1,88,80
3,1:51.0,Turnover by R. Rondo (bad pass; steal by R. Gay),,88,80
3,1:49.0,,Personal foul by L. Stephenson (drawn by R. Gay),88,80
3,1:49.0,,R. Gay makes free throw 1 of 2,88,81
3,1:49.0,,R. Gay makes free throw 2 of 2,88,82
3,1:39.0,L. Stephenson misses 2-pt layup from 2 ft,,88,82
3,1:32.0,Offensive rebound by J. Williams,,88,82
3,1:32.0,J. Williams misses 2-pt layup from 1 ft (block by R. Gay),,88,82
3,1:30.0,,Defensive rebound by R. Gay,88,82
3,1:27.0,,Turnover by P. Mills (traveling),88,82
3,1:14.0,L. Stephenson misses 2-pt jump shot from 21 ft,,88,82
3,1:11.0,Offensive rebound by R. Rondo,,88,82
3,1:07.0,R. Rondo misses 2-pt layup from 2 ft (block by R. Gay),,88,82
3,1:07.0,,Defensive rebound by R. Gay,88,82
3,0:56.0,,M. Belinelli misses 2-pt jump shot from 14 ft,88,82
3,0:56.0,Defensive rebound by Team,,88,82
3,0:56.0,,Loose ball foul by P. Gasol (drawn by L. Stephenson),88,82
3,0:41.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,88,82
3,0:37.0,,Defensive rebound by P. Gasol,88,82
3,0:32.0,,P. Mills makes 3-pt jump shot from 27 ft,88,85
3,0:15.0,Offensive foul by J. Hart (drawn by P. Mills),,88,85
3,0:15.0,Turnover by J. Hart (offensive foul),,88,85
3,0:00.0,,R. Gay misses 2-pt layup from 2 ft,88,85
3,0:00.0,,Offensive rebound by P. Gasol,88,85
3,0:00.0,,P. Gasol makes 2-pt dunk at rim,88,87
4,11:45.0,Personal foul by P. Mills (drawn by J. McGee),,88,87
4,11:45.0,,D. Cunningham enters the game for D. Bertāns,88,87
4,11:35.0,L. Ball makes 3-pt jump shot from 25 ft,,91,87
4,11:17.0,,M. Belinelli misses 3-pt jump shot from 25 ft,91,87
4,11:13.0,,Offensive rebound by P. Gasol,91,87
4,11:06.0,,D. DeRozan makes 2-pt jump shot from 15 ft,91,89
4,10:54.0,S. Mykhailiuk misses 3-pt jump shot from 24 ft,,91,89
4,10:51.0,,Defensive rebound by P. Gasol,91,89
4,10:36.0,,M. Belinelli misses 2-pt layup from 2 ft (block by J. McGee),91,89
4,10:30.0,,Offensive rebound by P. Gasol,91,89
4,10:30.0,,P. Gasol makes 2-pt dunk at rim,91,91
4,10:17.0,L. Ball misses 2-pt jump shot from 7 ft,,91,91
4,10:15.0,,Defensive rebound by D. DeRozan,91,91
4,10:06.0,,D. DeRozan misses 2-pt layup from 2 ft,91,91
4,10:06.0,,Offensive rebound by D. DeRozan,91,91
4,10:04.0,,D. DeRozan makes 2-pt layup at rim,91,93
4,10:04.0,LA Lakers full timeout,,91,93
4,10:04.0,R. Rondo enters the game for L. Ball,,91,93
4,10:04.0,L. Stephenson enters the game for S. Mykhailiuk,,91,93
4,9:41.0,L. James misses 2-pt jump shot from 13 ft,,91,93
4,9:41.0,,Defensive rebound by P. Gasol,91,93
4,9:41.0,,Personal foul by J. McGee (drawn by P. Gasol),91,93
4,9:28.0,,M. Belinelli misses 3-pt jump shot from 25 ft,91,93
4,9:24.0,Defensive rebound by J. McGee,,91,93
4,9:14.0,L. Stephenson makes 2-pt jump shot from 19 ft,,93,93
4,8:55.0,,M. Belinelli misses 3-pt jump shot from 25 ft,93,93
4,8:45.0,,Offensive rebound by D. Cunningham,93,93
4,8:45.0,,D. Cunningham misses 2-pt layup at rim (block by K. Caldwell-Pope),93,93
4,8:41.0,Defensive rebound by L. Stephenson,,93,93
4,8:41.0,Turnover by J. McGee (bad pass),,93,93
4,8:41.0,,B. Forbes enters the game for P. Mills,93,93
4,8:27.0,,M. Belinelli makes 2-pt layup from 2 ft (assist by D. DeRozan),93,95
4,8:16.0,Offensive foul by L. James (drawn by B. Forbes),,93,95
4,8:16.0,Turnover by L. James (offensive foul),,93,95
4,8:16.0,,R. Gay enters the game for M. Belinelli,93,95
4,7:53.0,,R. Gay misses 2-pt jump shot from 21 ft,93,95
4,7:51.0,Defensive rebound by L. James,,93,95
4,7:45.0,L. James misses 2-pt jump shot from 11 ft,,93,95
4,7:43.0,,Defensive rebound by P. Gasol,93,95
4,7:32.0,,R. Gay misses 2-pt jump shot from 10 ft,93,95
4,7:29.0,Defensive rebound by J. McGee,,93,95
4,7:23.0,Personal foul by P. Gasol (drawn by J. McGee),,93,95
4,7:23.0,J. Hart enters the game for K. Caldwell-Pope,,93,95
4,7:23.0,,L. Aldridge enters the game for D. DeRozan,93,95
4,7:23.0,,M. Belinelli enters the game for P. Gasol,93,95
4,7:16.0,Personal foul by B. Forbes (drawn by R. Rondo),,93,95
4,7:11.0,L. James makes 3-pt jump shot from 26 ft (assist by L. Stephenson),,96,95
4,6:53.0,,M. Belinelli makes 2-pt layup from 2 ft (assist by R. Gay),96,97
4,6:37.0,Turnover by J. Hart (traveling),,96,97
4,6:37.0,J. Williams enters the game for J. McGee,,96,97
4,6:37.0,,San Antonio full timeout,96,97
4,6:37.0,K. Kuzma enters the game for L. James,,96,97
4,6:37.0,,D. DeRozan enters the game for M. Belinelli,96,97
4,6:37.0,,P. Gasol enters the game for D. Cunningham,96,97
4,6:25.0,,D. DeRozan misses 2-pt jump shot from 15 ft,96,97
4,6:22.0,Defensive rebound by K. Kuzma,,96,97
4,6:10.0,J. Hart misses 2-pt jump shot from 19 ft,,96,97
4,6:10.0,Offensive rebound by R. Rondo,,96,97
4,6:03.0,K. Kuzma misses 3-pt jump shot from 25 ft,,96,97
4,5:59.0,,Defensive rebound by D. DeRozan,96,97
4,5:54.0,,Shooting foul by J. Williams (drawn by L. Aldridge),96,97
4,5:54.0,,L. Aldridge misses free throw 1 of 2,96,97
4,5:54.0,,Offensive rebound by Team,96,97
4,5:54.0,L. Ball enters the game for L. Stephenson,,96,97
4,5:54.0,,L. Aldridge makes free throw 2 of 2,96,98
4,5:47.0,Turnover by L. Ball (bad pass; steal by D. DeRozan),,96,98
4,5:34.0,,R. Gay makes 2-pt dunk from 2 ft (assist by L. Aldridge),96,100
4,5:17.0,L. Ball misses 2-pt jump shot from 18 ft,,96,100
4,5:17.0,,Defensive rebound by D. DeRozan,96,100
