QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
2,7:49.0,D. Russell misses 3-pt jump shot from 26 ft,,31,33
2,7:46.0,,Defensive rebound by J. Noah,31,33
2,7:37.0,,J. Noah misses 2-pt layup from 3 ft,31,33
2,7:35.0,Defensive rebound by D. Carroll,,31,33
2,7:31.0,E. Davis makes 2-pt layup from 1 ft (assist by D. Russell),,33,33
2,7:31.0,Shooting foul by G. Temple (drawn by E. Davis),,33,33
2,7:31.0,,K. Anderson enters the game for J. Noah,33,33
2,7:31.0,,J. Jackson enters the game for G. Temple,33,33
2,7:31.0,E. Davis misses free throw 1 of 1,,33,33
2,7:29.0,,Defensive rebound by K. Anderson,33,33
2,7:18.0,,J. Jackson misses 3-pt jump shot from 23 ft,33,33
2,7:15.0,Defensive rebound by E. Davis,,33,33
2,7:08.0,Turnover by E. Davis (traveling),,33,33
2,6:51.0,,M. Conley misses 2-pt jump shot from 18 ft,33,33
2,6:48.0,Defensive rebound by E. Davis,,33,33
2,6:36.0,T. Graham makes 2-pt jump shot from 10 ft,,35,33
2,6:16.0,,O. Casspi misses 2-pt jump shot from 5 ft,35,33
2,6:15.0,Defensive rebound by Team,,35,33
2,6:15.0,,Memphis full timeout,35,33
2,6:15.0,,M. Gasol enters the game for J. Carter,35,33
2,5:55.0,E. Davis makes 2-pt layup at rim (assist by T. Graham),,37,33
2,5:42.0,,Personal foul by D. Russell (drawn by M. Conley),37,33
2,5:42.0,J. Harris enters the game for D. Carroll,,37,33
2,5:42.0,R. Kurucs enters the game for D. Russell,,37,33
2,5:38.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by K. Anderson),37,35
2,5:17.0,R. Kurucs misses 2-pt layup from 2 ft,,37,35
2,5:13.0,,Defensive rebound by M. Gasol,37,35
2,5:08.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),37,38
2,4:51.0,T. Graham misses 2-pt jump shot from 12 ft,,37,38
2,4:51.0,,Defensive rebound by Team,37,38
2,4:51.0,J. Allen enters the game for E. Davis,,37,38
2,4:51.0,J. Dudley enters the game for T. Graham,,37,38
2,4:44.0,,Personal foul by S. Dinwiddie (drawn by M. Conley),37,38
2,4:44.0,,G. Temple enters the game for O. Casspi,37,38
2,4:39.0,,K. Anderson makes 2-pt jump shot from 20 ft,37,40
2,4:24.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,37,40
2,4:20.0,,Defensive rebound by G. Temple,37,40
2,4:10.0,,M. Gasol makes 2-pt jump shot from 9 ft,37,42
2,4:03.0,Turnover by R. Kurucs (out of bounds lost ball),,37,42
2,3:50.0,,Personal foul by S. Dinwiddie (drawn by M. Conley),37,42
2,3:50.0,D. Russell enters the game for S. Dinwiddie,,37,42
2,3:38.0,,M. Gasol misses 2-pt hook shot from 4 ft,37,42
2,3:36.0,,Offensive rebound by J. Jackson,37,42
2,3:36.0,,Turnover by J. Jackson (out of bounds lost ball),37,42
2,3:22.0,Offensive foul by J. Allen (drawn by M. Conley),,37,42
2,3:22.0,Turnover by J. Allen (offensive foul),,37,42
2,3:06.0,,J. Jackson misses 3-pt jump shot from 26 ft,37,42
2,3:05.0,Defensive rebound by Team,,37,42
2,3:05.0,,Loose ball foul by M. Gasol (drawn by R. Kurucs),37,42
2,2:53.0,Personal foul by M. Conley (drawn by J. Allen),,37,42
2,2:53.0,Brooklyn full timeout,,37,42
2,2:44.0,Turnover by D. Russell (step out of bounds),,37,42
2,2:29.0,,M. Conley misses 2-pt jump shot from 18 ft,37,42
