QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,INDIANA_ACTION,PHILADELPHIA_SCORE,INDIANA_SCORE
1,4:08.0,,V. Oladipo misses 2-pt jump shot from 10 ft,21,12
1,4:04.0,Defensive rebound by J. Embiid,,21,12
1,3:59.0,D. Šarić misses 2-pt layup from 6 ft (block by V. Oladipo),,21,12
1,3:59.0,,Defensive rebound by Team,21,12
1,3:47.0,,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph),21,14
1,3:41.0,Philadelphia full timeout,,21,14
1,3:36.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Redick),,23,14
1,3:11.0,,V. Oladipo makes 3-pt jump shot from 26 ft,23,17
1,2:59.0,Turnover by J. Redick (bad pass; steal by C. Joseph),,23,17
1,2:51.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by C. Joseph),23,19
1,2:45.0,W. Chandler misses 3-pt jump shot from 29 ft,,23,19
1,2:44.0,,Defensive rebound by Team,23,19
1,2:44.0,Loose ball foul by J. Embiid (drawn by C. Joseph),,23,19
1,2:44.0,R. Covington enters the game for D. Šarić,,23,19
1,2:44.0,M. Fultz enters the game for B. Simmons,,23,19
1,2:33.0,,M. Turner misses 2-pt hook shot from 6 ft (block by R. Covington),23,19
1,2:30.0,Defensive rebound by M. Fultz,,23,19
1,2:20.0,Shooting foul by M. Turner (drawn by J. Embiid),,23,19
1,2:20.0,,D. McDermott enters the game for V. Oladipo,23,19
1,2:20.0,,K. O'Quinn enters the game for M. Turner,23,19
1,2:20.0,J. Embiid misses free throw 1 of 2,,23,19
1,2:20.0,Offensive rebound by Team,,23,19
1,2:20.0,J. Embiid makes free throw 2 of 2,,24,19
1,2:04.0,,Def 3 sec tech foul by Team,24,19
1,2:04.0,,D. McDermott misses technical free throw,24,19
1,2:04.0,,Offensive rebound by Team,24,19
1,1:56.0,,K. O'Quinn misses 2-pt jump shot from 19 ft,24,19
1,1:53.0,Defensive rebound by M. Fultz,,24,19
1,1:40.0,Personal foul by K. O'Quinn (drawn by J. Embiid),,24,19
1,1:27.0,J. Embiid makes 2-pt layup from 2 ft,,26,19
1,1:12.0,,K. O'Quinn misses 3-pt jump shot from 23 ft,26,19
1,1:08.0,Defensive rebound by W. Chandler,,26,19
1,1:04.0,M. Fultz misses 2-pt layup from 2 ft,,26,19
1,0:59.0,,Defensive rebound by K. O'Quinn,26,19
1,0:57.0,,T. Evans makes 2-pt layup at rim (assist by K. O'Quinn),26,21
1,0:39.0,Shooting foul by D. Sabonis (drawn by M. Fultz),,26,21
1,0:39.0,M. Fultz misses free throw 1 of 2,,26,21
1,0:39.0,Offensive rebound by Team,,26,21
1,0:39.0,,B. Bogdanović enters the game for K. O'Quinn,26,21
1,0:39.0,M. Fultz makes free throw 2 of 2,,27,21
1,0:23.0,,D. Sabonis misses 2-pt layup from 1 ft (block by J. Embiid),27,21
1,0:23.0,,Offensive rebound by D. Sabonis,27,21
1,0:22.0,,D. Sabonis makes 2-pt layup from 2 ft,27,23
1,0:02.0,W. Chandler makes 2-pt layup from 1 ft,,29,23
1,0:00.0,,C. Joseph misses 3-pt jump shot from 56 ft,29,23
1,0:00.0,,Offensive rebound by Team,29,23
2,11:51.0,Offensive foul by J. Redick (drawn by C. Joseph),,29,23
2,11:51.0,Turnover by J. Redick (offensive foul),,29,23
2,11:40.0,,T. Evans misses 2-pt layup from 1 ft,29,23
2,11:40.0,Defensive rebound by Team,,29,23
2,11:27.0,J. Embiid makes 2-pt layup from 2 ft (assist by R. Covington),,31,23
2,11:11.0,,D. Sabonis misses 2-pt hook shot from 6 ft,31,23
2,11:10.0,Defensive rebound by J. Embiid,,31,23
2,11:02.0,Personal foul by D. Sabonis (drawn by J. Embiid),,31,23
2,10:48.0,J. Embiid misses 2-pt layup from 1 ft,,31,23
2,10:47.0,,Defensive rebound by T. Evans,31,23
2,10:40.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,31,23
2,10:37.0,Defensive rebound by J. Embiid,,31,23
2,10:26.0,Turnover by J. Embiid (out of bounds lost ball),,31,23
2,10:13.0,,D. McDermott misses 2-pt jump shot from 15 ft,31,23
2,10:12.0,Defensive rebound by R. Covington,,31,23
2,10:03.0,J. Redick makes 2-pt jump shot from 21 ft (assist by M. Fultz),,33,23
2,9:48.0,,Personal foul by M. Fultz (drawn by B. Bogdanović),33,23
2,9:44.0,,C. Joseph makes 2-pt jump shot from 19 ft,33,25
2,9:28.0,J. Redick misses 3-pt jump shot from 26 ft,,33,25
2,9:25.0,,Defensive rebound by T. Evans,33,25
2,9:17.0,,T. Evans misses 2-pt layup from 1 ft,33,25
2,9:13.0,,Offensive rebound by D. Sabonis,33,25
2,9:13.0,,D. Sabonis makes 2-pt layup from 1 ft,33,27
2,9:03.0,L. Shamet misses 3-pt jump shot from 28 ft,,33,27
2,9:03.0,,Defensive rebound by D. Sabonis,33,27
2,8:43.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Sabonis),33,30
2,8:23.0,J. Embiid misses 2-pt jump shot from 15 ft,,33,30
2,8:21.0,,Defensive rebound by D. McDermott,33,30
2,8:14.0,,T. Evans makes 2-pt jump shot from 20 ft,33,32
2,8:13.0,Philadelphia full timeout,,33,32
2,8:13.0,W. Chandler enters the game for R. Covington,,33,32
2,8:13.0,D. Šarić enters the game for J. Embiid,,33,32
2,8:13.0,B. Simmons enters the game for J. Redick,,33,32
2,8:03.0,M. Fultz misses 2-pt jump shot from 18 ft,,33,32
2,8:00.0,,Defensive rebound by D. Sabonis,33,32
2,7:48.0,,T. Evans makes 2-pt jump shot from 18 ft,33,34
2,7:26.0,Turnover by W. Chandler (bad pass; steal by C. Joseph),,33,34
2,7:16.0,,D. Sabonis makes 2-pt jump shot from 5 ft (assist by T. Evans),33,36
2,6:59.0,L. Shamet misses 2-pt jump shot from 10 ft,,33,36
2,6:56.0,,Defensive rebound by B. Bogdanović,33,36
2,6:45.0,,T. Evans misses 3-pt jump shot from 27 ft,33,36
2,6:44.0,Defensive rebound by Team,,33,36
2,6:44.0,,V. Oladipo enters the game for B. Bogdanović,33,36
2,6:44.0,,T. Young enters the game for D. McDermott,33,36
2,6:35.0,W. Chandler misses 3-pt jump shot from 26 ft,,33,36
2,6:31.0,,Defensive rebound by C. Joseph,33,36
2,6:28.0,,V. Oladipo misses 3-pt jump shot from 26 ft,33,36
2,6:25.0,Defensive rebound by W. Chandler,,33,36
2,6:19.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by B. Simmons),,36,36
2,5:54.0,,V. Oladipo makes 2-pt layup at rim,36,38
2,5:34.0,D. Šarić misses 3-pt jump shot from 28 ft,,36,38
2,5:32.0,,Defensive rebound by V. Oladipo,36,38
2,5:27.0,,Personal foul by L. Shamet (drawn by C. Joseph),36,38
2,5:27.0,,M. Turner enters the game for D. Sabonis,36,38
2,5:24.0,,Shooting foul by L. Shamet (drawn by V. Oladipo),36,38
2,5:24.0,,V. Oladipo misses free throw 1 of 2,36,38
2,5:24.0,,Offensive rebound by Team,36,38
2,5:24.0,,V. Oladipo makes free throw 2 of 2,36,39
2,5:10.0,B. Simmons misses 2-pt dunk from 1 ft (block by V. Oladipo),,36,39
2,5:07.0,,Defensive rebound by Team,36,39
2,5:07.0,J. Embiid enters the game for M. Fultz,,36,39
2,4:51.0,,C. Joseph misses 3-pt jump shot from 27 ft,36,39
2,4:48.0,Defensive rebound by W. Chandler,,36,39
2,4:36.0,D. Šarić misses 3-pt jump shot from 27 ft,,36,39
2,4:33.0,,Defensive rebound by M. Turner,36,39
2,4:21.0,,V. Oladipo misses 2-pt layup from 1 ft,36,39
2,4:18.0,Defensive rebound by D. Šarić,,36,39
2,4:14.0,Turnover by B. Simmons (bad pass; steal by T. Young),,36,39
2,4:10.0,,M. Turner makes 2-pt dunk at rim (assist by T. Evans),36,41
2,3:54.0,Personal foul by C. Joseph (drawn by L. Shamet),,36,41
2,3:54.0,R. Covington enters the game for W. Chandler,,36,41
2,3:54.0,J. Redick enters the game for L. Shamet,,36,41
2,3:54.0,,B. Bogdanović enters the game for T. Evans,36,41
2,3:54.0,,D. Collison enters the game for C. Joseph,36,41
2,3:52.0,D. Šarić misses 2-pt layup at rim (block by M. Turner),,36,41
2,3:49.0,,Defensive rebound by V. Oladipo,36,41
2,3:45.0,,V. Oladipo misses 3-pt jump shot from 26 ft,36,41
2,3:41.0,Defensive rebound by B. Simmons,,36,41
2,3:35.0,J. Embiid makes 3-pt jump shot from 23 ft (assist by J. Redick),,39,41
2,3:20.0,,T. Young misses 3-pt jump shot from 27 ft,39,41
2,3:15.0,Defensive rebound by R. Covington,,39,41
2,3:08.0,Personal foul by D. Collison (drawn by J. Redick),,39,41
2,2:59.0,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),,41,41
2,2:45.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,41,41
2,2:42.0,Defensive rebound by B. Simmons,,41,41
2,2:40.0,Personal foul by T. Young (drawn by B. Simmons),,41,41
2,2:40.0,,Indiana full timeout,41,41
2,2:35.0,J. Redick misses 3-pt jump shot from 26 ft,,41,41
2,2:33.0,,Defensive rebound by T. Young,41,41
2,2:08.0,,T. Young misses 3-pt jump shot from 23 ft,41,41
2,2:08.0,,Offensive rebound by Team,41,41
2,2:08.0,,Turnover by Team (shot clock),41,41
2,1:59.0,Personal foul by V. Oladipo (drawn by J. Redick),,41,41
2,1:59.0,J. Redick makes free throw 1 of 2,,42,41
2,1:59.0,J. Redick makes free throw 2 of 2,,43,41
2,1:42.0,,Personal foul by R. Covington (drawn by T. Young),43,41
2,1:42.0,L. Shamet enters the game for J. Redick,,43,41
2,1:35.0,,V. Oladipo makes 2-pt layup from 1 ft,43,43
2,1:23.0,Turnover by J. Embiid (lost ball; steal by D. Collison),,43,43
2,1:21.0,,V. Oladipo makes 2-pt dunk from 1 ft,43,45
2,1:06.0,Shooting foul by M. Turner (drawn by D. Šarić),,43,45
2,1:06.0,D. Šarić makes free throw 1 of 2,,44,45
2,1:06.0,D. Šarić makes free throw 2 of 2,,45,45
2,0:59.0,,Personal foul by B. Simmons (drawn by M. Turner),45,45
2,0:59.0,,M. Turner misses free throw 1 of 2,45,45
2,0:59.0,,Offensive rebound by Team,45,45
2,0:59.0,,C. Joseph enters the game for D. Collison,45,45
2,0:59.0,,M. Turner makes free throw 2 of 2,45,46
2,0:47.0,D. Šarić makes 2-pt jump shot from 19 ft (assist by L. Shamet),,47,46
2,0:39.0,,T. Young makes 2-pt layup from 1 ft (assist by V. Oladipo),47,48
2,0:33.0,L. Shamet makes 3-pt jump shot from 28 ft (assist by B. Simmons),,50,48
2,0:08.0,,V. Oladipo makes 2-pt jump shot from 13 ft,50,50
2,0:03.0,L. Shamet misses 3-pt jump shot from 26 ft,,50,50
2,0:00.0,,Defensive rebound by M. Turner,50,50
3,11:51.0,Turnover by J. Embiid (bad pass),,50,50
3,11:35.0,,M. Turner misses 2-pt layup from 1 ft (block by B. Simmons),50,50
3,11:33.0,Defensive rebound by J. Embiid,,50,50
3,11:29.0,B. Simmons misses 2-pt layup from 1 ft (block by M. Turner),,50,50
3,11:26.0,,Defensive rebound by B. Bogdanović,50,50
3,11:23.0,,D. Collison misses 2-pt layup at rim (block by J. Embiid),50,50
3,11:21.0,Defensive rebound by R. Covington,,50,50
3,11:16.0,R. Covington misses 3-pt jump shot from 28 ft,,50,50
3,11:15.0,,Defensive rebound by Team,50,50
3,11:02.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,50,50
3,10:58.0,Defensive rebound by R. Covington,,50,50
3,10:51.0,J. Embiid misses 3-pt jump shot from 27 ft,,50,50
3,10:48.0,,Defensive rebound by V. Oladipo,50,50
3,10:44.0,,Personal foul by R. Covington (drawn by M. Turner),50,50
3,10:39.0,,Personal foul by R. Covington (drawn by M. Turner),50,50
3,10:33.0,,T. Young makes 2-pt layup from 1 ft (assist by V. Oladipo),50,52
3,10:13.0,B. Simmons makes 2-pt layup from 3 ft (assist by J. Redick),,52,52
3,10:01.0,,Turnover by V. Oladipo (lost ball; steal by R. Covington),52,52
3,9:41.0,J. Embiid misses 3-pt jump shot from 28 ft,,52,52
3,9:38.0,,Defensive rebound by D. Collison,52,52
3,9:21.0,,M. Turner misses 2-pt jump shot from 18 ft,52,52
3,9:19.0,Defensive rebound by B. Simmons,,52,52
3,9:14.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by B. Simmons),,55,52
3,8:48.0,,V. Oladipo misses 2-pt jump shot from 7 ft,55,52
3,8:45.0,,Offensive rebound by T. Young,55,52
3,8:43.0,,T. Young makes 2-pt layup at rim,55,54
3,8:21.0,Turnover by J. Redick (bad pass; steal by T. Young),,55,54
3,8:16.0,,V. Oladipo misses 3-pt jump shot from 28 ft,55,54
3,8:12.0,Defensive rebound by D. Šarić,,55,54
3,8:06.0,Personal foul by M. Turner (drawn by J. Embiid),,55,54
3,8:06.0,M. Fultz enters the game for J. Embiid,,55,54
3,8:06.0,L. Shamet enters the game for J. Redick,,55,54
3,8:01.0,Personal foul by B. Bogdanović (drawn by B. Simmons),,55,54
3,8:01.0,,D. Sabonis enters the game for M. Turner,55,54
3,8:01.0,Away from play foul by D. Collison (drawn by L. Shamet),,55,54
3,8:01.0,L. Shamet makes free throw 1 of 1,,56,54
3,7:50.0,D. Šarić makes 3-pt jump shot from 27 ft (assist by B. Simmons),,59,54
3,7:32.0,,Personal foul by M. Fultz (drawn by V. Oladipo),59,54
3,7:22.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by V. Oladipo),59,56
3,7:08.0,Shooting foul by T. Young (drawn by B. Simmons),,59,56
3,7:08.0,B. Simmons makes free throw 1 of 2,,60,56
3,7:08.0,B. Simmons makes free throw 2 of 2,,61,56
3,6:54.0,,D. Sabonis misses 2-pt jump shot from 4 ft,61,56
3,6:51.0,Defensive rebound by D. Šarić,,61,56
3,6:43.0,R. Covington misses 3-pt jump shot from 27 ft,,61,56
3,6:41.0,,Defensive rebound by Team,61,56
3,6:41.0,,Indiana full timeout,61,56
3,6:18.0,,V. Oladipo misses 3-pt jump shot from 27 ft,61,56
3,6:17.0,,Offensive rebound by D. Sabonis,61,56
3,6:09.0,,Turnover by T. Young (lost ball; steal by L. Shamet),61,56
3,6:04.0,Turnover by L. Shamet (traveling),,61,56
3,6:04.0,W. Chandler enters the game for R. Covington,,61,56
3,5:54.0,,Shooting foul by L. Shamet (drawn by B. Bogdanović),61,56
3,5:54.0,,B. Bogdanović makes free throw 1 of 2,61,57
3,5:54.0,,B. Bogdanović makes free throw 2 of 2,61,58
3,5:42.0,D. Šarić misses 2-pt layup from 1 ft,,61,58
3,5:40.0,,Defensive rebound by D. Sabonis,61,58
3,5:31.0,,V. Oladipo makes 2-pt jump shot from 7 ft,61,60
3,5:09.0,M. Fultz makes 2-pt jump shot from 13 ft,,63,60
3,4:51.0,,D. Sabonis misses 2-pt hook shot from 6 ft,63,60
3,4:49.0,Defensive rebound by B. Simmons,,63,60
3,4:35.0,L. Shamet makes 2-pt dunk from 2 ft (assist by B. Simmons),,65,60
3,4:24.0,,V. Oladipo makes 2-pt layup from 1 ft,65,62
3,4:24.0,,Shooting foul by W. Chandler (drawn by V. Oladipo),65,62
3,4:24.0,J. Embiid enters the game for B. Simmons,,65,62
3,4:24.0,,C. Joseph enters the game for B. Bogdanović,65,62
3,4:24.0,,M. Turner enters the game for T. Young,65,62
3,4:24.0,,V. Oladipo makes free throw 1 of 1,65,63
3,4:01.0,J. Embiid misses 2-pt layup at rim,,65,63
3,3:58.0,,Defensive rebound by D. Sabonis,65,63
3,3:47.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Collison),65,66
3,3:44.0,Philadelphia full timeout,,65,66
3,3:25.0,J. Embiid misses 2-pt jump shot from 9 ft,,65,66
3,3:22.0,Offensive rebound by W. Chandler,,65,66
3,3:16.0,M. Fultz makes 2-pt dunk from 1 ft,,67,66
3,2:49.0,,V. Oladipo misses 3-pt jump shot from 28 ft (block by J. Embiid),67,66
3,2:49.0,,Offensive rebound by Team,67,66
3,2:49.0,,Turnover by Team (shot clock),67,66
3,2:49.0,R. Covington enters the game for D. Šarić,,67,66
3,2:49.0,J. Redick enters the game for L. Shamet,,67,66
3,2:49.0,,T. Evans enters the game for D. Collison,67,66
3,2:41.0,R. Covington makes 3-pt jump shot from 27 ft (assist by M. Fultz),,70,66
3,2:27.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by V. Oladipo),70,68
3,2:14.0,Personal foul by C. Joseph (drawn by J. Redick),,70,68
3,2:14.0,,B. Bogdanović enters the game for V. Oladipo,70,68
3,2:14.0,,D. McDermott enters the game for M. Turner,70,68
3,2:14.0,J. Redick makes free throw 1 of 2,,71,68
3,2:14.0,J. Redick makes free throw 2 of 2,,72,68
3,2:00.0,,C. Joseph makes 2-pt jump shot from 16 ft (assist by D. Sabonis),72,70
3,1:47.0,J. Redick misses 3-pt jump shot from 25 ft,,72,70
3,1:43.0,Offensive rebound by M. Fultz,,72,70
3,1:42.0,Turnover by R. Covington (step out of bounds),,72,70
3,1:31.0,,Turnover by D. Sabonis (bad pass),72,70
3,1:14.0,R. Covington makes 2-pt layup from 2 ft (assist by J. Redick),,74,70
3,1:14.0,Shooting foul by T. Evans (drawn by R. Covington),,74,70
3,1:14.0,R. Covington makes free throw 1 of 1,,75,70
3,1:06.0,,D. McDermott misses 3-pt jump shot from 27 ft,75,70
3,1:03.0,Defensive rebound by J. Embiid,,75,70
3,0:54.0,R. Covington makes 3-pt jump shot from 28 ft (assist by J. Redick),,78,70
3,0:41.0,,B. Bogdanović misses 2-pt layup from 2 ft,78,70
3,0:38.0,Defensive rebound by J. Embiid,,78,70
3,0:35.0,R. Covington misses 3-pt jump shot from 26 ft,,78,70
3,0:32.0,Offensive rebound by J. Embiid,,78,70
3,0:30.0,J. Redick misses 3-pt jump shot from 27 ft,,78,70
3,0:28.0,Offensive rebound by W. Chandler,,78,70
3,0:27.0,J. Redick misses 3-pt jump shot from 27 ft,,78,70
3,0:24.0,,Defensive rebound by B. Bogdanović,78,70
3,0:21.0,,Personal take foul by M. Fultz (drawn by T. Evans),78,70
3,0:21.0,,T. Evans misses free throw 1 of 2,78,70
3,0:21.0,,Offensive rebound by Team,78,70
3,0:21.0,,T. Evans makes free throw 2 of 2,78,71
3,0:04.0,J. Redick misses 3-pt jump shot from 25 ft,,78,71
3,0:01.0,,Defensive rebound by B. Bogdanović,78,71
4,11:47.0,,T. Evans misses 3-pt jump shot from 25 ft,78,71
4,11:44.0,,Offensive rebound by D. McDermott,78,71
4,11:34.0,,T. Evans misses 2-pt layup from 3 ft,78,71
4,11:32.0,Defensive rebound by L. Shamet,,78,71
4,11:30.0,Shooting foul by D. McDermott (drawn by J. Embiid),,78,71
4,11:30.0,J. Embiid makes free throw 1 of 2,,79,71
4,11:30.0,J. Embiid makes free throw 2 of 2,,80,71
4,11:21.0,,C. Joseph makes 2-pt jump shot from 15 ft,80,73
4,11:05.0,R. Covington makes 2-pt dunk at rim (assist by M. Fultz),,82,73
4,10:43.0,,Turnover by C. Joseph (lost ball; steal by R. Covington),82,73
4,10:39.0,M. Fultz misses 2-pt dunk from 1 ft,,82,73
4,10:36.0,Offensive rebound by J. Redick,,82,73
4,10:29.0,J. Embiid makes 2-pt hook shot from 1 ft,,84,73
4,10:29.0,,Indiana full timeout,84,73
4,10:29.0,,V. Oladipo enters the game for D. McDermott,84,73
4,10:13.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,84,75
4,9:47.0,L. Shamet misses 3-pt jump shot from 29 ft,,84,75
4,9:42.0,,Defensive rebound by D. Sabonis,84,75
4,9:38.0,,Turnover by T. Evans (bad pass; steal by M. Fultz),84,75
4,9:35.0,J. Embiid makes 2-pt dunk from 1 ft (assist by M. Fultz),,86,75
4,9:15.0,,D. Sabonis misses 3-pt jump shot from 27 ft,86,75
4,9:14.0,Defensive rebound by Team,,86,75
4,9:14.0,D. Šarić enters the game for R. Covington,,86,75
4,9:14.0,B. Simmons enters the game for M. Fultz,,86,75
4,9:14.0,Violation by Team (delay of game),,86,75
4,8:58.0,J. Embiid misses 2-pt jump shot from 5 ft (block by V. Oladipo),,86,75
4,8:56.0,,Defensive rebound by V. Oladipo,86,75
4,8:54.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by L. Shamet),86,75
4,8:54.0,,Offensive rebound by Team,86,75
4,8:54.0,A. Johnson enters the game for J. Embiid,,86,75
4,8:54.0,,M. Turner enters the game for B. Bogdanović,86,75
4,8:39.0,,M. Turner misses 2-pt jump shot from 5 ft,86,75
4,8:36.0,Defensive rebound by B. Simmons,,86,75
4,8:31.0,J. Redick misses 3-pt jump shot from 27 ft,,86,75
4,8:28.0,,Defensive rebound by C. Joseph,86,75
4,8:24.0,,T. Evans misses 2-pt layup from 1 ft,86,75
4,8:20.0,Defensive rebound by A. Johnson,,86,75
4,8:12.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by D. Šarić),,89,75
4,7:54.0,,V. Oladipo misses 3-pt jump shot from 27 ft,89,75
4,7:52.0,Defensive rebound by Team,,89,75
4,7:32.0,D. Šarić makes 3-pt jump shot from 28 ft (assist by J. Redick),,92,75
4,7:31.0,,Indiana full timeout,92,75
4,7:31.0,,B. Bogdanović enters the game for T. Evans,92,75
4,7:31.0,,T. Young enters the game for D. Sabonis,92,75
4,7:12.0,,Shooting foul by A. Johnson (drawn by M. Turner),92,75
4,7:12.0,,M. Turner makes free throw 1 of 2,92,76
4,7:12.0,,M. Turner makes free throw 2 of 2,92,77
4,6:59.0,Personal foul by T. Young (drawn by J. Redick),,92,77
4,6:59.0,R. Covington enters the game for J. Redick,,92,77
4,6:45.0,B. Simmons misses 2-pt jump shot from 17 ft,,92,77
4,6:42.0,,Defensive rebound by C. Joseph,92,77
4,6:28.0,,B. Bogdanović misses 2-pt jump shot from 13 ft,92,77
4,6:26.0,,Offensive rebound by M. Turner,92,77
4,6:19.0,,V. Oladipo misses 2-pt jump shot from 14 ft,92,77
4,6:15.0,,Offensive rebound by T. Young,92,77
4,6:15.0,,T. Young misses 2-pt layup from 2 ft (block by B. Simmons),92,77
4,6:15.0,,Offensive rebound by Team,92,77
4,6:15.0,J. Embiid enters the game for A. Johnson,,92,77
4,6:11.0,,T. Young misses 3-pt jump shot from 23 ft,92,77
4,6:07.0,Defensive rebound by B. Simmons,,92,77
4,6:04.0,B. Simmons makes 2-pt layup from 2 ft,,94,77
4,5:49.0,,Personal foul by B. Simmons (drawn by V. Oladipo),94,77
4,5:49.0,,D. Sabonis enters the game for T. Young,94,77
4,5:40.0,,D. Sabonis misses 2-pt jump shot from 17 ft,94,77
4,5:36.0,Defensive rebound by B. Simmons,,94,77
4,5:30.0,J. Embiid misses 3-pt jump shot from 28 ft,,94,77
4,5:28.0,,Defensive rebound by C. Joseph,94,77
4,5:12.0,,V. Oladipo misses 2-pt layup from 1 ft (block by R. Covington),94,77
4,5:11.0,,Offensive rebound by Team,94,77
4,5:10.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by V. Oladipo),94,80
