QUARTER,TIME_REMAINING,PHOENIX_ACTION,UTAH_ACTION,PHOENIX_SCORE,UTAH_SCORE
1,5:55.0,,Utah full timeout,11,9
1,5:55.0,J. Evans enters the game for D. Bender,,11,9
1,5:55.0,K. Oubre enters the game for E. Okobo,,11,9
1,5:55.0,,J. Crowder enters the game for D. Favors,11,9
1,5:55.0,,K. Korver enters the game for J. Ingles,11,9
1,5:39.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Rubio),11,12
1,5:18.0,D. Ayton misses 2-pt jump shot from 10 ft,,11,12
1,5:15.0,,Defensive rebound by J. Crowder,11,12
1,5:09.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Mitchell),11,15
1,4:47.0,J. Jackson misses 3-pt jump shot from 23 ft,,11,15
1,4:44.0,,Defensive rebound by J. Crowder,11,15
1,4:37.0,,D. Mitchell makes 2-pt jump shot from 11 ft,11,17
1,4:25.0,Personal foul by D. Mitchell (drawn by K. Oubre),,11,17
1,4:25.0,J. Crawford enters the game for D. Ayton,,11,17
1,4:25.0,R. Holmes enters the game for J. Jackson,,11,17
1,4:25.0,,R. O'Neale enters the game for D. Mitchell,11,17
1,4:14.0,K. Oubre makes 2-pt layup from 4 ft,,13,17
1,4:04.0,,R. Gobert makes 2-pt layup from 3 ft (assist by R. Rubio),13,19
1,4:04.0,,Shooting foul by R. Holmes (drawn by R. Gobert),13,19
1,4:04.0,,R. Gobert makes free throw 1 of 1,13,20
1,3:54.0,M. Bridges makes 2-pt layup from 3 ft,,15,20
1,3:44.0,,Shooting foul by J. Evans (drawn by R. Rubio),15,20
1,3:44.0,,R. Rubio makes free throw 1 of 2,15,21
1,3:44.0,,R. Rubio misses free throw 2 of 2,15,21
1,3:43.0,,Offensive rebound by Team,15,21
1,3:42.0,,K. Korver misses 3-pt jump shot from 23 ft,15,21
1,3:39.0,Defensive rebound by R. Holmes,,15,21
1,3:31.0,K. Oubre makes 2-pt layup from 2 ft,,17,21
1,3:14.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. O'Neale),17,24
1,2:52.0,K. Oubre misses 3-pt jump shot from 25 ft,,17,24
1,2:51.0,,Defensive rebound by R. Rubio,17,24
1,2:48.0,,J. Crowder misses 3-pt jump shot from 25 ft,17,24
1,2:45.0,Defensive rebound by J. Evans,,17,24
1,2:35.0,M. Bridges makes 2-pt jump shot from 7 ft (assist by J. Crawford),,19,24
1,2:20.0,,R. Rubio misses 3-pt jump shot from 26 ft,19,24
1,2:18.0,Defensive rebound by R. Holmes,,19,24
1,2:13.0,J. Evans makes 2-pt layup from 4 ft (assist by J. Crawford),,21,24
1,1:52.0,,Shooting foul by M. Bridges (drawn by J. Crowder),21,24
1,1:52.0,,J. Crowder makes free throw 1 of 3,21,25
1,1:52.0,,J. Crowder misses free throw 2 of 3,21,25
1,1:52.0,,Offensive rebound by Team,21,25
1,1:52.0,,D. Favors enters the game for R. Gobert,21,25
1,1:52.0,,J. Ingles enters the game for K. Korver,21,25
1,1:52.0,,R. Neto enters the game for R. Rubio,21,25
1,1:52.0,,J. Crowder makes free throw 3 of 3,21,26
1,1:40.0,J. Evans misses 2-pt jump shot from 6 ft (block by D. Favors),,21,26
1,1:40.0,Offensive rebound by R. Holmes,,21,26
1,1:40.0,Shooting foul by D. Favors (drawn by R. Holmes),,21,26
1,1:40.0,R. Holmes misses free throw 1 of 2,,21,26
1,1:40.0,Offensive rebound by Team,,21,26
1,1:40.0,R. Holmes makes free throw 2 of 2,,22,26
1,1:26.0,,J. Ingles makes 2-pt jump shot from 10 ft (assist by R. Neto),22,28
1,1:09.0,J. Crawford misses 3-pt jump shot from 25 ft,,22,28
1,1:06.0,,Defensive rebound by D. Favors,22,28
1,0:53.0,,D. Favors misses 2-pt dunk from 3 ft (block by K. Oubre),22,28
1,0:52.0,,Offensive rebound by J. Crowder,22,28
1,0:52.0,,J. Crowder makes 2-pt layup from 3 ft,22,30
1,0:52.0,,Shooting foul by R. Holmes (drawn by J. Crowder),22,30
1,0:52.0,T. Daniels enters the game for J. Evans,,22,30
1,0:52.0,,J. Crowder misses free throw 1 of 1,22,30
1,0:50.0,Defensive rebound by K. Oubre,,22,30
1,0:35.0,R. Holmes makes 2-pt dunk from 2 ft (assist by J. Crawford),,24,30
1,0:18.0,,D. Favors misses 2-pt jump shot from 14 ft,24,30
1,0:15.0,Defensive rebound by J. Crawford,,24,30
1,0:00.0,J. Crawford misses 3-pt jump shot from 25 ft,,24,30
1,0:00.0,Offensive rebound by Team,,24,30
2,11:45.0,T. Daniels misses 3-pt jump shot from 28 ft,,24,30
2,11:43.0,,Defensive rebound by D. Favors,24,30
2,11:32.0,,Personal foul by T. Daniels (drawn by J. Crowder),24,30
2,11:26.0,,D. Favors makes 2-pt jump shot from 11 ft (assist by J. Ingles),24,32
2,11:11.0,K. Oubre misses 3-pt jump shot from 24 ft,,24,32
2,11:08.0,,Defensive rebound by Team,24,32
2,10:55.0,,R. Neto makes 3-pt jump shot from 23 ft (assist by J. Ingles),24,35
2,10:37.0,Offensive foul by D. Ayton (drawn by D. Favors),,24,35
2,10:37.0,Turnover by D. Ayton (offensive foul),,24,35
2,10:20.0,,R. Neto misses 2-pt jump shot from 8 ft,24,35
2,10:17.0,,Offensive rebound by Team,24,35
2,10:07.0,,D. Favors makes 2-pt jump shot from 12 ft (assist by J. Ingles),24,37
2,10:05.0,Phoenix full timeout,,24,37
2,9:55.0,Personal foul by J. Ingles (drawn by J. Crawford),,24,37
2,9:50.0,Turnover by J. Crawford (bad pass),,24,37
2,9:38.0,,Offensive foul by D. Favors (drawn by J. Jackson),24,37
2,9:38.0,,Turnover by D. Favors (offensive foul),24,37
2,9:28.0,Turnover by T. Daniels (bad pass; steal by R. O'Neale),,24,37
2,9:25.0,,R. O'Neale makes 2-pt dunk from 3 ft,24,39
2,9:25.0,,K. Korver enters the game for R. Neto,24,39
2,9:25.0,,D. Mitchell enters the game for R. O'Neale,24,39
2,9:03.0,Turnover by J. Crawford (bad pass; steal by J. Crowder),,24,39
2,8:44.0,,K. Korver misses 2-pt jump shot from 7 ft,24,39
2,8:41.0,,Offensive rebound by J. Crowder,24,39
2,8:38.0,,J. Ingles misses 3-pt jump shot from 25 ft,24,39
2,8:35.0,Defensive rebound by D. Ayton,,24,39
2,8:27.0,Turnover by J. Crawford (lost ball; steal by J. Ingles),,24,39
2,8:12.0,,D. Favors makes 2-pt jump shot from 10 ft (assist by J. Ingles),24,41
2,7:56.0,Shooting foul by J. Crowder (drawn by K. Oubre),,24,41
2,7:56.0,Technical foul by J. Crawford,,24,41
2,7:56.0,,K. Korver misses technical free throw,24,41
2,7:56.0,Defensive rebound by Team,,24,41
2,7:56.0,K. Oubre makes free throw 1 of 2,,25,41
2,7:56.0,E. Okobo enters the game for J. Crawford,,25,41
2,7:56.0,,R. Gobert enters the game for J. Crowder,25,41
2,7:56.0,,G. Niang enters the game for D. Favors,25,41
2,7:56.0,K. Oubre makes free throw 2 of 2,,26,41
2,7:45.0,,Turnover by D. Mitchell (bad pass),26,41
2,7:45.0,M. Bridges enters the game for K. Oubre,,26,41
2,7:26.0,J. Jackson makes 2-pt layup from 3 ft (assist by D. Ayton),,28,41
2,7:09.0,,K. Korver misses 3-pt jump shot from 25 ft,28,41
2,7:06.0,Defensive rebound by T. Daniels,,28,41
2,6:56.0,E. Okobo makes 2-pt layup from 1 ft,,30,41
2,6:41.0,,R. Gobert makes 2-pt layup from 4 ft (assist by J. Ingles),30,43
2,6:27.0,T. Daniels misses 2-pt jump shot from 19 ft,,30,43
2,6:24.0,,Defensive rebound by D. Mitchell,30,43
2,6:21.0,,D. Mitchell makes 2-pt layup from 2 ft,30,45
2,6:05.0,J. Jackson makes 2-pt jump shot from 14 ft,,32,45
2,5:56.0,,D. Mitchell misses 2-pt layup from 4 ft,32,45
2,5:53.0,Defensive rebound by M. Bridges,,32,45
2,5:39.0,J. Jackson makes 2-pt jump shot from 12 ft,,34,45
2,5:39.0,Shooting foul by G. Niang (drawn by J. Jackson),,34,45
2,5:39.0,R. Holmes enters the game for D. Ayton,,34,45
2,5:39.0,K. Oubre enters the game for T. Daniels,,34,45
2,5:39.0,,R. O'Neale enters the game for J. Ingles,34,45
2,5:39.0,,R. Rubio enters the game for K. Korver,34,45
2,5:39.0,J. Jackson makes free throw 1 of 1,,35,45
2,5:29.0,,D. Mitchell misses 2-pt layup from 5 ft,35,45
2,5:25.0,,Offensive rebound by R. Rubio,35,45
2,5:21.0,,D. Mitchell misses 2-pt dunk from 3 ft,35,45
2,5:19.0,,Offensive rebound by R. O'Neale,35,45
2,5:15.0,,Turnover by R. Rubio (bad pass),35,45
2,5:01.0,J. Jackson misses 3-pt jump shot from 25 ft,,35,45
2,4:59.0,,Defensive rebound by R. Rubio,35,45
2,4:56.0,,Turnover by R. Rubio (bad pass),35,45
2,4:56.0,,J. Crowder enters the game for G. Niang,35,45
2,4:39.0,K. Oubre makes 2-pt layup from 4 ft,,37,45
2,4:39.0,Shooting foul by R. Rubio (drawn by K. Oubre),,37,45
2,4:39.0,K. Oubre makes free throw 1 of 1,,38,45
2,4:27.0,,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Mitchell),38,48
2,4:08.0,R. Holmes misses 2-pt layup from 3 ft,,38,48
2,4:06.0,,Defensive rebound by D. Mitchell,38,48
2,3:56.0,,Turnover by J. Crowder (bad pass),38,48
2,3:38.0,K. Oubre misses 2-pt hook shot from 6 ft (block by R. Gobert),,38,48
2,3:35.0,,Defensive rebound by R. O'Neale,38,48
2,3:30.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. O'Neale),38,50
2,3:11.0,Shooting foul by J. Crowder (drawn by J. Jackson),,38,50
2,3:11.0,J. Jackson makes free throw 1 of 2,,39,50
2,3:11.0,J. Jackson makes free throw 2 of 2,,40,50
2,2:54.0,,D. Mitchell misses 2-pt layup from 4 ft,40,50
2,2:51.0,Defensive rebound by E. Okobo,,40,50
2,2:49.0,Shooting foul by R. O'Neale (drawn by K. Oubre),,40,50
2,2:49.0,,Utah full timeout,40,50
2,2:49.0,,J. Ingles enters the game for R. O'Neale,40,50
2,2:49.0,K. Oubre makes free throw 1 of 2,,41,50
2,2:49.0,K. Oubre misses free throw 2 of 2,,41,50
2,2:48.0,,Defensive rebound by R. Rubio,41,50
2,2:31.0,,Turnover by R. Rubio (bad pass; steal by J. Jackson),41,50
2,2:26.0,R. Holmes makes 2-pt dunk from 3 ft (assist by J. Jackson),,43,50
2,2:10.0,,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),43,52
2,1:47.0,R. Holmes misses 2-pt hook shot from 7 ft (block by R. Gobert),,43,52
2,1:44.0,,Defensive rebound by J. Ingles,43,52
2,1:41.0,,Personal foul by K. Oubre (drawn by R. Gobert),43,52
2,1:41.0,D. Ayton enters the game for R. Holmes,,43,52
2,1:41.0,J. Crawford enters the game for E. Okobo,,43,52
2,1:25.0,,J. Crowder misses 3-pt jump shot from 23 ft,43,52
2,1:22.0,Defensive rebound by D. Ayton,,43,52
2,1:17.0,Shooting foul by J. Crowder (drawn by J. Jackson),,43,52
2,1:17.0,J. Jackson makes free throw 1 of 2,,44,52
2,1:17.0,,R. O'Neale enters the game for J. Crowder,44,52
2,1:17.0,J. Jackson misses free throw 2 of 2,,44,52
2,1:15.0,,Defensive rebound by R. Gobert,44,52
2,1:04.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),44,54
2,1:04.0,,Shooting foul by K. Oubre (drawn by R. Gobert),44,54
2,1:04.0,,R. Gobert misses free throw 1 of 1,44,54
2,1:02.0,Defensive rebound by D. Ayton,,44,54
2,0:51.0,J. Jackson makes 2-pt jump shot from 18 ft (assist by J. Crawford),,46,54
2,0:39.0,,D. Mitchell makes 2-pt jump shot from 7 ft,46,56
2,0:31.0,M. Bridges misses 2-pt jump shot from 10 ft,,46,56
2,0:28.0,,Defensive rebound by R. Gobert,46,56
2,0:09.0,,D. Mitchell misses 2-pt jump shot from 20 ft,46,56
2,0:05.0,Defensive rebound by M. Bridges,,46,56
2,0:01.0,J. Crawford misses 3-pt jump shot from 27 ft,,46,56
2,0:01.0,Offensive rebound by Team,,46,56
3,11:43.0,D. Ayton misses 2-pt jump shot from 11 ft,,46,56
3,11:37.0,Offensive rebound by D. Ayton,,46,56
3,11:37.0,D. Ayton misses 2-pt layup from 1 ft,,46,56
3,11:36.0,Offensive rebound by D. Ayton,,46,56
3,11:36.0,D. Ayton makes 2-pt layup from 1 ft,,48,56
3,11:11.0,,J. Ingles misses 3-pt jump shot from 24 ft,48,56
3,11:07.0,Defensive rebound by D. Ayton,,48,56
3,10:58.0,D. Ayton misses 2-pt layup from 3 ft,,48,56
3,10:55.0,,Defensive rebound by J. Ingles,48,56
3,10:50.0,,Turnover by J. Ingles (bad pass; steal by J. Jackson),48,56
3,10:45.0,E. Okobo makes 2-pt layup from 2 ft (assist by J. Jackson),,50,56
3,10:27.0,,D. Mitchell misses 2-pt layup from 3 ft,50,56
3,10:24.0,,Offensive rebound by R. Gobert,50,56
3,10:24.0,,R. Gobert makes 2-pt layup at rim,50,58
3,10:15.0,Turnover by D. Ayton (bad pass),,50,58
3,10:02.0,,R. Rubio misses 2-pt layup from 3 ft,50,58
3,10:00.0,Defensive rebound by D. Bender,,50,58
3,9:57.0,M. Bridges makes 3-pt jump shot from 28 ft (assist by E. Okobo),,53,58
3,9:41.0,,Shooting foul by D. Bender (drawn by R. Gobert),53,58
3,9:41.0,,R. Gobert makes free throw 1 of 2,53,59
3,9:41.0,,R. Gobert misses free throw 2 of 2,53,59
3,9:39.0,Defensive rebound by D. Bender,,53,59
3,9:27.0,Turnover by E. Okobo (bad pass),,53,59
3,9:18.0,,D. Mitchell misses 3-pt jump shot from 23 ft,53,59
3,9:13.0,,Offensive rebound by R. Gobert,53,59
3,9:13.0,,R. Gobert misses 2-pt layup at rim,53,59
3,9:11.0,,Offensive rebound by R. Gobert,53,59
3,9:11.0,,R. Gobert misses 2-pt layup at rim,53,59
3,9:11.0,Defensive rebound by D. Ayton,,53,59
3,9:07.0,Turnover by J. Jackson (bad pass; steal by R. Gobert),,53,59
3,9:07.0,,Personal foul by D. Ayton (drawn by D. Favors),53,59
3,8:58.0,,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),53,61
3,8:39.0,D. Ayton misses 2-pt jump shot from 18 ft,,53,61
3,8:36.0,,Defensive rebound by R. Gobert,53,61
3,8:25.0,,D. Favors misses 2-pt layup from 3 ft (block by M. Bridges),53,61
3,8:20.0,Defensive rebound by D. Bender,,53,61
3,8:17.0,J. Jackson misses 2-pt jump shot from 14 ft,,53,61
3,8:14.0,Offensive rebound by M. Bridges,,53,61
3,8:14.0,J. Jackson misses 2-pt layup from 2 ft,,53,61
3,8:14.0,Offensive rebound by J. Jackson,,53,61
3,8:13.0,Turnover by M. Bridges (out of bounds lost ball),,53,61
3,7:52.0,,R. Rubio makes 2-pt jump shot from 19 ft (assist by J. Ingles),53,63
3,7:36.0,Offensive foul by M. Bridges (drawn by R. Gobert),,53,63
3,7:36.0,Turnover by M. Bridges (offensive foul),,53,63
3,7:18.0,,Shooting foul by D. Ayton (drawn by R. Gobert),53,63
3,7:18.0,,R. Gobert misses free throw 1 of 2,53,63
3,7:18.0,,Offensive rebound by Team,53,63
3,7:18.0,,J. Crowder enters the game for D. Favors,53,63
3,7:18.0,,R. Gobert makes free throw 2 of 2,53,64
3,7:13.0,Phoenix full timeout,,53,64
3,7:13.0,K. Oubre enters the game for D. Bender,,53,64
3,7:13.0,,K. Korver enters the game for J. Ingles,53,64
3,7:05.0,M. Bridges misses 3-pt jump shot from 25 ft,,53,64
3,7:03.0,,Defensive rebound by J. Crowder,53,64
3,6:52.0,,J. Crowder misses 3-pt jump shot from 25 ft,53,64
3,6:48.0,Defensive rebound by K. Oubre,,53,64
3,6:37.0,Personal foul by D. Mitchell (drawn by K. Oubre),,53,64
3,6:33.0,J. Jackson makes 2-pt jump shot from 17 ft (assist by K. Oubre),,55,64
3,6:03.0,,Turnover by Team (shot clock),55,64
3,5:45.0,Turnover by J. Jackson (bad pass; steal by R. Gobert),,55,64
3,5:43.0,,Turnover by K. Korver (bad pass; steal by J. Jackson),55,64
3,5:39.0,D. Ayton makes 2-pt dunk from 2 ft (assist by J. Jackson),,57,64
3,5:23.0,,D. Mitchell misses 3-pt jump shot from 25 ft,57,64
3,5:20.0,Defensive rebound by K. Oubre,,57,64
3,5:14.0,Turnover by K. Oubre (out of bounds lost ball),,57,64
3,5:14.0,,Utah full timeout,57,64
3,5:14.0,T. Daniels enters the game for D. Ayton,,57,64
3,5:14.0,R. Holmes enters the game for M. Bridges,,57,64
3,5:14.0,,R. O'Neale enters the game for R. Rubio,57,64
3,5:00.0,,D. Mitchell misses 2-pt jump shot from 8 ft,57,64
3,4:55.0,Defensive rebound by E. Okobo,,57,64
3,4:42.0,E. Okobo misses 3-pt jump shot from 25 ft,,57,64
3,4:39.0,,Defensive rebound by R. Gobert,57,64
3,4:24.0,,J. Crowder misses 3-pt jump shot from 25 ft,57,64
3,4:21.0,,Offensive rebound by J. Crowder,57,64
3,4:12.0,,D. Mitchell makes 2-pt jump shot from 18 ft,57,66
3,3:55.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by E. Okobo),,60,66
3,3:30.0,,Shooting foul by K. Oubre (drawn by D. Mitchell),60,66
3,3:30.0,,D. Mitchell makes free throw 1 of 3,60,67
3,3:30.0,,D. Mitchell makes free throw 2 of 3,60,68
3,3:30.0,,D. Mitchell makes free throw 3 of 3,60,69
3,3:05.0,T. Daniels makes 3-pt jump shot from 27 ft (assist by K. Oubre),,63,69
3,2:54.0,,D. Mitchell misses 2-pt jump shot from 18 ft,63,69
3,2:48.0,Defensive rebound by J. Jackson,,63,69
3,2:41.0,J. Jackson misses 2-pt jump shot from 13 ft,,63,69
3,2:39.0,,Defensive rebound by Team,63,69
3,2:39.0,,D. Favors enters the game for R. Gobert,63,69
3,2:39.0,,J. Ingles enters the game for D. Mitchell,63,69
3,2:28.0,,R. O'Neale makes 3-pt jump shot from 24 ft (assist by J. Ingles),63,72
3,2:08.0,J. Jackson makes 2-pt layup from 5 ft (assist by R. Holmes),,65,72
3,2:08.0,Shooting foul by D. Favors (drawn by J. Jackson),,65,72
3,2:08.0,J. Evans enters the game for E. Okobo,,65,72
3,2:08.0,J. Jackson makes free throw 1 of 1,,66,72
3,1:58.0,,K. Korver misses 3-pt jump shot from 25 ft,66,72
3,1:56.0,Defensive rebound by J. Evans,,66,72
3,1:52.0,R. Holmes makes 2-pt dunk from 3 ft (assist by J. Evans),,68,72
3,1:35.0,,J. Ingles makes 2-pt jump shot from 8 ft,68,74
3,1:24.0,R. Holmes misses 2-pt layup from 5 ft,,68,74
3,1:22.0,,Defensive rebound by J. Crowder,68,74
3,1:09.0,,Shooting foul by J. Jackson (drawn by J. Crowder),68,74
3,1:09.0,,J. Crowder misses free throw 1 of 2,68,74
3,1:09.0,,Offensive rebound by Team,68,74
3,1:09.0,M. Bridges enters the game for J. Jackson,,68,74
3,1:09.0,,R. Neto enters the game for K. Korver,68,74
3,1:09.0,,J. Crowder makes free throw 2 of 2,68,75
3,0:57.0,K. Oubre makes 2-pt layup from 2 ft,,70,75
3,0:57.0,Shooting foul by J. Crowder (drawn by K. Oubre),,70,75
3,0:57.0,,K. Korver enters the game for J. Crowder,70,75
3,0:57.0,K. Oubre makes free throw 1 of 1,,71,75
3,0:47.0,,J. Ingles makes 2-pt layup from 4 ft,71,77
3,0:35.0,J. Evans misses 2-pt jump shot from 14 ft,,71,77
3,0:30.0,Offensive rebound by R. Holmes,,71,77
3,0:29.0,K. Oubre misses 3-pt jump shot from 26 ft,,71,77
3,0:27.0,,Defensive rebound by Team,71,77
3,0:11.0,,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),71,79
3,0:01.0,Turnover by K. Oubre (lost ball; steal by R. O'Neale),,71,79
3,0:00.0,,R. O'Neale misses 3-pt jump shot from 37 ft,71,79
3,0:00.0,,Offensive rebound by Team,71,79
4,11:47.0,,D. Favors makes 2-pt dunk from 2 ft (assist by J. Ingles),71,81
4,11:30.0,T. Daniels misses 2-pt layup from 3 ft,,71,81
4,11:26.0,,Defensive rebound by D. Favors,71,81
4,11:20.0,,Turnover by R. O'Neale (bad pass; steal by K. Oubre),71,81
4,11:06.0,Turnover by J. Evans (bad pass; steal by R. Rubio),,71,81
4,10:58.0,,R. O'Neale makes 3-pt jump shot from 25 ft (assist by R. Neto),71,84
4,10:56.0,Phoenix full timeout,,71,84
4,10:56.0,J. Jackson enters the game for T. Daniels,,71,84
4,10:56.0,E. Okobo enters the game for J. Evans,,71,84
4,10:45.0,K. Oubre makes 2-pt jump shot from 7 ft (assist by J. Jackson),,73,84
4,10:45.0,Shooting foul by R. O'Neale (drawn by K. Oubre),,73,84
4,10:45.0,K. Oubre makes free throw 1 of 1,,74,84
4,10:28.0,,Personal foul by M. Bridges (drawn by R. Rubio),74,84
4,10:18.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. O'Neale),74,87
4,10:05.0,Turnover by E. Okobo (bad pass; steal by D. Favors),,74,87
4,9:54.0,,D. Favors misses 2-pt jump shot from 12 ft,74,87
4,9:52.0,Defensive rebound by K. Oubre,,74,87
4,9:35.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by E. Okobo),,76,87
4,9:24.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),76,90
4,9:01.0,J. Jackson makes 2-pt jump shot from 14 ft,,78,90
4,8:44.0,,Shooting foul by R. Holmes (drawn by D. Favors),78,90
4,8:44.0,,D. Favors makes free throw 1 of 2,78,91
4,8:44.0,D. Ayton enters the game for R. Holmes,,78,91
4,8:44.0,,D. Mitchell enters the game for R. Neto,78,91
4,8:44.0,,D. Favors makes free throw 2 of 2,78,92
4,8:29.0,D. Ayton misses 2-pt jump shot from 19 ft,,78,92
4,8:26.0,,Defensive rebound by R. Rubio,78,92
4,8:22.0,,Personal foul by J. Jackson (drawn by R. Rubio),78,92
4,8:22.0,,R. Gobert enters the game for D. Favors,78,92
4,8:14.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by R. O'Neale),78,95
4,7:57.0,Turnover by K. Oubre (bad pass),,78,95
4,7:36.0,,J. Ingles misses 3-pt jump shot from 27 ft,78,95
4,7:33.0,,Offensive rebound by R. Rubio,78,95
4,7:18.0,,J. Ingles misses 2-pt layup from 4 ft,78,95
4,7:18.0,,Offensive rebound by Team,78,95
4,7:18.0,,Turnover by Team (shot clock),78,95
4,6:57.0,K. Oubre misses 2-pt layup from 6 ft (block by R. Gobert),,78,95
4,6:55.0,,Defensive rebound by D. Mitchell,78,95
4,6:54.0,,Shooting foul by J. Jackson (drawn by R. O'Neale),78,95
4,6:54.0,,R. O'Neale makes free throw 1 of 2,78,96
4,6:54.0,,R. O'Neale makes free throw 2 of 2,78,97
4,6:49.0,Phoenix full timeout,,78,97
4,6:35.0,D. Ayton makes 2-pt dunk from 2 ft (assist by J. Jackson),,80,97
4,6:18.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Ingles),80,99
4,5:59.0,J. Jackson misses 2-pt jump shot from 10 ft,,80,99
4,5:57.0,,Defensive rebound by R. Rubio,80,99
4,5:55.0,Technical foul by J. Jackson,,80,99
4,5:55.0,,R. Rubio makes technical free throw,80,100
4,5:49.0,,Shooting foul by D. Ayton (drawn by R. Gobert),80,100
4,5:49.0,,R. Gobert makes free throw 1 of 2,80,101
4,5:49.0,,R. Gobert makes free throw 2 of 2,80,102
4,5:33.0,Turnover by E. Okobo (bad pass; steal by R. Gobert),,80,102
4,5:28.0,,R. O'Neale makes 2-pt layup from 3 ft (assist by R. Gobert),80,104
4,5:28.0,Violation by Team (def goaltending),,80,104
4,5:07.0,D. Ayton makes 2-pt jump shot from 17 ft (assist by K. Oubre),,82,104
4,4:55.0,,Shooting foul by D. Ayton (drawn by D. Mitchell),82,104
4,4:55.0,,D. Mitchell misses free throw 1 of 2,82,104
4,4:55.0,,Offensive rebound by Team,82,104
4,4:55.0,,D. Mitchell makes free throw 2 of 2,82,105
4,4:43.0,D. Ayton makes 2-pt jump shot from 10 ft (assist by J. Jackson),,84,105
