QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
1,7:21.0,,Turnover by T. Young (dbl dribble),12,12
1,7:06.0,I. Shumpert misses 3-pt jump shot from 25 ft,,12,12
1,7:02.0,,Defensive rebound by V. Carter,12,12
1,6:55.0,,A. Len misses 2-pt jump shot from 13 ft,12,12
1,6:51.0,Defensive rebound by B. Hield,,12,12
1,6:42.0,B. Hield misses 2-pt jump shot from 21 ft,,12,12
1,6:38.0,Offensive rebound by D. Fox,,12,12
1,6:36.0,N. Bjelica makes 2-pt jump shot from 4 ft (assist by D. Fox),,14,12
1,6:09.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by T. Young),14,15
1,6:01.0,N. Bjelica makes 2-pt hook shot from 7 ft (assist by I. Shumpert),,16,15
1,5:54.0,,Turnover by A. Len (offensive foul),16,15
1,5:54.0,,Offensive foul by A. Len (drawn by D. Fox),16,15
1,5:54.0,M. Bagley enters the game for N. Bjelica,,16,15
1,5:54.0,,D. Dedmon enters the game for V. Carter,16,15
1,5:54.0,,K. Huerter enters the game for A. Len,16,15
1,5:54.0,,O. Spellman enters the game for T. Prince,16,15
1,5:46.0,D. Fox misses 2-pt jump shot from 17 ft,,16,15
1,5:42.0,Offensive rebound by W. Cauley-Stein,,16,15
1,5:40.0,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),,19,15
1,5:26.0,,K. Huerter makes 3-pt jump shot from 24 ft (assist by T. Young),19,18
1,5:09.0,M. Bagley misses 2-pt hook shot from 7 ft,,19,18
1,5:05.0,,Defensive rebound by D. Dedmon,19,18
1,5:00.0,,K. Bazemore misses 2-pt layup from 3 ft,19,18
1,4:54.0,Defensive rebound by D. Fox,,19,18
1,4:46.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),,21,18
1,4:30.0,,Turnover by T. Young (bad pass; steal by W. Cauley-Stein),21,18
1,4:27.0,Loose ball foul by B. Hield (drawn by K. Huerter),,21,18
1,4:27.0,Turnover by B. Hield (turnover),,21,18
1,4:27.0,K. Koufos enters the game for W. Cauley-Stein,,21,18
1,4:27.0,F. Mason enters the game for D. Fox,,21,18
1,4:27.0,,D. Bembry enters the game for K. Huerter,21,18
1,4:27.0,,J. Lin enters the game for T. Young,21,18
1,4:18.0,,Turnover by J. Lin (lost ball; steal by B. Hield),21,18
1,4:07.0,B. Hield misses 2-pt jump shot from 19 ft,,21,18
1,4:05.0,,Defensive rebound by D. Dedmon,21,18
1,3:54.0,,D. Dedmon makes 2-pt jump shot from 12 ft (assist by K. Bazemore),21,20
1,3:38.0,K. Koufos misses 2-pt layup from 1 ft (block by D. Dedmon),,21,20
1,3:38.0,,Defensive rebound by Team,21,20
1,3:38.0,J. Jackson enters the game for I. Shumpert,,21,20
1,3:38.0,,T. Prince enters the game for K. Bazemore,21,20
1,3:22.0,,Personal foul by F. Mason (drawn by J. Lin),21,20
1,3:17.0,,J. Lin makes 2-pt layup from 3 ft,21,22
1,2:58.0,Sacramento full timeout,,21,22
1,2:56.0,B. Hield makes 3-pt jump shot from 25 ft (assist by J. Jackson),,24,22
1,2:56.0,Shooting foul by D. Dedmon (drawn by B. Hield),,24,22
1,2:56.0,B. Hield makes free throw 1 of 1,,25,22
1,2:44.0,,D. Bembry makes 3-pt jump shot from 23 ft (assist by T. Prince),25,25
1,2:29.0,K. Koufos misses 2-pt hook shot from 6 ft,,25,25
1,2:23.0,Offensive rebound by K. Koufos,,25,25
1,2:23.0,K. Koufos makes 2-pt layup at rim,,27,25
1,2:15.0,,J. Lin misses 3-pt jump shot from 24 ft,27,25
1,2:12.0,Defensive rebound by B. Hield,,27,25
1,2:02.0,K. Koufos makes 2-pt hook shot from 10 ft (assist by J. Jackson),,29,25
1,1:42.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by T. Prince),29,27
1,1:31.0,F. Mason misses 2-pt jump shot from 12 ft,,29,27
1,1:23.0,Offensive rebound by M. Bagley,,29,27
1,1:23.0,M. Bagley makes 2-pt layup at rim,,31,27
1,1:20.0,,Shooting foul by F. Mason (drawn by J. Lin),31,27
1,1:20.0,,A. Len enters the game for D. Dedmon,31,27
1,1:20.0,,A. Poythress enters the game for O. Spellman,31,27
1,1:20.0,,J. Lin misses free throw 1 of 2,31,27
1,1:20.0,,Offensive rebound by Team,31,27
1,1:20.0,,J. Lin misses free throw 2 of 2,31,27
1,1:17.0,Defensive rebound by K. Koufos,,31,27
1,1:05.0,B. Hield misses 2-pt jump shot from 23 ft,,31,27
1,0:59.0,,Defensive rebound by T. Prince,31,27
1,0:55.0,,D. Bembry makes 2-pt layup from 2 ft (assist by T. Prince),31,29
1,0:40.0,K. Koufos makes 2-pt hook shot from 9 ft (assist by F. Mason),,33,29
1,0:30.0,,Turnover by J. Lin (lost ball; steal by F. Mason),33,29
1,0:28.0,B. Hield makes 2-pt layup from 1 ft (assist by F. Mason),,35,29
1,0:28.0,Shooting foul by T. Prince (drawn by B. Hield),,35,29
1,0:28.0,Y. Ferrell enters the game for F. Mason,,35,29
1,0:28.0,,T. Young enters the game for A. Poythress,35,29
1,0:28.0,B. Hield misses free throw 1 of 1,,35,29
1,0:28.0,,Defensive rebound by A. Len,35,29
1,0:06.0,,T. Prince misses 3-pt jump shot from 23 ft,35,29
1,0:03.0,,Offensive rebound by A. Len,35,29
1,0:01.0,,J. Lin misses 3-pt jump shot from 26 ft,35,29
1,0:01.0,,Offensive rebound by Team,35,29
2,11:48.0,Turnover by M. Bagley (offensive foul),,35,29
2,11:48.0,Offensive foul by M. Bagley (drawn by A. Poythress),,35,29
2,11:38.0,,T. Young misses 2-pt jump shot from 16 ft,35,29
2,11:34.0,Defensive rebound by K. Koufos,,35,29
2,11:26.0,K. Koufos makes 2-pt hook shot from 4 ft (assist by B. Hield),,37,29
2,11:15.0,,Turnover by T. Young (bad pass; steal by K. Koufos),37,29
2,11:10.0,M. Bagley makes 2-pt layup from 2 ft (assist by Y. Ferrell),,39,29
2,11:02.0,,Turnover by T. Prince (traveling),39,29
2,11:02.0,W. Cauley-Stein enters the game for B. Hield,,39,29
2,11:02.0,D. Fox enters the game for K. Koufos,,39,29
2,10:46.0,Turnover by D. Fox (bad pass; steal by K. Bazemore),,39,29
2,10:41.0,,A. Poythress makes 2-pt dunk from 1 ft (assist by T. Prince),39,31
2,10:34.0,J. Jackson makes 2-pt layup from 7 ft,,41,31
2,10:34.0,Shooting foul by T. Prince (drawn by J. Jackson),,41,31
2,10:34.0,J. Jackson makes free throw 1 of 1,,42,31
2,10:18.0,,T. Young makes 2-pt layup from 2 ft (assist by K. Bazemore),42,33
2,10:07.0,J. Jackson misses 2-pt jump shot from 15 ft,,42,33
2,10:04.0,,Defensive rebound by A. Poythress,42,33
2,9:49.0,,Turnover by T. Prince (bad pass; steal by Y. Ferrell),42,33
2,9:44.0,D. Fox makes 2-pt dunk from 2 ft (assist by Y. Ferrell),,44,33
2,9:44.0,,Atlanta full timeout,44,33
2,9:44.0,,D. Bembry enters the game for A. Len,44,33
2,9:44.0,,V. Carter enters the game for A. Poythress,44,33
2,9:44.0,,D. Dedmon enters the game for T. Prince,44,33
2,9:32.0,,Personal foul by Y. Ferrell (drawn by K. Bazemore),44,33
2,9:22.0,,V. Carter misses 3-pt jump shot from 26 ft,44,33
2,9:18.0,Defensive rebound by W. Cauley-Stein,,44,33
2,9:16.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,44,33
2,9:12.0,,Defensive rebound by T. Young,44,33
2,9:07.0,,T. Young misses 2-pt layup from 2 ft,44,33
2,9:04.0,Defensive rebound by W. Cauley-Stein,,44,33
2,8:57.0,M. Bagley makes 2-pt jump shot from 12 ft (assist by J. Jackson),,46,33
2,8:44.0,,D. Bembry makes 2-pt layup from 1 ft (assist by T. Young),46,35
2,8:24.0,D. Fox misses 3-pt jump shot from 25 ft,,46,35
2,8:20.0,,Defensive rebound by D. Bembry,46,35
2,8:14.0,,K. Bazemore misses 3-pt jump shot from 24 ft,46,35
2,8:12.0,Defensive rebound by Y. Ferrell,,46,35
2,8:12.0,Personal foul by D. Dedmon (drawn by Y. Ferrell),,46,35
2,8:12.0,N. Bjelica enters the game for M. Bagley,,46,35
2,8:12.0,,J. Lin enters the game for T. Young,46,35
2,7:57.0,Turnover by W. Cauley-Stein (bad pass; steal by D. Dedmon),,46,35
2,7:52.0,,K. Bazemore makes 2-pt layup from 1 ft,46,37
2,7:41.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by Y. Ferrell),,48,37
2,7:27.0,,K. Bazemore makes 2-pt jump shot from 11 ft,48,39
2,7:10.0,N. Bjelica misses 2-pt jump shot from 7 ft,,48,39
2,7:07.0,Offensive rebound by D. Fox,,48,39
2,6:58.0,N. Bjelica makes 2-pt layup from 1 ft,,50,39
2,6:49.0,,J. Lin makes 2-pt layup from 3 ft,50,41
2,6:43.0,W. Cauley-Stein misses 2-pt layup from 1 ft (block by J. Lin),,50,41
2,6:39.0,,Defensive rebound by D. Dedmon,50,41
2,6:38.0,,Turnover by D. Bembry (offensive foul),50,41
2,6:38.0,,Offensive foul by D. Bembry (drawn by Y. Ferrell),50,41
2,6:38.0,I. Shumpert enters the game for J. Jackson,,50,41
2,6:38.0,,A. Poythress enters the game for V. Carter,50,41
2,6:18.0,D. Fox makes 2-pt layup from 6 ft,,52,41
2,6:18.0,Shooting foul by D. Dedmon (drawn by D. Fox),,52,41
2,6:18.0,D. Fox makes free throw 1 of 1,,53,41
2,5:55.0,,D. Bembry makes 2-pt layup from 2 ft,53,43
2,5:37.0,Turnover by N. Bjelica (3 sec),,53,43
2,5:37.0,,A. Len enters the game for D. Dedmon,53,43
2,5:27.0,,Shooting foul by D. Fox (drawn by J. Lin),53,43
2,5:27.0,,J. Lin makes free throw 1 of 2,53,44
2,5:27.0,B. Hield enters the game for Y. Ferrell,,53,44
2,5:27.0,,T. Dorsey enters the game for K. Bazemore,53,44
2,5:27.0,,J. Lin makes free throw 2 of 2,53,45
2,5:17.0,Personal foul by T. Dorsey (drawn by I. Shumpert),,53,45
2,5:13.0,Personal foul by A. Poythress (drawn by N. Bjelica),,53,45
2,5:13.0,N. Bjelica makes free throw 1 of 2,,54,45
2,5:13.0,N. Bjelica makes free throw 2 of 2,,55,45
2,4:53.0,,Turnover by J. Lin (bad pass; steal by W. Cauley-Stein),55,45
2,4:49.0,B. Hield makes 3-pt jump shot from 22 ft (assist by D. Fox),,58,45
2,4:42.0,,Shooting foul by I. Shumpert (drawn by J. Lin),58,45
2,4:42.0,,J. Lin makes free throw 1 of 2,58,46
2,4:42.0,,J. Lin makes free throw 2 of 2,58,47
2,4:31.0,,Violation by Team (kicked ball),58,47
2,4:31.0,,T. Prince enters the game for D. Bembry,58,47
2,4:31.0,,T. Young enters the game for J. Lin,58,47
2,4:27.0,Turnover by N. Bjelica (traveling),,58,47
2,4:27.0,Violation by Team (delay of game),,58,47
2,4:15.0,,T. Prince makes 3-pt jump shot from 22 ft (assist by T. Young),58,50
2,4:03.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),,61,50
2,3:49.0,,Shooting foul by W. Cauley-Stein (drawn by A. Len),61,50
2,3:49.0,,A. Len makes free throw 1 of 2,61,51
2,3:49.0,M. Bagley enters the game for W. Cauley-Stein,,61,51
2,3:49.0,,A. Len makes free throw 2 of 2,61,52
2,3:26.0,I. Shumpert misses 3-pt jump shot from 25 ft,,61,52
2,3:22.0,,Defensive rebound by T. Prince,61,52
2,3:07.0,,T. Prince makes 2-pt layup from 3 ft (assist by T. Young),61,54
2,3:00.0,Shooting foul by A. Len (drawn by M. Bagley),,61,54
2,3:00.0,M. Bagley makes free throw 1 of 2,,62,54
2,3:00.0,,O. Spellman enters the game for A. Len,62,54
2,3:00.0,M. Bagley makes free throw 2 of 2,,63,54
2,2:44.0,,T. Dorsey makes 2-pt layup from 3 ft (assist by O. Spellman),63,56
2,2:32.0,I. Shumpert makes 2-pt layup from 1 ft (assist by D. Fox),,65,56
2,2:12.0,,Shooting foul by B. Hield (drawn by A. Poythress),65,56
2,2:12.0,Sacramento full timeout,,65,56
2,2:12.0,,A. Poythress makes free throw 1 of 2,65,57
2,2:12.0,,A. Poythress makes free throw 2 of 2,65,58
2,1:53.0,Turnover by B. Hield (lost ball; steal by T. Dorsey),,65,58
2,1:47.0,,T. Young misses 2-pt layup from 2 ft,65,58
2,1:44.0,Defensive rebound by D. Fox,,65,58
2,1:40.0,B. Hield misses 3-pt jump shot from 25 ft,,65,58
2,1:40.0,,Defensive rebound by A. Poythress,65,58
2,1:21.0,,T. Young makes 2-pt layup from 1 ft,65,60
2,1:21.0,,Shooting foul by N. Bjelica (drawn by T. Young),65,60
2,1:21.0,,T. Young misses free throw 1 of 1,65,60
2,1:21.0,,Offensive rebound by O. Spellman,65,60
2,1:16.0,,Personal foul by I. Shumpert (drawn by T. Young),65,60
2,1:16.0,,T. Young makes free throw 1 of 2,65,61
2,1:16.0,,T. Young makes free throw 2 of 2,65,62
2,1:05.0,D. Fox misses 2-pt jump shot from 17 ft,,65,62
2,1:01.0,Offensive rebound by M. Bagley,,65,62
2,1:01.0,M. Bagley misses 2-pt layup at rim,,65,62
2,1:01.0,,Defensive rebound by Team,65,62
2,0:52.0,,T. Dorsey makes 2-pt layup from 1 ft (assist by T. Young),65,64
2,0:27.0,B. Hield makes 2-pt layup from 1 ft (assist by D. Fox),,67,64
2,0:08.0,,T. Young misses 2-pt layup from 1 ft,67,64
2,0:06.0,Defensive rebound by N. Bjelica,,67,64
2,0:04.0,M. Bagley makes 2-pt dunk from 1 ft (assist by D. Fox),,69,64
2,0:00.0,,T. Prince misses 3-pt jump shot from 35 ft,69,64
2,0:00.0,,Offensive rebound by Team,69,64
3,11:47.0,Turnover by W. Cauley-Stein (lost ball; steal by T. Prince),,69,64
3,11:33.0,,T. Young misses 2-pt layup from 2 ft,69,64
3,11:27.0,,Offensive rebound by A. Len,69,64
3,11:27.0,,A. Len misses 2-pt dunk at rim,69,64
3,11:26.0,Defensive rebound by B. Hield,,69,64
3,11:22.0,D. Fox makes 2-pt jump shot from 17 ft (assist by N. Bjelica),,71,64
3,11:06.0,,T. Prince misses 3-pt jump shot from 25 ft,71,64
3,11:03.0,Defensive rebound by W. Cauley-Stein,,71,64
3,10:57.0,B. Hield makes 2-pt layup from 2 ft (assist by I. Shumpert),,73,64
3,10:57.0,,Atlanta full timeout,73,64
3,10:42.0,,T. Young misses 2-pt jump shot from 3 ft,73,64
3,10:38.0,,Offensive rebound by K. Bazemore,73,64
3,10:36.0,,T. Prince makes 2-pt layup from 2 ft (assist by K. Bazemore),73,66
3,10:19.0,W. Cauley-Stein makes 2-pt jump shot from 11 ft (assist by N. Bjelica),,75,66
3,10:01.0,,T. Young makes 2-pt layup from 1 ft (assist by A. Len),75,68
3,9:53.0,B. Hield makes 2-pt layup from 2 ft,,77,68
3,9:38.0,,K. Bazemore makes 3-pt jump shot from 23 ft,77,71
3,9:21.0,N. Bjelica misses 3-pt jump shot from 29 ft,,77,71
3,9:18.0,,Defensive rebound by T. Young,77,71
3,9:13.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),77,73
3,8:59.0,Shooting foul by T. Young (drawn by D. Fox),,77,73
3,8:59.0,D. Fox makes free throw 1 of 2,,78,73
3,8:59.0,,D. Dedmon enters the game for A. Len,78,73
3,8:59.0,D. Fox makes free throw 2 of 2,,79,73
3,8:47.0,,Turnover by T. Young (lost ball; steal by D. Fox),79,73
3,8:43.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,82,73
3,8:19.0,,Violation by Team (kicked ball),82,73
3,8:09.0,B. Hield misses 2-pt jump shot from 13 ft,,82,73
3,8:05.0,,Defensive rebound by D. Dedmon,82,73
3,7:58.0,,K. Bazemore misses 2-pt jump shot from 12 ft,82,73
3,7:52.0,,Offensive rebound by K. Bazemore,82,73
3,7:52.0,,K. Bazemore misses 2-pt layup at rim,82,73
3,7:52.0,Defensive rebound by D. Fox,,82,73
3,7:48.0,I. Shumpert misses 3-pt jump shot from 25 ft,,82,73
3,7:43.0,Offensive rebound by D. Fox,,82,73
3,7:42.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by B. Hield),,85,73
3,7:34.0,,Personal foul by N. Bjelica (drawn by V. Carter),85,73
3,7:34.0,,J. Lin enters the game for V. Carter,85,73
3,7:34.0,,O. Spellman enters the game for T. Young,85,73
3,7:31.0,,D. Dedmon misses 3-pt jump shot from 25 ft,85,73
3,7:23.0,Defensive rebound by I. Shumpert,,85,73
3,7:21.0,D. Fox makes 2-pt layup from 10 ft,,87,73
3,7:21.0,Shooting foul by K. Bazemore (drawn by D. Fox),,87,73
3,7:21.0,,Technical foul by K. Bazemore,87,73
3,7:21.0,B. Hield makes technical free throw,,88,73
3,7:21.0,,T. Dorsey enters the game for K. Bazemore,88,73
3,7:21.0,D. Fox makes free throw 1 of 1,,89,73
3,7:08.0,,Personal foul by D. Fox (drawn by J. Lin),89,73
3,7:01.0,,Turnover by T. Prince (lost ball; steal by I. Shumpert),89,73
3,6:49.0,Shooting foul by D. Dedmon (drawn by D. Fox),,89,73
3,6:49.0,D. Fox makes free throw 1 of 2,,90,73
3,6:49.0,,D. Bembry enters the game for T. Prince,90,73
3,6:49.0,D. Fox makes free throw 2 of 2,,91,73
3,6:36.0,,D. Bembry makes 2-pt layup from 1 ft,91,75
3,6:29.0,B. Hield misses 3-pt jump shot from 26 ft,,91,75
3,6:29.0,,Defensive rebound by J. Lin,91,75
3,6:22.0,,J. Lin makes 2-pt layup from 1 ft,91,77
3,6:06.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),,94,77
3,5:51.0,,Shooting foul by N. Bjelica (drawn by D. Dedmon),94,77
3,5:51.0,,D. Dedmon makes free throw 1 of 2,94,78
3,5:51.0,,D. Dedmon makes free throw 2 of 2,94,79
3,5:40.0,Personal foul by D. Dedmon (drawn by W. Cauley-Stein),,94,79
3,5:40.0,M. Bagley enters the game for N. Bjelica,,94,79
3,5:40.0,,A. Poythress enters the game for D. Dedmon,94,79
3,5:31.0,D. Fox makes 3-pt jump shot from 25 ft,,97,79
3,5:16.0,,A. Poythress misses 2-pt layup from 2 ft (block by B. Hield),97,79
3,5:13.0,,Offensive rebound by A. Poythress,97,79
3,5:11.0,,A. Poythress misses 2-pt layup from 2 ft,97,79
3,5:11.0,,Offensive rebound by A. Poythress,97,79
3,5:10.0,,Turnover by D. Bembry (out of bounds lost ball),97,79
3,5:00.0,Turnover by D. Fox (back court),,97,79
3,4:47.0,,T. Dorsey misses 2-pt hook shot from 5 ft,97,79
3,4:44.0,Defensive rebound by W. Cauley-Stein,,97,79
3,4:31.0,M. Bagley makes 2-pt layup from 2 ft (assist by B. Hield),,99,79
3,4:20.0,,O. Spellman misses 2-pt jump shot from 12 ft,99,79
3,4:20.0,,Offensive rebound by D. Bembry,99,79
3,4:20.0,,Shooting foul by W. Cauley-Stein (drawn by D. Bembry),99,79
3,4:20.0,,D. Bembry makes free throw 1 of 2,99,80
3,4:20.0,,D. Bembry makes free throw 2 of 2,99,81
3,4:09.0,B. Hield makes 2-pt layup from 1 ft (assist by D. Fox),,101,81
3,4:00.0,,Personal foul by B. Hield (drawn by D. Bembry),101,81
3,4:00.0,,D. Bembry misses free throw 1 of 2,101,81
3,4:00.0,,Offensive rebound by Team,101,81
3,4:00.0,,V. Carter enters the game for A. Poythress,101,81
3,4:00.0,Sacramento full timeout,,101,81
3,4:00.0,,D. Bembry misses free throw 2 of 2,101,81
3,3:57.0,Defensive rebound by I. Shumpert,,101,81
3,3:39.0,B. Hield misses 2-pt layup from 8 ft (block by V. Carter),,101,81
3,3:39.0,Offensive rebound by Team,,101,81
3,3:37.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by I. Shumpert),,103,81
3,3:37.0,Shooting foul by J. Lin (drawn by W. Cauley-Stein),,103,81
3,3:37.0,W. Cauley-Stein misses free throw 1 of 1,,103,81
3,3:37.0,,Defensive rebound by D. Bembry,103,81
3,3:26.0,,T. Dorsey misses 3-pt jump shot from 23 ft,103,81
3,3:24.0,Defensive rebound by D. Fox,,103,81
3,3:18.0,I. Shumpert misses 3-pt jump shot from 23 ft,,103,81
3,3:14.0,,Defensive rebound by T. Dorsey,103,81
3,3:14.0,,Personal foul by I. Shumpert (drawn by T. Dorsey),103,81
3,3:14.0,,T. Dorsey misses free throw 1 of 2,103,81
3,3:14.0,,Offensive rebound by Team,103,81
3,3:14.0,J. Jackson enters the game for W. Cauley-Stein,,103,81
3,3:14.0,K. Koufos enters the game for I. Shumpert,,103,81
3,3:14.0,,A. Len enters the game for O. Spellman,103,81
3,3:14.0,,T. Dorsey makes free throw 2 of 2,103,82
3,3:09.0,Personal foul by V. Carter (drawn by M. Bagley),,103,82
3,3:09.0,M. Bagley makes free throw 1 of 2,,104,82
3,3:09.0,,K. Bazemore enters the game for T. Dorsey,104,82
3,3:09.0,M. Bagley makes free throw 2 of 2,,105,82
3,2:59.0,,J. Lin misses 3-pt jump shot from 25 ft,105,82
3,2:54.0,Defensive rebound by M. Bagley,,105,82
3,2:41.0,D. Fox makes 3-pt jump shot from 26 ft (assist by B. Hield),,108,82
3,2:27.0,,J. Lin makes 2-pt layup from 1 ft,108,84
3,2:27.0,,Shooting foul by B. Hield (drawn by J. Lin),108,84
3,2:27.0,,J. Lin makes free throw 1 of 1,108,85
3,2:07.0,K. Koufos misses 2-pt jump shot from 11 ft,,108,85
3,2:03.0,,Defensive rebound by V. Carter,108,85
3,1:53.0,,K. Bazemore misses 3-pt jump shot from 22 ft,108,85
3,1:50.0,Defensive rebound by B. Hield,,108,85
3,1:34.0,D. Fox makes 3-pt jump shot from 25 ft,,111,85
3,1:23.0,,Turnover by V. Carter (bad pass; steal by B. Hield),111,85
3,1:20.0,Shooting foul by J. Lin (drawn by J. Jackson),,111,85
3,1:20.0,J. Jackson misses free throw 1 of 2,,111,85
3,1:20.0,Offensive rebound by Team,,111,85
3,1:20.0,,A. Poythress enters the game for D. Bembry,111,85
3,1:20.0,,T. Prince enters the game for V. Carter,111,85
3,1:20.0,,T. Young enters the game for J. Lin,111,85
3,1:20.0,J. Jackson makes free throw 2 of 2,,112,85
3,1:09.0,,A. Poythress misses 2-pt layup from 5 ft (block by K. Koufos),112,85
3,1:09.0,,Offensive rebound by Team,112,85
3,1:09.0,Y. Ferrell enters the game for B. Hield,,112,85
3,1:09.0,,Offensive foul by A. Len (drawn by D. Fox),112,85
3,1:09.0,,Turnover by A. Len (offensive foul),112,85
3,1:00.0,D. Fox makes 2-pt layup from 3 ft,,114,85
3,0:49.0,,Personal foul by M. Bagley (drawn by A. Len),114,85
3,0:49.0,,A. Len misses free throw 1 of 2,114,85
3,0:49.0,,Offensive rebound by Team,114,85
3,0:49.0,,A. Len makes free throw 2 of 2,114,86
3,0:41.0,Shooting foul by A. Poythress (drawn by D. Fox),,114,86
3,0:41.0,D. Fox misses free throw 1 of 2,,114,86
3,0:41.0,Offensive rebound by Team,,114,86
3,0:41.0,D. Fox makes free throw 2 of 2,,115,86
3,0:30.0,,T. Prince misses 2-pt jump shot from 11 ft,115,86
3,0:26.0,,Offensive rebound by A. Poythress,115,86
3,0:24.0,,K. Bazemore misses 3-pt jump shot from 25 ft,115,86
3,0:24.0,,Offensive rebound by Team,115,86
3,0:22.0,Loose ball foul by K. Koufos (drawn by A. Len),,115,86
3,0:22.0,,A. Len makes free throw 1 of 2,115,87
3,0:22.0,,A. Len misses free throw 2 of 2,115,87
3,0:21.0,Defensive rebound by K. Koufos,,115,87
3,0:04.0,,Violation by Team (kicked ball),115,87
3,0:01.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,115,87
3,0:01.0,,Defensive rebound by A. Len,115,87
4,11:48.0,,Shooting foul by K. Koufos (drawn by A. Poythress),115,87
4,11:48.0,,A. Poythress misses free throw 1 of 2,115,87
4,11:48.0,,Offensive rebound by Team,115,87
4,11:48.0,,A. Poythress makes free throw 2 of 2,115,88
4,11:32.0,Personal foul by K. Bazemore (drawn by Y. Ferrell),,115,88
4,11:26.0,F. Mason misses 3-pt jump shot from 26 ft,,115,88
4,11:22.0,Offensive rebound by M. Bagley,,115,88
4,11:19.0,Y. Ferrell misses 3-pt jump shot from 27 ft,,115,88
4,11:17.0,,Defensive rebound by T. Prince,115,88
4,11:09.0,,Turnover by A. Len (off goaltending),115,88
4,10:54.0,Y. Ferrell misses 2-pt jump shot from 13 ft,,115,88
4,10:49.0,,Defensive rebound by K. Bazemore,115,88
4,10:44.0,,T. Young makes 2-pt layup from 1 ft (assist by T. Prince),115,90
4,10:36.0,J. Jackson misses 3-pt jump shot from 26 ft,,115,90
4,10:36.0,Offensive rebound by M. Bagley,,115,90
4,10:32.0,M. Bagley makes 2-pt layup from 1 ft,,117,90
4,10:14.0,,A. Poythress makes 2-pt dunk at rim (assist by T. Young),117,92
4,10:14.0,Sacramento full timeout,,117,92
