QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
3,1:57.0,P. George makes 2-pt jump shot from 14 ft,,69,79
3,1:31.0,,Turnover by H. Barnes (lost ball; steal by R. Westbrook),69,79
3,1:27.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,71,79
3,1:11.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,71,79
3,1:10.0,,Offensive rebound by Team,71,79
3,1:10.0,,Personal foul by S. Adams (drawn by D. Jordan),71,79
3,1:10.0,,D. Jordan makes free throw 1 of 2,71,80
3,1:10.0,,D. Harris enters the game for L. Dončić,71,80
3,1:10.0,,D. Jordan makes free throw 2 of 2,71,81
3,0:54.0,R. Westbrook misses 3-pt jump shot from 25 ft,,71,81
3,0:50.0,Offensive rebound by P. George,,71,81
3,0:48.0,D. Schröder misses 2-pt jump shot from 9 ft,,71,81
3,0:45.0,,Defensive rebound by D. Jordan,71,81
3,0:29.0,,J. Barea makes 3-pt jump shot from 27 ft,71,84
3,0:10.0,S. Adams makes 2-pt jump shot from 12 ft (assist by R. Westbrook),,73,84
3,0:02.0,,J. Barea misses 3-pt jump shot from 30 ft,73,84
3,0:02.0,Defensive rebound by S. Adams,,73,84
3,0:00.0,S. Adams misses 3-pt jump shot from 78 ft,,73,84
3,0:00.0,Offensive rebound by Team,,73,84
4,11:48.0,D. Schröder misses 2-pt jump shot from 11 ft,,73,84
4,11:43.0,Offensive rebound by N. Noel,,73,84
4,11:43.0,N. Noel makes 2-pt layup from 1 ft,,75,84
4,11:37.0,,Personal foul by R. Felton (drawn by D. Harris),75,84
4,11:29.0,,Turnover by D. Powell (traveling),75,84
4,11:20.0,D. Schröder makes 2-pt jump shot from 17 ft,,77,84
4,11:04.0,,Turnover by D. Harris (offensive foul),77,84
4,11:04.0,,Offensive foul by D. Harris (drawn by R. Felton),77,84
4,10:53.0,D. Schröder misses 2-pt jump shot from 4 ft,,77,84
4,10:51.0,,Defensive rebound by D. Nowitzki,77,84
4,10:47.0,,D. Powell misses 2-pt layup from 1 ft,77,84
4,10:44.0,Defensive rebound by N. Noel,,77,84
4,10:39.0,Shooting foul by D. Powell (drawn by D. Schröder),,77,84
4,10:39.0,D. Schröder makes free throw 1 of 2,,78,84
4,10:39.0,D. Schröder misses free throw 2 of 2,,78,84
4,10:36.0,,Defensive rebound by D. Powell,78,84
4,10:27.0,,Shooting foul by H. Diallo (drawn by D. Powell),78,84
4,10:27.0,,D. Powell makes free throw 1 of 2,78,85
4,10:27.0,,D. Powell makes free throw 2 of 2,78,86
4,10:16.0,R. Felton makes 3-pt jump shot from 25 ft (assist by N. Noel),,81,86
4,9:50.0,,J. Barea misses 2-pt jump shot from 3 ft,81,86
4,9:47.0,Defensive rebound by H. Diallo,,81,86
4,9:41.0,D. Schröder misses 3-pt jump shot from 25 ft,,81,86
4,9:38.0,,Defensive rebound by D. Nowitzki,81,86
4,9:34.0,,Turnover by J. Barea (lost ball; steal by N. Noel),81,86
4,9:22.0,D. Schröder misses 2-pt layup from 3 ft,,81,86
4,9:22.0,,Defensive rebound by Team,81,86
4,9:10.0,,Shooting foul by R. Felton (drawn by D. Powell),81,86
4,9:10.0,,D. Powell misses free throw 1 of 2,81,86
4,9:10.0,,Offensive rebound by Team,81,86
4,9:10.0,,D. Powell misses free throw 2 of 2,81,86
4,9:07.0,Defensive rebound by N. Noel,,81,86
4,8:55.0,H. Diallo makes 2-pt layup from 2 ft (assist by D. Schröder),,83,86
4,8:55.0,Shooting foul by D. Nowitzki (drawn by H. Diallo),,83,86
4,8:55.0,,Dallas full timeout,83,86
4,8:55.0,,M. Kleber enters the game for D. Nowitzki,83,86
4,8:55.0,H. Diallo makes free throw 1 of 1,,84,86
4,8:37.0,,D. Harris misses 3-pt jump shot from 25 ft,84,86
4,8:34.0,Defensive rebound by P. Patterson,,84,86
4,8:28.0,D. Schröder misses 2-pt layup from 7 ft,,84,86
4,8:26.0,Offensive rebound by D. Schröder,,84,86
4,8:16.0,D. Schröder makes 2-pt jump shot from 8 ft,,86,86
4,7:56.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),86,88
4,7:41.0,D. Schröder misses 3-pt jump shot from 26 ft,,86,88
4,7:38.0,,Defensive rebound by M. Kleber,86,88
4,7:29.0,,D. Powell misses 2-pt layup from 6 ft,86,88
4,7:27.0,Defensive rebound by H. Diallo,,86,88
4,7:21.0,Personal foul by J. Barea (drawn by N. Noel),,86,88
4,7:21.0,R. Westbrook enters the game for R. Felton,,86,88
4,7:11.0,R. Westbrook misses 3-pt jump shot from 26 ft,,86,88
4,7:10.0,Offensive rebound by Team,,86,88
4,7:10.0,,Loose ball foul by D. Finney-Smith (drawn by P. Patterson),86,88
4,6:56.0,D. Schröder makes 2-pt layup from 5 ft,,88,88
4,6:43.0,,D. Powell misses 2-pt layup from 5 ft (block by N. Noel),88,88
4,6:40.0,Defensive rebound by R. Westbrook,,88,88
4,6:37.0,P. Patterson makes 2-pt dunk from 1 ft (assist by H. Diallo),,90,88
4,6:37.0,,Dallas full timeout,90,88
4,6:37.0,S. Adams enters the game for H. Diallo,,90,88
4,6:37.0,P. George enters the game for N. Noel,,90,88
4,6:37.0,,H. Barnes enters the game for J. Barea,90,88
4,6:37.0,,L. Dončić enters the game for D. Finney-Smith,90,88
4,6:37.0,,D. Jordan enters the game for D. Harris,90,88
4,6:37.0,,D. Smith enters the game for D. Powell,90,88
4,6:13.0,,H. Barnes makes 2-pt jump shot from 15 ft (assist by D. Smith),90,90
4,5:56.0,P. George misses 3-pt jump shot from 23 ft,,90,90
4,5:54.0,,Defensive rebound by D. Jordan,90,90
4,5:30.0,,L. Dončić makes 3-pt jump shot from 25 ft,90,93
4,5:20.0,R. Westbrook misses 3-pt jump shot from 25 ft,,90,93
4,5:17.0,,Defensive rebound by M. Kleber,90,93
4,5:03.0,,L. Dončić misses 3-pt jump shot from 25 ft,90,93
4,5:00.0,Defensive rebound by P. Patterson,,90,93
4,4:56.0,D. Schröder misses 3-pt jump shot from 25 ft,,90,93
4,4:53.0,Offensive rebound by S. Adams,,90,93
4,4:47.0,P. George misses 3-pt jump shot from 26 ft,,90,93
4,4:46.0,,Defensive rebound by Team,90,93
4,4:46.0,Loose ball foul by S. Adams (drawn by L. Dončić),,90,93
4,4:46.0,J. Grant enters the game for P. Patterson,,90,93
4,4:31.0,,Turnover by L. Dončić (bad pass),90,93
4,4:21.0,D. Schröder misses 3-pt jump shot from 25 ft,,90,93
4,4:18.0,,Defensive rebound by D. Jordan,90,93
4,4:04.0,,Turnover by D. Smith (lost ball; steal by S. Adams),90,93
4,3:54.0,Shooting foul by D. Smith (drawn by P. George),,90,93
4,3:54.0,P. George makes free throw 1 of 3,,91,93
4,3:54.0,P. George makes free throw 2 of 3,,92,93
4,3:54.0,P. George makes free throw 3 of 3,,93,93
4,3:37.0,,H. Barnes makes 2-pt jump shot from 10 ft,93,95
4,3:22.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,96,95
4,3:05.0,,H. Barnes misses 3-pt jump shot from 25 ft,96,95
4,3:01.0,Defensive rebound by S. Adams,,96,95
4,2:51.0,Shooting foul by M. Kleber (drawn by P. George),,96,95
4,2:51.0,P. George makes free throw 1 of 2,,97,95
