QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
1,7:07.0,,C. Osman misses 2-pt layup at rim,17,11
1,7:04.0,Defensive rebound by K. Walker,,17,11
1,7:00.0,D. Bacon makes 3-pt jump shot from 26 ft (assist by K. Walker),,20,11
1,7:00.0,,Cleveland full timeout,20,11
1,6:36.0,,C. Sexton misses 3-pt jump shot from 25 ft (block by M. Bridges),20,11
1,6:33.0,Defensive rebound by N. Batum,,20,11
1,6:27.0,K. Walker makes 3-pt jump shot from 27 ft,,23,11
1,6:14.0,,B. Knight makes 3-pt jump shot from 25 ft (assist by L. Nance),23,14
1,5:59.0,K. Walker misses 3-pt jump shot from 26 ft,,23,14
1,5:56.0,,Defensive rebound by A. Žižić,23,14
1,5:45.0,,C. Sexton makes 3-pt jump shot from 29 ft (assist by B. Knight),23,17
1,5:34.0,K. Walker misses 2-pt layup from 3 ft (block by L. Nance),,23,17
1,5:34.0,Offensive rebound by Team,,23,17
1,5:34.0,F. Kaminsky enters the game for N. Batum,,23,17
1,5:34.0,J. Lamb enters the game for B. Biyombo,,23,17
1,5:34.0,,M. Chriss enters the game for B. Knight,23,17
1,5:34.0,,J. Clarkson enters the game for A. Žižić,23,17
1,5:31.0,Turnover by J. Lamb (bad pass; steal by M. Chriss),,23,17
1,5:25.0,,M. Chriss makes 2-pt dunk from 2 ft,23,19
1,5:08.0,Offensive foul by K. Walker (drawn by C. Sexton),,23,19
1,5:08.0,Turnover by K. Walker (offensive foul),,23,19
1,4:56.0,,M. Chriss misses 3-pt jump shot from 26 ft,23,19
1,4:54.0,Defensive rebound by M. Bridges,,23,19
1,4:43.0,D. Bacon makes 2-pt layup from 1 ft (assist by J. Lamb),,25,19
1,4:32.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by J. Clarkson),25,22
1,4:17.0,J. Lamb misses 3-pt jump shot from 28 ft,,25,22
1,4:15.0,Offensive rebound by M. Bridges,,25,22
1,4:06.0,M. Bridges makes 2-pt layup from 1 ft (assist by J. Lamb),,27,22
1,3:54.0,,M. Chriss misses 2-pt layup from 1 ft (block by M. Bridges),27,22
1,3:48.0,Defensive rebound by K. Walker,,27,22
1,3:46.0,K. Walker misses 3-pt jump shot from 26 ft,,27,22
1,3:42.0,,Defensive rebound by L. Nance,27,22
1,3:20.0,,M. Chriss misses 3-pt jump shot from 27 ft,27,22
1,3:17.0,,Offensive rebound by L. Nance,27,22
1,3:16.0,,L. Nance makes 2-pt layup from 2 ft,27,24
1,3:11.0,Charlotte full timeout,,27,24
1,3:11.0,N. Batum enters the game for D. Bacon,,27,24
1,3:11.0,D. Graham enters the game for M. Bridges,,27,24
1,3:11.0,M. Monk enters the game for K. Walker,,27,24
1,3:11.0,,D. Nwaba enters the game for L. Nance,27,24
1,3:00.0,F. Kaminsky misses 2-pt jump shot from 12 ft,,27,24
1,2:57.0,,Defensive rebound by M. Chriss,27,24
1,2:50.0,,J. Clarkson makes 3-pt jump shot from 26 ft,27,27
1,2:35.0,J. Lamb misses 3-pt jump shot from 23 ft,,27,27
1,2:35.0,Offensive rebound by Team,,27,27
1,2:31.0,J. Lamb makes 2-pt jump shot from 17 ft (assist by D. Graham),,29,27
1,2:08.0,,J. Clarkson misses 2-pt jump shot from 16 ft,29,27
1,2:06.0,,Offensive rebound by J. Clarkson,29,27
1,2:03.0,,J. Clarkson makes 2-pt layup from 1 ft,29,29
1,1:51.0,D. Graham misses 3-pt jump shot from 25 ft,,29,29
1,1:49.0,,Defensive rebound by M. Chriss,29,29
1,1:33.0,,C. Sexton misses 3-pt jump shot from 28 ft,29,29
1,1:31.0,Defensive rebound by N. Batum,,29,29
1,1:27.0,Shooting foul by D. Nwaba (drawn by J. Lamb),,29,29
1,1:27.0,J. Lamb makes free throw 1 of 2,,30,29
1,1:27.0,,B. Knight enters the game for C. Osman,30,29
1,1:27.0,,N. Stauskas enters the game for C. Sexton,30,29
1,1:27.0,J. Lamb makes free throw 2 of 2,,31,29
1,1:14.0,,Personal foul by F. Kaminsky (drawn by J. Clarkson),31,29
1,1:05.0,,Turnover by J. Clarkson (bad pass; steal by M. Monk),31,29
1,1:01.0,J. Lamb makes 2-pt layup from 2 ft (assist by M. Monk),,33,29
1,0:49.0,,B. Knight misses 2-pt jump shot from 10 ft,33,29
1,0:46.0,Defensive rebound by N. Batum,,33,29
1,0:41.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,33,29
1,0:38.0,,Defensive rebound by D. Nwaba,33,29
1,0:32.0,,M. Chriss misses 3-pt jump shot from 23 ft,33,29
1,0:30.0,Defensive rebound by J. Lamb,,33,29
1,0:09.0,M. Monk misses 3-pt jump shot from 26 ft,,33,29
1,0:06.0,,Defensive rebound by N. Stauskas,33,29
1,0:01.0,,N. Stauskas misses 2-pt layup from 1 ft,33,29
1,0:00.0,,Offensive rebound by M. Chriss,33,29
1,0:00.0,,M. Chriss makes 2-pt layup from 1 ft,33,31
2,11:41.0,,M. Chriss misses 2-pt jump shot from 15 ft,33,31
2,11:38.0,Defensive rebound by M. Monk,,33,31
2,11:30.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by M. Monk),,36,31
2,11:13.0,,M. Chriss misses 2-pt layup from 1 ft (block by M. Monk),36,31
2,11:10.0,Defensive rebound by N. Batum,,36,31
2,11:07.0,M. Monk makes 2-pt layup from 2 ft,,38,31
2,11:07.0,,Cleveland full timeout,38,31
2,11:07.0,,C. Frye enters the game for M. Chriss,38,31
2,10:45.0,,B. Knight misses 2-pt jump shot from 19 ft,38,31
2,10:42.0,Defensive rebound by F. Kaminsky,,38,31
2,10:38.0,J. Lamb makes 2-pt jump shot from 18 ft,,40,31
2,10:21.0,,J. Clarkson misses 3-pt jump shot from 26 ft,40,31
2,10:15.0,Defensive rebound by D. Graham,,40,31
2,10:10.0,Offensive foul by F. Kaminsky (drawn by B. Knight),,40,31
2,10:10.0,Turnover by F. Kaminsky (offensive foul),,40,31
2,9:58.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by J. Clarkson),40,34
2,9:39.0,Personal foul by J. Clarkson (drawn by F. Kaminsky),,40,34
2,9:33.0,M. Monk misses 3-pt jump shot from 25 ft,,40,34
2,9:31.0,,Defensive rebound by B. Knight,40,34
2,9:13.0,,Turnover by C. Frye (lost ball; steal by F. Kaminsky),40,34
2,9:12.0,Personal take foul by C. Frye (drawn by D. Graham),,40,34
2,9:12.0,K. Walker enters the game for D. Graham,,40,34
2,9:12.0,,L. Nance enters the game for D. Nwaba,40,34
2,9:02.0,K. Walker makes 2-pt jump shot from 16 ft,,42,34
2,8:39.0,,J. Clarkson makes 2-pt layup from 1 ft,42,36
2,8:21.0,K. Walker misses 2-pt jump shot from 19 ft,,42,36
2,8:19.0,,Defensive rebound by L. Nance,42,36
2,8:10.0,,C. Frye misses 2-pt jump shot from 10 ft,42,36
2,8:09.0,,Offensive rebound by L. Nance,42,36
2,8:09.0,,L. Nance misses 2-pt layup from 1 ft,42,36
2,8:03.0,Defensive rebound by F. Kaminsky,,42,36
2,8:00.0,K. Walker makes 2-pt layup from 2 ft,,44,36
2,7:47.0,,B. Knight makes 3-pt jump shot from 25 ft,44,39
2,7:30.0,Turnover by K. Walker (bad pass),,44,39
2,7:30.0,D. Bacon enters the game for N. Batum,,44,39
2,7:30.0,B. Biyombo enters the game for F. Kaminsky,,44,39
2,7:30.0,M. Bridges enters the game for J. Lamb,,44,39
2,7:30.0,,C. Sexton enters the game for J. Clarkson,44,39
2,7:30.0,,A. Žižić enters the game for C. Frye,44,39
2,7:15.0,,B. Knight misses 2-pt jump shot from 10 ft,44,39
2,7:12.0,Defensive rebound by B. Biyombo,,44,39
2,6:56.0,K. Walker misses 3-pt jump shot from 25 ft,,44,39
2,6:54.0,,Defensive rebound by B. Knight,44,39
2,6:53.0,,Flagrant foul type 1 by K. Walker (drawn by L. Nance),44,39
2,6:53.0,,L. Nance makes flagrant free throw 1 of 2,44,40
2,6:53.0,,L. Nance makes flagrant free throw 2 of 2,44,41
2,6:53.0,,C. Osman enters the game for N. Stauskas,44,41
2,6:45.0,,Shooting foul by M. Monk (drawn by C. Osman),44,41
2,6:45.0,,C. Osman misses free throw 1 of 2,44,41
2,6:45.0,,Offensive rebound by Team,44,41
2,6:45.0,,C. Osman makes free throw 2 of 2,44,42
2,6:26.0,D. Bacon misses 2-pt jump shot from 10 ft,,44,42
2,6:24.0,,Defensive rebound by B. Knight,44,42
2,6:22.0,,Personal foul by D. Bacon (drawn by B. Knight),44,42
2,6:22.0,J. Lamb enters the game for M. Monk,,44,42
2,6:13.0,,C. Sexton makes 2-pt layup at rim,44,44
2,6:13.0,Charlotte full timeout,,44,44
2,6:02.0,Personal foul by B. Knight (drawn by B. Biyombo),,44,44
2,5:55.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by K. Walker),,47,44
2,5:31.0,,Turnover by L. Nance (out of bounds lost ball),47,44
2,5:15.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by K. Walker),,50,44
2,4:52.0,,L. Nance makes 2-pt hook shot from 7 ft (assist by C. Sexton),50,46
2,4:38.0,J. Lamb makes 2-pt layup from 1 ft (assist by M. Bridges),,52,46
2,4:24.0,,C. Sexton makes 2-pt layup at rim,52,48
2,4:16.0,K. Walker makes 2-pt layup from 1 ft,,54,48
2,3:50.0,,B. Knight misses 3-pt jump shot from 26 ft (block by J. Lamb),54,48
2,3:49.0,,Offensive rebound by B. Knight,54,48
2,3:49.0,,B. Knight misses 2-pt jump shot from 18 ft,54,48
2,3:49.0,Defensive rebound by Team,,54,48
2,3:49.0,,J. Clarkson enters the game for B. Knight,54,48
2,3:49.0,,D. Nwaba enters the game for A. Žižić,54,48
2,3:34.0,Turnover by B. Biyombo (out of bounds lost ball),,54,48
2,3:25.0,,C. Sexton misses 2-pt jump shot from 14 ft,54,48
2,3:21.0,Defensive rebound by M. Bridges,,54,48
2,3:18.0,D. Bacon makes 3-pt jump shot from 25 ft (assist by K. Walker),,57,48
2,3:02.0,,D. Nwaba misses 2-pt jump shot from 10 ft,57,48
2,3:00.0,Defensive rebound by J. Lamb,,57,48
2,2:47.0,Personal foul by C. Sexton (drawn by K. Walker),,57,48
2,2:47.0,F. Kaminsky enters the game for B. Biyombo,,57,48
2,2:34.0,Turnover by F. Kaminsky (traveling),,57,48
2,2:17.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by C. Osman),57,51
2,2:01.0,K. Walker makes 2-pt jump shot from 19 ft (assist by F. Kaminsky),,59,51
2,1:44.0,,C. Sexton misses 3-pt jump shot from 27 ft,59,51
2,1:41.0,Defensive rebound by F. Kaminsky,,59,51
2,1:38.0,Personal foul by C. Osman (drawn by K. Walker),,59,51
2,1:38.0,K. Walker makes free throw 1 of 2,,60,51
2,1:38.0,K. Walker misses free throw 2 of 2,,60,51
2,1:35.0,,Defensive rebound by D. Nwaba,60,51
2,1:26.0,,J. Clarkson misses 3-pt jump shot from 26 ft,60,51
2,1:21.0,,Offensive rebound by C. Osman,60,51
2,1:14.0,,Turnover by C. Sexton (bad pass; steal by J. Lamb),60,51
2,1:07.0,Shooting foul by L. Nance (drawn by F. Kaminsky),,60,51
2,1:07.0,Offensive rebound by Team,,60,51
2,1:07.0,F. Kaminsky misses free throw 1 of 2,,60,51
2,1:07.0,F. Kaminsky misses free throw 2 of 2,,60,51
2,1:02.0,,Defensive rebound by L. Nance,60,51
2,0:48.0,,C. Osman misses 3-pt jump shot from 27 ft,60,51
2,0:46.0,,Offensive rebound by L. Nance,60,51
2,0:42.0,,C. Sexton misses 2-pt jump shot from 8 ft,60,51
2,0:42.0,Defensive rebound by M. Bridges,,60,51
2,0:42.0,Personal foul by D. Nwaba (drawn by M. Bridges),,60,51
2,0:42.0,M. Bridges misses free throw 1 of 2,,60,51
2,0:42.0,Offensive rebound by Team,,60,51
2,0:42.0,N. Batum enters the game for F. Kaminsky,,60,51
2,0:42.0,M. Bridges makes free throw 2 of 2,,61,51
2,0:38.0,,Shooting foul by D. Bacon (drawn by C. Sexton),61,51
2,0:38.0,,C. Sexton misses free throw 1 of 2,61,51
2,0:38.0,,Offensive rebound by Team,61,51
2,0:38.0,F. Kaminsky enters the game for N. Batum,,61,51
2,0:38.0,,C. Sexton makes free throw 2 of 2,61,52
2,0:31.0,K. Walker makes 3-pt jump shot from 30 ft,,64,52
2,0:13.0,,J. Clarkson makes 2-pt layup from 1 ft,64,54
2,0:04.0,M. Bridges misses 2-pt layup from 3 ft (block by L. Nance),,64,54
2,0:04.0,,Defensive rebound by D. Nwaba,64,54
2,0:00.0,,C. Sexton makes 2-pt layup at rim (assist by J. Clarkson),64,56
3,11:34.0,,C. Sexton misses 3-pt jump shot from 25 ft,64,56
3,11:31.0,Defensive rebound by B. Biyombo,,64,56
3,11:22.0,K. Walker misses 3-pt jump shot from 25 ft,,64,56
3,11:19.0,,Defensive rebound by C. Osman,64,56
3,10:57.0,,C. Osman makes 2-pt layup from 2 ft,64,58
3,10:39.0,Personal foul by B. Knight (drawn by D. Bacon),,64,58
3,10:33.0,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Bridges),,67,58
3,10:12.0,,Turnover by C. Sexton (traveling),67,58
3,9:54.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by D. Bacon),,70,58
3,9:38.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by A. Žižić),70,61
3,9:21.0,D. Bacon makes 2-pt jump shot from 9 ft,,72,61
3,9:00.0,,C. Osman misses 3-pt jump shot from 26 ft,72,61
3,8:57.0,Defensive rebound by M. Bridges,,72,61
3,8:45.0,N. Batum misses 2-pt jump shot from 21 ft,,72,61
3,8:41.0,,Defensive rebound by L. Nance,72,61
3,8:41.0,,C. Sexton makes 2-pt layup from 11 ft (assist by L. Nance),72,63
3,8:41.0,Violation by Team (def goaltending),,72,63
3,8:19.0,K. Walker misses 3-pt jump shot from 26 ft,,72,63
3,8:17.0,Offensive rebound by N. Batum,,72,63
3,8:14.0,K. Walker misses 2-pt jump shot from 18 ft,,72,63
3,8:11.0,,Defensive rebound by A. Žižić,72,63
3,7:59.0,,L. Nance misses 2-pt jump shot from 10 ft,72,63
3,7:57.0,Defensive rebound by B. Biyombo,,72,63
3,7:44.0,M. Bridges misses 3-pt jump shot from 23 ft,,72,63
3,7:38.0,,Defensive rebound by C. Sexton,72,63
3,7:30.0,,A. Žižić makes 2-pt layup from 1 ft (assist by C. Sexton),72,65
3,7:30.0,Charlotte full timeout,,72,65
3,7:30.0,J. Lamb enters the game for N. Batum,,72,65
3,7:11.0,J. Lamb misses 2-pt jump shot from 16 ft,,72,65
3,7:08.0,,Defensive rebound by C. Osman,72,65
3,7:00.0,,Turnover by B. Knight (out of bounds lost ball),72,65
3,6:42.0,K. Walker makes 3-pt jump shot from 26 ft (assist by J. Lamb),,75,65
3,6:23.0,,A. Žižić misses 2-pt layup from 3 ft (block by M. Bridges),75,65
3,6:19.0,Defensive rebound by B. Biyombo,,75,65
3,6:09.0,M. Bridges misses 2-pt layup from 2 ft,,75,65
3,6:05.0,,Defensive rebound by L. Nance,75,65
3,5:45.0,,B. Knight misses 3-pt jump shot from 26 ft,75,65
3,5:45.0,Defensive rebound by Team,,75,65
3,5:45.0,,Loose ball foul by L. Nance (drawn by K. Walker),75,65
3,5:45.0,,M. Chriss enters the game for B. Knight,75,65
3,5:45.0,,J. Clarkson enters the game for A. Žižić,75,65
3,5:23.0,D. Bacon misses 3-pt jump shot from 27 ft,,75,65
3,5:20.0,,Defensive rebound by L. Nance,75,65
3,5:06.0,,C. Osman makes 2-pt jump shot from 10 ft (assist by L. Nance),75,67
3,4:49.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by B. Biyombo),,78,67
3,4:23.0,,Turnover by C. Sexton (lost ball; steal by D. Bacon),78,67
3,4:20.0,D. Bacon makes 2-pt dunk from 1 ft (assist by K. Walker),,80,67
3,4:20.0,,Cleveland full timeout,80,67
3,4:20.0,D. Graham enters the game for D. Bacon,,80,67
3,4:20.0,F. Kaminsky enters the game for B. Biyombo,,80,67
3,4:04.0,,L. Nance misses 3-pt jump shot from 25 ft,80,67
3,4:01.0,,Offensive rebound by M. Chriss,80,67
3,3:55.0,,M. Chriss misses 2-pt layup from 1 ft,80,67
3,3:50.0,,Offensive rebound by M. Chriss,80,67
3,3:50.0,,M. Chriss makes 2-pt layup at rim,80,69
3,3:30.0,K. Walker misses 3-pt jump shot from 26 ft,,80,69
3,3:26.0,,Defensive rebound by M. Chriss,80,69
3,3:23.0,,C. Osman makes 2-pt layup from 2 ft (assist by L. Nance),80,71
3,3:02.0,Personal foul by J. Clarkson (drawn by D. Graham),,80,71
3,3:02.0,,D. Nwaba enters the game for L. Nance,80,71
3,2:51.0,J. Lamb misses 3-pt jump shot from 27 ft,,80,71
3,2:48.0,Offensive rebound by D. Graham,,80,71
3,2:45.0,D. Graham misses 2-pt jump shot from 12 ft,,80,71
3,2:43.0,Offensive rebound by F. Kaminsky,,80,71
3,2:40.0,M. Bridges makes 2-pt layup at rim (assist by J. Lamb),,82,71
3,2:40.0,Shooting foul by D. Nwaba (drawn by M. Bridges),,82,71
3,2:40.0,M. Monk enters the game for K. Walker,,82,71
3,2:40.0,,N. Stauskas enters the game for C. Osman,82,71
3,2:40.0,M. Bridges makes free throw 1 of 1,,83,71
3,2:26.0,,J. Clarkson makes 2-pt jump shot from 5 ft,83,73
3,2:13.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by D. Graham),,86,73
3,1:49.0,,J. Clarkson misses 2-pt jump shot from 10 ft,86,73
3,1:43.0,,Offensive rebound by J. Clarkson,86,73
3,1:43.0,,J. Clarkson misses 2-pt layup at rim,86,73
3,1:41.0,Defensive rebound by J. Lamb,,86,73
3,1:39.0,D. Graham makes 2-pt layup at rim (assist by M. Bridges),,88,73
3,1:18.0,,C. Sexton makes 2-pt jump shot from 14 ft (assist by M. Chriss),88,75
3,0:58.0,Personal foul by D. Nwaba (drawn by F. Kaminsky),,88,75
3,0:58.0,F. Kaminsky makes free throw 1 of 2,,89,75
3,0:58.0,N. Batum enters the game for M. Bridges,,89,75
3,0:58.0,,B. Knight enters the game for C. Sexton,89,75
3,0:58.0,F. Kaminsky makes free throw 2 of 2,,90,75
3,0:48.0,,Offensive foul by D. Nwaba (drawn by J. Lamb),90,75
3,0:48.0,,Turnover by D. Nwaba (offensive foul),90,75
3,0:33.0,D. Graham misses 3-pt jump shot from 31 ft,,90,75
3,0:30.0,,Defensive rebound by D. Nwaba,90,75
3,0:22.0,,Turnover by N. Stauskas (lost ball; steal by J. Lamb),90,75
3,0:17.0,M. Monk misses 3-pt jump shot from 26 ft,,90,75
3,0:15.0,,Defensive rebound by D. Nwaba,90,75
3,0:14.0,,Personal take foul by J. Lamb (drawn by D. Nwaba),90,75
3,0:14.0,M. Bridges enters the game for F. Kaminsky,,90,75
3,0:02.0,,J. Clarkson misses 2-pt layup from 4 ft,90,75
3,0:01.0,Defensive rebound by M. Bridges,,90,75
4,11:48.0,F. Kaminsky makes 2-pt layup at rim (assist by J. Lamb),,92,75
4,11:28.0,,J. Clarkson makes 2-pt layup from 1 ft,92,77
4,11:12.0,J. Lamb makes 2-pt layup at rim (assist by F. Kaminsky),,94,77
4,10:54.0,,N. Stauskas misses 2-pt layup from 1 ft,94,77
4,10:52.0,Defensive rebound by F. Kaminsky,,94,77
4,10:41.0,Turnover by F. Kaminsky (out of bounds lost ball),,94,77
4,10:20.0,,M. Chriss makes 2-pt jump shot from 12 ft (assist by B. Knight),94,79
4,10:06.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by D. Graham),,97,79
4,9:53.0,,Turnover by B. Knight (lost ball; steal by J. Lamb),97,79
4,9:51.0,J. Lamb makes 2-pt dunk at rim (assist by M. Monk),,99,79
4,9:51.0,,Cleveland full timeout,99,79
4,9:51.0,,L. Nance enters the game for D. Nwaba,99,79
4,9:51.0,,C. Osman enters the game for N. Stauskas,99,79
4,9:41.0,,Turnover by J. Clarkson (out of bounds lost ball),99,79
4,9:27.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),,102,79
4,9:01.0,,Turnover by C. Osman (bad pass; steal by D. Graham),102,79
4,8:46.0,M. Monk misses 3-pt jump shot from 26 ft,,102,79
4,8:42.0,,Defensive rebound by M. Chriss,102,79
4,8:37.0,,Personal foul by M. Monk (drawn by B. Knight),102,79
4,8:37.0,,C. Sexton enters the game for M. Chriss,102,79
4,8:37.0,,A. Žižić enters the game for J. Clarkson,102,79
4,8:28.0,,C. Osman makes 2-pt jump shot from 6 ft (assist by L. Nance),102,81
4,8:12.0,Shooting foul by A. Žižić (drawn by F. Kaminsky),,102,81
4,8:12.0,F. Kaminsky makes free throw 1 of 2,,103,81
4,8:12.0,D. Bacon enters the game for J. Lamb,,103,81
4,8:12.0,F. Kaminsky makes free throw 2 of 2,,104,81
4,7:54.0,,C. Osman makes 2-pt layup from 2 ft (assist by L. Nance),104,83
4,7:37.0,D. Graham makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),,107,83
4,7:14.0,,C. Sexton misses 3-pt jump shot from 25 ft,107,83
4,7:09.0,,Offensive rebound by L. Nance,107,83
4,7:06.0,,C. Osman misses 3-pt jump shot from 25 ft,107,83
4,7:03.0,,Offensive rebound by L. Nance,107,83
4,6:50.0,,L. Nance misses 2-pt jump shot from 8 ft,107,83
4,6:47.0,Defensive rebound by N. Batum,,107,83
4,6:36.0,Shooting foul by L. Nance (drawn by F. Kaminsky),,107,83
4,6:36.0,F. Kaminsky makes free throw 1 of 2,,108,83
4,6:36.0,F. Kaminsky makes free throw 2 of 2,,109,83
4,6:22.0,,L. Nance misses 3-pt jump shot from 22 ft,109,83
4,6:19.0,,Offensive rebound by A. Žižić,109,83
4,6:17.0,,A. Žižić misses 2-pt jump shot from 7 ft,109,83
4,6:17.0,,Offensive rebound by Team,109,83
4,6:17.0,Loose ball foul by F. Kaminsky (drawn by C. Sexton),,109,83
4,6:17.0,B. Biyombo enters the game for F. Kaminsky,,109,83
4,6:06.0,,Turnover by C. Sexton (bad pass; steal by M. Monk),109,83
4,6:01.0,Turnover by M. Monk (bad pass; steal by L. Nance),,109,83
4,5:56.0,,Personal foul by B. Biyombo (drawn by A. Žižić),109,83
4,5:47.0,,C. Sexton makes 2-pt jump shot from 13 ft,109,85
4,5:30.0,Offensive foul by B. Biyombo (drawn by B. Knight),,109,85
4,5:30.0,Turnover by B. Biyombo (offensive foul),,109,85
4,5:12.0,,L. Nance makes 2-pt dunk from 2 ft (assist by C. Sexton),109,87
4,5:12.0,Charlotte full timeout,,109,87
4,4:48.0,D. Graham misses 2-pt jump shot from 12 ft,,109,87
4,4:45.0,,Defensive rebound by L. Nance,109,87
4,4:40.0,Violation by Team (kicked ball),,109,87
4,4:28.0,,Turnover by L. Nance (bad pass),109,87
4,4:08.0,D. Bacon misses 3-pt jump shot from 26 ft,,109,87
4,4:08.0,,Defensive rebound by Team,109,87
4,4:08.0,,D. Adel enters the game for B. Knight,109,87
4,4:08.0,,C. Frye enters the game for A. Žižić,109,87
4,3:54.0,,C. Frye makes 2-pt jump shot from 18 ft (assist by C. Sexton),109,89
4,3:32.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by M. Monk),,111,89
4,3:13.0,,C. Frye makes 3-pt jump shot from 28 ft (assist by C. Sexton),111,92
4,3:02.0,Charlotte full timeout,,111,92
4,3:02.0,W. Hernangómez enters the game for D. Bacon,,111,92
4,3:02.0,J. Macura enters the game for B. Biyombo,,111,92
4,2:51.0,D. Graham misses 3-pt jump shot from 25 ft,,111,92
4,2:46.0,Offensive rebound by M. Monk,,111,92
4,2:42.0,D. Graham makes 2-pt layup from 1 ft (assist by N. Batum),,113,92
4,2:21.0,,Shooting foul by M. Monk (drawn by C. Frye),113,92
4,2:21.0,,C. Frye makes free throw 1 of 2,113,93
4,2:21.0,,C. Frye makes free throw 2 of 2,113,94
4,2:07.0,M. Monk makes 3-pt jump shot from 26 ft (assist by W. Hernangómez),,116,94
4,1:48.0,,C. Frye misses 2-pt jump shot from 9 ft,116,94
4,1:46.0,Defensive rebound by W. Hernangómez,,116,94
4,1:44.0,J. Macura makes 2-pt layup from 1 ft (assist by D. Graham),,118,94
4,1:39.0,,C. Sexton misses 2-pt layup from 3 ft (block by M. Monk),118,94
4,1:34.0,Defensive rebound by J. Macura,,118,94
4,1:21.0,D. Graham makes 3-pt jump shot from 27 ft,,121,94
4,1:04.0,,C. Frye misses 3-pt jump shot from 29 ft,121,94
4,1:00.0,Defensive rebound by M. Monk,,121,94
4,0:54.0,W. Hernangómez misses 3-pt jump shot from 25 ft,,121,94
4,0:53.0,,Defensive rebound by Team,121,94
4,0:35.0,,C. Frye makes 3-pt jump shot from 27 ft (assist by C. Sexton),121,97
4,0:31.0,Personal take foul by C. Osman (drawn by D. Graham),,121,97
4,0:31.0,,A. Žižić enters the game for C. Frye,121,97
4,0:26.0,M. Monk makes 3-pt jump shot from 30 ft (assist by D. Graham),,124,97
4,0:00.0,,C. Sexton misses 3-pt jump shot from 29 ft,124,97
4,0:00.0,Defensive rebound by W. Hernangómez,,124,97
