QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
1,5:43.0,B. Griffin misses 2-pt layup at rim,,3,11
1,5:42.0,Offensive rebound by B. Griffin,,3,11
1,5:40.0,B. Griffin misses 2-pt layup at rim,,3,11
1,5:40.0,,Defensive rebound by P. Millsap,3,11
1,5:36.0,,W. Barton misses 3-pt jump shot from 22 ft,3,11
1,5:31.0,,N. Jokić makes 2-pt layup from 1 ft,3,13
1,5:31.0,,Offensive rebound by N. Jokić,3,13
1,5:21.0,B. Griffin misses 3-pt jump shot from 25 ft,,3,13
1,5:20.0,Offensive rebound by B. Griffin,,3,13
1,5:18.0,B. Griffin makes 2-pt layup from 2 ft,,5,13
1,5:17.0,,Denver full timeout,5,13
1,5:17.0,L. Galloway enters the game for B. Brown,,5,13
1,5:17.0,Z. Pachulia enters the game for B. Griffin,,5,13
1,5:17.0,,M. Morris enters the game for P. Millsap,5,13
1,5:17.0,,M. Plumlee enters the game for J. Murray,5,13
1,5:02.0,,N. Jokić makes 2-pt jump shot from 9 ft (assist by G. Harris),5,15
1,4:42.0,L. Kennard misses 2-pt jump shot from 13 ft,,5,15
1,4:40.0,,Defensive rebound by M. Plumlee,5,15
1,4:36.0,,M. Morris misses 3-pt jump shot from 24 ft,5,15
1,4:32.0,Defensive rebound by I. Smith,,5,15
1,4:22.0,I. Smith misses 2-pt jump shot from 12 ft,,5,15
1,4:19.0,,Defensive rebound by G. Harris,5,15
1,3:59.0,,N. Jokić misses 2-pt layup from 3 ft,5,15
1,3:55.0,,M. Plumlee makes 2-pt dunk from 1 ft,5,17
1,3:55.0,,Offensive rebound by M. Plumlee,5,17
1,3:39.0,L. Galloway makes 2-pt layup from 2 ft (assist by T. Maker),,7,17
1,3:24.0,,Shooting foul by T. Maker (drawn by N. Jokić),7,17
1,3:24.0,,N. Jokić makes free throw 1 of 2,7,18
1,3:24.0,,T. Craig enters the game for W. Barton,7,18
1,3:24.0,,N. Jokić makes free throw 2 of 2,7,19
1,3:11.0,Turnover by L. Kennard (out of bounds lost ball),,7,19
1,3:11.0,,P. Millsap enters the game for G. Harris,7,19
1,3:11.0,,J. Murray enters the game for N. Jokić,7,19
1,2:53.0,,M. Morris makes 2-pt jump shot from 10 ft (assist by M. Plumlee),7,21
1,2:36.0,L. Kennard misses 2-pt jump shot from 18 ft,,7,21
1,2:33.0,,Defensive rebound by M. Plumlee,7,21
1,2:29.0,,Shooting foul by T. Maker (drawn by J. Murray),7,21
1,2:29.0,,J. Murray makes free throw 1 of 2,7,22
1,2:29.0,,J. Murray makes free throw 2 of 2,7,23
1,2:07.0,T. Maker misses 3-pt jump shot from 22 ft,,7,23
1,2:04.0,,Defensive rebound by T. Craig,7,23
1,1:53.0,,P. Millsap misses 2-pt hook shot from 6 ft,7,23
1,1:48.0,Defensive rebound by Z. Pachulia,,7,23
1,1:39.0,I. Smith misses 2-pt layup from 4 ft,,7,23
1,1:32.0,Z. Pachulia makes 2-pt layup at rim,,9,23
1,1:32.0,Offensive rebound by Z. Pachulia,,9,23
1,1:16.0,,J. Murray makes 2-pt jump shot from 14 ft,9,25
1,0:58.0,L. Galloway misses 3-pt jump shot from 23 ft,,9,25
1,0:55.0,,Defensive rebound by M. Plumlee,9,25
1,0:51.0,,J. Murray misses 3-pt jump shot from 25 ft,9,25
1,0:47.0,Defensive rebound by I. Smith,,9,25
1,0:37.0,Z. Pachulia misses 2-pt jump shot from 18 ft,,9,25
1,0:34.0,,Defensive rebound by T. Craig,9,25
1,0:27.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),9,27
1,0:06.0,L. Kennard misses 2-pt jump shot from 18 ft,,9,27
1,0:03.0,,Defensive rebound by P. Millsap,9,27
1,0:00.0,,P. Millsap misses 2-pt layup from 11 ft,9,27
1,0:00.0,,Offensive rebound by Team,9,27
2,11:52.0,,Personal foul by L. Galloway (drawn by J. Murray),9,27
2,11:46.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by J. Murray),9,29
2,11:38.0,Shooting foul by M. Plumlee (drawn by A. Drummond),,9,29
2,11:38.0,A. Drummond makes free throw 1 of 2,,10,29
2,11:38.0,A. Drummond makes free throw 2 of 2,,11,29
2,11:22.0,,Shooting foul by L. Galloway (drawn by J. Murray),11,29
2,11:22.0,,J. Murray makes free throw 1 of 2,11,30
2,11:22.0,,J. Murray makes free throw 2 of 2,11,31
2,11:10.0,L. Kennard makes 2-pt jump shot from 17 ft,,13,31
2,10:53.0,,J. Murray makes 2-pt jump shot from 22 ft (assist by M. Plumlee),13,33
2,10:36.0,A. Drummond misses 2-pt hook shot from 3 ft,,13,33
2,10:35.0,,Defensive rebound by M. Plumlee,13,33
2,10:26.0,,J. Murray makes 2-pt jump shot from 13 ft (assist by P. Millsap),13,35
2,10:21.0,Detroit full timeout,,13,35
2,10:21.0,W. Ellington enters the game for L. Galloway,,13,35
2,10:21.0,B. Griffin enters the game for T. Maker,,13,35
2,10:21.0,R. Jackson enters the game for I. Smith,,13,35
2,10:11.0,B. Griffin makes 2-pt hook shot from 5 ft,,15,35
2,9:52.0,,J. Murray misses 3-pt jump shot from 25 ft,15,35
2,9:50.0,,Offensive rebound by M. Plumlee,15,35
