QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
2,6:41.0,Defensive rebound by C. Hutchison,,36,41
2,6:31.0,Z. LaVine misses 2-pt layup from 5 ft (block by C. Diallo),,36,41
2,6:30.0,,Defensive rebound by J. Holiday,36,41
2,6:30.0,,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),36,43
2,6:30.0,,Shooting foul by C. Hutchison (drawn by E. Moore),36,43
2,6:30.0,,New Orleans full timeout,36,43
2,6:30.0,W. Carter enters the game for R. Arcidiacono,,36,43
2,6:30.0,J. Holiday enters the game for A. Blakeney,,36,43
2,6:30.0,J. Parker enters the game for C. Felício,,36,43
2,6:30.0,C. Payne enters the game for C. Hutchison,,36,43
2,6:30.0,,A. Davis enters the game for C. Diallo,36,43
2,6:30.0,,N. Mirotić enters the game for J. Randle,36,43
2,6:30.0,,E. Moore makes free throw 1 of 1,36,44
2,6:08.0,Turnover by Z. LaVine (lost ball; steal by J. Holiday),,36,44
2,6:04.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),36,46
2,6:04.0,Chicago full timeout,,36,46
2,5:56.0,J. Parker misses 2-pt layup from 2 ft (block by E. Moore),,36,46
2,5:56.0,Offensive rebound by Team,,36,46
2,5:49.0,J. Parker misses 3-pt jump shot from 25 ft,,36,46
2,5:45.0,,Defensive rebound by A. Davis,36,46
2,5:28.0,,N. Mirotić makes 2-pt jump shot from 18 ft (assist by A. Davis),36,48
2,5:15.0,Z. LaVine makes 2-pt layup from 2 ft,,38,48
2,4:55.0,,E. Moore misses 3-pt jump shot from 24 ft,38,48
2,4:52.0,Defensive rebound by J. Parker,,38,48
2,4:43.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by C. Payne),,41,48
2,4:26.0,,D. Miller misses 2-pt jump shot from 16 ft,41,48
2,4:24.0,Defensive rebound by W. Carter,,41,48
2,4:19.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,43,48
2,4:08.0,Violation by Team (kicked ball),,43,48
2,4:08.0,,K. Williams enters the game for D. Miller,43,48
2,4:01.0,,A. Davis makes 2-pt layup from 8 ft,43,50
2,4:01.0,,Shooting foul by W. Carter (drawn by A. Davis),43,50
2,4:01.0,,A. Davis makes free throw 1 of 1,43,51
2,3:45.0,Z. LaVine misses 2-pt layup from 3 ft,,43,51
2,3:41.0,,Defensive rebound by A. Davis,43,51
2,3:38.0,,Turnover by A. Davis (bad pass),43,51
2,3:30.0,C. Payne misses 3-pt jump shot from 26 ft,,43,51
2,3:26.0,,Defensive rebound by N. Mirotić,43,51
2,3:26.0,R. Arcidiacono enters the game for C. Payne,,43,51
2,3:13.0,,Turnover by A. Davis (lost ball; steal by J. Holiday),43,51
2,3:07.0,Turnover by J. Parker (bad pass),,43,51
2,2:50.0,,A. Davis makes 2-pt jump shot from 4 ft,43,53
2,2:31.0,W. Carter misses 2-pt jump shot from 20 ft,,43,53
2,2:28.0,,Defensive rebound by N. Mirotić,43,53
2,2:14.0,,E. Moore misses 3-pt jump shot from 24 ft,43,53
2,2:11.0,Defensive rebound by J. Parker,,43,53
2,2:06.0,J. Holiday misses 3-pt jump shot from 23 ft,,43,53
2,2:00.0,,Defensive rebound by A. Davis,43,53
2,1:48.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by E. Moore),43,55
2,1:34.0,Z. LaVine misses 3-pt jump shot from 27 ft,,43,55
2,1:34.0,Offensive rebound by W. Carter,,43,55
2,1:27.0,W. Carter makes 3-pt jump shot from 25 ft (assist by J. Holiday),,46,55
2,1:15.0,,N. Mirotić misses 3-pt jump shot from 26 ft,46,55
2,1:11.0,Defensive rebound by W. Carter,,46,55
2,1:05.0,J. Parker makes 2-pt jump shot from 4 ft,,48,55
2,0:50.0,,Turnover by A. Davis (bad pass),48,55
2,0:50.0,C. Felício enters the game for W. Carter,,48,55
2,0:37.0,Personal foul by K. Williams (drawn by J. Holiday),,48,55
2,0:28.0,Z. LaVine misses 2-pt jump shot from 18 ft (block by J. Holiday),,48,55
2,0:28.0,,Defensive rebound by J. Holiday,48,55
2,0:28.0,,Personal foul by Z. LaVine (drawn by J. Holiday),48,55
2,0:18.0,,A. Davis makes 3-pt jump shot from 25 ft (assist by E. Moore),48,58
2,0:02.0,Z. LaVine makes 2-pt layup from 2 ft,,50,58
2,0:00.0,,N. Mirotić misses 3-pt jump shot from 48 ft,50,58
2,0:00.0,,Offensive rebound by Team,50,58
3,11:45.0,,J. Holiday makes 2-pt layup from 2 ft (assist by W. Johnson),50,60
3,11:22.0,Z. LaVine misses 2-pt jump shot from 17 ft,,50,60
3,11:19.0,,Defensive rebound by A. Davis,50,60
3,11:12.0,,A. Davis misses 2-pt jump shot from 5 ft (block by W. Carter),50,60
3,11:08.0,Defensive rebound by Z. LaVine,,50,60
3,10:47.0,Turnover by Team (shot clock),,50,60
3,10:33.0,,W. Johnson misses 3-pt jump shot from 25 ft,50,60
3,10:30.0,Defensive rebound by W. Carter,,50,60
3,10:23.0,Z. LaVine misses 2-pt layup from 1 ft (block by A. Davis),,50,60
3,10:20.0,,Defensive rebound by N. Mirotić,50,60
3,10:05.0,,N. Mirotić misses 3-pt jump shot from 23 ft,50,60
3,10:00.0,Defensive rebound by J. Holiday,,50,60
3,9:55.0,J. Holiday makes 2-pt jump shot from 18 ft,,52,60
3,9:45.0,,J. Holiday makes 3-pt jump shot from 26 ft,52,63
3,9:28.0,W. Carter makes 2-pt jump shot from 17 ft (assist by Z. LaVine),,54,63
3,9:10.0,,Turnover by N. Mirotić (bad pass; steal by W. Carter),54,63
3,9:03.0,Shooting foul by A. Davis (drawn by J. Parker),,54,63
3,9:03.0,,New Orleans full timeout,54,63
3,9:03.0,J. Parker makes free throw 1 of 2,,55,63
3,9:03.0,J. Parker makes free throw 2 of 2,,56,63
3,8:46.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),56,65
3,8:31.0,W. Carter makes 2-pt layup from 2 ft (assist by J. Holiday),,58,65
3,8:31.0,Shooting foul by A. Davis (drawn by W. Carter),,58,65
3,8:31.0,W. Carter makes free throw 1 of 1,,59,65
3,8:16.0,,W. Johnson makes 3-pt jump shot from 26 ft (assist by A. Davis),59,68
3,7:58.0,J. Parker misses 2-pt jump shot from 18 ft,,59,68
3,7:58.0,,Defensive rebound by N. Mirotić,59,68
3,7:48.0,,Personal foul by J. Holiday (drawn by J. Holiday),59,68
3,7:39.0,,Shooting foul by W. Carter (drawn by A. Davis),59,68
3,7:39.0,,A. Davis makes free throw 1 of 2,59,69
3,7:39.0,,A. Davis makes free throw 2 of 2,59,70
3,7:26.0,J. Holiday misses 3-pt jump shot from 26 ft,,59,70
3,7:22.0,,Defensive rebound by N. Mirotić,59,70
3,7:09.0,,Turnover by J. Holiday (bad pass; steal by C. Payne),59,70
3,7:08.0,Turnover by C. Payne (bad pass),,59,70
3,6:49.0,,Turnover by J. Holiday (bad pass; steal by C. Payne),59,70
3,6:41.0,W. Carter misses 2-pt layup from 2 ft (block by A. Davis),,59,70
3,6:37.0,,Defensive rebound by W. Johnson,59,70
3,6:35.0,,W. Johnson makes 2-pt layup from 1 ft (assist by A. Davis),59,72
3,6:35.0,Chicago full timeout,,59,72
3,6:35.0,,Technical foul by F. Hoiberg,59,72
3,6:35.0,,I. Clark enters the game for N. Mirotić,59,72
3,6:35.0,,J. Randle enters the game for E. Moore,59,72
3,6:35.0,,A. Davis misses technical free throw,59,72
3,6:35.0,Defensive rebound by Team,,59,72
3,6:19.0,C. Payne misses 3-pt jump shot from 26 ft,,59,72
3,6:15.0,,Defensive rebound by A. Davis,59,72
3,6:03.0,,Shooting foul by J. Holiday (drawn by J. Holiday),59,72
3,6:03.0,,J. Holiday makes free throw 1 of 2,59,73
3,6:03.0,R. Arcidiacono enters the game for C. Payne,,59,73
3,6:03.0,,J. Holiday misses free throw 2 of 2,59,73
3,6:00.0,Defensive rebound by J. Parker,,59,73
3,5:41.0,R. Arcidiacono misses 2-pt layup from 2 ft,,59,73
3,5:41.0,,Defensive rebound by Team,59,73
3,5:31.0,,J. Holiday makes 2-pt jump shot from 16 ft (assist by A. Davis),59,75
3,5:15.0,J. Holiday misses 3-pt jump shot from 23 ft,,59,75
3,5:13.0,,Defensive rebound by J. Holiday,59,75
3,5:03.0,,A. Davis makes 2-pt dunk from 1 ft,59,77
3,5:03.0,Chicago full timeout,,59,77
3,4:48.0,Z. LaVine makes 2-pt layup from 3 ft,,61,77
3,4:34.0,,Turnover by J. Holiday (bad pass; steal by J. Holiday),61,77
3,4:25.0,Shooting foul by J. Holiday (drawn by W. Carter),,61,77
3,4:25.0,W. Carter makes free throw 1 of 2,,62,77
3,4:25.0,A. Blakeney enters the game for J. Holiday,,62,77
3,4:25.0,W. Carter misses free throw 2 of 2,,62,77
3,4:23.0,,Defensive rebound by J. Randle,62,77
3,4:11.0,,I. Clark misses 2-pt jump shot from 11 ft,62,77
3,4:08.0,Defensive rebound by J. Parker,,62,77
3,3:57.0,A. Blakeney misses 3-pt jump shot from 25 ft,,62,77
3,3:53.0,,Defensive rebound by A. Davis,62,77
3,3:47.0,,I. Clark misses 2-pt layup from 2 ft,62,77
3,3:44.0,,Offensive rebound by J. Holiday,62,77
3,3:44.0,,J. Holiday misses 2-pt layup from 1 ft,62,77
3,3:44.0,,Offensive rebound by Team,62,77
3,3:44.0,C. Hutchison enters the game for A. Blakeney,,62,77
3,3:44.0,,D. Miller enters the game for W. Johnson,62,77
3,3:39.0,,A. Davis misses 3-pt jump shot from 26 ft,62,77
3,3:34.0,Defensive rebound by Z. LaVine,,62,77
3,3:27.0,Personal foul by J. Holiday (drawn by Z. LaVine),,62,77
3,3:16.0,Turnover by R. Arcidiacono (bad pass; steal by A. Davis),,62,77
3,3:02.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Randle),62,80
3,2:54.0,Personal foul by I. Clark (drawn by J. Parker),,62,80
3,2:54.0,J. Parker misses free throw 1 of 2,,62,80
3,2:54.0,Offensive rebound by Team,,62,80
3,2:54.0,R. Lopez enters the game for W. Carter,,62,80
3,2:54.0,,T. Frazier enters the game for J. Holiday,62,80
3,2:54.0,J. Parker makes free throw 2 of 2,,63,80
3,2:41.0,,A. Davis misses 2-pt jump shot from 21 ft,63,80
3,2:38.0,Defensive rebound by Z. LaVine,,63,80
3,2:31.0,Z. LaVine makes 2-pt layup from 2 ft,,65,80
3,2:27.0,,Personal foul by Z. LaVine (drawn by A. Davis),65,80
3,2:14.0,,T. Frazier misses 3-pt jump shot from 26 ft,65,80
3,2:10.0,Defensive rebound by Z. LaVine,,65,80
3,2:02.0,Z. LaVine misses 2-pt layup from 2 ft,,65,80
3,2:02.0,Offensive rebound by Team,,65,80
3,1:53.0,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by J. Parker),,68,80
3,1:37.0,,A. Davis makes 2-pt layup from 3 ft (assist by D. Miller),68,82
3,1:25.0,J. Parker misses 3-pt jump shot from 24 ft,,68,82
3,1:22.0,Offensive rebound by R. Lopez,,68,82
3,1:21.0,Offensive foul by J. Parker (drawn by A. Davis),,68,82
3,1:21.0,Turnover by J. Parker (offensive foul),,68,82
3,1:16.0,,Offensive foul by I. Clark (drawn by R. Arcidiacono),68,82
3,1:16.0,,Turnover by I. Clark (offensive foul),68,82
3,1:05.0,Personal foul by I. Clark (drawn by Z. LaVine),,68,82
3,1:05.0,Z. LaVine makes free throw 1 of 2,,69,82
3,1:05.0,,J. Holiday enters the game for T. Frazier,69,82
3,1:05.0,Z. LaVine makes free throw 2 of 2,,70,82
3,0:57.0,,J. Holiday misses 2-pt layup from 1 ft (block by Z. LaVine),70,82
3,0:57.0,,Offensive rebound by J. Holiday,70,82
3,0:57.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Holiday),70,85
3,0:44.0,Z. LaVine misses 2-pt layup from 2 ft (block by A. Davis),,70,85
3,0:41.0,,Defensive rebound by J. Holiday,70,85
3,0:33.0,,A. Davis misses 2-pt jump shot from 16 ft,70,85
3,0:29.0,Defensive rebound by Z. LaVine,,70,85
3,0:24.0,J. Parker makes 2-pt jump shot from 4 ft,,72,85
3,0:18.0,,New Orleans full timeout,72,85
3,0:18.0,A. Blakeney enters the game for J. Parker,,72,85
3,0:18.0,,N. Mirotić enters the game for A. Davis,72,85
3,0:04.0,,J. Holiday misses 3-pt jump shot from 26 ft,72,85
3,0:00.0,Defensive rebound by A. Blakeney,,72,85
3,0:00.0,A. Blakeney misses 3-pt jump shot from 58 ft,,72,85
3,0:00.0,Offensive rebound by Team,,72,85
4,11:41.0,R. Arcidiacono misses 3-pt jump shot from 29 ft,,72,85
4,11:36.0,,Defensive rebound by J. Randle,72,85
4,11:28.0,,D. Miller makes 2-pt jump shot from 18 ft (assist by J. Randle),72,87
4,11:14.0,J. Holiday misses 2-pt jump shot from 15 ft,,72,87
4,11:11.0,,Defensive rebound by N. Mirotić,72,87
4,10:54.0,,J. Randle makes 2-pt jump shot from 22 ft (assist by N. Mirotić),72,89
4,10:36.0,J. Holiday misses 3-pt jump shot from 26 ft,,72,89
4,10:34.0,Offensive rebound by R. Lopez,,72,89
4,10:24.0,Turnover by R. Lopez (lost ball; steal by D. Miller),,72,89
4,10:22.0,,Turnover by N. Mirotić (bad pass),72,89
4,10:16.0,J. Holiday makes 2-pt layup from 6 ft,,74,89
4,10:05.0,,Turnover by J. Randle (bad pass; steal by A. Blakeney),74,89
4,9:54.0,A. Blakeney misses 2-pt jump shot from 19 ft,,74,89
4,9:50.0,,Defensive rebound by N. Mirotić,74,89
4,9:43.0,,N. Mirotić misses 2-pt layup from 2 ft (block by R. Lopez),74,89
4,9:43.0,,Offensive rebound by Team,74,89
4,9:37.0,,I. Clark misses 2-pt jump shot from 21 ft,74,89
4,9:34.0,,Offensive rebound by N. Mirotić,74,89
4,9:34.0,,Turnover by N. Mirotić (bad pass; steal by R. Arcidiacono),74,89
4,9:34.0,Personal foul by I. Clark (drawn by R. Arcidiacono),,74,89
4,9:27.0,Personal foul by D. Miller (drawn by J. Holiday),,74,89
4,9:20.0,Turnover by J. Holiday (bad pass),,74,89
4,9:14.0,,I. Clark misses 2-pt layup from 2 ft (block by J. Holiday),74,89
4,9:13.0,,Offensive rebound by J. Randle,74,89
4,9:12.0,,J. Randle misses 2-pt layup from 1 ft (block by R. Lopez),74,89
4,9:10.0,Defensive rebound by Team,,74,89
4,9:04.0,Personal foul by E. Moore (drawn by A. Blakeney),,74,89
4,8:52.0,C. Hutchison misses 2-pt layup from 3 ft (block by N. Mirotić),,74,89
4,8:52.0,Offensive rebound by Team,,74,89
4,8:50.0,R. Lopez misses 2-pt jump shot from 17 ft,,74,89
4,8:50.0,,Defensive rebound by N. Mirotić,74,89
4,8:34.0,,E. Moore makes 2-pt jump shot from 9 ft,74,91
4,8:21.0,R. Arcidiacono makes 2-pt jump shot from 19 ft,,76,91
4,8:08.0,,N. Mirotić misses 3-pt jump shot from 26 ft,76,91
4,8:08.0,Defensive rebound by R. Arcidiacono,,76,91
4,7:56.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),,79,91
4,7:45.0,,I. Clark misses 3-pt jump shot from 25 ft,79,91
4,7:41.0,Defensive rebound by C. Hutchison,,79,91
4,7:37.0,A. Blakeney misses 3-pt jump shot from 25 ft,,79,91
4,7:34.0,Offensive rebound by C. Hutchison,,79,91
4,7:27.0,A. Blakeney makes 2-pt layup from 1 ft,,81,91
4,7:16.0,,New Orleans full timeout,81,91
4,7:16.0,,A. Davis enters the game for I. Clark,81,91
4,7:16.0,,J. Holiday enters the game for D. Miller,81,91
4,7:16.0,,W. Johnson enters the game for J. Randle,81,91
4,7:03.0,,E. Moore misses 2-pt jump shot from 15 ft,81,91
4,6:59.0,Defensive rebound by C. Hutchison,,81,91
4,6:53.0,Shooting foul by W. Johnson (drawn by J. Holiday),,81,91
4,6:53.0,J. Holiday makes free throw 1 of 2,,82,91
4,6:53.0,J. Holiday makes free throw 2 of 2,,83,91
4,6:42.0,,N. Mirotić misses 3-pt jump shot from 27 ft,83,91
4,6:39.0,Defensive rebound by A. Blakeney,,83,91
4,6:33.0,A. Blakeney makes 2-pt jump shot from 13 ft,,85,91
4,6:18.0,,J. Holiday misses 2-pt jump shot from 13 ft,85,91
4,6:16.0,Defensive rebound by C. Hutchison,,85,91
4,6:07.0,A. Blakeney misses 2-pt jump shot from 17 ft,,85,91
4,6:03.0,,Defensive rebound by A. Davis,85,91
4,5:58.0,,J. Holiday makes 2-pt layup from 2 ft,85,93
4,5:58.0,,Shooting foul by R. Arcidiacono (drawn by J. Holiday),85,93
4,5:58.0,Z. LaVine enters the game for A. Blakeney,,85,93
4,5:58.0,J. Parker enters the game for C. Hutchison,,85,93
4,5:58.0,,J. Holiday makes free throw 1 of 1,85,94
4,5:38.0,Z. LaVine makes 3-pt jump shot from 30 ft (assist by R. Lopez),,88,94
4,5:31.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),88,96
4,5:19.0,J. Parker misses 2-pt jump shot from 19 ft,,88,96
4,5:16.0,,Defensive rebound by N. Mirotić,88,96
4,5:08.0,,J. Holiday misses 2-pt jump shot from 22 ft,88,96
4,5:04.0,Defensive rebound by J. Parker,,88,96
4,4:59.0,Z. LaVine misses 3-pt jump shot from 25 ft,,88,96
4,4:55.0,,Defensive rebound by A. Davis,88,96
4,4:30.0,,J. Holiday misses 2-pt jump shot from 10 ft,88,96
4,4:29.0,,Offensive rebound by A. Davis,88,96
