QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW YORK_ACTION,ATLANTA_SCORE,NEW YORK_SCORE
1,4:04.0,,E. Mudiay makes 3-pt jump shot from 26 ft,19,25
1,3:51.0,J. Collins makes 2-pt dunk at rim (assist by D. Bembry),,21,25
1,3:48.0,Technical foul by T. Young,,21,25
1,3:48.0,V. Carter enters the game for J. Collins,,21,25
1,3:48.0,D. Hamilton enters the game for K. Huerter,,21,25
1,3:48.0,,F. Ntilikina enters the game for E. Freedom,21,25
1,3:48.0,,L. Thomas enters the game for E. Mudiay,21,25
1,3:48.0,,T. Hardaway makes technical free throw,21,26
1,3:37.0,,L. Thomas makes 2-pt jump shot from 18 ft (assist by F. Ntilikina),21,28
1,3:16.0,V. Carter misses 3-pt jump shot from 27 ft,,21,28
1,3:14.0,,Defensive rebound by K. Knox,21,28
1,3:07.0,,K. Knox makes 2-pt jump shot from 18 ft,21,30
1,2:50.0,J. Lin makes 2-pt jump shot from 9 ft,,23,30
1,2:37.0,,T. Hardaway misses 3-pt jump shot from 23 ft,23,30
1,2:35.0,Defensive rebound by J. Lin,,23,30
1,2:29.0,J. Lin misses 3-pt jump shot from 26 ft,,23,30
1,2:27.0,,Defensive rebound by K. Knox,23,30
1,2:15.0,,Shooting foul by D. Hamilton (drawn by T. Hardaway),23,30
1,2:15.0,,New York full timeout,23,30
1,2:15.0,,T. Hardaway makes free throw 1 of 3,23,31
1,2:15.0,,T. Hardaway makes free throw 2 of 3,23,32
1,2:15.0,,T. Hardaway misses free throw 3 of 3,23,32
1,2:13.0,Defensive rebound by V. Carter,,23,32
1,2:03.0,Personal foul by L. Thomas (drawn by A. Len),,23,32
1,2:03.0,,D. Dotson enters the game for T. Hardaway,23,32
1,2:00.0,Personal foul by F. Ntilikina (drawn by J. Lin),,23,32
1,2:00.0,J. Lin misses free throw 1 of 2,,23,32
1,2:00.0,Offensive rebound by Team,,23,32
1,2:00.0,J. Lin makes free throw 2 of 2,,24,32
1,1:39.0,,K. Knox makes 2-pt jump shot from 17 ft (assist by N. Vonleh),24,34
1,1:24.0,D. Hamilton misses 2-pt layup from 1 ft,,24,34
1,1:22.0,,Defensive rebound by N. Vonleh,24,34
1,1:04.0,,F. Ntilikina misses 2-pt jump shot from 12 ft,24,34
1,1:02.0,Defensive rebound by D. Bembry,,24,34
1,0:59.0,V. Carter misses 3-pt jump shot from 29 ft,,24,34
1,0:57.0,Offensive rebound by A. Len,,24,34
1,0:57.0,A. Len misses 2-pt layup at rim,,24,34
1,0:55.0,,Defensive rebound by N. Vonleh,24,34
1,0:41.0,,N. Vonleh makes 2-pt dunk from 1 ft (assist by F. Ntilikina),24,36
1,0:30.0,A. Len makes 2-pt layup from 3 ft (assist by J. Lin),,26,36
1,0:11.0,,K. Knox makes 3-pt jump shot from 26 ft,26,39
1,0:00.0,J. Lin makes 2-pt layup from 1 ft,,28,39
2,11:47.0,Turnover by J. Collins (lost ball; steal by L. Thomas),,28,39
2,11:43.0,,K. Knox makes 2-pt dunk from 1 ft (assist by F. Ntilikina),28,41
2,11:42.0,Atlanta full timeout,,28,41
2,11:25.0,Shooting foul by L. Kornet (drawn by J. Collins),,28,41
2,11:25.0,J. Collins misses free throw 1 of 2,,28,41
2,11:25.0,Offensive rebound by Team,,28,41
2,11:25.0,J. Collins makes free throw 2 of 2,,29,41
2,11:08.0,,K. Knox misses 2-pt layup at rim,29,41
2,11:06.0,,Offensive rebound by L. Kornet,29,41
2,11:06.0,,L. Kornet makes 2-pt layup from 1 ft,29,43
2,10:59.0,T. Young misses 2-pt jump shot from 8 ft,,29,43
2,10:57.0,,Defensive rebound by K. Knox,29,43
2,10:41.0,,L. Kornet misses 3-pt jump shot from 27 ft,29,43
2,10:39.0,Defensive rebound by J. Collins,,29,43
2,10:30.0,T. Young misses 2-pt layup from 1 ft,,29,43
2,10:28.0,Offensive rebound by J. Collins,,29,43
2,10:20.0,D. Dedmon misses 2-pt hook shot from 7 ft,,29,43
2,10:18.0,,Defensive rebound by L. Thomas,29,43
2,10:09.0,,F. Ntilikina misses 2-pt jump shot from 13 ft,29,43
2,10:07.0,Defensive rebound by D. Dedmon,,29,43
2,9:59.0,Personal foul by L. Kornet (drawn by K. Bazemore),,29,43
2,9:54.0,K. Huerter misses 2-pt jump shot from 10 ft,,29,43
2,9:52.0,,Defensive rebound by L. Thomas,29,43
2,9:52.0,,Turnover by L. Thomas (step out of bounds),29,43
2,9:49.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Collins),,31,43
2,9:35.0,,L. Kornet makes 3-pt jump shot from 26 ft (assist by L. Thomas),31,46
2,9:22.0,K. Bazemore makes 2-pt layup from 1 ft,,33,46
2,9:16.0,,Turnover by F. Ntilikina (bad pass),33,46
2,9:06.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,35,46
2,9:00.0,,New York full timeout,35,46
2,9:00.0,D. Bembry enters the game for K. Huerter,,35,46
2,9:00.0,,T. Hardaway enters the game for K. Knox,35,46
2,9:00.0,,E. Mudiay enters the game for F. Ntilikina,35,46
2,9:00.0,,N. Vonleh enters the game for L. Thomas,35,46
2,8:41.0,,N. Vonleh misses 2-pt jump shot from 12 ft,35,46
2,8:39.0,,Offensive rebound by D. Dotson,35,46
2,8:37.0,,N. Vonleh misses 3-pt jump shot from 26 ft,35,46
2,8:35.0,Defensive rebound by D. Bembry,,35,46
2,8:21.0,D. Bembry makes 2-pt layup from 1 ft (assist by D. Dedmon),,37,46
2,8:08.0,,N. Vonleh makes 2-pt hook shot from 4 ft (assist by L. Kornet),37,48
2,7:47.0,J. Collins makes 2-pt layup at rim (assist by D. Bembry),,39,48
2,7:38.0,,Shooting foul by D. Bembry (drawn by T. Hardaway),39,48
2,7:38.0,,E. Freedom enters the game for L. Kornet,39,48
2,7:38.0,,T. Hardaway makes free throw 1 of 2,39,49
2,7:38.0,,T. Hardaway makes free throw 2 of 2,39,50
2,7:27.0,Shooting foul by E. Mudiay (drawn by T. Young),,39,50
2,7:27.0,T. Young makes free throw 1 of 2,,40,50
2,7:27.0,T. Young misses free throw 2 of 2,,40,50
2,7:25.0,,Defensive rebound by N. Vonleh,40,50
2,7:14.0,,Turnover by D. Dotson (lost ball; steal by K. Bazemore),40,50
2,7:04.0,D. Dedmon makes 2-pt layup from 1 ft,,42,50
2,6:49.0,,D. Dotson makes 2-pt jump shot from 20 ft,42,52
2,6:34.0,Shooting foul by T. Hardaway (drawn by D. Dedmon),,42,52
2,6:34.0,A. Len enters the game for J. Collins,,42,52
2,6:34.0,,K. Knox enters the game for D. Dotson,42,52
2,6:34.0,D. Dedmon makes free throw 1 of 2,,43,52
2,6:34.0,D. Dedmon makes free throw 2 of 2,,44,52
2,6:15.0,,E. Freedom makes 2-pt hook shot from 5 ft,44,54
2,6:01.0,D. Bembry makes 2-pt layup from 2 ft (assist by T. Young),,46,54
2,5:48.0,,E. Mudiay makes 2-pt jump shot from 8 ft,46,56
2,5:37.0,A. Len makes 2-pt layup from 1 ft (assist by T. Young),,48,56
2,5:25.0,,E. Mudiay makes 2-pt jump shot from 3 ft,48,58
2,5:13.0,T. Young makes 2-pt jump shot from 12 ft,,50,58
2,4:58.0,,E. Mudiay makes 2-pt jump shot from 11 ft,50,60
2,4:47.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),,53,60
2,4:34.0,,K. Knox misses 2-pt jump shot from 6 ft,53,60
2,4:33.0,,Offensive rebound by K. Knox,53,60
2,4:32.0,,Turnover by K. Knox (traveling),53,60
2,4:32.0,J. Lin enters the game for D. Bembry,,53,60
2,4:22.0,K. Bazemore misses 2-pt layup from 2 ft (block by E. Freedom),,53,60
2,4:21.0,Offensive rebound by K. Bazemore,,53,60
2,4:21.0,Shooting foul by N. Vonleh (drawn by K. Bazemore),,53,60
2,4:21.0,K. Bazemore misses free throw 1 of 2,,53,60
2,4:21.0,Offensive rebound by Team,,53,60
2,4:21.0,K. Bazemore makes free throw 2 of 2,,54,60
2,4:13.0,,Personal foul by J. Lin (drawn by E. Mudiay),54,60
2,4:01.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by N. Vonleh),54,63
2,3:35.0,A. Len misses 2-pt dunk from 2 ft,,54,63
2,3:34.0,Offensive rebound by Team,,54,63
2,3:34.0,D. Bembry enters the game for K. Bazemore,,54,63
2,3:34.0,K. Huerter enters the game for T. Young,,54,63
2,3:32.0,A. Len misses 2-pt layup from 5 ft,,54,63
2,3:30.0,,Defensive rebound by E. Freedom,54,63
2,3:22.0,,E. Freedom misses 2-pt hook shot from 2 ft,54,63
2,3:20.0,Defensive rebound by D. Dedmon,,54,63
2,3:12.0,D. Bembry misses 3-pt jump shot from 25 ft,,54,63
2,3:10.0,,Defensive rebound by E. Freedom,54,63
2,3:10.0,,Personal foul by D. Dedmon (drawn by E. Freedom),54,63
2,2:53.0,,T. Hardaway misses 3-pt jump shot from 26 ft,54,63
2,2:51.0,Defensive rebound by D. Dedmon,,54,63
2,2:46.0,Turnover by K. Huerter (bad pass),,54,63
2,2:46.0,J. Collins enters the game for D. Dedmon,,54,63
2,2:31.0,,E. Mudiay misses 2-pt jump shot from 18 ft,54,63
2,2:29.0,Defensive rebound by D. Bembry,,54,63
2,2:22.0,J. Collins makes 2-pt dunk from 1 ft (assist by A. Len),,56,63
2,2:07.0,,Personal foul by K. Huerter (drawn by T. Hardaway),56,63
2,2:02.0,,Shooting foul by J. Collins (drawn by K. Knox),56,63
2,2:02.0,,K. Knox makes free throw 1 of 2,56,64
2,2:02.0,,K. Knox makes free throw 2 of 2,56,65
2,1:50.0,Turnover by D. Bembry (lost ball; steal by E. Mudiay),,56,65
2,1:45.0,,K. Knox misses 2-pt dunk from 2 ft,56,65
2,1:43.0,Defensive rebound by A. Len,,56,65
2,1:40.0,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),,58,65
2,1:29.0,,T. Hardaway makes 2-pt layup from 2 ft,58,67
2,1:18.0,K. Huerter misses 3-pt jump shot from 25 ft,,58,67
2,1:16.0,,Defensive rebound by T. Hardaway,58,67
2,1:03.0,,E. Freedom makes 2-pt hook shot from 4 ft,58,69
2,0:48.0,Turnover by J. Lin (lost ball; steal by E. Freedom),,58,69
2,0:45.0,,Turnover by E. Mudiay (out of bounds lost ball),58,69
2,0:32.0,K. Huerter makes 2-pt layup from 1 ft,,60,69
2,0:12.0,,T. Hardaway misses 3-pt jump shot from 28 ft,60,69
2,0:10.0,Defensive rebound by J. Lin,,60,69
2,0:02.0,Turnover by A. Len (bad pass),,60,69
2,0:02.0,,Turnover by K. Knox (bad pass; steal by D. Bembry),60,69
2,0:01.0,D. Bembry misses 3-pt jump shot from 29 ft,,60,69
2,0:00.0,Offensive rebound by Team,,60,69
3,11:36.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,62,69
3,11:23.0,,K. Knox misses 2-pt jump shot from 15 ft (block by K. Huerter),62,69
3,11:21.0,Defensive rebound by K. Bazemore,,62,69
3,11:15.0,Turnover by T. Young (bad pass; steal by N. Vonleh),,62,69
3,11:08.0,,Turnover by E. Mudiay (bad pass; steal by T. Young),62,69
3,11:03.0,T. Young makes 2-pt layup from 1 ft,,64,69
3,11:03.0,,New York full timeout,64,69
3,10:40.0,,N. Vonleh makes 2-pt layup from 2 ft (assist by E. Mudiay),64,71
3,10:24.0,K. Huerter makes 2-pt dunk from 2 ft (assist by T. Young),,66,71
3,10:04.0,,E. Freedom misses 2-pt jump shot from 17 ft,66,71
3,10:02.0,Defensive rebound by K. Bazemore,,66,71
3,9:56.0,D. Dedmon misses 3-pt jump shot from 25 ft,,66,71
3,9:54.0,,Defensive rebound by N. Vonleh,66,71
3,9:49.0,,E. Freedom makes 2-pt layup from 1 ft (assist by T. Hardaway),66,73
3,9:30.0,J. Collins misses 2-pt jump shot from 6 ft,,66,73
3,9:26.0,,Defensive rebound by E. Freedom,66,73
3,9:11.0,,E. Mudiay makes 2-pt layup from 1 ft,66,75
3,8:47.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by D. Dedmon),,69,75
3,8:31.0,,N. Vonleh misses 2-pt hook shot from 8 ft,69,75
3,8:30.0,Defensive rebound by Team,,69,75
3,8:18.0,J. Collins misses 3-pt jump shot from 26 ft,,69,75
3,8:16.0,,Defensive rebound by E. Freedom,69,75
3,8:03.0,,Shooting foul by D. Dedmon (drawn by K. Knox),69,75
3,8:03.0,,F. Ntilikina enters the game for E. Mudiay,69,75
3,8:03.0,,K. Knox misses free throw 1 of 2,69,75
3,8:03.0,,Offensive rebound by Team,69,75
3,8:03.0,,K. Knox makes free throw 2 of 2,69,76
3,7:52.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by T. Young),,72,76
3,7:32.0,,E. Freedom misses 2-pt layup from 2 ft,72,76
3,7:30.0,Defensive rebound by J. Collins,,72,76
3,7:24.0,K. Bazemore misses 2-pt layup from 1 ft,,72,76
3,7:22.0,Offensive rebound by K. Bazemore,,72,76
3,7:20.0,K. Huerter makes 3-pt jump shot from 25 ft (assist by K. Bazemore),,75,76
3,6:58.0,,T. Hardaway misses 2-pt jump shot from 18 ft,75,76
3,6:57.0,,Offensive rebound by Team,75,76
3,6:57.0,Loose ball foul by D. Dedmon (drawn by E. Freedom),,75,76
3,6:57.0,A. Len enters the game for D. Dedmon,,75,76
3,6:47.0,,K. Knox misses 2-pt jump shot from 13 ft,75,76
3,6:45.0,Defensive rebound by Team,,75,76
3,6:26.0,A. Len makes 3-pt jump shot from 23 ft (assist by J. Collins),,78,76
3,6:19.0,,New York full timeout,78,76
3,6:19.0,D. Bembry enters the game for K. Huerter,,78,76
3,6:19.0,,C. Lee enters the game for E. Freedom,78,76
3,6:19.0,,L. Thomas enters the game for K. Knox,78,76
3,6:09.0,,N. Vonleh makes 2-pt hook shot from 2 ft (assist by T. Hardaway),78,78
3,5:54.0,J. Collins misses 2-pt jump shot from 6 ft,,78,78
3,5:52.0,Offensive rebound by A. Len,,78,78
3,5:52.0,A. Len misses 2-pt layup from 1 ft,,78,78
3,5:50.0,,Defensive rebound by N. Vonleh,78,78
3,5:46.0,,T. Hardaway makes 3-pt jump shot from 25 ft,78,81
3,5:33.0,Personal foul by L. Thomas (drawn by T. Young),,78,81
3,5:33.0,V. Carter enters the game for J. Collins,,78,81
3,5:33.0,J. Lin enters the game for T. Young,,78,81
3,5:27.0,Turnover by K. Bazemore (bad pass),,78,81
3,5:08.0,,L. Thomas misses 2-pt jump shot from 23 ft,78,81
3,5:06.0,Defensive rebound by D. Bembry,,78,81
3,4:55.0,K. Bazemore misses 2-pt layup from 1 ft,,78,81
3,4:53.0,Offensive rebound by A. Len,,78,81
3,4:53.0,A. Len misses 2-pt layup from 1 ft,,78,81
3,4:51.0,Offensive rebound by A. Len,,78,81
3,4:49.0,A. Len makes 2-pt hook shot from 1 ft,,80,81
3,4:38.0,,L. Thomas makes 2-pt jump shot from 21 ft (assist by F. Ntilikina),80,83
3,4:21.0,Personal foul by F. Ntilikina (drawn by V. Carter),,80,83
3,4:16.0,K. Bazemore misses 3-pt jump shot from 26 ft,,80,83
3,4:14.0,,Defensive rebound by T. Hardaway,80,83
3,4:09.0,,T. Hardaway makes 2-pt layup from 1 ft,80,85
3,4:09.0,,Shooting foul by A. Len (drawn by T. Hardaway),80,85
3,4:09.0,K. Huerter enters the game for K. Bazemore,,80,85
3,4:09.0,,T. Hardaway misses free throw 1 of 1,80,85
3,4:07.0,Defensive rebound by V. Carter,,80,85
3,3:54.0,K. Huerter misses 3-pt jump shot from 28 ft,,80,85
3,3:50.0,,Defensive rebound by F. Ntilikina,80,85
3,3:37.0,,C. Lee misses 3-pt jump shot from 25 ft,80,85
3,3:35.0,Defensive rebound by J. Lin,,80,85
3,3:24.0,A. Len misses 2-pt layup from 1 ft,,80,85
3,3:22.0,,Defensive rebound by C. Lee,80,85
3,3:17.0,,T. Hardaway makes 2-pt layup from 1 ft,80,87
3,2:53.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by V. Carter),,83,87
3,2:41.0,,Turnover by F. Ntilikina (out of bounds lost ball),83,87
3,2:24.0,Shooting foul by F. Ntilikina (drawn by K. Huerter),,83,87
3,2:24.0,J. Collins enters the game for A. Len,,83,87
3,2:24.0,K. Huerter makes free throw 1 of 2,,84,87
3,2:24.0,K. Huerter makes free throw 2 of 2,,85,87
3,2:03.0,,Turnover by N. Vonleh (step out of bounds),85,87
3,1:48.0,Personal foul by F. Ntilikina (drawn by V. Carter),,85,87
3,1:48.0,,E. Mudiay enters the game for F. Ntilikina,85,87
3,1:42.0,J. Collins misses 2-pt layup from 1 ft,,85,87
3,1:40.0,,Defensive rebound by N. Vonleh,85,87
3,1:28.0,,N. Vonleh misses 3-pt jump shot from 25 ft,85,87
3,1:26.0,Defensive rebound by V. Carter,,85,87
3,1:11.0,K. Huerter makes 2-pt layup from 6 ft (assist by J. Collins),,87,87
3,0:54.0,,E. Mudiay misses 2-pt jump shot from 5 ft,87,87
3,0:52.0,Defensive rebound by J. Collins,,87,87
3,0:42.0,J. Lin misses 2-pt layup from 2 ft,,87,87
3,0:40.0,Offensive rebound by J. Collins,,87,87
3,0:40.0,J. Collins misses 2-pt layup from 1 ft,,87,87
3,0:39.0,,Defensive rebound by C. Lee,87,87
3,0:39.0,,Turnover by C. Lee (bad pass),87,87
3,0:39.0,Atlanta full timeout,,87,87
3,0:39.0,,D. Dotson enters the game for T. Hardaway,87,87
3,0:39.0,,L. Kornet enters the game for N. Vonleh,87,87
3,0:31.0,D. Bembry misses 2-pt layup from 2 ft (block by C. Lee),,87,87
3,0:29.0,,Defensive rebound by Team,87,87
3,0:05.0,,E. Mudiay makes 2-pt jump shot from 19 ft,87,89
3,0:03.0,Turnover by J. Lin (out of bounds lost ball),,87,89
3,0:01.0,,Personal foul by D. Bembry (drawn by L. Kornet),87,89
3,0:00.0,,E. Mudiay misses 3-pt jump shot from 30 ft,87,89
3,0:00.0,,Offensive rebound by Team,87,89
4,11:38.0,,L. Thomas makes 2-pt layup at rim (assist by L. Kornet),87,91
4,11:21.0,Turnover by K. Huerter (step out of bounds),,87,91
4,11:12.0,,Shooting foul by V. Carter (drawn by E. Mudiay),87,91
4,11:12.0,,E. Mudiay makes free throw 1 of 2,87,92
4,11:12.0,,E. Mudiay misses free throw 2 of 2,87,92
4,11:10.0,Defensive rebound by V. Carter,,87,92
4,10:58.0,V. Carter misses 3-pt jump shot from 26 ft,,87,92
4,10:56.0,Offensive rebound by K. Huerter,,87,92
4,10:51.0,J. Lin misses 3-pt jump shot from 23 ft,,87,92
4,10:49.0,,Defensive rebound by D. Dotson,87,92
4,10:37.0,,D. Dotson misses 3-pt jump shot from 25 ft,87,92
4,10:35.0,Defensive rebound by V. Carter,,87,92
4,10:28.0,Personal foul by C. Lee (drawn by V. Carter),,87,92
4,10:20.0,Turnover by J. Lin (traveling),,87,92
4,10:01.0,,D. Dotson misses 2-pt jump shot from 14 ft,87,92
4,9:59.0,Defensive rebound by V. Carter,,87,92
4,9:53.0,Personal foul by D. Dotson (drawn by V. Carter),,87,92
4,9:49.0,J. Lin makes 2-pt jump shot from 15 ft,,89,92
4,9:31.0,,L. Kornet makes 2-pt jump shot from 12 ft (assist by E. Mudiay),89,94
4,9:21.0,Personal foul by C. Lee (drawn by J. Lin),,89,94
4,9:21.0,,K. Knox enters the game for L. Thomas,89,94
4,9:16.0,J. Lin makes 2-pt layup at rim,,91,94
4,9:06.0,,Shooting foul by J. Lin (drawn by E. Mudiay),91,94
4,9:06.0,,E. Mudiay makes free throw 1 of 2,91,95
4,9:06.0,,E. Mudiay makes free throw 2 of 2,91,96
4,8:44.0,Turnover by V. Carter (lost ball; steal by C. Lee),,91,96
4,8:28.0,,K. Knox misses 3-pt jump shot from 26 ft,91,96
4,8:26.0,Defensive rebound by K. Bazemore,,91,96
4,8:19.0,K. Bazemore misses 2-pt layup from 1 ft,,91,96
4,8:17.0,Offensive rebound by D. Dedmon,,91,96
4,8:12.0,K. Bazemore misses 3-pt jump shot from 23 ft,,91,96
4,8:10.0,Offensive rebound by J. Lin,,91,96
4,8:06.0,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Lin),,93,96
4,8:05.0,Technical foul by K. Bazemore,,93,96
4,8:05.0,,T. Hardaway enters the game for C. Lee,93,96
4,8:05.0,,E. Mudiay makes technical free throw,93,97
4,7:50.0,,Turnover by K. Knox (traveling),93,97
4,7:50.0,J. Collins enters the game for V. Carter,,93,97
4,7:50.0,T. Young enters the game for J. Lin,,93,97
4,7:39.0,T. Young makes 2-pt jump shot from 10 ft,,95,97
4,7:23.0,,E. Mudiay makes 2-pt layup from 1 ft,95,99
4,7:00.0,J. Collins misses 3-pt jump shot from 23 ft,,95,99
4,6:58.0,,Defensive rebound by L. Kornet,95,99
4,6:49.0,,Turnover by E. Mudiay (lost ball; steal by K. Huerter),95,99
4,6:44.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by K. Huerter),,98,99
4,6:28.0,Violation by Team (kicked ball),,98,99
4,6:28.0,,New York full timeout,98,99
4,6:28.0,D. Bembry enters the game for K. Bazemore,,98,99
4,6:28.0,A. Len enters the game for D. Dedmon,,98,99
4,6:28.0,,N. Vonleh enters the game for L. Kornet,98,99
4,6:12.0,,Turnover by Team (shot clock),98,99
4,6:04.0,Shooting foul by K. Knox (drawn by T. Young),,98,99
4,6:04.0,T. Young misses free throw 1 of 2,,98,99
4,6:04.0,Offensive rebound by Team,,98,99
4,6:04.0,T. Young makes free throw 2 of 2,,99,99
4,5:53.0,,D. Dotson misses 2-pt jump shot from 21 ft,99,99
4,5:51.0,Defensive rebound by D. Bembry,,99,99
4,5:38.0,A. Len makes 3-pt jump shot from 23 ft (assist by T. Young),,102,99
4,5:17.0,,K. Knox misses 3-pt jump shot from 23 ft,102,99
4,5:15.0,Defensive rebound by T. Young,,102,99
4,5:06.0,A. Len misses 2-pt layup from 2 ft,,102,99
4,5:04.0,,Defensive rebound by N. Vonleh,102,99
4,4:55.0,,N. Vonleh misses 2-pt layup from 2 ft,102,99
4,4:54.0,Defensive rebound by A. Len,,102,99
4,4:34.0,Turnover by D. Bembry (bad pass; steal by D. Dotson),,102,99
4,4:32.0,,Personal take foul by T. Young (drawn by E. Mudiay),102,99
4,4:32.0,,E. Freedom enters the game for D. Dotson,102,99
4,4:30.0,,E. Mudiay misses 2-pt layup from 1 ft,102,99
4,4:28.0,Defensive rebound by J. Collins,,102,99
4,4:14.0,K. Huerter misses 3-pt jump shot from 28 ft,,102,99
4,4:12.0,,Defensive rebound by T. Hardaway,102,99
4,4:00.0,,N. Vonleh misses 2-pt layup from 4 ft,102,99
4,3:58.0,Defensive rebound by J. Collins,,102,99
4,3:47.0,T. Young makes 2-pt layup from 1 ft,,104,99
4,3:46.0,,New York full timeout,104,99
4,3:46.0,K. Bazemore enters the game for K. Huerter,,104,99
4,3:30.0,,T. Hardaway misses 3-pt jump shot from 26 ft,104,99
4,3:28.0,,Offensive rebound by N. Vonleh,104,99
4,3:20.0,,E. Mudiay makes 2-pt jump shot from 10 ft,104,101
4,3:04.0,T. Young makes 2-pt layup from 1 ft,,106,101
