QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
1,6:50.0,,K. Love misses 2-pt layup from 1 ft,8,9
1,6:49.0,,Offensive rebound by K. Love,8,9
1,6:48.0,,K. Love misses 2-pt layup from 1 ft,8,9
1,6:47.0,,Offensive rebound by T. Thompson,8,9
1,6:47.0,,T. Thompson misses 2-pt layup from 1 ft,8,9
1,6:46.0,Defensive rebound by G. Hayward,,8,9
1,6:27.0,M. Morris misses 3-pt jump shot from 26 ft,,8,9
1,6:27.0,,Defensive rebound by K. Love,8,9
1,6:13.0,,Turnover by C. Sexton (lost ball; steal by M. Morris),8,9
1,6:08.0,M. Morris makes 2-pt layup from 1 ft,,10,9
1,6:08.0,,J. Clarkson enters the game for B. Knight,10,9
1,5:50.0,,K. Love misses 3-pt jump shot from 25 ft,10,9
1,5:50.0,Defensive rebound by M. Smart,,10,9
1,5:43.0,J. Tatum makes 2-pt jump shot from 19 ft,,12,9
1,5:18.0,,T. Thompson makes 2-pt jump shot from 11 ft,12,11
1,5:05.0,M. Smart makes 2-pt jump shot from 20 ft (assist by G. Hayward),,14,11
1,4:41.0,,K. Love misses 3-pt jump shot from 27 ft,14,11
1,4:38.0,Defensive rebound by G. Hayward,,14,11
1,4:31.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by G. Hayward),,17,11
1,4:29.0,,Cleveland full timeout,17,11
1,4:29.0,D. Theis enters the game for A. Baynes,,17,11
1,4:29.0,,L. Nance enters the game for K. Love,17,11
1,4:29.0,,D. Nwaba enters the game for T. Thompson,17,11
1,4:19.0,,J. Clarkson makes 2-pt jump shot from 13 ft,17,13
1,4:05.0,J. Tatum makes 2-pt jump shot from 14 ft,,19,13
1,3:44.0,,Turnover by J. Clarkson (bad pass; steal by J. Tatum),19,13
1,3:40.0,J. Tatum makes 2-pt layup from 2 ft (assist by M. Smart),,21,13
1,3:21.0,,L. Nance makes 2-pt layup from 1 ft (assist by C. Osman),21,15
1,3:10.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by G. Hayward),,24,15
1,2:51.0,,D. Nwaba misses 3-pt jump shot from 25 ft,24,15
1,2:49.0,Defensive rebound by J. Tatum,,24,15
1,2:45.0,M. Morris misses 3-pt jump shot from 26 ft,,24,15
1,2:41.0,Offensive rebound by D. Theis,,24,15
1,2:39.0,G. Hayward misses 3-pt jump shot from 26 ft,,24,15
1,2:34.0,Offensive rebound by M. Smart,,24,15
1,2:34.0,M. Smart misses 2-pt dunk from 1 ft,,24,15
1,2:33.0,,Defensive rebound by D. Nwaba,24,15
1,2:24.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by L. Nance),24,18
1,2:08.0,J. Tatum misses 2-pt jump shot from 23 ft,,24,18
1,2:04.0,,Defensive rebound by J. Clarkson,24,18
1,2:04.0,,C. Osman makes 2-pt layup from 2 ft (assist by J. Clarkson),24,20
1,2:04.0,,Shooting foul by D. Theis (drawn by C. Osman),24,20
1,2:04.0,J. Brown enters the game for M. Smart,,24,20
1,2:04.0,T. Rozier enters the game for J. Tatum,,24,20
1,2:04.0,,B. Knight enters the game for C. Sexton,24,20
1,2:04.0,,C. Osman misses free throw 1 of 1,24,20
1,2:01.0,Defensive rebound by M. Morris,,24,20
1,1:47.0,M. Morris misses 2-pt jump shot from 11 ft,,24,20
1,1:42.0,Offensive rebound by T. Rozier,,24,20
1,1:39.0,T. Rozier misses 2-pt jump shot from 1 ft,,24,20
1,1:36.0,,Defensive rebound by C. Osman,24,20
1,1:36.0,,M. Chriss enters the game for C. Osman,24,20
1,1:21.0,,J. Clarkson makes 2-pt jump shot from 13 ft,24,22
1,1:08.0,J. Brown makes 2-pt layup from 1 ft,,26,22
1,1:08.0,Shooting foul by M. Chriss (drawn by J. Brown),,26,22
1,1:08.0,J. Brown makes free throw 1 of 1,,27,22
1,0:52.0,,B. Knight makes 3-pt jump shot from 32 ft (assist by L. Nance),27,25
1,0:36.0,J. Brown makes 3-pt jump shot from 26 ft (assist by M. Morris),,30,25
1,0:27.0,,J. Clarkson makes 2-pt jump shot from 11 ft,30,27
1,0:04.0,G. Hayward makes 2-pt jump shot from 16 ft,,32,27
1,0:00.0,,L. Nance misses 3-pt jump shot from 26 ft,32,27
1,0:00.0,,Offensive rebound by Team,32,27
2,11:54.0,Violation by Team (kicked ball),,32,27
2,11:46.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by L. Nance),32,29
2,11:24.0,G. Hayward makes 2-pt jump shot from 21 ft,,34,29
2,11:09.0,,Shooting foul by M. Morris (drawn by M. Chriss),34,29
2,11:09.0,,M. Chriss misses free throw 1 of 2,34,29
2,11:09.0,,Offensive rebound by Team,34,29
2,11:09.0,G. Yabusele enters the game for D. Theis,,34,29
2,11:09.0,,M. Chriss misses free throw 2 of 2,34,29
2,11:06.0,Defensive rebound by J. Brown,,34,29
2,10:54.0,M. Morris misses 2-pt jump shot from 21 ft,,34,29
2,10:50.0,,Defensive rebound by M. Chriss,34,29
2,10:41.0,,M. Chriss misses 2-pt layup from 2 ft,34,29
2,10:38.0,Defensive rebound by J. Brown,,34,29
2,10:25.0,Turnover by G. Yabusele (bad pass; steal by J. Clarkson),,34,29
2,10:20.0,,J. Clarkson makes 2-pt layup from 1 ft,34,31
2,10:07.0,G. Hayward makes 2-pt jump shot from 10 ft,,36,31
2,9:41.0,,B. Knight misses 2-pt jump shot from 15 ft,36,31
2,9:39.0,Defensive rebound by M. Morris,,36,31
2,9:34.0,Offensive foul by G. Hayward (drawn by B. Knight),,36,31
2,9:34.0,Turnover by G. Hayward (offensive foul),,36,31
2,9:25.0,,B. Knight misses 3-pt jump shot from 25 ft,36,31
2,9:20.0,Defensive rebound by G. Hayward,,36,31
2,9:14.0,,Violation by Team (kicked ball),36,31
2,9:06.0,J. Brown misses 3-pt jump shot from 25 ft,,36,31
2,9:00.0,Offensive rebound by G. Yabusele,,36,31
2,9:00.0,G. Yabusele makes 2-pt layup from 1 ft,,38,31
2,8:47.0,,J. Clarkson misses 2-pt jump shot from 15 ft,38,31
2,8:45.0,Defensive rebound by G. Yabusele,,38,31
2,8:29.0,T. Rozier misses 3-pt jump shot from 27 ft,,38,31
2,8:25.0,,Defensive rebound by M. Chriss,38,31
2,8:22.0,,Turnover by J. Clarkson (lost ball; steal by T. Rozier),38,31
2,8:22.0,Personal foul by M. Chriss (drawn by T. Rozier),,38,31
2,8:13.0,T. Rozier makes 2-pt dunk at rim,,40,31
2,8:13.0,,Cleveland full timeout,40,31
2,8:13.0,,C. Osman enters the game for M. Chriss,40,31
2,8:13.0,,C. Sexton enters the game for B. Knight,40,31
2,8:13.0,,T. Thompson enters the game for D. Nwaba,40,31
2,7:53.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by L. Nance),40,34
2,7:29.0,G. Hayward misses 2-pt jump shot from 14 ft,,40,34
2,7:27.0,Offensive rebound by M. Morris,,40,34
2,7:25.0,M. Morris misses 2-pt jump shot from 10 ft,,40,34
2,7:23.0,,Defensive rebound by C. Osman,40,34
2,7:07.0,,C. Osman misses 3-pt jump shot from 25 ft,40,34
2,7:03.0,Defensive rebound by T. Rozier,,40,34
2,6:57.0,G. Hayward misses 2-pt layup from 1 ft,,40,34
2,6:57.0,,Defensive rebound by C. Osman,40,34
2,6:49.0,,C. Sexton makes 3-pt jump shot from 23 ft (assist by J. Clarkson),40,37
2,6:49.0,Boston full timeout,,40,37
2,6:49.0,A. Baynes enters the game for G. Hayward,,40,37
2,6:49.0,A. Horford enters the game for M. Morris,,40,37
2,6:49.0,J. Tatum enters the game for G. Yabusele,,40,37
2,6:49.0,,K. Love enters the game for J. Clarkson,40,37
2,6:49.0,,N. Stauskas enters the game for L. Nance,40,37
2,6:35.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by A. Horford),,43,37
2,6:17.0,,T. Thompson makes 2-pt layup from 6 ft (assist by N. Stauskas),43,39
2,6:09.0,A. Horford misses 3-pt jump shot from 25 ft,,43,39
2,6:06.0,,Defensive rebound by C. Osman,43,39
2,5:52.0,,N. Stauskas makes 2-pt jump shot from 12 ft (assist by T. Thompson),43,41
2,5:29.0,J. Tatum makes 2-pt jump shot from 19 ft,,45,41
2,5:16.0,,C. Sexton misses 2-pt jump shot from 12 ft,45,41
2,5:15.0,,Offensive rebound by T. Thompson,45,41
2,5:15.0,,Shooting foul by A. Baynes (drawn by T. Thompson),45,41
2,5:15.0,,T. Thompson makes free throw 1 of 2,45,42
2,5:15.0,M. Smart enters the game for T. Rozier,,45,42
2,5:15.0,,T. Thompson makes free throw 2 of 2,45,43
2,4:57.0,J. Brown misses 2-pt jump shot from 13 ft,,45,43
2,4:54.0,,Defensive rebound by T. Thompson,45,43
2,4:49.0,,K. Love misses 3-pt jump shot from 29 ft,45,43
2,4:46.0,Defensive rebound by A. Horford,,45,43
2,4:31.0,J. Tatum misses 2-pt layup from 1 ft,,45,43
2,4:30.0,,Defensive rebound by Team,45,43
2,4:04.0,,T. Thompson misses 2-pt jump shot from 12 ft,45,43
2,4:02.0,Defensive rebound by J. Brown,,45,43
2,3:53.0,J. Brown misses 2-pt jump shot from 1 ft (block by N. Stauskas),,45,43
2,3:53.0,Offensive rebound by Team,,45,43
2,3:39.0,A. Horford makes 2-pt layup from 1 ft (assist by J. Tatum),,47,43
2,3:27.0,,C. Osman misses 3-pt jump shot from 28 ft,47,43
2,3:23.0,Defensive rebound by J. Brown,,47,43
2,3:18.0,M. Smart misses 3-pt jump shot from 23 ft,,47,43
2,3:14.0,,Defensive rebound by K. Love,47,43
2,3:12.0,,C. Sexton misses 2-pt layup from 2 ft (block by A. Baynes),47,43
2,3:12.0,,Offensive rebound by Team,47,43
2,3:12.0,G. Hayward enters the game for J. Brown,,47,43
2,3:12.0,,L. Nance enters the game for T. Thompson,47,43
2,3:08.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by C. Osman),47,46
2,2:47.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by A. Horford),,50,46
2,2:29.0,,C. Sexton makes 3-pt jump shot from 27 ft (assist by L. Nance),50,49
2,2:10.0,Turnover by A. Horford (bad pass; steal by N. Stauskas),,50,49
2,1:58.0,,C. Sexton makes 2-pt jump shot from 20 ft,50,51
2,1:33.0,G. Hayward makes 2-pt dunk from 1 ft (assist by J. Tatum),,52,51
2,1:17.0,,C. Sexton misses 3-pt jump shot from 28 ft,52,51
2,1:15.0,Defensive rebound by G. Hayward,,52,51
2,1:01.0,J. Tatum misses 3-pt jump shot from 27 ft,,52,51
2,0:57.0,Offensive rebound by A. Horford,,52,51
2,0:57.0,A. Horford makes 2-pt layup from 1 ft,,54,51
2,0:57.0,Shooting foul by L. Nance (drawn by A. Horford),,54,51
2,0:57.0,M. Morris enters the game for A. Baynes,,54,51
2,0:57.0,A. Horford makes free throw 1 of 1,,55,51
2,0:50.0,,Personal foul by J. Tatum (drawn by C. Osman),55,51
2,0:50.0,A. Baynes enters the game for A. Horford,,55,51
2,0:47.0,,Turnover by K. Love (out of bounds lost ball),55,51
2,0:33.0,M. Morris misses 2-pt jump shot from 20 ft,,55,51
2,0:29.0,Offensive rebound by J. Tatum,,55,51
2,0:29.0,J. Tatum makes 2-pt layup from 1 ft,,57,51
2,0:08.0,,Turnover by L. Nance (bad pass),57,51
3,11:36.0,,Shooting foul by J. Tatum (drawn by K. Love),57,51
3,11:36.0,,K. Love makes free throw 1 of 2,57,52
3,11:36.0,,K. Love makes free throw 2 of 2,57,53
3,11:22.0,A. Horford misses 2-pt jump shot from 21 ft,,57,53
3,11:18.0,,Defensive rebound by C. Osman,57,53
3,11:08.0,,C. Sexton misses 2-pt jump shot from 8 ft,57,53
3,11:05.0,Defensive rebound by A. Horford,,57,53
3,11:00.0,T. Rozier misses 2-pt layup from 1 ft,,57,53
3,10:58.0,Offensive rebound by A. Horford,,57,53
3,10:57.0,A. Baynes makes 2-pt layup from 1 ft (assist by A. Horford),,59,53
3,10:47.0,,Turnover by K. Love (bad pass; steal by M. Smart),59,53
3,10:47.0,Personal take foul by K. Love (drawn by M. Smart),,59,53
3,10:37.0,J. Tatum misses 2-pt jump shot from 18 ft,,59,53
3,10:34.0,,Defensive rebound by C. Osman,59,53
3,10:25.0,,B. Knight misses 2-pt jump shot from 14 ft,59,53
3,10:22.0,Defensive rebound by M. Smart,,59,53
3,10:08.0,Shooting foul by B. Knight (drawn by A. Horford),,59,53
3,10:08.0,A. Horford makes free throw 1 of 2,,60,53
3,10:08.0,A. Horford makes free throw 2 of 2,,61,53
3,9:54.0,,Turnover by B. Knight (bad pass; steal by T. Rozier),61,53
3,9:51.0,T. Rozier makes 2-pt layup from 2 ft,,63,53
3,9:34.0,,C. Sexton misses 3-pt jump shot from 26 ft,63,53
3,9:32.0,Defensive rebound by A. Horford,,63,53
3,9:12.0,J. Tatum misses 2-pt jump shot from 17 ft,,63,53
3,9:08.0,Offensive rebound by A. Baynes,,63,53
3,9:02.0,T. Rozier misses 2-pt layup at rim,,63,53
3,9:01.0,,Defensive rebound by K. Love,63,53
3,9:00.0,,Personal foul by M. Smart (drawn by C. Sexton),63,53
3,8:51.0,,C. Osman makes 2-pt layup from 2 ft (assist by C. Sexton),63,55
3,8:28.0,M. Smart makes 2-pt layup from 1 ft,,65,55
3,8:05.0,,B. Knight misses 3-pt jump shot from 28 ft,65,55
3,8:01.0,Defensive rebound by J. Tatum,,65,55
3,7:53.0,Personal foul by C. Osman (drawn by J. Tatum),,65,55
3,7:53.0,,J. Clarkson enters the game for B. Knight,65,55
3,7:43.0,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),,67,55
3,7:19.0,,Shooting foul by A. Horford (drawn by C. Sexton),67,55
3,7:19.0,,C. Sexton makes free throw 1 of 3,67,56
3,7:19.0,,C. Sexton makes free throw 2 of 3,67,57
3,7:19.0,,C. Sexton makes free throw 3 of 3,67,58
3,7:09.0,M. Smart makes 3-pt jump shot from 26 ft (assist by A. Horford),,70,58
3,6:48.0,,J. Clarkson misses 2-pt jump shot from 11 ft,70,58
3,6:47.0,Defensive rebound by T. Rozier,,70,58
3,6:43.0,A. Horford misses 2-pt jump shot from 10 ft,,70,58
3,6:43.0,,Defensive rebound by K. Love,70,58
3,6:34.0,,K. Love makes 2-pt jump shot from 20 ft (assist by C. Sexton),70,60
3,6:23.0,,Cleveland full timeout,70,60
3,6:23.0,G. Hayward enters the game for A. Horford,,70,60
3,6:23.0,M. Morris enters the game for T. Rozier,,70,60
3,6:23.0,,L. Nance enters the game for T. Thompson,70,60
3,6:13.0,M. Morris misses 3-pt jump shot from 26 ft,,70,60
3,6:10.0,,Defensive rebound by K. Love,70,60
3,5:51.0,,K. Love misses 2-pt layup from 2 ft (block by M. Smart),70,60
3,5:48.0,Defensive rebound by M. Smart,,70,60
3,5:44.0,A. Baynes makes 2-pt dunk from 1 ft (assist by M. Morris),,72,60
3,5:19.0,,C. Osman makes 3-pt jump shot from 26 ft,72,63
3,5:05.0,Personal foul by L. Nance (drawn by A. Baynes),,72,63
3,5:05.0,,D. Nwaba enters the game for K. Love,72,63
3,4:52.0,M. Morris misses 2-pt jump shot from 7 ft,,72,63
3,4:50.0,,Defensive rebound by J. Clarkson,72,63
3,4:46.0,,Personal foul by A. Baynes (drawn by J. Clarkson),72,63
3,4:46.0,J. Brown enters the game for A. Baynes,,72,63
3,4:46.0,D. Theis enters the game for J. Tatum,,72,63
3,4:35.0,,Shooting foul by D. Theis (drawn by J. Clarkson),72,63
3,4:35.0,,J. Clarkson makes free throw 1 of 2,72,64
3,4:35.0,,J. Clarkson makes free throw 2 of 2,72,65
3,4:28.0,Personal foul by J. Clarkson (drawn by G. Hayward),,72,65
3,4:28.0,G. Hayward makes free throw 1 of 2,,73,65
3,4:28.0,G. Hayward misses free throw 2 of 2,,73,65
3,4:25.0,,Defensive rebound by L. Nance,73,65
3,4:17.0,,L. Nance makes 2-pt layup from 1 ft (assist by J. Clarkson),73,67
3,4:17.0,,Shooting foul by J. Brown (drawn by L. Nance),73,67
3,4:17.0,,L. Nance makes free throw 1 of 1,73,68
3,4:05.0,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Smart),,76,68
3,3:47.0,,C. Sexton misses 2-pt layup from 1 ft,76,68
3,3:44.0,Defensive rebound by J. Brown,,76,68
3,3:40.0,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Brown),,79,68
3,3:16.0,,J. Clarkson makes 2-pt jump shot from 12 ft,79,70
3,3:05.0,M. Smart makes 3-pt jump shot from 27 ft,,82,70
3,2:47.0,,C. Sexton makes 3-pt jump shot from 27 ft (assist by J. Clarkson),82,73
3,2:37.0,J. Brown misses 2-pt jump shot from 3 ft,,82,73
3,2:34.0,Offensive rebound by J. Brown,,82,73
3,2:33.0,Personal foul by C. Sexton (drawn by J. Brown),,82,73
3,2:33.0,Boston full timeout,,82,73
3,2:33.0,,M. Chriss enters the game for C. Osman,82,73
3,2:33.0,J. Brown misses free throw 1 of 2,,82,73
3,2:33.0,Offensive rebound by Team,,82,73
3,2:33.0,J. Brown misses free throw 2 of 2,,82,73
3,2:27.0,,Defensive rebound by D. Nwaba,82,73
3,2:09.0,,M. Chriss misses 2-pt layup at rim,82,73
3,2:07.0,Defensive rebound by M. Morris,,82,73
3,2:00.0,Shooting foul by D. Nwaba (drawn by M. Morris),,82,73
3,2:00.0,M. Morris misses free throw 1 of 2,,82,73
3,2:00.0,Offensive rebound by Team,,82,73
3,2:00.0,T. Rozier enters the game for M. Smart,,82,73
3,2:00.0,M. Morris makes free throw 2 of 2,,83,73
3,1:44.0,,L. Nance misses 2-pt hook shot from 7 ft,83,73
3,1:44.0,,Offensive rebound by Team,83,73
3,1:44.0,,Shooting foul by D. Theis (drawn by C. Sexton),83,73
3,1:44.0,,L. Nance makes free throw 1 of 2,83,74
3,1:44.0,,L. Nance makes free throw 2 of 2,83,75
3,1:37.0,Offensive foul by D. Theis (drawn by C. Sexton),,83,75
3,1:37.0,Turnover by D. Theis (offensive foul),,83,75
3,1:21.0,,J. Clarkson misses 3-pt jump shot from 26 ft,83,75
3,1:17.0,Defensive rebound by G. Hayward,,83,75
3,1:17.0,Turnover by G. Hayward (out of bounds lost ball),,83,75
3,1:04.0,,J. Clarkson makes 2-pt jump shot from 9 ft,83,77
3,1:04.0,Boston full timeout,,83,77
3,1:04.0,G. Yabusele enters the game for D. Theis,,83,77
3,0:48.0,J. Brown makes 3-pt jump shot from 23 ft (assist by G. Hayward),,86,77
3,0:28.0,,C. Sexton makes 2-pt layup from 1 ft,86,79
3,0:04.0,T. Rozier makes 2-pt jump shot from 23 ft,,88,79
3,0:01.0,,C. Sexton makes 2-pt layup at rim,88,81
4,11:36.0,T. Rozier misses 2-pt jump shot from 12 ft,,88,81
4,11:35.0,,Defensive rebound by Team,88,81
4,11:24.0,,Shooting foul by G. Yabusele (drawn by J. Clarkson),88,81
4,11:24.0,,J. Clarkson makes free throw 1 of 2,88,82
4,11:24.0,,J. Clarkson makes free throw 2 of 2,88,83
4,11:05.0,Shooting foul by L. Nance (drawn by M. Morris),,88,83
4,11:05.0,M. Morris makes free throw 1 of 2,,89,83
4,11:05.0,A. Baynes enters the game for G. Yabusele,,89,83
4,11:05.0,M. Morris makes free throw 2 of 2,,90,83
4,10:50.0,,Personal foul by A. Baynes (drawn by L. Nance),90,83
4,10:40.0,,C. Sexton makes 2-pt jump shot from 14 ft,90,85
4,10:24.0,G. Hayward makes 2-pt jump shot from 11 ft (assist by T. Rozier),,92,85
4,10:07.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by L. Nance),92,87
4,9:55.0,Turnover by G. Hayward (traveling),,92,87
4,9:46.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by L. Nance),92,89
4,9:46.0,Boston full timeout,,92,89
4,9:46.0,A. Horford enters the game for A. Baynes,,92,89
4,9:46.0,J. Tatum enters the game for J. Brown,,92,89
4,9:34.0,G. Hayward misses 2-pt jump shot from 21 ft,,92,89
4,9:31.0,,Defensive rebound by D. Nwaba,92,89
4,9:10.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by C. Sexton),92,92
4,8:57.0,A. Horford makes 2-pt layup from 1 ft (assist by T. Rozier),,94,92
4,8:57.0,Shooting foul by M. Chriss (drawn by A. Horford),,94,92
4,8:57.0,A. Horford misses free throw 1 of 1,,94,92
4,8:53.0,,Defensive rebound by D. Nwaba,94,92
4,8:32.0,,Turnover by M. Chriss (lost ball; steal by G. Hayward),94,92
4,8:28.0,G. Hayward makes 2-pt layup from 1 ft (assist by A. Horford),,96,92
4,8:07.0,,L. Nance misses 3-pt jump shot from 26 ft,96,92
4,8:02.0,Defensive rebound by M. Morris,,96,92
4,8:02.0,M. Smart enters the game for G. Hayward,,96,92
4,8:02.0,,K. Love enters the game for M. Chriss,96,92
4,7:48.0,Turnover by A. Horford (traveling),,96,92
4,7:38.0,,C. Sexton misses 3-pt jump shot from 26 ft,96,92
4,7:36.0,,Offensive rebound by Team,96,92
4,7:36.0,Loose ball foul by M. Morris (drawn by L. Nance),,96,92
4,7:36.0,,C. Osman enters the game for D. Nwaba,96,92
4,7:22.0,,Turnover by Team (shot clock),96,92
4,7:10.0,M. Morris misses 3-pt jump shot from 26 ft,,96,92
4,7:07.0,,Defensive rebound by L. Nance,96,92
4,7:00.0,,C. Sexton misses 2-pt jump shot from 5 ft,96,92
4,6:57.0,Defensive rebound by A. Horford,,96,92
4,6:57.0,Personal take foul by C. Osman (drawn by J. Tatum),,96,92
4,6:50.0,T. Rozier misses 3-pt jump shot from 27 ft,,96,92
4,6:47.0,,Defensive rebound by L. Nance,96,92
4,6:38.0,,Shooting foul by J. Tatum (drawn by L. Nance),96,92
4,6:38.0,,L. Nance makes free throw 1 of 2,96,93
4,6:38.0,,L. Nance makes free throw 2 of 2,96,94
4,6:26.0,M. Smart makes 2-pt layup from 2 ft,,98,94
4,6:08.0,,K. Love misses 3-pt jump shot from 27 ft,98,94
4,6:05.0,Defensive rebound by J. Tatum,,98,94
4,5:56.0,A. Horford makes 2-pt jump shot from 23 ft (assist by J. Tatum),,100,94
4,5:55.0,,Cleveland full timeout,100,94
4,5:36.0,,J. Clarkson misses 2-pt jump shot from 11 ft,100,94
4,5:33.0,Defensive rebound by M. Smart,,100,94
4,5:29.0,Personal foul by C. Sexton (drawn by J. Tatum),,100,94
4,5:21.0,M. Smart makes 2-pt jump shot from 20 ft,,102,94
4,4:52.0,,C. Sexton misses 3-pt jump shot from 24 ft,102,94
4,4:50.0,Defensive rebound by A. Horford,,102,94
4,4:35.0,M. Morris misses 3-pt jump shot from 27 ft,,102,94
4,4:33.0,,Defensive rebound by Team,102,94
4,4:33.0,Loose ball foul by T. Rozier (drawn by K. Love),,102,94
4,4:33.0,,K. Love makes free throw 1 of 2,102,95
4,4:33.0,A. Baynes enters the game for M. Morris,,102,95
4,4:33.0,G. Hayward enters the game for T. Rozier,,102,95
4,4:33.0,,N. Stauskas enters the game for J. Clarkson,102,95
4,4:33.0,,K. Love makes free throw 2 of 2,102,96
4,4:21.0,Shooting foul by C. Osman (drawn by A. Horford),,102,96
4,4:21.0,A. Horford makes free throw 1 of 2,,103,96
4,4:21.0,A. Horford makes free throw 2 of 2,,104,96
4,4:07.0,,Offensive foul by K. Love (drawn by J. Tatum),104,96
4,4:07.0,,Turnover by K. Love (offensive foul),104,96
4,3:56.0,G. Hayward misses 2-pt jump shot from 14 ft,,104,96
4,3:54.0,,Defensive rebound by N. Stauskas,104,96
4,3:47.0,,L. Nance misses 3-pt jump shot from 25 ft,104,96
4,3:42.0,Defensive rebound by M. Smart,,104,96
4,3:31.0,A. Horford makes 2-pt dunk from 2 ft (assist by J. Tatum),,106,96
4,3:30.0,,Cleveland full timeout,106,96
4,3:30.0,,J. Clarkson enters the game for C. Sexton,106,96
4,3:18.0,,L. Nance makes 2-pt hook shot from 10 ft (assist by K. Love),106,98
4,3:01.0,M. Smart misses 3-pt jump shot from 25 ft,,106,98
4,2:57.0,,Defensive rebound by C. Osman,106,98
4,2:47.0,,L. Nance makes 2-pt dunk from 1 ft (assist by K. Love),106,100
4,2:33.0,Turnover by M. Smart (bad pass; steal by L. Nance),,106,100
4,2:29.0,,Shooting foul by A. Baynes (drawn by J. Clarkson),106,100
4,2:29.0,,J. Clarkson misses free throw 1 of 2,106,100
4,2:29.0,,Offensive rebound by Team,106,100
4,2:29.0,M. Morris enters the game for A. Baynes,,106,100
4,2:29.0,,J. Clarkson misses free throw 2 of 2,106,100
4,2:26.0,Defensive rebound by M. Morris,,106,100
