QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
1,6:59.0,,J. Collins misses 2-pt layup from 2 ft,9,6
1,6:59.0,Defensive rebound by Team,,9,6
1,6:59.0,,Loose ball foul by A. Len (drawn by L. Nance),9,6
1,6:59.0,,Atlanta full timeout,9,6
1,6:59.0,,D. Bembry enters the game for K. Bazemore,9,6
1,6:59.0,,V. Carter enters the game for J. Collins,9,6
1,6:59.0,,M. Plumlee enters the game for A. Len,9,6
1,6:39.0,L. Nance makes 2-pt layup from 1 ft (assist by A. Burks),,11,6
1,6:22.0,,K. Huerter makes 2-pt layup from 1 ft (assist by M. Plumlee),11,8
1,6:03.0,J. Blossomgame misses 2-pt jump shot from 9 ft,,11,8
1,5:57.0,Offensive rebound by L. Nance,,11,8
1,5:48.0,C. Sexton misses 3-pt jump shot from 26 ft,,11,8
1,5:45.0,Offensive rebound by C. Osman,,11,8
1,5:38.0,Shooting foul by V. Carter (drawn by L. Nance),,11,8
1,5:38.0,L. Nance makes free throw 1 of 2,,12,8
1,5:38.0,J. Clarkson enters the game for J. Blossomgame,,12,8
1,5:38.0,L. Nance makes free throw 2 of 2,,13,8
1,5:23.0,,K. Huerter misses 2-pt jump shot from 9 ft,13,8
1,5:19.0,Defensive rebound by L. Nance,,13,8
1,5:15.0,,Violation by Team (kicked ball),13,8
1,5:07.0,J. Clarkson misses 2-pt layup from 5 ft,,13,8
1,5:04.0,,Defensive rebound by M. Plumlee,13,8
1,5:03.0,,Turnover by M. Plumlee (bad pass; steal by A. Burks),13,8
1,4:58.0,J. Clarkson misses 3-pt jump shot from 26 ft,,13,8
1,4:56.0,,Defensive rebound by J. Lin,13,8
1,4:45.0,,V. Carter misses 3-pt jump shot from 25 ft,13,8
1,4:40.0,Defensive rebound by L. Nance,,13,8
1,4:31.0,L. Nance makes 2-pt jump shot from 16 ft (assist by C. Sexton),,15,8
1,4:15.0,,Turnover by J. Lin (bad pass; steal by L. Nance),15,8
1,4:14.0,Personal foul by V. Carter (drawn by C. Osman),,15,8
1,4:14.0,M. Dellavedova enters the game for L. Nance,,15,8
1,4:14.0,C. Frye enters the game for C. Sexton,,15,8
1,4:14.0,,J. Anderson enters the game for K. Huerter,15,8
1,4:14.0,,J. Collins enters the game for M. Plumlee,15,8
1,3:59.0,C. Frye misses 3-pt jump shot from 26 ft,,15,8
1,3:56.0,,Defensive rebound by J. Anderson,15,8
1,3:44.0,,Turnover by J. Collins (bad pass; steal by J. Clarkson),15,8
1,3:40.0,A. Burks makes 2-pt layup from 1 ft,,17,8
1,3:40.0,,Atlanta full timeout,17,8
1,3:40.0,J. Jones enters the game for A. Burks,,17,8
1,3:40.0,,T. Young enters the game for J. Lin,17,8
1,3:26.0,,Shooting foul by J. Clarkson (drawn by J. Collins),17,8
1,3:26.0,,J. Collins makes free throw 1 of 2,17,9
1,3:26.0,,J. Collins misses free throw 2 of 2,17,9
1,3:24.0,Defensive rebound by J. Jones,,17,9
1,3:06.0,J. Clarkson misses 2-pt jump shot from 7 ft,,17,9
1,3:02.0,,Defensive rebound by J. Collins,17,9
1,2:58.0,,J. Collins makes 2-pt layup from 2 ft (assist by D. Bembry),17,11
1,2:58.0,,Shooting foul by J. Jones (drawn by J. Collins),17,11
1,2:58.0,,J. Collins makes free throw 1 of 1,17,12
1,2:37.0,C. Osman makes 2-pt layup from 1 ft (assist by J. Clarkson),,19,12
1,2:26.0,,D. Bembry misses 3-pt jump shot from 23 ft,19,12
1,2:23.0,Defensive rebound by C. Frye,,19,12
1,2:17.0,M. Dellavedova makes 3-pt jump shot from 25 ft,,22,12
1,2:00.0,,V. Carter makes 2-pt layup from 1 ft (assist by T. Young),22,14
1,1:45.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,22,14
1,1:42.0,Offensive rebound by C. Osman,,22,14
1,1:33.0,J. Clarkson misses 2-pt layup from 2 ft (block by D. Bembry),,22,14
1,1:28.0,Offensive rebound by J. Clarkson,,22,14
1,1:27.0,J. Clarkson misses 2-pt jump shot from 12 ft,,22,14
1,1:24.0,Offensive rebound by J. Jones,,22,14
1,1:23.0,J. Jones makes 2-pt layup from 2 ft,,24,14
1,1:14.0,,Turnover by J. Anderson (traveling),24,14
1,1:14.0,J. Blossomgame enters the game for C. Osman,,24,14
1,1:14.0,,A. Len enters the game for V. Carter,24,14
1,0:53.0,C. Frye misses 2-pt jump shot from 8 ft (block by D. Bembry),,24,14
1,0:48.0,,Defensive rebound by T. Young,24,14
1,0:48.0,,T. Young makes 2-pt jump shot from 20 ft,24,16
1,0:39.0,C. Frye misses 3-pt jump shot from 26 ft,,24,16
1,0:35.0,,Defensive rebound by T. Young,24,16
1,0:31.0,,T. Young makes 2-pt layup from 1 ft,24,18
1,0:17.0,Personal foul by D. Bembry (drawn by J. Clarkson),,24,18
1,0:17.0,J. Clarkson makes free throw 1 of 2,,25,18
1,0:17.0,J. Clarkson makes free throw 2 of 2,,26,18
1,0:04.0,,J. Anderson misses 3-pt jump shot from 23 ft,26,18
1,0:01.0,,Offensive rebound by J. Collins,26,18
1,0:01.0,,J. Collins makes 2-pt dunk at rim,26,20
1,0:00.0,Turnover by J. Blossomgame (bad pass; steal by D. Bembry),,26,20
1,0:00.0,,D. Bembry makes 3-pt jump shot from 24 ft,26,23
2,11:49.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),26,25
2,11:32.0,J. Clarkson makes 2-pt jump shot from 8 ft,,28,25
2,11:19.0,,T. Young makes 3-pt jump shot from 32 ft (assist by A. Len),28,28
2,10:57.0,C. Frye misses 2-pt hook shot from 9 ft,,28,28
2,10:54.0,,Defensive rebound by J. Collins,28,28
2,10:49.0,,A. Len makes 2-pt layup from 1 ft (assist by T. Young),28,30
2,10:44.0,Cleveland full timeout,,28,30
2,10:44.0,L. Nance enters the game for J. Blossomgame,,28,30
2,10:44.0,C. Osman enters the game for C. Frye,,28,30
2,10:22.0,C. Osman makes 2-pt jump shot from 17 ft (assist by L. Nance),,30,30
2,10:02.0,,K. Bazemore misses 3-pt jump shot from 23 ft,30,30
2,10:00.0,,Offensive rebound by D. Bembry,30,30
2,9:53.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Bembry),30,32
2,9:41.0,Shooting foul by J. Collins (drawn by L. Nance),,30,32
2,9:41.0,L. Nance makes free throw 1 of 2,,31,32
2,9:41.0,,A. Poythress enters the game for J. Collins,31,32
2,9:41.0,L. Nance makes free throw 2 of 2,,32,32
2,9:28.0,,D. Bembry misses 2-pt layup from 2 ft,32,32
2,9:28.0,,Offensive rebound by A. Poythress,32,32
2,9:21.0,,A. Poythress makes 2-pt layup at rim,32,34
2,9:13.0,Turnover by M. Dellavedova (bad pass),,32,34
2,9:08.0,,Personal foul by M. Dellavedova (drawn by T. Young),32,34
2,9:03.0,,K. Bazemore misses 2-pt jump shot from 12 ft,32,34
2,9:01.0,Defensive rebound by L. Nance,,32,34
2,8:54.0,J. Clarkson makes 2-pt layup from 1 ft,,34,34
2,8:31.0,,A. Poythress misses 2-pt layup from 2 ft,34,34
2,8:30.0,,Offensive rebound by Team,34,34
2,8:30.0,C. Sexton enters the game for M. Dellavedova,,34,34
2,8:28.0,,D. Bembry makes 2-pt layup from 2 ft (assist by K. Bazemore),34,36
2,8:10.0,Turnover by J. Clarkson (lost ball; steal by K. Bazemore),,34,36
2,8:04.0,,D. Bembry misses 3-pt jump shot from 24 ft,34,36
2,7:59.0,,Offensive rebound by A. Poythress,34,36
2,7:58.0,,D. Bembry misses 3-pt jump shot from 24 ft,34,36
2,7:55.0,Defensive rebound by C. Sexton,,34,36
2,7:50.0,A. Burks makes 3-pt jump shot from 26 ft (assist by C. Sexton),,37,36
2,7:33.0,,K. Bazemore makes 2-pt layup at rim,37,38
2,7:22.0,L. Nance misses 3-pt jump shot from 23 ft,,37,38
2,7:19.0,,Defensive rebound by D. Bembry,37,38
2,7:13.0,,A. Len misses 2-pt hook shot from 4 ft,37,38
2,7:09.0,,Offensive rebound by D. Bembry,37,38
2,7:09.0,,D. Bembry makes 2-pt layup from 1 ft,37,40
2,6:41.0,C. Sexton makes 2-pt jump shot from 20 ft (assist by C. Osman),,39,40
2,6:15.0,,A. Poythress makes 3-pt jump shot from 23 ft (assist by D. Bembry),39,43
2,5:52.0,C. Sexton makes 2-pt jump shot from 17 ft,,41,43
2,5:32.0,,A. Len makes 2-pt layup from 1 ft (assist by K. Bazemore),41,45
2,5:17.0,J. Clarkson misses 2-pt jump shot from 12 ft (block by A. Len),,41,45
2,5:12.0,,Defensive rebound by K. Bazemore,41,45
2,5:04.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),41,47
2,5:04.0,Cleveland full timeout,,41,47
2,5:04.0,J. Blossomgame enters the game for J. Clarkson,,41,47
2,5:04.0,,K. Huerter enters the game for D. Bembry,41,47
2,5:04.0,,J. Lin enters the game for A. Len,41,47
2,5:04.0,,M. Plumlee enters the game for T. Young,41,47
2,4:45.0,Turnover by C. Osman (bad pass),,41,47
2,4:26.0,,Shooting foul by A. Burks (drawn by M. Plumlee),41,47
2,4:26.0,,M. Plumlee misses free throw 1 of 2,41,47
2,4:26.0,,Offensive rebound by Team,41,47
2,4:26.0,,M. Plumlee misses free throw 2 of 2,41,47
2,4:23.0,Defensive rebound by C. Osman,,41,47
2,4:06.0,C. Sexton misses 2-pt jump shot from 16 ft,,41,47
2,4:04.0,,Defensive rebound by K. Bazemore,41,47
2,3:48.0,,K. Bazemore misses 3-pt jump shot from 25 ft,41,47
2,3:46.0,Defensive rebound by L. Nance,,41,47
2,3:35.0,C. Osman misses 2-pt layup from 6 ft,,41,47
2,3:31.0,,Defensive rebound by K. Huerter,41,47
2,3:30.0,,Personal foul by C. Osman (drawn by K. Huerter),41,47
2,3:18.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by K. Huerter),41,50
2,3:01.0,Turnover by A. Burks (out of bounds lost ball),,41,50
2,2:52.0,,K. Huerter makes 3-pt jump shot from 26 ft,41,53
2,2:24.0,C. Sexton misses 2-pt jump shot from 9 ft (block by J. Lin),,41,53
2,2:21.0,,Defensive rebound by K. Bazemore,41,53
2,2:19.0,,K. Bazemore misses 2-pt layup from 2 ft,41,53
2,2:16.0,Defensive rebound by L. Nance,,41,53
2,2:12.0,Shooting foul by M. Plumlee (drawn by C. Osman),,41,53
2,2:12.0,C. Osman makes free throw 1 of 2,,42,53
2,2:12.0,J. Jones enters the game for A. Burks,,42,53
2,2:12.0,,V. Carter enters the game for M. Plumlee,42,53
2,2:12.0,,A. Len enters the game for A. Poythress,42,53
2,2:12.0,C. Osman makes free throw 2 of 2,,43,53
2,2:03.0,,K. Huerter misses 3-pt jump shot from 26 ft,43,53
2,1:59.0,Defensive rebound by J. Jones,,43,53
2,1:48.0,C. Sexton makes 2-pt jump shot from 17 ft (assist by C. Osman),,45,53
2,1:33.0,,Turnover by K. Huerter (traveling),45,53
2,1:28.0,Personal foul by K. Huerter (drawn by C. Osman),,45,53
2,1:19.0,C. Osman misses 3-pt jump shot from 26 ft,,45,53
2,1:17.0,Offensive rebound by J. Jones,,45,53
2,1:17.0,J. Jones makes 2-pt layup from 1 ft,,47,53
2,1:17.0,Shooting foul by A. Len (drawn by J. Jones),,47,53
2,1:17.0,J. Jones makes free throw 1 of 1,,48,53
2,1:10.0,,V. Carter makes 2-pt jump shot from 8 ft,48,55
2,0:58.0,J. Jones misses 2-pt jump shot from 19 ft,,48,55
2,0:54.0,,Defensive rebound by V. Carter,48,55
2,0:50.0,,Shooting foul by J. Jones (drawn by A. Len),48,55
2,0:50.0,,A. Len makes free throw 1 of 2,48,56
2,0:50.0,,A. Len makes free throw 2 of 2,48,57
2,0:39.0,Personal foul by K. Bazemore (drawn by C. Sexton),,48,57
2,0:39.0,C. Sexton makes free throw 1 of 2,,49,57
2,0:39.0,C. Sexton makes free throw 2 of 2,,50,57
2,0:27.0,,Shooting foul by C. Sexton (drawn by J. Lin),50,57
2,0:27.0,,J. Lin misses free throw 1 of 2,50,57
2,0:27.0,,Offensive rebound by Team,50,57
2,0:27.0,,D. Bembry enters the game for V. Carter,50,57
2,0:27.0,,J. Lin misses free throw 2 of 2,50,57
2,0:25.0,Defensive rebound by L. Nance,,50,57
2,0:06.0,Shooting foul by K. Bazemore (drawn by C. Sexton),,50,57
2,0:06.0,C. Sexton makes free throw 1 of 2,,51,57
2,0:06.0,C. Sexton misses free throw 2 of 2,,51,57
2,0:01.0,,Defensive rebound by J. Lin,51,57
2,0:00.0,,K. Bazemore misses 2-pt jump shot from 18 ft,51,57
2,0:00.0,,Offensive rebound by Team,51,57
3,11:39.0,,Turnover by A. Len (lost ball; steal by A. Burks),51,57
3,11:33.0,C. Sexton makes 2-pt layup from 1 ft (assist by A. Burks),,53,57
3,11:24.0,,Offensive foul by K. Huerter (drawn by C. Sexton),53,57
3,11:24.0,,Turnover by K. Huerter (offensive foul),53,57
3,11:09.0,Turnover by J. Blossomgame (traveling),,53,57
3,10:57.0,,A. Len misses 3-pt jump shot from 23 ft,53,57
3,10:53.0,,Offensive rebound by K. Huerter,53,57
3,10:51.0,,K. Huerter misses 2-pt jump shot from 9 ft,53,57
3,10:50.0,Defensive rebound by L. Nance,,53,57
3,10:50.0,Personal foul by J. Collins (drawn by L. Nance),,53,57
3,10:31.0,A. Burks misses 3-pt jump shot from 26 ft,,53,57
3,10:25.0,Offensive rebound by L. Nance,,53,57
3,10:25.0,L. Nance makes 2-pt dunk at rim,,55,57
3,10:19.0,,Turnover by T. Young (bad pass; steal by L. Nance),55,57
3,10:12.0,A. Burks misses 3-pt jump shot from 25 ft,,55,57
3,10:09.0,,Defensive rebound by K. Bazemore,55,57
3,10:06.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Huerter),55,59
3,9:43.0,Personal foul by K. Bazemore (drawn by A. Burks),,55,59
3,9:36.0,A. Burks misses 3-pt jump shot from 27 ft,,55,59
3,9:33.0,,Defensive rebound by A. Len,55,59
3,9:28.0,,T. Young makes 2-pt layup from 1 ft,55,61
3,9:12.0,C. Osman makes 2-pt layup from 1 ft (assist by C. Sexton),,57,61
3,9:12.0,Shooting foul by A. Len (drawn by C. Osman),,57,61
3,9:12.0,C. Osman makes free throw 1 of 1,,58,61
3,9:01.0,,Shooting foul by C. Osman (drawn by K. Bazemore),58,61
3,9:01.0,,K. Bazemore misses free throw 1 of 2,58,61
3,9:01.0,,Offensive rebound by Team,58,61
3,9:01.0,,K. Bazemore makes free throw 2 of 2,58,62
3,9:00.0,Personal take foul by T. Young (drawn by C. Sexton),,58,62
3,9:00.0,,D. Bembry enters the game for K. Bazemore,58,62
3,8:49.0,C. Osman makes 2-pt layup from 1 ft (assist by C. Sexton),,60,62
3,8:37.0,,A. Len misses 3-pt jump shot from 23 ft,60,62
3,8:33.0,Defensive rebound by C. Osman,,60,62
3,8:27.0,C. Osman makes 3-pt jump shot from 25 ft,,63,62
3,8:25.0,,Atlanta full timeout,63,62
3,8:25.0,,V. Carter enters the game for A. Len,63,62
3,8:18.0,,Turnover by T. Young (bad pass; steal by L. Nance),63,62
3,8:14.0,J. Blossomgame makes 2-pt dunk from 1 ft (assist by L. Nance),,65,62
3,8:03.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by T. Young),65,65
3,7:46.0,C. Osman misses 2-pt layup from 2 ft,,65,65
3,7:43.0,,Defensive rebound by J. Collins,65,65
3,7:39.0,,D. Bembry misses 2-pt jump shot from 6 ft,65,65
3,7:36.0,Defensive rebound by C. Sexton,,65,65
3,7:30.0,Cleveland full timeout,,65,65
3,7:20.0,C. Sexton misses 2-pt jump shot from 16 ft,,65,65
3,7:17.0,,Defensive rebound by D. Bembry,65,65
3,7:05.0,,D. Bembry misses 3-pt jump shot from 25 ft,65,65
3,7:01.0,,Offensive rebound by K. Huerter,65,65
3,6:54.0,,T. Young makes 2-pt layup from 1 ft (assist by K. Huerter),65,67
3,6:41.0,C. Sexton makes 2-pt jump shot from 9 ft (assist by L. Nance),,67,67
3,6:32.0,,T. Young misses 3-pt jump shot from 28 ft,67,67
3,6:28.0,Defensive rebound by J. Blossomgame,,67,67
3,6:12.0,Turnover by C. Osman (bad pass; steal by V. Carter),,67,67
3,6:10.0,,Personal take foul by C. Sexton (drawn by T. Young),67,67
3,6:10.0,,J. Anderson enters the game for D. Bembry,67,67
3,6:10.0,,J. Lin enters the game for T. Young,67,67
3,6:03.0,,Personal foul by C. Sexton (drawn by J. Lin),67,67
3,6:03.0,C. Frye enters the game for L. Nance,,67,67
3,5:57.0,,V. Carter makes 3-pt jump shot from 24 ft (assist by J. Lin),67,70
3,5:35.0,C. Sexton misses 2-pt jump shot from 19 ft,,67,70
3,5:31.0,,Defensive rebound by V. Carter,67,70
3,5:28.0,,Personal foul by C. Osman (drawn by J. Lin),67,70
3,5:20.0,,J. Collins misses 2-pt jump shot from 16 ft,67,70
3,5:17.0,Defensive rebound by A. Burks,,67,70
3,5:08.0,A. Burks misses 2-pt jump shot from 10 ft,,67,70
3,5:03.0,Offensive rebound by J. Blossomgame,,67,70
3,5:03.0,J. Blossomgame misses 2-pt layup at rim,,67,70
3,5:02.0,,Defensive rebound by J. Anderson,67,70
3,4:58.0,,J. Lin misses 3-pt jump shot from 27 ft,67,70
3,4:54.0,,Offensive rebound by K. Huerter,67,70
3,4:53.0,,K. Huerter makes 2-pt layup from 10 ft,67,72
3,4:26.0,C. Sexton misses 2-pt jump shot from 20 ft,,67,72
3,4:22.0,,Defensive rebound by K. Huerter,67,72
3,4:17.0,,K. Huerter misses 2-pt layup from 2 ft,67,72
3,4:16.0,,Offensive rebound by Team,67,72
3,4:16.0,J. Clarkson enters the game for A. Burks,,67,72
3,4:16.0,M. Dellavedova enters the game for C. Sexton,,67,72
3,4:11.0,,J. Collins misses 2-pt layup from 11 ft (block by C. Frye),67,72
3,4:08.0,,Offensive rebound by J. Anderson,67,72
3,4:07.0,,V. Carter misses 3-pt jump shot from 26 ft,67,72
3,4:04.0,Defensive rebound by C. Osman,,67,72
3,3:51.0,J. Blossomgame misses 3-pt jump shot from 25 ft,,67,72
3,3:48.0,,Defensive rebound by J. Lin,67,72
3,3:39.0,,J. Collins misses 3-pt jump shot from 26 ft,67,72
3,3:36.0,,Offensive rebound by J. Lin,67,72
3,3:30.0,,Personal foul by C. Frye (drawn by J. Lin),67,72
3,3:30.0,,J. Lin makes free throw 1 of 2,67,73
3,3:30.0,J. Jones enters the game for J. Blossomgame,,67,73
3,3:30.0,,A. Poythress enters the game for J. Collins,67,73
3,3:30.0,,J. Lin makes free throw 2 of 2,67,74
3,3:21.0,J. Clarkson makes 2-pt dunk from 1 ft (assist by M. Dellavedova),,69,74
3,3:08.0,,J. Anderson misses 3-pt jump shot from 23 ft,69,74
3,3:05.0,Defensive rebound by M. Dellavedova,,69,74
3,2:59.0,C. Frye misses 3-pt jump shot from 27 ft,,69,74
3,2:56.0,,Defensive rebound by Team,69,74
3,2:46.0,,A. Poythress makes 2-pt layup from 1 ft (assist by J. Lin),69,76
3,2:32.0,M. Dellavedova misses 2-pt jump shot from 10 ft,,69,76
3,2:28.0,,Defensive rebound by A. Poythress,69,76
3,2:14.0,,V. Carter misses 2-pt jump shot from 5 ft,69,76
3,2:11.0,Defensive rebound by C. Osman,,69,76
3,2:09.0,Turnover by C. Osman (offensive foul),,69,76
3,2:09.0,Offensive foul by C. Osman (drawn by J. Lin),,69,76
3,2:09.0,A. Burks enters the game for C. Osman,,69,76
3,2:09.0,,T. Young enters the game for K. Huerter,69,76
3,2:00.0,,T. Young makes 2-pt jump shot from 13 ft,69,78
3,2:00.0,,Shooting foul by M. Dellavedova (drawn by T. Young),69,78
3,2:00.0,,T. Young misses free throw 1 of 1,69,78
3,1:56.0,Defensive rebound by A. Burks,,69,78
3,1:48.0,Shooting foul by V. Carter (drawn by J. Jones),,69,78
3,1:48.0,J. Jones makes free throw 1 of 2,,70,78
3,1:48.0,J. Jones misses free throw 2 of 2,,70,78
3,1:46.0,,Defensive rebound by T. Young,70,78
3,1:31.0,,Shooting foul by A. Burks (drawn by V. Carter),70,78
3,1:31.0,,V. Carter makes free throw 2 of 2,70,79
3,1:31.0,,V. Carter misses free throw 1 of 2,70,79
3,1:31.0,,Offensive rebound by Team,70,79
3,1:18.0,C. Frye misses 2-pt jump shot from 16 ft,,70,79
3,1:14.0,Offensive rebound by A. Burks,,70,79
3,1:14.0,A. Burks makes 2-pt layup at rim,,72,79
3,1:05.0,,V. Carter makes 3-pt jump shot from 25 ft,72,82
3,0:45.0,M. Dellavedova misses 3-pt jump shot from 25 ft,,72,82
3,0:42.0,,Defensive rebound by J. Lin,72,82
3,0:39.0,,T. Young makes 2-pt layup from 1 ft (assist by J. Lin),72,84
3,0:39.0,Violation by Team (def goaltending),,72,84
3,0:34.0,C. Frye makes 2-pt layup from 1 ft (assist by M. Dellavedova),,74,84
3,0:34.0,,Violation by Team (def goaltending),74,84
3,0:23.0,,T. Young misses 3-pt jump shot from 29 ft,74,84
3,0:20.0,Defensive rebound by J. Jones,,74,84
3,0:02.0,C. Frye misses 3-pt jump shot from 25 ft,,74,84
3,0:02.0,,Defensive rebound by J. Anderson,74,84
4,11:47.0,A. Burks misses 2-pt layup from 7 ft,,74,84
4,11:43.0,,Defensive rebound by J. Anderson,74,84
4,11:34.0,,Personal foul by J. Jones (drawn by A. Len),74,84
4,11:21.0,,T. Young misses 3-pt jump shot from 30 ft,74,84
4,11:21.0,,Offensive rebound by Team,74,84
4,11:21.0,Loose ball foul by A. Burks (drawn by J. Anderson),,74,84
4,11:14.0,,A. Poythress misses 3-pt jump shot from 23 ft,74,84
4,11:10.0,Defensive rebound by A. Burks,,74,84
4,11:00.0,L. Nance makes 2-pt layup from 1 ft (assist by M. Dellavedova),,76,84
4,10:43.0,,A. Poythress makes 2-pt layup from 5 ft (assist by J. Anderson),76,86
4,10:23.0,J. Clarkson makes 2-pt jump shot from 5 ft (assist by L. Nance),,78,86
4,10:07.0,,J. Anderson makes 2-pt layup from 1 ft (assist by A. Poythress),78,88
4,9:54.0,M. Dellavedova makes 2-pt layup from 2 ft,,80,88
4,9:37.0,,D. Bembry makes 2-pt layup from 3 ft (assist by T. Young),80,90
4,9:23.0,Turnover by M. Dellavedova (bad pass; steal by J. Anderson),,80,90
4,9:19.0,,Shooting foul by M. Dellavedova (drawn by D. Bembry),80,90
4,9:19.0,,D. Bembry makes free throw 1 of 2,80,91
4,9:19.0,,D. Bembry misses free throw 2 of 2,80,91
4,9:14.0,Defensive rebound by L. Nance,,80,91
4,9:11.0,A. Burks makes 2-pt dunk from 1 ft (assist by L. Nance),,82,91
4,9:00.0,,Personal foul by M. Dellavedova (drawn by T. Young),82,91
4,8:53.0,,A. Poythress makes 2-pt layup from 1 ft (assist by T. Young),82,93
4,8:43.0,Turnover by M. Dellavedova (bad pass; steal by D. Bembry),,82,93
4,8:34.0,,Turnover by D. Bembry (bad pass; steal by L. Nance),82,93
4,8:32.0,J. Clarkson makes 2-pt dunk from 2 ft (assist by J. Jones),,84,93
4,8:32.0,,Atlanta full timeout,84,93
4,8:18.0,,T. Young misses 2-pt jump shot from 16 ft,84,93
4,8:14.0,Defensive rebound by A. Burks,,84,93
4,7:56.0,A. Burks makes 2-pt jump shot from 17 ft (assist by L. Nance),,86,93
4,7:33.0,,A. Len misses 2-pt layup from 3 ft,86,93
4,7:33.0,Defensive rebound by Team,,86,93
4,7:22.0,Personal foul by A. Poythress (drawn by L. Nance),,86,93
4,7:22.0,,J. Collins enters the game for J. Anderson,86,93
4,7:22.0,,K. Huerter enters the game for A. Len,86,93
4,7:11.0,Shooting foul by D. Bembry (drawn by M. Dellavedova),,86,93
4,7:11.0,M. Dellavedova makes free throw 1 of 2,,87,93
4,7:11.0,,V. Carter enters the game for A. Poythress,87,93
4,7:11.0,M. Dellavedova makes free throw 2 of 2,,88,93
4,6:50.0,,D. Bembry misses 3-pt jump shot from 24 ft,88,93
4,6:48.0,,Offensive rebound by Team,88,93
4,6:38.0,,V. Carter misses 3-pt jump shot from 25 ft,88,93
4,6:37.0,Defensive rebound by L. Nance,,88,93
4,6:37.0,Personal foul by J. Collins (drawn by L. Nance),,88,93
4,6:25.0,J. Clarkson misses 3-pt jump shot from 25 ft,,88,93
4,6:21.0,Offensive rebound by J. Jones,,88,93
4,6:20.0,Shooting foul by J. Collins (drawn by J. Jones),,88,93
4,6:20.0,J. Jones makes free throw 1 of 2,,89,93
4,6:20.0,J. Jones misses free throw 2 of 2,,89,93
4,6:17.0,,Defensive rebound by J. Collins,89,93
4,6:02.0,,V. Carter makes 2-pt dunk from 2 ft (assist by K. Huerter),89,95
4,6:00.0,Cleveland full timeout,,89,95
4,5:47.0,J. Jones misses 2-pt jump shot from 10 ft,,89,95
4,5:45.0,,Defensive rebound by J. Collins,89,95
4,5:24.0,,J. Collins misses 2-pt hook shot from 12 ft,89,95
4,5:20.0,Defensive rebound by J. Jones,,89,95
