QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
1,3:08.0,,Defensive rebound by J. Jerebko,24,22
1,3:00.0,,Turnover by K. Durant (lost ball; steal by H. Barnes),24,22
1,2:47.0,H. Barnes makes 2-pt layup from 2 ft,,26,22
1,2:28.0,,K. Durant misses 2-pt layup from 1 ft (block by H. Barnes),26,22
1,2:27.0,Defensive rebound by D. Jordan,,26,22
1,2:20.0,W. Matthews makes 3-pt jump shot from 23 ft (assist by J. Barea),,29,22
1,2:05.0,,A. Iguodala misses 3-pt jump shot from 23 ft,29,22
1,2:03.0,,Offensive rebound by J. Bell,29,22
1,1:59.0,,J. Bell misses 2-pt layup from 2 ft,29,22
1,1:58.0,Defensive rebound by D. Jordan,,29,22
1,1:50.0,W. Matthews misses 3-pt jump shot from 26 ft,,29,22
1,1:48.0,,Defensive rebound by K. Durant,29,22
1,1:39.0,,S. Livingston misses 2-pt jump shot from 15 ft,29,22
1,1:38.0,Defensive rebound by L. Dončić,,29,22
1,1:28.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,31,22
1,1:16.0,,J. Bell misses 2-pt jump shot from 17 ft,31,22
1,1:15.0,Defensive rebound by D. Jordan,,31,22
1,0:53.0,L. Dončić misses 3-pt jump shot from 29 ft,,31,22
1,0:51.0,,Defensive rebound by K. Durant,31,22
1,0:46.0,,K. Durant makes 3-pt jump shot from 27 ft,31,25
1,0:45.0,Dallas full timeout,,31,25
1,0:45.0,D. Finney-Smith enters the game for H. Barnes,,31,25
1,0:45.0,D. Harris enters the game for L. Dončić,,31,25
1,0:45.0,M. Kleber enters the game for D. Jordan,,31,25
1,0:45.0,D. Nowitzki enters the game for W. Matthews,,31,25
1,0:35.0,J. Barea misses 2-pt layup from 4 ft,,31,25
1,0:33.0,,Defensive rebound by K. Durant,31,25
1,0:21.0,,S. Livingston misses 2-pt jump shot from 11 ft,31,25
1,0:20.0,,Offensive rebound by J. Jerebko,31,25
1,0:18.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by J. Jerebko),31,28
1,0:02.0,J. Barea misses 3-pt jump shot from 28 ft,,31,28
1,0:00.0,Offensive rebound by Team,,31,28
2,11:46.0,,J. Jerebko makes 2-pt jump shot from 18 ft (assist by D. Green),31,30
2,11:33.0,D. Finney-Smith makes 2-pt layup from 4 ft (assist by J. Barea),,33,30
2,11:25.0,,J. Jerebko misses 3-pt jump shot from 24 ft,33,30
2,11:23.0,Defensive rebound by D. Harris,,33,30
2,11:15.0,J. Barea makes 3-pt jump shot from 26 ft,,36,30
2,10:57.0,,A. Iguodala misses 3-pt jump shot from 23 ft,36,30
2,10:55.0,,Offensive rebound by A. Iguodala,36,30
2,10:52.0,,S. Livingston misses 2-pt layup from 3 ft,36,30
2,10:51.0,,Offensive rebound by S. Livingston,36,30
2,10:41.0,,S. Livingston makes 2-pt layup from 2 ft,36,32
2,10:32.0,M. Kleber makes 2-pt dunk from 2 ft (assist by J. Barea),,38,32
2,10:23.0,,J. Jerebko makes 3-pt jump shot from 27 ft (assist by S. Curry),38,35
2,10:00.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by J. Barea),,40,35
2,9:48.0,,S. Curry makes 3-pt jump shot from 29 ft (assist by J. Jerebko),40,38
2,9:22.0,Personal foul by A. Iguodala (drawn by D. Finney-Smith),,40,38
2,9:19.0,J. Barea misses 3-pt jump shot from 26 ft,,40,38
2,9:16.0,Offensive rebound by D. Finney-Smith,,40,38
2,9:14.0,M. Kleber misses 3-pt jump shot from 30 ft,,40,38
2,9:12.0,,Defensive rebound by S. Livingston,40,38
2,9:07.0,,S. Curry misses 3-pt jump shot from 31 ft,40,38
2,9:05.0,Defensive rebound by J. Barea,,40,38
2,8:51.0,D. Nowitzki makes 2-pt jump shot from 10 ft,,42,38
2,8:51.0,Shooting foul by S. Livingston (drawn by D. Nowitzki),,42,38
2,8:51.0,D. Nowitzki makes free throw 1 of 1,,43,38
2,8:41.0,,Turnover by S. Curry (bad pass),43,38
2,8:30.0,Personal foul by S. Livingston (drawn by D. Finney-Smith),,43,38
2,8:25.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,43,38
2,8:23.0,,Defensive rebound by D. Green,43,38
2,8:07.0,,A. Iguodala misses 3-pt jump shot from 26 ft,43,38
2,8:05.0,,Offensive rebound by S. Curry,43,38
2,7:53.0,,D. Green misses 2-pt jump shot from 13 ft,43,38
2,7:52.0,Defensive rebound by D. Finney-Smith,,43,38
2,7:45.0,D. Harris misses 3-pt jump shot from 24 ft,,43,38
2,7:43.0,,Defensive rebound by A. Iguodala,43,38
2,7:35.0,,S. Curry makes 2-pt jump shot from 19 ft (assist by A. Iguodala),43,40
2,7:33.0,Dallas full timeout,,43,40
2,7:33.0,,K. Looney enters the game for A. Iguodala,43,40
2,7:33.0,,A. McKinnie enters the game for J. Jerebko,43,40
2,7:33.0,,K. Thompson enters the game for S. Livingston,43,40
2,7:24.0,M. Kleber makes 2-pt dunk at rim (assist by J. Barea),,45,40
2,7:07.0,,K. Thompson makes 2-pt jump shot from 21 ft (assist by S. Curry),45,42
2,6:45.0,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),,47,42
2,6:30.0,,S. Curry misses 2-pt layup from 3 ft,47,42
2,6:29.0,Defensive rebound by J. Barea,,47,42
2,6:12.0,Shooting foul by A. McKinnie (drawn by D. Finney-Smith),,47,42
2,6:12.0,D. Finney-Smith makes free throw 1 of 2,,48,42
2,6:12.0,H. Barnes enters the game for M. Kleber,,48,42
2,6:12.0,D. Jordan enters the game for D. Nowitzki,,48,42
2,6:12.0,,K. Durant enters the game for D. Green,48,42
2,6:12.0,D. Finney-Smith makes free throw 2 of 2,,49,42
2,6:03.0,,Shooting foul by D. Finney-Smith (drawn by A. McKinnie),49,42
2,6:03.0,,A. McKinnie makes free throw 1 of 2,49,43
2,6:03.0,L. Dončić enters the game for J. Barea,,49,43
2,6:03.0,W. Matthews enters the game for D. Harris,,49,43
2,6:03.0,,A. McKinnie makes free throw 2 of 2,49,44
2,5:44.0,H. Barnes misses 2-pt jump shot from 13 ft,,49,44
2,5:43.0,,Defensive rebound by K. Thompson,49,44
2,5:30.0,,K. Durant makes 2-pt jump shot from 21 ft,49,46
2,5:16.0,W. Matthews makes 2-pt layup from 1 ft (assist by L. Dončić),,51,46
2,5:05.0,,S. Curry misses 2-pt jump shot from 18 ft,51,46
2,5:03.0,,Offensive rebound by K. Looney,51,46
2,4:53.0,,K. Durant misses 2-pt jump shot from 19 ft,51,46
2,4:52.0,Defensive rebound by D. Jordan,,51,46
2,4:42.0,L. Dončić misses 2-pt jump shot from 14 ft,,51,46
2,4:41.0,,Defensive rebound by K. Thompson,51,46
2,4:33.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Thompson),51,49
2,4:10.0,W. Matthews misses 2-pt layup from 4 ft,,51,49
2,4:09.0,Offensive rebound by D. Jordan,,51,49
2,4:04.0,D. Jordan makes 2-pt layup at rim,,53,49
2,4:00.0,,K. Durant misses 3-pt jump shot from 27 ft,53,49
2,3:58.0,Defensive rebound by D. Jordan,,53,49
2,3:50.0,H. Barnes misses 3-pt jump shot from 26 ft,,53,49
2,3:48.0,,Defensive rebound by S. Curry,53,49
2,3:43.0,,K. Thompson misses 2-pt jump shot from 7 ft (block by L. Dončić),53,49
2,3:41.0,Defensive rebound by H. Barnes,,53,49
2,3:34.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,53,49
2,3:32.0,Offensive rebound by Team,,53,49
2,3:32.0,,Loose ball foul by A. McKinnie (drawn by D. Jordan),53,49
2,3:32.0,,Technical foul by K. Thompson,53,49
2,3:32.0,H. Barnes makes technical free throw,,54,49
2,3:32.0,D. Jordan misses free throw 1 of 2,,54,49
2,3:32.0,Offensive rebound by Team,,54,49
2,3:32.0,,Golden State full timeout,54,49
2,3:32.0,,D. Green enters the game for K. Looney,54,49
2,3:32.0,,A. Iguodala enters the game for A. McKinnie,54,49
2,3:32.0,D. Jordan misses free throw 2 of 2,,54,49
2,3:31.0,,Defensive rebound by K. Durant,54,49
2,3:17.0,,D. Green makes 2-pt layup from 3 ft (assist by K. Durant),54,51
2,2:59.0,D. Jordan misses 2-pt jump shot from 9 ft,,54,51
2,2:58.0,,Defensive rebound by D. Green,54,51
2,2:58.0,Technical foul by D. Jordan,,54,51
2,2:58.0,,S. Curry misses technical free throw,54,51
2,2:58.0,,Offensive rebound by Team,54,51
2,2:58.0,J. Brunson enters the game for D. Finney-Smith,,54,51
2,2:48.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),54,54
2,2:25.0,H. Barnes misses 3-pt jump shot from 23 ft,,54,54
2,2:23.0,,Defensive rebound by D. Green,54,54
2,2:17.0,,S. Curry misses 3-pt jump shot from 23 ft,54,54
2,2:15.0,Defensive rebound by D. Jordan,,54,54
2,2:00.0,W. Matthews makes 2-pt jump shot from 13 ft,,56,54
2,1:53.0,,K. Durant makes 2-pt dunk from 1 ft (assist by S. Curry),56,56
2,1:37.0,J. Brunson makes 2-pt layup from 2 ft (assist by W. Matthews),,58,56
2,1:27.0,,D. Green makes 2-pt dunk from 2 ft (assist by K. Durant),58,58
2,1:06.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by J. Brunson),,61,58
2,0:41.0,,S. Curry misses 3-pt jump shot from 29 ft,61,58
2,0:38.0,Defensive rebound by Team,,61,58
2,0:26.0,L. Dončić misses 2-pt jump shot from 7 ft,,61,58
2,0:25.0,Offensive rebound by D. Jordan,,61,58
2,0:12.0,H. Barnes misses 3-pt jump shot from 23 ft,,61,58
2,0:10.0,,Defensive rebound by K. Durant,61,58
2,0:06.0,,Turnover by K. Durant (bad pass; steal by J. Brunson),61,58
2,0:01.0,L. Dončić misses 3-pt jump shot from 26 ft,,61,58
2,0:00.0,Offensive rebound by Team,,61,58
3,11:45.0,,Shooting foul by D. Jordan (drawn by K. Thompson),61,58
3,11:45.0,,K. Thompson makes free throw 1 of 2,61,59
3,11:45.0,,K. Thompson makes free throw 2 of 2,61,60
3,11:26.0,H. Barnes makes 2-pt jump shot from 7 ft (assist by L. Dončić),,63,60
3,11:17.0,,K. Looney makes 2-pt jump shot from 18 ft (assist by D. Green),63,62
3,10:58.0,J. Brunson misses 2-pt jump shot from 10 ft,,63,62
3,10:57.0,Offensive rebound by D. Jordan,,63,62
3,10:57.0,D. Jordan misses 2-pt layup from 1 ft,,63,62
3,10:56.0,Offensive rebound by W. Matthews,,63,62
3,10:53.0,W. Matthews makes 3-pt jump shot from 30 ft,,66,62
3,10:35.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by K. Looney),66,64
3,10:16.0,W. Matthews misses 2-pt jump shot from 17 ft,,66,64
3,10:15.0,,Defensive rebound by K. Looney,66,64
3,10:05.0,,D. Green misses 2-pt jump shot from 18 ft,66,64
3,10:04.0,Defensive rebound by D. Jordan,,66,64
3,9:58.0,Offensive foul by H. Barnes (drawn by D. Green),,66,64
3,9:58.0,Turnover by H. Barnes (offensive foul),,66,64
3,9:47.0,,K. Durant misses 2-pt jump shot from 16 ft,66,64
3,9:46.0,Defensive rebound by D. Jordan,,66,64
3,9:38.0,L. Dončić misses 2-pt jump shot from 11 ft,,66,64
3,9:38.0,Offensive rebound by D. Jordan,,66,64
3,9:38.0,D. Jordan misses 2-pt layup from 1 ft,,66,64
3,9:38.0,Offensive rebound by L. Dončić,,66,64
3,9:38.0,Shooting foul by D. Green (drawn by L. Dončić),,66,64
3,9:38.0,L. Dončić makes free throw 1 of 2,,67,64
3,9:38.0,L. Dončić misses free throw 2 of 2,,67,64
3,9:36.0,,Defensive rebound by K. Durant,67,64
3,9:22.0,,S. Curry misses 3-pt jump shot from 28 ft,67,64
3,9:20.0,,Offensive rebound by Team,67,64
3,9:20.0,Loose ball foul by L. Dončić (drawn by D. Green),,67,64
3,9:17.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by K. Durant),67,66
3,8:59.0,H. Barnes misses 3-pt jump shot from 25 ft,,67,66
3,8:57.0,,Defensive rebound by K. Durant,67,66
3,8:53.0,,Shooting foul by J. Brunson (drawn by K. Durant),67,66
3,8:53.0,,K. Durant makes free throw 1 of 2,67,67
3,8:53.0,,K. Durant makes free throw 2 of 2,67,68
3,8:40.0,Personal foul by K. Durant (drawn by L. Dončić),,67,68
3,8:30.0,H. Barnes misses 3-pt jump shot from 23 ft,,67,68
3,8:28.0,,Defensive rebound by K. Durant,67,68
3,8:22.0,,K. Thompson misses 2-pt jump shot from 21 ft,67,68
3,8:20.0,Defensive rebound by D. Jordan,,67,68
3,8:08.0,L. Dončić makes 2-pt dunk from 1 ft (assist by D. Jordan),,69,68
3,7:53.0,,K. Thompson misses 2-pt jump shot from 18 ft,69,68
3,7:51.0,Defensive rebound by D. Jordan,,69,68
3,7:37.0,Shooting foul by K. Thompson (drawn by D. Jordan),,69,68
3,7:37.0,D. Jordan misses free throw 1 of 2,,69,68
3,7:37.0,Offensive rebound by Team,,69,68
3,7:37.0,D. Jordan makes free throw 2 of 2,,70,68
3,7:21.0,,K. Thompson misses 3-pt jump shot from 27 ft,70,68
3,7:19.0,,Offensive rebound by S. Curry,70,68
3,7:12.0,,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),70,70
3,6:50.0,J. Brunson makes 3-pt jump shot from 32 ft (assist by L. Dončić),,73,70
3,6:36.0,,K. Thompson misses 3-pt jump shot from 23 ft,73,70
3,6:34.0,Defensive rebound by H. Barnes,,73,70
3,6:18.0,Turnover by J. Brunson (bad pass; steal by K. Thompson),,73,70
3,6:14.0,,Turnover by K. Thompson (lost ball; steal by W. Matthews),73,70
3,6:07.0,Personal foul by D. Green (drawn by D. Jordan),,73,70
3,6:07.0,,Golden State full timeout,73,70
3,6:07.0,,J. Jerebko enters the game for K. Looney,73,70
3,6:02.0,L. Dončić makes 2-pt dunk from 1 ft,,75,70
3,6:02.0,Shooting foul by J. Jerebko (drawn by L. Dončić),,75,70
3,6:02.0,L. Dončić misses free throw 1 of 1,,75,70
3,6:00.0,,Defensive rebound by D. Green,75,70
3,5:46.0,,S. Curry misses 2-pt layup from 3 ft,75,70
3,5:44.0,,Offensive rebound by D. Green,75,70
3,5:44.0,,D. Green makes 2-pt layup at rim,75,72
3,5:34.0,W. Matthews misses 3-pt jump shot from 23 ft,,75,72
3,5:32.0,,Defensive rebound by D. Green,75,72
3,5:24.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by D. Green),75,74
3,5:24.0,Dallas full timeout,,75,74
3,5:07.0,J. Brunson misses 2-pt jump shot from 10 ft,,75,74
3,5:06.0,,Defensive rebound by K. Durant,75,74
3,5:00.0,,K. Durant misses 2-pt layup from 3 ft,75,74
3,4:58.0,,Offensive rebound by K. Durant,75,74
3,4:56.0,,Turnover by K. Durant (bad pass; steal by L. Dončić),75,74
3,4:52.0,L. Dončić misses 2-pt layup from 3 ft,,75,74
3,4:50.0,,Defensive rebound by K. Thompson,75,74
3,4:47.0,,K. Durant makes 2-pt layup from 2 ft (assist by K. Thompson),75,76
3,4:47.0,,Shooting foul by H. Barnes (drawn by K. Durant),75,76
3,4:47.0,J. Barea enters the game for J. Brunson,,75,76
3,4:47.0,,K. Durant makes free throw 1 of 1,75,77
3,4:36.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by D. Jordan),,78,77
3,4:12.0,,S. Curry misses 3-pt jump shot from 25 ft,78,77
3,4:10.0,Defensive rebound by D. Jordan,,78,77
3,3:54.0,J. Barea makes 2-pt jump shot from 16 ft (assist by H. Barnes),,80,77
3,3:54.0,Shooting foul by S. Curry (drawn by J. Barea),,80,77
3,3:54.0,,S. Livingston enters the game for S. Curry,80,77
3,3:54.0,,K. Looney enters the game for D. Green,80,77
3,3:54.0,J. Barea makes free throw 1 of 1,,81,77
3,3:38.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by K. Thompson),81,79
3,3:22.0,W. Matthews misses 3-pt jump shot from 28 ft,,81,79
3,3:20.0,,Defensive rebound by K. Thompson,81,79
3,3:12.0,,K. Durant misses 3-pt jump shot from 26 ft,81,79
3,3:10.0,,Offensive rebound by J. Jerebko,81,79
3,3:09.0,,J. Jerebko makes 2-pt layup at rim,81,81
3,3:09.0,,Shooting foul by D. Jordan (drawn by J. Jerebko),81,81
3,3:09.0,,A. Iguodala enters the game for K. Thompson,81,81
3,3:09.0,,J. Jerebko makes free throw 1 of 1,81,82
3,3:03.0,Turnover by J. Barea (bad pass),,81,82
3,2:54.0,Loose ball foul by W. Matthews (drawn by K. Durant),,81,82
3,2:54.0,,K. Durant makes free throw 1 of 2,81,83
3,2:54.0,D. Harris enters the game for H. Barnes,,81,83
3,2:54.0,M. Kleber enters the game for D. Jordan,,81,83
3,2:54.0,D. Nowitzki enters the game for W. Matthews,,81,83
3,2:54.0,,K. Durant makes free throw 2 of 2,81,84
3,2:54.0,D. Finney-Smith enters the game for L. Dončić,,81,84
3,2:31.0,J. Barea misses 3-pt jump shot from 26 ft,,81,84
3,2:30.0,Offensive rebound by Team,,81,84
3,2:30.0,Turnover by Team (shot clock),,81,84
3,2:18.0,,J. Jerebko makes 2-pt jump shot from 18 ft,81,86
3,1:59.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,81,86
3,1:58.0,,Defensive rebound by K. Looney,81,86
3,1:52.0,,K. Durant misses 2-pt jump shot from 18 ft,81,86
3,1:50.0,Defensive rebound by D. Finney-Smith,,81,86
3,1:49.0,Personal foul by K. Durant (drawn by D. Finney-Smith),,81,86
3,1:49.0,D. Finney-Smith makes free throw 1 of 2,,82,86
3,1:49.0,D. Finney-Smith misses free throw 2 of 2,,82,86
3,1:47.0,,Defensive rebound by K. Looney,82,86
3,1:35.0,,Shooting foul by D. Finney-Smith (drawn by K. Durant),82,86
3,1:35.0,,K. Durant makes free throw 1 of 2,82,87
3,1:35.0,,K. Durant makes free throw 2 of 2,82,88
3,1:23.0,Turnover by J. Barea (bad pass; steal by A. Iguodala),,82,88
3,1:18.0,,Turnover by K. Durant (lost ball; steal by J. Barea),82,88
3,1:07.0,J. Barea makes 2-pt layup from 3 ft,,84,88
3,0:51.0,,A. Iguodala misses 3-pt jump shot from 28 ft,84,88
3,0:47.0,,Offensive rebound by J. Jerebko,84,88
3,0:45.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by A. Iguodala),84,91
3,0:33.0,J. Barea makes 3-pt jump shot from 28 ft (assist by M. Kleber),,87,91
3,0:19.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Livingston),87,94
3,0:01.0,J. Barea misses 2-pt jump shot from 10 ft (block by S. Livingston),,87,94
3,0:00.0,,Defensive rebound by K. Looney,87,94
4,11:42.0,D. Finney-Smith misses 2-pt jump shot from 12 ft (block by A. Iguodala),,87,94
4,11:40.0,,Defensive rebound by D. Green,87,94
4,11:38.0,,Personal take foul by J. Barea (drawn by D. Green),87,94
4,11:19.0,,A. Iguodala misses 3-pt jump shot from 27 ft,87,94
4,11:17.0,Defensive rebound by M. Kleber,,87,94
4,11:04.0,Shooting foul by S. Livingston (drawn by M. Kleber),,87,94
4,11:04.0,M. Kleber misses free throw 1 of 2,,87,94
4,11:04.0,Offensive rebound by Team,,87,94
4,11:04.0,M. Kleber makes free throw 2 of 2,,88,94
4,10:56.0,,S. Curry misses 3-pt jump shot from 27 ft,88,94
4,10:54.0,Defensive rebound by M. Kleber,,88,94
4,10:50.0,Turnover by D. Nowitzki (bad pass; steal by S. Curry),,88,94
4,10:36.0,,S. Curry misses 2-pt layup from 1 ft,88,94
4,10:35.0,,Offensive rebound by J. Jerebko,88,94
4,10:35.0,,J. Jerebko makes 2-pt layup at rim,88,96
4,10:22.0,Turnover by J. Barea (bad pass; steal by J. Jerebko),,88,96
4,10:14.0,,S. Livingston makes 2-pt dunk from 1 ft (assist by A. Iguodala),88,98
4,10:14.0,Dallas full timeout,,88,98
4,9:59.0,D. Harris misses 3-pt jump shot from 23 ft,,88,98
4,9:57.0,,Defensive rebound by D. Green,88,98
4,9:49.0,,S. Curry makes 3-pt jump shot from 30 ft (assist by J. Jerebko),88,101
4,9:29.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,88,101
4,9:28.0,Offensive rebound by M. Kleber,,88,101
4,9:23.0,D. Harris makes 2-pt layup from 2 ft (assist by M. Kleber),,90,101
4,9:10.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by S. Livingston),90,104
4,9:08.0,Dallas full timeout,,90,104
4,9:08.0,H. Barnes enters the game for D. Finney-Smith,,90,104
4,9:08.0,L. Dončić enters the game for D. Harris,,90,104
4,9:08.0,D. Jordan enters the game for M. Kleber,,90,104
4,9:08.0,W. Matthews enters the game for D. Nowitzki,,90,104
4,8:58.0,Personal foul by A. Iguodala (drawn by L. Dončić),,90,104
4,8:53.0,D. Jordan misses 2-pt jump shot from 5 ft (block by D. Green),,90,104
4,8:52.0,,Defensive rebound by A. Iguodala,90,104
4,8:48.0,,J. Jerebko makes 3-pt jump shot from 25 ft (assist by A. Iguodala),90,107
4,8:37.0,Personal foul by D. Green (drawn by D. Jordan),,90,107
4,8:30.0,W. Matthews makes 3-pt jump shot from 28 ft (assist by L. Dončić),,93,107
4,8:10.0,,J. Jerebko makes 2-pt layup from 3 ft (assist by A. Iguodala),93,109
4,7:56.0,H. Barnes misses 2-pt jump shot from 15 ft,,93,109
4,7:55.0,,Defensive rebound by A. Iguodala,93,109
4,7:51.0,,J. Jerebko makes 2-pt dunk from 2 ft (assist by A. Iguodala),93,111
4,7:51.0,Dallas full timeout,,93,111
4,7:51.0,,K. Thompson enters the game for S. Livingston,93,111
4,7:36.0,D. Jordan makes 2-pt dunk from 3 ft (assist by W. Matthews),,95,111
4,7:25.0,,Offensive foul by K. Thompson (drawn by W. Matthews),95,111
4,7:25.0,,Turnover by K. Thompson (offensive foul),95,111
4,7:01.0,J. Barea misses 3-pt jump shot from 27 ft,,95,111
4,6:59.0,,Defensive rebound by J. Jerebko,95,111
4,6:53.0,,J. Jerebko misses 3-pt jump shot from 28 ft,95,111
4,6:51.0,Defensive rebound by D. Jordan,,95,111
4,6:39.0,Shooting foul by S. Curry (drawn by H. Barnes),,95,111
4,6:39.0,H. Barnes makes free throw 1 of 2,,96,111
4,6:39.0,J. Brunson enters the game for J. Barea,,96,111
