QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
1,4:52.0,Offensive rebound by H. Whiteside,,4,17
1,4:52.0,H. Whiteside makes 2-pt layup from 2 ft,,6,17
1,4:45.0,,A. Nader misses 3-pt jump shot from 24 ft,6,17
1,4:43.0,Defensive rebound by H. Whiteside,,6,17
1,4:34.0,D. Jones makes 2-pt dunk from 1 ft (assist by G. Dragić),,8,17
1,4:32.0,,Oklahoma City full timeout,8,17
1,4:32.0,J. Johnson enters the game for D. Jones,,8,17
1,4:32.0,J. Richardson enters the game for D. Waiters,,8,17
1,4:20.0,,S. Adams makes 2-pt hook shot from 7 ft,8,19
1,4:08.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by J. Johnson),,11,19
1,3:53.0,,Turnover by A. Nader (bad pass),11,19
1,3:42.0,D. Wade makes 2-pt jump shot from 5 ft (assist by G. Dragić),,13,19
1,3:30.0,,Turnover by A. Nader (lost ball; steal by G. Dragić),13,19
1,3:28.0,D. Wade makes 2-pt layup from 1 ft (assist by G. Dragić),,15,19
1,3:16.0,,D. Schröder misses 2-pt jump shot from 17 ft,15,19
1,3:14.0,Defensive rebound by H. Whiteside,,15,19
1,3:01.0,J. Johnson makes 2-pt layup from 1 ft (assist by D. Wade),,17,19
1,2:47.0,,J. Grant misses 2-pt layup from 3 ft,17,19
1,2:43.0,Defensive rebound by D. Wade,,17,19
1,2:30.0,H. Whiteside misses 2-pt hook shot from 3 ft (block by S. Adams),,17,19
1,2:28.0,,Defensive rebound by J. Grant,17,19
1,2:24.0,,Personal foul by H. Whiteside (drawn by S. Adams),17,19
1,2:24.0,K. Olynyk enters the game for H. Whiteside,,17,19
1,2:24.0,,H. Diallo enters the game for T. Ferguson,17,19
1,2:24.0,,R. Felton enters the game for J. Grant,17,19
1,2:24.0,,P. George enters the game for A. Nader,17,19
1,2:24.0,,M. Morris enters the game for D. Schröder,17,19
1,2:24.0,,S. Adams misses free throw 1 of 2,17,19
1,2:24.0,,Offensive rebound by Team,17,19
1,2:24.0,,S. Adams misses free throw 2 of 2,17,19
1,2:21.0,Defensive rebound by J. Richardson,,17,19
1,2:12.0,G. Dragić makes 3-pt jump shot from 26 ft,,20,19
1,1:44.0,,M. Morris misses 2-pt jump shot from 15 ft,20,19
1,1:40.0,,Offensive rebound by H. Diallo,20,19
1,1:29.0,,R. Felton misses 2-pt jump shot from 8 ft,20,19
1,1:27.0,Defensive rebound by K. Olynyk,,20,19
1,1:22.0,G. Dragić makes 2-pt jump shot from 6 ft,,22,19
1,1:10.0,,Offensive foul by S. Adams (drawn by J. Richardson),22,19
1,1:10.0,,Turnover by S. Adams (offensive foul),22,19
1,1:10.0,,D. Burton enters the game for S. Adams,22,19
1,0:59.0,G. Dragić makes 3-pt jump shot from 25 ft,,25,19
1,0:49.0,,P. George makes 2-pt layup from 2 ft,25,21
1,0:44.0,D. Wade makes 2-pt jump shot from 3 ft,,27,21
1,0:44.0,Shooting foul by H. Diallo (drawn by D. Wade),,27,21
1,0:44.0,D. Wade misses free throw 1 of 1,,27,21
1,0:43.0,,Defensive rebound by P. George,27,21
1,0:35.0,,Shooting foul by J. Johnson (drawn by P. George),27,21
1,0:35.0,,P. George makes free throw 1 of 2,27,22
1,0:35.0,,P. George makes free throw 2 of 2,27,23
1,0:28.0,G. Dragić misses 2-pt layup from 1 ft,,27,23
1,0:26.0,,Defensive rebound by P. George,27,23
1,0:09.0,,Personal foul by D. Wade (drawn by P. George),27,23
1,0:09.0,,P. George makes free throw 1 of 2,27,24
1,0:09.0,,P. George makes free throw 2 of 2,27,25
1,0:00.0,D. Wade misses 3-pt jump shot from 25 ft,,27,25
1,0:00.0,Offensive rebound by Team,,27,25
2,11:40.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by D. Wade),,30,25
2,11:40.0,Shooting foul by R. Felton (drawn by G. Dragić),,30,25
2,11:40.0,G. Dragić makes free throw 1 of 1,,31,25
2,11:21.0,,M. Morris misses 2-pt jump shot from 7 ft,31,25
2,11:20.0,Defensive rebound by Team,,31,25
2,11:09.0,J. Johnson makes 2-pt layup from 1 ft (assist by G. Dragić),,33,25
2,10:56.0,,P. George misses 3-pt jump shot from 26 ft,33,25
2,10:50.0,Defensive rebound by K. Olynyk,,33,25
2,10:45.0,J. Richardson misses 3-pt jump shot from 26 ft,,33,25
2,10:45.0,,Defensive rebound by H. Diallo,33,25
2,10:33.0,,D. Burton misses 3-pt jump shot from 23 ft,33,25
2,10:30.0,Defensive rebound by D. Wade,,33,25
2,10:23.0,Turnover by D. Wade (bad pass; steal by P. George),,33,25
2,10:19.0,,Personal foul by J. Richardson (drawn by D. Burton),33,25
2,10:09.0,,H. Diallo misses 3-pt jump shot from 23 ft,33,25
2,10:04.0,Defensive rebound by K. Olynyk,,33,25
2,10:02.0,G. Dragić misses 2-pt jump shot from 23 ft,,33,25
2,9:59.0,Offensive rebound by J. Richardson,,33,25
2,9:55.0,Shooting foul by M. Morris (drawn by J. Johnson),,33,25
2,9:55.0,J. Johnson makes free throw 1 of 2,,34,25
2,9:55.0,D. Waiters enters the game for D. Wade,,34,25
2,9:55.0,J. Johnson makes free throw 2 of 2,,35,25
2,9:41.0,,Turnover by R. Felton (bad pass),35,25
2,9:34.0,Shooting foul by D. Burton (drawn by J. Johnson),,35,25
2,9:34.0,J. Johnson makes free throw 1 of 2,,36,25
2,9:34.0,,T. Ferguson enters the game for D. Burton,36,25
2,9:34.0,,J. Grant enters the game for H. Diallo,36,25
2,9:34.0,J. Johnson makes free throw 2 of 2,,37,25
2,9:17.0,,Shooting foul by G. Dragić (drawn by J. Grant),37,25
2,9:17.0,,J. Grant makes free throw 1 of 2,37,26
2,9:17.0,D. Jones enters the game for J. Johnson,,37,26
2,9:17.0,,J. Grant makes free throw 2 of 2,37,27
2,9:02.0,D. Jones misses 2-pt layup from 3 ft (block by J. Grant),,37,27
2,9:00.0,Offensive rebound by K. Olynyk,,37,27
2,9:00.0,B. Adebayo enters the game for J. Richardson,,37,27
2,8:58.0,D. Jones makes 2-pt dunk from 1 ft (assist by G. Dragić),,39,27
2,8:41.0,,M. Morris misses 3-pt jump shot from 25 ft,39,27
2,8:38.0,,Offensive rebound by R. Felton,39,27
2,8:27.0,,M. Morris makes 2-pt jump shot from 7 ft (assist by P. George),39,29
2,8:13.0,D. Jones makes 2-pt layup from 3 ft (assist by D. Waiters),,41,29
2,8:01.0,,T. Ferguson misses 3-pt jump shot from 22 ft,41,29
2,7:58.0,Defensive rebound by B. Adebayo,,41,29
2,7:41.0,K. Olynyk misses 3-pt jump shot from 25 ft,,41,29
2,7:38.0,,Defensive rebound by T. Ferguson,41,29
2,7:30.0,,P. George makes 2-pt layup from 2 ft,41,31
