QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
1,5:30.0,Turnover by J. Collins (offensive foul),,7,27
1,5:18.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by J. Isaac),7,29
1,5:04.0,J. Collins misses 3-pt jump shot from 26 ft,,7,29
1,5:02.0,,Defensive rebound by W. Iwundu,7,29
1,4:56.0,,W. Iwundu makes 2-pt layup from 4 ft,7,31
1,4:56.0,Violation by Team (def goaltending),,7,31
1,4:56.0,,Shooting foul by T. Young (drawn by W. Iwundu),7,31
1,4:56.0,,T. Ross enters the game for E. Fournier,7,31
1,4:56.0,,W. Iwundu makes free throw 1 of 1,7,32
1,4:41.0,T. Prince misses 3-pt jump shot from 26 ft,,7,32
1,4:39.0,,Defensive rebound by J. Isaac,7,32
1,4:27.0,,W. Iwundu misses 2-pt jump shot from 21 ft,7,32
1,4:25.0,Defensive rebound by D. Bembry,,7,32
1,4:17.0,T. Young makes 2-pt layup from 2 ft (assist by D. Bembry),,9,32
1,3:57.0,,D. Augustin misses 2-pt layup from 2 ft,9,32
1,3:55.0,,Offensive rebound by N. Vučević,9,32
1,3:54.0,,N. Vučević makes 2-pt hook shot from 1 ft,9,34
1,3:42.0,T. Prince makes 2-pt layup from 2 ft,,11,34
1,3:42.0,Shooting foul by J. Isaac (drawn by T. Prince),,11,34
1,3:42.0,J. Adams enters the game for J. Collins,,11,34
1,3:42.0,D. Davis enters the game for T. Young,,11,34
1,3:42.0,,M. Carter-Williams enters the game for D. Augustin,11,34
1,3:42.0,T. Prince misses free throw 1 of 1,,11,34
1,3:40.0,,Defensive rebound by J. Isaac,11,34
1,3:24.0,,N. Vučević makes 3-pt jump shot from 23 ft (assist by T. Ross),11,37
1,3:11.0,D. Bembry misses 3-pt jump shot from 25 ft,,11,37
1,3:08.0,,Defensive rebound by J. Isaac,11,37
1,3:05.0,,Shooting foul by I. Humphries (drawn by J. Isaac),11,37
1,3:05.0,V. Carter enters the game for T. Prince,,11,37
1,3:05.0,,K. Birch enters the game for N. Vučević,11,37
1,3:05.0,,J. Isaac makes free throw 1 of 2,11,38
1,3:05.0,,J. Isaac makes free throw 2 of 2,11,39
1,2:58.0,Personal foul by W. Iwundu (drawn by D. Bembry),,11,39
1,2:58.0,,A. Gordon enters the game for J. Isaac,11,39
1,2:51.0,D. Bembry makes 2-pt jump shot from 7 ft,,13,39
1,2:40.0,,Turnover by M. Carter-Williams (bad pass; steal by D. Bembry),13,39
1,2:38.0,Personal foul by T. Ross (drawn by D. Bembry),,13,39
1,2:32.0,D. Bembry misses 2-pt jump shot from 16 ft,,13,39
1,2:29.0,,Defensive rebound by A. Gordon,13,39
1,2:25.0,,T. Ross misses 3-pt jump shot from 24 ft,13,39
1,2:21.0,Defensive rebound by D. Davis,,13,39
1,1:59.0,J. Adams misses 2-pt layup from 3 ft,,13,39
1,1:56.0,,Defensive rebound by W. Iwundu,13,39
1,1:51.0,,W. Iwundu misses 2-pt layup from 3 ft (block by D. Davis),13,39
1,1:47.0,,Offensive rebound by M. Carter-Williams,13,39
1,1:46.0,,M. Carter-Williams misses 2-pt layup from 5 ft (block by V. Carter),13,39
1,1:43.0,,Offensive rebound by M. Carter-Williams,13,39
1,1:43.0,,Turnover by K. Birch (off goaltending),13,39
1,1:33.0,Personal foul by A. Gordon (drawn by D. Davis),,13,39
1,1:28.0,Turnover by J. Adams (bad pass; steal by M. Carter-Williams),,13,39
1,1:17.0,,T. Ross misses 2-pt layup from 2 ft,13,39
1,1:16.0,Defensive rebound by D. Bembry,,13,39
1,1:10.0,D. Bembry misses 2-pt layup from 2 ft,,13,39
1,1:08.0,,Defensive rebound by K. Birch,13,39
1,1:00.0,,W. Iwundu misses 3-pt jump shot from 23 ft,13,39
1,0:57.0,Defensive rebound by I. Humphries,,13,39
1,0:45.0,Turnover by V. Carter (bad pass; steal by T. Ross),,13,39
1,0:39.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by T. Ross),13,42
1,0:25.0,Shooting foul by A. Gordon (drawn by D. Davis),,13,42
1,0:25.0,Offensive rebound by Team,,13,42
1,0:25.0,D. Davis misses free throw 1 of 2,,13,42
1,0:25.0,D. Davis makes free throw 2 of 2,,14,42
1,0:18.0,,Turnover by M. Carter-Williams (bad pass; steal by D. Bembry),14,42
1,0:15.0,D. Bembry makes 2-pt layup from 2 ft,,16,42
1,0:08.0,,Turnover by T. Ross (bad pass; steal by J. Adams),16,42
1,0:05.0,J. Adams makes 2-pt layup from 2 ft,,18,42
1,0:00.0,,Turnover by A. Gordon (lost ball; steal by J. Adams),18,42
2,11:52.0,J. Adams misses 3-pt jump shot from 26 ft,,18,42
2,11:48.0,,Defensive rebound by E. Fournier,18,42
2,11:34.0,,T. Ross makes 2-pt layup from 2 ft (assist by A. Gordon),18,44
2,11:25.0,J. Anderson makes 3-pt jump shot from 27 ft,,21,44
2,11:08.0,,Turnover by T. Ross (bad pass; steal by J. Anderson),21,44
2,11:01.0,J. Anderson misses 2-pt jump shot from 11 ft,,21,44
2,10:58.0,,Defensive rebound by M. Carter-Williams,21,44
2,10:49.0,,K. Birch misses 2-pt jump shot from 7 ft (block by V. Carter),21,44
2,10:46.0,Defensive rebound by D. Davis,,21,44
2,10:40.0,D. Davis makes 2-pt layup from 3 ft (assist by D. Bembry),,23,44
2,10:20.0,,E. Fournier makes 2-pt layup from 4 ft,23,46
2,10:05.0,D. Bembry misses 2-pt layup from 3 ft,,23,46
2,10:02.0,,Defensive rebound by K. Birch,23,46
2,9:52.0,,K. Birch makes 2-pt hook shot from 3 ft (assist by M. Carter-Williams),23,48
2,9:33.0,V. Carter misses 2-pt layup from 4 ft (block by K. Birch),,23,48
2,9:33.0,Offensive rebound by Team,,23,48
2,9:29.0,V. Carter misses 3-pt jump shot from 23 ft,,23,48
2,9:29.0,,Defensive rebound by A. Gordon,23,48
2,9:16.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by A. Gordon),23,51
2,8:56.0,Personal foul by M. Carter-Williams (drawn by J. Adams),,23,51
2,8:48.0,J. Anderson misses 3-pt jump shot from 26 ft,,23,51
2,8:47.0,,Defensive rebound by M. Carter-Williams,23,51
2,8:40.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),23,54
2,8:38.0,Atlanta full timeout,,23,54
2,8:38.0,J. Collins enters the game for J. Anderson,,23,54
2,8:38.0,A. Len enters the game for V. Carter,,23,54
2,8:38.0,T. Prince enters the game for D. Davis,,23,54
2,8:38.0,,J. Isaac enters the game for A. Gordon,23,54
2,8:23.0,T. Prince makes 2-pt jump shot from 10 ft,,25,54
2,8:03.0,,E. Fournier makes 2-pt jump shot from 4 ft,25,56
2,7:52.0,A. Len makes 3-pt jump shot from 27 ft (assist by J. Adams),,28,56
2,7:39.0,,K. Birch makes 2-pt jump shot from 12 ft (assist by M. Carter-Williams),28,58
2,7:23.0,Shooting foul by K. Birch (drawn by A. Len),,28,58
2,7:23.0,A. Len misses free throw 1 of 2,,28,58
2,7:23.0,Offensive rebound by Team,,28,58
2,7:23.0,T. Young enters the game for J. Adams,,28,58
2,7:23.0,,D. Augustin enters the game for K. Birch,28,58
2,7:23.0,,W. Iwundu enters the game for M. Carter-Williams,28,58
2,7:23.0,,N. Vučević enters the game for E. Fournier,28,58
2,7:23.0,A. Len makes free throw 2 of 2,,29,58
2,7:10.0,,D. Augustin misses 3-pt jump shot from 26 ft,29,58
2,7:06.0,Defensive rebound by D. Bembry,,29,58
2,6:55.0,J. Collins misses 2-pt layup from 4 ft,,29,58
2,6:53.0,Offensive rebound by J. Collins,,29,58
2,6:51.0,J. Collins misses 2-pt layup from 3 ft,,29,58
2,6:45.0,Offensive rebound by A. Len,,29,58
2,6:45.0,A. Len misses 2-pt layup from 1 ft,,29,58
2,6:43.0,Offensive rebound by A. Len,,29,58
2,6:43.0,A. Len makes 2-pt layup from 1 ft,,31,58
2,6:33.0,,N. Vučević misses 2-pt jump shot from 9 ft,31,58
2,6:30.0,Defensive rebound by D. Bembry,,31,58
2,6:21.0,Turnover by J. Collins (lost ball; steal by T. Ross),,31,58
2,6:16.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by D. Augustin),31,61
2,6:04.0,Personal foul by D. Augustin (drawn by T. Young),,31,61
2,6:03.0,Personal foul by J. Isaac (drawn by T. Young),,31,61
2,5:58.0,T. Young misses 2-pt jump shot from 14 ft,,31,61
2,5:54.0,,Defensive rebound by N. Vučević,31,61
2,5:50.0,,D. Augustin makes 2-pt layup from 2 ft (assist by N. Vučević),31,63
2,5:49.0,Technical foul by T. Young,,31,63
2,5:49.0,,D. Augustin makes technical free throw,31,64
2,5:36.0,D. Bembry makes 2-pt jump shot from 5 ft (assist by T. Young),,33,64
2,5:15.0,,N. Vučević makes 2-pt jump shot from 12 ft,33,66
2,5:02.0,A. Len misses 3-pt jump shot from 25 ft,,33,66
2,4:57.0,,Defensive rebound by W. Iwundu,33,66
2,4:52.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by W. Iwundu),33,69
2,4:32.0,D. Bembry misses 3-pt jump shot from 26 ft,,33,69
2,4:27.0,,Defensive rebound by N. Vučević,33,69
2,4:21.0,,J. Isaac makes 2-pt layup from 2 ft,33,71
2,4:21.0,,Shooting foul by A. Len (drawn by J. Isaac),33,71
2,4:21.0,J. Anderson enters the game for D. Bembry,,33,71
2,4:21.0,,E. Fournier enters the game for W. Iwundu,33,71
2,4:21.0,,J. Isaac misses free throw 1 of 1,33,71
2,4:18.0,Defensive rebound by J. Collins,,33,71
2,4:10.0,T. Young misses 2-pt layup from 4 ft,,33,71
2,4:08.0,Offensive rebound by T. Young,,33,71
2,4:07.0,A. Len makes 3-pt jump shot from 24 ft (assist by T. Young),,36,71
2,3:54.0,,T. Ross misses 3-pt jump shot from 26 ft,36,71
2,3:52.0,Defensive rebound by T. Prince,,36,71
2,3:45.0,Shooting foul by N. Vučević (drawn by T. Prince),,36,71
2,3:45.0,T. Prince makes free throw 1 of 2,,37,71
2,3:45.0,T. Prince misses free throw 2 of 2,,37,71
2,3:41.0,,Defensive rebound by T. Ross,37,71
2,3:34.0,,Turnover by D. Augustin (bad pass; steal by T. Young),37,71
2,3:29.0,T. Prince makes 3-pt jump shot from 26 ft (assist by T. Young),,40,71
2,3:04.0,,J. Isaac misses 3-pt jump shot from 25 ft,40,71
2,3:04.0,Defensive rebound by T. Young,,40,71
2,2:58.0,Shooting foul by J. Isaac (drawn by T. Young),,40,71
2,2:58.0,,Orlando full timeout,40,71
2,2:58.0,,J. Martin enters the game for J. Isaac,40,71
2,2:58.0,T. Young makes free throw 1 of 2,,41,71
2,2:58.0,T. Young makes free throw 2 of 2,,42,71
2,2:45.0,,E. Fournier makes 2-pt layup from 1 ft,42,73
2,2:24.0,J. Collins misses 3-pt jump shot from 27 ft,,42,73
2,2:22.0,,Defensive rebound by N. Vučević,42,73
2,2:18.0,,Shooting foul by J. Anderson (drawn by T. Ross),42,73
2,2:18.0,,T. Ross makes free throw 1 of 3,42,74
2,2:18.0,,T. Ross makes free throw 2 of 3,42,75
2,2:18.0,D. Bembry enters the game for A. Len,,42,75
2,2:18.0,D. Davis enters the game for T. Prince,,42,75
2,2:18.0,,T. Ross makes free throw 3 of 3,42,76
2,2:07.0,J. Anderson misses 3-pt jump shot from 26 ft,,42,76
2,2:05.0,,Defensive rebound by J. Martin,42,76
2,1:51.0,,E. Fournier misses 2-pt layup from 4 ft,42,76
2,1:49.0,Defensive rebound by T. Young,,42,76
2,1:44.0,Personal foul by J. Martin (drawn by T. Young),,42,76
2,1:44.0,T. Young misses free throw 1 of 2,,42,76
2,1:44.0,Offensive rebound by Team,,42,76
2,1:44.0,T. Young makes free throw 2 of 2,,43,76
2,1:31.0,,E. Fournier makes 2-pt layup from 3 ft,43,78
2,1:31.0,,Shooting foul by J. Collins (drawn by E. Fournier),43,78
2,1:31.0,,E. Fournier misses free throw 1 of 1,43,78
2,1:27.0,Defensive rebound by D. Davis,,43,78
2,1:12.0,Personal foul by E. Fournier (drawn by D. Bembry),,43,78
2,1:12.0,D. Bembry makes free throw 1 of 2,,44,78
2,1:12.0,D. Bembry misses free throw 2 of 2,,44,78
2,1:10.0,,Defensive rebound by N. Vučević,44,78
2,1:01.0,,Offensive foul by E. Fournier (drawn by T. Young),44,78
2,1:01.0,,Turnover by E. Fournier (offensive foul),44,78
2,1:01.0,,W. Iwundu enters the game for E. Fournier,44,78
2,0:42.0,Shooting foul by J. Martin (drawn by J. Collins),,44,78
2,0:42.0,J. Collins makes free throw 1 of 2,,45,78
2,0:42.0,J. Collins makes free throw 2 of 2,,46,78
2,0:32.0,,J. Martin makes 2-pt dunk from 2 ft (assist by N. Vučević),46,80
2,0:29.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,48,80
2,0:07.0,,T. Ross misses 3-pt jump shot from 28 ft,48,80
2,0:07.0,,Offensive rebound by Team,48,80
2,0:04.0,,Personal foul by D. Davis (drawn by N. Vučević),48,80
2,0:04.0,,Offensive rebound by Team,48,80
2,0:04.0,,N. Vučević misses free throw 1 of 2,48,80
2,0:04.0,,N. Vučević makes free throw 2 of 2,48,81
2,0:04.0,Turnover by J. Collins (bad pass),,48,81
2,0:04.0,,Turnover by D. Augustin (bad pass; steal by D. Bembry),48,81
2,0:00.0,T. Young misses 2-pt jump shot from 12 ft,,48,81
2,0:00.0,Offensive rebound by Team,,48,81
3,11:51.0,A. Len misses 3-pt jump shot from 26 ft,,48,81
3,11:47.0,,Defensive rebound by J. Isaac,48,81
3,11:32.0,,Turnover by A. Gordon (bad pass; steal by T. Young),48,81
3,11:23.0,T. Young makes 2-pt layup from 2 ft,,50,81
3,11:08.0,,Personal foul by J. Collins (drawn by N. Vučević),50,81
3,11:02.0,,A. Gordon makes 2-pt hook shot from 6 ft (assist by J. Isaac),50,83
3,10:35.0,A. Len misses 3-pt jump shot from 24 ft,,50,83
3,10:32.0,,Defensive rebound by A. Gordon,50,83
3,10:24.0,,E. Fournier makes 2-pt jump shot from 4 ft (assist by N. Vučević),50,85
3,10:14.0,T. Young makes 2-pt jump shot from 14 ft,,52,85
3,10:01.0,,J. Isaac misses 3-pt jump shot from 24 ft,52,85
3,9:59.0,Defensive rebound by A. Len,,52,85
3,9:55.0,Personal foul by J. Isaac (drawn by J. Collins),,52,85
3,9:49.0,T. Young makes 2-pt jump shot from 14 ft (assist by A. Len),,54,85
3,9:30.0,,A. Gordon misses 2-pt layup from 2 ft,54,85
3,9:28.0,Defensive rebound by J. Anderson,,54,85
3,9:16.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,56,85
3,9:15.0,,Orlando full timeout,56,85
3,9:05.0,,D. Augustin misses 2-pt jump shot from 7 ft,56,85
3,9:03.0,,Offensive rebound by N. Vučević,56,85
3,9:03.0,,Shooting foul by A. Len (drawn by N. Vučević),56,85
3,9:03.0,,N. Vučević makes free throw 1 of 2,56,86
3,9:03.0,,N. Vučević makes free throw 2 of 2,56,87
3,8:56.0,Turnover by J. Collins (lost ball; steal by A. Gordon),,56,87
3,8:55.0,,Personal take foul by J. Collins (drawn by A. Gordon),56,87
3,8:46.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by E. Fournier),56,89
3,8:32.0,T. Young makes 2-pt jump shot from 13 ft (assist by A. Len),,58,89
3,8:23.0,,N. Vučević misses 3-pt jump shot from 27 ft,58,89
3,8:19.0,,Offensive rebound by J. Isaac,58,89
3,8:19.0,,Personal foul by J. Anderson (drawn by J. Isaac),58,89
3,8:14.0,,E. Fournier makes 2-pt jump shot from 8 ft,58,91
3,8:03.0,T. Young misses 3-pt jump shot from 26 ft,,58,91
3,8:01.0,,Defensive rebound by A. Gordon,58,91
3,7:54.0,,Turnover by A. Gordon (bad pass; steal by A. Len),58,91
3,7:49.0,J. Collins makes 2-pt jump shot from 4 ft,,60,91
3,7:38.0,,E. Fournier makes 2-pt jump shot from 21 ft (assist by D. Augustin),60,93
3,7:15.0,T. Prince misses 3-pt jump shot from 25 ft,,60,93
3,7:13.0,,Defensive rebound by J. Isaac,60,93
3,7:07.0,,D. Augustin makes 3-pt jump shot from 26 ft,60,96
3,7:06.0,Atlanta full timeout,,60,96
3,7:06.0,J. Adams enters the game for J. Anderson,,60,96
3,7:06.0,D. Bembry enters the game for A. Len,,60,96
3,7:06.0,V. Carter enters the game for T. Prince,,60,96
3,7:06.0,I. Humphries enters the game for T. Young,,60,96
3,6:52.0,V. Carter misses 3-pt jump shot from 23 ft,,60,96
3,6:50.0,Offensive rebound by D. Bembry,,60,96
3,6:49.0,V. Carter makes 3-pt jump shot from 26 ft (assist by D. Bembry),,63,96
3,6:28.0,,D. Augustin makes 2-pt layup from 1 ft,63,98
3,6:28.0,,Shooting foul by V. Carter (drawn by D. Augustin),63,98
3,6:28.0,,D. Augustin makes free throw 1 of 1,63,99
3,6:15.0,D. Bembry misses 2-pt jump shot from 16 ft (block by J. Isaac),,63,99
3,6:12.0,Offensive rebound by D. Bembry,,63,99
3,6:11.0,D. Bembry misses 2-pt jump shot from 9 ft,,63,99
3,6:11.0,Offensive rebound by J. Collins,,63,99
3,6:05.0,J. Collins makes 2-pt layup at rim,,65,99
3,5:52.0,,J. Isaac misses 3-pt jump shot from 23 ft,65,99
3,5:50.0,Defensive rebound by J. Collins,,65,99
3,5:38.0,I. Humphries misses 3-pt jump shot from 23 ft,,65,99
3,5:33.0,,Defensive rebound by A. Gordon,65,99
3,5:29.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by A. Gordon),65,101
3,5:02.0,J. Collins misses 2-pt jump shot from 16 ft,,65,101
3,4:58.0,,Defensive rebound by A. Gordon,65,101
3,4:50.0,,Turnover by A. Gordon (bad pass; steal by V. Carter),65,101
3,4:47.0,Turnover by V. Carter (lost ball; steal by J. Isaac),,65,101
3,4:34.0,,J. Isaac makes 2-pt dunk from 2 ft (assist by A. Gordon),65,103
3,4:15.0,J. Adams makes 3-pt jump shot from 25 ft (assist by J. Collins),,68,103
3,3:56.0,,D. Augustin misses 2-pt layup from 2 ft,68,103
3,3:50.0,,Offensive rebound by N. Vučević,68,103
3,3:50.0,,N. Vučević misses 2-pt layup from 1 ft,68,103
3,3:50.0,Defensive rebound by D. Bembry,,68,103
3,3:48.0,D. Bembry makes 2-pt layup from 1 ft,,70,103
3,3:28.0,,Personal foul by D. Bembry (drawn by N. Vučević),70,103
3,3:28.0,,N. Vučević makes free throw 1 of 2,70,104
3,3:28.0,D. Davis enters the game for J. Collins,,70,104
3,3:28.0,,M. Carter-Williams enters the game for D. Augustin,70,104
3,3:28.0,,W. Iwundu enters the game for E. Fournier,70,104
3,3:28.0,,T. Ross enters the game for J. Isaac,70,104
3,3:28.0,,N. Vučević makes free throw 2 of 2,70,105
3,3:13.0,D. Bembry makes 2-pt layup from 1 ft,,72,105
3,3:01.0,,A. Gordon makes 3-pt jump shot from 27 ft (assist by M. Carter-Williams),72,108
3,2:47.0,Turnover by D. Bembry (bad pass; steal by N. Vučević),,72,108
3,2:38.0,,W. Iwundu makes 3-pt jump shot from 24 ft (assist by N. Vučević),72,111
3,2:20.0,V. Carter makes 3-pt jump shot from 23 ft (assist by J. Adams),,75,111
3,1:59.0,,Turnover by N. Vučević (bad pass),75,111
3,1:59.0,,K. Birch enters the game for N. Vučević,75,111
3,1:47.0,J. Adams misses 2-pt layup from 4 ft (block by A. Gordon),,75,111
3,1:44.0,,Defensive rebound by M. Carter-Williams,75,111
3,1:34.0,,K. Birch misses 2-pt jump shot from 8 ft (block by J. Adams),75,111
3,1:34.0,Defensive rebound by Team,,75,111
3,1:21.0,Turnover by J. Adams (bad pass),,75,111
3,1:01.0,,W. Iwundu misses 2-pt jump shot from 10 ft,75,111
3,0:59.0,Defensive rebound by D. Davis,,75,111
3,0:52.0,I. Humphries makes 3-pt jump shot from 25 ft (assist by D. Bembry),,78,111
3,0:30.0,,K. Birch makes 2-pt hook shot from 6 ft,78,113
3,0:26.0,D. Bembry misses 2-pt layup from 3 ft (block by K. Birch),,78,113
3,0:22.0,,Defensive rebound by A. Gordon,78,113
3,0:07.0,,Turnover by M. Carter-Williams (bad pass; steal by J. Adams),78,113
3,0:03.0,J. Adams makes 2-pt layup from 2 ft,,80,113
3,0:00.0,,M. Carter-Williams misses 3-pt jump shot from 31 ft,80,113
3,0:00.0,,Offensive rebound by Team,80,113
4,11:49.0,,Personal foul by J. Adams (drawn by M. Carter-Williams),80,113
4,11:44.0,,A. Gordon misses 3-pt jump shot from 26 ft,80,113
4,11:42.0,,Offensive rebound by K. Birch,80,113
4,11:37.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),80,116
4,11:22.0,J. Adams makes 2-pt jump shot from 15 ft,,82,116
4,11:07.0,,M. Carter-Williams misses 2-pt hook shot from 8 ft,82,116
4,11:05.0,Defensive rebound by D. Davis,,82,116
4,10:56.0,V. Carter makes 3-pt jump shot from 25 ft (assist by J. Adams),,85,116
4,10:38.0,,M. Carter-Williams misses 3-pt jump shot from 27 ft,85,116
4,10:34.0,Defensive rebound by J. Anderson,,85,116
4,10:29.0,J. Anderson misses 3-pt jump shot from 26 ft,,85,116
4,10:27.0,,Defensive rebound by A. Gordon,85,116
4,10:11.0,,W. Iwundu makes 3-pt jump shot from 24 ft (assist by K. Birch),85,119
4,9:50.0,T. Prince misses 3-pt jump shot from 26 ft,,85,119
4,9:48.0,,Defensive rebound by T. Ross,85,119
4,9:41.0,,T. Ross misses 3-pt jump shot from 26 ft,85,119
4,9:39.0,Defensive rebound by J. Adams,,85,119
4,9:36.0,Turnover by J. Adams (bad pass; steal by K. Birch),,85,119
4,9:19.0,,Turnover by A. Gordon (bad pass; steal by J. Adams),85,119
4,9:12.0,D. Davis makes 2-pt dunk from 2 ft (assist by J. Adams),,87,119
4,8:57.0,,M. Carter-Williams makes 2-pt layup at rim,87,121
4,8:39.0,Shooting foul by W. Iwundu (drawn by T. Prince),,87,121
4,8:39.0,T. Prince makes free throw 1 of 3,,88,121
4,8:39.0,T. Prince makes free throw 2 of 3,,89,121
4,8:39.0,J. Collins enters the game for J. Adams,,89,121
4,8:39.0,A. Len enters the game for V. Carter,,89,121
4,8:39.0,T. Young enters the game for D. Davis,,89,121
4,8:39.0,,J. Martin enters the game for A. Gordon,89,121
4,8:39.0,T. Prince misses free throw 3 of 3,,89,121
4,8:37.0,Offensive rebound by J. Collins,,89,121
4,8:23.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Prince),,91,121
4,8:02.0,,Turnover by T. Ross (bad pass; steal by T. Prince),91,121
4,7:58.0,T. Prince makes 2-pt layup from 2 ft,,93,121
4,7:58.0,,Orlando full timeout,93,121
4,7:58.0,,D. Augustin enters the game for K. Birch,93,121
4,7:58.0,,E. Fournier enters the game for M. Carter-Williams,93,121
4,7:58.0,,N. Vučević enters the game for W. Iwundu,93,121
4,7:45.0,,T. Ross makes 2-pt jump shot from 19 ft (assist by D. Augustin),93,123
4,7:34.0,T. Prince makes 2-pt jump shot from 11 ft,,95,123
4,7:34.0,Shooting foul by N. Vučević (drawn by T. Prince),,95,123
4,7:34.0,T. Prince makes free throw 1 of 1,,96,123
4,7:17.0,,Shooting foul by J. Anderson (drawn by E. Fournier),96,123
4,7:17.0,,E. Fournier makes free throw 1 of 2,96,124
4,7:17.0,,E. Fournier makes free throw 2 of 2,96,125
4,7:10.0,T. Prince misses 2-pt layup from 2 ft,,96,125
4,7:07.0,,Defensive rebound by J. Martin,96,125
4,6:58.0,,N. Vučević makes 2-pt layup from 2 ft (assist by J. Martin),96,127
4,6:50.0,Turnover by T. Young (lost ball; steal by D. Augustin),,96,127
