QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
1,1:28.0,,C. Paul makes free throw 2 of 2,27,31
1,1:07.0,M. Bagley makes 2-pt hook shot from 4 ft,,29,31
1,1:00.0,,G. Green makes 2-pt dunk from 4 ft,29,33
1,0:42.0,Turnover by Y. Ferrell (bad pass; steal by C. Paul),,29,33
1,0:35.0,,G. Green misses 3-pt jump shot from 26 ft,29,33
1,0:32.0,Defensive rebound by M. Bagley,,29,33
1,0:23.0,T. Williams misses 3-pt jump shot from 26 ft,,29,33
1,0:19.0,,Defensive rebound by G. Clark,29,33
1,0:00.0,,C. Paul makes 3-pt jump shot from 25 ft,29,36
2,11:42.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by M. Bagley),,32,36
2,11:16.0,,C. Paul makes 2-pt jump shot from 11 ft,32,38
2,11:16.0,,Shooting foul by Y. Ferrell (drawn by C. Paul),32,38
2,11:16.0,,C. Paul makes free throw 1 of 1,32,39
2,11:04.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,32,39
2,11:00.0,,Defensive rebound by C. Capela,32,39
2,10:49.0,,E. Gordon misses 2-pt layup from 3 ft (block by M. Bagley),32,39
2,10:46.0,Defensive rebound by Y. Ferrell,,32,39
2,10:44.0,B. Bogdanović misses 2-pt jump shot from 22 ft,,32,39
2,10:40.0,,Defensive rebound by C. Capela,32,39
2,10:23.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),32,42
2,10:11.0,J. Jackson misses 3-pt jump shot from 23 ft,,32,42
2,10:08.0,,Defensive rebound by C. Capela,32,42
2,10:03.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),32,45
2,9:36.0,J. Jackson misses 3-pt jump shot from 28 ft,,32,45
2,9:34.0,Offensive rebound by B. Hield,,32,45
2,9:32.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by B. Hield),,35,45
2,9:18.0,,Turnover by C. Paul (bad pass; steal by Y. Ferrell),35,45
2,9:14.0,B. Hield misses 3-pt jump shot from 23 ft,,35,45
2,9:09.0,,Defensive rebound by J. Ennis,35,45
2,9:07.0,,C. Paul makes 3-pt jump shot from 26 ft,35,48
2,8:43.0,B. Bogdanović makes 2-pt hook shot from 8 ft,,37,48
2,8:38.0,,Turnover by C. Paul (bad pass),37,48
2,8:29.0,Turnover by Y. Ferrell (lost ball; steal by C. Capela),,37,48
2,8:21.0,,P. Tucker misses 3-pt jump shot from 28 ft,37,48
2,8:20.0,Defensive rebound by Team,,37,48
2,8:20.0,,Loose ball foul by J. Ennis (drawn by B. Bogdanović),37,48
2,8:20.0,,J. Harden enters the game for C. Capela,37,48
2,8:01.0,J. Jackson makes 2-pt layup from 2 ft (assist by B. Bogdanović),,39,48
2,7:45.0,,C. Paul misses 3-pt jump shot from 26 ft,39,48
2,7:42.0,Defensive rebound by B. Bogdanović,,39,48
2,7:37.0,B. Bogdanović makes 2-pt jump shot from 7 ft,,41,48
2,7:18.0,,P. Tucker makes 2-pt layup from 3 ft (assist by E. Gordon),41,50
2,7:05.0,Y. Ferrell misses 3-pt jump shot from 27 ft,,41,50
2,7:02.0,,Defensive rebound by C. Paul,41,50
2,6:57.0,,J. Harden makes 2-pt layup from 2 ft,41,52
2,6:35.0,Personal foul by C. Paul (drawn by M. Bagley),,41,52
2,6:35.0,,Houston full timeout,41,52
2,6:35.0,W. Cauley-Stein enters the game for Y. Ferrell,,41,52
2,6:35.0,D. Fox enters the game for B. Hield,,41,52
2,6:35.0,,C. Capela enters the game for J. Ennis,41,52
2,6:35.0,,G. Clark enters the game for C. Paul,41,52
2,6:24.0,W. Cauley-Stein misses 2-pt hook shot from 13 ft,,41,52
2,6:20.0,,Defensive rebound by G. Clark,41,52
2,6:14.0,,C. Capela makes 2-pt dunk from 2 ft (assist by E. Gordon),41,54
2,5:51.0,D. Fox misses 3-pt jump shot from 27 ft,,41,54
2,5:49.0,,Defensive rebound by P. Tucker,41,54
2,5:45.0,,Personal foul by B. Bogdanović (drawn by C. Capela),41,54
2,5:45.0,B. Hield enters the game for B. Bogdanović,,41,54
2,5:45.0,I. Shumpert enters the game for J. Jackson,,41,54
2,5:37.0,,G. Clark makes 3-pt jump shot from 29 ft (assist by J. Harden),41,57
2,5:19.0,B. Hield makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),,44,57
2,5:00.0,,J. Harden makes 2-pt layup from 3 ft (assist by C. Capela),44,59
2,4:53.0,I. Shumpert misses 3-pt jump shot from 26 ft,,44,59
2,4:51.0,,Defensive rebound by C. Capela,44,59
2,4:40.0,,J. Harden misses 3-pt jump shot from 26 ft,44,59
2,4:36.0,Defensive rebound by I. Shumpert,,44,59
2,4:33.0,Personal foul by J. Harden (drawn by W. Cauley-Stein),,44,59
2,4:27.0,W. Cauley-Stein misses 2-pt hook shot from 10 ft,,44,59
2,4:25.0,Offensive rebound by B. Hield,,44,59
2,4:24.0,B. Hield misses 2-pt layup from 3 ft,,44,59
2,4:22.0,Offensive rebound by B. Hield,,44,59
2,4:21.0,B. Hield makes 2-pt layup from 1 ft,,46,59
2,4:04.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),46,61
2,3:51.0,Shooting foul by P. Tucker (drawn by M. Bagley),,46,61
2,3:51.0,M. Bagley misses free throw 1 of 2,,46,61
2,3:51.0,Offensive rebound by Team,,46,61
2,3:51.0,,J. Ennis enters the game for E. Gordon,46,61
2,3:51.0,,C. Paul enters the game for P. Tucker,46,61
2,3:51.0,M. Bagley makes free throw 2 of 2,,47,61
2,3:36.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),47,63
2,3:21.0,W. Cauley-Stein misses 2-pt jump shot from 7 ft (block by G. Clark),,47,63
2,3:16.0,Offensive rebound by M. Bagley,,47,63
2,3:15.0,M. Bagley makes 2-pt dunk from 1 ft,,49,63
2,3:08.0,,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),49,65
2,2:59.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),,51,65
2,2:34.0,,J. Harden misses 2-pt jump shot from 17 ft,51,65
2,2:29.0,Defensive rebound by I. Shumpert,,51,65
2,2:14.0,Offensive foul by B. Hield (drawn by J. Harden),,51,65
2,2:14.0,Turnover by B. Hield (offensive foul),,51,65
2,2:14.0,Sacramento full timeout,,51,65
2,2:14.0,J. Jackson enters the game for M. Bagley,,51,65
2,2:14.0,,P. Tucker enters the game for G. Clark,51,65
2,2:01.0,,Turnover by J. Harden (bad pass; steal by B. Hield),51,65
2,1:54.0,J. Jackson misses 2-pt jump shot from 16 ft,,51,65
2,1:52.0,,Defensive rebound by P. Tucker,51,65
2,1:45.0,,J. Ennis misses 3-pt jump shot from 23 ft,51,65
2,1:41.0,Defensive rebound by W. Cauley-Stein,,51,65
2,1:31.0,D. Fox makes 2-pt layup from 3 ft,,53,65
2,1:18.0,,Shooting foul by B. Hield (drawn by J. Harden),53,65
2,1:18.0,,J. Harden makes free throw 1 of 2,53,66
2,1:18.0,,J. Harden makes free throw 2 of 2,53,67
2,1:02.0,B. Hield misses 2-pt layup from 3 ft,,53,67
2,0:59.0,Offensive rebound by I. Shumpert,,53,67
2,0:58.0,B. Hield makes 3-pt jump shot from 23 ft (assist by I. Shumpert),,56,67
2,0:42.0,,Shooting foul by W. Cauley-Stein (drawn by J. Ennis),56,67
2,0:42.0,,J. Ennis makes free throw 1 of 2,56,68
2,0:42.0,,J. Ennis makes free throw 2 of 2,56,69
2,0:36.0,D. Fox misses 2-pt jump shot from 6 ft (block by C. Capela),,56,69
2,0:36.0,Offensive rebound by Team,,56,69
2,0:33.0,Turnover by I. Shumpert (bad pass; steal by J. Ennis),,56,69
2,0:29.0,,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),56,71
2,0:25.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by D. Fox),,59,71
2,0:00.0,,J. Harden misses 3-pt jump shot from 26 ft,59,71
2,0:00.0,,Offensive rebound by Team,59,71
3,11:41.0,B. Hield misses 2-pt hook shot from 5 ft,,59,71
3,11:38.0,Offensive rebound by W. Cauley-Stein,,59,71
3,11:33.0,D. Fox misses 2-pt jump shot from 17 ft,,59,71
3,11:32.0,,Defensive rebound by Team,59,71
3,11:32.0,Loose ball foul by W. Cauley-Stein (drawn by C. Paul),,59,71
3,11:22.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),59,74
3,10:59.0,N. Bjelica makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),,61,74
3,10:46.0,,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),61,76
3,10:38.0,I. Shumpert misses 3-pt jump shot from 23 ft,,61,76
3,10:36.0,,Defensive rebound by C. Capela,61,76
3,10:17.0,,C. Capela misses 2-pt layup from 4 ft,61,76
3,10:15.0,Defensive rebound by W. Cauley-Stein,,61,76
3,10:10.0,D. Fox misses 2-pt layup from 6 ft (block by J. Ennis),,61,76
3,10:07.0,,Defensive rebound by J. Harden,61,76
3,10:05.0,,Offensive foul by P. Tucker (drawn by I. Shumpert),61,76
3,10:05.0,,Turnover by P. Tucker (offensive foul),61,76
3,9:53.0,Turnover by D. Fox (bad pass; steal by P. Tucker),,61,76
3,9:40.0,,J. Harden makes 2-pt layup from 2 ft,61,78
3,9:27.0,Shooting foul by J. Harden (drawn by W. Cauley-Stein),,61,78
3,9:27.0,W. Cauley-Stein misses free throw 1 of 2,,61,78
3,9:27.0,Offensive rebound by Team,,61,78
3,9:27.0,W. Cauley-Stein makes free throw 2 of 2,,62,78
3,9:17.0,,Offensive foul by C. Paul (drawn by D. Fox),62,78
3,9:17.0,,Turnover by C. Paul (offensive foul),62,78
3,9:09.0,N. Bjelica misses 3-pt jump shot from 26 ft,,62,78
3,9:07.0,Offensive rebound by I. Shumpert,,62,78
3,9:03.0,W. Cauley-Stein misses 2-pt layup from 3 ft,,62,78
3,9:00.0,Offensive rebound by B. Hield,,62,78
3,9:00.0,B. Hield makes 2-pt layup from 1 ft,,64,78
3,8:50.0,,P. Tucker makes 2-pt hook shot from 3 ft (assist by C. Paul),64,80
3,8:40.0,B. Hield makes 3-pt jump shot from 29 ft,,67,80
3,8:25.0,,Personal foul by D. Fox (drawn by J. Harden),67,80
3,8:20.0,,Personal foul by D. Fox (drawn by C. Paul),67,80
3,8:12.0,,P. Tucker misses 3-pt jump shot from 25 ft,67,80
3,8:09.0,Defensive rebound by B. Hield,,67,80
3,8:05.0,D. Fox misses 2-pt layup from 3 ft,,67,80
3,8:02.0,Offensive rebound by B. Hield,,67,80
3,8:02.0,B. Hield makes 2-pt layup from 1 ft,,69,80
3,7:44.0,,J. Harden makes 3-pt jump shot from 26 ft,69,83
3,7:34.0,I. Shumpert misses 3-pt jump shot from 23 ft,,69,83
3,7:31.0,,Defensive rebound by C. Capela,69,83
3,7:22.0,,Turnover by P. Tucker (bad pass),69,83
3,7:09.0,W. Cauley-Stein misses 2-pt jump shot from 10 ft,,69,83
3,7:07.0,,Defensive rebound by C. Capela,69,83
3,6:48.0,,C. Paul makes 3-pt jump shot from 28 ft,69,86
3,6:35.0,B. Hield misses 3-pt jump shot from 28 ft,,69,86
3,6:34.0,Offensive rebound by Team,,69,86
3,6:34.0,,Loose ball foul by C. Paul (drawn by N. Bjelica),69,86
3,6:34.0,,Houston full timeout,69,86
3,6:34.0,,E. Gordon enters the game for C. Paul,69,86
3,6:30.0,W. Cauley-Stein misses 2-pt jump shot from 10 ft (block by C. Capela),,69,86
3,6:26.0,Offensive rebound by W. Cauley-Stein,,69,86
3,6:26.0,Turnover by W. Cauley-Stein (lost ball; steal by J. Harden),,69,86
3,6:20.0,,C. Capela makes 2-pt layup from 4 ft (assist by J. Harden),69,88
3,6:12.0,D. Fox makes 3-pt jump shot from 27 ft,,72,88
3,6:03.0,,Turnover by J. Harden (bad pass; steal by D. Fox),72,88
3,5:57.0,B. Hield makes 2-pt layup from 2 ft,,74,88
3,5:38.0,,E. Gordon misses 3-pt jump shot from 33 ft,74,88
3,5:36.0,Defensive rebound by N. Bjelica,,74,88
3,5:27.0,W. Cauley-Stein misses 2-pt layup from 7 ft,,74,88
3,5:24.0,,Defensive rebound by J. Ennis,74,88
3,5:15.0,,Shooting foul by N. Bjelica (drawn by J. Harden),74,88
3,5:15.0,,J. Harden makes free throw 1 of 2,74,89
3,5:15.0,M. Bagley enters the game for W. Cauley-Stein,,74,89
3,5:15.0,B. Bogdanović enters the game for I. Shumpert,,74,89
3,5:15.0,,G. Clark enters the game for C. Capela,74,89
3,5:15.0,,I. Hartenstein enters the game for J. Ennis,74,89
3,5:15.0,,J. Harden makes free throw 2 of 2,74,90
3,5:05.0,Turnover by D. Fox (out of bounds lost ball),,74,90
3,4:47.0,,J. Harden makes 2-pt layup from 2 ft,74,92
3,4:34.0,M. Bagley misses 2-pt jump shot from 8 ft (block by G. Clark),,74,92
3,4:27.0,,Defensive rebound by I. Hartenstein,74,92
3,4:24.0,,J. Harden makes 3-pt jump shot from 27 ft,74,95
3,4:24.0,Sacramento full timeout,,74,95
3,4:24.0,J. Jackson enters the game for N. Bjelica,,74,95
3,4:15.0,M. Bagley misses 3-pt jump shot from 26 ft,,74,95
3,4:13.0,,Defensive rebound by P. Tucker,74,95
3,4:06.0,,J. Harden makes 3-pt jump shot from 27 ft,74,98
3,3:52.0,B. Hield misses 3-pt jump shot from 27 ft,,74,98
3,3:49.0,Offensive rebound by Team,,74,98
3,3:49.0,,G. Green enters the game for P. Tucker,74,98
3,3:36.0,B. Hield makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),,76,98
3,3:26.0,,E. Gordon misses 3-pt jump shot from 24 ft,76,98
3,3:23.0,Defensive rebound by D. Fox,,76,98
3,3:16.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,76,98
3,3:14.0,,Defensive rebound by J. Harden,76,98
3,2:55.0,,G. Green misses 2-pt jump shot from 16 ft,76,98
3,2:53.0,Defensive rebound by J. Jackson,,76,98
3,2:46.0,D. Fox makes 2-pt layup from 4 ft,,78,98
3,2:28.0,,E. Gordon misses 3-pt jump shot from 30 ft,78,98
3,2:24.0,Defensive rebound by M. Bagley,,78,98
3,2:12.0,J. Jackson makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),,81,98
3,2:12.0,,Houston full timeout,81,98
3,2:12.0,F. Mason enters the game for D. Fox,,81,98
3,2:12.0,,C. Paul enters the game for J. Harden,81,98
3,1:56.0,,E. Gordon makes 2-pt layup from 3 ft (assist by C. Paul),81,100
3,1:48.0,Personal foul by G. Green (drawn by B. Bogdanović),,81,100
3,1:41.0,B. Bogdanović misses 2-pt layup from 6 ft (block by G. Clark),,81,100
3,1:40.0,Offensive rebound by M. Bagley,,81,100
3,1:40.0,M. Bagley makes 2-pt dunk from 1 ft,,83,100
3,1:40.0,Shooting foul by G. Green (drawn by M. Bagley),,83,100
3,1:40.0,M. Bagley makes free throw 1 of 1,,84,100
3,1:25.0,,G. Green makes 3-pt jump shot from 23 ft (assist by E. Gordon),84,103
3,1:13.0,J. Jackson misses 3-pt jump shot from 24 ft,,84,103
3,1:11.0,,Defensive rebound by C. Paul,84,103
3,1:04.0,,G. Clark misses 3-pt jump shot from 24 ft,84,103
3,1:02.0,Defensive rebound by J. Jackson,,84,103
3,0:51.0,F. Mason misses 2-pt layup from 3 ft (block by G. Clark),,84,103
3,0:46.0,,Defensive rebound by C. Paul,84,103
3,0:45.0,,G. Green makes 3-pt jump shot from 24 ft (assist by C. Paul),84,106
3,0:27.0,M. Bagley makes 2-pt jump shot from 16 ft,,86,106
3,0:02.0,,C. Paul makes 3-pt jump shot from 28 ft,86,109
3,0:00.0,F. Mason misses 3-pt jump shot from 28 ft,,86,109
3,0:00.0,Offensive rebound by Team,,86,109
4,11:37.0,,G. Green makes 3-pt jump shot from 28 ft (assist by G. Clark),86,112
4,11:14.0,F. Mason makes 2-pt layup from 8 ft (assist by J. Jackson),,88,112
4,10:57.0,,C. Capela makes 2-pt dunk from 3 ft (assist by C. Paul),88,114
4,10:50.0,F. Mason makes 2-pt layup from 4 ft,,90,114
4,10:42.0,,E. Gordon misses 3-pt jump shot from 25 ft,90,114
4,10:39.0,Defensive rebound by J. Jackson,,90,114
4,10:30.0,Y. Ferrell misses 3-pt jump shot from 23 ft,,90,114
4,10:25.0,,Defensive rebound by C. Capela,90,114
4,10:17.0,,E. Gordon misses 3-pt jump shot from 28 ft,90,114
4,10:13.0,Defensive rebound by M. Bagley,,90,114
4,10:05.0,F. Mason misses 2-pt layup from 4 ft,,90,114
4,10:03.0,,Defensive rebound by G. Green,90,114
4,9:59.0,,Turnover by C. Paul (bad pass),90,114
4,9:59.0,,J. Ennis enters the game for G. Clark,90,114
4,9:59.0,,P. Tucker enters the game for G. Green,90,114
4,9:46.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,90,114
4,9:42.0,,Defensive rebound by C. Paul,90,114
4,9:29.0,,Turnover by C. Paul (bad pass; steal by B. Bogdanović),90,114
4,9:27.0,Personal foul by E. Gordon (drawn by B. Bogdanović),,90,114
4,9:27.0,,J. Harden enters the game for E. Gordon,90,114
4,9:18.0,Y. Ferrell misses 2-pt layup from 5 ft,,90,114
4,9:15.0,,Defensive rebound by P. Tucker,90,114
4,9:11.0,,J. Harden misses 3-pt jump shot from 26 ft,90,114
4,9:11.0,,Offensive rebound by C. Capela,90,114
4,9:05.0,,C. Capela misses 2-pt dunk from 3 ft,90,114
4,9:03.0,,Offensive rebound by C. Capela,90,114
4,9:03.0,,Turnover by C. Capela (out of bounds lost ball),90,114
4,9:03.0,Sacramento full timeout,,90,114
4,9:03.0,T. Williams enters the game for B. Bogdanović,,90,114
4,8:50.0,T. Williams makes 2-pt layup from 4 ft,,92,114
4,8:43.0,,Shooting foul by M. Bagley (drawn by C. Capela),92,114
4,8:43.0,,C. Capela misses free throw 1 of 2,92,114
4,8:43.0,,Offensive rebound by Team,92,114
4,8:43.0,,C. Capela makes free throw 2 of 2,92,115
4,8:31.0,Shooting foul by J. Ennis (drawn by J. Jackson),,92,115
4,8:31.0,J. Jackson makes free throw 1 of 2,,93,115
4,8:31.0,J. Jackson makes free throw 2 of 2,,94,115
4,8:16.0,,P. Tucker misses 3-pt jump shot from 23 ft,94,115
4,8:13.0,Defensive rebound by J. Jackson,,94,115
4,8:09.0,F. Mason misses 2-pt layup from 5 ft (block by C. Capela),,94,115
4,8:06.0,,Defensive rebound by P. Tucker,94,115
4,8:06.0,,Turnover by P. Tucker (bad pass),94,115
4,7:41.0,M. Bagley misses 2-pt jump shot from 14 ft,,94,115
4,7:39.0,,Defensive rebound by P. Tucker,94,115
4,7:23.0,,J. Harden misses 3-pt jump shot from 29 ft,94,115
4,7:19.0,Defensive rebound by M. Bagley,,94,115
4,7:10.0,M. Bagley makes 2-pt layup from 4 ft (assist by Y. Ferrell),,96,115
4,6:53.0,,Turnover by J. Harden (bad pass),96,115
4,6:53.0,H. Giles enters the game for M. Bagley,,96,115
4,6:53.0,S. Labissière enters the game for J. Jackson,,96,115
4,6:35.0,H. Giles misses 2-pt jump shot from 16 ft,,96,115
4,6:32.0,,Defensive rebound by P. Tucker,96,115
4,6:18.0,,Turnover by C. Paul (bad pass; steal by H. Giles),96,115
4,6:14.0,T. Williams makes 2-pt dunk from 3 ft (assist by F. Mason),,98,115
4,6:11.0,,Houston full timeout,98,115
4,6:11.0,,E. Gordon enters the game for C. Paul,98,115
4,5:59.0,,P. Tucker misses 3-pt jump shot from 24 ft (block by S. Labissière),98,115
4,5:55.0,,Offensive rebound by P. Tucker,98,115
4,5:53.0,,Turnover by P. Tucker (lost ball; steal by F. Mason),98,115
4,5:48.0,H. Giles makes 2-pt layup from 5 ft (assist by F. Mason),,100,115
4,5:35.0,,C. Capela makes 2-pt layup from 5 ft (assist by E. Gordon),100,117
4,5:35.0,,Shooting foul by S. Labissière (drawn by C. Capela),100,117
4,5:35.0,,C. Capela misses free throw 1 of 1,100,117
4,5:35.0,Defensive rebound by Y. Ferrell,,100,117
4,5:21.0,H. Giles misses 2-pt hook shot from 9 ft,,100,117
4,5:18.0,,Defensive rebound by J. Ennis,100,117
4,5:06.0,,Shooting foul by Y. Ferrell (drawn by J. Harden),100,117
4,5:06.0,,G. Clark enters the game for P. Tucker,100,117
4,5:06.0,,J. Harden makes free throw 1 of 3,100,118
4,5:06.0,,J. Harden makes free throw 2 of 3,100,119
4,5:06.0,,J. Harden makes free throw 3 of 3,100,120
4,4:47.0,Shooting foul by J. Ennis (drawn by H. Giles),,100,120
4,4:47.0,Offensive rebound by Team,,100,120
4,4:47.0,H. Giles misses free throw 1 of 2,,100,120
4,4:47.0,H. Giles makes free throw 2 of 2,,101,120
4,4:36.0,,E. Gordon makes 3-pt jump shot from 30 ft (assist by J. Harden),101,123
4,4:17.0,Turnover by F. Mason (bad pass; steal by J. Harden),,101,123
4,4:12.0,,E. Gordon misses 3-pt jump shot from 28 ft,101,123
