QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CLEVELAND_ACTION,BROOKLYN_SCORE,CLEVELAND_SCORE
2,7:28.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),37,48
2,7:15.0,S. Napier misses 3-pt jump shot from 25 ft,,37,48
2,7:13.0,,Defensive rebound by J. Clarkson,37,48
2,7:06.0,,J. Clarkson misses 2-pt jump shot from 13 ft,37,48
2,7:04.0,Defensive rebound by R. Hollis-Jefferson,,37,48
2,6:54.0,D. Carroll misses 3-pt jump shot from 25 ft,,37,48
2,6:50.0,,Defensive rebound by L. Nance,37,48
2,6:36.0,,Personal foul by D. Carroll (drawn by J. Clarkson),37,48
2,6:36.0,J. Harris enters the game for D. Carroll,,37,48
2,6:36.0,C. LeVert enters the game for A. Crabbe,,37,48
2,6:36.0,,C. Osman enters the game for M. Dellavedova,37,48
2,6:36.0,,C. Sexton enters the game for N. Stauskas,37,48
2,6:21.0,,C. Osman misses 2-pt layup from 7 ft,37,48
2,6:16.0,,Offensive rebound by A. Žižić,37,48
2,6:16.0,,A. Žižić misses 2-pt layup at rim,37,48
2,6:15.0,Defensive rebound by E. Davis,,37,48
2,5:59.0,S. Napier misses 3-pt jump shot from 26 ft,,37,48
2,5:57.0,,Defensive rebound by C. Sexton,37,48
2,5:48.0,,Turnover by L. Nance (bad pass; steal by E. Davis),37,48
2,5:30.0,S. Napier makes 3-pt jump shot from 25 ft (assist by C. LeVert),,40,48
2,5:06.0,,J. Clarkson misses 3-pt jump shot from 25 ft,40,48
2,5:05.0,,Offensive rebound by A. Žižić,40,48
2,5:05.0,,Shooting foul by C. LeVert (drawn by A. Žižić),40,48
2,5:05.0,,A. Žižić makes free throw 1 of 2,40,49
2,5:05.0,J. Allen enters the game for E. Davis,,40,49
2,5:05.0,,B. Knight enters the game for J. Clarkson,40,49
2,5:05.0,,D. Nwaba enters the game for L. Nance,40,49
2,5:05.0,,A. Žižić makes free throw 2 of 2,40,50
2,4:45.0,S. Napier misses 2-pt layup at rim,,40,50
2,4:42.0,,Defensive rebound by A. Žižić,40,50
2,4:36.0,,B. Knight misses 3-pt jump shot from 26 ft,40,50
2,4:32.0,Defensive rebound by C. LeVert,,40,50
2,4:26.0,C. LeVert makes 2-pt jump shot from 7 ft,,42,50
2,4:05.0,,A. Žižić makes 2-pt hook shot from 4 ft (assist by C. Sexton),42,52
2,3:51.0,Offensive foul by R. Hollis-Jefferson (drawn by D. Nwaba),,42,52
2,3:51.0,Turnover by R. Hollis-Jefferson (offensive foul),,42,52
2,3:33.0,,C. Sexton makes 2-pt jump shot from 9 ft,42,54
2,3:20.0,Turnover by J. Harris (lost ball; steal by B. Knight),,42,54
2,3:17.0,,Turnover by B. Knight (bad pass; steal by R. Hollis-Jefferson),42,54
2,3:13.0,J. Harris makes 3-pt jump shot from 23 ft (assist by C. LeVert),,45,54
2,2:53.0,,C. Sexton makes 2-pt jump shot from 6 ft (assist by B. Knight),45,56
2,2:41.0,J. Allen makes 2-pt hook shot from 11 ft (assist by C. LeVert),,47,56
2,2:26.0,,B. Knight misses 3-pt jump shot from 27 ft,47,56
2,2:23.0,Defensive rebound by J. Allen,,47,56
2,2:13.0,C. LeVert makes 2-pt jump shot from 5 ft (assist by J. Allen),,49,56
2,1:50.0,,Turnover by B. Knight (out of bounds lost ball),49,56
2,1:50.0,D. Carroll enters the game for R. Hollis-Jefferson,,49,56
2,1:50.0,D. Russell enters the game for S. Napier,,49,56
2,1:34.0,C. LeVert misses 2-pt jump shot from 9 ft,,49,56
2,1:29.0,Offensive rebound by D. Carroll,,49,56
2,1:26.0,C. LeVert makes 2-pt layup from 2 ft (assist by D. Russell),,51,56
2,1:07.0,,C. Osman makes 2-pt jump shot from 11 ft (assist by C. Sexton),51,58
2,0:59.0,Turnover by D. Russell (bad pass),,51,58
2,0:37.0,,C. Osman misses 3-pt jump shot from 25 ft,51,58
2,0:34.0,Defensive rebound by J. Allen,,51,58
2,0:28.0,J. Allen makes 2-pt layup at rim (assist by C. LeVert),,53,58
2,0:06.0,,B. Knight misses 3-pt jump shot from 26 ft,53,58
2,0:06.0,Defensive rebound by Team,,53,58
2,0:01.0,D. Carroll makes 2-pt layup from 1 ft (assist by D. Russell),,55,58
3,11:36.0,,B. Knight makes 2-pt jump shot from 16 ft,55,60
3,11:27.0,D. Russell misses 3-pt jump shot from 26 ft,,55,60
3,11:25.0,,Defensive rebound by C. Osman,55,60
3,11:16.0,,A. Žižić misses 2-pt layup from 1 ft (block by J. Allen),55,60
3,11:16.0,Defensive rebound by C. LeVert,,55,60
3,11:16.0,Personal take foul by C. Osman (drawn by C. LeVert),,55,60
3,11:02.0,Personal foul by D. Nwaba (drawn by R. Hollis-Jefferson),,55,60
3,10:56.0,R. Hollis-Jefferson misses 3-pt jump shot from 23 ft,,55,60
3,10:53.0,,Defensive rebound by A. Žižić,55,60
3,10:45.0,,B. Knight misses 2-pt jump shot from 14 ft,55,60
3,10:42.0,Defensive rebound by J. Allen,,55,60
3,10:22.0,D. Russell misses 2-pt jump shot from 13 ft,,55,60
3,10:19.0,,Defensive rebound by C. Osman,55,60
3,10:18.0,,Offensive foul by A. Žižić (drawn by J. Allen),55,60
3,10:18.0,,Turnover by A. Žižić (offensive foul),55,60
3,10:02.0,J. Harris misses 2-pt jump shot from 16 ft,,55,60
3,10:00.0,,Defensive rebound by D. Nwaba,55,60
3,9:47.0,,D. Nwaba makes 2-pt jump shot from 10 ft (assist by C. Osman),55,62
3,9:34.0,Shooting foul by D. Nwaba (drawn by J. Allen),,55,62
3,9:34.0,J. Allen misses free throw 1 of 2,,55,62
3,9:34.0,Offensive rebound by Team,,55,62
3,9:34.0,J. Allen misses free throw 2 of 2,,55,62
3,9:32.0,,Defensive rebound by C. Osman,55,62
3,9:18.0,,C. Osman misses 3-pt jump shot from 26 ft,55,62
3,9:15.0,Defensive rebound by Team,,55,62
3,9:05.0,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),,57,62
3,8:50.0,,C. Sexton makes 3-pt jump shot from 28 ft (assist by B. Knight),57,65
3,8:31.0,D. Russell misses 2-pt jump shot from 12 ft,,57,65
3,8:29.0,,Defensive rebound by C. Sexton,57,65
3,8:09.0,,C. Osman misses 2-pt jump shot from 13 ft,57,65
3,8:07.0,Defensive rebound by D. Russell,,57,65
3,8:03.0,J. Harris misses 3-pt jump shot from 27 ft,,57,65
3,8:02.0,Offensive rebound by J. Allen,,57,65
3,8:02.0,Personal foul by A. Žižić (drawn by J. Allen),,57,65
3,7:53.0,Turnover by C. LeVert (bad pass; steal by A. Žižić),,57,65
3,7:47.0,,C. Sexton makes 2-pt layup from 1 ft (assist by B. Knight),57,67
3,7:30.0,D. Russell misses 2-pt layup from 1 ft,,57,67
3,7:27.0,,Defensive rebound by D. Nwaba,57,67
3,7:24.0,,B. Knight misses 3-pt jump shot from 23 ft,57,67
3,7:21.0,Defensive rebound by C. LeVert,,57,67
3,7:19.0,D. Russell misses 3-pt jump shot from 26 ft,,57,67
3,7:16.0,Offensive rebound by C. LeVert,,57,67
3,7:13.0,C. LeVert makes 3-pt jump shot from 26 ft,,60,67
3,6:53.0,,Personal foul by D. Russell (drawn by C. Osman),60,67
3,6:53.0,,Cleveland full timeout,60,67
3,6:53.0,D. Carroll enters the game for R. Hollis-Jefferson,,60,67
3,6:53.0,S. Napier enters the game for D. Russell,,60,67
3,6:53.0,,J. Clarkson enters the game for B. Knight,60,67
3,6:43.0,,J. Clarkson misses 2-pt jump shot from 7 ft,60,67
3,6:43.0,,Offensive rebound by Team,60,67
3,6:34.0,,C. Sexton misses 2-pt jump shot from 8 ft (block by J. Allen),60,67
3,6:31.0,,Offensive rebound by C. Sexton,60,67
3,6:28.0,,C. Sexton makes 2-pt jump shot from 16 ft,60,69
3,6:20.0,Shooting foul by A. Žižić (drawn by J. Allen),,60,69
3,6:20.0,J. Allen makes free throw 1 of 2,,61,69
3,6:20.0,J. Allen makes free throw 2 of 2,,62,69
3,6:03.0,,C. Sexton misses 3-pt jump shot from 26 ft,62,69
3,5:59.0,Defensive rebound by S. Napier,,62,69
3,5:54.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by S. Napier),,65,69
3,5:40.0,,Personal foul by C. LeVert (drawn by D. Nwaba),65,69
3,5:40.0,,L. Nance enters the game for D. Nwaba,65,69
3,5:30.0,,C. Osman makes 2-pt layup at rim (assist by J. Clarkson),65,71
3,5:13.0,C. LeVert misses 3-pt jump shot from 25 ft,,65,71
3,5:10.0,,Defensive rebound by L. Nance,65,71
3,5:02.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by A. Žižić),65,74
3,4:52.0,J. Harris makes 2-pt layup from 2 ft (assist by S. Napier),,67,74
3,4:28.0,,L. Nance makes 3-pt jump shot from 25 ft (assist by C. Osman),67,77
3,4:12.0,S. Napier makes 3-pt jump shot from 27 ft (assist by C. LeVert),,70,77
3,3:57.0,,Offensive foul by C. Sexton (drawn by S. Napier),70,77
3,3:57.0,,Turnover by C. Sexton (offensive foul),70,77
3,3:57.0,A. Crabbe enters the game for J. Allen,,70,77
3,3:57.0,E. Davis enters the game for C. LeVert,,70,77
3,3:57.0,,M. Chriss enters the game for C. Osman,70,77
3,3:57.0,,N. Stauskas enters the game for A. Žižić,70,77
3,3:41.0,S. Napier misses 3-pt jump shot from 24 ft,,70,77
3,3:39.0,Offensive rebound by D. Carroll,,70,77
3,3:37.0,Personal foul by C. Sexton (drawn by A. Crabbe),,70,77
3,3:37.0,A. Crabbe misses free throw 1 of 2,,70,77
3,3:37.0,Offensive rebound by Team,,70,77
3,3:37.0,,M. Dellavedova enters the game for C. Sexton,70,77
3,3:37.0,A. Crabbe makes free throw 2 of 2,,71,77
3,3:13.0,,N. Stauskas makes 2-pt layup from 1 ft (assist by L. Nance),71,79
3,2:58.0,E. Davis misses 2-pt layup from 2 ft,,71,79
3,2:52.0,Offensive rebound by E. Davis,,71,79
3,2:52.0,E. Davis makes 2-pt layup at rim,,73,79
3,2:37.0,,L. Nance misses 3-pt jump shot from 25 ft,73,79
3,2:34.0,Defensive rebound by E. Davis,,73,79
3,2:30.0,D. Carroll makes 2-pt jump shot from 8 ft,,75,79
3,2:30.0,Shooting foul by L. Nance (drawn by D. Carroll),,75,79
3,2:30.0,Brooklyn full timeout,,75,79
3,2:30.0,D. Russell enters the game for J. Harris,,75,79
3,2:30.0,D. Carroll makes free throw 1 of 1,,76,79
3,2:15.0,,Personal foul by S. Napier (drawn by J. Clarkson),76,79
3,2:06.0,,N. Stauskas misses 2-pt jump shot from 13 ft,76,79
3,2:04.0,,Offensive rebound by J. Clarkson,76,79
3,2:02.0,,J. Clarkson makes 2-pt layup from 1 ft,76,81
3,1:49.0,S. Napier makes 2-pt jump shot from 13 ft,,78,81
3,1:27.0,,M. Dellavedova makes 2-pt layup from 1 ft,78,83
3,1:07.0,D. Russell makes 3-pt jump shot from 26 ft,,81,83
3,0:49.0,,M. Chriss misses 3-pt jump shot from 24 ft,81,83
3,0:48.0,,Offensive rebound by L. Nance,81,83
3,0:41.0,,Turnover by J. Clarkson (bad pass),81,83
3,0:26.0,S. Napier misses 2-pt layup from 2 ft,,81,83
3,0:26.0,Offensive rebound by Team,,81,83
3,0:23.0,D. Russell makes 3-pt jump shot from 25 ft (assist by E. Davis),,84,83
3,0:05.0,,Personal take foul by S. Napier (drawn by J. Clarkson),84,83
3,0:02.0,,Personal foul by D. Russell (drawn by M. Dellavedova),84,83
3,0:02.0,,M. Dellavedova misses free throw 1 of 2,84,83
3,0:02.0,,Offensive rebound by Team,84,83
3,0:02.0,,M. Dellavedova makes free throw 2 of 2,84,84
4,11:46.0,Personal foul by L. Nance (drawn by E. Davis),,84,84
4,11:40.0,D. Russell misses 3-pt jump shot from 26 ft,,84,84
4,11:40.0,,Defensive rebound by Team,84,84
4,11:28.0,,M. Chriss makes 2-pt dunk from 2 ft (assist by M. Dellavedova),84,86
4,11:04.0,D. Russell makes 2-pt jump shot from 4 ft,,86,86
4,10:49.0,,M. Chriss makes 2-pt layup at rim,86,88
4,10:49.0,,Shooting foul by D. Russell (drawn by M. Chriss),86,88
4,10:49.0,C. LeVert enters the game for S. Napier,,86,88
4,10:49.0,,M. Chriss misses free throw 1 of 1,86,88
4,10:46.0,Defensive rebound by D. Carroll,,86,88
4,10:32.0,Shooting foul by N. Stauskas (drawn by A. Crabbe),,86,88
4,10:32.0,A. Crabbe makes free throw 1 of 2,,87,88
4,10:32.0,A. Crabbe misses free throw 2 of 2,,87,88
4,10:29.0,,Defensive rebound by M. Chriss,87,88
4,10:11.0,,M. Dellavedova misses 2-pt layup at rim,87,88
4,10:11.0,Defensive rebound by Team,,87,88
4,10:11.0,,Loose ball foul by J. Clarkson (drawn by E. Davis),87,88
4,10:11.0,R. Hollis-Jefferson enters the game for D. Russell,,87,88
4,9:54.0,A. Crabbe misses 3-pt jump shot from 27 ft,,87,88
4,9:50.0,,Defensive rebound by L. Nance,87,88
4,9:46.0,,J. Clarkson misses 2-pt jump shot from 5 ft,87,88
4,9:42.0,Defensive rebound by A. Crabbe,,87,88
4,9:36.0,C. LeVert makes 3-pt jump shot from 26 ft,,90,88
4,9:19.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by M. Dellavedova),90,90
4,9:03.0,C. LeVert misses 2-pt jump shot from 8 ft,,90,90
4,9:00.0,,Defensive rebound by L. Nance,90,90
4,8:50.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,90,90
4,8:50.0,,Offensive rebound by L. Nance,90,90
4,8:50.0,,L. Nance misses 2-pt layup from 1 ft,90,90
4,8:50.0,Defensive rebound by E. Davis,,90,90
4,8:50.0,Personal foul by M. Dellavedova (drawn by E. Davis),,90,90
4,8:50.0,,C. Osman enters the game for M. Chriss,90,90
4,8:39.0,R. Hollis-Jefferson makes 2-pt jump shot from 9 ft (assist by C. LeVert),,92,90
4,8:28.0,,Turnover by M. Dellavedova (bad pass),92,90
4,8:20.0,Offensive foul by A. Crabbe (drawn by M. Dellavedova),,92,90
4,8:20.0,Turnover by A. Crabbe (offensive foul),,92,90
4,8:01.0,,J. Clarkson misses 2-pt jump shot from 3 ft (block by E. Davis),92,90
4,8:01.0,,Offensive rebound by J. Clarkson,92,90
4,8:01.0,,J. Clarkson makes 2-pt layup from 1 ft,92,92
4,8:01.0,,Shooting foul by E. Davis (drawn by J. Clarkson),92,92
4,8:01.0,,J. Clarkson makes free throw 1 of 1,92,93
4,7:44.0,Shooting foul by L. Nance (drawn by R. Hollis-Jefferson),,92,93
4,7:44.0,R. Hollis-Jefferson makes free throw 1 of 2,,93,93
4,7:44.0,J. Harris enters the game for D. Carroll,,93,93
4,7:44.0,R. Hollis-Jefferson makes free throw 2 of 2,,94,93
4,7:24.0,,J. Clarkson misses 2-pt jump shot from 8 ft,94,93
4,7:22.0,Defensive rebound by R. Hollis-Jefferson,,94,93
4,7:12.0,A. Crabbe misses 3-pt jump shot from 25 ft,,94,93
4,7:11.0,Offensive rebound by Team,,94,93
4,7:11.0,,Loose ball foul by M. Dellavedova (drawn by E. Davis),94,93
4,7:11.0,E. Davis misses free throw 1 of 2,,94,93
4,7:11.0,Offensive rebound by Team,,94,93
4,7:11.0,D. Russell enters the game for C. LeVert,,94,93
4,7:11.0,,C. Sexton enters the game for N. Stauskas,94,93
4,7:11.0,E. Davis misses free throw 2 of 2,,94,93
4,7:07.0,,Defensive rebound by L. Nance,94,93
4,7:05.0,,Cleveland full timeout,94,93
4,6:49.0,,J. Clarkson makes 2-pt jump shot from 14 ft,94,95
4,6:37.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),,96,95
4,6:22.0,,Shooting foul by D. Russell (drawn by C. Sexton),96,95
4,6:22.0,,C. Sexton misses free throw 1 of 2,96,95
4,6:22.0,,Offensive rebound by Team,96,95
4,6:22.0,J. Allen enters the game for A. Crabbe,,96,95
4,6:22.0,D. Carroll enters the game for E. Davis,,96,95
4,6:22.0,,C. Sexton misses free throw 2 of 2,96,95
4,6:19.0,Defensive rebound by J. Harris,,96,95
4,6:10.0,D. Russell misses 2-pt jump shot from 7 ft,,96,95
4,6:07.0,Offensive rebound by R. Hollis-Jefferson,,96,95
4,6:06.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft,,98,95
4,5:38.0,,C. Sexton makes 2-pt jump shot from 14 ft (assist by J. Clarkson),98,97
4,5:21.0,J. Allen misses 3-pt jump shot from 23 ft,,98,97
4,5:19.0,,Defensive rebound by J. Clarkson,98,97
4,5:13.0,,J. Clarkson makes 3-pt jump shot from 28 ft,98,100
4,5:11.0,Brooklyn full timeout,,98,100
4,5:11.0,,M. Chriss enters the game for C. Osman,98,100
4,4:58.0,Turnover by D. Carroll (bad pass; steal by M. Chriss),,98,100
4,4:38.0,,J. Clarkson misses 3-pt jump shot from 25 ft,98,100
4,4:35.0,,Offensive rebound by M. Chriss,98,100
4,4:34.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by M. Chriss),98,103
4,4:19.0,D. Russell misses 3-pt jump shot from 29 ft,,98,103
4,4:17.0,,Defensive rebound by M. Chriss,98,103
4,3:58.0,,J. Clarkson misses 3-pt jump shot from 27 ft,98,103
4,3:55.0,Defensive rebound by J. Harris,,98,103
