QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
2,2:49.0,Turnover by S. Dinwiddie (lost ball; steal by S. Adams),,44,31
2,2:33.0,,D. Schröder misses 2-pt layup from 3 ft,44,31
2,2:32.0,,Offensive rebound by S. Adams,44,31
2,2:31.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),44,34
2,2:17.0,S. Dinwiddie makes 2-pt layup from 1 ft,,46,34
2,2:02.0,,Offensive foul by S. Adams (drawn by S. Dinwiddie),46,34
2,2:02.0,,Turnover by S. Adams (offensive foul),46,34
2,2:02.0,C. LeVert enters the game for D. Russell,,46,34
2,1:45.0,S. Dinwiddie makes 2-pt layup from 1 ft,,48,34
2,1:35.0,,D. Schröder makes 2-pt jump shot from 15 ft,48,36
2,1:10.0,Turnover by J. Harris (lost ball; steal by P. George),,48,36
2,1:05.0,,P. George makes 2-pt layup from 1 ft,48,38
2,0:57.0,Personal foul by D. Schröder (drawn by C. LeVert),,48,38
2,0:51.0,Shooting foul by T. Ferguson (drawn by J. Harris),,48,38
2,0:51.0,J. Harris makes free throw 1 of 2,,49,38
2,0:51.0,J. Harris makes free throw 2 of 2,,50,38
2,0:44.0,,Turnover by R. Westbrook (out of bounds lost ball),50,38
2,0:27.0,Shooting foul by T. Ferguson (drawn by S. Dinwiddie),,50,38
2,0:27.0,S. Dinwiddie makes free throw 1 of 3,,51,38
2,0:27.0,S. Dinwiddie misses free throw 2 of 3,,51,38
2,0:27.0,Offensive rebound by Team,,51,38
2,0:27.0,S. Dinwiddie makes free throw 3 of 3,,52,38
2,0:06.0,,R. Westbrook makes 2-pt layup from 1 ft,52,40
2,0:03.0,Turnover by R. Kurucs (bad pass; steal by T. Ferguson),,52,40
2,0:00.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by D. Schröder),52,42
2,0:00.0,Violation by Team (def goaltending),,52,42
2,0:00.0,R. Kurucs misses 3-pt jump shot from 74 ft,,52,42
2,0:00.0,Offensive rebound by Team,,52,42
3,11:52.0,,S. Adams makes 2-pt hook shot from 2 ft (assist by R. Westbrook),52,44
3,11:38.0,Shooting foul by T. Ferguson (drawn by R. Kurucs),,52,44
3,11:38.0,R. Kurucs makes free throw 1 of 2,,53,44
3,11:38.0,R. Kurucs misses free throw 2 of 2,,53,44
3,11:36.0,,Defensive rebound by R. Westbrook,53,44
3,11:27.0,,S. Adams makes 2-pt hook shot from 5 ft (assist by R. Westbrook),53,46
3,11:14.0,A. Crabbe misses 3-pt jump shot from 25 ft,,53,46
3,11:11.0,Offensive rebound by R. Kurucs,,53,46
3,11:10.0,R. Kurucs misses 2-pt layup from 2 ft,,53,46
3,11:06.0,,Defensive rebound by R. Westbrook,53,46
3,11:01.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),53,49
3,10:39.0,R. Kurucs misses 3-pt jump shot from 22 ft,,53,49
3,10:37.0,,Defensive rebound by P. George,53,49
3,10:20.0,,P. George makes 2-pt jump shot from 19 ft (assist by R. Westbrook),53,51
3,10:04.0,J. Harris makes 3-pt jump shot from 24 ft (assist by R. Kurucs),,56,51
3,9:53.0,,P. George misses 2-pt jump shot from 9 ft,56,51
3,9:49.0,,Offensive rebound by P. George,56,51
3,9:48.0,,P. George makes 2-pt layup from 2 ft,56,53
3,9:46.0,Brooklyn full timeout,,56,53
3,9:46.0,,D. Schröder enters the game for T. Ferguson,56,53
3,9:21.0,D. Russell makes 2-pt layup from 2 ft,,58,53
3,9:11.0,,R. Westbrook makes 3-pt jump shot from 25 ft,58,56
3,8:59.0,J. Harris misses 3-pt jump shot from 23 ft,,58,56
3,8:57.0,,Defensive rebound by P. George,58,56
3,8:51.0,,P. George makes 3-pt jump shot from 25 ft,58,59
3,8:39.0,Turnover by D. Russell (lost ball; steal by R. Westbrook),,58,59
3,8:33.0,,R. Westbrook misses 2-pt layup from 2 ft,58,59
3,8:31.0,Defensive rebound by J. Harris,,58,59
3,8:24.0,Turnover by R. Kurucs (bad pass; steal by R. Westbrook),,58,59
3,8:19.0,,P. George makes 3-pt jump shot from 25 ft,58,62
3,7:57.0,Offensive foul by R. Kurucs (drawn by J. Grant),,58,62
3,7:57.0,Turnover by R. Kurucs (offensive foul),,58,62
3,7:46.0,,D. Schröder misses 3-pt jump shot from 24 ft,58,62
3,7:43.0,Defensive rebound by J. Allen,,58,62
3,7:35.0,Personal foul by R. Westbrook (drawn by D. Russell),,58,62
3,7:23.0,J. Harris misses 3-pt jump shot from 25 ft,,58,62
3,7:21.0,,Defensive rebound by P. George,58,62
3,7:17.0,,Personal foul by D. Russell (drawn by P. George),58,62
3,7:14.0,,R. Westbrook misses 3-pt jump shot from 24 ft,58,62
3,7:11.0,Defensive rebound by R. Kurucs,,58,62
3,7:04.0,D. Russell makes 3-pt jump shot from 25 ft,,61,62
3,6:47.0,,Shooting foul by J. Allen (drawn by R. Westbrook),61,62
3,6:47.0,,R. Westbrook misses free throw 1 of 2,61,62
3,6:47.0,,Offensive rebound by Team,61,62
3,6:47.0,,R. Westbrook makes free throw 2 of 2,61,63
3,6:39.0,D. Russell misses 3-pt jump shot from 24 ft,,61,63
3,6:37.0,Offensive rebound by J. Harris,,61,63
3,6:34.0,J. Harris makes 2-pt layup from 2 ft,,63,63
3,6:25.0,,Turnover by R. Westbrook (bad pass; steal by D. Russell),63,63
3,6:19.0,Shooting foul by P. George (drawn by J. Allen),,63,63
3,6:19.0,J. Allen makes free throw 1 of 2,,64,63
3,6:19.0,S. Dinwiddie enters the game for A. Crabbe,,64,63
3,6:19.0,,A. Nader enters the game for P. George,64,63
3,6:19.0,J. Allen makes free throw 2 of 2,,65,63
3,6:07.0,,J. Grant misses 2-pt jump shot from 12 ft,65,63
3,6:03.0,Defensive rebound by D. Russell,,65,63
3,5:53.0,Turnover by D. Russell (bad pass; steal by S. Adams),,65,63
3,5:39.0,Violation by Team (kicked ball),,65,63
3,5:30.0,,J. Grant misses 2-pt layup from 2 ft (block by J. Allen),65,63
3,5:27.0,,Offensive rebound by J. Grant,65,63
3,5:27.0,,J. Grant makes 2-pt layup from 2 ft,65,65
3,5:15.0,Offensive foul by R. Kurucs (drawn by D. Schröder),,65,65
3,5:15.0,Turnover by R. Kurucs (offensive foul),,65,65
3,5:15.0,A. Crabbe enters the game for R. Kurucs,,65,65
3,5:15.0,C. LeVert enters the game for D. Russell,,65,65
3,5:01.0,,Shooting foul by J. Harris (drawn by A. Nader),65,65
3,5:01.0,,A. Nader makes free throw 1 of 2,65,66
3,5:01.0,,A. Nader makes free throw 2 of 2,65,67
3,4:40.0,C. LeVert misses 2-pt jump shot from 9 ft,,65,67
3,4:37.0,,Defensive rebound by R. Westbrook,65,67
3,4:33.0,,R. Westbrook misses 3-pt jump shot from 25 ft,65,67
3,4:30.0,Defensive rebound by S. Dinwiddie,,65,67
3,4:24.0,S. Dinwiddie makes 2-pt layup from 2 ft,,67,67
3,4:12.0,,D. Schröder misses 2-pt jump shot from 10 ft,67,67
3,4:10.0,Defensive rebound by J. Allen,,67,67
3,4:05.0,S. Dinwiddie makes 3-pt jump shot from 28 ft,,70,67
3,3:54.0,,Shooting foul by J. Allen (drawn by J. Grant),70,67
3,3:54.0,,J. Grant makes free throw 1 of 2,70,68
3,3:54.0,E. Davis enters the game for J. Allen,,70,68
3,3:54.0,,N. Noel enters the game for S. Adams,70,68
3,3:54.0,,J. Grant makes free throw 2 of 2,70,69
3,3:45.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,70,69
3,3:43.0,,Defensive rebound by A. Nader,70,69
3,3:28.0,,R. Westbrook makes 2-pt jump shot from 10 ft,70,71
3,3:28.0,,Shooting foul by C. LeVert (drawn by R. Westbrook),70,71
3,3:28.0,J. Dudley enters the game for J. Harris,,70,71
3,3:28.0,,D. Burton enters the game for J. Grant,70,71
3,3:28.0,,R. Westbrook makes free throw 1 of 1,70,72
3,3:19.0,Turnover by A. Crabbe (step out of bounds),,70,72
3,3:09.0,,D. Burton misses 3-pt jump shot from 25 ft,70,72
3,3:05.0,Defensive rebound by C. LeVert,,70,72
3,2:59.0,C. LeVert misses 2-pt layup from 2 ft,,70,72
3,2:57.0,,Defensive rebound by N. Noel,70,72
3,2:52.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),70,75
3,2:40.0,Shooting foul by N. Noel (drawn by S. Dinwiddie),,70,75
3,2:40.0,,Oklahoma City full timeout,70,75
3,2:40.0,,P. George enters the game for R. Westbrook,70,75
3,2:40.0,S. Dinwiddie misses free throw 1 of 2,,70,75
3,2:40.0,Offensive rebound by Team,,70,75
3,2:40.0,S. Dinwiddie makes free throw 2 of 2,,71,75
3,2:28.0,,A. Nader misses 3-pt jump shot from 24 ft,71,75
3,2:24.0,Defensive rebound by C. LeVert,,71,75
3,2:18.0,Turnover by S. Dinwiddie (lost ball; steal by D. Burton),,71,75
3,2:15.0,,P. George makes 2-pt layup from 2 ft (assist by D. Schröder),71,77
3,2:15.0,,Shooting foul by C. LeVert (drawn by P. George),71,77
3,2:15.0,,P. George makes free throw 1 of 1,71,78
3,2:01.0,J. Dudley makes 3-pt jump shot from 23 ft (assist by A. Crabbe),,74,78
3,1:39.0,,N. Noel makes 2-pt dunk at rim (assist by A. Nader),74,80
3,1:13.0,S. Dinwiddie misses 2-pt layup from 3 ft (block by N. Noel),,74,80
3,1:12.0,,Defensive rebound by A. Nader,74,80
3,1:06.0,,A. Nader misses 2-pt layup from 1 ft,74,80
3,1:04.0,Defensive rebound by E. Davis,,74,80
3,0:42.0,C. LeVert makes 3-pt jump shot from 25 ft,,77,80
3,0:32.0,,D. Schröder misses 3-pt jump shot from 25 ft,77,80
3,0:28.0,Defensive rebound by S. Dinwiddie,,77,80
3,0:25.0,Shooting foul by D. Schröder (drawn by S. Dinwiddie),,77,80
3,0:25.0,S. Dinwiddie misses free throw 1 of 2,,77,80
3,0:25.0,Offensive rebound by Team,,77,80
3,0:25.0,S. Dinwiddie makes free throw 2 of 2,,78,80
3,0:08.0,,P. George misses 3-pt jump shot from 25 ft,78,80
3,0:04.0,Defensive rebound by E. Davis,,78,80
3,0:00.0,S. Dinwiddie misses 3-pt jump shot from 42 ft,,78,80
3,0:00.0,Offensive rebound by Team,,78,80
4,11:50.0,A. Crabbe misses 3-pt jump shot from 25 ft,,78,80
4,11:47.0,,Defensive rebound by Team,78,80
4,11:36.0,Violation by Team (kicked ball),,78,80
4,11:31.0,,A. Nader misses 2-pt layup from 2 ft,78,80
4,11:29.0,Defensive rebound by E. Davis,,78,80
4,11:12.0,C. LeVert misses 2-pt layup from 1 ft (block by P. George),,78,80
4,11:10.0,,Defensive rebound by N. Noel,78,80
4,10:55.0,,N. Noel makes 2-pt dunk at rim (assist by P. George),78,82
4,10:42.0,C. LeVert makes 2-pt layup from 1 ft,,80,82
4,10:25.0,,D. Burton misses 2-pt layup from 1 ft (block by E. Davis),80,82
4,10:24.0,Defensive rebound by C. LeVert,,80,82
4,10:20.0,S. Dinwiddie makes 3-pt jump shot from 22 ft (assist by C. LeVert),,83,82
4,10:17.0,,Oklahoma City full timeout,83,82
4,10:17.0,,T. Ferguson enters the game for A. Nader,83,82
4,9:54.0,,D. Burton makes 2-pt layup from 1 ft (assist by P. George),83,84
4,9:44.0,Offensive foul by E. Davis (drawn by D. Schröder),,83,84
4,9:44.0,Turnover by E. Davis (offensive foul),,83,84
4,9:32.0,,D. Schröder misses 3-pt jump shot from 25 ft,83,84
4,9:27.0,Defensive rebound by C. LeVert,,83,84
4,9:16.0,C. LeVert misses 3-pt jump shot from 26 ft,,83,84
4,9:14.0,,Defensive rebound by D. Schröder,83,84
4,9:01.0,,D. Burton makes 2-pt layup from 1 ft (assist by T. Ferguson),83,86
4,8:46.0,Shooting foul by D. Burton (drawn by S. Dinwiddie),,83,86
4,8:46.0,S. Dinwiddie makes free throw 1 of 2,,84,86
4,8:46.0,D. Russell enters the game for C. LeVert,,84,86
4,8:46.0,,A. Nader enters the game for P. George,84,86
4,8:46.0,,R. Westbrook enters the game for D. Schröder,84,86
4,8:46.0,S. Dinwiddie makes free throw 2 of 2,,85,86
4,8:32.0,,T. Ferguson misses 2-pt jump shot from 22 ft,85,86
4,8:30.0,,Offensive rebound by R. Westbrook,85,86
4,8:24.0,,Shooting foul by E. Davis (drawn by T. Ferguson),85,86
4,8:24.0,,T. Ferguson makes free throw 1 of 2,85,87
4,8:24.0,,T. Ferguson makes free throw 2 of 2,85,88
4,8:01.0,S. Dinwiddie misses 2-pt layup from 1 ft,,85,88
4,7:58.0,Offensive rebound by E. Davis,,85,88
4,7:58.0,E. Davis misses 2-pt layup from 1 ft,,85,88
4,7:57.0,,Defensive rebound by R. Westbrook,85,88
4,7:49.0,,N. Noel misses 2-pt jump shot from 5 ft,85,88
4,7:47.0,Defensive rebound by E. Davis,,85,88
4,7:40.0,S. Dinwiddie makes 2-pt layup from 1 ft,,87,88
4,7:16.0,,N. Noel makes 2-pt hook shot from 2 ft (assist by R. Westbrook),87,90
4,7:01.0,D. Russell misses 2-pt layup from 2 ft,,87,90
4,6:59.0,,Defensive rebound by A. Nader,87,90
4,6:48.0,,D. Burton misses 2-pt jump shot from 12 ft,87,90
4,6:45.0,,Offensive rebound by N. Noel,87,90
4,6:44.0,,Oklahoma City full timeout,87,90
4,6:44.0,J. Allen enters the game for A. Crabbe,,87,90
4,6:44.0,J. Harris enters the game for E. Davis,,87,90
4,6:44.0,R. Kurucs enters the game for J. Dudley,,87,90
4,6:44.0,,S. Adams enters the game for D. Burton,87,90
4,6:44.0,,P. George enters the game for A. Nader,87,90
4,6:44.0,,J. Grant enters the game for N. Noel,87,90
4,6:37.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),87,92
4,6:17.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,87,92
4,6:15.0,,Defensive rebound by J. Grant,87,92
4,6:10.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),87,94
4,6:00.0,Personal foul by T. Ferguson (drawn by D. Russell),,87,94
4,5:49.0,S. Dinwiddie misses 2-pt layup from 8 ft,,87,94
4,5:46.0,Offensive rebound by J. Allen,,87,94
4,5:45.0,J. Allen misses 2-pt layup from 2 ft (block by S. Adams),,87,94
4,5:45.0,,Defensive rebound by R. Westbrook,87,94
4,5:41.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),87,97
4,5:22.0,D. Russell misses 3-pt jump shot from 26 ft,,87,97
