QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
4,4:41.0,M. Beasley misses 2-pt jump shot from 10 ft,,103,115
4,4:34.0,Offensive rebound by M. Beasley,,103,115
4,4:34.0,M. Beasley makes 2-pt layup at rim,,105,115
4,4:21.0,,N. Vučević makes 2-pt hook shot from 6 ft,105,117
4,4:21.0,,Shooting foul by M. Beasley (drawn by N. Vučević),105,117
4,4:21.0,,N. Vučević makes free throw 1 of 1,105,118
4,4:11.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by B. Ingram),,108,118
4,3:52.0,,Personal foul by M. Beasley (drawn by N. Vučević),108,118
4,3:52.0,,N. Vučević makes free throw 1 of 2,108,119
4,3:52.0,,N. Vučević makes free throw 2 of 2,108,120
4,3:43.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,108,120
4,3:42.0,,Defensive rebound by Team,108,120
4,3:28.0,,N. Vučević misses 2-pt hook shot from 6 ft,108,120
4,3:26.0,Defensive rebound by L. Stephenson,,108,120
4,3:22.0,Personal foul by E. Fournier (drawn by L. Stephenson),,108,120
4,3:22.0,L. Stephenson makes free throw 1 of 2,,109,120
4,3:22.0,L. Stephenson makes free throw 2 of 2,,110,120
4,3:09.0,,Shooting foul by M. Beasley (drawn by N. Vučević),110,120
4,3:09.0,,N. Vučević misses free throw 1 of 2,110,120
4,3:09.0,,Offensive rebound by Team,110,120
4,3:09.0,,N. Vučević makes free throw 2 of 2,110,121
4,2:59.0,M. Beasley misses 3-pt jump shot from 26 ft,,110,121
4,2:56.0,,Defensive rebound by J. Simmons,110,121
4,2:37.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by D. Augustin),110,123
4,2:18.0,B. Ingram misses 3-pt jump shot from 25 ft,,110,123
4,2:16.0,,Defensive rebound by E. Fournier,110,123
4,2:06.0,,Shooting foul by S. Mykhailiuk (drawn by D. Augustin),110,123
4,2:06.0,,D. Augustin makes free throw 1 of 2,110,124
4,2:06.0,M. Wagner enters the game for B. Ingram,,110,124
4,2:06.0,,D. Augustin makes free throw 2 of 2,110,125
4,1:49.0,L. Stephenson misses 2-pt layup from 1 ft,,110,125
4,1:47.0,,Defensive rebound by N. Vučević,110,125
4,1:44.0,,Orlando full timeout,110,125
4,1:44.0,,K. Birch enters the game for D. Augustin,110,125
4,1:44.0,,I. Briscoe enters the game for E. Fournier,110,125
4,1:44.0,,J. Grant enters the game for A. Gordon,110,125
4,1:44.0,,W. Iwundu enters the game for J. Simmons,110,125
4,1:44.0,,J. Martin enters the game for N. Vučević,110,125
4,1:36.0,,J. Martin makes 2-pt jump shot from 23 ft (assist by I. Briscoe),110,127
4,1:22.0,M. Beasley makes 2-pt layup from 2 ft,,112,127
4,1:22.0,Shooting foul by K. Birch (drawn by M. Beasley),,112,127
4,1:22.0,M. Beasley makes free throw 1 of 1,,113,127
4,1:10.0,,J. Grant misses 3-pt jump shot from 25 ft,113,127
4,1:07.0,Defensive rebound by L. Stephenson,,113,127
4,0:59.0,M. Wagner misses 3-pt jump shot from 26 ft,,113,127
4,0:56.0,,Defensive rebound by J. Martin,113,127
4,0:42.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by I. Briscoe),113,130
4,0:32.0,M. Beasley makes 2-pt jump shot from 21 ft (assist by L. Stephenson),,115,130
4,0:21.0,,Turnover by W. Iwundu (bad pass; steal by M. Beasley),115,130
4,0:02.0,L. Stephenson makes 2-pt layup from 2 ft,,117,130
