QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW ORLEANS_ACTION,TORONTO_SCORE,NEW ORLEANS_SCORE
1,3:40.0,N. Powell enters the game for D. Green,,21,19
1,3:40.0,,D. Miller enters the game for F. Jackson,21,19
1,3:29.0,,I. Clark misses 2-pt jump shot from 16 ft,21,19
1,3:27.0,,Offensive rebound by I. Clark,21,19
1,3:27.0,,I. Clark makes 2-pt jump shot from 9 ft,21,21
1,3:27.0,Violation by Team (def goaltending),,21,21
1,3:12.0,K. Leonard makes 2-pt jump shot from 17 ft,,23,21
1,3:01.0,,Turnover by J. Randle (traveling),23,21
1,3:01.0,,S. Johnson enters the game for K. Williams,23,21
1,2:53.0,P. Siakam misses 3-pt jump shot from 25 ft,,23,21
1,2:49.0,,Defensive rebound by J. Randle,23,21
1,2:38.0,,I. Clark misses 2-pt jump shot from 20 ft,23,21
1,2:35.0,Defensive rebound by S. Ibaka,,23,21
1,2:29.0,P. Siakam misses 3-pt jump shot from 23 ft,,23,21
1,2:23.0,,Defensive rebound by C. Diallo,23,21
1,2:20.0,,C. Diallo makes 2-pt jump shot from 7 ft (assist by S. Johnson),23,23
1,2:13.0,Toronto full timeout,,23,23
1,2:13.0,O. Anunoby enters the game for K. Leonard,,23,23
1,2:06.0,N. Powell misses 2-pt jump shot from 16 ft,,23,23
1,2:03.0,,Defensive rebound by C. Diallo,23,23
1,1:50.0,,S. Johnson makes 2-pt jump shot from 14 ft,23,25
1,1:35.0,Turnover by J. Lin (bad pass; steal by S. Johnson),,23,25
1,1:30.0,,C. Diallo makes 2-pt dunk from 2 ft (assist by S. Johnson),23,27
1,1:07.0,S. Ibaka misses 2-pt jump shot from 19 ft,,23,27
1,1:03.0,,Defensive rebound by J. Randle,23,27
1,0:58.0,,Turnover by J. Randle (lost ball; steal by P. Siakam),23,27
1,0:54.0,J. Lin makes 2-pt layup from 1 ft (assist by O. Anunoby),,25,27
1,0:45.0,,Turnover by I. Clark (lost ball; steal by O. Anunoby),25,27
1,0:42.0,P. Siakam makes 2-pt dunk at rim (assist by O. Anunoby),,27,27
1,0:31.0,,Shooting foul by S. Ibaka (drawn by D. Miller),27,27
1,0:31.0,,D. Miller makes free throw 1 of 3,27,28
1,0:31.0,,D. Miller misses free throw 2 of 3,27,28
1,0:31.0,,Offensive rebound by Team,27,28
1,0:31.0,,K. Williams enters the game for J. Randle,27,28
1,0:31.0,,D. Miller misses free throw 3 of 3,27,28
1,0:31.0,Defensive rebound by P. Siakam,,27,28
1,0:26.0,Personal foul by I. Clark (drawn by P. Siakam),,27,28
1,0:21.0,Turnover by J. Lin (bad pass; steal by S. Johnson),,27,28
1,0:06.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by S. Johnson),27,31
1,0:01.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by J. Lin),,29,31
2,11:44.0,,D. Miller makes 2-pt jump shot from 13 ft,29,33
2,11:31.0,K. Lowry misses 3-pt jump shot from 23 ft,,29,33
2,11:31.0,,Defensive rebound by C. Diallo,29,33
2,11:15.0,Violation by Team (kicked ball),,29,33
2,11:03.0,,C. Diallo makes 2-pt dunk at rim (assist by D. Miller),29,35
2,10:45.0,N. Powell makes 2-pt layup from 2 ft (assist by K. Lowry),,31,35
2,10:34.0,,S. Johnson misses 3-pt jump shot from 22 ft,31,35
2,10:32.0,Defensive rebound by S. Ibaka,,31,35
2,10:27.0,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),,33,35
2,10:08.0,,C. Diallo makes 2-pt jump shot from 10 ft (assist by E. Payton),33,37
2,9:55.0,S. Ibaka misses 2-pt jump shot from 2 ft,,33,37
2,9:52.0,,Defensive rebound by C. Diallo,33,37
2,9:42.0,,C. Diallo makes 2-pt jump shot from 10 ft (assist by I. Clark),33,39
2,9:25.0,S. Ibaka misses 2-pt jump shot from 13 ft,,33,39
2,9:21.0,,Defensive rebound by E. Payton,33,39
2,9:15.0,,C. Diallo misses 2-pt jump shot from 22 ft,33,39
2,9:11.0,Defensive rebound by K. Lowry,,33,39
2,8:57.0,J. Lin makes 2-pt jump shot from 12 ft (assist by S. Ibaka),,35,39
2,8:43.0,,I. Clark misses 3-pt jump shot from 25 ft,35,39
2,8:40.0,Defensive rebound by S. Ibaka,,35,39
2,8:36.0,K. Lowry misses 3-pt jump shot from 29 ft,,35,39
2,8:33.0,,Defensive rebound by C. Diallo,35,39
2,8:26.0,,Personal foul by O. Anunoby (drawn by C. Diallo),35,39
2,8:26.0,M. Gasol enters the game for S. Ibaka,,35,39
2,8:26.0,,F. Jackson enters the game for I. Clark,35,39
2,8:26.0,,J. Okafor enters the game for C. Diallo,35,39
2,8:18.0,,Offensive foul by S. Johnson (drawn by M. Gasol),35,39
2,8:18.0,,Turnover by S. Johnson (offensive foul),35,39
2,8:18.0,P. McCaw enters the game for J. Lin,,35,39
2,8:05.0,N. Powell makes 2-pt layup from 1 ft (assist by K. Lowry),,37,39
2,7:54.0,,E. Payton misses 2-pt layup from 2 ft,37,39
2,7:52.0,,Offensive rebound by S. Johnson,37,39
2,7:42.0,,D. Miller misses 3-pt jump shot from 24 ft,37,39
2,7:42.0,Defensive rebound by M. Gasol,,37,39
2,7:28.0,N. Powell misses 3-pt jump shot from 23 ft,,37,39
2,7:26.0,,Defensive rebound by E. Payton,37,39
2,7:20.0,,F. Jackson makes 2-pt layup from 2 ft (assist by E. Payton),37,41
2,7:14.0,Personal foul by D. Miller (drawn by K. Lowry),,37,41
2,7:14.0,K. Leonard enters the game for N. Powell,,37,41
2,7:14.0,,J. Randle enters the game for S. Johnson,37,41
2,7:14.0,,K. Williams enters the game for D. Miller,37,41
2,7:10.0,M. Gasol makes 2-pt hook shot from 4 ft,,39,41
2,6:57.0,,F. Jackson misses 2-pt layup from 1 ft,39,41
2,6:55.0,Defensive rebound by K. Lowry,,39,41
2,6:53.0,P. McCaw misses 3-pt jump shot from 25 ft,,39,41
2,6:49.0,,Defensive rebound by E. Payton,39,41
2,6:49.0,,New Orleans full timeout,39,41
2,6:38.0,,Turnover by E. Payton (bad pass; steal by K. Leonard),39,41
2,6:35.0,K. Leonard makes 2-pt layup from 1 ft,,41,41
2,6:35.0,Shooting foul by E. Payton (drawn by K. Leonard),,41,41
2,6:35.0,K. Leonard makes free throw 1 of 1,,42,41
2,6:25.0,,F. Jackson misses 2-pt layup from 2 ft (block by M. Gasol),42,41
2,6:25.0,,Offensive rebound by Team,42,41
2,6:16.0,,F. Jackson makes 2-pt jump shot from 7 ft (assist by J. Randle),42,43
2,6:09.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. McCaw),,45,43
2,6:03.0,,New Orleans full timeout,45,43
2,5:51.0,,J. Randle makes 2-pt jump shot from 10 ft (assist by E. Payton),45,45
2,5:36.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by K. Leonard),,48,45
2,5:24.0,,F. Jackson makes 2-pt jump shot from 11 ft,48,47
2,5:11.0,Personal foul by K. Williams (drawn by K. Leonard),,48,47
2,5:11.0,D. Green enters the game for O. Anunoby,,48,47
2,5:11.0,P. Siakam enters the game for P. McCaw,,48,47
2,5:07.0,Turnover by K. Lowry (bad pass; steal by K. Williams),,48,47
2,4:51.0,Violation by Team (kicked ball),,48,47
2,4:45.0,,J. Randle misses 3-pt jump shot from 28 ft,48,47
2,4:41.0,Defensive rebound by K. Lowry,,48,47
2,4:32.0,D. Green misses 3-pt jump shot from 23 ft,,48,47
2,4:30.0,,Defensive rebound by J. Randle,48,47
2,4:25.0,,F. Jackson makes 2-pt layup from 2 ft (assist by E. Payton),48,49
2,4:12.0,P. Siakam misses 2-pt hook shot from 10 ft,,48,49
2,4:09.0,,Defensive rebound by J. Randle,48,49
2,3:56.0,,Shooting foul by P. Siakam (drawn by J. Randle),48,49
2,3:56.0,,J. Randle makes free throw 1 of 2,48,50
2,3:56.0,,J. Randle makes free throw 2 of 2,48,51
2,3:42.0,K. Lowry misses 3-pt jump shot from 26 ft,,48,51
2,3:40.0,,Defensive rebound by Team,48,51
2,3:22.0,,E. Payton misses 2-pt layup from 4 ft (block by D. Green),48,51
2,3:19.0,Defensive rebound by Team,,48,51
2,3:10.0,D. Green makes 2-pt layup from 2 ft,,50,51
2,3:01.0,,F. Jackson misses 3-pt jump shot from 27 ft,50,51
2,2:58.0,Defensive rebound by K. Lowry,,50,51
2,2:55.0,D. Green makes 2-pt layup from 2 ft (assist by K. Lowry),,52,51
2,2:47.0,,Turnover by J. Randle (bad pass),52,51
2,2:41.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by K. Lowry),,54,51
2,2:20.0,,F. Jackson makes 3-pt jump shot from 26 ft (assist by J. Randle),54,54
2,2:13.0,Shooting foul by J. Randle (drawn by P. Siakam),,54,54
2,2:13.0,P. Siakam makes free throw 1 of 2,,55,54
2,2:13.0,P. Siakam makes free throw 2 of 2,,56,54
2,2:02.0,,E. Payton makes 3-pt jump shot from 26 ft (assist by K. Williams),56,57
2,1:49.0,D. Green misses 2-pt layup from 2 ft,,56,57
2,1:48.0,,Defensive rebound by F. Jackson,56,57
2,1:48.0,,Turnover by F. Jackson (bad pass),56,57
2,1:37.0,K. Leonard makes 2-pt jump shot from 10 ft (assist by M. Gasol),,58,57
2,1:22.0,,J. Randle misses 2-pt jump shot from 6 ft,58,57
2,1:20.0,Defensive rebound by D. Green,,58,57
2,1:15.0,M. Gasol misses 3-pt jump shot from 25 ft,,58,57
2,1:11.0,Offensive rebound by P. Siakam,,58,57
2,1:09.0,Shooting foul by E. Payton (drawn by K. Lowry),,58,57
2,1:09.0,K. Lowry makes free throw 1 of 2,,59,57
2,1:09.0,S. Ibaka enters the game for M. Gasol,,59,57
2,1:09.0,,C. Diallo enters the game for J. Okafor,59,57
2,1:09.0,K. Lowry makes free throw 2 of 2,,60,57
2,1:01.0,,C. Diallo misses 2-pt jump shot from 7 ft (block by S. Ibaka),60,57
2,1:01.0,,Offensive rebound by J. Randle,60,57
2,0:56.0,,E. Payton makes 2-pt jump shot from 19 ft (assist by J. Randle),60,59
2,0:45.0,P. Siakam makes 2-pt layup from 2 ft,,62,59
2,0:40.0,,Personal foul by K. Leonard (drawn by E. Payton),62,59
2,0:28.0,,J. Randle makes 2-pt dunk from 1 ft (assist by E. Payton),62,61
2,0:10.0,K. Leonard makes 2-pt dunk from 1 ft,,64,61
2,0:02.0,,J. Randle misses 3-pt jump shot from 26 ft,64,61
2,0:02.0,Defensive rebound by D. Green,,64,61
3,11:48.0,,J. Randle misses 2-pt layup from 4 ft,64,61
3,11:46.0,Defensive rebound by K. Lowry,,64,61
3,11:44.0,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Lowry),,66,61
3,11:41.0,,New Orleans full timeout,66,61
3,11:19.0,,J. Randle misses 2-pt jump shot from 10 ft,66,61
3,11:15.0,Defensive rebound by M. Gasol,,66,61
3,11:02.0,P. Siakam makes 2-pt layup from 2 ft,,68,61
3,10:49.0,,E. Payton misses 3-pt jump shot from 26 ft,68,61
3,10:44.0,Defensive rebound by M. Gasol,,68,61
3,10:27.0,P. Siakam makes 2-pt hook shot from 3 ft,,70,61
3,10:14.0,,J. Randle makes 2-pt dunk from 1 ft,70,63
3,9:50.0,P. Siakam misses 2-pt jump shot from 10 ft,,70,63
3,9:47.0,,Defensive rebound by J. Okafor,70,63
3,9:39.0,,F. Jackson misses 2-pt jump shot from 16 ft,70,63
3,9:35.0,Defensive rebound by P. Siakam,,70,63
3,9:29.0,P. Siakam misses 2-pt layup from 2 ft,,70,63
3,9:27.0,,Defensive rebound by J. Randle,70,63
3,9:24.0,,K. Williams makes 3-pt jump shot from 23 ft (assist by J. Randle),70,66
3,9:07.0,K. Leonard makes 2-pt jump shot from 10 ft (assist by K. Lowry),,72,66
3,9:07.0,,C. Diallo enters the game for J. Okafor,72,66
3,8:53.0,,E. Payton misses 3-pt jump shot from 24 ft,72,66
3,8:50.0,Defensive rebound by M. Gasol,,72,66
3,8:44.0,K. Lowry misses 2-pt layup from 1 ft,,72,66
3,8:42.0,,Defensive rebound by E. Payton,72,66
3,8:41.0,,Turnover by F. Jackson (out of bounds lost ball),72,66
3,8:31.0,Turnover by P. Siakam (bad pass),,72,66
3,8:22.0,,Turnover by K. Williams (bad pass; steal by K. Leonard),72,66
3,8:15.0,Turnover by K. Leonard (bad pass; steal by K. Williams),,72,66
3,8:11.0,,F. Jackson makes 2-pt layup from 2 ft (assist by J. Randle),72,68
3,8:04.0,K. Lowry misses 3-pt jump shot from 27 ft,,72,68
3,8:01.0,,Defensive rebound by K. Williams,72,68
3,7:53.0,,K. Williams misses 2-pt jump shot from 10 ft,72,68
3,7:50.0,,Offensive rebound by C. Diallo,72,68
3,7:49.0,,Turnover by C. Diallo (lost ball; steal by K. Lowry),72,68
3,7:45.0,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),,75,68
3,7:18.0,,C. Diallo makes 2-pt layup from 6 ft (assist by J. Randle),75,70
3,7:09.0,K. Leonard misses 3-pt jump shot from 27 ft,,75,70
3,7:06.0,,Defensive rebound by C. Diallo,75,70
3,6:58.0,,Turnover by J. Randle (lost ball; steal by D. Green),75,70
3,6:53.0,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),,77,70
3,6:36.0,,E. Payton makes 3-pt jump shot from 26 ft,77,73
3,6:16.0,K. Leonard makes 2-pt jump shot from 9 ft,,79,73
3,6:01.0,,K. Williams misses 2-pt layup from 3 ft,79,73
3,5:58.0,Defensive rebound by M. Gasol,,79,73
3,5:53.0,Turnover by P. Siakam (bad pass; steal by E. Payton),,79,73
3,5:48.0,,F. Jackson misses 3-pt jump shot from 25 ft,79,73
3,5:46.0,Defensive rebound by Team,,79,73
3,5:46.0,,S. Hill enters the game for J. Randle,79,73
3,5:46.0,,D. Miller enters the game for K. Williams,79,73
3,5:46.0,Toronto full timeout,,79,73
3,5:46.0,,I. Clark enters the game for F. Jackson,79,73
3,5:46.0,,S. Johnson enters the game for E. Payton,79,73
3,5:33.0,Turnover by M. Gasol (bad pass; steal by S. Johnson),,79,73
3,5:27.0,,S. Johnson misses 2-pt layup from 2 ft (block by M. Gasol),79,73
3,5:24.0,Defensive rebound by P. Siakam,,79,73
3,5:20.0,K. Leonard misses 3-pt jump shot from 25 ft,,79,73
3,5:17.0,,Defensive rebound by I. Clark,79,73
3,5:03.0,,D. Miller makes 2-pt jump shot from 14 ft (assist by I. Clark),79,75
3,4:49.0,K. Lowry misses 3-pt jump shot from 26 ft,,79,75
3,4:46.0,Offensive rebound by M. Gasol,,79,75
3,4:45.0,Personal foul by S. Johnson (drawn by K. Leonard),,79,75
3,4:45.0,S. Ibaka enters the game for M. Gasol,,79,75
3,4:45.0,J. Lin enters the game for K. Lowry,,79,75
3,4:34.0,Shooting foul by C. Diallo (drawn by P. Siakam),,79,75
3,4:34.0,P. Siakam makes free throw 1 of 2,,80,75
3,4:34.0,P. Siakam makes free throw 2 of 2,,81,75
3,4:22.0,,Turnover by S. Johnson (bad pass),81,75
3,4:09.0,Turnover by K. Leonard (bad pass; steal by S. Hill),,81,75
3,4:00.0,,C. Diallo misses 2-pt layup from 1 ft,81,75
3,3:57.0,Defensive rebound by S. Ibaka,,81,75
3,3:53.0,Shooting foul by S. Hill (drawn by K. Leonard),,81,75
3,3:53.0,K. Leonard misses free throw 1 of 2,,81,75
3,3:53.0,Offensive rebound by Team,,81,75
3,3:53.0,K. Leonard makes free throw 2 of 2,,82,75
3,3:38.0,,S. Johnson misses 3-pt jump shot from 24 ft,82,75
3,3:34.0,Defensive rebound by S. Ibaka,,82,75
3,3:25.0,K. Leonard misses 2-pt jump shot from 13 ft,,82,75
3,3:22.0,,Defensive rebound by I. Clark,82,75
3,3:18.0,,D. Miller misses 3-pt jump shot from 22 ft (block by P. Siakam),82,75
3,3:13.0,,Offensive rebound by S. Hill,82,75
3,3:05.0,,S. Johnson misses 3-pt jump shot from 25 ft,82,75
3,3:03.0,Defensive rebound by D. Green,,82,75
3,2:59.0,D. Green makes 3-pt jump shot from 26 ft,,85,75
3,2:34.0,,I. Clark misses 2-pt jump shot from 10 ft (block by S. Ibaka),85,75
3,2:31.0,Defensive rebound by P. Siakam,,85,75
3,2:28.0,D. Green makes 3-pt jump shot from 24 ft (assist by P. Siakam),,88,75
3,2:08.0,,S. Hill misses 3-pt jump shot from 24 ft,88,75
3,2:05.0,Defensive rebound by S. Ibaka,,88,75
3,1:53.0,K. Leonard misses 2-pt jump shot from 15 ft,,88,75
3,1:51.0,,Defensive rebound by C. Diallo,88,75
3,1:45.0,,C. Diallo makes 2-pt layup from 1 ft (assist by I. Clark),88,77
3,1:44.0,Toronto full timeout,,88,77
3,1:44.0,O. Anunoby enters the game for D. Green,,88,77
3,1:44.0,N. Powell enters the game for K. Leonard,,88,77
3,1:44.0,,F. Jackson enters the game for C. Diallo,88,77
3,1:44.0,,J. Randle enters the game for S. Johnson,88,77
3,1:31.0,P. Siakam misses 2-pt layup from 3 ft,,88,77
3,1:27.0,Offensive rebound by S. Ibaka,,88,77
3,1:27.0,S. Ibaka makes 2-pt layup from 1 ft,,90,77
3,1:11.0,,Turnover by S. Hill (lost ball; steal by O. Anunoby),90,77
3,1:04.0,J. Lin makes 3-pt jump shot from 25 ft,,93,77
3,0:47.0,,D. Miller makes 2-pt jump shot from 8 ft,93,79
3,0:30.0,J. Lin misses 2-pt layup from 2 ft,,93,79
3,0:30.0,Offensive rebound by Team,,93,79
3,0:30.0,Loose ball foul by J. Lin (drawn by F. Jackson),,93,79
3,0:30.0,Turnover by J. Lin (turnover),,93,79
3,0:20.0,,Shooting foul by J. Lin (drawn by F. Jackson),93,79
3,0:20.0,,F. Jackson misses free throw 1 of 2,93,79
3,0:20.0,,Offensive rebound by Team,93,79
3,0:20.0,,F. Jackson makes free throw 2 of 2,93,80
3,0:02.0,P. Siakam misses 2-pt layup from 2 ft,,93,80
3,0:02.0,,Defensive rebound by F. Jackson,93,80
4,11:50.0,K. Lowry misses 3-pt jump shot from 26 ft,,93,80
4,11:45.0,Offensive rebound by O. Anunoby,,93,80
4,11:45.0,Turnover by O. Anunoby (back court),,93,80
4,11:31.0,,J. Randle misses 2-pt jump shot from 11 ft,93,80
4,11:31.0,Defensive rebound by K. Lowry,,93,80
4,11:25.0,N. Powell makes 2-pt dunk from 1 ft (assist by J. Lin),,95,80
4,11:07.0,,I. Clark misses 2-pt jump shot from 9 ft,95,80
4,11:07.0,,Offensive rebound by J. Randle,95,80
4,11:01.0,,K. Williams makes 3-pt jump shot from 26 ft (assist by D. Miller),95,83
4,10:32.0,Personal foul by J. Randle (drawn by S. Ibaka),,95,83
4,10:26.0,Turnover by J. Lin (out of bounds lost ball),,95,83
4,10:20.0,,F. Jackson makes 2-pt layup from 4 ft,95,85
4,9:59.0,O. Anunoby makes 2-pt layup from 1 ft,,97,85
4,9:47.0,,F. Jackson makes 2-pt layup from 2 ft (assist by I. Clark),97,87
4,9:34.0,Personal foul by K. Williams (drawn by S. Ibaka),,97,87
4,9:28.0,J. Lin makes 2-pt layup from 2 ft,,99,87
4,9:10.0,,Turnover by K. Williams (bad pass; steal by O. Anunoby),99,87
4,9:03.0,J. Lin makes 2-pt layup from 2 ft (assist by K. Lowry),,101,87
4,8:47.0,,D. Miller misses 2-pt jump shot from 12 ft,101,87
4,8:45.0,Defensive rebound by K. Lowry,,101,87
4,8:45.0,,E. Payton enters the game for I. Clark,101,87
4,8:35.0,J. Lin misses 2-pt jump shot from 14 ft,,101,87
4,8:33.0,,Defensive rebound by D. Miller,101,87
4,8:25.0,,D. Miller misses 3-pt jump shot from 26 ft,101,87
4,8:21.0,,Offensive rebound by J. Randle,101,87
4,8:17.0,,J. Randle misses 2-pt layup from 6 ft,101,87
4,8:14.0,Defensive rebound by N. Powell,,101,87
4,8:05.0,Turnover by N. Powell (lost ball; steal by K. Williams),,101,87
4,8:05.0,,Turnover by K. Williams (lost ball; steal by S. Ibaka),101,87
4,8:05.0,O. Anunoby misses 3-pt jump shot from 22 ft,,101,87
4,8:01.0,,Defensive rebound by K. Williams,101,87
4,8:01.0,,Personal foul by N. Powell (drawn by K. Williams),101,87
4,7:50.0,,Personal foul by J. Lin (drawn by F. Jackson),101,87
4,7:40.0,,F. Jackson misses 3-pt jump shot from 25 ft,101,87
4,7:38.0,Defensive rebound by O. Anunoby,,101,87
4,7:32.0,N. Powell misses 2-pt layup from 2 ft,,101,87
4,7:28.0,Offensive rebound by K. Lowry,,101,87
4,7:28.0,K. Lowry makes 2-pt layup from 1 ft,,103,87
4,7:23.0,,J. Randle makes 2-pt layup from 2 ft,103,89
4,7:23.0,,Shooting foul by J. Lin (drawn by J. Randle),103,89
4,7:23.0,,J. Randle makes free throw 1 of 1,103,90
4,7:06.0,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Lowry),,105,90
4,6:54.0,,K. Williams misses 3-pt jump shot from 25 ft,105,90
4,6:51.0,Defensive rebound by J. Lin,,105,90
4,6:48.0,J. Lin makes 3-pt jump shot from 26 ft,,108,90
4,6:35.0,,D. Miller misses 3-pt jump shot from 25 ft,108,90
4,6:32.0,,Offensive rebound by K. Williams,108,90
4,6:28.0,,J. Randle misses 3-pt jump shot from 25 ft,108,90
4,6:26.0,Defensive rebound by S. Ibaka,,108,90
4,6:21.0,K. Lowry makes 3-pt jump shot from 27 ft,,111,90
4,6:20.0,,New Orleans full timeout,111,90
4,6:20.0,,I. Clark enters the game for D. Miller,111,90
4,6:20.0,,C. Diallo enters the game for J. Randle,111,90
4,6:20.0,,S. Hill enters the game for K. Williams,111,90
4,6:10.0,,I. Clark makes 2-pt jump shot from 13 ft (assist by E. Payton),111,92
4,5:56.0,Offensive foul by O. Anunoby (drawn by E. Payton),,111,92
4,5:56.0,Turnover by O. Anunoby (offensive foul),,111,92
4,5:43.0,,C. Diallo misses 2-pt jump shot from 10 ft (block by S. Ibaka),111,92
4,5:39.0,,Offensive rebound by C. Diallo,111,92
4,5:37.0,,F. Jackson misses 3-pt jump shot from 24 ft,111,92
4,5:32.0,Defensive rebound by S. Ibaka,,111,92
4,5:29.0,J. Lin misses 3-pt jump shot from 23 ft,,111,92
4,5:26.0,,Defensive rebound by C. Diallo,111,92
4,5:20.0,,I. Clark misses 3-pt jump shot from 24 ft,111,92
4,5:15.0,Defensive rebound by K. Lowry,,111,92
4,5:09.0,S. Ibaka misses 3-pt jump shot from 26 ft,,111,92
4,5:05.0,,Defensive rebound by C. Diallo,111,92
4,4:59.0,,F. Jackson misses 3-pt jump shot from 23 ft,111,92
4,4:55.0,,Offensive rebound by F. Jackson,111,92
4,4:53.0,,F. Jackson makes 2-pt jump shot from 2 ft,111,94
4,4:37.0,N. Powell misses 3-pt jump shot from 27 ft,,111,94
