QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MINNESOTA_ACTION,CLEVELAND_SCORE,MINNESOTA_SCORE
1,4:36.0,,K. Towns misses 2-pt jump shot from 16 ft,21,15
1,4:35.0,Defensive rebound by Team,,21,15
1,4:35.0,,Loose ball foul by T. Gibson (drawn by K. Love),21,15
1,4:16.0,R. Hood misses 2-pt jump shot from 6 ft,,21,15
1,4:15.0,,Defensive rebound by T. Gibson,21,15
1,3:58.0,,T. Gibson misses 3-pt jump shot from 23 ft,21,15
1,3:57.0,Defensive rebound by K. Love,,21,15
1,3:40.0,C. Osman makes 3-pt jump shot from 24 ft (assist by K. Love),,24,15
1,3:18.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by K. Towns),24,18
1,3:17.0,Cleveland full timeout,,24,18
1,3:17.0,C. Sexton enters the game for G. Hill,,24,18
1,3:17.0,J. Smith enters the game for R. Hood,,24,18
1,3:17.0,,A. Tolliver enters the game for T. Gibson,24,18
1,3:05.0,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),,26,18
1,2:55.0,,Shooting foul by C. Sexton (drawn by D. Rose),26,18
1,2:55.0,,D. Rose makes free throw 1 of 2,26,19
1,2:55.0,R. Hood enters the game for C. Osman,,26,19
1,2:55.0,,D. Rose makes free throw 2 of 2,26,20
1,2:37.0,K. Love misses 2-pt layup from 6 ft,,26,20
1,2:35.0,Offensive rebound by K. Love,,26,20
1,2:25.0,C. Sexton misses 2-pt jump shot from 22 ft,,26,20
1,2:21.0,,Defensive rebound by D. Rose,26,20
1,2:09.0,,A. Wiggins makes 2-pt jump shot from 21 ft,26,22
1,1:56.0,C. Sexton makes 2-pt jump shot from 19 ft,,28,22
1,1:44.0,,J. Teague makes 2-pt jump shot from 8 ft,28,24
1,1:23.0,K. Love misses 2-pt jump shot from 17 ft,,28,24
1,1:21.0,,Defensive rebound by K. Towns,28,24
1,1:14.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by D. Rose),28,27
1,0:52.0,Turnover by J. Smith (bad pass; steal by A. Wiggins),,28,27
1,0:45.0,,A. Wiggins misses 2-pt layup from 2 ft,28,27
1,0:43.0,,Offensive rebound by A. Wiggins,28,27
1,0:43.0,,A. Wiggins makes 2-pt layup from 1 ft,28,29
1,0:27.0,C. Sexton makes 2-pt jump shot from 15 ft (assist by K. Love),,30,29
1,0:06.0,,Shooting foul by R. Hood (drawn by A. Tolliver),30,29
1,0:06.0,,Technical foul by T. Lue,30,29
1,0:06.0,,J. Teague makes technical free throw,30,30
1,0:06.0,,A. Tolliver makes free throw 1 of 3,30,31
1,0:06.0,,A. Tolliver makes free throw 2 of 3,30,32
1,0:06.0,K. Korver enters the game for T. Thompson,,30,32
1,0:06.0,,G. Dieng enters the game for J. Teague,30,32
1,0:06.0,,T. Jones enters the game for K. Towns,30,32
1,0:06.0,,A. Tolliver misses free throw 3 of 3,30,32
1,0:04.0,Defensive rebound by K. Love,,30,32
1,0:01.0,J. Smith misses 3-pt jump shot from 31 ft,,30,32
1,0:01.0,,Defensive rebound by G. Dieng,30,32
2,11:45.0,J. Clarkson makes 2-pt layup from 4 ft (assist by A. Žižić),,32,32
2,11:37.0,,Shooting foul by A. Žižić (drawn by D. Rose),32,32
2,11:37.0,,D. Rose makes free throw 1 of 2,32,33
2,11:37.0,S. Dekker enters the game for J. Smith,,32,33
2,11:37.0,,D. Rose makes free throw 2 of 2,32,34
2,11:19.0,Turnover by J. Clarkson (bad pass; steal by A. Tolliver),,32,34
2,11:15.0,,T. Jones makes 2-pt layup from 1 ft,32,36
2,11:03.0,S. Dekker misses 3-pt jump shot from 25 ft,,32,36
2,10:59.0,,Defensive rebound by A. Tolliver,32,36
2,10:53.0,,A. Tolliver misses 3-pt jump shot from 26 ft,32,36
2,10:51.0,Defensive rebound by K. Korver,,32,36
2,10:40.0,J. Clarkson makes 2-pt jump shot from 14 ft,,34,36
2,10:17.0,,T. Jones makes 3-pt jump shot from 25 ft (assist by G. Dieng),34,39
2,9:56.0,Turnover by J. Clarkson (bad pass; steal by A. Tolliver),,34,39
2,9:52.0,,J. Butler makes 2-pt dunk at rim (assist by T. Jones),34,41
2,9:51.0,Cleveland full timeout,,34,41
2,9:29.0,K. Korver misses 2-pt jump shot from 21 ft,,34,41
2,9:26.0,,Defensive rebound by D. Rose,34,41
2,9:18.0,,G. Dieng makes 2-pt dunk at rim (assist by D. Rose),34,43
2,9:06.0,C. Sexton misses 2-pt jump shot from 15 ft,,34,43
2,9:06.0,Offensive rebound by Team,,34,43
2,9:06.0,,Loose ball foul by G. Dieng (drawn by A. Žižić),34,43
2,8:59.0,S. Dekker makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,37,43
2,8:41.0,,G. Dieng misses 3-pt jump shot from 25 ft,37,43
2,8:39.0,,Offensive rebound by Team,37,43
2,8:32.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by D. Rose),37,45
2,8:17.0,J. Clarkson misses 2-pt jump shot from 10 ft,,37,45
2,8:14.0,Offensive rebound by S. Dekker,,37,45
2,8:10.0,A. Žižić makes 2-pt layup from 1 ft (assist by S. Dekker),,39,45
2,8:01.0,,T. Jones misses 2-pt jump shot from 18 ft,39,45
2,7:58.0,Defensive rebound by J. Clarkson,,39,45
2,7:49.0,S. Dekker misses 2-pt dunk from 3 ft (block by G. Dieng),,39,45
2,7:46.0,,Defensive rebound by G. Dieng,39,45
2,7:41.0,,A. Tolliver misses 3-pt jump shot from 25 ft,39,45
2,7:38.0,,Offensive rebound by D. Rose,39,45
2,7:36.0,,T. Jones misses 3-pt jump shot from 22 ft,39,45
2,7:34.0,,Offensive rebound by J. Butler,39,45
2,7:33.0,,J. Butler misses 2-pt layup from 1 ft,39,45
2,7:33.0,,Offensive rebound by J. Butler,39,45
2,7:27.0,,J. Butler makes 2-pt layup at rim,39,47
2,7:20.0,Personal foul by A. Tolliver (drawn by S. Dekker),,39,47
2,7:20.0,K. Love enters the game for A. Žižić,,39,47
2,7:20.0,,K. Towns enters the game for G. Dieng,39,47
2,7:09.0,K. Love misses 2-pt jump shot from 19 ft,,39,47
2,7:02.0,,Defensive rebound by J. Butler,39,47
2,6:52.0,,Shooting foul by S. Dekker (drawn by J. Butler),39,47
2,6:52.0,,J. Butler makes free throw 1 of 2,39,48
2,6:52.0,C. Osman enters the game for K. Korver,,39,48
2,6:52.0,,J. Butler makes free throw 2 of 2,39,49
2,6:41.0,J. Clarkson makes 2-pt jump shot from 9 ft,,41,49
2,6:29.0,,D. Rose makes 2-pt jump shot from 18 ft,41,51
2,6:20.0,K. Love misses 2-pt layup from 1 ft,,41,51
2,6:17.0,,Defensive rebound by D. Rose,41,51
2,6:13.0,,J. Butler makes 2-pt dunk from 1 ft (assist by D. Rose),41,53
2,6:13.0,Cleveland full timeout,,41,53
2,6:13.0,G. Hill enters the game for S. Dekker,,41,53
2,6:13.0,T. Thompson enters the game for C. Sexton,,41,53
2,6:13.0,,A. Wiggins enters the game for D. Rose,41,53
2,6:00.0,Turnover by G. Hill (bad pass; steal by J. Butler),,41,53
2,5:56.0,,J. Butler makes 2-pt dunk from 1 ft,41,55
2,5:32.0,J. Clarkson misses 3-pt jump shot from 25 ft,,41,55
2,5:29.0,,Defensive rebound by K. Towns,41,55
2,5:22.0,,A. Tolliver misses 3-pt jump shot from 22 ft,41,55
2,5:21.0,Defensive rebound by J. Clarkson,,41,55
2,5:14.0,C. Osman makes 2-pt jump shot from 17 ft,,43,55
2,4:46.0,,A. Wiggins misses 3-pt jump shot from 23 ft,43,55
2,4:43.0,Defensive rebound by T. Thompson,,43,55
2,4:35.0,Turnover by J. Clarkson (bad pass; steal by A. Wiggins),,43,55
2,4:30.0,,A. Tolliver misses 3-pt jump shot from 27 ft,43,55
2,4:28.0,Defensive rebound by J. Clarkson,,43,55
2,4:24.0,J. Clarkson makes 2-pt layup from 1 ft,,45,55
2,4:15.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by T. Jones),45,58
2,4:10.0,Personal foul by A. Wiggins (drawn by C. Osman),,45,58
2,4:10.0,R. Hood enters the game for J. Clarkson,,45,58
2,4:10.0,,T. Gibson enters the game for T. Jones,45,58
2,4:10.0,,J. Teague enters the game for A. Tolliver,45,58
2,4:02.0,G. Hill misses 3-pt jump shot from 25 ft,,45,58
2,3:58.0,Offensive rebound by T. Thompson,,45,58
2,3:49.0,K. Love misses 2-pt layup from 2 ft (block by J. Butler),,45,58
2,3:46.0,Offensive rebound by Team,,45,58
2,3:43.0,G. Hill misses 2-pt jump shot from 7 ft,,45,58
2,3:40.0,,Defensive rebound by K. Towns,45,58
2,3:38.0,,J. Teague makes 2-pt dunk from 2 ft,45,60
2,3:30.0,R. Hood makes 2-pt layup from 1 ft (assist by C. Osman),,47,60
2,3:22.0,,Personal foul by G. Hill (drawn by J. Butler),47,60
2,3:22.0,,D. Rose enters the game for J. Butler,47,60
2,3:12.0,,K. Towns misses 2-pt hook shot from 7 ft,47,60
2,3:10.0,,Offensive rebound by T. Gibson,47,60
2,3:10.0,,T. Gibson makes 2-pt layup at rim,47,62
2,3:07.0,Turnover by C. Osman (bad pass),,47,62
2,2:57.0,,K. Towns makes 2-pt jump shot from 6 ft (assist by T. Gibson),47,64
2,2:41.0,C. Osman misses 2-pt layup from 1 ft (block by K. Towns),,47,64
2,2:38.0,,Defensive rebound by K. Towns,47,64
2,2:36.0,,A. Wiggins makes 2-pt layup from 3 ft (assist by D. Rose),47,66
2,2:36.0,,Shooting foul by R. Hood (drawn by A. Wiggins),47,66
2,2:36.0,Cleveland full timeout,,47,66
2,2:36.0,,A. Wiggins makes free throw 1 of 1,47,67
2,2:18.0,C. Osman makes 2-pt jump shot from 18 ft,,49,67
2,2:03.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),49,69
2,1:56.0,Shooting foul by K. Towns (drawn by G. Hill),,49,69
2,1:56.0,G. Hill makes free throw 1 of 2,,50,69
2,1:56.0,G. Hill misses free throw 2 of 2,,50,69
2,1:53.0,,Defensive rebound by T. Gibson,50,69
2,1:36.0,,K. Towns misses 2-pt jump shot from 15 ft,50,69
2,1:33.0,Defensive rebound by K. Love,,50,69
2,1:26.0,T. Thompson makes 2-pt dunk at rim (assist by C. Osman),,52,69
2,1:12.0,,D. Rose misses 2-pt jump shot from 16 ft,52,69
2,1:09.0,,Offensive rebound by T. Gibson,52,69
2,1:06.0,,A. Wiggins misses 3-pt jump shot from 26 ft,52,69
2,1:04.0,Defensive rebound by K. Love,,52,69
2,0:59.0,R. Hood misses 2-pt layup from 1 ft,,52,69
2,0:57.0,Offensive rebound by C. Osman,,52,69
2,0:57.0,Shooting foul by K. Towns (drawn by C. Osman),,52,69
2,0:57.0,C. Osman misses free throw 1 of 2,,52,69
2,0:57.0,Offensive rebound by Team,,52,69
2,0:57.0,J. Clarkson enters the game for R. Hood,,52,69
2,0:57.0,,G. Dieng enters the game for K. Towns,52,69
2,0:57.0,C. Osman misses free throw 2 of 2,,52,69
2,0:55.0,Offensive rebound by G. Hill,,52,69
2,0:49.0,C. Osman misses 3-pt jump shot from 25 ft,,52,69
2,0:45.0,,Defensive rebound by Team,52,69
2,0:23.0,,T. Gibson misses 2-pt layup from 2 ft,52,69
2,0:21.0,,Offensive rebound by Team,52,69
2,0:21.0,,Turnover by Team (shot clock),52,69
2,0:07.0,K. Love makes 2-pt dunk from 2 ft,,54,69
2,0:00.0,,A. Wiggins makes 2-pt jump shot from 15 ft,54,71
3,11:49.0,R. Hood misses 2-pt jump shot from 15 ft,,54,71
3,11:47.0,Offensive rebound by T. Thompson,,54,71
3,11:47.0,T. Thompson makes 2-pt layup at rim,,56,71
3,11:30.0,,J. Teague misses 2-pt layup from 2 ft,56,71
3,11:28.0,Defensive rebound by T. Thompson,,56,71
3,11:23.0,G. Hill makes 2-pt layup from 2 ft (assist by R. Hood),,58,71
3,11:10.0,,Personal foul by C. Osman (drawn by J. Teague),58,71
3,11:05.0,,K. Towns misses 2-pt layup from 2 ft (block by T. Thompson),58,71
3,11:04.0,,Offensive rebound by Team,58,71
3,11:01.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Butler),58,74
3,10:42.0,Shooting foul by J. Teague (drawn by R. Hood),,58,74
3,10:42.0,R. Hood makes free throw 1 of 2,,59,74
3,10:42.0,R. Hood makes free throw 2 of 2,,60,74
3,10:30.0,,A. Wiggins misses 2-pt jump shot from 23 ft,60,74
3,10:29.0,,Offensive rebound by T. Gibson,60,74
3,10:28.0,,Offensive rebound by Team,60,74
3,10:28.0,,T. Gibson misses 2-pt layup from 1 ft,60,74
3,10:28.0,Loose ball foul by G. Hill (drawn by T. Gibson),,60,74
3,10:21.0,,Shooting foul by K. Love (drawn by T. Gibson),60,74
3,10:21.0,,T. Gibson makes free throw 1 of 2,60,75
3,10:21.0,,T. Gibson makes free throw 2 of 2,60,76
3,10:03.0,R. Hood misses 2-pt jump shot from 10 ft (block by K. Towns),,60,76
3,9:59.0,,Defensive rebound by J. Teague,60,76
3,9:58.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Teague),60,78
3,9:47.0,Turnover by K. Love (lost ball; steal by J. Butler),,60,78
3,9:28.0,,Shooting foul by T. Thompson (drawn by T. Gibson),60,78
3,9:28.0,,T. Gibson makes free throw 1 of 2,60,79
3,9:28.0,,T. Gibson misses free throw 2 of 2,60,79
3,9:26.0,Defensive rebound by K. Love,,60,79
3,9:05.0,G. Hill misses 2-pt jump shot from 19 ft,,60,79
3,9:02.0,,Defensive rebound by T. Gibson,60,79
3,8:52.0,,Turnover by K. Towns (bad pass; steal by R. Hood),60,79
3,8:47.0,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),,62,79
3,8:42.0,,J. Butler makes 2-pt dunk from 1 ft (assist by J. Teague),62,81
3,8:22.0,Turnover by C. Osman (bad pass),,62,81
3,8:13.0,,Personal foul by G. Hill (drawn by J. Teague),62,81
3,8:13.0,,J. Teague makes free throw 1 of 2,62,82
3,8:13.0,,J. Teague makes free throw 2 of 2,62,83
3,8:03.0,K. Love makes 3-pt jump shot from 26 ft (assist by T. Thompson),,65,83
3,7:47.0,,Personal foul by T. Thompson (drawn by K. Towns),65,83
3,7:47.0,,K. Towns makes free throw 1 of 2,65,84
3,7:47.0,,K. Towns makes free throw 2 of 2,65,85
3,7:34.0,Shooting foul by J. Teague (drawn by K. Love),,65,85
3,7:34.0,K. Love makes free throw 1 of 2,,66,85
3,7:34.0,K. Love makes free throw 2 of 2,,67,85
3,7:22.0,,K. Towns misses 2-pt layup from 2 ft,67,85
3,7:22.0,Defensive rebound by Team,,67,85
3,7:22.0,,Loose ball foul by K. Towns (drawn by T. Thompson),67,85
3,7:10.0,Personal foul by T. Gibson (drawn by K. Love),,67,85
3,6:59.0,T. Thompson makes 2-pt layup from 2 ft (assist by R. Hood),,69,85
3,6:38.0,,A. Wiggins makes 2-pt layup from 1 ft,69,87
3,6:26.0,Personal foul by T. Gibson (drawn by K. Love),,69,87
3,6:26.0,,Minnesota full timeout,69,87
3,6:26.0,K. Love makes free throw 1 of 2,,70,87
3,6:26.0,K. Love makes free throw 2 of 2,,71,87
3,6:09.0,,J. Butler makes 2-pt dunk from 1 ft (assist by J. Teague),71,89
3,5:48.0,K. Love makes 3-pt jump shot from 24 ft (assist by C. Osman),,74,89
3,5:39.0,,Offensive foul by T. Gibson (drawn by G. Hill),74,89
3,5:39.0,,Turnover by T. Gibson (offensive foul),74,89
3,5:30.0,Turnover by T. Thompson (bad pass; steal by A. Wiggins),,74,89
3,5:26.0,,Shooting foul by C. Osman (drawn by A. Wiggins),74,89
3,5:26.0,,A. Wiggins makes free throw 1 of 2,74,90
3,5:26.0,,A. Tolliver enters the game for T. Gibson,74,90
3,5:26.0,,A. Wiggins makes free throw 2 of 2,74,91
3,5:07.0,K. Love misses 2-pt jump shot from 13 ft,,74,91
3,5:04.0,Offensive rebound by C. Osman,,74,91
3,4:55.0,R. Hood misses 3-pt jump shot from 23 ft,,74,91
3,4:53.0,Offensive rebound by T. Thompson,,74,91
3,4:52.0,T. Thompson misses 2-pt layup from 2 ft (block by K. Towns),,74,91
3,4:52.0,,Defensive rebound by A. Wiggins,74,91
3,4:44.0,,A. Wiggins misses 2-pt jump shot from 16 ft,74,91
3,4:42.0,Defensive rebound by K. Love,,74,91
3,4:38.0,R. Hood makes 2-pt layup from 1 ft (assist by K. Love),,76,91
3,4:27.0,,Turnover by K. Towns (traveling),76,91
3,4:15.0,Personal foul by A. Tolliver (drawn by K. Love),,76,91
3,4:15.0,K. Love makes free throw 1 of 2,,77,91
3,4:15.0,K. Love makes free throw 2 of 2,,78,91
3,3:53.0,,J. Teague misses 2-pt jump shot from 9 ft,78,91
3,3:50.0,Defensive rebound by K. Love,,78,91
3,3:42.0,C. Osman makes 2-pt layup from 2 ft,,80,91
3,3:42.0,,Minnesota full timeout,80,91
3,3:28.0,,Turnover by K. Towns (bad pass),80,91
3,3:10.0,K. Love misses 2-pt jump shot from 6 ft,,80,91
3,3:08.0,Offensive rebound by T. Thompson,,80,91
3,3:08.0,T. Thompson makes 2-pt dunk at rim,,82,91
3,2:55.0,,Shooting foul by C. Osman (drawn by J. Butler),82,91
3,2:55.0,,J. Butler makes free throw 1 of 2,82,92
3,2:55.0,J. Clarkson enters the game for R. Hood,,82,92
3,2:55.0,,T. Jones enters the game for J. Teague,82,92
3,2:55.0,,J. Butler makes free throw 2 of 2,82,93
3,2:36.0,,Technical foul by T. Gibson,82,93
3,2:36.0,K. Love makes technical free throw,,83,93
3,2:36.0,,G. Dieng enters the game for J. Butler,83,93
3,2:36.0,,D. Rose enters the game for K. Towns,83,93
3,2:32.0,C. Osman makes 3-pt jump shot from 25 ft (assist by T. Thompson),,86,93
3,2:12.0,,D. Rose makes 2-pt layup from 2 ft,86,95
3,2:03.0,K. Love misses 3-pt jump shot from 25 ft,,86,95
3,2:01.0,,Defensive rebound by A. Tolliver,86,95
3,1:59.0,,Personal foul by C. Osman (drawn by D. Rose),86,95
3,1:59.0,,D. Rose makes free throw 1 of 2,86,96
3,1:59.0,R. Hood enters the game for G. Hill,,86,96
3,1:59.0,C. Sexton enters the game for C. Osman,,86,96
3,1:59.0,,D. Rose makes free throw 2 of 2,86,97
3,1:39.0,J. Clarkson makes 2-pt jump shot from 11 ft,,88,97
3,1:28.0,,A. Tolliver makes 3-pt jump shot from 28 ft (assist by D. Rose),88,100
3,1:11.0,Shooting foul by G. Dieng (drawn by K. Love),,88,100
3,1:11.0,K. Love makes free throw 1 of 3,,89,100
3,1:11.0,K. Love makes free throw 2 of 3,,90,100
3,1:11.0,A. Žižić enters the game for T. Thompson,,90,100
3,1:11.0,K. Love makes free throw 3 of 3,,91,100
3,1:00.0,,D. Rose misses 2-pt jump shot from 13 ft,91,100
3,0:57.0,Defensive rebound by K. Love,,91,100
3,0:51.0,R. Hood misses 3-pt jump shot from 25 ft,,91,100
3,0:49.0,,Defensive rebound by G. Dieng,91,100
3,0:38.0,,Turnover by A. Wiggins (lost ball; steal by A. Žižić),91,100
3,0:38.0,Personal foul by G. Dieng (drawn by A. Žižić),,91,100
3,0:38.0,A. Žižić makes free throw 1 of 2,,92,100
3,0:38.0,S. Dekker enters the game for K. Love,,92,100
3,0:38.0,A. Žižić misses free throw 2 of 2,,92,100
3,0:37.0,,Defensive rebound by G. Dieng,92,100
3,0:30.0,,G. Dieng makes 2-pt dunk from 1 ft (assist by T. Jones),92,102
3,0:07.0,Shooting foul by D. Rose (drawn by A. Žižić),,92,102
3,0:07.0,,Technical foul by D. Rose,92,102
3,0:07.0,J. Clarkson makes technical free throw,,93,102
3,0:07.0,A. Žižić makes free throw 1 of 2,,94,102
3,0:07.0,A. Žižić makes free throw 2 of 2,,95,102
3,0:02.0,,Shooting foul by R. Hood (drawn by A. Wiggins),95,102
3,0:02.0,,A. Wiggins makes free throw 1 of 2,95,103
3,0:02.0,,A. Wiggins makes free throw 2 of 2,95,104
4,11:46.0,,Personal foul by J. Clarkson (drawn by G. Dieng),95,104
4,11:33.0,,J. Butler makes 3-pt jump shot from 25 ft,95,107
4,11:17.0,Shooting foul by G. Dieng (drawn by S. Dekker),,95,107
4,11:17.0,S. Dekker makes free throw 1 of 2,,96,107
4,11:17.0,S. Dekker makes free throw 2 of 2,,97,107
4,11:04.0,,J. Butler makes 2-pt jump shot from 11 ft,97,109
4,10:48.0,J. Clarkson makes 2-pt layup from 2 ft (assist by A. Žižić),,99,109
4,10:40.0,,Turnover by G. Dieng (bad pass; steal by S. Dekker),99,109
4,10:30.0,Offensive foul by S. Dekker (drawn by D. Rose),,99,109
4,10:30.0,Turnover by S. Dekker (offensive foul),,99,109
4,10:15.0,,T. Jones misses 3-pt jump shot from 23 ft,99,109
4,10:13.0,Defensive rebound by C. Sexton,,99,109
4,10:03.0,C. Sexton makes 2-pt jump shot from 22 ft,,101,109
4,9:54.0,,Turnover by A. Tolliver (bad pass),101,109
4,9:43.0,Shooting foul by D. Rose (drawn by C. Sexton),,101,109
4,9:43.0,C. Sexton makes free throw 1 of 2,,102,109
4,9:43.0,C. Sexton makes free throw 2 of 2,,103,109
4,9:31.0,,G. Dieng makes 3-pt jump shot from 25 ft (assist by J. Butler),103,112
4,9:19.0,A. Žižić misses 2-pt jump shot from 7 ft,,103,112
4,9:17.0,,Defensive rebound by Team,103,112
4,9:08.0,,Shooting foul by S. Dekker (drawn by J. Butler),103,112
4,9:08.0,,J. Butler makes free throw 1 of 2,103,113
4,9:08.0,C. Osman enters the game for S. Dekker,,103,113
4,9:08.0,,J. Butler makes free throw 2 of 2,103,114
4,8:53.0,R. Hood misses 2-pt layup from 3 ft,,103,114
4,8:50.0,,Defensive rebound by J. Butler,103,114
4,8:46.0,,G. Dieng makes 2-pt layup from 1 ft (assist by D. Rose),103,116
4,8:46.0,Cleveland full timeout,,103,116
4,8:46.0,K. Love enters the game for R. Hood,,103,116
4,8:46.0,,T. Gibson enters the game for A. Tolliver,103,116
4,8:31.0,C. Osman misses 2-pt jump shot from 19 ft,,103,116
4,8:29.0,Offensive rebound by A. Žižić,,103,116
4,8:29.0,A. Žižić makes 2-pt layup at rim,,105,116
4,8:16.0,,Turnover by T. Gibson (bad pass),105,116
4,8:05.0,J. Clarkson makes 2-pt jump shot from 13 ft,,107,116
4,7:47.0,,T. Jones makes 3-pt jump shot from 26 ft (assist by D. Rose),107,119
4,7:36.0,C. Sexton makes 2-pt jump shot from 14 ft,,109,119
4,7:18.0,,Turnover by G. Dieng (traveling),109,119
4,7:01.0,J. Clarkson misses 2-pt jump shot from 7 ft,,109,119
4,7:00.0,Offensive rebound by Team,,109,119
4,7:00.0,,Loose ball foul by G. Dieng (drawn by A. Žižić),109,119
4,7:00.0,T. Thompson enters the game for A. Žižić,,109,119
4,7:00.0,,K. Towns enters the game for G. Dieng,109,119
4,6:49.0,J. Clarkson makes 2-pt jump shot from 10 ft,,111,119
4,6:35.0,,D. Rose misses 3-pt jump shot from 27 ft,111,119
4,6:32.0,Defensive rebound by K. Love,,111,119
4,6:25.0,J. Clarkson misses 2-pt jump shot from 17 ft,,111,119
4,6:23.0,,Defensive rebound by K. Towns,111,119
4,6:19.0,,Personal foul by K. Love (drawn by T. Gibson),111,119
4,6:19.0,,J. Teague enters the game for T. Jones,111,119
4,6:19.0,,A. Wiggins enters the game for D. Rose,111,119
4,6:11.0,,Turnover by J. Teague (bad pass; steal by J. Clarkson),111,119
4,6:07.0,C. Osman misses 2-pt layup from 2 ft (block by J. Butler),,111,119
4,6:06.0,,Defensive rebound by Team,111,119
4,5:56.0,,Shooting foul by T. Thompson (drawn by J. Butler),111,119
4,5:56.0,,J. Butler makes free throw 1 of 2,111,120
4,5:56.0,,J. Butler makes free throw 2 of 2,111,121
4,5:30.0,C. Sexton makes 2-pt layup from 1 ft,,113,121
4,5:06.0,,A. Wiggins misses 2-pt jump shot from 16 ft,113,121
4,5:03.0,Defensive rebound by T. Thompson,,113,121
4,4:58.0,Shooting foul by K. Towns (drawn by J. Clarkson),,113,121
