QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
1,7:14.0,J. Collins makes 2-pt dunk at rim (assist by T. Young),,15,16
1,6:57.0,,W. Ellington misses 3-pt jump shot from 25 ft,15,16
1,6:57.0,Defensive rebound by Team,,15,16
1,6:57.0,,Miami full timeout,15,16
1,6:57.0,K. Bazemore enters the game for K. Huerter,,15,16
1,6:57.0,J. Lin enters the game for T. Prince,,15,16
1,6:57.0,,J. Winslow enters the game for J. Johnson,15,16
1,6:44.0,Turnover by T. Young (bad pass; steal by H. Whiteside),,15,16
1,6:28.0,,Shooting foul by K. Bazemore (drawn by H. Whiteside),15,16
1,6:28.0,,H. Whiteside misses free throw 1 of 2,15,16
1,6:28.0,,Offensive rebound by Team,15,16
1,6:28.0,O. Spellman enters the game for J. Collins,,15,16
1,6:28.0,,D. Wade enters the game for R. McGruder,15,16
1,6:28.0,,H. Whiteside misses free throw 2 of 2,15,16
1,6:24.0,Defensive rebound by A. Len,,15,16
1,6:15.0,A. Len makes 2-pt layup at rim (assist by J. Lin),,17,16
1,5:58.0,,J. Richardson misses 3-pt jump shot from 23 ft,17,16
1,5:55.0,Defensive rebound by T. Young,,17,16
1,5:47.0,T. Young makes 2-pt layup from 1 ft,,19,16
1,5:38.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by D. Wade),19,19
1,5:26.0,J. Lin misses 3-pt jump shot from 25 ft,,19,19
1,5:23.0,,Defensive rebound by J. Richardson,19,19
1,5:19.0,,D. Wade makes 2-pt layup from 1 ft (assist by J. Richardson),19,21
1,5:13.0,Personal foul by J. Richardson (drawn by T. Young),,19,21
1,5:13.0,D. Bembry enters the game for T. Young,,19,21
1,5:04.0,A. Len misses 3-pt jump shot from 23 ft,,19,21
1,5:01.0,,Defensive rebound by J. Richardson,19,21
1,4:52.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Winslow),19,23
1,4:52.0,,R. McGruder enters the game for W. Ellington,19,23
1,4:26.0,D. Bembry misses 2-pt layup from 1 ft,,19,23
1,4:26.0,Offensive rebound by O. Spellman,,19,23
1,4:26.0,Personal foul by J. Winslow (drawn by O. Spellman),,19,23
1,4:26.0,O. Spellman makes free throw 1 of 2,,20,23
1,4:26.0,O. Spellman makes free throw 2 of 2,,21,23
1,4:15.0,,J. Richardson makes 2-pt dunk from 1 ft (assist by D. Wade),21,25
1,3:55.0,O. Spellman misses 3-pt jump shot from 23 ft,,21,25
1,3:52.0,,Defensive rebound by R. McGruder,21,25
1,3:51.0,,Personal foul by D. Bembry (drawn by D. Wade),21,25
1,3:51.0,,B. Adebayo enters the game for H. Whiteside,21,25
1,3:36.0,,R. McGruder misses 2-pt jump shot from 12 ft,21,25
1,3:34.0,Defensive rebound by K. Bazemore,,21,25
1,3:31.0,Shooting foul by B. Adebayo (drawn by K. Bazemore),,21,25
1,3:31.0,K. Bazemore misses free throw 1 of 2,,21,25
1,3:31.0,Offensive rebound by Team,,21,25
1,3:31.0,J. Collins enters the game for A. Len,,21,25
1,3:31.0,K. Bazemore makes free throw 2 of 2,,22,25
1,3:23.0,,Shooting foul by J. Lin (drawn by D. Wade),22,25
1,3:23.0,,D. Wade misses free throw 1 of 2,22,25
1,3:23.0,,Offensive rebound by Team,22,25
1,3:23.0,,K. Olynyk enters the game for J. Richardson,22,25
1,3:23.0,,D. Wade makes free throw 2 of 2,22,26
1,3:07.0,Turnover by K. Bazemore (lost ball; steal by J. Winslow),,22,26
1,3:03.0,,Turnover by J. Winslow (bad pass; steal by D. Bembry),22,26
1,2:54.0,J. Lin makes 3-pt jump shot from 23 ft (assist by D. Bembry),,25,26
1,2:45.0,,Turnover by J. Winslow (bad pass; steal by O. Spellman),25,26
1,2:42.0,Turnover by J. Lin (bad pass; steal by R. McGruder),,25,26
1,2:38.0,,D. Wade makes 2-pt dunk from 1 ft (assist by R. McGruder),25,28
1,2:38.0,Atlanta full timeout,,25,28
1,2:38.0,T. Prince enters the game for J. Lin,,25,28
1,2:38.0,T. Young enters the game for O. Spellman,,25,28
1,2:19.0,Turnover by T. Young (bad pass; steal by K. Olynyk),,25,28
1,2:15.0,,Turnover by J. Winslow (bad pass; steal by D. Bembry),25,28
1,2:10.0,D. Bembry misses 2-pt layup from 1 ft,,25,28
1,2:06.0,,Defensive rebound by K. Olynyk,25,28
1,2:02.0,,Shooting foul by T. Prince (drawn by R. McGruder),25,28
1,2:02.0,,R. McGruder makes free throw 1 of 2,25,29
1,2:02.0,,R. McGruder makes free throw 2 of 2,25,30
1,1:52.0,D. Bembry makes 2-pt layup from 1 ft,,27,30
1,1:37.0,,J. Winslow misses 2-pt layup from 1 ft,27,30
1,1:33.0,,Offensive rebound by B. Adebayo,27,30
1,1:33.0,,B. Adebayo makes 2-pt dunk at rim,27,32
1,1:27.0,T. Prince misses 3-pt jump shot from 23 ft,,27,32
1,1:25.0,,Defensive rebound by J. Winslow,27,32
1,1:16.0,,J. Winslow makes 2-pt layup from 1 ft (assist by R. McGruder),27,34
1,1:00.0,T. Young makes 3-pt jump shot from 25 ft,,30,34
1,0:56.0,,Offensive foul by B. Adebayo (drawn by D. Bembry),30,34
1,0:56.0,,Turnover by B. Adebayo (offensive foul),30,34
1,0:45.0,T. Young makes 2-pt jump shot from 7 ft,,32,34
1,0:45.0,Violation by Team (delay of game),,32,34
1,0:41.0,,Shooting foul by J. Collins (drawn by B. Adebayo),32,34
1,0:41.0,,B. Adebayo makes free throw 1 of 2,32,35
1,0:41.0,A. Len enters the game for J. Collins,,32,35
1,0:41.0,,B. Adebayo makes free throw 2 of 2,32,36
1,0:32.0,Shooting foul by K. Olynyk (drawn by A. Len),,32,36
1,0:32.0,A. Len misses free throw 1 of 2,,32,36
1,0:32.0,Offensive rebound by Team,,32,36
1,0:32.0,A. Len makes free throw 2 of 2,,33,36
1,0:15.0,,Shooting foul by A. Len (drawn by D. Wade),33,36
1,0:15.0,,D. Wade makes free throw 1 of 2,33,37
1,0:15.0,,J. Johnson enters the game for K. Olynyk,33,37
1,0:15.0,,D. Wade makes free throw 2 of 2,33,38
1,0:15.0,,H. Whiteside enters the game for B. Adebayo,33,38
1,0:00.0,Shooting foul by J. Winslow (drawn by K. Bazemore),,33,38
1,0:00.0,K. Bazemore makes free throw 1 of 2,,34,38
1,0:00.0,K. Bazemore makes free throw 2 of 2,,35,38
2,11:49.0,Turnover by T. Prince (bad pass),,35,38
2,11:34.0,,Turnover by B. Adebayo (lost ball; steal by A. Len),35,38
2,11:26.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by T. Prince),,38,38
2,11:06.0,,R. McGruder misses 2-pt jump shot from 8 ft,38,38
2,11:04.0,Defensive rebound by A. Len,,38,38
2,10:58.0,O. Spellman makes 3-pt jump shot from 23 ft (assist by T. Young),,41,38
2,10:37.0,,J. Winslow makes 3-pt jump shot from 26 ft (assist by R. McGruder),41,41
2,10:28.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,43,41
2,10:12.0,,D. Wade misses 2-pt layup from 4 ft,43,41
2,10:12.0,,Offensive rebound by Team,43,41
2,10:12.0,Loose ball foul by A. Len (drawn by K. Olynyk),,43,41
2,10:12.0,D. Dedmon enters the game for A. Len,,43,41
2,10:05.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by R. McGruder),43,44
2,9:49.0,T. Prince makes 2-pt layup from 1 ft,,45,44
2,9:34.0,,D. Wade makes 2-pt jump shot from 7 ft,45,46
2,9:22.0,T. Young misses 2-pt jump shot from 9 ft,,45,46
2,9:18.0,,Defensive rebound by B. Adebayo,45,46
2,9:12.0,,Turnover by K. Olynyk (out of bounds lost ball),45,46
2,9:12.0,,H. Whiteside enters the game for B. Adebayo,45,46
2,8:59.0,K. Huerter misses 2-pt layup from 1 ft,,45,46
2,8:58.0,,Defensive rebound by H. Whiteside,45,46
2,8:45.0,,K. Olynyk misses 3-pt jump shot from 27 ft,45,46
2,8:42.0,Defensive rebound by T. Prince,,45,46
2,8:32.0,T. Prince misses 2-pt jump shot from 11 ft (block by H. Whiteside),,45,46
2,8:28.0,Offensive rebound by T. Prince,,45,46
2,8:22.0,T. Prince makes 3-pt jump shot from 22 ft (assist by D. Dedmon),,48,46
2,8:16.0,,Miami full timeout,48,46
2,8:16.0,J. Lin enters the game for T. Young,,48,46
2,8:16.0,,W. Ellington enters the game for R. McGruder,48,46
2,8:16.0,,J. Johnson enters the game for K. Olynyk,48,46
2,8:16.0,,J. Richardson enters the game for D. Wade,48,46
2,8:05.0,,W. Ellington misses 3-pt jump shot from 26 ft,48,46
2,8:02.0,Defensive rebound by J. Lin,,48,46
2,7:41.0,T. Prince misses 3-pt jump shot from 25 ft,,48,46
2,7:39.0,,Defensive rebound by J. Johnson,48,46
2,7:31.0,,J. Winslow misses 3-pt jump shot from 25 ft,48,46
2,7:29.0,,Offensive rebound by H. Whiteside,48,46
2,7:27.0,,Turnover by H. Whiteside (lost ball; steal by O. Spellman),48,46
2,7:21.0,Turnover by T. Prince (bad pass; steal by J. Johnson),,48,46
2,7:12.0,,W. Ellington misses 2-pt jump shot from 4 ft,48,46
2,7:09.0,Defensive rebound by D. Dedmon,,48,46
2,7:06.0,K. Huerter misses 3-pt jump shot from 26 ft,,48,46
2,7:01.0,,Defensive rebound by W. Ellington,48,46
2,6:48.0,,Turnover by H. Whiteside (lost ball; steal by D. Dedmon),48,46
2,6:43.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by D. Dedmon),,51,46
2,6:26.0,,J. Winslow makes 2-pt layup from 2 ft,51,48
2,6:09.0,Turnover by O. Spellman (lost ball; steal by J. Richardson),,51,48
2,6:04.0,,W. Ellington misses 2-pt layup from 2 ft (block by T. Prince),51,48
2,6:00.0,Defensive rebound by J. Lin,,51,48
2,5:44.0,Turnover by J. Lin (lost ball; steal by H. Whiteside),,51,48
2,5:44.0,,Personal foul by T. Prince (drawn by J. Richardson),51,48
2,5:44.0,K. Bazemore enters the game for K. Huerter,,51,48
2,5:44.0,D. Bembry enters the game for T. Prince,,51,48
2,5:44.0,J. Collins enters the game for O. Spellman,,51,48
2,5:44.0,,D. Jones enters the game for J. Winslow,51,48
2,5:31.0,,W. Ellington misses 3-pt jump shot from 23 ft,51,48
2,5:25.0,Defensive rebound by D. Dedmon,,51,48
2,5:10.0,K. Bazemore misses 3-pt jump shot from 24 ft,,51,48
2,5:07.0,,Defensive rebound by W. Ellington,51,48
2,4:50.0,,Shooting foul by D. Dedmon (drawn by J. Richardson),51,48
2,4:50.0,,J. Richardson makes free throw 1 of 2,51,49
2,4:50.0,A. Len enters the game for D. Dedmon,,51,49
2,4:50.0,,J. Richardson makes free throw 2 of 2,51,50
2,4:37.0,Turnover by J. Lin (bad pass; steal by W. Ellington),,51,50
2,4:29.0,,W. Ellington misses 3-pt jump shot from 23 ft,51,50
2,4:26.0,Defensive rebound by D. Bembry,,51,50
2,4:26.0,Personal foul by W. Ellington (drawn by D. Bembry),,51,50
2,4:19.0,D. Bembry misses 3-pt jump shot from 25 ft,,51,50
2,4:16.0,Offensive rebound by A. Len,,51,50
2,4:07.0,A. Len makes 2-pt hook shot from 7 ft,,53,50
2,3:57.0,,J. Johnson misses 3-pt jump shot from 26 ft,53,50
2,3:53.0,Defensive rebound by D. Bembry,,53,50
2,3:47.0,K. Bazemore misses 3-pt jump shot from 23 ft,,53,50
2,3:43.0,,Defensive rebound by H. Whiteside,53,50
2,3:24.0,,H. Whiteside misses 2-pt jump shot from 17 ft,53,50
2,3:22.0,Defensive rebound by D. Bembry,,53,50
2,3:12.0,K. Bazemore makes 2-pt layup from 1 ft,,55,50
2,3:12.0,,Miami full timeout,55,50
2,3:12.0,,B. Adebayo enters the game for J. Johnson,55,50
2,3:12.0,,D. Wade enters the game for H. Whiteside,55,50
2,3:01.0,,Turnover by B. Adebayo (out of bounds lost ball),55,50
2,2:46.0,D. Bembry makes 2-pt layup from 1 ft,,57,50
2,2:33.0,,Turnover by W. Ellington (bad pass; steal by D. Bembry),57,50
2,2:27.0,D. Bembry makes 2-pt dunk from 1 ft,,59,50
2,2:15.0,,D. Wade misses 2-pt jump shot from 8 ft,59,50
2,2:11.0,,Offensive rebound by B. Adebayo,59,50
2,2:04.0,,B. Adebayo makes 2-pt jump shot from 5 ft (assist by W. Ellington),59,52
2,1:59.0,Shooting foul by B. Adebayo (drawn by J. Lin),,59,52
2,1:59.0,J. Lin makes free throw 1 of 2,,60,52
2,1:59.0,J. Anderson enters the game for J. Collins,,60,52
2,1:59.0,,H. Whiteside enters the game for B. Adebayo,60,52
2,1:59.0,J. Lin makes free throw 2 of 2,,61,52
2,1:43.0,,Turnover by J. Richardson (bad pass),61,52
2,1:25.0,Turnover by K. Bazemore (lost ball; steal by W. Ellington),,61,52
2,1:21.0,,Turnover by J. Richardson (lost ball; steal by K. Bazemore),61,52
2,1:13.0,Turnover by D. Bembry (bad pass; steal by D. Jones),,61,52
2,1:07.0,,D. Jones misses 2-pt layup from 1 ft (block by A. Len),61,52
2,1:03.0,Defensive rebound by J. Lin,,61,52
2,1:01.0,J. Anderson misses 2-pt layup from 1 ft (block by H. Whiteside),,61,52
2,1:01.0,Offensive rebound by Team,,61,52
2,1:01.0,Technical foul by E. Spoelstra,,61,52
2,1:01.0,J. Lin makes technical free throw,,62,52
2,1:01.0,,R. McGruder enters the game for W. Ellington,62,52
2,0:53.0,Personal foul by J. Richardson (drawn by J. Lin),,62,52
2,0:53.0,J. Lin makes free throw 1 of 2,,63,52
2,0:53.0,J. Lin misses free throw 2 of 2,,63,52
2,0:50.0,,Defensive rebound by D. Jones,63,52
2,0:41.0,,Shooting foul by D. Bembry (drawn by H. Whiteside),63,52
2,0:41.0,,J. Winslow enters the game for J. Richardson,63,52
2,0:41.0,,H. Whiteside misses free throw 1 of 2,63,52
2,0:41.0,,Offensive rebound by Team,63,52
2,0:41.0,,H. Whiteside misses free throw 2 of 2,63,52
2,0:41.0,Defensive rebound by A. Len,,63,52
2,0:33.0,D. Bembry misses 2-pt layup from 1 ft,,63,52
2,0:32.0,Offensive rebound by A. Len,,63,52
2,0:31.0,Shooting foul by D. Jones (drawn by A. Len),,63,52
2,0:31.0,A. Len makes free throw 1 of 2,,64,52
2,0:31.0,K. Huerter enters the game for D. Bembry,,64,52
2,0:31.0,,K. Olynyk enters the game for D. Jones,64,52
2,0:31.0,,J. Richardson enters the game for H. Whiteside,64,52
2,0:31.0,A. Len makes free throw 2 of 2,,65,52
2,0:08.0,,R. McGruder misses 3-pt jump shot from 25 ft,65,52
2,0:05.0,Defensive rebound by A. Len,,65,52
2,0:00.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by J. Anderson),,68,52
3,11:40.0,T. Prince misses 2-pt jump shot from 11 ft,,68,52
3,11:38.0,,Defensive rebound by J. Richardson,68,52
3,11:33.0,,J. Richardson misses 2-pt layup from 1 ft (block by D. Dedmon),68,52
3,11:23.0,,Offensive rebound by H. Whiteside,68,52
3,11:23.0,,H. Whiteside makes 2-pt layup from 1 ft,68,54
3,11:10.0,T. Prince makes 3-pt jump shot from 27 ft (assist by D. Dedmon),,71,54
3,10:48.0,,J. Johnson misses 2-pt layup from 2 ft,71,54
3,10:47.0,Defensive rebound by T. Young,,71,54
3,10:42.0,Shooting foul by H. Whiteside (drawn by J. Collins),,71,54
3,10:42.0,J. Collins makes free throw 1 of 2,,72,54
3,10:42.0,J. Collins makes free throw 2 of 2,,73,54
3,10:20.0,,J. Richardson misses 3-pt jump shot from 23 ft,73,54
3,10:17.0,Defensive rebound by J. Collins,,73,54
3,10:13.0,K. Huerter misses 3-pt jump shot from 25 ft,,73,54
3,10:10.0,,Defensive rebound by R. McGruder,73,54
3,10:02.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by R. McGruder),73,57
3,9:47.0,T. Young misses 2-pt jump shot from 7 ft,,73,57
3,9:45.0,Offensive rebound by D. Dedmon,,73,57
3,9:38.0,T. Prince makes 3-pt jump shot from 22 ft (assist by T. Young),,76,57
3,9:18.0,,W. Ellington misses 3-pt jump shot from 26 ft,76,57
3,9:14.0,Defensive rebound by D. Dedmon,,76,57
3,9:08.0,T. Young misses 3-pt jump shot from 29 ft,,76,57
3,9:04.0,,Defensive rebound by H. Whiteside,76,57
3,8:53.0,,J. Richardson misses 2-pt layup from 1 ft,76,57
3,8:48.0,,Offensive rebound by H. Whiteside,76,57
3,8:48.0,,H. Whiteside makes 2-pt layup from 1 ft,76,59
3,8:37.0,Shooting foul by R. McGruder (drawn by J. Collins),,76,59
3,8:37.0,J. Collins makes free throw 1 of 2,,77,59
3,8:37.0,J. Collins makes free throw 2 of 2,,78,59
3,8:15.0,,J. Johnson makes 3-pt jump shot from 23 ft,78,62
3,8:04.0,T. Young misses 2-pt jump shot from 18 ft,,78,62
3,8:01.0,Offensive rebound by K. Huerter,,78,62
3,7:58.0,J. Collins misses 2-pt jump shot from 4 ft,,78,62
3,7:54.0,,Defensive rebound by R. McGruder,78,62
3,7:53.0,,Shooting foul by T. Prince (drawn by J. Richardson),78,62
3,7:53.0,,J. Richardson makes free throw 1 of 2,78,63
3,7:53.0,,J. Richardson makes free throw 2 of 2,78,64
3,7:39.0,T. Young makes 3-pt jump shot from 32 ft (assist by J. Collins),,81,64
3,7:27.0,,J. Richardson misses 3-pt jump shot from 26 ft,81,64
3,7:23.0,Defensive rebound by T. Young,,81,64
3,7:20.0,J. Collins misses 3-pt jump shot from 26 ft,,81,64
3,7:17.0,,Defensive rebound by H. Whiteside,81,64
3,7:08.0,,R. McGruder makes 2-pt layup from 2 ft (assist by W. Ellington),81,66
3,6:48.0,J. Collins misses 2-pt dunk from 1 ft,,81,66
3,6:47.0,,Defensive rebound by H. Whiteside,81,66
3,6:41.0,,H. Whiteside misses 2-pt layup from 2 ft,81,66
3,6:41.0,,Offensive rebound by J. Johnson,81,66
3,6:41.0,,J. Johnson makes 2-pt layup from 1 ft,81,68
3,6:41.0,Atlanta full timeout,,81,68
3,6:41.0,J. Lin enters the game for J. Collins,,81,68
3,6:41.0,O. Spellman enters the game for K. Huerter,,81,68
3,6:30.0,Shooting foul by J. Johnson (drawn by T. Young),,81,68
3,6:30.0,T. Young makes free throw 1 of 2,,82,68
3,6:30.0,T. Young makes free throw 2 of 2,,83,68
3,6:14.0,,R. McGruder misses 3-pt jump shot from 26 ft,83,68
3,6:12.0,Defensive rebound by J. Lin,,83,68
3,6:04.0,O. Spellman makes 2-pt dunk from 1 ft (assist by T. Young),,85,68
3,6:04.0,,Miami full timeout,85,68
3,6:04.0,K. Bazemore enters the game for D. Dedmon,,85,68
3,6:04.0,D. Bembry enters the game for T. Prince,,85,68
3,6:04.0,A. Len enters the game for T. Young,,85,68
3,6:04.0,,D. Wade enters the game for R. McGruder,85,68
3,5:50.0,,Turnover by J. Richardson (bad pass; steal by O. Spellman),85,68
3,5:45.0,J. Lin misses 3-pt jump shot from 25 ft,,85,68
3,5:42.0,,Defensive rebound by J. Richardson,85,68
3,5:38.0,,H. Whiteside makes 2-pt hook shot from 3 ft (assist by J. Richardson),85,70
3,5:38.0,,Shooting foul by A. Len (drawn by H. Whiteside),85,70
3,5:38.0,,H. Whiteside misses free throw 1 of 1,85,70
3,5:34.0,Defensive rebound by K. Bazemore,,85,70
3,5:24.0,K. Bazemore misses 2-pt layup from 2 ft,,85,70
3,5:21.0,,Defensive rebound by J. Johnson,85,70
3,5:17.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Johnson),85,73
3,5:00.0,Turnover by D. Bembry (back court),,85,73
3,4:55.0,,J. Richardson makes 3-pt jump shot from 25 ft,85,76
3,4:55.0,,Shooting foul by D. Bembry (drawn by J. Richardson),85,76
3,4:55.0,,J. Richardson makes free throw 1 of 1,85,77
3,4:39.0,O. Spellman makes 3-pt jump shot from 25 ft (assist by J. Lin),,88,77
3,4:19.0,,J. Richardson misses 2-pt layup from 2 ft,88,77
3,4:17.0,Defensive rebound by A. Len,,88,77
3,4:11.0,Turnover by D. Bembry (lost ball; steal by W. Ellington),,88,77
3,4:04.0,,J. Johnson misses 3-pt jump shot from 25 ft,88,77
3,4:02.0,Defensive rebound by K. Bazemore,,88,77
3,3:43.0,A. Len misses 2-pt layup from 1 ft,,88,77
3,3:40.0,,Defensive rebound by Team,88,77
3,3:40.0,,B. Adebayo enters the game for J. Johnson,88,77
3,3:30.0,,Personal foul by D. Bembry (drawn by B. Adebayo),88,77
3,3:30.0,T. Young enters the game for J. Lin,,88,77
3,3:17.0,,D. Wade misses 3-pt jump shot from 26 ft,88,77
3,3:15.0,Defensive rebound by T. Young,,88,77
3,3:12.0,Shooting foul by J. Richardson (drawn by T. Young),,88,77
3,3:12.0,T. Young makes free throw 1 of 2,,89,77
3,3:12.0,T. Prince enters the game for D. Bembry,,89,77
3,3:12.0,,R. McGruder enters the game for J. Richardson,89,77
3,3:12.0,T. Young makes free throw 2 of 2,,90,77
3,3:03.0,,Turnover by D. Wade (bad pass; steal by O. Spellman),90,77
3,3:00.0,Shooting foul by B. Adebayo (drawn by O. Spellman),,90,77
3,3:00.0,O. Spellman makes free throw 1 of 2,,91,77
3,3:00.0,,K. Olynyk enters the game for W. Ellington,91,77
3,3:00.0,,J. Winslow enters the game for H. Whiteside,91,77
3,3:00.0,O. Spellman makes free throw 2 of 2,,92,77
3,2:49.0,,Turnover by J. Winslow (bad pass; steal by T. Young),92,77
3,2:43.0,K. Bazemore makes 2-pt dunk from 1 ft (assist by T. Young),,94,77
3,2:36.0,,Personal foul by A. Len (drawn by B. Adebayo),94,77
3,2:36.0,,B. Adebayo makes free throw 1 of 2,94,78
3,2:36.0,J. Collins enters the game for A. Len,,94,78
3,2:36.0,,B. Adebayo makes free throw 2 of 2,94,79
3,2:17.0,J. Collins makes 2-pt jump shot from 3 ft (assist by T. Young),,96,79
3,2:01.0,,D. Wade makes 2-pt layup from 6 ft,96,81
3,1:45.0,Turnover by K. Bazemore (bad pass; steal by B. Adebayo),,96,81
3,1:29.0,,J. Winslow makes 2-pt layup at rim,96,83
3,1:08.0,T. Young makes 2-pt jump shot from 12 ft (assist by J. Collins),,98,83
3,0:45.0,,D. Wade makes 3-pt jump shot from 25 ft (assist by B. Adebayo),98,86
3,0:26.0,Turnover by K. Bazemore (lost ball; steal by B. Adebayo),,98,86
3,0:25.0,,Personal foul by K. Bazemore (drawn by B. Adebayo),98,86
3,0:25.0,,B. Adebayo misses free throw 1 of 2,98,86
3,0:25.0,,Offensive rebound by Team,98,86
3,0:25.0,,B. Adebayo misses free throw 2 of 2,98,86
3,0:25.0,Defensive rebound by J. Collins,,98,86
3,0:25.0,Atlanta full timeout,,98,86
3,0:25.0,,D. Jones enters the game for K. Olynyk,98,86
3,0:01.0,K. Bazemore misses 3-pt jump shot from 25 ft,,98,86
3,0:00.0,Offensive rebound by O. Spellman,,98,86
3,0:00.0,O. Spellman makes 2-pt dunk at rim,,100,86
3,0:00.0,,D. Jones misses 3-pt jump shot from 57 ft,100,86
3,0:00.0,,Offensive rebound by Team,100,86
4,11:40.0,,B. Adebayo makes 2-pt jump shot from 1 ft (assist by J. Winslow),100,88
4,11:18.0,K. Huerter misses 2-pt hook shot from 4 ft (block by D. Wade),,100,88
4,11:13.0,,Defensive rebound by K. Olynyk,100,88
4,11:07.0,,D. Wade makes 2-pt jump shot from 9 ft (assist by K. Olynyk),100,90
4,11:07.0,Atlanta full timeout,,100,90
4,10:43.0,D. Dedmon makes 2-pt jump shot from 5 ft,,102,90
4,10:43.0,Shooting foul by B. Adebayo (drawn by D. Dedmon),,102,90
4,10:43.0,D. Dedmon makes free throw 1 of 1,,103,90
4,10:31.0,,J. Winslow misses 2-pt layup from 1 ft,103,90
4,10:28.0,,Offensive rebound by B. Adebayo,103,90
4,10:28.0,,B. Adebayo makes 2-pt dunk from 1 ft,103,92
4,10:28.0,,J. Richardson enters the game for B. Adebayo,103,92
4,10:03.0,T. Young misses 3-pt jump shot from 31 ft,,103,92
4,9:59.0,,Defensive rebound by J. Richardson,103,92
4,9:57.0,,Shooting foul by K. Huerter (drawn by D. Wade),103,92
4,9:57.0,,D. Wade makes free throw 1 of 2,103,93
4,9:57.0,D. Bembry enters the game for K. Huerter,,103,93
4,9:57.0,,D. Wade makes free throw 2 of 2,103,94
4,9:41.0,T. Prince misses 3-pt jump shot from 25 ft,,103,94
4,9:39.0,,Defensive rebound by J. Winslow,103,94
4,9:29.0,,K. Olynyk misses 3-pt jump shot from 26 ft,103,94
4,9:27.0,Defensive rebound by D. Bembry,,103,94
4,9:18.0,J. Collins makes 2-pt dunk from 1 ft (assist by D. Dedmon),,105,94
4,9:10.0,,Offensive foul by R. McGruder (drawn by D. Bembry),105,94
4,9:10.0,,Turnover by R. McGruder (offensive foul),105,94
4,8:50.0,T. Prince makes 2-pt jump shot from 12 ft,,107,94
