QUARTER,TIME_REMAINING,MEMPHIS_ACTION,INDIANA_ACTION,MEMPHIS_SCORE,INDIANA_SCORE
1,8:19.0,,V. Oladipo misses 3-pt jump shot from 26 ft,4,6
1,8:16.0,Defensive rebound by J. Green,,4,6
1,8:06.0,M. Gasol misses 2-pt hook shot from 5 ft,,4,6
1,8:04.0,,Defensive rebound by V. Oladipo,4,6
1,7:57.0,,Turnover by V. Oladipo (bad pass; steal by J. Green),4,6
1,7:45.0,Memphis full timeout,,4,6
1,7:38.0,G. Temple misses 3-pt jump shot from 27 ft,,4,6
1,7:34.0,,Defensive rebound by T. Young,4,6
1,7:18.0,,M. Turner misses 2-pt jump shot from 20 ft,4,6
1,7:16.0,Defensive rebound by J. Green,,4,6
1,7:05.0,C. Parsons makes 2-pt jump shot from 18 ft (assist by J. Green),,6,6
1,6:50.0,,M. Turner makes 2-pt jump shot from 22 ft (assist by V. Oladipo),6,8
1,6:34.0,C. Parsons makes 2-pt layup from 2 ft,,8,8
1,6:24.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),8,10
1,5:56.0,M. Gasol misses 2-pt jump shot from 5 ft (block by M. Turner),,8,10
1,5:54.0,Offensive rebound by M. Gasol,,8,10
1,5:49.0,M. Gasol misses 2-pt jump shot from 12 ft,,8,10
1,5:49.0,,Defensive rebound by T. Young,8,10
1,5:34.0,,D. Collison misses 2-pt layup from 1 ft,8,10
1,5:33.0,,Offensive rebound by M. Turner,8,10
1,5:32.0,,M. Turner misses 2-pt layup from 1 ft,8,10
1,5:31.0,,Offensive rebound by M. Turner,8,10
1,5:31.0,,M. Turner makes 2-pt layup from 1 ft,8,12
1,5:18.0,M. Conley misses 2-pt layup from 5 ft,,8,12
1,5:14.0,,Defensive rebound by B. Bogdanović,8,12
1,5:12.0,,Personal foul by C. Parsons (drawn by B. Bogdanović),8,12
1,5:12.0,K. Anderson enters the game for J. Green,,8,12
1,5:12.0,J. Jackson enters the game for C. Parsons,,8,12
1,4:58.0,,Turnover by D. Collison (lost ball; steal by J. Jackson),8,12
1,4:38.0,Personal foul by M. Turner (drawn by M. Gasol),,8,12
1,4:24.0,G. Temple misses 2-pt jump shot from 6 ft,,8,12
1,4:24.0,Offensive rebound by Team,,8,12
1,4:24.0,Turnover by Team (shot clock),,8,12
1,4:24.0,,D. Sabonis enters the game for T. Young,8,12
1,4:08.0,,M. Turner makes 2-pt layup at rim (assist by V. Oladipo),8,14
1,3:52.0,M. Conley misses 2-pt jump shot from 7 ft,,8,14
1,3:52.0,,Defensive rebound by D. Sabonis,8,14
1,3:48.0,,Shooting foul by G. Temple (drawn by V. Oladipo),8,14
1,3:48.0,D. Brooks enters the game for M. Conley,,8,14
1,3:48.0,S. Mack enters the game for G. Temple,,8,14
1,3:48.0,,T. Evans enters the game for B. Bogdanović,8,14
1,3:48.0,,V. Oladipo misses free throw 1 of 2,8,14
1,3:48.0,,Offensive rebound by Team,8,14
1,3:48.0,,V. Oladipo makes free throw 2 of 2,8,15
1,3:38.0,Shooting foul by M. Turner (drawn by K. Anderson),,8,15
1,3:38.0,K. Anderson misses free throw 1 of 2,,8,15
1,3:38.0,Offensive rebound by Team,,8,15
1,3:38.0,,C. Joseph enters the game for D. Collison,8,15
1,3:38.0,,T. Leaf enters the game for M. Turner,8,15
1,3:38.0,K. Anderson makes free throw 2 of 2,,9,15
1,3:27.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by V. Oladipo),9,17
1,3:03.0,K. Anderson makes 2-pt jump shot from 12 ft,,11,17
1,2:44.0,,D. Sabonis misses 2-pt layup from 2 ft,11,17
1,2:43.0,,Offensive rebound by D. Sabonis,11,17
1,2:40.0,,Indiana full timeout,11,17
1,2:40.0,J. Green enters the game for M. Gasol,,11,17
1,2:40.0,,T. Young enters the game for T. Leaf,11,17
1,2:32.0,,Turnover by D. Sabonis (lost ball; steal by J. Jackson),11,17
1,2:24.0,D. Brooks misses 2-pt jump shot from 10 ft,,11,17
1,2:20.0,,Defensive rebound by D. Sabonis,11,17
1,2:15.0,,D. Sabonis makes 2-pt hook shot from 5 ft (assist by T. Evans),11,19
1,2:15.0,,Shooting foul by J. Jackson (drawn by D. Sabonis),11,19
1,2:15.0,,D. McDermott enters the game for V. Oladipo,11,19
1,2:15.0,,D. Sabonis misses free throw 1 of 1,11,19
1,2:12.0,Defensive rebound by K. Anderson,,11,19
1,2:04.0,J. Green makes 3-pt jump shot from 27 ft (assist by S. Mack),,14,19
1,1:46.0,,Turnover by C. Joseph (bad pass),14,19
1,1:37.0,J. Green misses 3-pt jump shot from 29 ft,,14,19
1,1:34.0,,Defensive rebound by T. Evans,14,19
1,1:29.0,,T. Evans makes 2-pt layup from 1 ft,14,21
1,1:09.0,J. Green misses 2-pt layup from 2 ft,,14,21
1,1:07.0,,Defensive rebound by D. Sabonis,14,21
1,1:03.0,,T. Young makes 2-pt layup from 2 ft (assist by T. Evans),14,23
1,0:44.0,S. Mack makes 2-pt jump shot from 12 ft,,16,23
1,0:32.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by D. Sabonis),16,26
1,0:10.0,Offensive foul by J. Green (drawn by T. Young),,16,26
1,0:10.0,Turnover by J. Green (offensive foul),,16,26
1,0:05.0,,Personal foul by D. Brooks (drawn by T. Evans),16,26
1,0:05.0,,T. Evans misses free throw 1 of 2,16,26
1,0:05.0,,Offensive rebound by Team,16,26
1,0:05.0,M. Conley enters the game for K. Anderson,,16,26
1,0:05.0,,E. Sumner enters the game for D. McDermott,16,26
1,0:05.0,,T. Evans makes free throw 2 of 2,16,27
2,11:48.0,S. Mack misses 2-pt jump shot from 14 ft,,16,27
2,11:44.0,,Defensive rebound by D. Sabonis,16,27
2,11:31.0,,Shooting foul by K. Anderson (drawn by D. McDermott),16,27
2,11:31.0,,D. McDermott misses free throw 1 of 2,16,27
2,11:31.0,,Offensive rebound by Team,16,27
2,11:31.0,,D. McDermott makes free throw 2 of 2,16,28
2,11:18.0,J. Jackson makes 2-pt layup from 2 ft,,18,28
2,10:54.0,,T. Evans misses 3-pt jump shot from 26 ft,18,28
2,10:52.0,Defensive rebound by M. Brooks,,18,28
2,10:48.0,Turnover by K. Anderson (traveling),,18,28
2,10:35.0,,T. Evans misses 3-pt jump shot from 28 ft,18,28
2,10:31.0,,Offensive rebound by T. Young,18,28
2,10:30.0,,D. Sabonis makes 2-pt layup at rim (assist by T. Young),18,30
2,10:21.0,Turnover by D. Brooks (bad pass),,18,30
2,10:11.0,,T. Young makes 2-pt layup from 1 ft,18,32
2,9:50.0,J. Jackson misses 2-pt hook shot from 6 ft,,18,32
2,9:47.0,,Defensive rebound by D. Sabonis,18,32
2,9:43.0,,C. Joseph misses 3-pt jump shot from 23 ft,18,32
2,9:40.0,,Offensive rebound by T. Young,18,32
2,9:32.0,,T. Young makes 2-pt hook shot from 4 ft,18,34
2,9:31.0,Memphis full timeout,,18,34
2,9:31.0,M. Gasol enters the game for K. Anderson,,18,34
2,9:31.0,J. Green enters the game for D. Brooks,,18,34
2,9:31.0,C. Parsons enters the game for J. Jackson,,18,34
2,9:12.0,M. Brooks misses 2-pt jump shot from 6 ft,,18,34
2,9:10.0,,Defensive rebound by T. Evans,18,34
2,8:56.0,,T. Young misses 2-pt layup from 5 ft,18,34
2,8:52.0,,Offensive rebound by D. Sabonis,18,34
2,8:52.0,,D. Sabonis makes 2-pt layup from 1 ft,18,36
2,8:32.0,M. Brooks misses 3-pt jump shot from 30 ft,,18,36
2,8:28.0,,Defensive rebound by D. Sabonis,18,36
2,8:25.0,,Personal take foul by S. Mack (drawn by C. Joseph),18,36
2,8:25.0,J. Jackson enters the game for M. Gasol,,18,36
2,8:25.0,,B. Bogdanović enters the game for T. Young,18,36
2,8:08.0,,D. McDermott misses 3-pt jump shot from 23 ft,18,36
2,8:05.0,,Offensive rebound by D. Sabonis,18,36
2,8:04.0,,D. Sabonis misses 2-pt hook shot from 4 ft,18,36
2,8:01.0,Defensive rebound by J. Jackson,,18,36
2,7:51.0,C. Parsons misses 3-pt jump shot from 26 ft,,18,36
2,7:48.0,,Defensive rebound by B. Bogdanović,18,36
2,7:43.0,,Turnover by B. Bogdanović (bad pass),18,36
2,7:35.0,Personal foul by C. Joseph (drawn by J. Green),,18,36
2,7:24.0,Turnover by S. Mack (bad pass; steal by C. Joseph),,18,36
2,7:17.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by T. Evans),18,39
2,6:53.0,S. Mack misses 2-pt jump shot from 2 ft,,18,39
2,6:53.0,,Defensive rebound by C. Joseph,18,39
2,6:46.0,,C. Joseph makes 2-pt layup from 2 ft,18,41
2,6:45.0,Memphis full timeout,,18,41
2,6:45.0,M. Conley enters the game for J. Jackson,,18,41
2,6:22.0,M. Brooks misses 2-pt jump shot from 6 ft,,18,41
2,6:20.0,Offensive rebound by J. Green,,18,41
2,6:20.0,J. Green makes 2-pt layup at rim,,20,41
2,6:07.0,,T. Evans misses 2-pt layup from 1 ft,20,41
2,6:04.0,Defensive rebound by J. Green,,20,41
2,5:57.0,C. Parsons misses 3-pt jump shot from 23 ft,,20,41
2,5:54.0,,Defensive rebound by C. Joseph,20,41
2,5:48.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),20,43
2,5:32.0,C. Parsons makes 2-pt jump shot from 17 ft (assist by J. Green),,22,43
2,5:19.0,,D. McDermott makes 2-pt dunk from 1 ft (assist by C. Joseph),22,45
2,5:14.0,Personal foul by C. Joseph (drawn by M. Conley),,22,45
2,5:14.0,M. Gasol enters the game for J. Green,,22,45
2,5:14.0,G. Temple enters the game for S. Mack,,22,45
2,5:14.0,,D. Collison enters the game for T. Evans,22,45
2,5:14.0,,V. Oladipo enters the game for C. Joseph,22,45
2,5:02.0,M. Brooks misses 3-pt jump shot from 28 ft,,22,45
2,4:58.0,Offensive rebound by Team,,22,45
2,4:47.0,M. Brooks misses 3-pt jump shot from 26 ft,,22,45
2,4:44.0,Offensive rebound by M. Conley,,22,45
2,4:39.0,M. Brooks makes 2-pt layup from 2 ft,,24,45
2,4:24.0,,V. Oladipo makes 2-pt jump shot from 20 ft,24,47
2,4:05.0,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Gasol),,27,47
2,3:48.0,,V. Oladipo makes 3-pt jump shot from 27 ft,27,50
2,3:32.0,Personal foul by V. Oladipo (drawn by G. Temple),,27,50
2,3:32.0,,T. Evans enters the game for V. Oladipo,27,50
2,3:24.0,Turnover by G. Temple (bad pass),,27,50
2,3:14.0,,Shooting foul by C. Parsons (drawn by B. Bogdanović),27,50
2,3:14.0,,B. Bogdanović makes free throw 1 of 2,27,51
2,3:14.0,S. Mack enters the game for C. Parsons,,27,51
2,3:14.0,,B. Bogdanović makes free throw 2 of 2,27,52
2,2:59.0,M. Conley makes 3-pt jump shot from 27 ft (assist by G. Temple),,30,52
2,2:33.0,,T. Evans makes 2-pt layup from 1 ft,30,54
2,2:16.0,G. Temple makes 3-pt jump shot from 27 ft (assist by M. Conley),,33,54
2,2:04.0,,D. Sabonis misses 2-pt layup from 1 ft,33,54
2,2:01.0,Defensive rebound by M. Gasol,,33,54
2,1:55.0,G. Temple makes 3-pt jump shot from 28 ft (assist by M. Gasol),,36,54
2,1:46.0,,Indiana full timeout,36,54
2,1:46.0,,C. Joseph enters the game for B. Bogdanović,36,54
2,1:46.0,,T. Young enters the game for D. McDermott,36,54
2,1:33.0,,C. Joseph makes 2-pt jump shot from 10 ft,36,56
2,1:22.0,M. Conley misses 3-pt jump shot from 27 ft,,36,56
2,1:19.0,,Defensive rebound by T. Evans,36,56
2,1:10.0,,T. Evans misses 3-pt jump shot from 25 ft,36,56
2,1:07.0,Defensive rebound by M. Gasol,,36,56
2,0:52.0,G. Temple makes 3-pt jump shot from 28 ft (assist by S. Mack),,39,56
2,0:36.0,,Turnover by T. Young (bad pass),39,56
2,0:25.0,S. Mack misses 3-pt jump shot from 23 ft,,39,56
2,0:22.0,,Defensive rebound by D. Sabonis,39,56
2,0:04.0,,D. Collison misses 2-pt jump shot from 18 ft,39,56
2,0:02.0,,Offensive rebound by Team,39,56
2,0:02.0,Loose ball foul by S. Mack (drawn by D. Sabonis),,39,56
2,0:00.0,,D. Collison misses 3-pt jump shot from 28 ft,39,56
2,0:00.0,,Offensive rebound by Team,39,56
3,11:45.0,C. Parsons misses 2-pt layup from 1 ft (block by M. Turner),,39,56
3,11:43.0,,Defensive rebound by D. Collison,39,56
3,11:40.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by D. Collison),39,58
3,11:20.0,M. Gasol makes 3-pt jump shot from 27 ft (assist by M. Conley),,42,58
3,10:57.0,,D. Collison misses 2-pt jump shot from 19 ft,42,58
3,10:55.0,Defensive rebound by C. Parsons,,42,58
3,10:53.0,Shooting foul by T. Young (drawn by M. Gasol),,42,58
3,10:53.0,M. Gasol makes free throw 1 of 2,,43,58
3,10:53.0,M. Gasol makes free throw 2 of 2,,44,58
3,10:37.0,,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),44,61
3,10:25.0,Personal foul by M. Turner (drawn by M. Gasol),,44,61
3,10:25.0,,Violation by Team (kicked ball),44,61
3,10:16.0,M. Gasol misses 2-pt layup from 7 ft (block by M. Turner),,44,61
3,10:16.0,,Defensive rebound by Team,44,61
3,10:04.0,,B. Bogdanović makes 3-pt jump shot from 25 ft,44,64
3,9:42.0,G. Temple misses 3-pt jump shot from 25 ft,,44,64
3,9:39.0,,Defensive rebound by V. Oladipo,44,64
3,9:37.0,,Personal foul by G. Temple (drawn by V. Oladipo),44,64
3,9:34.0,,Personal foul by M. Conley (drawn by D. Collison),44,64
3,9:23.0,,Turnover by V. Oladipo (bad pass; steal by J. Green),44,64
3,9:08.0,M. Gasol misses 2-pt jump shot from 9 ft,,44,64
3,9:05.0,,Defensive rebound by M. Turner,44,64
3,9:00.0,,V. Oladipo misses 3-pt jump shot from 29 ft,44,64
3,8:58.0,Defensive rebound by M. Conley,,44,64
3,8:50.0,Shooting foul by T. Young (drawn by M. Gasol),,44,64
3,8:50.0,M. Gasol makes free throw 1 of 2,,45,64
3,8:50.0,M. Gasol makes free throw 2 of 2,,46,64
3,8:35.0,,Turnover by D. Collison (bad pass; steal by M. Gasol),46,64
3,8:30.0,G. Temple misses 2-pt layup from 2 ft (block by T. Young),,46,64
3,8:30.0,Offensive rebound by Team,,46,64
3,8:30.0,Away from play foul by D. Collison (drawn by M. Conley),,46,64
3,8:30.0,M. Conley makes free throw 1 of 1,,47,64
3,8:23.0,G. Temple misses 3-pt jump shot from 25 ft,,47,64
3,8:21.0,,Defensive rebound by Team,47,64
3,8:13.0,,M. Turner misses 2-pt jump shot from 19 ft,47,64
3,8:08.0,Defensive rebound by J. Green,,47,64
3,8:03.0,G. Temple misses 2-pt jump shot from 17 ft,,47,64
3,7:59.0,,Defensive rebound by B. Bogdanović,47,64
3,7:58.0,,Turnover by B. Bogdanović (bad pass),47,64
3,7:58.0,,Loose ball foul by V. Oladipo (drawn by M. Gasol),47,64
3,7:58.0,M. Gasol makes free throw 1 of 2,,48,64
3,7:58.0,M. Gasol makes free throw 2 of 2,,49,64
3,7:58.0,,Indiana full timeout,49,64
3,7:41.0,,Turnover by T. Young (bad pass),49,64
3,7:26.0,Personal foul by D. Collison (drawn by M. Gasol),,49,64
3,7:26.0,M. Gasol makes free throw 1 of 2,,50,64
3,7:26.0,M. Gasol misses free throw 2 of 2,,50,64
3,7:24.0,,Defensive rebound by B. Bogdanović,50,64
3,7:11.0,,V. Oladipo makes 3-pt jump shot from 27 ft (assist by D. Collison),50,67
3,6:44.0,J. Green misses 2-pt layup from 1 ft,,50,67
3,6:44.0,Offensive rebound by Team,,50,67
3,6:44.0,Turnover by Team (shot clock),,50,67
3,6:28.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),50,69
3,6:28.0,,Shooting foul by J. Green (drawn by T. Young),50,69
3,6:28.0,J. Jackson enters the game for J. Green,,50,69
3,6:28.0,,T. Young misses free throw 1 of 1,50,69
3,6:28.0,Defensive rebound by M. Gasol,,50,69
3,6:11.0,C. Parsons misses 3-pt jump shot from 23 ft,,50,69
3,6:08.0,,Defensive rebound by M. Turner,50,69
3,5:55.0,,M. Turner makes 2-pt hook shot from 4 ft,50,71
3,5:44.0,M. Gasol makes 3-pt jump shot from 30 ft (assist by M. Conley),,53,71
3,5:30.0,,D. Collison misses 2-pt jump shot from 16 ft,53,71
3,5:29.0,Defensive rebound by M. Gasol,,53,71
3,5:29.0,K. Anderson enters the game for C. Parsons,,53,71
3,5:11.0,M. Conley misses 2-pt layup from 6 ft,,53,71
3,5:09.0,,Defensive rebound by B. Bogdanović,53,71
3,5:04.0,,T. Young makes 2-pt dunk from 2 ft (assist by V. Oladipo),53,73
3,4:35.0,J. Jackson makes 2-pt layup from 1 ft,,55,73
3,4:17.0,,B. Bogdanović misses 2-pt jump shot from 14 ft,55,73
3,4:15.0,Defensive rebound by M. Gasol,,55,73
3,4:07.0,Personal foul by D. Collison (drawn by M. Conley),,55,73
3,4:07.0,M. Conley makes free throw 1 of 2,,56,73
3,4:07.0,S. Mack enters the game for G. Temple,,56,73
3,4:07.0,,C. Joseph enters the game for D. Collison,56,73
3,4:07.0,,D. Sabonis enters the game for T. Young,56,73
3,4:07.0,M. Conley makes free throw 2 of 2,,57,73
3,3:48.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,57,73
3,3:46.0,Defensive rebound by Team,,57,73
3,3:46.0,M. Brooks enters the game for M. Conley,,57,73
3,3:46.0,,T. Evans enters the game for B. Bogdanović,57,73
3,3:27.0,K. Anderson misses 2-pt jump shot from 5 ft,,57,73
3,3:25.0,,Defensive rebound by D. Sabonis,57,73
3,3:14.0,,T. Evans misses 3-pt jump shot from 29 ft,57,73
3,3:14.0,Defensive rebound by K. Anderson,,57,73
3,3:03.0,M. Brooks misses 2-pt jump shot from 13 ft,,57,73
3,3:01.0,Offensive rebound by J. Jackson,,57,73
3,2:51.0,M. Gasol misses 3-pt jump shot from 28 ft,,57,73
3,2:47.0,,Defensive rebound by V. Oladipo,57,73
3,2:41.0,,Offensive foul by D. Sabonis (drawn by M. Brooks),57,73
3,2:41.0,,Turnover by D. Sabonis (offensive foul),57,73
3,2:41.0,Memphis full timeout,,57,73
3,2:21.0,M. Gasol misses 2-pt jump shot from 17 ft,,57,73
3,2:19.0,,Defensive rebound by M. Turner,57,73
3,2:02.0,,C. Joseph makes 3-pt jump shot from 24 ft (assist by D. Sabonis),57,76
3,1:42.0,Turnover by K. Anderson (bad pass),,57,76
3,1:32.0,,Turnover by D. Sabonis (bad pass; steal by S. Mack),57,76
3,1:26.0,S. Mack misses 2-pt layup from 1 ft (block by C. Joseph),,57,76
3,1:26.0,Offensive rebound by Team,,57,76
3,1:10.0,S. Mack misses 2-pt layup from 5 ft (block by C. Joseph),,57,76
3,1:10.0,Offensive rebound by Team,,57,76
3,1:08.0,Turnover by Team (shot clock),,57,76
3,0:59.0,,V. Oladipo misses 2-pt layup from 2 ft (block by J. Jackson),57,76
3,0:59.0,,Offensive rebound by Team,57,76
3,0:50.0,,V. Oladipo misses 3-pt jump shot from 27 ft,57,76
3,0:48.0,Defensive rebound by M. Brooks,,57,76
3,0:35.0,Shooting foul by C. Joseph (drawn by M. Brooks),,57,76
3,0:35.0,M. Brooks misses free throw 1 of 2,,57,76
3,0:35.0,Offensive rebound by Team,,57,76
3,0:35.0,M. Brooks makes free throw 2 of 2,,58,76
3,0:23.0,,M. Turner misses 2-pt jump shot from 14 ft,58,76
3,0:20.0,Defensive rebound by S. Mack,,58,76
3,0:01.0,M. Gasol misses 2-pt layup at rim (block by M. Turner),,58,76
3,0:01.0,,Defensive rebound by C. Joseph,58,76
4,11:44.0,,D. Sabonis makes 2-pt layup from 3 ft (assist by T. Evans),58,78
4,11:44.0,,Shooting foul by G. Temple (drawn by D. Sabonis),58,78
4,11:44.0,,D. Sabonis misses free throw 1 of 1,58,78
4,11:44.0,Defensive rebound by J. Green,,58,78
4,11:16.0,S. Mack misses 2-pt jump shot from 18 ft,,58,78
4,11:14.0,,Defensive rebound by C. Joseph,58,78
4,11:09.0,,C. Joseph misses 2-pt jump shot from 9 ft,58,78
4,11:06.0,,Offensive rebound by D. Sabonis,58,78
4,10:54.0,,T. Evans makes 2-pt layup from 3 ft,58,80
4,10:40.0,J. Jackson misses 3-pt jump shot from 28 ft,,58,80
4,10:38.0,,Defensive rebound by C. Joseph,58,80
4,10:24.0,,D. Sabonis misses 2-pt jump shot from 17 ft,58,80
4,10:21.0,,Offensive rebound by T. Young,58,80
4,10:20.0,,C. Joseph makes 2-pt jump shot from 17 ft (assist by T. Young),58,82
4,10:17.0,Memphis full timeout,,58,82
4,9:57.0,M. Conley misses 3-pt jump shot from 26 ft,,58,82
4,9:56.0,Offensive rebound by J. Green,,58,82
4,9:48.0,J. Green makes 2-pt layup from 2 ft (assist by J. Jackson),,60,82
4,9:29.0,,T. Evans makes 2-pt jump shot from 14 ft,60,84
4,9:14.0,S. Mack misses 2-pt jump shot from 10 ft,,60,84
4,9:12.0,,Defensive rebound by D. Sabonis,60,84
4,9:02.0,,D. McDermott misses 3-pt jump shot from 24 ft,60,84
4,9:00.0,Defensive rebound by S. Mack,,60,84
4,8:49.0,G. Temple misses 2-pt jump shot from 6 ft,,60,84
4,8:49.0,Offensive rebound by Team,,60,84
4,8:49.0,,Loose ball foul by T. Evans (drawn by J. Jackson),60,84
4,8:49.0,M. Gasol enters the game for J. Jackson,,60,84
4,8:49.0,C. Parsons enters the game for G. Temple,,60,84
4,8:44.0,M. Conley misses 2-pt layup from 2 ft,,60,84
4,8:42.0,,Defensive rebound by T. Young,60,84
4,8:37.0,,T. Evans makes 2-pt layup from 1 ft,60,86
4,8:31.0,Shooting foul by D. Sabonis (drawn by S. Mack),,60,86
4,8:31.0,S. Mack makes free throw 1 of 2,,61,86
4,8:31.0,S. Mack misses free throw 2 of 2,,61,86
4,8:28.0,,Defensive rebound by T. Young,61,86
4,8:20.0,,D. McDermott makes 2-pt layup from 2 ft (assist by C. Joseph),61,88
4,7:58.0,C. Parsons misses 3-pt jump shot from 27 ft,,61,88
4,7:55.0,,Defensive rebound by C. Joseph,61,88
4,7:55.0,,B. Bogdanović enters the game for T. Young,61,88
4,7:37.0,,Turnover by C. Joseph (bad pass; steal by M. Gasol),61,88
4,7:32.0,M. Conley makes 3-pt jump shot from 26 ft (assist by S. Mack),,64,88
4,7:14.0,,Turnover by T. Evans (bad pass; steal by C. Parsons),64,88
4,6:57.0,M. Conley misses 3-pt jump shot from 26 ft,,64,88
4,6:51.0,,Defensive rebound by T. Evans,64,88
4,6:47.0,,T. Evans misses 2-pt layup from 3 ft (block by C. Parsons),64,88
4,6:44.0,,Offensive rebound by D. Sabonis,64,88
4,6:39.0,,T. Evans makes 3-pt jump shot from 26 ft (assist by D. McDermott),64,91
4,6:23.0,Turnover by M. Conley (bad pass; steal by D. McDermott),,64,91
4,6:18.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by T. Evans),64,93
4,6:18.0,Memphis full timeout,,64,93
4,6:18.0,K. Anderson enters the game for M. Conley,,64,93
4,6:18.0,M. Brooks enters the game for M. Gasol,,64,93
4,6:18.0,J. Jackson enters the game for J. Green,,64,93
4,6:18.0,,V. Oladipo enters the game for T. Evans,64,93
4,6:01.0,M. Brooks misses 2-pt layup from 2 ft,,64,93
4,6:00.0,,Defensive rebound by Team,64,93
4,6:00.0,Loose ball foul by J. Jackson (drawn by D. Sabonis),,64,93
4,6:00.0,W. Selden enters the game for C. Parsons,,64,93
4,5:50.0,,D. McDermott misses 3-pt jump shot from 27 ft,64,93
4,5:48.0,,Offensive rebound by D. Sabonis,64,93
4,5:44.0,,Turnover by B. Bogdanović (bad pass; steal by J. Jackson),64,93
4,5:38.0,K. Anderson misses 2-pt jump shot from 19 ft,,64,93
4,5:32.0,,Defensive rebound by B. Bogdanović,64,93
4,5:27.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by V. Oladipo),64,96
4,5:03.0,W. Selden makes 3-pt jump shot from 28 ft (assist by M. Brooks),,67,96
4,4:53.0,,C. Joseph makes 2-pt jump shot from 18 ft,67,98
4,4:43.0,K. Anderson makes 2-pt jump shot from 17 ft,,69,98
4,4:19.0,,V. Oladipo makes 2-pt jump shot from 11 ft,69,100
4,4:00.0,J. Jackson misses 2-pt layup from 5 ft,,69,100
4,3:58.0,Offensive rebound by J. Jackson,,69,100
4,3:58.0,Shooting foul by D. Sabonis (drawn by J. Jackson),,69,100
4,3:58.0,J. Jackson makes free throw 1 of 2,,70,100
4,3:58.0,,A. Holiday enters the game for V. Oladipo,70,100
4,3:58.0,,K. O'Quinn enters the game for D. Sabonis,70,100
4,3:58.0,J. Jackson makes free throw 2 of 2,,71,100
4,3:46.0,,Personal foul by K. Anderson (drawn by B. Bogdanović),71,100
4,3:46.0,,E. Sumner enters the game for B. Bogdanović,71,100
4,3:41.0,,A. Holiday makes 3-pt jump shot from 27 ft (assist by K. O'Quinn),71,103
4,3:29.0,M. Brooks makes 2-pt jump shot from 15 ft (assist by K. Anderson),,73,103
4,3:29.0,Shooting foul by A. Holiday (drawn by M. Brooks),,73,103
4,3:29.0,M. Brooks makes free throw 1 of 1,,74,103
4,3:17.0,,A. Holiday misses 3-pt jump shot from 24 ft,74,103
4,3:13.0,Defensive rebound by J. Jackson,,74,103
4,3:08.0,Shooting foul by D. McDermott (drawn by M. Brooks),,74,103
4,3:08.0,M. Brooks makes free throw 1 of 2,,75,103
4,3:08.0,M. Brooks misses free throw 2 of 2,,75,103
4,3:03.0,,Defensive rebound by D. McDermott,75,103
