QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW ORLEANS_ACTION,CHARLOTTE_SCORE,NEW ORLEANS_SCORE
1,0:15.0,Defensive rebound by K. Walker,,24,21
1,0:00.0,K. Walker misses 2-pt jump shot from 18 ft,,24,21
1,0:00.0,Offensive rebound by Team,,24,21
2,11:53.0,,Shooting foul by W. Hernangómez (drawn by S. Johnson),24,21
2,11:53.0,,S. Johnson makes free throw 1 of 2,24,22
2,11:53.0,,S. Johnson makes free throw 2 of 2,24,23
2,11:35.0,M. Monk misses 3-pt jump shot from 26 ft,,24,23
2,11:32.0,,Defensive rebound by C. Wood,24,23
2,11:21.0,,Turnover by C. Wood (lost ball; steal by W. Hernangómez),24,23
2,11:08.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,24,23
2,11:04.0,,Defensive rebound by C. Wood,24,23
2,10:54.0,,C. Wood misses 2-pt layup from 5 ft (block by F. Kaminsky),24,23
2,10:51.0,,Offensive rebound by S. Hill,24,23
2,10:48.0,,S. Johnson makes 3-pt jump shot from 26 ft (assist by S. Hill),24,26
2,10:40.0,J. Lamb makes 2-pt jump shot from 18 ft (assist by D. Graham),,26,26
2,10:23.0,,D. Bertāns misses 2-pt jump shot from 19 ft (block by M. Monk),26,26
2,10:21.0,Defensive rebound by D. Graham,,26,26
2,10:14.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by J. Lamb),,28,26
2,10:14.0,Shooting foul by S. Hill (drawn by F. Kaminsky),,28,26
2,10:14.0,F. Kaminsky makes free throw 1 of 1,,29,26
2,9:57.0,,S. Johnson makes 2-pt jump shot from 16 ft,29,28
2,9:43.0,Turnover by J. Lamb (lost ball; steal by S. Johnson),,29,28
2,9:32.0,,S. Hill makes 3-pt jump shot from 27 ft (assist by C. Wood),29,31
2,9:15.0,D. Graham makes 3-pt jump shot from 25 ft (assist by J. Lamb),,32,31
2,9:05.0,,S. Johnson makes 2-pt layup from 2 ft,32,33
2,9:05.0,,Shooting foul by M. Monk (drawn by S. Johnson),32,33
2,9:05.0,M. Bridges enters the game for W. Hernangómez,,32,33
2,9:05.0,,S. Johnson makes free throw 1 of 1,32,34
2,8:51.0,J. Lamb makes 2-pt layup from 2 ft (assist by M. Bridges),,34,34
2,8:51.0,Shooting foul by C. Wood (drawn by J. Lamb),,34,34
2,8:51.0,J. Lamb makes free throw 1 of 1,,35,34
2,8:33.0,,S. Johnson makes 3-pt jump shot from 25 ft,35,37
2,8:10.0,Turnover by D. Graham (bad pass),,35,37
2,7:53.0,,C. Wood misses 2-pt jump shot from 10 ft,35,37
2,7:51.0,Defensive rebound by F. Kaminsky,,35,37
2,7:47.0,M. Monk makes 2-pt dunk at rim (assist by D. Graham),,37,37
2,7:29.0,,S. Hill misses 3-pt jump shot from 29 ft,37,37
2,7:26.0,Defensive rebound by F. Kaminsky,,37,37
2,7:21.0,D. Graham makes 3-pt jump shot from 26 ft,,40,37
2,7:07.0,,Turnover by S. Johnson (bad pass; steal by J. Lamb),40,37
2,7:02.0,J. Lamb makes 2-pt jump shot from 5 ft,,42,37
2,6:53.0,,New Orleans full timeout,42,37
2,6:53.0,M. Kidd-Gilchrist enters the game for J. Lamb,,42,37
2,6:53.0,,I. Clark enters the game for D. Bertāns,42,37
2,6:53.0,,J. Okafor enters the game for C. Diallo,42,37
2,6:53.0,,E. Payton enters the game for S. Hill,42,37
2,6:53.0,,J. Randle enters the game for S. Johnson,42,37
2,6:53.0,,K. Williams enters the game for C. Wood,42,37
2,6:35.0,,J. Randle misses 2-pt jump shot from 15 ft,42,37
2,6:33.0,Defensive rebound by M. Monk,,42,37
2,6:29.0,M. Monk misses 3-pt jump shot from 25 ft,,42,37
2,6:25.0,,Defensive rebound by J. Randle,42,37
2,6:20.0,,Offensive foul by J. Okafor (drawn by D. Graham),42,37
2,6:20.0,,Turnover by J. Okafor (offensive foul),42,37
2,6:00.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,42,37
2,5:56.0,,Defensive rebound by I. Clark,42,37
2,5:43.0,,K. Williams makes 3-pt jump shot from 25 ft (assist by E. Payton),42,40
2,5:29.0,D. Graham makes 3-pt jump shot from 27 ft,,45,40
2,5:08.0,,I. Clark makes 3-pt jump shot from 28 ft (assist by J. Randle),45,43
2,4:54.0,D. Graham makes 2-pt jump shot from 12 ft,,47,43
2,4:42.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Randle),47,43
2,4:42.0,,J. Randle makes free throw 1 of 2,47,44
2,4:42.0,B. Biyombo enters the game for F. Kaminsky,,47,44
2,4:42.0,K. Walker enters the game for M. Monk,,47,44
2,4:42.0,,C. Diallo enters the game for J. Okafor,47,44
2,4:42.0,,J. Randle makes free throw 2 of 2,47,45
2,4:23.0,Shooting foul by J. Randle (drawn by D. Graham),,47,45
2,4:23.0,D. Graham makes free throw 1 of 2,,48,45
2,4:23.0,D. Graham makes free throw 2 of 2,,49,45
2,4:15.0,,Offensive foul by J. Randle (drawn by B. Biyombo),49,45
2,4:15.0,,Turnover by J. Randle (offensive foul),49,45
2,4:02.0,Turnover by K. Walker (bad pass; steal by J. Randle),,49,45
2,3:57.0,,Personal foul by M. Bridges (drawn by K. Williams),49,45
2,3:45.0,,J. Randle makes 2-pt jump shot from 20 ft,49,47
2,3:20.0,D. Graham misses 3-pt jump shot from 23 ft,,49,47
2,3:16.0,,Defensive rebound by J. Randle,49,47
2,3:09.0,,C. Diallo makes 2-pt layup from 2 ft,49,49
2,2:51.0,Personal foul by C. Diallo (drawn by K. Walker),,49,49
2,2:51.0,Charlotte full timeout,,49,49
2,2:51.0,D. Bacon enters the game for D. Graham,,49,49
2,2:51.0,J. Lamb enters the game for M. Kidd-Gilchrist,,49,49
2,2:45.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by K. Walker),,51,49
2,2:45.0,Shooting foul by C. Diallo (drawn by B. Biyombo),,51,49
2,2:45.0,B. Biyombo makes free throw 1 of 1,,52,49
2,2:29.0,,Turnover by J. Randle (bad pass; steal by J. Lamb),52,49
2,2:24.0,B. Biyombo misses 2-pt layup from 2 ft,,52,49
2,2:22.0,,Defensive rebound by J. Randle,52,49
2,2:01.0,,I. Clark makes 2-pt jump shot from 10 ft,52,51
2,1:46.0,Shooting foul by C. Diallo (drawn by K. Walker),,52,51
2,1:46.0,K. Walker makes free throw 1 of 2,,53,51
2,1:46.0,,C. Wood enters the game for C. Diallo,53,51
2,1:46.0,K. Walker makes free throw 2 of 2,,54,51
2,1:22.0,,J. Randle misses 3-pt jump shot from 26 ft,54,51
2,1:20.0,,Offensive rebound by K. Williams,54,51
2,1:18.0,,I. Clark misses 3-pt jump shot from 26 ft,54,51
2,1:14.0,Defensive rebound by B. Biyombo,,54,51
2,0:53.0,J. Lamb misses 2-pt jump shot from 6 ft,,54,51
2,0:52.0,Offensive rebound by B. Biyombo,,54,51
2,0:52.0,B. Biyombo makes 2-pt layup at rim,,56,51
2,0:43.0,,C. Wood misses 2-pt layup from 3 ft,56,51
2,0:43.0,,Offensive rebound by Team,56,51
2,0:43.0,Loose ball foul by J. Lamb (drawn by C. Wood),,56,51
2,0:43.0,,C. Wood makes free throw 1 of 2,56,52
2,0:43.0,,C. Wood misses free throw 2 of 2,56,52
2,0:35.0,Defensive rebound by M. Bridges,,56,52
2,0:32.0,K. Walker misses 3-pt jump shot from 25 ft,,56,52
2,0:30.0,,Defensive rebound by I. Clark,56,52
2,0:26.0,,J. Randle makes 2-pt layup from 2 ft (assist by I. Clark),56,54
2,0:26.0,,Shooting foul by B. Biyombo (drawn by J. Randle),56,54
2,0:26.0,M. Monk enters the game for B. Biyombo,,56,54
2,0:26.0,,J. Randle makes free throw 1 of 1,56,55
2,0:03.0,M. Monk makes 3-pt jump shot from 25 ft (assist by K. Walker),,59,55
2,0:00.0,,E. Payton misses 3-pt jump shot from 30 ft,59,55
2,0:00.0,,Offensive rebound by Team,59,55
3,11:40.0,,Turnover by J. Randle (bad pass; steal by K. Walker),59,55
3,11:22.0,Turnover by D. Bacon (bad pass; steal by K. Williams),,59,55
3,11:12.0,,E. Payton misses 2-pt jump shot from 4 ft,59,55
3,11:09.0,Defensive rebound by K. Walker,,59,55
3,11:07.0,Turnover by K. Walker (bad pass; steal by E. Payton),,59,55
3,11:02.0,,E. Payton makes 2-pt dunk from 2 ft (assist by I. Clark),59,57
3,10:46.0,M. Bridges misses 2-pt jump shot from 8 ft,,59,57
3,10:46.0,,Defensive rebound by J. Okafor,59,57
3,10:38.0,,E. Payton misses 3-pt jump shot from 25 ft,59,57
3,10:35.0,Defensive rebound by M. Kidd-Gilchrist,,59,57
3,10:30.0,D. Bacon makes 3-pt jump shot from 23 ft (assist by M. Kidd-Gilchrist),,62,57
3,10:17.0,,Personal foul by B. Biyombo (drawn by J. Okafor),62,57
3,10:04.0,,I. Clark misses 3-pt jump shot from 27 ft,62,57
3,10:00.0,Defensive rebound by D. Bacon,,62,57
3,9:54.0,M. Bridges misses 3-pt jump shot from 23 ft,,62,57
3,9:50.0,,Defensive rebound by J. Okafor,62,57
3,9:36.0,,J. Randle misses 3-pt jump shot from 24 ft,62,57
3,9:33.0,Defensive rebound by K. Walker,,62,57
3,9:28.0,K. Walker misses 2-pt jump shot from 8 ft,,62,57
3,9:25.0,,Defensive rebound by I. Clark,62,57
3,9:20.0,,I. Clark makes 3-pt jump shot from 24 ft (assist by E. Payton),62,60
3,8:59.0,D. Bacon makes 2-pt dunk from 2 ft,,64,60
3,8:41.0,,E. Payton misses 3-pt jump shot from 25 ft,64,60
3,8:34.0,,Offensive rebound by Team,64,60
3,8:27.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Okafor),64,60
3,8:27.0,,J. Okafor makes free throw 1 of 2,64,61
3,8:27.0,,J. Okafor makes free throw 2 of 2,64,62
3,8:17.0,D. Bacon misses 3-pt jump shot from 22 ft,,64,62
3,8:14.0,,Defensive rebound by E. Payton,64,62
3,8:03.0,,J. Randle makes 2-pt layup from 4 ft,64,64
3,7:37.0,M. Kidd-Gilchrist makes 3-pt jump shot from 24 ft (assist by K. Walker),,67,64
3,7:22.0,Violation by Team (kicked ball),,67,64
3,7:22.0,J. Lamb enters the game for M. Bridges,,67,64
3,7:17.0,,I. Clark misses 3-pt jump shot from 25 ft,67,64
3,7:14.0,Defensive rebound by M. Kidd-Gilchrist,,67,64
3,6:57.0,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft,,67,64
3,6:52.0,Offensive rebound by B. Biyombo,,67,64
3,6:52.0,B. Biyombo misses 2-pt layup from 1 ft,,67,64
3,6:52.0,Offensive rebound by B. Biyombo,,67,64
3,6:46.0,B. Biyombo misses 2-pt layup from 1 ft (block by K. Williams),,67,64
3,6:46.0,,Defensive rebound by I. Clark,67,64
3,6:33.0,,I. Clark makes 3-pt jump shot from 23 ft (assist by K. Williams),67,67
3,6:14.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,67,67
3,6:12.0,,Defensive rebound by J. Randle,67,67
3,5:54.0,,K. Williams makes 3-pt jump shot from 23 ft (assist by E. Payton),67,70
3,5:53.0,Charlotte full timeout,,67,70
3,5:53.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,67,70
3,5:46.0,Personal foul by K. Williams (drawn by K. Walker),,67,70
3,5:44.0,Turnover by B. Biyombo (bad pass; steal by J. Randle),,67,70
3,5:27.0,,J. Randle makes 2-pt layup from 2 ft,67,72
3,5:11.0,B. Biyombo misses 2-pt hook shot from 7 ft,,67,72
3,5:09.0,,Defensive rebound by J. Okafor,67,72
3,4:47.0,,J. Okafor misses 2-pt jump shot from 8 ft,67,72
3,4:44.0,Defensive rebound by D. Bacon,,67,72
3,4:37.0,B. Biyombo makes 2-pt layup from 1 ft (assist by F. Kaminsky),,69,72
3,4:17.0,,J. Randle makes 2-pt jump shot from 10 ft,69,74
3,4:01.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by K. Walker),,72,74
3,3:48.0,,E. Payton misses 3-pt jump shot from 25 ft,72,74
3,3:43.0,Defensive rebound by B. Biyombo,,72,74
3,3:30.0,F. Kaminsky misses 3-pt jump shot from 23 ft,,72,74
3,3:29.0,Offensive rebound by Team,,72,74
3,3:29.0,,Loose ball foul by K. Williams (drawn by B. Biyombo),72,74
3,3:29.0,W. Hernangómez enters the game for B. Biyombo,,72,74
3,3:29.0,,C. Diallo enters the game for J. Okafor,72,74
3,3:29.0,,S. Hill enters the game for E. Payton,72,74
3,3:29.0,,S. Johnson enters the game for K. Williams,72,74
3,3:19.0,W. Hernangómez misses 2-pt layup from 2 ft (block by J. Randle),,72,74
3,3:17.0,,Defensive rebound by S. Hill,72,74
3,3:13.0,,I. Clark makes 2-pt layup from 1 ft (assist by J. Randle),72,76
3,2:56.0,F. Kaminsky makes 2-pt jump shot from 7 ft,,74,76
3,2:56.0,Shooting foul by C. Diallo (drawn by F. Kaminsky),,74,76
3,2:56.0,,New Orleans full timeout,74,76
3,2:56.0,M. Bridges enters the game for D. Bacon,,74,76
3,2:56.0,D. Graham enters the game for K. Walker,,74,76
3,2:56.0,,C. Wood enters the game for C. Diallo,74,76
3,2:56.0,F. Kaminsky misses free throw 1 of 1,,74,76
3,2:53.0,,Defensive rebound by I. Clark,74,76
3,2:40.0,,S. Johnson misses 2-pt jump shot from 2 ft,74,76
3,2:37.0,Defensive rebound by F. Kaminsky,,74,76
3,2:16.0,J. Lamb misses 2-pt jump shot from 16 ft,,74,76
3,2:12.0,Offensive rebound by D. Graham,,74,76
3,2:11.0,D. Graham misses 2-pt jump shot from 12 ft,,74,76
3,2:09.0,,Defensive rebound by C. Wood,74,76
3,2:01.0,,I. Clark makes 2-pt layup from 2 ft,74,78
3,1:48.0,Shooting foul by S. Hill (drawn by F. Kaminsky),,74,78
3,1:48.0,F. Kaminsky makes free throw 1 of 2,,75,78
3,1:48.0,F. Kaminsky misses free throw 2 of 2,,75,78
3,1:45.0,Offensive rebound by W. Hernangómez,,75,78
3,1:42.0,D. Graham misses 3-pt jump shot from 26 ft,,75,78
3,1:40.0,,Defensive rebound by J. Randle,75,78
3,1:35.0,,Turnover by C. Wood (out of bounds lost ball),75,78
3,1:35.0,,D. Bertāns enters the game for I. Clark,75,78
3,1:35.0,,J. Okafor enters the game for J. Randle,75,78
3,1:26.0,J. Lamb makes 2-pt jump shot from 14 ft (assist by D. Graham),,77,78
3,1:10.0,,Turnover by J. Okafor (bad pass; steal by M. Bridges),77,78
3,1:00.0,F. Kaminsky misses 2-pt layup from 6 ft,,77,78
3,0:55.0,Offensive rebound by W. Hernangómez,,77,78
3,0:55.0,W. Hernangómez misses 2-pt layup from 1 ft,,77,78
3,0:55.0,,Defensive rebound by C. Wood,77,78
3,0:55.0,,Offensive foul by C. Wood (drawn by D. Graham),77,78
3,0:55.0,,Turnover by C. Wood (offensive foul),77,78
3,0:44.0,F. Kaminsky makes 2-pt layup from 2 ft,,79,78
3,0:44.0,Shooting foul by C. Wood (drawn by F. Kaminsky),,79,78
3,0:44.0,F. Kaminsky makes free throw 1 of 1,,80,78
3,0:37.0,,D. Bertāns misses 3-pt jump shot from 25 ft,80,78
3,0:32.0,Defensive rebound by W. Hernangómez,,80,78
3,0:12.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by D. Graham),,83,78
3,0:06.0,,Personal take foul by M. Bridges (drawn by S. Johnson),83,78
3,0:06.0,D. Bacon enters the game for F. Kaminsky,,83,78
3,0:02.0,,S. Johnson misses 3-pt jump shot from 26 ft,83,78
3,0:02.0,Defensive rebound by W. Hernangómez,,83,78
4,11:39.0,M. Bridges makes 2-pt layup from 2 ft (assist by D. Graham),,85,78
4,11:27.0,,Turnover by C. Wood (lost ball; steal by D. Graham),85,78
4,11:23.0,Turnover by D. Graham (bad pass),,85,78
4,10:59.0,,Shooting foul by F. Kaminsky (drawn by C. Wood),85,78
4,10:59.0,,C. Wood misses free throw 1 of 2,85,78
4,10:59.0,,Offensive rebound by Team,85,78
4,10:59.0,,C. Wood makes free throw 2 of 2,85,79
4,10:46.0,Personal foul by S. Johnson (drawn by D. Graham),,85,79
4,10:41.0,J. Lamb misses 2-pt jump shot from 18 ft,,85,79
4,10:38.0,,Defensive rebound by C. Wood,85,79
4,10:30.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by C. Wood),85,82
4,10:28.0,Charlotte full timeout,,85,82
4,10:19.0,Offensive foul by W. Hernangómez (drawn by S. Johnson),,85,82
4,10:19.0,Turnover by W. Hernangómez (offensive foul),,85,82
4,10:05.0,,S. Johnson makes 2-pt layup from 2 ft (assist by D. Bertāns),85,84
4,9:43.0,Shooting foul by S. Johnson (drawn by F. Kaminsky),,85,84
4,9:43.0,F. Kaminsky makes free throw 1 of 2,,86,84
4,9:43.0,D. Bacon enters the game for W. Hernangómez,,86,84
4,9:43.0,K. Walker enters the game for J. Lamb,,86,84
4,9:43.0,F. Kaminsky misses free throw 2 of 2,,86,84
4,9:40.0,,Defensive rebound by C. Wood,86,84
4,9:21.0,,C. Wood misses 2-pt layup from 3 ft (block by M. Bridges),86,84
4,9:19.0,Defensive rebound by M. Bridges,,86,84
4,9:15.0,K. Walker makes 2-pt layup from 2 ft (assist by D. Bacon),,88,84
4,9:07.0,,C. Wood makes 2-pt layup from 2 ft (assist by S. Johnson),88,86
4,8:49.0,F. Kaminsky misses 2-pt layup from 2 ft,,88,86
4,8:47.0,,Defensive rebound by S. Hill,88,86
4,8:34.0,,J. Okafor makes 2-pt layup from 2 ft (assist by C. Wood),88,88
4,8:33.0,Charlotte full timeout,,88,88
4,8:33.0,,J. Randle enters the game for J. Okafor,88,88
4,8:16.0,D. Graham misses 3-pt jump shot from 26 ft,,88,88
4,8:12.0,,Defensive rebound by S. Johnson,88,88
4,7:53.0,,Turnover by C. Wood (traveling),88,88
4,7:53.0,M. Monk enters the game for D. Graham,,88,88
4,7:42.0,M. Monk misses 2-pt layup from 1 ft,,88,88
4,7:39.0,,Defensive rebound by J. Randle,88,88
4,7:31.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by J. Randle),88,91
4,7:09.0,K. Walker misses 2-pt jump shot from 17 ft,,88,91
4,7:05.0,,Defensive rebound by C. Wood,88,91
4,6:57.0,,J. Randle misses 2-pt jump shot from 7 ft,88,91
4,6:54.0,Defensive rebound by F. Kaminsky,,88,91
4,6:43.0,M. Bridges misses 3-pt jump shot from 23 ft,,88,91
4,6:40.0,,Defensive rebound by J. Randle,88,91
4,6:33.0,,C. Wood makes 2-pt dunk from 1 ft (assist by D. Bertāns),88,93
4,6:18.0,K. Walker makes 3-pt jump shot from 26 ft,,91,93
4,6:03.0,,Personal foul by D. Bacon (drawn by S. Johnson),91,93
4,6:03.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,91,93
4,5:50.0,,J. Randle misses 2-pt jump shot from 11 ft,91,93
4,5:48.0,,Offensive rebound by J. Randle,91,93
4,5:48.0,,J. Randle makes 2-pt layup from 2 ft,91,95
4,5:48.0,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Randle),91,95
4,5:48.0,,J. Randle misses free throw 1 of 1,91,95
4,5:45.0,Defensive rebound by M. Bridges,,91,95
4,5:33.0,K. Walker makes 2-pt layup from 2 ft,,93,95
4,5:22.0,,S. Hill misses 3-pt jump shot from 27 ft,93,95
4,5:19.0,Defensive rebound by M. Monk,,93,95
4,5:09.0,M. Bridges misses 3-pt jump shot from 26 ft,,93,95
4,5:05.0,,Defensive rebound by J. Randle,93,95
4,4:53.0,,Turnover by J. Randle (bad pass; steal by M. Bridges),93,95
4,4:50.0,Shooting foul by S. Hill (drawn by K. Walker),,93,95
