QUARTER,TIME_REMAINING,UTAH_ACTION,GOLDEN STATE_ACTION,UTAH_SCORE,GOLDEN STATE_SCORE
1,8:36.0,R. Rubio misses 3-pt jump shot from 27 ft,,2,6
1,8:34.0,,Defensive rebound by K. Thompson,2,6
1,8:23.0,Violation by Team (kicked ball),,2,6
1,8:15.0,,S. Curry misses 3-pt jump shot from 26 ft,2,6
1,8:13.0,Defensive rebound by D. Favors,,2,6
1,7:59.0,Shooting foul by D. Cousins (drawn by D. Favors),,2,6
1,7:59.0,D. Favors makes free throw 1 of 2,,3,6
1,7:59.0,D. Favors misses free throw 2 of 2,,3,6
1,7:58.0,,Defensive rebound by D. Cousins,3,6
1,7:55.0,,Shooting foul by D. Favors (drawn by K. Durant),3,6
1,7:55.0,,K. Durant misses free throw 1 of 2,3,6
1,7:55.0,,Offensive rebound by Team,3,6
1,7:55.0,,K. Durant makes free throw 2 of 2,3,7
1,7:34.0,R. Rubio makes 2-pt layup from 3 ft,,5,7
1,7:20.0,,K. Thompson misses 2-pt jump shot from 14 ft,5,7
1,7:19.0,Defensive rebound by R. Gobert,,5,7
1,7:11.0,Personal foul by K. Thompson (drawn by R. Rubio),,5,7
1,7:11.0,J. Crowder enters the game for D. Favors,,5,7
1,7:11.0,K. Korver enters the game for J. Ingles,,5,7
1,6:55.0,D. Mitchell misses 2-pt layup from 4 ft,,5,7
1,6:54.0,,Defensive rebound by D. Cousins,5,7
1,6:46.0,,D. Cousins misses 3-pt jump shot from 25 ft,5,7
1,6:44.0,Defensive rebound by D. Mitchell,,5,7
1,6:37.0,J. Crowder misses 2-pt jump shot from 23 ft,,5,7
1,6:36.0,,Defensive rebound by K. Thompson,5,7
1,6:31.0,,Personal foul by R. Rubio (drawn by K. Durant),5,7
1,6:23.0,,D. Cousins makes 2-pt layup from 3 ft (assist by K. Durant),5,9
1,6:09.0,J. Crowder misses 3-pt jump shot from 27 ft,,5,9
1,6:07.0,,Defensive rebound by K. Thompson,5,9
1,6:02.0,,K. Thompson makes 2-pt layup from 1 ft,5,11
1,5:43.0,D. Mitchell misses 2-pt jump shot from 18 ft,,5,11
1,5:42.0,,Defensive rebound by D. Green,5,11
1,5:30.0,,Golden State full timeout,5,11
1,5:30.0,R. O'Neale enters the game for R. Rubio,,5,11
1,5:30.0,,A. Iguodala enters the game for D. Cousins,5,11
1,5:30.0,,J. Jerebko enters the game for D. Green,5,11
1,5:30.0,,K. Looney enters the game for K. Thompson,5,11
1,5:26.0,,Turnover by Team (shot clock),5,11
1,5:01.0,J. Crowder makes 2-pt layup from 3 ft (assist by K. Korver),,7,11
1,4:51.0,,J. Jerebko misses 3-pt jump shot from 22 ft,7,11
1,4:49.0,Defensive rebound by K. Korver,,7,11
1,4:37.0,Personal foul by S. Curry (drawn by J. Crowder),,7,11
1,4:27.0,Turnover by R. Gobert (3 sec),,7,11
1,4:16.0,,S. Curry makes 2-pt jump shot from 20 ft (assist by K. Durant),7,13
1,3:58.0,Shooting foul by K. Looney (drawn by R. Gobert),,7,13
1,3:58.0,R. Gobert makes free throw 1 of 2,,8,13
1,3:58.0,R. Gobert makes free throw 2 of 2,,9,13
1,3:41.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Curry),9,16
1,3:31.0,D. Mitchell makes 2-pt jump shot from 19 ft,,11,16
1,3:12.0,,S. Curry misses 3-pt jump shot from 27 ft,11,16
1,3:10.0,Defensive rebound by R. O'Neale,,11,16
1,3:10.0,D. Favors enters the game for R. Gobert,,11,16
1,2:52.0,D. Mitchell misses 2-pt jump shot from 16 ft,,11,16
1,2:51.0,,Defensive rebound by K. Looney,11,16
1,2:32.0,,S. Curry misses 2-pt layup from 3 ft (block by D. Favors),11,16
1,2:30.0,Defensive rebound by D. Mitchell,,11,16
1,2:27.0,D. Mitchell misses 2-pt jump shot from 9 ft,,11,16
1,2:25.0,Offensive rebound by J. Crowder,,11,16
1,2:21.0,Turnover by J. Crowder (bad pass; steal by S. Curry),,11,16
1,2:15.0,,S. Curry makes 2-pt layup from 1 ft (assist by A. Iguodala),11,18
1,1:53.0,R. O'Neale misses 3-pt jump shot from 28 ft,,11,18
1,1:51.0,,Defensive rebound by K. Durant,11,18
1,1:40.0,,K. Durant makes 2-pt jump shot from 10 ft,11,20
1,1:25.0,J. Crowder misses 2-pt jump shot from 22 ft,,11,20
1,1:23.0,,Defensive rebound by K. Looney,11,20
1,1:18.0,,K. Durant misses 3-pt jump shot from 26 ft,11,20
1,1:16.0,Defensive rebound by K. Korver,,11,20
1,1:00.0,Turnover by D. Mitchell (bad pass; steal by A. Iguodala),,11,20
1,0:57.0,,Shooting foul by J. Crowder (drawn by J. Jerebko),11,20
1,0:57.0,,J. Jerebko makes free throw 1 of 2,11,21
1,0:57.0,J. Ingles enters the game for D. Mitchell,,11,21
1,0:57.0,R. Neto enters the game for R. O'Neale,,11,21
1,0:57.0,,Q. Cook enters the game for S. Curry,11,21
1,0:57.0,,J. Jerebko misses free throw 2 of 2,11,21
1,0:55.0,Defensive rebound by J. Ingles,,11,21
1,0:42.0,R. Neto makes 2-pt hook shot from 2 ft (assist by D. Favors),,13,21
1,0:34.0,,K. Durant makes 2-pt layup from 2 ft,13,23
1,0:27.0,Shooting foul by Q. Cook (drawn by R. Neto),,13,23
1,0:27.0,R. O'Neale enters the game for K. Korver,,13,23
1,0:27.0,R. Neto makes free throw 1 of 2,,14,23
1,0:27.0,R. Neto misses free throw 2 of 2,,14,23
1,0:26.0,,Defensive rebound by J. Jerebko,14,23
1,0:06.0,,Q. Cook makes 2-pt jump shot from 17 ft,14,25
1,0:02.0,Turnover by D. Favors (bad pass; steal by A. Iguodala),,14,25
2,11:40.0,,D. Cousins misses 3-pt jump shot from 27 ft,14,25
2,11:36.0,Defensive rebound by R. O'Neale,,14,25
2,11:21.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. Neto),,17,25
2,11:04.0,,D. Cousins misses 2-pt layup from 2 ft,17,25
2,11:02.0,Defensive rebound by D. Favors,,17,25
2,10:45.0,R. Neto misses 3-pt jump shot from 23 ft,,17,25
2,10:43.0,,Defensive rebound by D. Green,17,25
2,10:28.0,,Turnover by D. Cousins (lost ball; steal by J. Crowder),17,25
2,10:24.0,Shooting foul by S. Livingston (drawn by R. Neto),,17,25
2,10:24.0,R. Neto misses free throw 1 of 2,,17,25
2,10:24.0,Offensive rebound by Team,,17,25
2,10:24.0,R. Neto makes free throw 2 of 2,,18,25
2,10:04.0,,A. Iguodala misses 2-pt jump shot from 20 ft,18,25
2,10:03.0,Defensive rebound by D. Favors,,18,25
2,9:48.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by D. Favors),,21,25
2,9:29.0,,D. Cousins misses 2-pt jump shot from 12 ft,21,25
2,9:28.0,Defensive rebound by J. Ingles,,21,25
2,9:17.0,D. Favors misses 2-pt jump shot from 12 ft,,21,25
2,9:16.0,,Defensive rebound by Q. Cook,21,25
2,9:02.0,,D. Green misses 3-pt jump shot from 28 ft,21,25
2,9:00.0,,Offensive rebound by A. Iguodala,21,25
2,9:00.0,,Personal foul by R. Neto (drawn by A. Iguodala),21,25
2,8:49.0,,D. Green makes 2-pt dunk from 1 ft (assist by D. Cousins),21,27
2,8:21.0,D. Favors misses 2-pt jump shot from 21 ft,,21,27
2,8:20.0,,Defensive rebound by D. Cousins,21,27
2,8:13.0,,Q. Cook misses 3-pt jump shot from 27 ft,21,27
2,8:11.0,Defensive rebound by D. Favors,,21,27
2,8:00.0,D. Favors misses 2-pt jump shot from 5 ft (block by D. Green),,21,27
2,7:58.0,,Defensive rebound by A. Iguodala,21,27
2,7:55.0,,D. Cousins makes 2-pt layup from 1 ft (assist by Q. Cook),21,29
2,7:55.0,Utah full timeout,,21,29
2,7:55.0,R. Gobert enters the game for J. Crowder,,21,29
2,7:55.0,K. Korver enters the game for D. Favors,,21,29
2,7:55.0,R. Rubio enters the game for R. Neto,,21,29
2,7:55.0,,S. Curry enters the game for Q. Cook,21,29
2,7:55.0,,K. Thompson enters the game for A. Iguodala,21,29
2,7:36.0,K. Korver makes 2-pt jump shot from 18 ft (assist by R. Rubio),,23,29
2,7:14.0,,K. Thompson makes 2-pt dunk from 1 ft (assist by S. Livingston),23,31
2,7:06.0,K. Korver misses 3-pt jump shot from 34 ft,,23,31
2,7:04.0,,Defensive rebound by D. Green,23,31
2,7:00.0,,K. Thompson misses 3-pt jump shot from 26 ft,23,31
2,6:58.0,Defensive rebound by K. Korver,,23,31
2,6:38.0,R. O'Neale makes 2-pt layup from 2 ft (assist by R. Gobert),,25,31
2,6:20.0,,D. Cousins misses 2-pt jump shot from 17 ft,25,31
2,6:19.0,Defensive rebound by K. Korver,,25,31
2,6:04.0,J. Ingles makes 2-pt layup from 3 ft,,27,31
2,6:04.0,,Golden State full timeout,27,31
2,6:04.0,D. Mitchell enters the game for J. Ingles,,27,31
2,6:04.0,,K. Durant enters the game for D. Cousins,27,31
2,6:04.0,,K. Looney enters the game for D. Green,27,31
2,5:45.0,,S. Livingston makes 2-pt jump shot from 14 ft,27,33
2,5:23.0,R. Rubio misses 2-pt jump shot from 18 ft,,27,33
2,5:21.0,,Defensive rebound by S. Curry,27,33
2,5:13.0,,S. Curry misses 3-pt jump shot from 28 ft,27,33
2,5:11.0,Defensive rebound by D. Mitchell,,27,33
2,5:06.0,R. O'Neale makes 3-pt jump shot from 28 ft (assist by K. Korver),,30,33
2,4:48.0,,K. Durant makes 2-pt jump shot from 22 ft (assist by K. Looney),30,35
2,4:33.0,Personal foul by K. Looney (drawn by D. Mitchell),,30,35
2,4:33.0,J. Crowder enters the game for K. Korver,,30,35
2,4:33.0,,D. Green enters the game for S. Livingston,30,35
2,4:23.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,33,35
2,4:10.0,,S. Curry misses 3-pt jump shot from 26 ft,33,35
2,4:08.0,Defensive rebound by R. Gobert,,33,35
2,4:01.0,D. Mitchell misses 2-pt layup from 2 ft,,33,35
2,4:00.0,Offensive rebound by Team,,33,35
2,3:52.0,D. Mitchell misses 2-pt jump shot from 6 ft,,33,35
2,3:50.0,,Defensive rebound by Team,33,35
2,3:39.0,,Personal foul by D. Mitchell (drawn by K. Thompson),33,35
2,3:39.0,Technical foul by J. Crowder,,33,35
2,3:39.0,,A. Iguodala enters the game for K. Looney,33,35
2,3:39.0,,S. Curry makes technical free throw,33,36
2,3:27.0,,K. Durant misses 2-pt jump shot from 14 ft,33,36
2,3:26.0,Defensive rebound by R. Rubio,,33,36
2,3:14.0,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),,35,36
2,2:58.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),35,39
2,2:42.0,Offensive foul by J. Crowder (drawn by S. Curry),,35,39
2,2:42.0,Turnover by J. Crowder (offensive foul),,35,39
2,2:35.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),35,42
2,2:21.0,Shooting foul by K. Thompson (drawn by R. Gobert),,35,42
2,2:21.0,R. Gobert makes free throw 1 of 2,,36,42
2,2:21.0,R. Gobert makes free throw 2 of 2,,37,42
2,2:06.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by K. Durant),37,45
2,1:46.0,R. Rubio makes 2-pt layup from 1 ft,,39,45
2,1:39.0,,Offensive foul by S. Curry (drawn by R. Rubio),39,45
2,1:39.0,,Turnover by S. Curry (offensive foul),39,45
2,1:21.0,D. Mitchell makes 3-pt jump shot from 27 ft,,42,45
2,0:54.0,,K. Thompson makes 2-pt jump shot from 22 ft,42,47
2,0:39.0,D. Mitchell misses 2-pt jump shot from 17 ft,,42,47
2,0:38.0,,Defensive rebound by A. Iguodala,42,47
2,0:33.0,,S. Curry misses 3-pt jump shot from 31 ft,42,47
2,0:31.0,Defensive rebound by R. Rubio,,42,47
2,0:09.0,D. Mitchell makes 2-pt jump shot from 18 ft (assist by R. Rubio),,44,47
2,0:03.0,,K. Durant misses 3-pt jump shot from 25 ft,44,47
2,0:01.0,Defensive rebound by D. Mitchell,,44,47
3,11:47.0,,D. Green misses 3-pt jump shot from 26 ft,44,47
3,11:45.0,Defensive rebound by R. Gobert,,44,47
3,11:29.0,Turnover by R. Gobert (lost ball; steal by D. Cousins),,44,47
3,11:23.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),44,49
3,11:10.0,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),,46,49
3,11:02.0,,Offensive foul by K. Thompson (drawn by R. Rubio),46,49
3,11:02.0,,Turnover by K. Thompson (offensive foul),46,49
3,10:49.0,D. Favors misses 2-pt jump shot from 14 ft,,46,49
3,10:48.0,Offensive rebound by R. Gobert,,46,49
3,10:47.0,Turnover by R. Gobert (lost ball; steal by S. Curry),,46,49
3,10:43.0,,Shooting foul by D. Favors (drawn by S. Curry),46,49
3,10:43.0,,S. Curry makes free throw 1 of 2,46,50
3,10:43.0,R. O'Neale enters the game for J. Ingles,,46,50
3,10:43.0,,S. Curry makes free throw 2 of 2,46,51
3,10:23.0,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio),,48,51
3,10:15.0,,K. Thompson misses 2-pt layup from 2 ft,48,51
3,10:14.0,Defensive rebound by D. Favors,,48,51
3,10:10.0,D. Mitchell misses 2-pt layup from 3 ft,,48,51
3,10:09.0,Offensive rebound by R. Gobert,,48,51
3,10:03.0,R. Gobert misses 2-pt layup at rim,,48,51
3,10:02.0,,Defensive rebound by D. Cousins,48,51
3,9:48.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Cousins),48,54
3,9:33.0,R. Rubio makes 2-pt layup from 2 ft,,50,54
3,9:33.0,Shooting foul by D. Cousins (drawn by R. Rubio),,50,54
3,9:33.0,J. Ingles enters the game for D. Mitchell,,50,54
3,9:33.0,R. Rubio makes free throw 1 of 1,,51,54
3,9:14.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by D. Green),51,57
3,8:57.0,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),,53,57
3,8:51.0,,Turnover by D. Cousins (bad pass),53,57
3,8:51.0,D. Mitchell enters the game for R. O'Neale,,53,57
3,8:39.0,R. Rubio misses 2-pt layup from 3 ft,,53,57
3,8:38.0,,Defensive rebound by D. Cousins,53,57
3,8:30.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Cousins),53,60
3,8:10.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,56,60
3,7:54.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Curry),56,62
3,7:40.0,Personal foul by D. Cousins (drawn by D. Mitchell),,56,62
3,7:34.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Rubio),,58,62
3,7:15.0,,D. Cousins misses 3-pt jump shot from 23 ft,58,62
3,7:13.0,Defensive rebound by R. Rubio,,58,62
3,7:02.0,D. Favors makes 2-pt layup from 1 ft (assist by J. Ingles),,60,62
3,6:48.0,,Personal foul by D. Mitchell (drawn by S. Curry),60,62
3,6:48.0,,Golden State full timeout,60,62
3,6:48.0,J. Crowder enters the game for D. Favors,,60,62
3,6:37.0,,K. Durant makes 2-pt jump shot from 12 ft (assist by D. Green),60,64
3,6:20.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by J. Crowder),,63,64
3,6:05.0,,K. Thompson misses 2-pt jump shot from 17 ft,63,64
3,6:04.0,Defensive rebound by R. Gobert,,63,64
3,5:55.0,R. Rubio misses 2-pt layup from 3 ft (block by S. Curry),,63,64
3,5:54.0,Offensive rebound by Team,,63,64
3,5:54.0,K. Korver enters the game for J. Ingles,,63,64
3,5:54.0,,K. Looney enters the game for D. Cousins,63,64
3,5:49.0,Offensive foul by K. Korver (drawn by D. Green),,63,64
3,5:49.0,Turnover by K. Korver (offensive foul),,63,64
3,5:38.0,,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),63,66
3,5:25.0,Personal foul by K. Looney (drawn by D. Mitchell),,63,66
3,5:20.0,Shooting foul by K. Thompson (drawn by D. Mitchell),,63,66
3,5:20.0,D. Mitchell misses free throw 1 of 2,,63,66
3,5:20.0,Offensive rebound by Team,,63,66
3,5:20.0,,A. Iguodala enters the game for D. Green,63,66
3,5:20.0,,A. McKinnie enters the game for K. Thompson,63,66
3,5:20.0,D. Mitchell makes free throw 2 of 2,,64,66
3,5:04.0,,Personal foul by R. Rubio (drawn by K. Durant),64,66
3,5:00.0,,S. Curry misses 3-pt jump shot from 28 ft,64,66
3,4:58.0,Defensive rebound by R. Gobert,,64,66
3,4:39.0,D. Mitchell makes 3-pt jump shot from 28 ft,,67,66
3,4:27.0,,K. Durant misses 3-pt jump shot from 24 ft,67,66
3,4:25.0,Defensive rebound by R. Gobert,,67,66
3,4:20.0,Turnover by D. Mitchell (lost ball; steal by K. Looney),,67,66
3,4:20.0,R. O'Neale enters the game for R. Rubio,,67,66
3,4:05.0,,A. Iguodala makes 3-pt jump shot from 27 ft (assist by K. Durant),67,69
3,3:54.0,Personal foul by A. Iguodala (drawn by R. Gobert),,67,69
3,3:54.0,R. Gobert makes free throw 1 of 2,,68,69
3,3:54.0,R. Gobert misses free throw 2 of 2,,68,69
3,3:53.0,Offensive rebound by Team,,68,69
3,3:49.0,D. Mitchell makes 3-pt jump shot from 22 ft (assist by R. Gobert),,71,69
3,3:34.0,,S. Curry misses 3-pt jump shot from 28 ft,71,69
3,3:32.0,,Offensive rebound by A. McKinnie,71,69
3,3:32.0,,A. McKinnie makes 2-pt layup from 1 ft,71,71
3,3:08.0,R. O'Neale makes 2-pt jump shot from 12 ft,,73,71
3,2:57.0,,K. Durant misses 2-pt layup from 2 ft,73,71
3,2:56.0,Defensive rebound by R. O'Neale,,73,71
3,2:43.0,Shooting foul by K. Looney (drawn by K. Korver),,73,71
3,2:43.0,Utah full timeout,,73,71
3,2:43.0,K. Korver makes free throw 1 of 3,,74,71
3,2:43.0,D. Favors enters the game for R. Gobert,,74,71
3,2:43.0,K. Korver makes free throw 2 of 3,,75,71
3,2:43.0,K. Korver makes free throw 3 of 3,,76,71
3,2:31.0,,A. Iguodala makes 2-pt layup from 4 ft,76,73
3,2:14.0,D. Favors misses 2-pt jump shot from 5 ft,,76,73
3,2:12.0,Offensive rebound by D. Favors,,76,73
3,2:12.0,D. Favors makes 2-pt layup at rim,,78,73
3,1:54.0,,K. Durant misses 2-pt jump shot from 13 ft,78,73
3,1:52.0,,Offensive rebound by A. McKinnie,78,73
3,1:52.0,,Shooting foul by J. Crowder (drawn by A. McKinnie),78,73
3,1:52.0,,A. McKinnie makes free throw 1 of 2,78,74
3,1:52.0,,D. Green enters the game for S. Curry,78,74
3,1:52.0,,J. Jerebko enters the game for K. Looney,78,74
3,1:52.0,,A. McKinnie misses free throw 2 of 2,78,74
3,1:52.0,Defensive rebound by J. Crowder,,78,74
3,1:42.0,D. Mitchell misses 3-pt jump shot from 28 ft,,78,74
3,1:40.0,,Defensive rebound by D. Green,78,74
3,1:33.0,,Shooting foul by J. Crowder (drawn by K. Durant),78,74
3,1:33.0,,K. Durant makes free throw 1 of 2,78,75
3,1:33.0,J. Ingles enters the game for J. Crowder,,78,75
3,1:33.0,R. Neto enters the game for D. Mitchell,,78,75
3,1:33.0,,K. Durant makes free throw 2 of 2,78,76
3,1:12.0,Turnover by K. Korver (lost ball; steal by D. Green),,78,76
3,1:07.0,,K. Durant makes 2-pt layup from 10 ft,78,78
3,1:07.0,,Shooting foul by R. Neto (drawn by K. Durant),78,78
3,1:07.0,,K. Durant makes free throw 1 of 1,78,79
3,0:59.0,D. Favors makes 2-pt dunk from 1 ft (assist by R. Neto),,80,79
3,0:48.0,,D. Green misses 3-pt jump shot from 27 ft,80,79
3,0:46.0,Defensive rebound by J. Ingles,,80,79
3,0:31.0,R. Neto makes 2-pt layup from 1 ft,,82,79
3,0:18.0,,A. McKinnie makes 2-pt layup from 3 ft (assist by D. Green),82,81
3,0:02.0,R. Neto makes 2-pt layup from 5 ft,,84,81
3,0:01.0,,J. Jerebko misses 3-pt jump shot from 41 ft,84,81
3,0:00.0,,Offensive rebound by Team,84,81
4,11:40.0,D. Favors makes 2-pt dunk from 1 ft (assist by K. Korver),,86,81
4,11:12.0,,K. Thompson makes 2-pt jump shot from 14 ft,86,83
4,10:59.0,R. O'Neale makes 3-pt jump shot from 28 ft (assist by J. Ingles),,89,83
4,10:46.0,,D. Cousins misses 3-pt jump shot from 27 ft,89,83
4,10:44.0,Defensive rebound by J. Ingles,,89,83
4,10:36.0,Turnover by J. Ingles (out of bounds lost ball),,89,83
4,10:25.0,,Shooting foul by D. Favors (drawn by K. Thompson),89,83
4,10:25.0,,K. Thompson misses free throw 1 of 2,89,83
4,10:25.0,,Offensive rebound by Team,89,83
4,10:25.0,,K. Thompson makes free throw 2 of 2,89,84
4,10:09.0,K. Korver misses 3-pt jump shot from 29 ft (block by S. Livingston),,89,84
4,10:07.0,,Defensive rebound by D. Green,89,84
4,10:05.0,,Turnover by D. Green (bad pass; steal by K. Korver),89,84
4,9:51.0,Shooting foul by S. Livingston (drawn by R. Neto),,89,84
4,9:51.0,R. Neto makes free throw 1 of 2,,90,84
4,9:51.0,R. Neto makes free throw 2 of 2,,91,84
4,9:37.0,,D. Green makes 2-pt layup from 3 ft (assist by D. Cousins),91,86
4,9:24.0,Turnover by R. Neto (bad pass; steal by A. Iguodala),,91,86
4,9:19.0,,A. Iguodala makes 2-pt dunk from 2 ft,91,88
4,9:19.0,Utah full timeout,,91,88
4,9:19.0,R. Gobert enters the game for K. Korver,,91,88
4,9:19.0,D. Mitchell enters the game for R. Neto,,91,88
4,9:19.0,R. Rubio enters the game for R. O'Neale,,91,88
4,9:11.0,R. Rubio misses 2-pt layup from 4 ft,,91,88
4,9:11.0,,Defensive rebound by Team,91,88
4,9:11.0,Loose ball foul by R. Gobert (drawn by D. Cousins),,91,88
4,8:55.0,,D. Cousins misses 2-pt layup from 4 ft (block by D. Favors),91,88
4,8:53.0,Defensive rebound by D. Favors,,91,88
4,8:41.0,D. Mitchell makes 2-pt layup from 2 ft,,93,88
4,8:23.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by A. Iguodala),93,91
4,8:01.0,R. Rubio misses 3-pt jump shot from 22 ft,,93,91
4,7:59.0,,Defensive rebound by D. Cousins,93,91
4,7:50.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),93,93
4,7:25.0,D. Mitchell misses 3-pt jump shot from 35 ft,,93,93
4,7:23.0,,Defensive rebound by D. Cousins,93,93
4,7:10.0,,D. Cousins misses 2-pt layup from 2 ft (block by D. Favors),93,93
4,7:08.0,Defensive rebound by R. Gobert,,93,93
4,7:04.0,Personal foul by S. Livingston (drawn by R. Gobert),,93,93
4,7:04.0,J. Crowder enters the game for D. Favors,,93,93
4,7:04.0,R. O'Neale enters the game for J. Ingles,,93,93
4,7:04.0,,S. Curry enters the game for A. Iguodala,93,93
4,7:04.0,,K. Durant enters the game for K. Thompson,93,93
4,6:56.0,J. Crowder misses 3-pt jump shot from 23 ft (block by D. Green),,93,93
4,6:54.0,,Defensive rebound by D. Green,93,93
4,6:52.0,,Personal take foul by R. Rubio (drawn by D. Cousins),93,93
4,6:45.0,,S. Curry misses 2-pt jump shot from 17 ft,93,93
4,6:44.0,Defensive rebound by R. Gobert,,93,93
4,6:36.0,J. Crowder misses 3-pt jump shot from 23 ft,,93,93
4,6:34.0,,Defensive rebound by S. Curry,93,93
4,6:21.0,,K. Durant makes 2-pt jump shot from 20 ft (assist by D. Cousins),93,95
4,6:10.0,Utah full timeout,,93,95
4,6:10.0,,K. Thompson enters the game for D. Green,93,95
4,6:05.0,D. Mitchell misses 2-pt jump shot from 6 ft,,93,95
4,6:04.0,,Defensive rebound by K. Durant,93,95
4,5:57.0,,Personal foul by J. Crowder (drawn by D. Cousins),93,95
4,5:48.0,,D. Cousins misses 3-pt jump shot from 29 ft,93,95
4,5:46.0,,Offensive rebound by S. Livingston,93,95
4,5:43.0,,K. Durant misses 3-pt jump shot from 27 ft,93,95
4,5:41.0,,Offensive rebound by D. Cousins,93,95
4,5:41.0,,D. Cousins makes 2-pt dunk from 3 ft,93,97
4,5:41.0,,Shooting foul by D. Mitchell (drawn by D. Cousins),93,97
4,5:41.0,,D. Cousins misses free throw 1 of 1,93,97
4,5:40.0,Defensive rebound by R. O'Neale,,93,97
4,5:20.0,D. Mitchell makes 2-pt jump shot from 10 ft,,95,97
4,4:59.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),95,100
4,4:48.0,D. Mitchell misses 3-pt jump shot from 27 ft,,95,100
4,4:46.0,,Defensive rebound by D. Cousins,95,100
4,4:39.0,,S. Curry makes 3-pt jump shot from 27 ft,95,103
4,4:38.0,Utah full timeout,,95,103
4,4:38.0,J. Ingles enters the game for R. O'Neale,,95,103
4,4:38.0,,A. Iguodala enters the game for S. Livingston,95,103
4,4:22.0,D. Mitchell misses 2-pt jump shot from 7 ft (block by K. Thompson),,95,103
4,4:21.0,,Defensive rebound by S. Curry,95,103
4,4:13.0,,S. Curry makes 2-pt layup from 3 ft,95,105
4,3:58.0,R. Rubio makes 2-pt layup from 2 ft,,97,105
4,3:51.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by A. Iguodala),97,108
4,3:35.0,R. Rubio makes 2-pt jump shot from 11 ft (assist by R. Gobert),,99,108
4,3:20.0,,Shooting foul by R. Gobert (drawn by D. Cousins),99,108
4,3:20.0,,D. Cousins makes free throw 1 of 2,99,109
4,3:20.0,,D. Cousins misses free throw 2 of 2,99,109
4,3:19.0,Defensive rebound by D. Mitchell,,99,109
4,3:14.0,D. Mitchell misses 2-pt jump shot from 9 ft,,99,109
