QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
1,1:34.0,N. Bjelica makes 3-pt jump shot from 29 ft (assist by Y. Ferrell),,19,21
1,1:15.0,,J. Green misses 2-pt jump shot from 16 ft,19,21
1,1:12.0,Defensive rebound by Y. Ferrell,,19,21
1,1:06.0,M. Bagley makes 2-pt layup from 2 ft (assist by Y. Ferrell),,21,21
1,0:49.0,,J. Noah misses 2-pt layup from 3 ft,21,21
1,0:46.0,Defensive rebound by M. Bagley,,21,21
1,0:42.0,B. Bogdanović makes 2-pt layup from 1 ft,,23,21
1,0:42.0,Shooting foul by O. Casspi (drawn by B. Bogdanović),,23,21
1,0:42.0,B. Bogdanović makes free throw 1 of 1,,24,21
1,0:36.0,,Personal foul by J. Jackson (drawn by G. Temple),24,21
1,0:36.0,,G. Temple misses free throw 1 of 2,24,21
1,0:36.0,,Offensive rebound by Team,24,21
1,0:36.0,,G. Temple misses free throw 2 of 2,24,21
1,0:32.0,,Offensive rebound by J. Noah,24,21
1,0:32.0,,J. Noah misses 2-pt layup at rim,24,21
1,0:31.0,Defensive rebound by Y. Ferrell,,24,21
1,0:28.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,24,21
1,0:23.0,,Defensive rebound by O. Casspi,24,21
1,0:03.0,,Shooting foul by B. Bogdanović (drawn by O. Casspi),24,21
1,0:03.0,,O. Casspi makes free throw 1 of 2,24,22
1,0:03.0,,J. Holiday enters the game for G. Temple,24,22
1,0:03.0,,O. Casspi makes free throw 2 of 2,24,23
1,0:00.0,Y. Ferrell misses 3-pt jump shot from 28 ft,,24,23
1,0:00.0,Offensive rebound by Team,,24,23
2,11:45.0,,S. Mack misses 3-pt jump shot from 23 ft,24,23
2,11:41.0,Defensive rebound by N. Bjelica,,24,23
2,11:28.0,B. Bogdanović misses 2-pt hook shot from 5 ft,,24,23
2,11:26.0,Offensive rebound by N. Bjelica,,24,23
2,11:24.0,N. Bjelica misses 2-pt layup from 1 ft,,24,23
2,11:24.0,,Defensive rebound by J. Green,24,23
2,11:19.0,,O. Casspi makes 2-pt dunk at rim (assist by J. Holiday),24,25
2,11:09.0,Turnover by Y. Ferrell (bad pass; steal by O. Casspi),,24,25
2,11:03.0,,S. Mack makes 2-pt layup from 1 ft,24,27
2,11:03.0,Sacramento full timeout,,24,27
2,10:41.0,B. Bogdanović makes 2-pt jump shot from 6 ft,,26,27
2,10:26.0,,Turnover by J. Green (out of bounds lost ball),26,27
2,10:13.0,Y. Ferrell makes 3-pt jump shot from 25 ft,,29,27
2,10:03.0,,S. Mack misses 2-pt jump shot from 12 ft,29,27
2,9:58.0,Defensive rebound by B. Bogdanović,,29,27
2,9:53.0,J. Jackson misses 3-pt jump shot from 23 ft,,29,27
2,9:51.0,,Defensive rebound by J. Green,29,27
2,9:47.0,,Memphis full timeout,29,27
2,9:47.0,W. Cauley-Stein enters the game for M. Bagley,,29,27
2,9:47.0,,M. Conley enters the game for S. Mack,29,27
2,9:38.0,,O. Casspi misses 2-pt layup from 2 ft,29,27
2,9:35.0,Defensive rebound by W. Cauley-Stein,,29,27
2,9:30.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by Y. Ferrell),,31,27
2,9:08.0,,Turnover by J. Green (bad pass; steal by J. Jackson),31,27
2,9:00.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,31,27
2,8:56.0,,Defensive rebound by J. Noah,31,27
2,8:53.0,,Turnover by J. Noah (bad pass),31,27
2,8:53.0,,J. Jackson enters the game for J. Green,31,27
2,8:35.0,N. Bjelica misses 2-pt jump shot from 11 ft,,31,27
2,8:31.0,,Defensive rebound by M. Conley,31,27
2,8:21.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Jackson),31,30
2,8:02.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,31,30
2,7:58.0,,Defensive rebound by M. Conley,31,30
2,7:45.0,,O. Casspi makes 2-pt hook shot from 5 ft,31,32
2,7:29.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,31,32
2,7:27.0,,Defensive rebound by Team,31,32
2,7:27.0,Loose ball foul by W. Cauley-Stein (drawn by J. Jackson),,31,32
2,7:27.0,D. Fox enters the game for B. Bogdanović,,31,32
2,7:27.0,I. Shumpert enters the game for Y. Ferrell,,31,32
2,7:18.0,,J. Holiday misses 2-pt jump shot from 21 ft,31,32
2,7:14.0,,Offensive rebound by J. Noah,31,32
2,7:14.0,,J. Noah misses 2-pt layup at rim,31,32
2,7:12.0,Defensive rebound by J. Jackson,,31,32
2,7:04.0,W. Cauley-Stein makes 2-pt jump shot from 4 ft,,33,32
2,6:52.0,,Shooting foul by D. Fox (drawn by J. Noah),33,32
2,6:52.0,,J. Noah makes free throw 1 of 2,33,33
2,6:52.0,M. Bagley enters the game for N. Bjelica,,33,33
2,6:52.0,,J. Noah makes free throw 2 of 2,33,34
2,6:52.0,,M. Gasol enters the game for J. Noah,33,34
2,6:27.0,Turnover by I. Shumpert (bad pass; steal by O. Casspi),,33,34
2,6:15.0,,M. Conley makes 2-pt jump shot from 6 ft (assist by J. Holiday),33,36
2,5:58.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,33,36
2,5:58.0,,Defensive rebound by J. Holiday,33,36
2,5:42.0,,M. Conley misses 2-pt jump shot from 12 ft,33,36
2,5:39.0,Defensive rebound by D. Fox,,33,36
2,5:38.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by J. Jackson),,35,36
2,5:38.0,Shooting foul by J. Holiday (drawn by W. Cauley-Stein),,35,36
2,5:38.0,B. Hield enters the game for J. Jackson,,35,36
2,5:38.0,,S. Mack enters the game for O. Casspi,35,36
2,5:38.0,W. Cauley-Stein makes free throw 1 of 1,,36,36
2,5:18.0,,M. Conley makes 2-pt jump shot from 23 ft (assist by J. Holiday),36,38
2,5:05.0,D. Fox makes 2-pt jump shot from 7 ft,,38,38
2,4:53.0,,Turnover by M. Conley (bad pass; steal by W. Cauley-Stein),38,38
2,4:42.0,W. Cauley-Stein misses 2-pt jump shot from 2 ft,,38,38
2,4:38.0,,Defensive rebound by M. Gasol,38,38
2,4:31.0,,J. Jackson misses 2-pt hook shot from 5 ft (block by M. Bagley),38,38
2,4:27.0,Defensive rebound by D. Fox,,38,38
2,4:24.0,I. Shumpert misses 3-pt jump shot from 25 ft,,38,38
2,4:19.0,Offensive rebound by M. Bagley,,38,38
2,4:16.0,B. Hield makes 3-pt jump shot from 23 ft (assist by M. Bagley),,41,38
2,4:15.0,,Memphis full timeout,41,38
2,4:02.0,,M. Conley misses 2-pt jump shot from 13 ft,41,38
2,3:59.0,Defensive rebound by D. Fox,,41,38
2,3:55.0,M. Bagley misses 2-pt dunk from 1 ft,,41,38
2,3:55.0,,Defensive rebound by J. Holiday,41,38
2,3:44.0,,M. Gasol misses 2-pt jump shot from 7 ft,41,38
2,3:40.0,Defensive rebound by M. Bagley,,41,38
2,3:20.0,M. Bagley misses 2-pt jump shot from 14 ft,,41,38
2,3:16.0,,Defensive rebound by M. Gasol,41,38
2,3:01.0,,Personal foul by I. Shumpert (drawn by J. Jackson),41,38
2,2:53.0,,S. Mack makes 2-pt layup from 1 ft,41,40
2,2:34.0,B. Hield misses 2-pt layup from 1 ft,,41,40
2,2:31.0,Offensive rebound by W. Cauley-Stein,,41,40
2,2:28.0,W. Cauley-Stein misses 2-pt layup from 1 ft (block by J. Jackson),,41,40
2,2:24.0,Offensive rebound by Team,,41,40
2,2:18.0,B. Hield misses 2-pt jump shot from 1 ft,,41,40
2,2:18.0,Offensive rebound by Team,,41,40
2,2:18.0,Turnover by Team (shot clock),,41,40
2,2:03.0,,M. Gasol misses 3-pt jump shot from 25 ft,41,40
2,1:58.0,Defensive rebound by M. Bagley,,41,40
2,1:49.0,W. Cauley-Stein misses 2-pt hook shot from 6 ft,,41,40
2,1:48.0,,Defensive rebound by M. Conley,41,40
2,1:43.0,,S. Mack makes 2-pt layup from 1 ft (assist by M. Conley),41,42
2,1:28.0,M. Bagley misses 3-pt jump shot from 25 ft,,41,42
2,1:25.0,,Defensive rebound by M. Gasol,41,42
2,1:12.0,,J. Jackson misses 2-pt hook shot from 3 ft,41,42
2,1:08.0,Defensive rebound by B. Hield,,41,42
2,1:04.0,M. Bagley misses 2-pt layup at rim,,41,42
2,1:00.0,Offensive rebound by M. Bagley,,41,42
2,1:00.0,M. Bagley makes 2-pt layup from 1 ft,,43,42
2,0:47.0,,Personal foul by I. Shumpert (drawn by M. Conley),43,42
2,0:47.0,,J. Green enters the game for J. Jackson,43,42
2,0:35.0,,J. Green misses 3-pt jump shot from 23 ft,43,42
2,0:33.0,Defensive rebound by I. Shumpert,,43,42
2,0:30.0,D. Fox makes 2-pt layup at rim (assist by I. Shumpert),,45,42
2,0:30.0,Shooting foul by J. Holiday (drawn by D. Fox),,45,42
2,0:30.0,N. Bjelica enters the game for M. Bagley,,45,42
2,0:30.0,,O. Casspi enters the game for S. Mack,45,42
2,0:30.0,D. Fox makes free throw 1 of 1,,46,42
2,0:14.0,,M. Conley misses 2-pt layup from 1 ft,46,42
2,0:09.0,,Offensive rebound by J. Green,46,42
2,0:09.0,,J. Green misses 2-pt layup at rim,46,42
2,0:08.0,Defensive rebound by D. Fox,,46,42
2,0:08.0,D. Fox makes 2-pt layup from 1 ft,,48,42
2,0:02.0,,M. Conley misses 3-pt jump shot from 25 ft,48,42
2,0:02.0,Defensive rebound by I. Shumpert,,48,42
2,0:00.0,I. Shumpert misses 3-pt jump shot from 53 ft,,48,42
2,0:00.0,Offensive rebound by Team,,48,42
3,11:39.0,,Turnover by O. Casspi (bad pass; steal by W. Cauley-Stein),48,42
3,11:36.0,D. Fox makes 2-pt layup at rim (assist by W. Cauley-Stein),,50,42
3,11:17.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),50,45
3,10:55.0,Turnover by N. Bjelica (traveling),,50,45
3,10:32.0,,O. Casspi misses 2-pt layup from 1 ft (block by W. Cauley-Stein),50,45
3,10:30.0,Defensive rebound by N. Bjelica,,50,45
3,10:26.0,I. Shumpert misses 3-pt jump shot from 23 ft,,50,45
3,10:25.0,Offensive rebound by Team,,50,45
3,10:25.0,,Loose ball foul by M. Gasol (drawn by W. Cauley-Stein),50,45
3,10:12.0,B. Hield misses 2-pt layup from 1 ft,,50,45
3,10:10.0,,Defensive rebound by M. Gasol,50,45
3,10:04.0,,Turnover by M. Gasol (bad pass; steal by I. Shumpert),50,45
3,10:02.0,Personal take foul by M. Conley (drawn by I. Shumpert),,50,45
3,9:55.0,D. Fox makes 2-pt layup from 1 ft,,52,45
3,9:50.0,,Memphis full timeout,52,45
3,9:39.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),52,48
3,9:24.0,D. Fox misses 2-pt jump shot from 7 ft,,52,48
3,9:22.0,Offensive rebound by Team,,52,48
3,9:20.0,N. Bjelica makes 2-pt jump shot from 18 ft (assist by I. Shumpert),,54,48
3,9:08.0,,M. Conley misses 2-pt jump shot from 6 ft,54,48
3,9:05.0,Defensive rebound by I. Shumpert,,54,48
3,8:57.0,Turnover by D. Fox (bad pass; steal by M. Conley),,54,48
3,8:54.0,,Shooting foul by N. Bjelica (drawn by J. Jackson),54,48
3,8:54.0,,J. Jackson makes free throw 1 of 2,54,49
3,8:54.0,,J. Carter enters the game for J. Holiday,54,49
3,8:54.0,,J. Jackson makes free throw 2 of 2,54,50
3,8:39.0,Turnover by W. Cauley-Stein (lost ball; steal by M. Conley),,54,50
3,8:34.0,,J. Carter misses 2-pt layup from 1 ft,54,50
3,8:30.0,,Offensive rebound by J. Jackson,54,50
3,8:29.0,,Turnover by J. Carter (lost ball; steal by W. Cauley-Stein),54,50
3,8:28.0,B. Hield misses 3-pt jump shot from 26 ft,,54,50
3,8:24.0,Offensive rebound by W. Cauley-Stein,,54,50
3,8:21.0,B. Hield misses 3-pt jump shot from 26 ft,,54,50
3,8:16.0,,Defensive rebound by M. Gasol,54,50
3,8:02.0,,J. Jackson misses 2-pt layup from 6 ft (block by N. Bjelica),54,50
3,7:59.0,Defensive rebound by W. Cauley-Stein,,54,50
3,7:54.0,B. Hield makes 3-pt jump shot from 25 ft (assist by N. Bjelica),,57,50
3,7:40.0,,Personal foul by W. Cauley-Stein (drawn by M. Gasol),57,50
3,7:27.0,,J. Carter misses 2-pt jump shot from 19 ft,57,50
3,7:25.0,Defensive rebound by N. Bjelica,,57,50
3,7:15.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),,60,50
3,6:51.0,,O. Casspi makes 2-pt layup from 1 ft (assist by M. Conley),60,52
3,6:38.0,B. Hield makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,63,52
3,6:38.0,,J. Green enters the game for M. Gasol,63,52
3,6:38.0,,J. Noah enters the game for J. Jackson,63,52
3,6:10.0,,O. Casspi makes 2-pt dunk at rim (assist by J. Carter),63,54
3,5:59.0,D. Fox misses 2-pt layup from 1 ft,,63,54
3,5:58.0,,Defensive rebound by O. Casspi,63,54
3,5:58.0,,Personal foul by W. Cauley-Stein (drawn by O. Casspi),63,54
3,5:58.0,M. Bagley enters the game for N. Bjelica,,63,54
3,5:45.0,,M. Conley makes 3-pt jump shot from 27 ft (assist by J. Carter),63,57
3,5:44.0,Sacramento full timeout,,63,57
3,5:31.0,Def 3 sec tech foul by Team,,63,57
3,5:31.0,B. Hield makes technical free throw,,64,57
3,5:27.0,Personal foul by O. Casspi (drawn by I. Shumpert),,64,57
3,5:13.0,I. Shumpert misses 3-pt jump shot from 25 ft,,64,57
3,5:10.0,,Defensive rebound by M. Conley,64,57
3,4:52.0,,Shooting foul by W. Cauley-Stein (drawn by M. Conley),64,57
3,4:52.0,,M. Conley misses free throw 1 of 3,64,57
3,4:52.0,,Offensive rebound by Team,64,57
3,4:52.0,,M. Conley makes free throw 2 of 3,64,58
3,4:52.0,N. Bjelica enters the game for W. Cauley-Stein,,64,58
3,4:52.0,,B. Caboclo enters the game for O. Casspi,64,58
3,4:52.0,,M. Conley makes free throw 3 of 3,64,59
3,4:49.0,Personal foul by J. Carter (drawn by D. Fox),,64,59
3,4:48.0,Personal foul by J. Carter (drawn by D. Fox),,64,59
3,4:48.0,D. Fox makes free throw 1 of 2,,65,59
3,4:48.0,D. Fox makes free throw 2 of 2,,66,59
3,4:27.0,,J. Green makes 2-pt layup at rim (assist by M. Conley),66,61
3,4:08.0,D. Fox makes 3-pt jump shot from 26 ft (assist by I. Shumpert),,69,61
3,3:56.0,,M. Conley misses 2-pt layup from 1 ft (block by N. Bjelica),69,61
3,3:53.0,,Offensive rebound by J. Noah,69,61
3,3:51.0,,J. Carter misses 3-pt jump shot from 25 ft,69,61
3,3:49.0,Defensive rebound by N. Bjelica,,69,61
3,3:46.0,Turnover by M. Bagley (lost ball; steal by J. Carter),,69,61
3,3:45.0,,Personal foul by D. Fox (drawn by J. Carter),69,61
3,3:45.0,,J. Carter makes free throw 1 of 2,69,62
3,3:45.0,B. Bogdanović enters the game for I. Shumpert,,69,62
3,3:45.0,,S. Mack enters the game for M. Conley,69,62
3,3:45.0,,J. Carter makes free throw 2 of 2,69,63
3,3:28.0,B. Hield misses 2-pt jump shot from 20 ft,,69,63
3,3:26.0,,Defensive rebound by J. Green,69,63
3,3:20.0,,J. Green makes 3-pt jump shot from 26 ft (assist by S. Mack),69,66
3,2:56.0,B. Bogdanović misses 3-pt jump shot from 30 ft,,69,66
3,2:53.0,,Defensive rebound by J. Carter,69,66
3,2:42.0,,Shooting foul by N. Bjelica (drawn by J. Noah),69,66
3,2:42.0,,J. Noah misses free throw 1 of 2,69,66
3,2:42.0,,Offensive rebound by Team,69,66
3,2:42.0,Y. Ferrell enters the game for D. Fox,,69,66
3,2:42.0,,J. Noah makes free throw 2 of 2,69,67
3,2:27.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,69,67
3,2:22.0,,Defensive rebound by J. Noah,69,67
3,2:22.0,,Personal foul by M. Bagley (drawn by J. Noah),69,67
3,2:22.0,Sacramento full timeout,,69,67
3,2:22.0,,J. Noah makes free throw 1 of 2,69,68
3,2:22.0,,J. Noah makes free throw 2 of 2,69,69
3,2:05.0,Shooting foul by J. Green (drawn by M. Bagley),,69,69
3,2:05.0,M. Bagley makes free throw 1 of 2,,70,69
3,2:05.0,M. Bagley makes free throw 2 of 2,,71,69
3,1:53.0,,S. Mack misses 3-pt jump shot from 25 ft,71,69
3,1:51.0,,Offensive rebound by B. Caboclo,71,69
3,1:49.0,,B. Caboclo misses 2-pt layup from 1 ft,71,69
3,1:49.0,Defensive rebound by B. Hield,,71,69
3,1:29.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,71,69
3,1:26.0,,Defensive rebound by J. Noah,71,69
3,1:17.0,,J. Green misses 3-pt jump shot from 23 ft,71,69
3,1:13.0,,Offensive rebound by J. Carter,71,69
3,1:06.0,,B. Caboclo misses 3-pt jump shot from 23 ft,71,69
3,1:03.0,Defensive rebound by Y. Ferrell,,71,69
3,1:00.0,B. Hield makes 3-pt jump shot from 26 ft (assist by Y. Ferrell),,74,69
3,0:46.0,,B. Caboclo misses 3-pt jump shot from 25 ft,74,69
3,0:42.0,Defensive rebound by B. Hield,,74,69
3,0:37.0,Turnover by Y. Ferrell (bad pass; steal by B. Caboclo),,74,69
3,0:33.0,,J. Green makes 2-pt layup from 1 ft (assist by J. Carter),74,71
3,0:18.0,B. Hield makes 3-pt jump shot from 25 ft,,77,71
3,0:01.0,,S. Mack misses 2-pt jump shot from 10 ft,77,71
3,0:01.0,Defensive rebound by N. Bjelica,,77,71
4,11:51.0,Personal foul by S. Mack (drawn by B. Hield),,77,71
4,11:36.0,N. Bjelica misses 2-pt jump shot from 10 ft,,77,71
4,11:35.0,Offensive rebound by B. Hield,,77,71
4,11:35.0,Turnover by Team (shot clock),,77,71
4,11:18.0,,J. Carter makes 2-pt jump shot from 17 ft (assist by S. Mack),77,73
4,10:53.0,B. Hield makes 3-pt jump shot from 27 ft,,80,73
4,10:37.0,,B. Caboclo misses 3-pt jump shot from 23 ft,80,73
4,10:32.0,Defensive rebound by Y. Ferrell,,80,73
4,10:25.0,Turnover by B. Bogdanović (bad pass; steal by J. Noah),,80,73
4,10:16.0,,J. Carter makes 2-pt jump shot from 11 ft,80,75
4,10:13.0,Sacramento full timeout,,80,75
4,9:53.0,M. Bagley misses 2-pt layup from 1 ft (block by B. Caboclo),,80,75
4,9:49.0,,Defensive rebound by S. Mack,80,75
4,9:45.0,,J. Carter misses 3-pt jump shot from 25 ft,80,75
4,9:42.0,Defensive rebound by B. Hield,,80,75
4,9:28.0,M. Bagley misses 2-pt jump shot from 21 ft,,80,75
4,9:25.0,,Defensive rebound by S. Mack,80,75
4,9:13.0,,J. Green misses 2-pt jump shot from 22 ft,80,75
4,9:10.0,Defensive rebound by M. Bagley,,80,75
4,9:04.0,N. Bjelica makes 3-pt jump shot from 29 ft (assist by B. Hield),,83,75
4,8:45.0,,Shooting foul by N. Bjelica (drawn by J. Green),83,75
4,8:45.0,,J. Green makes free throw 1 of 2,83,76
4,8:45.0,D. Fox enters the game for Y. Ferrell,,83,76
4,8:45.0,J. Jackson enters the game for B. Hield,,83,76
4,8:45.0,,J. Jackson enters the game for J. Noah,83,76
4,8:45.0,,J. Green makes free throw 2 of 2,83,77
4,8:34.0,Personal foul by S. Mack (drawn by M. Bagley),,83,77
4,8:34.0,W. Cauley-Stein enters the game for N. Bjelica,,83,77
4,8:34.0,,O. Casspi enters the game for B. Caboclo,83,77
4,8:27.0,J. Jackson misses 3-pt jump shot from 23 ft,,83,77
4,8:24.0,Offensive rebound by W. Cauley-Stein,,83,77
4,8:18.0,M. Bagley makes 2-pt dunk at rim (assist by J. Jackson),,85,77
4,7:54.0,,J. Carter misses 2-pt layup from 2 ft,85,77
4,7:51.0,Defensive rebound by D. Fox,,85,77
4,7:47.0,J. Jackson misses 3-pt jump shot from 24 ft,,85,77
4,7:44.0,Offensive rebound by M. Bagley,,85,77
4,7:43.0,M. Bagley makes 2-pt layup at rim,,87,77
4,7:43.0,,Memphis full timeout,87,77
4,7:43.0,,M. Conley enters the game for J. Carter,87,77
4,7:43.0,,M. Gasol enters the game for S. Mack,87,77
4,7:32.0,,Personal foul by W. Cauley-Stein (drawn by M. Gasol),87,77
4,7:32.0,H. Giles enters the game for W. Cauley-Stein,,87,77
4,7:25.0,,M. Gasol misses 2-pt hook shot from 9 ft,87,77
4,7:22.0,,Offensive rebound by M. Gasol,87,77
4,7:17.0,,M. Gasol makes 2-pt dunk from 1 ft,87,79
4,6:58.0,Offensive foul by D. Fox (drawn by M. Gasol),,87,79
4,6:58.0,Turnover by D. Fox (offensive foul),,87,79
4,6:45.0,,M. Gasol misses 2-pt layup at rim,87,79
4,6:42.0,Defensive rebound by M. Bagley,,87,79
4,6:38.0,D. Fox misses 2-pt jump shot from 22 ft,,87,79
4,6:38.0,,Defensive rebound by Team,87,79
4,6:24.0,,Turnover by M. Conley (bad pass; steal by J. Jackson),87,79
4,6:17.0,Turnover by B. Bogdanović (bad pass; steal by O. Casspi),,87,79
4,6:14.0,,O. Casspi makes 2-pt dunk from 1 ft (assist by M. Conley),87,81
4,6:13.0,Sacramento full timeout,,87,81
4,5:57.0,M. Bagley misses 2-pt jump shot from 7 ft,,87,81
4,5:54.0,,Defensive rebound by M. Conley,87,81
4,5:38.0,,Memphis full timeout,87,81
4,5:38.0,I. Shumpert enters the game for B. Bogdanović,,87,81
4,5:33.0,,M. Gasol makes 2-pt hook shot from 7 ft,87,83
4,5:18.0,D. Fox misses 2-pt jump shot from 8 ft,,87,83
