QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
1,4:38.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Jordan),,18,12
1,4:27.0,,D. Gallinari makes 2-pt dunk from 1 ft,18,14
1,4:08.0,L. Dončić makes 2-pt jump shot from 8 ft,,20,14
1,3:54.0,,P. Beverley makes 2-pt layup from 2 ft,20,16
1,3:51.0,Dallas full timeout,,20,16
1,3:51.0,D. Harris enters the game for W. Matthews,,20,16
1,3:51.0,,L. Williams enters the game for A. Bradley,20,16
1,3:39.0,Personal foul by D. Gallinari (drawn by H. Barnes),,20,16
1,3:28.0,H. Barnes misses 2-pt jump shot from 6 ft (block by D. Gallinari),,20,16
1,3:25.0,,Defensive rebound by D. Gallinari,20,16
1,3:23.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by D. Gallinari),20,18
1,3:08.0,J. Barea makes 2-pt jump shot from 20 ft,,22,18
1,2:54.0,,L. Williams misses 3-pt jump shot from 25 ft,22,18
1,2:51.0,,Offensive rebound by D. Gallinari,22,18
1,2:46.0,,P. Beverley makes 3-pt jump shot from 25 ft,22,21
1,2:24.0,Turnover by H. Barnes (traveling),,22,21
1,2:24.0,D. Finney-Smith enters the game for H. Barnes,,22,21
1,2:24.0,D. Nowitzki enters the game for L. Dončić,,22,21
1,2:24.0,D. Powell enters the game for D. Jordan,,22,21
1,2:24.0,,M. Scott enters the game for D. Gallinari,22,21
1,2:12.0,,T. Harris makes 2-pt dunk at rim (assist by M. Harrell),22,23
1,2:11.0,Dallas full timeout,,22,23
1,1:58.0,J. Barea makes 2-pt jump shot from 12 ft,,24,23
1,1:37.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),24,25
1,1:13.0,D. Harris misses 3-pt jump shot from 29 ft,,24,25
1,1:09.0,,Defensive rebound by M. Harrell,24,25
1,1:05.0,,Personal foul by D. Finney-Smith (drawn by T. Harris),24,25
1,0:54.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by L. Williams),24,28
1,0:35.0,J. Barea misses 2-pt jump shot from 8 ft,,24,28
1,0:32.0,,Defensive rebound by M. Scott,24,28
1,0:16.0,,M. Harrell makes 2-pt hook shot from 5 ft (assist by L. Williams),24,30
1,0:00.0,D. Harris makes 3-pt jump shot from 24 ft (assist by J. Barea),,27,30
2,11:46.0,Personal foul by M. Harrell (drawn by D. Powell),,27,30
2,11:35.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,27,30
2,11:33.0,,Defensive rebound by Team,27,30
2,11:33.0,Loose ball foul by D. Powell (drawn by M. Harrell),,27,30
2,11:22.0,,P. Beverley misses 3-pt jump shot from 26 ft,27,30
2,11:18.0,Defensive rebound by D. Finney-Smith,,27,30
2,11:10.0,Shooting foul by T. Wallace (drawn by D. Powell),,27,30
2,11:10.0,D. Powell misses free throw 1 of 2,,27,30
2,11:10.0,Offensive rebound by Team,,27,30
2,11:10.0,D. Powell makes free throw 2 of 2,,28,30
2,10:57.0,,L. Williams makes 2-pt jump shot from 19 ft,28,32
2,10:45.0,Shooting foul by P. Beverley (drawn by J. Barea),,28,32
2,10:45.0,J. Barea makes free throw 1 of 2,,29,32
2,10:45.0,J. Barea makes free throw 2 of 2,,30,32
2,10:32.0,,Personal foul by D. Nowitzki (drawn by M. Harrell),30,32
2,10:24.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),30,34
2,10:16.0,Turnover by J. Barea (offensive foul),,30,34
2,10:16.0,Offensive foul by J. Barea (drawn by P. Beverley),,30,34
2,10:16.0,Violation by Team (delay of game),,30,34
2,10:06.0,,M. Harrell makes 2-pt layup from 3 ft,30,36
2,9:55.0,Turnover by J. Barea (bad pass; steal by L. Williams),,30,36
2,9:50.0,,L. Williams makes 3-pt jump shot from 25 ft,30,39
2,9:50.0,,Shooting foul by D. Harris (drawn by L. Williams),30,39
2,9:50.0,,L. Williams misses free throw 1 of 1,30,39
2,9:45.0,Defensive rebound by D. Powell,,30,39
2,9:44.0,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),,32,39
2,9:44.0,,Violation by Team (def goaltending),32,39
2,9:38.0,,Turnover by L. Williams (bad pass),32,39
2,9:28.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,32,39
2,9:23.0,,Defensive rebound by L. Williams,32,39
2,9:17.0,,M. Scott misses 3-pt jump shot from 23 ft,32,39
2,9:12.0,,Offensive rebound by M. Harrell,32,39
2,9:12.0,,M. Harrell makes 2-pt dunk from 1 ft,32,41
2,9:04.0,D. Powell misses 2-pt layup from 1 ft,,32,41
2,9:04.0,Offensive rebound by D. Powell,,32,41
2,9:04.0,D. Powell makes 2-pt layup from 1 ft,,34,41
2,9:04.0,Shooting foul by T. Wallace (drawn by D. Powell),,34,41
2,9:04.0,D. Powell makes free throw 1 of 1,,35,41
2,8:49.0,,M. Harrell makes 2-pt hook shot from 5 ft (assist by L. Williams),35,43
2,8:38.0,J. Barea misses 3-pt jump shot from 26 ft,,35,43
2,8:38.0,,Defensive rebound by Team,35,43
2,8:38.0,H. Barnes enters the game for D. Nowitzki,,35,43
2,8:38.0,,S. Gilgeous-Alexander enters the game for T. Wallace,35,43
2,8:21.0,,M. Scott misses 2-pt jump shot from 4 ft,35,43
2,8:20.0,Defensive rebound by D. Powell,,35,43
2,8:16.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Barea),,38,43
2,7:54.0,,Personal foul by D. Powell (drawn by M. Scott),38,43
2,7:54.0,D. Jordan enters the game for D. Powell,,38,43
2,7:42.0,,M. Scott makes 2-pt hook shot from 6 ft (assist by P. Beverley),38,45
2,7:22.0,Turnover by J. Barea (out of bounds lost ball),,38,45
2,7:22.0,,A. Bradley enters the game for M. Scott,38,45
2,7:22.0,,D. Gallinari enters the game for L. Williams,38,45
2,7:12.0,,Turnover by S. Gilgeous-Alexander (offensive foul),38,45
2,7:12.0,,Offensive foul by S. Gilgeous-Alexander (drawn by D. Harris),38,45
2,7:12.0,L. Dončić enters the game for D. Finney-Smith,,38,45
2,7:12.0,W. Matthews enters the game for D. Harris,,38,45
2,6:56.0,J. Barea makes 2-pt jump shot from 19 ft,,40,45
2,6:50.0,,LA Clippers full timeout,40,45
2,6:50.0,,T. Harris enters the game for S. Gilgeous-Alexander,40,45
2,6:42.0,,P. Beverley misses 2-pt layup from 2 ft,40,45
2,6:39.0,Defensive rebound by J. Barea,,40,45
2,6:36.0,H. Barnes misses 3-pt jump shot from 25 ft,,40,45
2,6:33.0,Offensive rebound by D. Jordan,,40,45
2,6:22.0,J. Barea misses 2-pt jump shot from 16 ft,,40,45
2,6:19.0,,Defensive rebound by D. Gallinari,40,45
2,6:10.0,,D. Gallinari makes 2-pt jump shot from 10 ft,40,47
2,5:56.0,Shooting foul by A. Bradley (drawn by L. Dončić),,40,47
2,5:56.0,Offensive rebound by Team,,40,47
2,5:56.0,L. Dončić misses free throw 1 of 2,,40,47
2,5:56.0,J. Brunson enters the game for J. Barea,,40,47
2,5:56.0,L. Dončić makes free throw 2 of 2,,41,47
2,5:30.0,,D. Gallinari misses 3-pt jump shot from 24 ft,41,47
2,5:27.0,,Offensive rebound by P. Beverley,41,47
2,5:25.0,,T. Harris misses 3-pt jump shot from 23 ft,41,47
2,5:23.0,Defensive rebound by D. Jordan,,41,47
2,5:15.0,Personal foul by P. Beverley (drawn by D. Jordan),,41,47
2,5:15.0,D. Jordan makes free throw 1 of 2,,42,47
2,5:15.0,D. Jordan misses free throw 2 of 2,,42,47
2,5:12.0,,Defensive rebound by T. Harris,42,47
2,5:04.0,,Personal foul by L. Dončić (drawn by D. Gallinari),42,47
2,5:04.0,,D. Gallinari makes free throw 1 of 2,42,48
2,5:04.0,,T. Wallace enters the game for P. Beverley,42,48
2,5:04.0,,D. Gallinari makes free throw 2 of 2,42,49
2,4:53.0,D. Jordan misses 2-pt dunk from 2 ft (block by M. Harrell),,42,49
2,4:53.0,Offensive rebound by Team,,42,49
2,4:51.0,W. Matthews makes 2-pt layup from 1 ft (assist by L. Dončić),,44,49
2,4:38.0,,A. Bradley misses 2-pt jump shot from 18 ft,44,49
2,4:36.0,Defensive rebound by D. Jordan,,44,49
2,4:28.0,Turnover by L. Dončić (lost ball; steal by T. Wallace),,44,49
2,4:25.0,,T. Wallace makes 2-pt jump shot from 3 ft (assist by D. Gallinari),44,51
2,4:25.0,,Shooting foul by W. Matthews (drawn by T. Wallace),44,51
2,4:25.0,,T. Wallace misses free throw 1 of 1,44,51
2,4:23.0,Defensive rebound by D. Jordan,,44,51
2,4:05.0,W. Matthews misses 3-pt jump shot from 25 ft,,44,51
2,4:02.0,,Defensive rebound by T. Wallace,44,51
2,3:55.0,,T. Wallace makes 2-pt jump shot from 6 ft,44,53
2,3:55.0,Dallas full timeout,,44,53
2,3:55.0,,B. Marjanović enters the game for M. Harrell,44,53
2,3:41.0,Personal foul by A. Bradley (drawn by L. Dončić),,44,53
2,3:41.0,L. Dončić makes free throw 1 of 2,,45,53
2,3:41.0,L. Dončić makes free throw 2 of 2,,46,53
2,3:28.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by A. Bradley),46,55
2,3:09.0,Personal foul by T. Harris (drawn by L. Dončić),,46,55
2,3:09.0,L. Dončić makes free throw 1 of 2,,47,55
2,3:09.0,L. Dončić misses free throw 2 of 2,,47,55
2,3:06.0,,Defensive rebound by T. Harris,47,55
2,2:57.0,,T. Harris misses 2-pt jump shot from 9 ft,47,55
2,2:54.0,Defensive rebound by J. Brunson,,47,55
2,2:46.0,J. Brunson misses 3-pt jump shot from 25 ft,,47,55
2,2:43.0,,Defensive rebound by D. Gallinari,47,55
2,2:36.0,,T. Harris makes 2-pt layup from 2 ft,47,57
2,2:22.0,Personal foul by A. Bradley (drawn by L. Dončić),,47,57
2,2:22.0,L. Dončić makes free throw 1 of 2,,48,57
2,2:22.0,,L. Williams enters the game for A. Bradley,48,57
2,2:22.0,L. Dončić makes free throw 2 of 2,,49,57
2,2:03.0,,T. Wallace makes 2-pt jump shot from 8 ft (assist by L. Williams),49,59
2,1:44.0,Turnover by W. Matthews (traveling),,49,59
2,1:33.0,,B. Marjanović makes 2-pt dunk from 2 ft (assist by L. Williams),49,61
2,1:19.0,L. Dončić misses 2-pt jump shot from 14 ft,,49,61
2,1:16.0,Offensive rebound by D. Jordan,,49,61
2,1:14.0,J. Brunson makes 3-pt jump shot from 23 ft,,52,61
2,1:02.0,,Shooting foul by L. Dončić (drawn by T. Harris),52,61
2,1:02.0,,T. Harris makes free throw 1 of 2,52,62
2,1:02.0,D. Finney-Smith enters the game for L. Dončić,,52,62
2,1:02.0,,T. Harris makes free throw 2 of 2,52,63
2,0:48.0,J. Brunson misses 2-pt jump shot from 9 ft,,52,63
2,0:46.0,,Defensive rebound by T. Harris,52,63
2,0:42.0,,L. Williams makes 2-pt layup from 2 ft (assist by T. Harris),52,65
2,0:30.0,H. Barnes makes 2-pt jump shot from 11 ft (assist by D. Jordan),,54,65
2,0:12.0,,L. Williams misses 3-pt jump shot from 24 ft,54,65
2,0:08.0,Defensive rebound by D. Jordan,,54,65
2,0:03.0,J. Brunson misses 2-pt jump shot from 16 ft,,54,65
2,0:03.0,Offensive rebound by Team,,54,65
3,11:40.0,H. Barnes makes 2-pt layup from 2 ft,,56,65
3,11:19.0,,T. Harris misses 2-pt jump shot from 14 ft,56,65
3,11:15.0,,Offensive rebound by M. Gortat,56,65
3,11:12.0,,Turnover by D. Gallinari (bad pass; steal by L. Dončić),56,65
3,11:12.0,Personal foul by D. Gallinari (drawn by L. Dončić),,56,65
3,10:54.0,Shooting foul by T. Harris (drawn by W. Matthews),,56,65
3,10:54.0,W. Matthews makes free throw 1 of 2,,57,65
3,10:54.0,W. Matthews makes free throw 2 of 2,,58,65
3,10:36.0,,M. Gortat makes 2-pt hook shot from 6 ft (assist by A. Bradley),58,67
3,10:12.0,H. Barnes misses 2-pt jump shot from 11 ft,,58,67
3,10:09.0,,Defensive rebound by M. Gortat,58,67
3,9:59.0,,Personal foul by J. Brunson (drawn by D. Gallinari),58,67
3,9:46.0,,D. Gallinari misses 2-pt jump shot from 10 ft,58,67
3,9:44.0,Defensive rebound by J. Brunson,,58,67
3,9:24.0,H. Barnes misses 3-pt jump shot from 23 ft,,58,67
3,9:22.0,,Defensive rebound by M. Gortat,58,67
3,9:05.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft (assist by T. Harris),58,69
3,8:42.0,H. Barnes misses 2-pt jump shot from 18 ft,,58,69
3,8:34.0,J. Brunson misses 2-pt layup from 1 ft,,58,69
3,8:34.0,Offensive rebound by J. Brunson,,58,69
3,8:33.0,,Defensive rebound by M. Gortat,58,69
3,8:29.0,,T. Harris misses 2-pt hook shot from 2 ft,58,69
3,8:27.0,Defensive rebound by D. Jordan,,58,69
3,8:18.0,L. Dončić makes 2-pt jump shot from 8 ft,,60,69
3,8:18.0,Shooting foul by A. Bradley (drawn by L. Dončić),,60,69
3,8:18.0,L. Dončić makes free throw 1 of 1,,61,69
3,8:13.0,,Personal foul by J. Brunson (drawn by S. Gilgeous-Alexander),61,69
3,8:13.0,,P. Beverley enters the game for A. Bradley,61,69
3,8:05.0,,D. Gallinari misses 3-pt jump shot from 25 ft,61,69
3,8:02.0,Defensive rebound by D. Jordan,,61,69
3,7:52.0,J. Brunson makes 2-pt layup from 2 ft,,63,69
3,7:52.0,Violation by Team (delay of game),,63,69
3,7:52.0,Violation by Team (delay of game),,63,69
3,7:52.0,,D. Gallinari makes technical free throw,63,70
3,7:42.0,,Personal foul by J. Brunson (drawn by D. Gallinari),63,70
3,7:35.0,,P. Beverley misses 3-pt jump shot from 25 ft,63,70
3,7:29.0,,Offensive rebound by M. Gortat,63,70
3,7:29.0,,M. Gortat misses 2-pt hook shot from 5 ft,63,70
3,7:27.0,Defensive rebound by D. Jordan,,63,70
3,7:14.0,L. Dončić makes 2-pt layup from 2 ft (assist by D. Jordan),,65,70
3,7:14.0,Shooting foul by P. Beverley (drawn by L. Dončić),,65,70
3,7:14.0,L. Dončić makes free throw 1 of 1,,66,70
3,7:00.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by P. Beverley),66,73
3,6:35.0,Personal foul by M. Gortat (drawn by L. Dončić),,66,73
3,6:35.0,,LA Clippers full timeout,66,73
3,6:35.0,,M. Harrell enters the game for M. Gortat,66,73
3,6:35.0,L. Dončić misses free throw 1 of 2,,66,73
3,6:35.0,Offensive rebound by Team,,66,73
3,6:35.0,L. Dončić makes free throw 2 of 2,,67,73
3,6:26.0,,Personal foul by W. Matthews (drawn by D. Gallinari),67,73
3,6:20.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by M. Harrell),67,75
3,6:07.0,L. Dončić makes 3-pt jump shot from 28 ft (assist by J. Brunson),,70,75
3,5:52.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by M. Harrell),70,77
3,5:42.0,J. Brunson misses 2-pt layup from 2 ft,,70,77
3,5:38.0,D. Jordan makes 2-pt dunk from 1 ft,,72,77
3,5:38.0,Offensive rebound by D. Jordan,,72,77
3,5:28.0,,M. Harrell misses 2-pt jump shot from 15 ft,72,77
3,5:25.0,Defensive rebound by D. Jordan,,72,77
3,5:18.0,L. Dončić misses 2-pt jump shot from 12 ft,,72,77
3,5:17.0,Offensive rebound by L. Dončić,,72,77
3,5:06.0,W. Matthews misses 2-pt layup from 3 ft (block by M. Harrell),,72,77
3,5:03.0,,Defensive rebound by D. Gallinari,72,77
3,5:02.0,,D. Gallinari misses 3-pt jump shot from 26 ft,72,77
3,4:57.0,Defensive rebound by D. Jordan,,72,77
3,4:41.0,W. Matthews makes 2-pt hook shot from 3 ft (assist by L. Dončić),,74,77
3,4:31.0,,P. Beverley misses 2-pt layup from 1 ft,74,77
3,4:29.0,Defensive rebound by D. Jordan,,74,77
3,4:24.0,J. Brunson misses 2-pt jump shot from 5 ft,,74,77
3,4:20.0,,Defensive rebound by T. Harris,74,77
3,4:15.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by T. Harris),74,79
3,4:13.0,Dallas full timeout,,74,79
3,4:13.0,J. Barea enters the game for J. Brunson,,74,79
3,4:13.0,,L. Williams enters the game for S. Gilgeous-Alexander,74,79
3,3:52.0,H. Barnes misses 2-pt layup from 1 ft,,74,79
3,3:49.0,,Defensive rebound by D. Gallinari,74,79
3,3:40.0,,D. Gallinari makes 2-pt layup from 1 ft (assist by M. Harrell),74,81
3,3:22.0,L. Dončić makes 2-pt jump shot from 13 ft (assist by D. Jordan),,76,81
3,3:09.0,,T. Harris misses 2-pt jump shot from 8 ft,76,81
3,3:05.0,,Offensive rebound by T. Harris,76,81
3,3:05.0,,T. Harris makes 2-pt layup at rim,76,83
3,2:59.0,Turnover by L. Dončić (bad pass; steal by L. Williams),,76,83
3,2:50.0,,L. Williams makes 2-pt jump shot from 7 ft (assist by T. Harris),76,85
3,2:32.0,L. Dončić makes 2-pt jump shot from 6 ft,,78,85
3,2:32.0,Shooting foul by M. Harrell (drawn by L. Dončić),,78,85
3,2:32.0,D. Harris enters the game for W. Matthews,,78,85
3,2:32.0,,M. Scott enters the game for D. Gallinari,78,85
3,2:32.0,L. Dončić misses free throw 1 of 1,,78,85
3,2:28.0,,Defensive rebound by T. Harris,78,85
3,2:18.0,,Turnover by L. Williams (bad pass; steal by D. Jordan),78,85
3,2:12.0,D. Jordan makes 2-pt dunk from 2 ft (assist by L. Dončić),,80,85
3,1:50.0,,M. Harrell misses 2-pt hook shot from 7 ft,80,85
3,1:48.0,Defensive rebound by D. Harris,,80,85
3,1:36.0,L. Dončić misses 3-pt jump shot from 27 ft,,80,85
3,1:35.0,,Defensive rebound by P. Beverley,80,85
3,1:31.0,,Turnover by L. Williams (bad pass; steal by L. Dončić),80,85
3,1:25.0,L. Dončić misses 2-pt layup from 2 ft,,80,85
3,1:20.0,L. Dončić misses 2-pt layup from 1 ft (block by M. Scott),,80,85
3,1:20.0,Offensive rebound by L. Dončić,,80,85
3,1:20.0,Offensive rebound by L. Dončić,,80,85
3,1:14.0,D. Harris makes 2-pt layup from 1 ft (assist by J. Barea),,82,85
3,1:12.0,,LA Clippers full timeout,82,85
3,1:12.0,D. Finney-Smith enters the game for L. Dončić,,82,85
3,1:12.0,S. Mejri enters the game for D. Jordan,,82,85
3,1:12.0,,T. Wallace enters the game for T. Harris,82,85
3,1:01.0,,L. Williams makes 2-pt jump shot from 14 ft,82,87
3,0:38.0,D. Harris misses 2-pt jump shot from 8 ft,,82,87
3,0:35.0,,Defensive rebound by P. Beverley,82,87
3,0:21.0,,L. Williams makes 2-pt jump shot from 16 ft,82,89
3,0:03.0,J. Barea misses 3-pt jump shot from 25 ft,,82,89
3,0:00.0,,Defensive rebound by M. Scott,82,89
4,11:46.0,,T. Wallace misses 2-pt jump shot from 8 ft,82,89
4,11:43.0,Defensive rebound by M. Kleber,,82,89
4,11:41.0,D. Harris makes 2-pt layup from 1 ft,,84,89
4,11:41.0,Shooting foul by M. Scott (drawn by D. Harris),,84,89
4,11:41.0,D. Harris makes free throw 1 of 1,,85,89
4,11:27.0,,Personal foul by S. Mejri (drawn by M. Harrell),85,89
4,11:19.0,,Turnover by L. Williams (lost ball; steal by S. Mejri),85,89
4,11:08.0,J. Barea makes 2-pt jump shot from 19 ft (assist by S. Mejri),,87,89
4,10:46.0,,Turnover by T. Wallace (traveling),87,89
4,10:46.0,,A. Bradley enters the game for T. Wallace,87,89
4,10:31.0,D. Harris makes 3-pt jump shot from 24 ft (assist by J. Barea),,90,89
4,10:23.0,,Shooting foul by S. Mejri (drawn by L. Williams),90,89
4,10:23.0,,L. Williams makes free throw 1 of 2,90,90
4,10:23.0,,L. Williams misses free throw 2 of 2,90,90
4,10:20.0,Defensive rebound by D. Finney-Smith,,90,90
4,10:10.0,J. Barea makes 2-pt layup from 1 ft,,92,90
4,9:59.0,,L. Williams makes 2-pt jump shot from 7 ft,92,92
4,9:59.0,,Shooting foul by S. Mejri (drawn by L. Williams),92,92
4,9:59.0,,B. Marjanović enters the game for M. Harrell,92,92
4,9:59.0,,L. Williams makes free throw 1 of 1,92,93
4,9:44.0,D. Harris misses 3-pt jump shot from 25 ft,,92,93
4,9:41.0,,Defensive rebound by B. Marjanović,92,93
4,9:20.0,,M. Scott misses 3-pt jump shot from 22 ft,92,93
4,9:18.0,Defensive rebound by D. Harris,,92,93
4,9:08.0,J. Barea makes 2-pt jump shot from 15 ft (assist by S. Mejri),,94,93
4,8:59.0,,L. Williams makes 2-pt layup from 1 ft,94,95
4,8:59.0,,Shooting foul by S. Mejri (drawn by L. Williams),94,95
4,8:59.0,,S. Gilgeous-Alexander enters the game for P. Beverley,94,95
4,8:59.0,,L. Williams makes free throw 1 of 1,94,96
4,8:50.0,Flagrant foul type 1 by B. Marjanović (drawn by S. Mejri),,94,96
4,8:50.0,S. Mejri makes flagrant free throw 1 of 2,,95,96
4,8:50.0,S. Mejri misses flagrant free throw 2 of 2,,95,96
4,8:50.0,Offensive rebound by Team,,95,96
4,8:43.0,D. Harris misses 3-pt jump shot from 25 ft,,95,96
4,8:40.0,,Defensive rebound by A. Bradley,95,96
4,8:37.0,,Shooting foul by M. Kleber (drawn by B. Marjanović),95,96
4,8:37.0,,B. Marjanović makes free throw 1 of 2,95,97
4,8:37.0,,B. Marjanović makes free throw 2 of 2,95,98
4,8:18.0,J. Barea makes 2-pt jump shot from 17 ft,,97,98
4,8:03.0,,L. Williams misses 2-pt jump shot from 17 ft,97,98
4,7:58.0,Defensive rebound by J. Barea,,97,98
4,7:55.0,M. Kleber makes 2-pt dunk at rim (assist by J. Barea),,99,98
4,7:36.0,,M. Scott misses 3-pt jump shot from 25 ft,99,98
4,7:33.0,Defensive rebound by M. Kleber,,99,98
4,7:26.0,Shooting foul by L. Williams (drawn by D. Finney-Smith),,99,98
4,7:26.0,D. Finney-Smith makes free throw 1 of 2,,100,98
4,7:26.0,,D. Gallinari enters the game for M. Scott,100,98
4,7:26.0,,T. Harris enters the game for L. Williams,100,98
4,7:26.0,D. Finney-Smith makes free throw 2 of 2,,101,98
4,7:10.0,,Personal foul by D. Finney-Smith (drawn by T. Harris),101,98
4,7:10.0,,T. Harris makes free throw 1 of 2,101,99
4,7:10.0,,T. Harris makes free throw 2 of 2,101,100
4,6:56.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by J. Barea),,103,100
4,6:41.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft (assist by D. Gallinari),103,102
4,6:32.0,Personal foul by A. Bradley (drawn by D. Harris),,103,102
4,6:32.0,,LA Clippers full timeout,103,102
4,6:32.0,,M. Harrell enters the game for B. Marjanović,103,102
4,6:23.0,D. Harris misses 2-pt layup from 1 ft,,103,102
4,6:18.0,S. Mejri makes 2-pt dunk from 1 ft,,105,102
4,6:18.0,Offensive rebound by S. Mejri,,105,102
4,6:06.0,,T. Harris misses 2-pt jump shot from 9 ft,105,102
4,6:01.0,,M. Harrell makes 2-pt layup at rim,105,104
4,6:01.0,,Offensive rebound by M. Harrell,105,104
4,5:43.0,S. Mejri makes 2-pt layup from 1 ft (assist by J. Barea),,107,104
