QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
2,9:41.0,T. Johnson enters the game for E. Okobo,,27,39
2,9:31.0,T. Johnson misses 2-pt jump shot from 3 ft,,27,39
2,9:28.0,Offensive rebound by K. Oubre,,27,39
2,9:24.0,Shooting foul by G. Temple (drawn by K. Oubre),,27,39
2,9:24.0,K. Oubre makes free throw 1 of 2,,28,39
2,9:24.0,,S. Thornwell enters the game for G. Temple,28,39
2,9:24.0,K. Oubre makes free throw 2 of 2,,29,39
2,9:15.0,,L. Williams makes 2-pt layup from 1 ft,29,41
2,9:06.0,J. Crawford makes 2-pt layup from 2 ft,,31,41
2,9:01.0,,Shooting foul by M. Bridges (drawn by T. Wallace),31,41
2,9:01.0,,T. Wallace makes free throw 1 of 2,31,42
2,9:01.0,D. Ayton enters the game for R. Holmes,,31,42
2,9:01.0,,T. Wallace makes free throw 2 of 2,31,43
2,8:45.0,Turnover by J. Crawford (back court),,31,43
2,8:27.0,,M. Harrell misses 2-pt jump shot from 15 ft,31,43
2,8:24.0,Defensive rebound by T. Johnson,,31,43
2,8:08.0,D. Ayton makes 2-pt jump shot from 11 ft,,33,43
2,7:59.0,,M. Harrell makes 2-pt hook shot from 8 ft (assist by L. Williams),33,45
2,7:41.0,K. Oubre misses 2-pt layup from 1 ft,,33,45
2,7:40.0,,Defensive rebound by T. Wallace,33,45
2,7:33.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),33,47
2,7:33.0,,Shooting foul by K. Oubre (drawn by M. Harrell),33,47
2,7:33.0,D. Booker enters the game for M. Bridges,,33,47
2,7:33.0,J. Jackson enters the game for J. Crawford,,33,47
2,7:33.0,,M. Harrell misses free throw 1 of 1,33,47
2,7:28.0,,Offensive rebound by S. Thornwell,33,47
2,7:27.0,,Personal foul by J. Jackson (drawn by L. Williams),33,47
2,7:24.0,,Shooting foul by D. Booker (drawn by M. Harrell),33,47
2,7:24.0,,M. Harrell makes free throw 1 of 2,33,48
2,7:24.0,,M. Harrell makes free throw 2 of 2,33,49
2,7:13.0,Personal foul by S. Thornwell (drawn by D. Booker),,33,49
2,7:03.0,J. Jackson makes 2-pt layup from 1 ft (assist by D. Ayton),,35,49
2,6:42.0,,M. Harrell makes 2-pt hook shot from 4 ft (assist by L. Williams),35,51
2,6:33.0,Personal foul by S. Thornwell (drawn by D. Booker),,35,51
2,6:33.0,,LA Clippers full timeout,35,51
2,6:33.0,,P. Beverley enters the game for J. Green,35,51
2,6:33.0,,D. Gallinari enters the game for S. Thornwell,35,51
2,6:33.0,D. Booker makes free throw 1 of 2,,36,51
2,6:33.0,D. Booker makes free throw 2 of 2,,37,51
2,6:24.0,,Personal foul by J. Jackson (drawn by D. Gallinari),37,51
2,6:24.0,,D. Gallinari misses free throw 1 of 2,37,51
2,6:24.0,,Offensive rebound by Team,37,51
2,6:24.0,M. Bridges enters the game for J. Jackson,,37,51
2,6:24.0,,D. Gallinari makes free throw 2 of 2,37,52
2,6:05.0,Turnover by M. Bridges (bad pass),,37,52
2,6:05.0,,L. Shamet enters the game for T. Wallace,37,52
2,5:58.0,,Personal foul by M. Bridges (drawn by D. Gallinari),37,52
2,5:58.0,,D. Gallinari makes free throw 1 of 2,37,53
2,5:58.0,,D. Gallinari makes free throw 2 of 2,37,54
2,5:42.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by D. Ayton),,40,54
2,5:30.0,,Turnover by D. Gallinari (bad pass),40,54
2,5:19.0,Shooting foul by P. Beverley (drawn by D. Booker),,40,54
2,5:19.0,D. Booker makes free throw 1 of 2,,41,54
2,5:19.0,,S. Gilgeous-Alexander enters the game for L. Williams,41,54
2,5:19.0,D. Booker makes free throw 2 of 2,,42,54
2,4:59.0,,L. Shamet misses 3-pt jump shot from 26 ft,42,54
2,4:55.0,Defensive rebound by D. Booker,,42,54
2,4:48.0,D. Ayton misses 2-pt layup from 2 ft (block by M. Harrell),,42,54
2,4:44.0,Offensive rebound by D. Ayton,,42,54
2,4:44.0,D. Ayton makes 2-pt layup at rim,,44,54
2,4:31.0,,M. Harrell misses 2-pt hook shot from 9 ft,44,54
2,4:27.0,,Offensive rebound by D. Gallinari,44,54
2,4:26.0,,M. Harrell misses 2-pt layup at rim,44,54
2,4:26.0,Defensive rebound by K. Oubre,,44,54
2,4:15.0,D. Ayton makes 2-pt layup from 1 ft (assist by D. Booker),,46,54
2,4:15.0,Shooting foul by L. Shamet (drawn by D. Ayton),,46,54
2,4:15.0,D. Ayton makes free throw 1 of 1,,47,54
2,4:06.0,,Personal foul by K. Oubre (drawn by S. Gilgeous-Alexander),47,54
2,4:06.0,,S. Gilgeous-Alexander makes free throw 1 of 2,47,55
2,4:06.0,,I. Zubac enters the game for M. Harrell,47,55
2,4:06.0,,S. Gilgeous-Alexander makes free throw 2 of 2,47,56
2,3:52.0,D. Booker misses 2-pt jump shot from 23 ft,,47,56
2,3:42.0,Offensive rebound by D. Ayton,,47,56
2,3:36.0,D. Ayton misses 2-pt jump shot from 12 ft,,47,56
2,3:34.0,,Defensive rebound by I. Zubac,47,56
2,3:26.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by I. Zubac),47,58
2,3:24.0,Phoenix full timeout,,47,58
2,3:24.0,J. Crawford enters the game for D. Ayton,,47,58
2,3:24.0,R. Holmes enters the game for K. Oubre,,47,58
2,3:06.0,D. Booker misses 2-pt jump shot from 16 ft,,47,58
2,3:05.0,,Defensive rebound by Team,47,58
2,2:51.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft (block by D. Booker),47,58
2,2:46.0,Defensive rebound by D. Booker,,47,58
2,2:39.0,T. Johnson misses 3-pt jump shot from 25 ft,,47,58
2,2:36.0,,Defensive rebound by D. Gallinari,47,58
2,2:33.0,,Personal foul by T. Johnson (drawn by D. Gallinari),47,58
2,2:33.0,,D. Gallinari makes free throw 1 of 2,47,59
2,2:33.0,,D. Gallinari misses free throw 2 of 2,47,59
2,2:30.0,Defensive rebound by R. Holmes,,47,59
2,2:12.0,J. Crawford misses 3-pt jump shot from 27 ft,,47,59
2,2:09.0,,Defensive rebound by I. Zubac,47,59
2,2:02.0,,I. Zubac misses 2-pt layup from 2 ft,47,59
2,2:00.0,Defensive rebound by T. Johnson,,47,59
2,1:57.0,R. Holmes misses 2-pt layup from 2 ft (block by D. Gallinari),,47,59
2,1:57.0,Offensive rebound by Team,,47,59
2,1:46.0,D. Booker misses 2-pt layup from 3 ft (block by I. Zubac),,47,59
2,1:43.0,,Defensive rebound by P. Beverley,47,59
2,1:41.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),47,62
2,1:22.0,Turnover by D. Booker (lost ball; steal by P. Beverley),,47,62
2,1:18.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,47,64
2,0:59.0,J. Crawford makes 2-pt jump shot from 18 ft,,49,64
2,0:47.0,,P. Beverley misses 3-pt jump shot from 27 ft,49,64
2,0:44.0,Defensive rebound by T. Johnson,,49,64
2,0:39.0,D. Booker makes 2-pt layup from 2 ft (assist by J. Crawford),,51,64
2,0:34.0,,D. Gallinari makes 3-pt jump shot from 25 ft,51,67
2,0:14.0,R. Holmes misses 2-pt jump shot from 2 ft,,51,67
2,0:11.0,,Defensive rebound by I. Zubac,51,67
3,11:51.0,Personal foul by P. Beverley (drawn by D. Booker),,51,67
3,11:40.0,Turnover by J. Jackson (bad pass),,51,67
3,11:28.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Shamet),51,69
3,11:08.0,D. Ayton misses 2-pt hook shot from 5 ft,,51,69
3,11:05.0,,Defensive rebound by P. Beverley,51,69
3,11:00.0,,Personal foul by D. Booker (drawn by D. Gallinari),51,69
3,10:46.0,,Turnover by L. Shamet (bad pass; steal by M. Bridges),51,69
3,10:34.0,T. Johnson misses 3-pt jump shot from 24 ft,,51,69
3,10:31.0,,Defensive rebound by P. Beverley,51,69
3,10:29.0,,Offensive foul by P. Beverley (drawn by J. Jackson),51,69
3,10:29.0,,Turnover by P. Beverley (offensive foul),51,69
3,10:14.0,D. Ayton misses 2-pt hook shot from 6 ft,,51,69
3,10:09.0,Offensive rebound by M. Bridges,,51,69
3,10:09.0,J. Jackson misses 2-pt layup from 3 ft (block by D. Gallinari),,51,69
3,10:09.0,Offensive rebound by Team,,51,69
3,10:06.0,D. Booker makes 2-pt jump shot from 12 ft (assist by T. Johnson),,53,69
3,9:53.0,,Turnover by L. Shamet (bad pass; steal by J. Jackson),53,69
3,9:49.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Jackson),,55,69
3,9:36.0,,L. Shamet misses 2-pt jump shot from 10 ft,55,69
3,9:35.0,Defensive rebound by Team,,55,69
3,9:25.0,Turnover by D. Booker (lost ball; steal by S. Gilgeous-Alexander),,55,69
3,9:20.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),55,72
3,8:59.0,J. Jackson misses 2-pt jump shot from 10 ft,,55,72
3,8:55.0,,Defensive rebound by D. Gallinari,55,72
3,8:51.0,,D. Gallinari makes 3-pt jump shot from 28 ft (assist by P. Beverley),55,75
3,8:50.0,Phoenix full timeout,,55,75
3,8:41.0,Offensive foul by J. Jackson (drawn by P. Beverley),,55,75
3,8:41.0,Turnover by J. Jackson (offensive foul),,55,75
3,8:23.0,,D. Gallinari makes 3-pt jump shot from 27 ft (assist by L. Shamet),55,78
3,7:56.0,T. Johnson misses 3-pt jump shot from 23 ft (block by S. Gilgeous-Alexander),,55,78
3,7:53.0,,Defensive rebound by D. Gallinari,55,78
3,7:49.0,,Personal foul by J. Jackson (drawn by D. Gallinari),55,78
3,7:49.0,E. Okobo enters the game for J. Jackson,,55,78
3,7:49.0,K. Oubre enters the game for T. Johnson,,55,78
3,7:34.0,,P. Beverley makes 2-pt layup from 1 ft,55,80
3,7:26.0,Personal foul by I. Zubac (drawn by D. Booker),,55,80
3,7:21.0,D. Booker misses 3-pt jump shot from 23 ft,,55,80
3,7:18.0,,Defensive rebound by S. Gilgeous-Alexander,55,80
3,7:12.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft,55,82
3,6:56.0,Personal foul by P. Beverley (drawn by D. Booker),,55,82
3,6:52.0,Personal foul by I. Zubac (drawn by D. Booker),,55,82
3,6:52.0,,S. Thornwell enters the game for P. Beverley,55,82
3,6:43.0,K. Oubre makes 2-pt jump shot from 16 ft,,57,82
3,6:34.0,,Shooting foul by E. Okobo (drawn by S. Gilgeous-Alexander),57,82
3,6:34.0,,S. Gilgeous-Alexander misses free throw 1 of 2,57,82
3,6:34.0,,Offensive rebound by Team,57,82
3,6:34.0,,S. Gilgeous-Alexander misses free throw 2 of 2,57,82
3,6:31.0,Defensive rebound by D. Ayton,,57,82
3,6:21.0,Personal foul by S. Thornwell (drawn by D. Booker),,57,82
3,6:21.0,D. Booker makes free throw 1 of 2,,58,82
3,6:21.0,D. Booker makes free throw 2 of 2,,59,82
3,6:09.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by D. Booker),59,82
3,6:05.0,M. Bridges misses 3-pt jump shot from 24 ft,,59,82
3,6:01.0,,Defensive rebound by D. Gallinari,59,82
3,5:54.0,,I. Zubac makes 2-pt hook shot from 5 ft (assist by D. Gallinari),59,84
3,5:36.0,K. Oubre misses 3-pt jump shot from 25 ft,,59,84
3,5:30.0,,Defensive rebound by S. Gilgeous-Alexander,59,84
3,5:26.0,,Shooting foul by M. Bridges (drawn by I. Zubac),59,84
3,5:26.0,,I. Zubac makes free throw 1 of 2,59,85
3,5:26.0,,J. Green enters the game for D. Gallinari,59,85
3,5:26.0,,I. Zubac makes free throw 2 of 2,59,86
3,5:06.0,M. Bridges misses 3-pt jump shot from 26 ft,,59,86
3,5:04.0,,Defensive rebound by I. Zubac,59,86
3,4:59.0,,Shooting foul by D. Ayton (drawn by I. Zubac),59,86
3,4:59.0,,I. Zubac makes free throw 1 of 2,59,87
3,4:59.0,D. Bender enters the game for D. Ayton,,59,87
3,4:59.0,J. Crawford enters the game for D. Booker,,59,87
3,4:59.0,R. Holmes enters the game for M. Bridges,,59,87
3,4:59.0,,I. Zubac makes free throw 2 of 2,59,88
3,4:40.0,K. Oubre misses 2-pt dunk from 2 ft,,59,88
3,4:38.0,,Defensive rebound by S. Thornwell,59,88
3,4:33.0,,Turnover by S. Thornwell (lost ball; steal by J. Crawford),59,88
3,4:27.0,Turnover by D. Bender (bad pass; steal by S. Gilgeous-Alexander),,59,88
3,4:15.0,,I. Zubac makes 2-pt hook shot from 7 ft (assist by L. Shamet),59,90
3,4:15.0,Phoenix full timeout,,59,90
3,4:03.0,K. Oubre makes 2-pt dunk from 2 ft (assist by J. Crawford),,61,90
3,3:46.0,,J. Green misses 3-pt jump shot from 25 ft,61,90
3,3:43.0,Defensive rebound by J. Crawford,,61,90
3,3:40.0,Shooting foul by J. Green (drawn by R. Holmes),,61,90
3,3:40.0,R. Holmes makes free throw 1 of 2,,62,90
3,3:40.0,,L. Williams enters the game for S. Gilgeous-Alexander,62,90
3,3:40.0,R. Holmes misses free throw 2 of 2,,62,90
3,3:37.0,,Defensive rebound by J. Green,62,90
3,3:24.0,,L. Shamet misses 2-pt layup from 1 ft,62,90
3,3:22.0,Defensive rebound by D. Bender,,62,90
3,3:10.0,J. Crawford makes 2-pt jump shot from 16 ft (assist by E. Okobo),,64,90
3,2:43.0,,I. Zubac misses 2-pt hook shot from 4 ft,64,90
3,2:40.0,Defensive rebound by R. Holmes,,64,90
3,2:35.0,Turnover by J. Crawford (bad pass; steal by J. Green),,64,90
3,2:33.0,,Shooting foul by J. Crawford (drawn by L. Williams),64,90
3,2:33.0,,L. Williams makes free throw 1 of 2,64,91
3,2:33.0,,M. Harrell enters the game for L. Shamet,64,91
3,2:33.0,,G. Temple enters the game for I. Zubac,64,91
3,2:33.0,,L. Williams makes free throw 2 of 2,64,92
3,2:19.0,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Crawford),,66,92
3,2:04.0,,G. Temple misses 3-pt jump shot from 26 ft,66,92
3,2:00.0,Defensive rebound by R. Holmes,,66,92
3,1:50.0,E. Okobo makes 3-pt jump shot from 28 ft,,69,92
3,1:35.0,,L. Williams misses 2-pt jump shot from 1 ft,69,92
3,1:31.0,,Offensive rebound by J. Green,69,92
3,1:31.0,,J. Green makes 2-pt layup at rim,69,94
3,1:26.0,Turnover by E. Okobo (bad pass; steal by M. Harrell),,69,94
3,1:24.0,,L. Williams makes 2-pt layup from 2 ft (assist by M. Harrell),69,96
3,1:06.0,Shooting foul by J. Green (drawn by J. Crawford),,69,96
3,1:06.0,J. Crawford makes free throw 1 of 2,,70,96
3,1:06.0,T. Daniels enters the game for E. Okobo,,70,96
3,1:06.0,,T. Wallace enters the game for S. Thornwell,70,96
3,1:06.0,J. Crawford makes free throw 2 of 2,,71,96
3,0:53.0,,J. Green misses 2-pt layup from 2 ft (block by J. Crawford),71,96
3,0:49.0,Defensive rebound by J. Crawford,,71,96
3,0:47.0,K. Oubre makes 2-pt jump shot from 10 ft (assist by J. Crawford),,73,96
3,0:40.0,,L. Williams misses 2-pt layup from 3 ft,73,96
3,0:39.0,,Offensive rebound by M. Harrell,73,96
3,0:39.0,,M. Harrell misses 2-pt layup from 1 ft (block by R. Holmes),73,96
3,0:34.0,,Offensive rebound by M. Harrell,73,96
3,0:33.0,,M. Harrell makes 2-pt dunk from 1 ft,73,98
3,0:33.0,J. Crawford makes 3-pt jump shot from 27 ft,,76,98
3,0:29.0,,L. Williams makes 2-pt jump shot from 21 ft,76,100
3,0:06.0,R. Holmes makes 2-pt layup from 3 ft (assist by J. Crawford),,78,100
3,0:06.0,Shooting foul by J. Green (drawn by R. Holmes),,78,100
3,0:06.0,E. Okobo enters the game for J. Crawford,,78,100
3,0:06.0,R. Holmes makes free throw 1 of 1,,79,100
3,0:00.0,,M. Harrell misses 3-pt jump shot from 26 ft,79,100
3,0:00.0,,Offensive rebound by Team,79,100
4,11:42.0,,T. Wallace makes 2-pt dunk from 2 ft (assist by J. Green),79,102
4,11:19.0,K. Oubre misses 3-pt jump shot from 24 ft,,79,102
4,11:15.0,,Defensive rebound by J. Green,79,102
4,11:08.0,,T. Wallace makes 2-pt hook shot from 5 ft,79,104
4,10:47.0,R. Holmes misses 2-pt layup from 3 ft (block by J. Green),,79,104
4,10:44.0,,Defensive rebound by G. Temple,79,104
4,10:43.0,,G. Temple makes 2-pt layup from 2 ft (assist by L. Williams),79,106
4,10:43.0,,Shooting foul by T. Daniels (drawn by G. Temple),79,106
4,10:43.0,D. Ayton enters the game for J. Crawford,,79,106
4,10:43.0,D. Booker enters the game for R. Holmes,,79,106
4,10:43.0,,G. Temple misses free throw 1 of 1,79,106
4,10:39.0,Defensive rebound by D. Ayton,,79,106
4,10:22.0,D. Bender misses 3-pt jump shot from 25 ft,,79,106
4,10:22.0,Offensive rebound by K. Oubre,,79,106
4,10:22.0,Shooting foul by T. Wallace (drawn by K. Oubre),,79,106
4,10:22.0,K. Oubre misses free throw 1 of 2,,79,106
4,10:22.0,Offensive rebound by Team,,79,106
4,10:22.0,K. Oubre makes free throw 2 of 2,,80,106
4,10:11.0,,J. Green makes 3-pt jump shot from 27 ft (assist by L. Williams),80,109
4,9:50.0,D. Ayton misses 2-pt hook shot from 5 ft,,80,109
4,9:47.0,,Defensive rebound by J. Green,80,109
4,9:31.0,,M. Harrell misses 2-pt hook shot from 6 ft,80,109
4,9:28.0,Defensive rebound by K. Oubre,,80,109
4,9:24.0,Turnover by K. Oubre (lost ball; steal by G. Temple),,80,109
4,9:22.0,,Turnover by T. Wallace (bad pass),80,109
4,9:12.0,Personal foul by G. Temple (drawn by D. Booker),,80,109
4,9:02.0,T. Daniels makes 2-pt jump shot from 18 ft,,82,109
4,8:55.0,,L. Williams makes 2-pt layup from 2 ft,82,111
4,8:37.0,D. Ayton makes 2-pt dunk from 3 ft (assist by D. Booker),,84,111
4,8:19.0,,L. Williams makes 2-pt layup from 3 ft (assist by M. Harrell),84,113
4,8:06.0,T. Daniels misses 3-pt jump shot from 26 ft,,84,113
4,8:03.0,Offensive rebound by D. Booker,,84,113
4,7:59.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by D. Booker),,87,113
4,7:41.0,,L. Williams makes 2-pt jump shot from 2 ft,87,115
4,7:26.0,Turnover by D. Booker (bad pass; steal by T. Wallace),,87,115
4,7:22.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by T. Wallace),87,117
4,7:22.0,Phoenix full timeout,,87,117
4,7:22.0,T. Johnson enters the game for D. Bender,,87,117
4,7:04.0,T. Daniels misses 3-pt jump shot from 26 ft,,87,117
4,7:02.0,,Defensive rebound by M. Harrell,87,117
4,6:54.0,,Shooting foul by T. Daniels (drawn by M. Harrell),87,117
4,6:54.0,,M. Harrell misses free throw 1 of 2,87,117
4,6:54.0,,Offensive rebound by Team,87,117
4,6:54.0,,M. Harrell makes free throw 2 of 2,87,118
4,6:30.0,Turnover by Team (shot clock),,87,118
4,6:23.0,,L. Williams misses 3-pt jump shot from 27 ft,87,118
4,6:19.0,Defensive rebound by K. Oubre,,87,118
