QUARTER,TIME_REMAINING,ATLANTA_ACTION,MINNESOTA_ACTION,ATLANTA_SCORE,MINNESOTA_SCORE
1,6:09.0,T. Young makes 2-pt jump shot from 6 ft,,21,15
1,5:50.0,,Turnover by T. Gibson (bad pass; steal by V. Carter),21,15
1,5:38.0,V. Carter misses 3-pt jump shot from 25 ft,,21,15
1,5:35.0,Offensive rebound by Team,,21,15
1,5:28.0,T. Young makes 2-pt layup from 1 ft,,23,15
1,5:13.0,,D. Rose misses 2-pt jump shot from 6 ft,23,15
1,5:10.0,,Offensive rebound by T. Gibson,23,15
1,5:10.0,,T. Gibson misses 2-pt layup at rim,23,15
1,5:08.0,Defensive rebound by V. Carter,,23,15
1,5:04.0,K. Bazemore makes 2-pt layup at rim,,25,15
1,4:57.0,,Minnesota full timeout,25,15
1,4:57.0,J. Lin enters the game for T. Young,,25,15
1,4:57.0,,J. Okogie enters the game for R. Covington,25,15
1,4:57.0,,D. Šarić enters the game for T. Gibson,25,15
1,4:49.0,,D. Rose misses 3-pt jump shot from 25 ft,25,15
1,4:47.0,Defensive rebound by Team,,25,15
1,4:39.0,V. Carter makes 3-pt jump shot from 26 ft (assist by J. Lin),,28,15
1,4:26.0,,A. Wiggins makes 2-pt jump shot from 12 ft,28,17
1,4:15.0,A. Poythress makes 2-pt layup from 2 ft (assist by V. Carter),,30,17
1,4:15.0,Shooting foul by D. Šarić (drawn by A. Poythress),,30,17
1,4:15.0,A. Poythress misses free throw 1 of 1,,30,17
1,4:13.0,,Defensive rebound by D. Šarić,30,17
1,4:08.0,,Personal foul by K. Bazemore (drawn by A. Wiggins),30,17
1,4:08.0,,A. Wiggins makes free throw 1 of 2,30,18
1,4:08.0,J. Anderson enters the game for K. Bazemore,,30,18
1,4:08.0,,A. Wiggins makes free throw 2 of 2,30,19
1,3:52.0,V. Carter misses 3-pt jump shot from 27 ft,,30,19
1,3:50.0,Offensive rebound by A. Poythress,,30,19
1,3:44.0,J. Lin misses 2-pt layup from 1 ft,,30,19
1,3:41.0,,Defensive rebound by K. Towns,30,19
1,3:31.0,,D. Šarić misses 2-pt hook shot from 5 ft,30,19
1,3:28.0,Defensive rebound by V. Carter,,30,19
1,3:24.0,Turnover by V. Carter (bad pass),,30,19
1,3:11.0,,D. Rose misses 2-pt layup from 2 ft (block by D. Bembry),30,19
1,3:11.0,,Offensive rebound by Team,30,19
1,3:06.0,,D. Šarić misses 2-pt jump shot from 13 ft,30,19
1,3:05.0,Defensive rebound by D. Bembry,,30,19
1,2:54.0,A. Poythress misses 2-pt layup from 2 ft (block by K. Towns),,30,19
1,2:54.0,,Defensive rebound by K. Towns,30,19
1,2:50.0,,Turnover by K. Towns (bad pass; steal by J. Lin),30,19
1,2:47.0,V. Carter makes 3-pt jump shot from 25 ft (assist by J. Lin),,33,19
1,2:35.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Rose),33,22
1,2:20.0,Personal foul by D. Rose (drawn by J. Lin),,33,22
1,2:20.0,,G. Dieng enters the game for D. Rose,33,22
1,2:20.0,,T. Jones enters the game for K. Towns,33,22
1,2:07.0,A. Poythress misses 3-pt jump shot from 23 ft,,33,22
1,2:05.0,,Defensive rebound by J. Okogie,33,22
1,1:50.0,,G. Dieng misses 3-pt jump shot from 23 ft,33,22
1,1:45.0,Defensive rebound by J. Anderson,,33,22
1,1:44.0,Shooting foul by G. Dieng (drawn by A. Poythress),,33,22
1,1:44.0,A. Poythress makes free throw 1 of 2,,34,22
1,1:44.0,K. Bazemore enters the game for V. Carter,,34,22
1,1:44.0,A. Poythress makes free throw 2 of 2,,35,22
1,1:32.0,,A. Wiggins misses 2-pt jump shot from 21 ft,35,22
1,1:29.0,Defensive rebound by K. Bazemore,,35,22
1,1:26.0,J. Lin makes 3-pt jump shot from 26 ft (assist by K. Bazemore),,38,22
1,1:06.0,,T. Jones makes 2-pt jump shot from 20 ft (assist by A. Wiggins),38,24
1,0:54.0,A. Poythress makes 2-pt layup from 2 ft (assist by D. Bembry),,40,24
1,0:41.0,,T. Jones makes 2-pt jump shot from 21 ft,40,26
1,0:23.0,J. Lin misses 2-pt jump shot from 20 ft,,40,26
1,0:21.0,Offensive rebound by K. Bazemore,,40,26
1,0:21.0,Shooting foul by J. Okogie (drawn by K. Bazemore),,40,26
1,0:21.0,K. Bazemore makes free throw 1 of 2,,41,26
1,0:21.0,V. Carter enters the game for A. Poythress,,41,26
1,0:21.0,K. Bazemore makes free throw 2 of 2,,42,26
1,0:05.0,,Shooting foul by K. Bazemore (drawn by A. Wiggins),42,26
1,0:05.0,,A. Wiggins misses free throw 1 of 2,42,26
1,0:05.0,,Offensive rebound by Team,42,26
1,0:05.0,,A. Wiggins makes free throw 2 of 2,42,27
1,0:01.0,Turnover by K. Bazemore (lost ball; steal by T. Jones),,42,27
2,11:41.0,J. Collins makes 2-pt jump shot from 5 ft (assist by K. Huerter),,44,27
2,11:23.0,,G. Dieng misses 2-pt jump shot from 18 ft,44,27
2,11:18.0,Defensive rebound by K. Huerter,,44,27
2,11:12.0,K. Huerter makes 3-pt jump shot from 28 ft (assist by J. Lin),,47,27
2,10:53.0,,T. Jones makes 2-pt jump shot from 15 ft (assist by R. Covington),47,29
2,10:44.0,Personal foul by T. Jones (drawn by D. Dedmon),,47,29
2,10:40.0,Turnover by D. Dedmon (bad pass; steal by G. Dieng),,47,29
2,10:34.0,,R. Covington misses 3-pt jump shot from 27 ft,47,29
2,10:30.0,Defensive rebound by J. Collins,,47,29
2,10:20.0,Turnover by D. Dedmon (bad pass; steal by T. Jones),,47,29
2,10:12.0,,Personal foul by J. Lin (drawn by T. Jones),47,29
2,9:56.0,,R. Covington misses 3-pt jump shot from 25 ft,47,29
2,9:54.0,Defensive rebound by K. Huerter,,47,29
2,9:47.0,K. Huerter misses 2-pt jump shot from 7 ft,,47,29
2,9:43.0,,Defensive rebound by G. Dieng,47,29
2,9:34.0,,D. Šarić makes 2-pt jump shot from 15 ft (assist by T. Jones),47,31
2,9:18.0,Turnover by K. Huerter (bad pass; steal by J. Okogie),,47,31
2,9:17.0,,Shooting foul by K. Huerter (drawn by J. Okogie),47,31
2,9:17.0,,J. Okogie misses free throw 1 of 2,47,31
2,9:17.0,,Offensive rebound by Team,47,31
2,9:17.0,K. Bazemore enters the game for J. Anderson,,47,31
2,9:17.0,T. Young enters the game for J. Lin,,47,31
2,9:17.0,,J. Okogie makes free throw 2 of 2,47,32
2,9:02.0,D. Dedmon makes 2-pt dunk from 3 ft (assist by T. Young),,49,32
2,8:54.0,,Turnover by R. Covington (traveling),49,32
2,8:40.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by T. Young),,52,32
2,8:27.0,,T. Jones makes 2-pt jump shot from 17 ft,52,34
2,8:13.0,D. Dedmon makes 3-pt jump shot from 22 ft (assist by T. Young),,55,34
2,7:57.0,,D. Šarić misses 3-pt jump shot from 26 ft,55,34
2,7:55.0,Defensive rebound by K. Bazemore,,55,34
2,7:44.0,Personal foul by J. Okogie (drawn by D. Dedmon),,55,34
2,7:44.0,,D. Rose enters the game for G. Dieng,55,34
2,7:44.0,,K. Towns enters the game for J. Okogie,55,34
2,7:41.0,Shooting foul by D. Šarić (drawn by J. Collins),,55,34
2,7:41.0,J. Collins misses free throw 1 of 2,,55,34
2,7:41.0,Offensive rebound by Team,,55,34
2,7:41.0,J. Collins makes free throw 2 of 2,,56,34
2,7:28.0,,K. Towns misses 3-pt jump shot from 23 ft,56,34
2,7:26.0,Defensive rebound by T. Young,,56,34
2,7:22.0,Turnover by T. Young (lost ball; steal by D. Rose),,56,34
2,7:18.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Rose),56,36
2,6:58.0,K. Huerter misses 3-pt jump shot from 23 ft,,56,36
2,6:58.0,Offensive rebound by Team,,56,36
2,6:58.0,,Loose ball foul by D. Šarić (drawn by J. Collins),56,36
2,6:58.0,,Minnesota full timeout,56,36
2,6:52.0,K. Bazemore makes 2-pt layup from 2 ft,,58,36
2,6:37.0,,D. Rose misses 2-pt layup from 3 ft,58,36
2,6:34.0,,Offensive rebound by D. Rose,58,36
2,6:34.0,,D. Rose makes 2-pt layup at rim,58,38
2,6:18.0,Turnover by T. Young (bad pass; steal by D. Šarić),,58,38
2,6:14.0,,R. Covington makes 2-pt dunk from 1 ft (assist by T. Jones),58,40
2,5:56.0,Turnover by K. Bazemore (bad pass; steal by D. Šarić),,58,40
2,5:51.0,,R. Covington misses 3-pt jump shot from 25 ft,58,40
2,5:46.0,Defensive rebound by D. Dedmon,,58,40
2,5:40.0,J. Collins makes 2-pt layup at rim (assist by K. Bazemore),,60,40
2,5:27.0,,D. Šarić misses 3-pt jump shot from 25 ft,60,40
2,5:26.0,,Offensive rebound by Team,60,40
2,5:26.0,Loose ball foul by D. Dedmon (drawn by K. Towns),,60,40
2,5:26.0,A. Poythress enters the game for D. Dedmon,,60,40
2,5:26.0,,T. Gibson enters the game for D. Šarić,60,40
2,5:17.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by T. Jones),60,43
2,5:05.0,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),,62,43
2,4:54.0,,T. Jones misses 2-pt jump shot from 8 ft,62,43
2,4:54.0,,Offensive rebound by K. Towns,62,43
2,4:54.0,,K. Towns makes 2-pt layup from 1 ft,62,45
2,4:54.0,,Shooting foul by K. Bazemore (drawn by K. Towns),62,45
2,4:54.0,,K. Towns makes free throw 1 of 1,62,46
2,4:31.0,J. Collins makes 2-pt layup from 1 ft (assist by K. Bazemore),,64,46
2,4:24.0,,D. Rose makes 3-pt jump shot from 25 ft,64,49
2,4:24.0,,Shooting foul by K. Bazemore (drawn by D. Rose),64,49
2,4:24.0,D. Bembry enters the game for K. Bazemore,,64,49
2,4:24.0,,A. Wiggins enters the game for T. Jones,64,49
2,4:24.0,,D. Rose makes free throw 1 of 1,64,50
2,4:11.0,K. Huerter misses 3-pt jump shot from 26 ft,,64,50
2,4:08.0,,Defensive rebound by K. Towns,64,50
2,4:02.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by A. Wiggins),64,53
2,4:02.0,Atlanta full timeout,,64,53
2,4:02.0,V. Carter enters the game for J. Collins,,64,53
2,4:02.0,J. Lin enters the game for T. Young,,64,53
2,3:51.0,Offensive foul by J. Lin (drawn by D. Rose),,64,53
2,3:51.0,Turnover by J. Lin (offensive foul),,64,53
2,3:38.0,,D. Rose makes 2-pt layup from 2 ft (assist by K. Towns),64,55
2,3:23.0,J. Lin makes 3-pt jump shot from 25 ft (assist by A. Poythress),,67,55
2,3:13.0,,Offensive foul by T. Gibson (drawn by V. Carter),67,55
2,3:13.0,,Turnover by T. Gibson (offensive foul),67,55
2,2:53.0,D. Bembry misses 2-pt dunk from 1 ft,,67,55
2,2:50.0,Offensive rebound by J. Lin,,67,55
2,2:42.0,D. Bembry makes 2-pt layup from 1 ft (assist by K. Huerter),,69,55
2,2:28.0,,Personal foul by V. Carter (drawn by K. Towns),69,55
2,2:28.0,,K. Towns makes free throw 1 of 2,69,56
2,2:28.0,,K. Towns misses free throw 2 of 2,69,56
2,2:24.0,Defensive rebound by K. Huerter,,69,56
2,2:06.0,K. Huerter misses 3-pt jump shot from 23 ft,,69,56
2,2:03.0,,Defensive rebound by K. Towns,69,56
2,2:01.0,,Turnover by K. Towns (bad pass),69,56
2,1:47.0,Turnover by V. Carter (bad pass; steal by T. Gibson),,69,56
2,1:44.0,,Turnover by R. Covington (offensive foul),69,56
2,1:44.0,,Offensive foul by R. Covington (drawn by J. Lin),69,56
2,1:44.0,J. Collins enters the game for V. Carter,,69,56
2,1:44.0,,T. Jones enters the game for R. Covington,69,56
2,1:26.0,J. Collins misses 3-pt jump shot from 23 ft,,69,56
2,1:25.0,,Defensive rebound by A. Wiggins,69,56
2,1:16.0,,A. Wiggins misses 2-pt layup at rim,69,56
2,1:15.0,,Offensive rebound by K. Towns,69,56
2,1:15.0,,Shooting foul by K. Huerter (drawn by K. Towns),69,56
2,1:15.0,,K. Towns makes free throw 1 of 2,69,57
2,1:15.0,,K. Towns makes free throw 2 of 2,69,58
2,1:03.0,Turnover by A. Poythress (traveling),,69,58
2,0:50.0,,D. Rose misses 2-pt jump shot from 12 ft,69,58
2,0:48.0,Defensive rebound by D. Bembry,,69,58
2,0:45.0,A. Poythress misses 2-pt layup from 1 ft,,69,58
2,0:42.0,Offensive rebound by J. Collins,,69,58
2,0:41.0,J. Collins makes 2-pt layup from 1 ft,,71,58
2,0:33.0,,K. Towns misses 2-pt layup from 1 ft,71,58
2,0:31.0,Defensive rebound by K. Huerter,,71,58
2,0:21.0,J. Lin misses 2-pt layup from 1 ft (block by A. Wiggins),,71,58
2,0:18.0,,Defensive rebound by K. Towns,71,58
2,0:03.0,,D. Rose misses 2-pt jump shot from 7 ft,71,58
2,0:02.0,,Offensive rebound by Team,71,58
2,0:02.0,Loose ball foul by J. Lin (drawn by K. Towns),,71,58
2,0:02.0,,K. Towns makes free throw 1 of 2,71,59
2,0:02.0,,K. Towns misses free throw 2 of 2,71,59
2,0:01.0,Defensive rebound by J. Collins,,71,59
2,0:00.0,J. Collins misses 3-pt jump shot from 73 ft,,71,59
2,0:00.0,Offensive rebound by Team,,71,59
3,11:47.0,K. Huerter misses 3-pt jump shot from 23 ft,,71,59
3,11:44.0,,Defensive rebound by K. Towns,71,59
3,11:38.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Rose),71,62
3,11:16.0,T. Young makes 2-pt layup from 1 ft (assist by K. Bazemore),,73,62
3,10:59.0,,Turnover by K. Towns (bad pass; steal by K. Huerter),73,62
3,10:52.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,75,62
3,10:52.0,,Minnesota full timeout,75,62
3,10:38.0,,D. Rose misses 2-pt jump shot from 5 ft,75,62
3,10:35.0,Defensive rebound by D. Dedmon,,75,62
3,10:30.0,D. Dedmon makes 3-pt jump shot from 25 ft (assist by K. Huerter),,78,62
3,10:11.0,,A. Wiggins misses 2-pt jump shot from 12 ft,78,62
3,10:09.0,,Offensive rebound by K. Towns,78,62
3,10:07.0,,K. Towns makes 2-pt jump shot from 7 ft,78,64
3,9:48.0,J. Collins misses 2-pt jump shot from 8 ft,,78,64
3,9:45.0,,Defensive rebound by K. Towns,78,64
3,9:41.0,,Personal foul by T. Young (drawn by D. Rose),78,64
3,9:35.0,,Turnover by D. Rose (bad pass; steal by T. Young),78,64
3,9:29.0,K. Bazemore misses 3-pt jump shot from 23 ft,,78,64
3,9:27.0,,Defensive rebound by Team,78,64
3,9:27.0,Loose ball foul by J. Collins (drawn by T. Gibson),,78,64
3,9:13.0,,K. Towns makes 2-pt dunk from 1 ft (assist by D. Rose),78,66
3,8:58.0,Turnover by K. Huerter (bad pass; steal by K. Towns),,78,66
3,8:53.0,,D. Rose makes 2-pt layup from 2 ft (assist by K. Towns),78,68
3,8:53.0,Atlanta full timeout,,78,68
3,8:53.0,D. Bembry enters the game for K. Huerter,,78,68
3,8:42.0,Turnover by T. Young (lost ball; steal by D. Rose),,78,68
3,8:32.0,,R. Covington misses 3-pt jump shot from 23 ft,78,68
3,8:27.0,Defensive rebound by D. Bembry,,78,68
3,8:11.0,D. Dedmon misses 3-pt jump shot from 23 ft,,78,68
3,8:08.0,Offensive rebound by D. Dedmon,,78,68
3,8:07.0,Turnover by D. Dedmon (lost ball; steal by R. Covington),,78,68
3,7:58.0,,K. Towns makes 2-pt hook shot from 3 ft (assist by D. Rose),78,70
3,7:41.0,D. Bembry misses 2-pt layup from 4 ft,,78,70
3,7:39.0,,Defensive rebound by T. Gibson,78,70
3,7:36.0,,D. Rose misses 2-pt layup from 2 ft,78,70
3,7:32.0,Defensive rebound by D. Dedmon,,78,70
3,7:21.0,Personal foul by R. Covington (drawn by D. Bembry),,78,70
3,7:21.0,J. Anderson enters the game for K. Bazemore,,78,70
3,7:17.0,Turnover by J. Collins (traveling),,78,70
3,7:05.0,,A. Wiggins makes 2-pt jump shot from 9 ft (assist by D. Rose),78,72
3,6:51.0,T. Young makes 2-pt layup from 2 ft,,80,72
3,6:35.0,,K. Towns misses 3-pt jump shot from 26 ft,80,72
3,6:34.0,,Offensive rebound by R. Covington,80,72
3,6:33.0,,R. Covington makes 2-pt layup from 1 ft,80,74
3,6:16.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,83,74
3,6:02.0,,K. Towns makes 2-pt dunk at rim (assist by R. Covington),83,76
3,5:48.0,Personal foul by D. Rose (drawn by T. Young),,83,76
3,5:43.0,,Violation by Team (kicked ball),83,76
3,5:38.0,D. Bembry misses 3-pt jump shot from 25 ft,,83,76
3,5:34.0,Offensive rebound by D. Dedmon,,83,76
3,5:32.0,D. Dedmon misses 2-pt jump shot from 5 ft (block by R. Covington),,83,76
3,5:31.0,,Defensive rebound by T. Gibson,83,76
3,5:23.0,,D. Rose makes 2-pt layup from 1 ft,83,78
3,5:21.0,Atlanta full timeout,,83,78
3,5:08.0,T. Young misses 2-pt jump shot from 16 ft,,83,78
3,5:05.0,,Defensive rebound by T. Gibson,83,78
3,4:49.0,,A. Wiggins makes 2-pt jump shot from 5 ft (assist by K. Towns),83,80
3,4:28.0,D. Dedmon makes 3-pt jump shot from 24 ft (assist by T. Young),,86,80
3,4:05.0,,Personal foul by J. Anderson (drawn by K. Towns),86,80
3,4:05.0,J. Lin enters the game for T. Young,,86,80
3,3:55.0,,D. Rose misses 3-pt jump shot from 26 ft,86,80
3,3:52.0,Defensive rebound by D. Dedmon,,86,80
3,3:40.0,Personal foul by D. Rose (drawn by J. Lin),,86,80
3,3:40.0,A. Poythress enters the game for D. Dedmon,,86,80
3,3:40.0,,T. Jones enters the game for D. Rose,86,80
3,3:29.0,J. Anderson misses 3-pt jump shot from 25 ft,,86,80
3,3:26.0,,Defensive rebound by T. Gibson,86,80
3,3:17.0,,R. Covington makes 2-pt jump shot from 11 ft,86,82
3,3:03.0,J. Collins misses 2-pt layup from 2 ft (block by A. Wiggins),,86,82
3,3:03.0,,Defensive rebound by Team,86,82
3,3:03.0,V. Carter enters the game for J. Collins,,86,82
3,2:49.0,,K. Towns misses 2-pt layup from 2 ft (block by A. Poythress),86,82
3,2:48.0,,Offensive rebound by K. Towns,86,82
3,2:47.0,,K. Towns misses 2-pt layup from 4 ft (block by J. Anderson),86,82
3,2:46.0,Defensive rebound by D. Bembry,,86,82
3,2:40.0,D. Bembry misses 2-pt layup from 2 ft,,86,82
3,2:38.0,,Defensive rebound by A. Wiggins,86,82
3,2:32.0,,A. Wiggins makes 2-pt jump shot from 10 ft,86,84
3,2:04.0,Turnover by Team (shot clock),,86,84
3,2:04.0,K. Huerter enters the game for D. Bembry,,86,84
3,1:45.0,,A. Wiggins misses 2-pt jump shot from 22 ft,86,84
3,1:44.0,Defensive rebound by J. Lin,,86,84
3,1:43.0,Personal foul by K. Towns (drawn by A. Poythress),,86,84
3,1:36.0,Personal foul by T. Jones (drawn by J. Lin),,86,84
3,1:36.0,J. Lin misses free throw 1 of 2,,86,84
3,1:36.0,Offensive rebound by Team,,86,84
3,1:36.0,J. Lin makes free throw 2 of 2,,87,84
3,1:21.0,,Shooting foul by K. Huerter (drawn by R. Covington),87,84
3,1:21.0,,R. Covington misses free throw 1 of 3,87,84
3,1:21.0,,Offensive rebound by Team,87,84
3,1:21.0,,R. Covington makes free throw 2 of 3,87,85
3,1:21.0,,R. Covington makes free throw 3 of 3,87,86
3,1:04.0,K. Huerter makes 2-pt layup from 2 ft (assist by J. Lin),,89,86
3,0:42.0,,Turnover by T. Gibson (lost ball; steal by V. Carter),89,86
3,0:36.0,Offensive foul by A. Poythress (drawn by T. Jones),,89,86
3,0:36.0,Turnover by A. Poythress (offensive foul),,89,86
3,0:25.0,,R. Covington makes 3-pt jump shot from 24 ft (assist by T. Jones),89,89
3,0:04.0,J. Lin misses 2-pt layup from 2 ft,,89,89
3,0:02.0,Offensive rebound by J. Anderson,,89,89
3,0:01.0,J. Anderson misses 2-pt jump shot from 8 ft (block by R. Covington),,89,89
3,0:01.0,Offensive rebound by J. Anderson,,89,89
3,0:00.0,J. Anderson misses 2-pt jump shot from 15 ft,,89,89
3,0:00.0,,Defensive rebound by K. Towns,89,89
4,11:43.0,,T. Jones misses 2-pt jump shot from 8 ft,89,89
4,11:41.0,Defensive rebound by J. Collins,,89,89
4,11:28.0,A. Poythress misses 2-pt jump shot from 19 ft,,89,89
4,11:26.0,,Defensive rebound by D. Šarić,89,89
4,11:18.0,,D. Rose makes 3-pt jump shot from 26 ft,89,92
4,11:04.0,Personal foul by G. Dieng (drawn by A. Poythress),,89,92
4,11:00.0,T. Young makes 2-pt jump shot from 8 ft (assist by J. Collins),,91,92
4,10:43.0,,D. Šarić misses 2-pt jump shot from 21 ft,91,92
4,10:40.0,,Offensive rebound by A. Wiggins,91,92
4,10:40.0,,Shooting foul by A. Poythress (drawn by A. Wiggins),91,92
4,10:40.0,,A. Wiggins misses free throw 1 of 2,91,92
4,10:40.0,,Offensive rebound by Team,91,92
4,10:40.0,,A. Wiggins misses free throw 2 of 2,91,92
4,10:40.0,Defensive rebound by T. Young,,91,92
4,10:29.0,K. Bazemore misses 2-pt layup from 3 ft,,91,92
4,10:28.0,Offensive rebound by J. Collins,,91,92
4,10:27.0,Shooting foul by G. Dieng (drawn by J. Collins),,91,92
4,10:27.0,,R. Covington enters the game for A. Wiggins,91,92
4,10:27.0,J. Collins makes free throw 1 of 2,,92,92
4,10:27.0,J. Collins misses free throw 2 of 2,,92,92
4,10:27.0,,Defensive rebound by D. Šarić,92,92
4,10:16.0,,D. Rose misses 2-pt layup from 1 ft (block by A. Poythress),92,92
4,10:15.0,,Offensive rebound by Team,92,92
4,10:07.0,,R. Covington misses 3-pt jump shot from 26 ft,92,92
4,10:06.0,Defensive rebound by D. Bembry,,92,92
4,10:06.0,Personal foul by G. Dieng (drawn by D. Bembry),,92,92
4,9:57.0,K. Bazemore misses 2-pt jump shot from 18 ft,,92,92
4,9:54.0,Offensive rebound by J. Collins,,92,92
4,9:48.0,Turnover by K. Bazemore (bad pass; steal by G. Dieng),,92,92
4,9:44.0,,Shooting foul by D. Bembry (drawn by R. Covington),92,92
4,9:44.0,,R. Covington makes free throw 1 of 2,92,93
4,9:44.0,D. Dedmon enters the game for J. Collins,,92,93
4,9:44.0,,R. Covington misses free throw 2 of 2,92,93
4,9:42.0,Defensive rebound by D. Dedmon,,92,93
4,9:21.0,K. Bazemore misses 3-pt jump shot from 23 ft,,92,93
4,9:19.0,,Defensive rebound by G. Dieng,92,93
4,9:13.0,,D. Rose makes 2-pt layup from 1 ft (assist by G. Dieng),92,95
4,9:03.0,Turnover by T. Young (lost ball; steal by T. Jones),,92,95
4,8:59.0,,D. Šarić makes 2-pt layup from 2 ft (assist by T. Jones),92,97
4,8:59.0,,Shooting foul by A. Poythress (drawn by D. Šarić),92,97
4,8:59.0,J. Lin enters the game for T. Young,,92,97
4,8:59.0,,D. Šarić misses free throw 1 of 1,92,97
4,8:54.0,Defensive rebound by A. Poythress,,92,97
4,8:41.0,K. Bazemore makes 2-pt layup from 3 ft,,94,97
4,8:27.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by D. Rose),94,100
4,8:14.0,Personal foul by T. Jones (drawn by J. Lin),,94,100
4,8:14.0,J. Collins enters the game for A. Poythress,,94,100
4,8:14.0,,K. Towns enters the game for G. Dieng,94,100
4,8:04.0,K. Bazemore misses 2-pt jump shot from 12 ft,,94,100
4,8:01.0,,Defensive rebound by R. Covington,94,100
4,7:54.0,,D. Rose makes 3-pt jump shot from 27 ft,94,103
4,7:52.0,Atlanta full timeout,,94,103
4,7:29.0,D. Dedmon misses 2-pt jump shot from 15 ft,,94,103
4,7:25.0,,Defensive rebound by D. Rose,94,103
4,7:06.0,,D. Šarić misses 3-pt jump shot from 23 ft,94,103
4,7:02.0,Defensive rebound by J. Lin,,94,103
4,7:00.0,J. Lin misses 2-pt layup from 2 ft (block by R. Covington),,94,103
4,7:00.0,Offensive rebound by Team,,94,103
4,6:58.0,J. Collins misses 2-pt jump shot from 14 ft,,94,103
4,6:57.0,Offensive rebound by D. Bembry,,94,103
