QUARTER,TIME_REMAINING,BROOKLYN_ACTION,HOUSTON_ACTION,BROOKLYN_SCORE,HOUSTON_SCORE
1,5:27.0,,A. Rivers misses 3-pt jump shot from 28 ft,22,14
1,5:24.0,,Offensive rebound by P. Tucker,22,14
1,5:16.0,,J. Harden makes 2-pt jump shot from 15 ft,22,16
1,5:01.0,D. Carroll misses 2-pt jump shot from 4 ft,,22,16
1,5:00.0,Offensive rebound by D. Carroll,,22,16
1,4:56.0,T. Graham makes 3-pt jump shot from 27 ft (assist by D. Carroll),,25,16
1,4:43.0,,M. Chriss misses 3-pt jump shot from 24 ft,25,16
1,4:43.0,Defensive rebound by T. Graham,,25,16
1,4:34.0,J. Harris misses 3-pt jump shot from 26 ft,,25,16
1,4:31.0,Offensive rebound by J. Allen,,25,16
1,4:20.0,J. Allen misses 3-pt jump shot from 23 ft,,25,16
1,4:16.0,,Defensive rebound by A. Rivers,25,16
1,4:10.0,,G. Green misses 3-pt jump shot from 27 ft,25,16
1,4:08.0,Defensive rebound by T. Graham,,25,16
1,4:00.0,Turnover by S. Dinwiddie (bad pass),,25,16
1,4:00.0,R. Hollis-Jefferson enters the game for T. Graham,,25,16
1,4:00.0,,J. Nunnally enters the game for A. Rivers,25,16
1,3:46.0,,G. Green makes 3-pt jump shot from 23 ft (assist by J. Nunnally),25,19
1,3:23.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by J. Allen),,28,19
1,3:04.0,,J. Harden misses 3-pt jump shot from 26 ft,28,19
1,3:02.0,Defensive rebound by J. Harris,,28,19
1,2:58.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by J. Harris),,31,19
1,2:44.0,,J. Nunnally misses 3-pt jump shot from 24 ft,31,19
1,2:42.0,Defensive rebound by R. Hollis-Jefferson,,31,19
1,2:34.0,D. Carroll makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie),,34,19
1,2:14.0,,G. Green misses 3-pt jump shot from 26 ft,34,19
1,2:13.0,,Offensive rebound by Team,34,19
1,2:13.0,Brooklyn full timeout,,34,19
1,2:13.0,E. Davis enters the game for J. Allen,,34,19
1,2:13.0,D. Russell enters the game for J. Harris,,34,19
1,2:13.0,,E. Gordon enters the game for J. Harden,34,19
1,2:13.0,,A. Rivers enters the game for P. Tucker,34,19
1,2:04.0,,A. Rivers makes 3-pt jump shot from 27 ft,34,22
1,1:48.0,R. Hollis-Jefferson misses 2-pt hook shot from 4 ft,,34,22
1,1:45.0,,Defensive rebound by M. Chriss,34,22
1,1:33.0,,Shooting foul by E. Davis (drawn by E. Gordon),34,22
1,1:33.0,,E. Gordon makes free throw 1 of 2,34,23
1,1:33.0,,E. Gordon makes free throw 2 of 2,34,24
1,1:24.0,Turnover by E. Davis (bad pass; steal by E. Gordon),,34,24
1,1:17.0,,E. Gordon makes 3-pt jump shot from 30 ft (assist by A. Rivers),34,27
1,0:48.0,S. Dinwiddie misses 2-pt jump shot from 11 ft,,34,27
1,0:47.0,,Defensive rebound by A. Rivers,34,27
1,0:40.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by A. Rivers),34,30
1,0:30.0,D. Russell misses 2-pt hook shot from 7 ft,,34,30
1,0:29.0,,Defensive rebound by E. Gordon,34,30
1,0:13.0,,Offensive foul by M. Chriss (drawn by S. Dinwiddie),34,30
1,0:13.0,,Turnover by M. Chriss (offensive foul),34,30
1,0:13.0,J. Allen enters the game for E. Davis,,34,30
1,0:13.0,J. Harris enters the game for R. Hollis-Jefferson,,34,30
1,0:04.0,Personal foul by J. Nunnally (drawn by D. Russell),,34,30
2,11:44.0,,A. Rivers misses 3-pt jump shot from 23 ft,34,30
2,11:42.0,Defensive rebound by E. Davis,,34,30
2,11:31.0,R. Kurucs misses 2-pt layup from 2 ft,,34,30
2,11:29.0,,Defensive rebound by E. Gordon,34,30
2,11:22.0,,E. Gordon misses 3-pt jump shot from 27 ft,34,30
2,11:21.0,Defensive rebound by E. Davis,,34,30
2,11:12.0,Turnover by S. Napier (bad pass),,34,30
2,11:12.0,,N. Hilário enters the game for M. Chriss,34,30
2,10:59.0,,G. Green misses 3-pt jump shot from 26 ft,34,30
2,10:57.0,Defensive rebound by E. Davis,,34,30
2,10:46.0,D. Russell makes 2-pt jump shot from 16 ft,,36,30
2,10:31.0,,E. Gordon makes 3-pt jump shot from 29 ft (assist by A. Rivers),36,33
2,10:16.0,D. Carroll misses 3-pt jump shot from 26 ft,,36,33
2,10:14.0,,Defensive rebound by G. Green,36,33
2,10:09.0,,G. Green makes 3-pt jump shot from 27 ft,36,36
2,10:07.0,Brooklyn full timeout,,36,36
2,10:07.0,,G. Clark enters the game for E. Gordon,36,36
2,9:54.0,S. Napier makes 2-pt layup from 3 ft,,38,36
2,9:37.0,,J. Nunnally misses 3-pt jump shot from 23 ft,38,36
2,9:34.0,,Offensive rebound by G. Clark,38,36
2,9:21.0,,Turnover by Team (shot clock),38,36
2,9:11.0,D. Russell makes 2-pt jump shot from 15 ft,,40,36
2,8:48.0,,G. Green misses 3-pt jump shot from 26 ft,40,36
2,8:46.0,Defensive rebound by R. Kurucs,,40,36
2,8:38.0,S. Napier misses 3-pt jump shot from 23 ft,,40,36
2,8:37.0,,Defensive rebound by G. Clark,40,36
2,8:36.0,,Personal foul by E. Davis (drawn by G. Clark),40,36
2,8:36.0,,J. Harden enters the game for G. Green,40,36
2,8:36.0,,P. Tucker enters the game for J. Nunnally,40,36
2,8:26.0,,J. Harden misses 2-pt layup from 2 ft,40,36
2,8:23.0,Defensive rebound by R. Kurucs,,40,36
2,8:19.0,D. Carroll misses 3-pt jump shot from 23 ft,,40,36
2,8:16.0,,Defensive rebound by J. Harden,40,36
2,8:10.0,,G. Clark misses 3-pt jump shot from 27 ft,40,36
2,8:09.0,Defensive rebound by E. Davis,,40,36
2,7:59.0,D. Russell makes 3-pt jump shot from 23 ft,,43,36
2,7:44.0,,J. Harden misses 3-pt jump shot from 28 ft,43,36
2,7:42.0,Defensive rebound by D. Russell,,43,36
2,7:35.0,D. Russell misses 3-pt jump shot from 28 ft,,43,36
2,7:33.0,,Defensive rebound by G. Clark,43,36
2,7:27.0,,J. Harden makes 2-pt layup from 2 ft,43,38
2,7:06.0,S. Napier misses 2-pt layup from 3 ft,,43,38
2,7:05.0,Offensive rebound by S. Napier,,43,38
2,7:05.0,S. Dinwiddie enters the game for D. Carroll,,43,38
2,7:01.0,E. Davis misses 2-pt jump shot from 18 ft,,43,38
2,7:01.0,Offensive rebound by Team,,43,38
2,7:01.0,Turnover by Team (shot clock),,43,38
2,6:46.0,,J. Harden misses 2-pt jump shot from 7 ft,43,38
2,6:45.0,,Offensive rebound by N. Hilário,43,38
2,6:44.0,,N. Hilário makes 2-pt layup from 1 ft,43,40
2,6:44.0,,Shooting foul by E. Davis (drawn by N. Hilário),43,40
2,6:44.0,J. Allen enters the game for E. Davis,,43,40
2,6:44.0,,N. Hilário makes free throw 1 of 1,43,41
2,6:29.0,Personal foul by J. Harden (drawn by D. Russell),,43,41
2,6:29.0,T. Graham enters the game for R. Kurucs,,43,41
2,6:29.0,J. Harris enters the game for D. Russell,,43,41
2,6:22.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,43,41
2,6:21.0,,Defensive rebound by N. Hilário,43,41
2,6:04.0,,J. Harden makes 3-pt jump shot from 27 ft,43,44
2,5:50.0,Personal foul by N. Hilário (drawn by S. Napier),,43,44
2,5:39.0,J. Allen misses 2-pt dunk from 7 ft (block by G. Clark),,43,44
2,5:38.0,,Defensive rebound by P. Tucker,43,44
2,5:32.0,,Turnover by J. Harden (lost ball; steal by S. Napier),43,44
2,5:29.0,S. Napier misses 2-pt layup from 4 ft (block by G. Clark),,43,44
2,5:28.0,Offensive rebound by J. Allen,,43,44
2,5:27.0,J. Allen makes 2-pt dunk from 2 ft,,45,44
2,5:03.0,,N. Hilário makes 2-pt layup from 2 ft (assist by J. Harden),45,46
2,4:38.0,Turnover by J. Harris (bad pass),,45,46
2,4:19.0,,Turnover by N. Hilário (bad pass; steal by S. Napier),45,46
2,4:15.0,S. Napier makes 3-pt jump shot from 25 ft,,48,46
2,4:02.0,,N. Hilário misses 2-pt jump shot from 19 ft,48,46
2,3:59.0,,Offensive rebound by Team,48,46
2,3:59.0,,E. Gordon enters the game for A. Rivers,48,46
2,3:56.0,,G. Clark misses 3-pt jump shot from 28 ft,48,46
2,3:54.0,Defensive rebound by J. Allen,,48,46
2,3:49.0,Personal foul by N. Hilário (drawn by J. Allen),,48,46
2,3:49.0,,G. Green enters the game for G. Clark,48,46
2,3:41.0,S. Napier misses 2-pt jump shot from 23 ft,,48,46
2,3:40.0,Offensive rebound by T. Graham,,48,46
2,3:39.0,T. Graham makes 2-pt layup from 2 ft,,50,46
2,3:39.0,Shooting foul by P. Tucker (drawn by T. Graham),,50,46
2,3:39.0,D. Carroll enters the game for S. Napier,,50,46
2,3:39.0,T. Graham makes free throw 1 of 1,,51,46
2,3:22.0,,P. Tucker makes 2-pt layup at rim (assist by J. Harden),51,48
2,3:12.0,J. Harris makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie),,54,48
2,3:02.0,,J. Harden misses 3-pt jump shot from 25 ft,54,48
2,3:01.0,,Offensive rebound by Team,54,48
2,3:01.0,Loose ball foul by J. Harris (drawn by N. Hilário),,54,48
2,3:00.0,,E. Gordon misses 3-pt jump shot from 28 ft,54,48
2,2:57.0,Defensive rebound by T. Graham,,54,48
2,2:45.0,Personal foul by P. Tucker (drawn by D. Carroll),,54,48
2,2:45.0,,Houston full timeout,54,48
2,2:45.0,,A. Rivers enters the game for N. Hilário,54,48
2,2:45.0,D. Carroll makes free throw 1 of 2,,55,48
2,2:45.0,D. Carroll makes free throw 2 of 2,,56,48
2,2:37.0,,A. Rivers misses 3-pt jump shot from 27 ft,56,48
2,2:35.0,Defensive rebound by J. Allen,,56,48
2,2:26.0,T. Graham makes 2-pt jump shot from 6 ft,,58,48
2,2:12.0,,G. Green makes 3-pt jump shot from 23 ft (assist by E. Gordon),58,51
2,1:53.0,J. Harris makes 2-pt jump shot from 7 ft (assist by S. Dinwiddie),,60,51
2,1:37.0,,G. Green misses 3-pt jump shot from 23 ft,60,51
2,1:35.0,Defensive rebound by J. Allen,,60,51
2,1:24.0,S. Dinwiddie misses 3-pt jump shot from 31 ft,,60,51
2,1:23.0,,Defensive rebound by G. Green,60,51
2,1:14.0,,G. Green makes 3-pt jump shot from 26 ft (assist by J. Harden),60,54
2,0:54.0,D. Carroll misses 2-pt layup from 8 ft (block by G. Green),,60,54
2,0:52.0,Offensive rebound by D. Carroll,,60,54
2,0:46.0,J. Allen misses 3-pt jump shot from 22 ft,,60,54
2,0:45.0,,Defensive rebound by G. Green,60,54
2,0:32.0,,J. Harden misses 3-pt jump shot from 25 ft,60,54
2,0:30.0,Defensive rebound by J. Allen,,60,54
2,0:11.0,Turnover by T. Graham (lost ball; steal by J. Harden),,60,54
2,0:07.0,,Turnover by E. Gordon (out of bounds lost ball),60,54
2,0:04.0,S. Dinwiddie makes 2-pt dunk from 3 ft,,62,54
2,0:01.0,,J. Harden misses 2-pt dunk from 4 ft (block by J. Allen),62,54
2,0:00.0,Defensive rebound by D. Carroll,,62,54
3,11:43.0,,G. Clark misses 3-pt jump shot from 23 ft,62,54
3,11:41.0,Defensive rebound by D. Russell,,62,54
3,11:23.0,Turnover by T. Graham (bad pass; steal by G. Clark),,62,54
3,11:18.0,,A. Rivers misses 3-pt jump shot from 22 ft,62,54
3,11:16.0,Defensive rebound by Team,,62,54
3,11:08.0,R. Kurucs makes 2-pt layup from 4 ft (assist by D. Russell),,64,54
3,10:44.0,,E. Gordon makes 3-pt jump shot from 30 ft (assist by J. Harden),64,57
3,10:34.0,D. Russell misses 3-pt jump shot from 27 ft,,64,57
3,10:32.0,,Defensive rebound by A. Rivers,64,57
3,10:26.0,,J. Harden makes 2-pt layup from 2 ft,64,59
3,10:26.0,,Shooting foul by D. Russell (drawn by J. Harden),64,59
3,10:26.0,,G. Green enters the game for G. Clark,64,59
3,10:26.0,,J. Harden makes free throw 1 of 1,64,60
3,10:11.0,R. Kurucs misses 3-pt jump shot from 25 ft,,64,60
3,10:09.0,,Defensive rebound by A. Rivers,64,60
3,10:03.0,,Shooting foul by T. Graham (drawn by J. Harden),64,60
3,10:03.0,,J. Harden makes free throw 1 of 2,64,61
3,10:03.0,,J. Harden makes free throw 2 of 2,64,62
3,9:42.0,R. Kurucs misses 2-pt layup from 3 ft,,64,62
3,9:40.0,,Defensive rebound by E. Gordon,64,62
3,9:33.0,,J. Harden misses 3-pt jump shot from 26 ft,64,62
3,9:31.0,Defensive rebound by J. Allen,,64,62
3,9:18.0,T. Graham makes 2-pt jump shot from 8 ft,,66,62
3,9:04.0,,A. Rivers misses 2-pt jump shot from 8 ft,66,62
3,9:02.0,,Offensive rebound by P. Tucker,66,62
3,9:01.0,,P. Tucker makes 2-pt layup from 1 ft,66,64
3,8:46.0,Turnover by J. Harris (bad pass; steal by P. Tucker),,66,64
3,8:38.0,,G. Green makes 3-pt jump shot from 22 ft (assist by J. Harden),66,67
3,8:37.0,Brooklyn full timeout,,66,67
3,8:21.0,Turnover by R. Kurucs (bad pass),,66,67
3,8:21.0,Loose ball foul by J. Allen (drawn by P. Tucker),,66,67
3,8:07.0,,G. Green misses 3-pt jump shot from 24 ft,66,67
3,8:05.0,Defensive rebound by J. Allen,,66,67
3,7:57.0,T. Graham misses 3-pt jump shot from 23 ft,,66,67
3,7:55.0,Offensive rebound by R. Kurucs,,66,67
3,7:54.0,R. Kurucs makes 2-pt layup from 2 ft,,68,67
3,7:40.0,,Personal foul by R. Kurucs (drawn by E. Gordon),68,67
3,7:32.0,,E. Gordon misses 2-pt layup from 4 ft,68,67
3,7:29.0,,Offensive rebound by P. Tucker,68,67
3,7:29.0,,P. Tucker makes 2-pt layup from 1 ft,68,69
3,7:20.0,J. Harris misses 2-pt jump shot from 9 ft,,68,69
3,7:19.0,Offensive rebound by R. Kurucs,,68,69
3,7:19.0,R. Kurucs misses 2-pt layup at rim,,68,69
3,7:18.0,,Defensive rebound by P. Tucker,68,69
3,7:18.0,,Personal foul by R. Kurucs (drawn by P. Tucker),68,69
3,7:18.0,,J. Nunnally enters the game for E. Gordon,68,69
3,7:18.0,,P. Tucker makes free throw 1 of 2,68,70
3,7:18.0,,P. Tucker makes free throw 2 of 2,68,71
3,6:59.0,J. Harris makes 2-pt layup from 2 ft,,70,71
3,6:45.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Nunnally),70,74
3,6:26.0,J. Allen misses 2-pt jump shot from 10 ft,,70,74
3,6:25.0,,Defensive rebound by J. Harden,70,74
3,6:19.0,,J. Harden misses 3-pt jump shot from 27 ft,70,74
3,6:18.0,Defensive rebound by J. Allen,,70,74
3,6:10.0,D. Russell makes 3-pt jump shot from 26 ft,,73,74
3,5:51.0,,Shooting foul by R. Kurucs (drawn by J. Harden),73,74
3,5:51.0,,J. Harden makes free throw 1 of 2,73,75
3,5:51.0,S. Dinwiddie enters the game for D. Russell,,73,75
3,5:51.0,,J. Harden makes free throw 2 of 2,73,76
3,5:43.0,Personal foul by J. Nunnally (drawn by J. Harris),,73,76
3,5:31.0,Shooting foul by J. Harden (drawn by T. Graham),,73,76
3,5:31.0,T. Graham makes free throw 1 of 2,,74,76
3,5:31.0,,G. Clark enters the game for A. Rivers,74,76
3,5:31.0,T. Graham makes free throw 2 of 2,,75,76
3,5:22.0,,G. Green misses 3-pt jump shot from 27 ft,75,76
3,5:20.0,Defensive rebound by Team,,75,76
3,5:20.0,,Loose ball foul by G. Clark (drawn by J. Allen),75,76
3,5:06.0,S. Dinwiddie misses 2-pt layup from 5 ft (block by J. Harden),,75,76
3,5:06.0,Offensive rebound by Team,,75,76
3,5:03.0,S. Dinwiddie misses 2-pt jump shot from 10 ft,,75,76
3,5:01.0,,Defensive rebound by P. Tucker,75,76
3,4:50.0,,J. Harden makes 2-pt layup from 3 ft,75,78
3,4:39.0,J. Allen makes 2-pt hook shot from 5 ft (assist by S. Dinwiddie),,77,78
3,4:25.0,,J. Nunnally makes 3-pt jump shot from 25 ft (assist by P. Tucker),77,81
3,4:07.0,S. Dinwiddie makes 2-pt jump shot from 6 ft,,79,81
3,3:57.0,,G. Green misses 3-pt jump shot from 23 ft,79,81
3,3:56.0,Defensive rebound by Team,,79,81
3,3:46.0,Personal foul by J. Nunnally (drawn by S. Dinwiddie),,79,81
3,3:35.0,Shooting foul by J. Harden (drawn by S. Dinwiddie),,79,81
3,3:35.0,S. Dinwiddie makes free throw 1 of 2,,80,81
3,3:35.0,D. Carroll enters the game for T. Graham,,80,81
3,3:35.0,R. Hollis-Jefferson enters the game for R. Kurucs,,80,81
3,3:35.0,S. Dinwiddie misses free throw 2 of 2,,80,81
3,3:35.0,,Defensive rebound by J. Harden,80,81
3,3:16.0,,P. Tucker misses 3-pt jump shot from 23 ft,80,81
3,3:15.0,,Offensive rebound by G. Clark,80,81
3,3:10.0,,P. Tucker misses 2-pt layup from 5 ft,80,81
3,3:09.0,Defensive rebound by R. Hollis-Jefferson,,80,81
3,2:55.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,80,81
3,2:53.0,,Defensive rebound by P. Tucker,80,81
3,2:44.0,,J. Harden makes 2-pt layup from 3 ft,80,83
3,2:36.0,Turnover by S. Dinwiddie (bad pass; steal by G. Clark),,80,83
3,2:28.0,,Shooting foul by D. Carroll (drawn by J. Harden),80,83
3,2:28.0,,Houston full timeout,80,83
3,2:28.0,R. Kurucs enters the game for J. Allen,,80,83
3,2:28.0,D. Russell enters the game for J. Harris,,80,83
3,2:28.0,,E. Gordon enters the game for G. Green,80,83
3,2:28.0,,N. Hilário enters the game for P. Tucker,80,83
3,2:28.0,,J. Harden makes free throw 1 of 3,80,84
3,2:28.0,,J. Harden makes free throw 2 of 3,80,85
3,2:28.0,,J. Harden makes free throw 3 of 3,80,86
3,2:17.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,80,86
3,2:16.0,,Defensive rebound by J. Harden,80,86
3,2:10.0,,J. Harden makes 3-pt jump shot from 28 ft,80,89
3,1:59.0,D. Carroll misses 2-pt jump shot from 23 ft,,80,89
3,1:59.0,,Defensive rebound by G. Clark,80,89
3,1:48.0,,J. Harden makes 2-pt layup from 3 ft,80,91
3,1:48.0,,Shooting foul by R. Hollis-Jefferson (drawn by J. Harden),80,91
3,1:48.0,,J. Harden makes free throw 1 of 1,80,92
3,1:35.0,D. Russell misses 3-pt jump shot from 27 ft,,80,92
3,1:34.0,,Defensive rebound by J. Nunnally,80,92
3,1:28.0,,J. Harden misses 3-pt jump shot from 28 ft,80,92
3,1:27.0,Defensive rebound by Team,,80,92
3,1:27.0,,A. Rivers enters the game for J. Harden,80,92
3,1:10.0,R. Kurucs makes 2-pt layup from 2 ft,,82,92
3,0:51.0,,J. Nunnally misses 3-pt jump shot from 23 ft,82,92
3,0:49.0,Defensive rebound by R. Hollis-Jefferson,,82,92
3,0:44.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft,,84,92
3,0:44.0,Shooting foul by A. Rivers (drawn by R. Hollis-Jefferson),,84,92
3,0:44.0,,G. Green enters the game for G. Clark,84,92
3,0:44.0,,J. Harden enters the game for J. Nunnally,84,92
3,0:44.0,R. Hollis-Jefferson makes free throw 1 of 1,,85,92
3,0:35.0,,Shooting foul by S. Dinwiddie (drawn by J. Harden),85,92
3,0:35.0,,J. Harden makes free throw 1 of 2,85,93
3,0:35.0,,J. Harden makes free throw 2 of 2,85,94
3,0:17.0,R. Kurucs misses 3-pt jump shot from 23 ft,,85,94
3,0:14.0,Offensive rebound by R. Hollis-Jefferson,,85,94
3,0:12.0,D. Carroll misses 2-pt jump shot from 15 ft,,85,94
3,0:09.0,,Defensive rebound by N. Hilário,85,94
3,0:00.0,,J. Harden misses 2-pt jump shot from 19 ft,85,94
3,0:00.0,,Offensive rebound by Team,85,94
4,11:48.0,Personal foul by J. Nunnally (drawn by J. Allen),,85,94
4,11:41.0,T. Graham makes 2-pt jump shot from 12 ft (assist by D. Russell),,87,94
4,11:27.0,,Shooting foul by J. Allen (drawn by E. Gordon),87,94
4,11:27.0,,E. Gordon makes free throw 1 of 2,87,95
4,11:27.0,,E. Gordon makes free throw 2 of 2,87,96
4,11:09.0,T. Graham makes 3-pt jump shot from 24 ft (assist by J. Harris),,90,96
4,10:48.0,,E. Gordon makes 2-pt layup from 2 ft,90,98
4,10:37.0,J. Allen misses 2-pt layup from 2 ft,,90,98
4,10:35.0,,Defensive rebound by G. Green,90,98
4,10:22.0,,Houston full timeout,90,98
4,10:22.0,,G. Clark enters the game for E. Gordon,90,98
4,10:22.0,,J. Harden enters the game for J. Nunnally,90,98
4,10:15.0,,J. Harden makes 3-pt jump shot from 26 ft,90,101
4,9:59.0,J. Allen misses 3-pt jump shot from 23 ft,,90,101
4,9:57.0,Offensive rebound by J. Harris,,90,101
4,9:57.0,J. Harris misses 2-pt layup from 2 ft (block by G. Green),,90,101
4,9:56.0,,Defensive rebound by G. Green,90,101
4,9:42.0,,N. Hilário makes 2-pt layup from 2 ft (assist by G. Green),90,103
4,9:29.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by J. Harris),,93,103
4,9:07.0,,J. Harden misses 3-pt jump shot from 26 ft,93,103
4,9:04.0,,Offensive rebound by N. Hilário,93,103
4,8:56.0,,G. Green misses 3-pt jump shot from 26 ft,93,103
4,8:54.0,Defensive rebound by J. Allen,,93,103
4,8:49.0,Shooting foul by A. Rivers (drawn by D. Carroll),,93,103
4,8:49.0,D. Carroll makes free throw 1 of 2,,94,103
4,8:49.0,S. Dinwiddie enters the game for T. Graham,,94,103
4,8:49.0,,P. Tucker enters the game for G. Clark,94,103
4,8:49.0,D. Carroll misses free throw 2 of 2,,94,103
4,8:49.0,,Defensive rebound by J. Harden,94,103
4,8:36.0,,A. Rivers misses 2-pt layup from 3 ft (block by J. Allen),94,103
4,8:34.0,Defensive rebound by J. Harris,,94,103
4,8:30.0,D. Carroll makes 2-pt layup from 3 ft (assist by D. Russell),,96,103
4,8:30.0,Shooting foul by G. Green (drawn by D. Carroll),,96,103
4,8:30.0,D. Carroll makes free throw 1 of 1,,97,103
4,8:16.0,,N. Hilário misses 2-pt jump shot from 6 ft,97,103
4,8:15.0,Defensive rebound by J. Allen,,97,103
4,8:08.0,J. Allen misses 2-pt dunk from 4 ft (block by N. Hilário),,97,103
4,8:07.0,,Defensive rebound by J. Harden,97,103
4,7:55.0,,J. Harden makes 2-pt layup from 3 ft,97,105
4,7:41.0,Offensive foul by S. Dinwiddie (drawn by P. Tucker),,97,105
4,7:41.0,Turnover by S. Dinwiddie (offensive foul),,97,105
4,7:41.0,,G. Clark enters the game for N. Hilário,97,105
4,7:39.0,Technical foul by D. Russell,,97,105
4,7:39.0,,J. Harden makes technical free throw,97,106
4,7:21.0,,J. Harden misses 3-pt jump shot from 27 ft,97,106
4,7:20.0,Defensive rebound by S. Dinwiddie,,97,106
4,7:12.0,Turnover by D. Russell (bad pass; steal by P. Tucker),,97,106
4,7:01.0,,A. Rivers makes 2-pt layup from 3 ft,97,108
4,7:01.0,Brooklyn full timeout,,97,108
4,7:01.0,R. Kurucs enters the game for D. Russell,,97,108
4,6:43.0,J. Harris misses 2-pt jump shot from 5 ft,,97,108
4,6:42.0,,Defensive rebound by G. Clark,97,108
4,6:36.0,,Shooting foul by J. Allen (drawn by J. Harden),97,108
4,6:36.0,,J. Harden makes free throw 1 of 2,97,109
4,6:36.0,,J. Harden makes free throw 2 of 2,97,110
4,6:23.0,S. Dinwiddie misses 2-pt jump shot from 4 ft,,97,110
4,6:22.0,Offensive rebound by J. Allen,,97,110
4,6:21.0,J. Allen makes 2-pt layup from 1 ft,,99,110
4,5:56.0,,A. Rivers makes 2-pt layup from 3 ft,99,112
4,5:50.0,S. Dinwiddie makes 2-pt layup from 1 ft,,101,112
