QUARTER,TIME_REMAINING,NEW YORK_ACTION,SAN ANTONIO_ACTION,NEW YORK_SCORE,SAN ANTONIO_SCORE
3,9:55.0,D. Dotson makes 2-pt jump shot from 18 ft (assist by D. Jordan),,47,58
3,9:55.0,,San Antonio full timeout,47,58
3,9:37.0,,D. White misses 2-pt jump shot from 15 ft,47,58
3,9:34.0,Defensive rebound by D. Jordan,,47,58
3,9:23.0,Turnover by D. Jordan (bad pass; steal by J. Poeltl),,47,58
3,9:18.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),47,61
3,9:01.0,D. Dotson makes 3-pt jump shot from 27 ft (assist by K. Knox),,50,61
3,8:45.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. White),50,63
3,8:25.0,E. Mudiay misses 3-pt jump shot from 25 ft,,50,63
3,8:21.0,,Defensive rebound by L. Aldridge,50,63
3,8:13.0,,L. Aldridge misses 2-pt jump shot from 20 ft,50,63
3,8:10.0,Defensive rebound by D. Jordan,,50,63
3,7:55.0,D. Jordan misses 2-pt hook shot from 5 ft,,50,63
3,7:51.0,,Defensive rebound by L. Aldridge,50,63
3,7:40.0,,L. Aldridge makes 2-pt jump shot from 18 ft,50,65
3,7:14.0,D. Dotson makes 2-pt jump shot from 18 ft (assist by D. Jordan),,52,65
3,7:00.0,,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. DeRozan),52,67
3,6:40.0,L. Kornet misses 2-pt layup from 1 ft,,52,67
3,6:40.0,,Defensive rebound by B. Forbes,52,67
3,6:32.0,,Shooting foul by D. Jordan (drawn by D. White),52,67
3,6:32.0,,D. White makes free throw 1 of 2,52,68
3,6:32.0,K. Allen enters the game for K. Knox,,52,68
3,6:32.0,L. Thomas enters the game for L. Kornet,,52,68
3,6:32.0,,R. Gay enters the game for J. Poeltl,52,68
3,6:32.0,,D. White misses free throw 2 of 2,52,68
3,6:29.0,Defensive rebound by L. Thomas,,52,68
3,6:16.0,D. Dotson makes 2-pt jump shot from 21 ft (assist by L. Thomas),,54,68
3,6:08.0,,Turnover by D. White (out of bounds lost ball),54,68
3,6:08.0,,P. Mills enters the game for D. White,54,68
3,5:49.0,K. Allen makes 2-pt jump shot from 11 ft (assist by D. Jordan),,56,68
3,5:34.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),56,70
3,5:28.0,Personal foul by D. DeRozan (drawn by D. Jordan),,56,70
3,5:28.0,M. Robinson enters the game for D. Jordan,,56,70
3,5:28.0,,M. Belinelli enters the game for B. Forbes,56,70
3,5:14.0,L. Thomas misses 2-pt layup at rim,,56,70
3,5:14.0,,Defensive rebound by R. Gay,56,70
3,5:05.0,,P. Mills misses 3-pt jump shot from 24 ft,56,70
3,5:02.0,Defensive rebound by E. Mudiay,,56,70
3,4:50.0,E. Mudiay makes 2-pt jump shot from 12 ft,,58,70
3,4:33.0,,D. DeRozan misses 2-pt layup from 2 ft,58,70
3,4:33.0,Defensive rebound by M. Robinson,,58,70
3,4:28.0,E. Mudiay makes 3-pt jump shot from 25 ft,,61,70
3,4:27.0,,San Antonio full timeout,61,70
3,4:06.0,,D. DeRozan makes 2-pt jump shot from 16 ft (assist by R. Gay),61,72
3,3:44.0,E. Mudiay makes 2-pt jump shot from 10 ft (assist by D. Dotson),,63,72
3,3:37.0,,P. Mills makes 2-pt layup from 1 ft,63,74
3,3:37.0,Violation by Team (def goaltending),,63,74
3,3:29.0,D. Dotson makes 3-pt jump shot from 27 ft (assist by K. Allen),,66,74
3,3:08.0,,M. Belinelli makes 2-pt jump shot from 12 ft (assist by D. DeRozan),66,76
3,2:55.0,Shooting foul by P. Mills (drawn by M. Robinson),,66,76
3,2:55.0,M. Robinson makes free throw 1 of 2,,67,76
3,2:55.0,,D. Bertāns enters the game for D. DeRozan,67,76
3,2:55.0,M. Robinson misses free throw 2 of 2,,67,76
3,2:53.0,,Defensive rebound by D. Bertāns,67,76
3,2:40.0,,R. Gay misses 2-pt dunk from 1 ft (block by M. Robinson),67,76
3,2:37.0,Defensive rebound by L. Thomas,,67,76
3,2:24.0,D. Dotson misses 2-pt layup from 2 ft,,67,76
3,2:22.0,,Defensive rebound by L. Aldridge,67,76
3,2:14.0,,Turnover by P. Mills (bad pass; steal by K. Allen),67,76
3,2:11.0,K. Allen misses 2-pt layup from 1 ft,,67,76
3,2:07.0,,Defensive rebound by D. Bertāns,67,76
3,2:05.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by P. Mills),67,79
3,1:44.0,E. Mudiay makes 2-pt jump shot from 15 ft,,69,79
3,1:29.0,,D. Bertāns misses 3-pt jump shot from 25 ft,69,79
3,1:27.0,Defensive rebound by E. Mudiay,,69,79
3,1:08.0,K. Allen misses 2-pt layup from 1 ft,,69,79
3,1:05.0,,Defensive rebound by L. Aldridge,69,79
3,1:01.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by R. Gay),69,81
3,1:01.0,,Shooting foul by E. Mudiay (drawn by M. Belinelli),69,81
3,1:01.0,A. Trier enters the game for E. Mudiay,,69,81
3,1:01.0,,J. Poeltl enters the game for L. Aldridge,69,81
3,1:01.0,,M. Belinelli makes free throw 1 of 1,69,82
3,0:46.0,Turnover by L. Thomas (out of bounds lost ball),,69,82
3,0:24.0,,R. Gay misses 3-pt jump shot from 26 ft,69,82
3,0:22.0,Defensive rebound by D. Dotson,,69,82
3,0:11.0,Personal take foul by D. Bertāns (drawn by D. Dotson),,69,82
3,0:11.0,,D. White enters the game for D. Bertāns,69,82
3,0:00.0,Turnover by A. Trier (bad pass; steal by M. Belinelli),,69,82
4,11:43.0,,J. Poeltl makes 2-pt dunk from 2 ft (assist by R. Gay),69,84
4,11:16.0,Turnover by H. Ellenson (lost ball; steal by R. Gay),,69,84
4,11:12.0,,P. Mills misses 3-pt jump shot from 25 ft,69,84
4,11:08.0,Defensive rebound by A. Trier,,69,84
4,10:47.0,J. Jenkins misses 2-pt jump shot from 20 ft,,69,84
4,10:44.0,,Defensive rebound by R. Gay,69,84
4,10:38.0,,R. Gay makes 2-pt layup from 1 ft,69,86
4,10:32.0,New York full timeout,,69,86
4,10:27.0,Turnover by H. Ellenson (bad pass),,69,86
4,10:12.0,,R. Gay makes 2-pt jump shot from 20 ft (assist by D. Bertāns),69,88
4,9:57.0,Turnover by K. Allen (bad pass),,69,88
4,9:57.0,E. Mudiay enters the game for J. Jenkins,,69,88
4,9:49.0,,P. Mills misses 3-pt jump shot from 25 ft,69,88
4,9:45.0,Defensive rebound by A. Trier,,69,88
4,9:38.0,A. Trier misses 2-pt jump shot from 15 ft,,69,88
4,9:37.0,Offensive rebound by M. Robinson,,69,88
4,9:37.0,Personal foul by D. Bertāns (drawn by M. Robinson),,69,88
4,9:37.0,D. Jordan enters the game for H. Ellenson,,69,88
4,9:37.0,,D. Cunningham enters the game for R. Gay,69,88
4,9:27.0,A. Trier misses 2-pt jump shot from 19 ft,,69,88
4,9:21.0,Offensive rebound by D. Jordan,,69,88
4,9:21.0,D. Jordan makes 2-pt layup from 1 ft,,71,88
4,8:59.0,,P. Mills misses 3-pt jump shot from 24 ft,71,88
4,8:56.0,Defensive rebound by M. Robinson,,71,88
4,8:49.0,D. Jordan makes 2-pt layup from 1 ft (assist by E. Mudiay),,73,88
4,8:23.0,,M. Belinelli misses 2-pt jump shot from 19 ft,73,88
4,8:21.0,Defensive rebound by E. Mudiay,,73,88
4,8:12.0,A. Trier misses 3-pt jump shot from 23 ft,,73,88
4,8:10.0,,Defensive rebound by D. Bertāns,73,88
4,7:55.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by P. Mills),73,90
4,7:39.0,A. Trier misses 3-pt jump shot from 26 ft,,73,90
4,7:37.0,,Defensive rebound by M. Belinelli,73,90
4,7:29.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by J. Poeltl),73,93
4,7:27.0,New York full timeout,,73,93
4,7:27.0,D. Dotson enters the game for K. Allen,,73,93
4,7:27.0,,B. Forbes enters the game for M. Belinelli,73,93
4,7:27.0,,D. White enters the game for P. Mills,73,93
4,7:09.0,D. Dotson misses 3-pt jump shot from 24 ft,,73,93
4,7:01.0,Offensive rebound by M. Robinson,,73,93
4,7:00.0,Turnover by M. Robinson (bad pass; steal by J. Poeltl),,73,93
4,6:50.0,,D. Bertāns misses 3-pt jump shot from 28 ft,73,93
4,6:46.0,Defensive rebound by D. Jordan,,73,93
4,6:33.0,A. Trier misses 2-pt layup from 1 ft (block by J. Poeltl),,73,93
4,6:28.0,Offensive rebound by M. Robinson,,73,93
4,6:27.0,M. Robinson misses 2-pt layup from 3 ft (block by J. Poeltl),,73,93
4,6:24.0,,Defensive rebound by J. Poeltl,73,93
4,6:23.0,,Personal foul by M. Robinson (drawn by D. White),73,93
4,6:23.0,K. Allen enters the game for A. Trier,,73,93
4,6:14.0,,B. Forbes makes 2-pt jump shot from 17 ft (assist by J. Poeltl),73,95
4,6:00.0,E. Mudiay misses 2-pt jump shot from 18 ft,,73,95
4,6:00.0,,Defensive rebound by J. Poeltl,73,95
4,5:40.0,,D. Bertāns makes 2-pt dunk from 1 ft (assist by D. White),73,97
4,5:18.0,D. Jordan makes 2-pt layup from 3 ft,,75,97
4,5:18.0,Shooting foul by D. Bertāns (drawn by D. Jordan),,75,97
4,5:18.0,,C. Metu enters the game for B. Forbes,75,97
4,5:18.0,,L. Walker enters the game for J. Poeltl,75,97
4,5:18.0,D. Jordan makes free throw 1 of 1,,76,97
4,5:00.0,,L. Walker misses 2-pt jump shot from 8 ft,76,97
4,4:55.0,,Offensive rebound by D. Bertāns,76,97
4,4:55.0,,D. Bertāns makes 2-pt layup at rim,76,99
4,4:43.0,D. Dotson makes 3-pt jump shot from 26 ft (assist by D. Jordan),,79,99
4,4:34.0,,San Antonio full timeout,79,99
4,4:34.0,L. Kornet enters the game for M. Robinson,,79,99
4,4:34.0,,P. Mills enters the game for D. White,79,99
4,4:22.0,,Shooting foul by E. Mudiay (drawn by D. Bertāns),79,99
4,4:22.0,,D. Bertāns makes free throw 1 of 2,79,100
4,4:22.0,,D. Bertāns makes free throw 2 of 2,79,101
4,4:11.0,L. Kornet misses 3-pt jump shot from 26 ft,,79,101
4,4:07.0,,Defensive rebound by C. Metu,79,101
4,3:49.0,,C. Metu misses 2-pt jump shot from 13 ft,79,101
4,3:46.0,Defensive rebound by D. Dotson,,79,101
4,3:38.0,,Violation by Team (kicked ball),79,101
4,3:38.0,,Q. Pondexter enters the game for D. Bertāns,79,101
4,3:26.0,Turnover by E. Mudiay (lost ball; steal by L. Walker),,79,101
4,3:21.0,,C. Metu makes 2-pt dunk from 1 ft (assist by Q. Pondexter),79,103
4,3:08.0,Personal foul by Q. Pondexter (drawn by K. Allen),,79,103
4,3:08.0,K. Knox enters the game for E. Mudiay,,79,103
4,3:03.0,Personal foul by C. Metu (drawn by D. Jordan),,79,103
4,2:46.0,D. Dotson misses 2-pt jump shot from 19 ft,,79,103
4,2:44.0,,Defensive rebound by C. Metu,79,103
4,2:22.0,,C. Metu makes 2-pt jump shot from 7 ft (assist by L. Walker),79,105
4,2:07.0,Turnover by D. Jordan (bad pass; steal by D. Cunningham),,79,105
4,2:04.0,,Q. Pondexter makes 2-pt dunk from 1 ft,79,107
4,1:44.0,K. Allen makes 3-pt jump shot from 25 ft (assist by L. Kornet),,82,107
4,1:42.0,,Personal take foul by D. Jordan (drawn by P. Mills),82,107
4,1:42.0,H. Ellenson enters the game for D. Jordan,,82,107
4,1:23.0,,L. Walker makes 2-pt layup from 1 ft (assist by P. Mills),82,109
4,1:08.0,Shooting foul by L. Walker (drawn by K. Knox),,82,109
4,1:08.0,K. Knox misses free throw 1 of 2,,82,109
4,1:08.0,Offensive rebound by Team,,82,109
4,1:08.0,K. Knox makes free throw 2 of 2,,83,109
4,0:52.0,,C. Metu misses 2-pt jump shot from 19 ft,83,109
4,0:49.0,Defensive rebound by H. Ellenson,,83,109
4,0:40.0,H. Ellenson misses 2-pt jump shot from 9 ft,,83,109
4,0:38.0,,Defensive rebound by Q. Pondexter,83,109
4,0:15.0,,Q. Pondexter misses 2-pt layup from 2 ft (block by K. Knox),83,109
4,0:15.0,,Offensive rebound by Team,83,109
