QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
1,4:53.0,B. Hield enters the game for D. Fox,,23,23
1,4:44.0,Turnover by Y. Ferrell (bad pass; steal by P. George),,23,23
1,4:41.0,,D. Schröder misses 2-pt layup from 1 ft,23,23
1,4:38.0,Defensive rebound by B. Hield,,23,23
1,4:23.0,I. Shumpert makes 3-pt jump shot from 23 ft (assist by H. Giles),,26,23
1,4:10.0,,Offensive foul by S. Adams (drawn by H. Giles),26,23
1,4:10.0,,Turnover by S. Adams (offensive foul),26,23
1,3:54.0,I. Shumpert makes 2-pt layup from 1 ft (assist by H. Giles),,28,23
1,3:42.0,,J. Grant misses 3-pt jump shot from 23 ft,28,23
1,3:39.0,,Offensive rebound by Team,28,23
1,3:39.0,J. Jackson enters the game for M. Bagley,,28,23
1,3:39.0,,Á. Abrines enters the game for P. George,28,23
1,3:32.0,,R. Westbrook makes 2-pt jump shot from 14 ft,28,25
1,3:32.0,,Shooting foul by B. Hield (drawn by R. Westbrook),28,25
1,3:32.0,,R. Westbrook makes free throw 1 of 1,28,26
1,3:16.0,H. Giles misses 2-pt jump shot from 14 ft,,28,26
1,3:14.0,,Defensive rebound by R. Westbrook,28,26
1,3:06.0,,J. Grant misses 2-pt jump shot from 1 ft (block by H. Giles),28,26
1,3:04.0,Defensive rebound by Y. Ferrell,,28,26
1,2:58.0,B. Hield misses 3-pt jump shot from 23 ft,,28,26
1,2:53.0,,Defensive rebound by S. Adams,28,26
1,2:49.0,,R. Westbrook misses 2-pt layup from 1 ft,28,26
1,2:47.0,Defensive rebound by H. Giles,,28,26
1,2:35.0,I. Shumpert misses 3-pt jump shot from 25 ft,,28,26
1,2:33.0,,Defensive rebound by S. Adams,28,26
1,2:25.0,,Turnover by D. Schröder (bad pass; steal by I. Shumpert),28,26
1,2:22.0,Offensive foul by B. Hield (drawn by D. Schröder),,28,26
1,2:22.0,Turnover by B. Hield (offensive foul),,28,26
1,2:22.0,M. Bagley enters the game for H. Giles,,28,26
1,2:22.0,D. Fox enters the game for B. Hield,,28,26
1,2:22.0,S. Labissière enters the game for I. Shumpert,,28,26
1,2:22.0,,H. Diallo enters the game for R. Westbrook,28,26
1,2:09.0,,Shooting foul by Y. Ferrell (drawn by J. Grant),28,26
1,2:09.0,,J. Grant makes free throw 1 of 2,28,27
1,2:09.0,,J. Grant misses free throw 2 of 2,28,27
1,2:09.0,,Offensive rebound by S. Adams,28,27
1,2:09.0,,S. Adams misses 2-pt layup at rim,28,27
1,2:09.0,Defensive rebound by J. Jackson,,28,27
1,1:59.0,Personal foul by H. Diallo (drawn by D. Fox),,28,27
1,1:59.0,,N. Noel enters the game for S. Adams,28,27
1,1:51.0,S. Labissière misses 2-pt layup from 2 ft (block by J. Grant),,28,27
1,1:51.0,,Defensive rebound by Á. Abrines,28,27
1,1:48.0,,H. Diallo makes 2-pt dunk from 1 ft (assist by Á. Abrines),28,29
1,1:30.0,Shooting foul by J. Grant (drawn by M. Bagley),,28,29
1,1:30.0,M. Bagley makes free throw 1 of 2,,29,29
1,1:30.0,M. Bagley makes free throw 2 of 2,,30,29
1,1:22.0,,D. Schröder misses 2-pt layup at rim (block by D. Fox),30,29
1,1:19.0,,Offensive rebound by D. Schröder,30,29
1,1:09.0,,Á. Abrines misses 3-pt jump shot from 24 ft,30,29
1,1:08.0,Defensive rebound by Team,,30,29
1,0:58.0,Turnover by M. Bagley (traveling),,30,29
1,0:48.0,,H. Diallo makes 3-pt jump shot from 23 ft (assist by Á. Abrines),30,32
1,0:34.0,Y. Ferrell makes 2-pt layup from 2 ft,,32,32
1,0:09.0,,Offensive foul by D. Schröder (drawn by Y. Ferrell),32,32
1,0:09.0,,Turnover by D. Schröder (offensive foul),32,32
1,0:09.0,N. Bjelica enters the game for S. Labissière,,32,32
1,0:01.0,Y. Ferrell makes 2-pt jump shot from 10 ft,,34,32
2,11:47.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),34,34
2,11:32.0,Personal foul by N. Noel (drawn by M. Bagley),,34,34
2,11:26.0,M. Bagley misses 2-pt jump shot from 5 ft,,34,34
2,11:22.0,,Defensive rebound by N. Noel,34,34
2,11:15.0,,N. Noel makes 2-pt layup from 1 ft (assist by D. Schröder),34,36
2,11:08.0,Offensive foul by M. Bagley (drawn by N. Noel),,34,36
2,11:08.0,Turnover by M. Bagley (offensive foul),,34,36
2,10:58.0,,D. Schröder misses 2-pt jump shot from 15 ft,34,36
2,10:55.0,,Offensive rebound by N. Noel,34,36
2,10:46.0,,Offensive foul by H. Diallo (drawn by Y. Ferrell),34,36
2,10:46.0,,Turnover by H. Diallo (offensive foul),34,36
2,10:27.0,J. Jackson misses 2-pt jump shot from 8 ft,,34,36
2,10:22.0,Offensive rebound by M. Bagley,,34,36
2,10:22.0,M. Bagley makes 2-pt dunk from 1 ft,,36,36
2,10:19.0,,Oklahoma City full timeout,36,36
2,10:19.0,,P. George enters the game for Á. Abrines,36,36
2,10:08.0,,Turnover by P. George (lost ball; steal by N. Bjelica),36,36
2,10:00.0,J. Jackson misses 3-pt jump shot from 23 ft,,36,36
2,9:58.0,Offensive rebound by M. Bagley,,36,36
2,9:58.0,Personal foul by P. George (drawn by M. Bagley),,36,36
2,9:49.0,Turnover by N. Bjelica (bad pass; steal by P. George),,36,36
2,9:28.0,,J. Grant misses 3-pt jump shot from 25 ft,36,36
2,9:24.0,Defensive rebound by N. Bjelica,,36,36
2,9:19.0,M. Bagley makes 2-pt layup from 1 ft (assist by N. Bjelica),,38,36
2,9:19.0,Shooting foul by N. Noel (drawn by M. Bagley),,38,36
2,9:19.0,M. Bagley misses free throw 1 of 1,,38,36
2,9:19.0,,Defensive rebound by P. George,38,36
2,9:07.0,,J. Grant makes 2-pt dunk at rim (assist by D. Schröder),38,38
2,8:58.0,D. Fox makes 3-pt jump shot from 26 ft,,41,38
2,8:43.0,,Personal foul by D. Fox (drawn by J. Grant),41,38
2,8:43.0,W. Cauley-Stein enters the game for M. Bagley,,41,38
2,8:43.0,I. Shumpert enters the game for Y. Ferrell,,41,38
2,8:31.0,,J. Grant makes 2-pt jump shot at rim,41,40
2,8:19.0,N. Bjelica makes 3-pt jump shot from 27 ft (assist by D. Fox),,44,40
2,8:04.0,,Turnover by P. George (bad pass; steal by N. Bjelica),44,40
2,7:56.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by I. Shumpert),,46,40
2,7:39.0,,J. Grant misses 2-pt layup from 1 ft (block by N. Bjelica),46,40
2,7:38.0,Defensive rebound by I. Shumpert,,46,40
2,7:38.0,Personal foul by N. Noel (drawn by W. Cauley-Stein),,46,40
2,7:38.0,,S. Adams enters the game for J. Grant,46,40
2,7:38.0,,P. Patterson enters the game for N. Noel,46,40
2,7:38.0,,R. Westbrook enters the game for D. Schröder,46,40
2,7:22.0,J. Jackson makes 2-pt layup from 5 ft (assist by I. Shumpert),,48,40
2,7:07.0,,P. George misses 2-pt jump shot from 18 ft,48,40
2,7:04.0,Defensive rebound by J. Jackson,,48,40
2,6:53.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by P. Patterson),,48,40
2,6:51.0,,Defensive rebound by P. Patterson,48,40
2,6:48.0,,H. Diallo makes 2-pt layup from 2 ft (assist by R. Westbrook),48,42
2,6:29.0,W. Cauley-Stein misses 2-pt layup from 3 ft (block by S. Adams),,48,42
2,6:28.0,,Defensive rebound by R. Westbrook,48,42
2,6:24.0,,P. George misses 3-pt jump shot from 25 ft,48,42
2,6:23.0,Defensive rebound by Team,,48,42
2,6:23.0,,Loose ball foul by S. Adams (drawn by W. Cauley-Stein),48,42
2,6:23.0,W. Cauley-Stein makes free throw 1 of 2,,49,42
2,6:23.0,,T. Ferguson enters the game for H. Diallo,49,42
2,6:23.0,W. Cauley-Stein misses free throw 2 of 2,,49,42
2,6:21.0,,Defensive rebound by R. Westbrook,49,42
2,6:15.0,,R. Westbrook makes 2-pt layup from 2 ft,49,44
2,6:15.0,,Shooting foul by W. Cauley-Stein (drawn by R. Westbrook),49,44
2,6:15.0,,R. Westbrook misses free throw 1 of 1,49,44
2,6:15.0,Defensive rebound by D. Fox,,49,44
2,6:08.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by D. Fox),,51,44
2,5:57.0,,P. Patterson misses 3-pt jump shot from 23 ft,51,44
2,5:54.0,Defensive rebound by J. Jackson,,51,44
2,5:47.0,D. Fox misses 3-pt jump shot from 23 ft,,51,44
2,5:44.0,,Defensive rebound by R. Westbrook,51,44
2,5:41.0,,Turnover by R. Westbrook (bad pass; steal by N. Bjelica),51,44
2,5:39.0,Sacramento full timeout,,51,44
2,5:24.0,W. Cauley-Stein makes 2-pt layup from 2 ft,,53,44
2,5:02.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),53,47
2,5:02.0,,Shooting foul by N. Bjelica (drawn by P. Patterson),53,47
2,5:02.0,M. Bagley enters the game for N. Bjelica,,53,47
2,5:02.0,,P. Patterson makes free throw 1 of 1,53,48
2,4:54.0,Turnover by D. Fox (lost ball; steal by P. George),,53,48
2,4:51.0,,P. George makes 2-pt dunk at rim,53,50
2,4:34.0,I. Shumpert misses 2-pt layup from 2 ft (block by S. Adams),,53,50
2,4:32.0,,Defensive rebound by P. George,53,50
2,4:29.0,,Personal foul by W. Cauley-Stein (drawn by S. Adams),53,50
2,4:29.0,H. Giles enters the game for W. Cauley-Stein,,53,50
2,4:29.0,,D. Schröder enters the game for P. George,53,50
2,4:24.0,,R. Westbrook makes 2-pt layup from 1 ft,53,52
2,4:12.0,H. Giles makes 2-pt jump shot from 7 ft (assist by D. Fox),,55,52
2,4:02.0,,T. Ferguson misses 3-pt jump shot from 23 ft,55,52
2,3:59.0,Defensive rebound by H. Giles,,55,52
2,3:50.0,M. Bagley misses 2-pt jump shot from 7 ft,,55,52
2,3:48.0,,Defensive rebound by R. Westbrook,55,52
2,3:41.0,,P. Patterson misses 3-pt jump shot from 25 ft,55,52
2,3:36.0,Defensive rebound by I. Shumpert,,55,52
2,3:24.0,Turnover by M. Bagley (lost ball; steal by P. Patterson),,55,52
2,3:19.0,,D. Schröder misses 3-pt jump shot from 25 ft,55,52
2,3:14.0,Defensive rebound by M. Bagley,,55,52
2,3:08.0,Shooting foul by T. Ferguson (drawn by I. Shumpert),,55,52
2,3:08.0,I. Shumpert makes free throw 1 of 2,,56,52
2,3:08.0,Y. Ferrell enters the game for J. Jackson,,56,52
2,3:08.0,I. Shumpert makes free throw 2 of 2,,57,52
2,3:00.0,,T. Ferguson misses 2-pt layup from 1 ft,57,52
2,2:56.0,,Offensive rebound by S. Adams,57,52
2,2:56.0,,S. Adams misses 2-pt layup at rim,57,52
2,2:56.0,Defensive rebound by D. Fox,,57,52
2,2:53.0,D. Fox makes 2-pt layup from 1 ft,,59,52
2,2:47.0,,Personal foul by H. Giles (drawn by S. Adams),59,52
2,2:47.0,,S. Adams misses free throw 1 of 2,59,52
2,2:47.0,,Offensive rebound by Team,59,52
2,2:47.0,B. McLemore enters the game for I. Shumpert,,59,52
2,2:47.0,,S. Adams misses free throw 2 of 2,59,52
2,2:45.0,Defensive rebound by Y. Ferrell,,59,52
2,2:32.0,Personal foul by T. Ferguson (drawn by D. Fox),,59,52
2,2:32.0,D. Fox makes free throw 1 of 2,,60,52
2,2:32.0,D. Fox makes free throw 2 of 2,,61,52
2,2:25.0,,R. Westbrook misses 3-pt jump shot from 24 ft,61,52
2,2:22.0,Defensive rebound by Team,,61,52
2,2:22.0,,J. Grant enters the game for P. Patterson,61,52
2,1:57.0,H. Giles misses 2-pt jump shot from 12 ft,,61,52
2,1:56.0,,Defensive rebound by R. Westbrook,61,52
2,1:44.0,,R. Westbrook misses 2-pt jump shot from 12 ft,61,52
2,1:43.0,,Offensive rebound by Team,61,52
2,1:43.0,Loose ball foul by H. Giles (drawn by S. Adams),,61,52
2,1:43.0,,S. Adams makes free throw 1 of 2,61,53
2,1:43.0,,S. Adams makes free throw 2 of 2,61,54
2,1:31.0,B. McLemore misses 3-pt jump shot from 25 ft,,61,54
2,1:27.0,,Defensive rebound by T. Ferguson,61,54
2,1:23.0,,D. Schröder misses 2-pt layup from 2 ft,61,54
2,1:20.0,Defensive rebound by Y. Ferrell,,61,54
2,1:13.0,H. Giles makes 2-pt jump shot from 11 ft (assist by B. McLemore),,63,54
2,0:57.0,,R. Westbrook misses 3-pt jump shot from 25 ft,63,54
2,0:55.0,Defensive rebound by M. Bagley,,63,54
2,0:42.0,H. Giles misses 2-pt jump shot from 13 ft,,63,54
2,0:38.0,,Defensive rebound by D. Schröder,63,54
2,0:34.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by D. Schröder),63,56
2,0:13.0,Y. Ferrell misses 2-pt jump shot from 20 ft,,63,56
2,0:13.0,Offensive rebound by Y. Ferrell,,63,56
2,0:10.0,Y. Ferrell makes 2-pt layup from 4 ft,,65,56
2,0:10.0,,Violation by Team (def goaltending),65,56
2,0:10.0,Shooting foul by S. Adams (drawn by Y. Ferrell),,65,56
2,0:10.0,,P. Patterson enters the game for S. Adams,65,56
2,0:10.0,Y. Ferrell makes free throw 1 of 1,,66,56
2,0:04.0,,Turnover by R. Westbrook (lost ball; steal by Y. Ferrell),66,56
2,0:01.0,Y. Ferrell makes 2-pt layup from 2 ft,,68,56
3,11:47.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by P. George),68,58
3,11:26.0,N. Bjelica makes 2-pt jump shot from 5 ft,,70,58
3,11:15.0,,Personal foul by I. Shumpert (drawn by P. George),70,58
3,11:09.0,,P. Patterson misses 3-pt jump shot from 25 ft,70,58
3,11:07.0,Defensive rebound by W. Cauley-Stein,,70,58
3,10:53.0,B. Hield makes 2-pt jump shot from 4 ft,,72,58
3,10:35.0,,Shooting foul by W. Cauley-Stein (drawn by S. Adams),72,58
3,10:35.0,,S. Adams misses free throw 1 of 2,72,58
3,10:35.0,,Offensive rebound by Team,72,58
3,10:35.0,,S. Adams makes free throw 2 of 2,72,59
3,10:26.0,Shooting foul by P. George (drawn by B. Hield),,72,59
3,10:26.0,B. Hield makes free throw 1 of 2,,73,59
3,10:26.0,H. Giles enters the game for W. Cauley-Stein,,73,59
3,10:26.0,B. Hield makes free throw 2 of 2,,74,59
3,10:16.0,,R. Westbrook makes 2-pt layup from 1 ft,74,61
3,10:07.0,H. Giles misses 2-pt layup from 1 ft,,74,61
3,10:05.0,,Defensive rebound by S. Adams,74,61
3,10:04.0,,R. Westbrook makes 2-pt layup from 1 ft,74,63
3,9:38.0,D. Fox misses 3-pt jump shot from 25 ft,,74,63
3,9:36.0,,Defensive rebound by P. George,74,63
3,9:30.0,,Turnover by T. Ferguson (lost ball; steal by H. Giles),74,63
3,9:21.0,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),,77,63
3,9:20.0,,Oklahoma City full timeout,77,63
3,9:20.0,,D. Schröder enters the game for P. Patterson,77,63
3,9:12.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),77,66
3,8:54.0,I. Shumpert makes 2-pt jump shot from 18 ft,,79,66
3,8:45.0,,Turnover by R. Westbrook (bad pass; steal by I. Shumpert),79,66
3,8:44.0,I. Shumpert makes 2-pt layup at rim,,81,66
3,8:28.0,,D. Schröder misses 2-pt layup from 6 ft (block by I. Shumpert),81,66
3,8:26.0,Defensive rebound by H. Giles,,81,66
3,8:03.0,Turnover by Team (shot clock),,81,66
3,7:52.0,,R. Westbrook misses 3-pt jump shot from 25 ft,81,66
3,7:49.0,Defensive rebound by B. Hield,,81,66
3,7:39.0,Personal foul by R. Westbrook (drawn by N. Bjelica),,81,66
3,7:30.0,H. Giles makes 2-pt jump shot from 6 ft (assist by N. Bjelica),,83,66
3,7:14.0,,R. Westbrook misses 3-pt jump shot from 25 ft,83,66
3,7:11.0,Defensive rebound by H. Giles,,83,66
3,7:06.0,Personal foul by D. Schröder (drawn by B. Hield),,83,66
3,6:54.0,H. Giles misses 2-pt hook shot from 10 ft,,83,66
3,6:54.0,,Defensive rebound by S. Adams,83,66
3,6:50.0,,Shooting foul by I. Shumpert (drawn by R. Westbrook),83,66
3,6:50.0,,R. Westbrook makes free throw 1 of 2,83,67
3,6:50.0,,H. Diallo enters the game for T. Ferguson,83,67
3,6:50.0,,R. Westbrook misses free throw 2 of 2,83,67
3,6:48.0,Defensive rebound by Team,,83,67
3,6:48.0,,Loose ball foul by R. Westbrook (drawn by H. Giles),83,67
3,6:37.0,Offensive foul by H. Giles (drawn by H. Diallo),,83,67
3,6:37.0,Turnover by H. Giles (offensive foul),,83,67
3,6:25.0,,P. George makes 3-pt jump shot from 25 ft (assist by H. Diallo),83,70
3,5:57.0,Turnover by B. Hield (lost ball; steal by H. Diallo),,83,70
3,5:49.0,,P. George makes 2-pt dunk at rim,83,72
3,5:49.0,,Shooting foul by I. Shumpert (drawn by P. George),83,72
3,5:49.0,,P. George makes free throw 1 of 1,83,73
3,5:46.0,Sacramento full timeout,,83,73
3,5:38.0,B. Hield makes 2-pt jump shot from 13 ft (assist by I. Shumpert),,85,73
3,5:20.0,,Turnover by R. Westbrook (bad pass),85,73
3,5:14.0,D. Fox makes 2-pt layup from 1 ft,,87,73
3,5:14.0,Shooting foul by D. Schröder (drawn by D. Fox),,87,73
3,5:14.0,D. Fox makes free throw 1 of 1,,88,73
3,5:05.0,,Def 3 sec tech foul by Team,88,73
3,5:05.0,,P. George makes technical free throw,88,74
3,4:59.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by D. Schröder),88,76
3,4:48.0,D. Fox makes 2-pt jump shot from 8 ft,,90,76
3,4:43.0,,R. Westbrook misses 2-pt layup from 5 ft (block by I. Shumpert),90,76
3,4:41.0,,Offensive rebound by S. Adams,90,76
3,4:33.0,,P. George misses 3-pt jump shot from 26 ft,90,76
3,4:32.0,,Offensive rebound by Team,90,76
3,4:32.0,Loose ball foul by H. Giles (drawn by S. Adams),,90,76
3,4:32.0,,S. Adams makes free throw 1 of 2,90,77
3,4:32.0,,S. Adams misses free throw 2 of 2,90,77
3,4:29.0,Defensive rebound by I. Shumpert,,90,77
3,4:16.0,B. Hield misses 2-pt jump shot from 19 ft,,90,77
3,4:10.0,Offensive rebound by H. Giles,,90,77
3,4:10.0,H. Giles misses 2-pt layup at rim,,90,77
3,4:08.0,,Defensive rebound by P. George,90,77
3,4:06.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),90,80
3,3:50.0,D. Fox makes 2-pt jump shot from 11 ft,,92,80
3,3:37.0,,H. Diallo misses 3-pt jump shot from 23 ft,92,80
3,3:35.0,,Offensive rebound by H. Diallo,92,80
3,3:33.0,,H. Diallo makes 2-pt dunk from 1 ft,92,82
3,3:18.0,N. Bjelica makes 2-pt layup from 2 ft (assist by I. Shumpert),,94,82
3,3:07.0,,R. Westbrook misses 3-pt jump shot from 25 ft,94,82
3,3:03.0,Defensive rebound by H. Giles,,94,82
3,2:51.0,I. Shumpert misses 3-pt jump shot from 24 ft,,94,82
3,2:51.0,,Defensive rebound by Team,94,82
3,2:51.0,M. Bagley enters the game for N. Bjelica,,94,82
3,2:51.0,J. Jackson enters the game for I. Shumpert,,94,82
3,2:51.0,,J. Grant enters the game for R. Westbrook,94,82
3,2:35.0,,D. Schröder makes 2-pt layup from 1 ft,94,84
3,2:21.0,H. Giles makes 2-pt jump shot from 9 ft (assist by D. Fox),,96,84
3,2:12.0,,Personal foul by J. Jackson (drawn by P. George),96,84
3,2:12.0,Y. Ferrell enters the game for D. Fox,,96,84
3,2:12.0,,N. Noel enters the game for S. Adams,96,84
3,2:12.0,,P. George makes free throw 1 of 2,96,85
3,2:12.0,,P. George makes free throw 2 of 2,96,86
3,2:03.0,Turnover by M. Bagley (traveling),,96,86
3,2:03.0,W. Cauley-Stein enters the game for H. Giles,,96,86
3,1:55.0,,P. George misses 3-pt jump shot from 26 ft,96,86
3,1:52.0,Defensive rebound by B. Hield,,96,86
3,1:49.0,Personal foul by J. Grant (drawn by M. Bagley),,96,86
3,1:49.0,M. Bagley misses free throw 1 of 2,,96,86
3,1:49.0,Offensive rebound by Team,,96,86
3,1:49.0,M. Bagley misses free throw 2 of 2,,96,86
3,1:47.0,,Defensive rebound by P. George,96,86
3,1:34.0,,J. Grant misses 2-pt layup from 4 ft,96,86
3,1:32.0,,Offensive rebound by N. Noel,96,86
3,1:31.0,,N. Noel makes 2-pt dunk from 1 ft,96,88
3,1:11.0,B. Hield misses 2-pt jump shot from 13 ft,,96,88
3,1:08.0,,Defensive rebound by D. Schröder,96,88
3,1:03.0,,D. Schröder misses 2-pt layup from 2 ft (block by Y. Ferrell),96,88
3,1:03.0,,Offensive rebound by Team,96,88
3,0:56.0,,P. George makes 2-pt jump shot from 17 ft,96,90
3,0:41.0,W. Cauley-Stein misses 2-pt layup from 2 ft (block by J. Grant),,96,90
3,0:39.0,,Defensive rebound by P. George,96,90
3,0:36.0,,D. Schröder misses 2-pt jump shot from 12 ft,96,90
3,0:31.0,,Offensive rebound by N. Noel,96,90
3,0:22.0,,Offensive foul by P. George (drawn by B. Hield),96,90
3,0:22.0,,Turnover by P. George (offensive foul),96,90
3,0:22.0,,Violation by Team (delay of game),96,90
3,0:22.0,D. Fox enters the game for Y. Ferrell,,96,90
3,0:22.0,,D. Burton enters the game for P. George,96,90
3,0:01.0,Shooting foul by H. Diallo (drawn by D. Fox),,96,90
3,0:01.0,D. Fox makes free throw 1 of 2,,97,90
3,0:01.0,D. Fox misses free throw 2 of 2,,97,90
3,0:01.0,,Defensive rebound by N. Noel,97,90
4,11:46.0,B. Hield misses 2-pt layup from 3 ft (block by D. Burton),,97,90
4,11:44.0,,Defensive rebound by D. Burton,97,90
4,11:32.0,,D. Schröder makes 2-pt layup at rim,97,92
4,11:17.0,W. Cauley-Stein misses 2-pt hook shot from 3 ft,,97,92
4,11:12.0,Offensive rebound by M. Bagley,,97,92
4,11:12.0,M. Bagley makes 2-pt layup at rim,,99,92
4,11:04.0,,J. Grant misses 2-pt layup from 2 ft,99,92
4,11:01.0,Defensive rebound by W. Cauley-Stein,,99,92
