QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
1,6:43.0,,Defensive rebound by N. Vučević,12,5
1,6:35.0,,A. Gordon misses 3-pt jump shot from 25 ft,12,5
1,6:33.0,Defensive rebound by A. Horford,,12,5
1,6:20.0,J. Tatum misses 2-pt jump shot from 17 ft,,12,5
1,6:19.0,,Defensive rebound by Team,12,5
1,6:19.0,,Orlando full timeout,12,5
1,6:19.0,G. Hayward enters the game for J. Tatum,,12,5
1,6:06.0,,Turnover by A. Gordon (3 sec),12,5
1,6:06.0,,W. Iwundu enters the game for A. Gordon,12,5
1,5:53.0,K. Irving makes 2-pt jump shot from 20 ft (assist by A. Horford),,14,5
1,5:34.0,,D. Augustin makes 3-pt jump shot from 25 ft (assist by E. Fournier),14,8
1,5:18.0,Turnover by A. Horford (traveling),,14,8
1,5:03.0,,D. Augustin misses 3-pt jump shot from 24 ft,14,8
1,5:02.0,,Offensive rebound by J. Isaac,14,8
1,5:02.0,,Shooting foul by M. Morris (drawn by J. Isaac),14,8
1,5:02.0,,J. Isaac makes free throw 1 of 2,14,9
1,5:02.0,,J. Isaac makes free throw 2 of 2,14,10
1,4:46.0,Personal foul by W. Iwundu (drawn by M. Smart),,14,10
1,4:46.0,,I. Briscoe enters the game for D. Augustin,14,10
1,4:32.0,M. Morris makes 2-pt jump shot from 9 ft,,16,10
1,4:13.0,,E. Fournier misses 3-pt jump shot from 26 ft,16,10
1,4:09.0,Defensive rebound by A. Horford,,16,10
1,4:05.0,M. Smart makes 2-pt layup from 2 ft,,18,10
1,3:47.0,,W. Iwundu misses 2-pt layup from 15 ft,18,10
1,3:47.0,Defensive rebound by A. Horford,,18,10
1,3:41.0,M. Morris misses 3-pt jump shot from 23 ft,,18,10
1,3:38.0,,Defensive rebound by N. Vučević,18,10
1,3:32.0,,J. Isaac misses 3-pt jump shot from 25 ft,18,10
1,3:30.0,Defensive rebound by A. Horford,,18,10
1,3:16.0,Shooting foul by I. Briscoe (drawn by G. Hayward),,18,10
1,3:16.0,G. Hayward misses free throw 1 of 2,,18,10
1,3:16.0,Offensive rebound by Team,,18,10
1,3:16.0,J. Brown enters the game for A. Horford,,18,10
1,3:16.0,T. Rozier enters the game for K. Irving,,18,10
1,3:16.0,R. Williams enters the game for M. Smart,,18,10
1,3:16.0,,T. Ross enters the game for E. Fournier,18,10
1,3:16.0,G. Hayward misses free throw 2 of 2,,18,10
1,3:14.0,,Defensive rebound by J. Isaac,18,10
1,2:59.0,,N. Vučević misses 2-pt layup from 5 ft,18,10
1,2:58.0,Defensive rebound by Team,,18,10
1,2:58.0,Boston full timeout,,18,10
1,2:58.0,,K. Birch enters the game for J. Isaac,18,10
1,2:58.0,,A. Gordon enters the game for N. Vučević,18,10
1,2:41.0,T. Rozier misses 3-pt jump shot from 24 ft,,18,10
1,2:38.0,,Defensive rebound by T. Ross,18,10
1,2:32.0,,T. Ross misses 2-pt jump shot from 19 ft,18,10
1,2:29.0,Defensive rebound by T. Rozier,,18,10
1,2:25.0,J. Brown misses 2-pt layup from 2 ft,,18,10
1,2:21.0,,Defensive rebound by W. Iwundu,18,10
1,2:03.0,,A. Gordon makes 2-pt jump shot from 12 ft,18,12
1,1:40.0,T. Rozier misses 2-pt jump shot from 22 ft,,18,12
1,1:37.0,,Defensive rebound by A. Gordon,18,12
1,1:32.0,,A. Gordon makes 2-pt layup from 3 ft,18,14
1,1:32.0,,Shooting foul by R. Williams (drawn by A. Gordon),18,14
1,1:32.0,J. Tatum enters the game for M. Morris,,18,14
1,1:32.0,,A. Gordon makes free throw 1 of 1,18,15
1,1:16.0,G. Hayward misses 3-pt jump shot from 26 ft,,18,15
1,1:16.0,,Defensive rebound by K. Birch,18,15
1,1:09.0,,Shooting foul by R. Williams (drawn by A. Gordon),18,15
1,1:09.0,,A. Gordon makes free throw 1 of 2,18,16
1,1:09.0,D. Theis enters the game for R. Williams,,18,16
1,1:09.0,,A. Gordon makes free throw 2 of 2,18,17
1,0:58.0,Shooting foul by W. Iwundu (drawn by J. Tatum),,18,17
1,0:58.0,J. Tatum misses free throw 1 of 2,,18,17
1,0:58.0,Offensive rebound by Team,,18,17
1,0:58.0,J. Tatum makes free throw 2 of 2,,19,17
1,0:50.0,,Personal foul by J. Tatum (drawn by A. Gordon),19,17
1,0:50.0,,A. Gordon makes free throw 1 of 2,19,18
1,0:50.0,,A. Gordon makes free throw 2 of 2,19,19
1,0:32.0,J. Tatum misses 2-pt hook shot from 10 ft,,19,19
1,0:29.0,,Defensive rebound by K. Birch,19,19
1,0:15.0,,Turnover by W. Iwundu (step out of bounds),19,19
1,0:04.0,G. Hayward misses 3-pt jump shot from 27 ft,,19,19
1,0:01.0,,Defensive rebound by A. Gordon,19,19
1,0:00.0,,A. Gordon misses 3-pt jump shot from 55 ft,19,19
1,0:00.0,,Offensive rebound by Team,19,19
2,11:48.0,,Personal foul by J. Brown (drawn by A. Gordon),19,19
2,11:35.0,,A. Gordon makes 2-pt jump shot from 13 ft,19,21
2,11:13.0,J. Brown misses 2-pt jump shot from 12 ft,,19,21
2,11:10.0,,Defensive rebound by K. Birch,19,21
2,10:58.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by E. Fournier),19,24
2,10:58.0,,Shooting foul by D. Theis (drawn by T. Ross),19,24
2,10:58.0,,T. Ross makes free throw 1 of 1,19,25
2,10:46.0,T. Rozier misses 2-pt jump shot from 12 ft,,19,25
2,10:43.0,,Defensive rebound by E. Fournier,19,25
2,10:36.0,,A. Gordon misses 2-pt layup from 3 ft,19,25
2,10:36.0,,Offensive rebound by K. Birch,19,25
2,10:36.0,,K. Birch makes 2-pt dunk from 1 ft,19,27
2,10:36.0,Boston full timeout,,19,27
2,10:21.0,J. Tatum makes 2-pt jump shot from 16 ft (assist by D. Theis),,21,27
2,9:59.0,,K. Birch makes 2-pt hook shot from 8 ft,21,29
2,9:49.0,G. Hayward misses 2-pt layup from 2 ft,,21,29
2,9:47.0,Offensive rebound by G. Hayward,,21,29
2,9:46.0,G. Hayward makes 2-pt layup from 3 ft,,23,29
2,9:34.0,,Turnover by A. Gordon (bad pass; steal by J. Tatum),23,29
2,9:33.0,,Violation by Team (kicked ball),23,29
2,9:27.0,D. Theis misses 3-pt jump shot from 25 ft,,23,29
2,9:22.0,,Defensive rebound by A. Gordon,23,29
2,9:14.0,,Turnover by A. Gordon (bad pass),23,29
2,9:00.0,D. Theis misses 2-pt layup from 2 ft (block by K. Birch),,23,29
2,8:57.0,,Defensive rebound by K. Birch,23,29
2,8:45.0,,I. Briscoe misses 2-pt layup from 2 ft,23,29
2,8:42.0,Defensive rebound by T. Rozier,,23,29
2,8:38.0,Shooting foul by K. Birch (drawn by G. Hayward),,23,29
2,8:38.0,G. Hayward misses free throw 1 of 2,,23,29
2,8:38.0,Offensive rebound by Team,,23,29
2,8:38.0,G. Hayward makes free throw 2 of 2,,24,29
2,8:21.0,,T. Ross misses 3-pt jump shot from 27 ft,24,29
2,8:17.0,Defensive rebound by J. Brown,,24,29
2,8:13.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by T. Rozier),,27,29
2,8:12.0,,Orlando full timeout,27,29
2,8:12.0,M. Smart enters the game for G. Hayward,,27,29
2,7:49.0,,Turnover by A. Gordon (traveling),27,29
2,7:31.0,M. Smart makes 3-pt jump shot from 26 ft (assist by T. Rozier),,30,29
2,7:16.0,,A. Gordon misses 2-pt layup from 4 ft,30,29
2,7:13.0,Defensive rebound by J. Tatum,,30,29
2,7:05.0,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Tatum),,33,29
2,6:48.0,,T. Ross misses 3-pt jump shot from 25 ft,33,29
2,6:45.0,Defensive rebound by D. Theis,,33,29
2,6:26.0,M. Smart misses 3-pt jump shot from 26 ft,,33,29
2,6:22.0,,Defensive rebound by K. Birch,33,29
2,6:17.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by I. Briscoe),33,32
2,6:01.0,J. Tatum misses 2-pt layup from 4 ft (block by K. Birch),,33,32
2,6:01.0,Offensive rebound by Team,,33,32
2,6:01.0,A. Horford enters the game for T. Rozier,,33,32
2,6:01.0,K. Irving enters the game for D. Theis,,33,32
2,6:01.0,,D. Augustin enters the game for K. Birch,33,32
2,6:01.0,,J. Isaac enters the game for I. Briscoe,33,32
2,6:01.0,,W. Iwundu enters the game for E. Fournier,33,32
2,6:01.0,,N. Vučević enters the game for A. Gordon,33,32
2,5:53.0,J. Tatum makes 2-pt layup from 2 ft,,35,32
2,5:35.0,,Turnover by T. Ross (bad pass; steal by A. Horford),35,32
2,5:28.0,J. Brown makes 3-pt jump shot from 23 ft (assist by A. Horford),,38,32
2,5:26.0,,Orlando full timeout,38,32
2,5:26.0,M. Morris enters the game for J. Tatum,,38,32
2,5:13.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by T. Ross),38,34
2,5:00.0,M. Smart makes 2-pt jump shot from 13 ft (assist by K. Irving),,40,34
2,4:44.0,,T. Ross misses 3-pt jump shot from 24 ft,40,34
2,4:41.0,Defensive rebound by A. Horford,,40,34
2,4:38.0,J. Brown makes 2-pt layup from 2 ft (assist by K. Irving),,42,34
2,4:17.0,,N. Vučević misses 2-pt hook shot from 10 ft,42,34
2,4:14.0,Defensive rebound by K. Irving,,42,34
2,4:06.0,K. Irving makes 2-pt jump shot from 16 ft,,44,34
2,3:54.0,,N. Vučević misses 3-pt jump shot from 26 ft,44,34
2,3:51.0,Defensive rebound by J. Brown,,44,34
2,3:39.0,Turnover by J. Brown (traveling),,44,34
2,3:39.0,,E. Fournier enters the game for W. Iwundu,44,34
2,3:30.0,,D. Augustin misses 3-pt jump shot from 25 ft,44,34
2,3:24.0,,Offensive rebound by N. Vučević,44,34
2,3:24.0,,N. Vučević makes 2-pt layup from 1 ft,44,36
2,3:10.0,A. Horford misses 2-pt jump shot from 12 ft,,44,36
2,3:07.0,,Defensive rebound by T. Ross,44,36
2,2:45.0,,D. Augustin misses 2-pt layup from 3 ft,44,36
2,2:40.0,,Offensive rebound by E. Fournier,44,36
2,2:40.0,,E. Fournier makes 2-pt layup from 1 ft,44,38
2,2:18.0,M. Morris makes 3-pt jump shot from 25 ft (assist by A. Horford),,47,38
2,1:56.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by N. Vučević),47,41
2,1:40.0,J. Brown misses 3-pt jump shot from 23 ft,,47,41
2,1:36.0,,Defensive rebound by N. Vučević,47,41
2,1:30.0,,N. Vučević misses 3-pt jump shot from 26 ft,47,41
2,1:27.0,Defensive rebound by M. Morris,,47,41
2,1:13.0,M. Morris makes 2-pt jump shot from 10 ft (assist by K. Irving),,49,41
2,0:57.0,,Turnover by D. Augustin (bad pass),49,41
2,0:57.0,J. Tatum enters the game for J. Brown,,49,41
2,0:38.0,A. Horford misses 2-pt hook shot from 7 ft,,49,41
2,0:38.0,Offensive rebound by Team,,49,41
2,0:38.0,,Loose ball foul by D. Augustin (drawn by J. Tatum),49,41
2,0:30.0,K. Irving makes 2-pt hook shot from 7 ft,,51,41
2,0:16.0,,T. Ross misses 3-pt jump shot from 26 ft,51,41
2,0:13.0,,Offensive rebound by J. Isaac,51,41
2,0:01.0,,J. Isaac misses 3-pt jump shot from 67 ft (block by K. Irving),51,41
2,0:00.0,Defensive rebound by J. Tatum,,51,41
3,11:43.0,,N. Vučević makes 2-pt jump shot from 21 ft (assist by E. Fournier),51,43
3,11:26.0,A. Horford makes 2-pt hook shot from 10 ft,,53,43
3,11:09.0,,Shooting foul by M. Morris (drawn by A. Gordon),53,43
3,11:09.0,,A. Gordon makes free throw 1 of 2,53,44
3,11:09.0,,A. Gordon makes free throw 2 of 2,53,45
3,10:55.0,Turnover by K. Irving (bad pass; steal by D. Augustin),,53,45
3,10:37.0,,N. Vučević misses 2-pt layup from 5 ft,53,45
3,10:34.0,Defensive rebound by A. Horford,,53,45
3,10:28.0,A. Horford misses 3-pt jump shot from 25 ft,,53,45
3,10:26.0,,Defensive rebound by A. Gordon,53,45
3,10:15.0,,Personal foul by J. Tatum (drawn by D. Augustin),53,45
3,10:07.0,,E. Fournier makes 2-pt jump shot from 14 ft (assist by N. Vučević),53,47
3,9:51.0,A. Horford makes 2-pt layup from 3 ft (assist by K. Irving),,55,47
3,9:30.0,,J. Isaac misses 2-pt jump shot from 18 ft,55,47
3,9:27.0,Defensive rebound by J. Tatum,,55,47
3,9:20.0,J. Tatum makes 2-pt jump shot from 11 ft,,57,47
3,9:00.0,,N. Vučević misses 3-pt jump shot from 25 ft,57,47
3,8:57.0,Defensive rebound by J. Tatum,,57,47
3,8:51.0,K. Irving misses 2-pt jump shot from 17 ft,,57,47
3,8:49.0,,Defensive rebound by N. Vučević,57,47
3,8:37.0,,E. Fournier makes 2-pt layup from 2 ft (assist by D. Augustin),57,49
3,8:24.0,A. Horford makes 2-pt jump shot from 18 ft (assist by K. Irving),,59,49
3,8:10.0,,J. Isaac misses 3-pt jump shot from 25 ft,59,49
3,8:07.0,Defensive rebound by A. Horford,,59,49
3,7:56.0,J. Tatum makes 2-pt jump shot from 13 ft,,61,49
3,7:49.0,,Orlando full timeout,61,49
3,7:36.0,,N. Vučević makes 2-pt hook shot from 12 ft (assist by A. Gordon),61,51
3,7:19.0,A. Horford misses 2-pt jump shot from 19 ft,,61,51
3,7:16.0,,Defensive rebound by J. Isaac,61,51
3,7:04.0,,E. Fournier makes 2-pt layup from 2 ft,61,53
3,6:56.0,Offensive foul by J. Tatum (drawn by D. Augustin),,61,53
3,6:56.0,Turnover by J. Tatum (offensive foul),,61,53
3,6:56.0,G. Hayward enters the game for J. Tatum,,61,53
3,6:43.0,,Turnover by A. Gordon (bad pass; steal by A. Horford),61,53
3,6:39.0,M. Morris makes 3-pt jump shot from 26 ft (assist by G. Hayward),,64,53
3,6:20.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by J. Isaac),64,55
3,6:08.0,A. Horford misses 3-pt jump shot from 25 ft,,64,55
3,6:05.0,,Defensive rebound by J. Isaac,64,55
3,5:52.0,,J. Isaac misses 2-pt layup from 3 ft,64,55
3,5:50.0,Defensive rebound by A. Horford,,64,55
3,5:43.0,K. Irving makes 2-pt jump shot from 17 ft,,66,55
3,5:22.0,,N. Vučević makes 2-pt hook shot from 8 ft,66,57
3,5:06.0,M. Morris misses 2-pt jump shot from 11 ft,,66,57
3,5:03.0,,Defensive rebound by A. Gordon,66,57
3,4:53.0,,Turnover by N. Vučević (lost ball; steal by K. Irving),66,57
3,4:46.0,A. Horford makes 2-pt layup from 2 ft (assist by G. Hayward),,68,57
3,4:30.0,,N. Vučević misses 3-pt jump shot from 26 ft,68,57
3,4:28.0,Defensive rebound by K. Irving,,68,57
3,4:23.0,K. Irving misses 3-pt jump shot from 26 ft,,68,57
3,4:23.0,,Defensive rebound by N. Vučević,68,57
3,4:20.0,Technical foul by K. Irving,,68,57
3,4:20.0,,D. Augustin makes technical free throw,68,58
3,4:20.0,,I. Briscoe enters the game for D. Augustin,68,58
3,4:20.0,,W. Iwundu enters the game for A. Gordon,68,58
3,4:12.0,,E. Fournier misses 2-pt jump shot from 20 ft,68,58
3,4:09.0,Defensive rebound by M. Morris,,68,58
3,3:58.0,G. Hayward makes 2-pt layup from 3 ft (assist by M. Morris),,70,58
3,3:36.0,,Shooting foul by A. Horford (drawn by N. Vučević),70,58
3,3:36.0,,N. Vučević misses free throw 1 of 2,70,58
3,3:36.0,,Offensive rebound by Team,70,58
3,3:36.0,J. Brown enters the game for M. Morris,,70,58
3,3:36.0,T. Rozier enters the game for M. Smart,,70,58
3,3:36.0,,T. Ross enters the game for E. Fournier,70,58
3,3:36.0,,N. Vučević makes free throw 2 of 2,70,59
3,3:17.0,Offensive foul by A. Horford (drawn by I. Briscoe),,70,59
3,3:17.0,Turnover by A. Horford (offensive foul),,70,59
3,2:53.0,,Turnover by N. Vučević (bad pass; steal by A. Horford),70,59
3,2:50.0,K. Irving misses 3-pt jump shot from 26 ft,,70,59
3,2:46.0,,Defensive rebound by N. Vučević,70,59
3,2:34.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by N. Vučević),70,61
3,2:29.0,Turnover by J. Brown (bad pass),,70,61
3,2:29.0,Boston full timeout,,70,61
3,2:29.0,D. Theis enters the game for A. Horford,,70,61
3,2:29.0,,K. Birch enters the game for J. Isaac,70,61
3,2:29.0,,A. Gordon enters the game for N. Vučević,70,61
3,2:12.0,,Shooting foul by J. Brown (drawn by A. Gordon),70,61
3,2:12.0,,A. Gordon makes free throw 1 of 2,70,62
3,2:12.0,,A. Gordon makes free throw 2 of 2,70,63
3,1:59.0,D. Theis makes 2-pt layup from 3 ft (assist by G. Hayward),,72,63
3,1:48.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),72,66
3,1:39.0,Personal foul by I. Briscoe (drawn by K. Irving),,72,66
3,1:39.0,M. Morris enters the game for K. Irving,,72,66
3,1:35.0,Personal foul by A. Gordon (drawn by M. Morris),,72,66
3,1:35.0,M. Morris makes free throw 1 of 2,,73,66
3,1:35.0,M. Morris makes free throw 2 of 2,,74,66
3,1:21.0,,Shooting foul by J. Brown (drawn by T. Ross),74,66
3,1:21.0,,T. Ross makes free throw 1 of 3,74,67
3,1:21.0,,T. Ross makes free throw 2 of 3,74,68
3,1:21.0,,T. Ross makes free throw 3 of 3,74,69
3,1:12.0,Personal foul by T. Ross (drawn by J. Brown),,74,69
3,1:12.0,J. Brown makes free throw 1 of 2,,75,69
3,1:12.0,J. Brown misses free throw 2 of 2,,75,69
3,1:08.0,Offensive rebound by J. Brown,,75,69
3,1:06.0,J. Brown makes 2-pt layup from 3 ft,,77,69
3,0:53.0,,T. Ross misses 3-pt jump shot from 26 ft,77,69
3,0:49.0,Defensive rebound by D. Theis,,77,69
3,0:34.0,M. Morris misses 2-pt layup from 4 ft,,77,69
3,0:31.0,Offensive rebound by D. Theis,,77,69
3,0:31.0,D. Theis misses 2-pt layup from 1 ft,,77,69
3,0:30.0,Offensive rebound by M. Morris,,77,69
3,0:17.0,M. Morris misses 3-pt jump shot from 26 ft,,77,69
3,0:17.0,,Defensive rebound by K. Birch,77,69
3,0:01.0,,T. Ross makes 3-pt jump shot from 26 ft,77,72
4,11:48.0,G. Hayward makes 2-pt layup from 3 ft,,79,72
4,11:48.0,Shooting foul by I. Briscoe (drawn by G. Hayward),,79,72
4,11:48.0,G. Hayward makes free throw 1 of 1,,80,72
4,11:28.0,,T. Ross makes 2-pt jump shot from 22 ft,80,74
4,11:12.0,G. Hayward misses 2-pt jump shot from 19 ft,,80,74
4,11:09.0,,Defensive rebound by K. Birch,80,74
4,11:04.0,,T. Ross misses 3-pt jump shot from 25 ft,80,74
4,11:00.0,Defensive rebound by M. Morris,,80,74
4,10:57.0,Personal foul by K. Birch (drawn by T. Rozier),,80,74
4,10:51.0,G. Hayward misses 2-pt layup from 4 ft (block by K. Birch),,80,74
4,10:47.0,,Defensive rebound by K. Birch,80,74
4,10:41.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by T. Ross),80,77
4,10:26.0,Personal foul by I. Briscoe (drawn by M. Morris),,80,77
4,10:14.0,D. Theis makes 2-pt jump shot from 11 ft,,82,77
4,10:03.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by I. Briscoe),82,80
4,9:49.0,T. Rozier misses 3-pt jump shot from 27 ft,,82,80
4,9:49.0,,Defensive rebound by A. Gordon,82,80
4,9:38.0,,A. Gordon misses 3-pt jump shot from 26 ft,82,80
4,9:33.0,Defensive rebound by G. Hayward,,82,80
4,9:20.0,M. Morris misses 2-pt layup from 2 ft,,82,80
4,9:18.0,,Defensive rebound by A. Gordon,82,80
4,9:17.0,,Personal foul by D. Theis (drawn by A. Gordon),82,80
4,9:17.0,M. Smart enters the game for G. Hayward,,82,80
4,9:03.0,,T. Ross misses 3-pt jump shot from 26 ft,82,80
4,9:01.0,,Offensive rebound by K. Birch,82,80
4,8:55.0,,T. Ross misses 2-pt jump shot from 13 ft,82,80
4,8:53.0,Defensive rebound by M. Morris,,82,80
4,8:46.0,T. Rozier misses 3-pt jump shot from 25 ft,,82,80
4,8:41.0,,Defensive rebound by A. Gordon,82,80
4,8:35.0,,E. Fournier misses 3-pt jump shot from 27 ft,82,80
4,8:32.0,Defensive rebound by T. Rozier,,82,80
4,8:29.0,Turnover by T. Rozier (bad pass; steal by T. Ross),,82,80
4,8:25.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Fournier),82,82
4,8:15.0,Boston full timeout,,82,82
4,8:15.0,J. Tatum enters the game for M. Morris,,82,82
4,8:08.0,D. Theis misses 3-pt jump shot from 25 ft,,82,82
4,8:05.0,,Defensive rebound by A. Gordon,82,82
4,7:48.0,,Shooting foul by J. Brown (drawn by A. Gordon),82,82
4,7:48.0,,A. Gordon makes free throw 1 of 2,82,83
4,7:48.0,K. Irving enters the game for T. Rozier,,82,83
4,7:48.0,,A. Gordon makes free throw 2 of 2,82,84
4,7:33.0,M. Smart misses 3-pt jump shot from 26 ft,,82,84
4,7:29.0,,Defensive rebound by I. Briscoe,82,84
4,7:27.0,,E. Fournier makes 2-pt layup from 1 ft (assist by I. Briscoe),82,86
4,7:06.0,J. Brown misses 2-pt layup from 4 ft (block by K. Birch),,82,86
4,7:04.0,Offensive rebound by J. Brown,,82,86
4,7:02.0,J. Brown makes 2-pt layup from 4 ft,,84,86
4,6:43.0,,E. Fournier misses 2-pt jump shot from 15 ft,84,86
4,6:40.0,Defensive rebound by M. Smart,,84,86
4,6:35.0,M. Smart misses 2-pt jump shot from 18 ft,,84,86
4,6:31.0,,Defensive rebound by T. Ross,84,86
4,6:24.0,,T. Ross makes 2-pt jump shot from 21 ft,84,88
4,6:12.0,K. Irving misses 2-pt jump shot from 18 ft,,84,88
4,6:09.0,,Defensive rebound by T. Ross,84,88
4,5:58.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by K. Birch),84,91
4,5:57.0,Boston full timeout,,84,91
4,5:57.0,G. Hayward enters the game for J. Brown,,84,91
4,5:57.0,A. Horford enters the game for D. Theis,,84,91
4,5:57.0,,D. Augustin enters the game for K. Birch,84,91
4,5:57.0,,N. Vučević enters the game for I. Briscoe,84,91
4,5:50.0,Shooting foul by E. Fournier (drawn by K. Irving),,84,91
4,5:50.0,K. Irving misses free throw 1 of 2,,84,91
4,5:50.0,Offensive rebound by Team,,84,91
4,5:50.0,K. Irving makes free throw 2 of 2,,85,91
4,5:38.0,,T. Ross misses 2-pt jump shot from 20 ft,85,91
4,5:36.0,,Offensive rebound by Team,85,91
4,5:30.0,,N. Vučević misses 2-pt hook shot from 11 ft,85,91
4,5:27.0,Defensive rebound by A. Horford,,85,91
4,5:08.0,J. Tatum makes 2-pt dunk from 1 ft,,87,91
4,4:42.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Fournier),87,93
4,4:31.0,Shooting foul by E. Fournier (drawn by K. Irving),,87,93
4,4:31.0,K. Irving makes free throw 1 of 3,,88,93
4,4:31.0,K. Irving makes free throw 2 of 3,,89,93
4,4:31.0,K. Irving misses free throw 3 of 3,,89,93
4,4:29.0,,Defensive rebound by N. Vučević,89,93
4,4:11.0,,E. Fournier makes 2-pt jump shot from 19 ft,89,95
4,4:01.0,K. Irving makes 2-pt jump shot from 11 ft,,91,95
4,3:45.0,,T. Ross misses 3-pt jump shot from 28 ft,91,95
4,3:42.0,,Offensive rebound by N. Vučević,91,95
4,3:39.0,,N. Vučević misses 2-pt hook shot from 7 ft (block by A. Horford),91,95
4,3:39.0,Defensive rebound by M. Smart,,91,95
4,3:34.0,K. Irving misses 3-pt jump shot from 26 ft,,91,95
4,3:31.0,,Defensive rebound by A. Gordon,91,95
4,3:16.0,,T. Ross makes 2-pt jump shot from 18 ft (assist by A. Gordon),91,97
4,2:57.0,J. Tatum misses 3-pt jump shot from 25 ft,,91,97
4,2:53.0,,Defensive rebound by N. Vučević,91,97
4,2:38.0,,T. Ross misses 3-pt jump shot from 25 ft,91,97
4,2:34.0,,Offensive rebound by A. Gordon,91,97
4,2:31.0,,D. Augustin makes 3-pt jump shot from 25 ft (assist by N. Vučević),91,100
4,2:06.0,K. Irving makes 2-pt layup from 3 ft,,93,100
