QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
2,8:08.0,,Shooting foul by D. Šarić (drawn by I. Briscoe),39,40
2,8:08.0,K. Towns enters the game for G. Dieng,,39,40
2,8:08.0,,I. Briscoe makes free throw 1 of 1,39,41
2,7:57.0,D. Šarić misses 3-pt jump shot from 26 ft,,39,41
2,7:55.0,,Defensive rebound by I. Briscoe,39,41
2,7:47.0,,A. Gordon makes 2-pt jump shot from 6 ft,39,43
2,7:39.0,K. Towns makes 3-pt jump shot from 26 ft (assist by I. Canaan),,42,43
2,7:18.0,,E. Fournier makes 2-pt layup from 1 ft,42,45
2,7:12.0,Personal foul by E. Fournier (drawn by J. Okogie),,42,45
2,7:12.0,J. Bayless enters the game for I. Canaan,,42,45
2,7:12.0,,J. Isaac enters the game for E. Fournier,42,45
2,7:12.0,,W. Iwundu enters the game for A. Gordon,42,45
2,7:06.0,J. Bayless misses 2-pt jump shot from 15 ft,,42,45
2,7:02.0,,Defensive rebound by I. Briscoe,42,45
2,6:56.0,,T. Ross misses 2-pt jump shot from 13 ft,42,45
2,6:54.0,Defensive rebound by D. Šarić,,42,45
2,6:41.0,D. Šarić makes 2-pt layup from 1 ft (assist by K. Towns),,44,45
2,6:28.0,,J. Isaac makes 2-pt jump shot from 17 ft,44,47
2,6:04.0,A. Tolliver misses 2-pt hook shot from 6 ft,,44,47
2,6:02.0,,Defensive rebound by K. Birch,44,47
2,5:58.0,,I. Briscoe makes 2-pt layup from 1 ft,44,49
2,5:52.0,Minnesota full timeout,,44,49
2,5:52.0,T. Gibson enters the game for D. Šarić,,44,49
2,5:52.0,,D. Augustin enters the game for K. Birch,44,49
2,5:52.0,,N. Vučević enters the game for I. Briscoe,44,49
2,5:37.0,K. Towns misses 2-pt hook shot from 4 ft,,44,49
2,5:35.0,Offensive rebound by T. Gibson,,44,49
2,5:34.0,T. Gibson makes 2-pt layup from 2 ft,,46,49
2,5:16.0,,Turnover by J. Isaac (bad pass; steal by J. Okogie),46,49
2,5:12.0,J. Okogie misses 2-pt layup from 1 ft (block by J. Isaac),,46,49
2,5:12.0,Offensive rebound by T. Gibson,,46,49
2,5:12.0,Shooting foul by W. Iwundu (drawn by T. Gibson),,46,49
2,5:12.0,T. Gibson makes free throw 1 of 2,,47,49
2,5:12.0,A. Wiggins enters the game for A. Tolliver,,47,49
2,5:12.0,T. Gibson makes free throw 2 of 2,,48,49
2,4:54.0,,T. Ross makes 3-pt jump shot from 25 ft,48,52
2,4:34.0,K. Towns makes 2-pt hook shot from 3 ft,,50,52
2,4:20.0,,Turnover by D. Augustin (lost ball; steal by J. Bayless),50,52
2,4:14.0,A. Wiggins misses 2-pt jump shot from 12 ft,,50,52
2,4:10.0,,Defensive rebound by N. Vučević,50,52
2,4:04.0,,T. Ross makes 3-pt jump shot from 26 ft,50,55
2,3:43.0,J. Bayless misses 3-pt jump shot from 24 ft,,50,55
2,3:40.0,,Defensive rebound by N. Vučević,50,55
2,3:31.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by D. Augustin),50,58
2,3:24.0,Minnesota full timeout,,50,58
2,3:24.0,,E. Fournier enters the game for W. Iwundu,50,58
2,3:20.0,K. Towns makes 2-pt dunk from 3 ft (assist by J. Bayless),,52,58
2,3:05.0,,T. Ross makes 2-pt dunk from 2 ft (assist by N. Vučević),52,60
2,2:47.0,J. Bayless misses 3-pt jump shot from 24 ft,,52,60
2,2:44.0,Offensive rebound by J. Okogie,,52,60
2,2:43.0,J. Okogie misses 2-pt layup from 3 ft,,52,60
2,2:42.0,Offensive rebound by Team,,52,60
2,2:32.0,J. Okogie misses 2-pt jump shot from 10 ft,,52,60
2,2:29.0,,Defensive rebound by T. Ross,52,60
2,2:19.0,,E. Fournier misses 2-pt hook shot from 3 ft,52,60
2,2:17.0,,Offensive rebound by N. Vučević,52,60
2,2:16.0,,N. Vučević makes 2-pt hook shot from 9 ft,52,62
2,1:55.0,K. Towns makes 2-pt dunk from 3 ft (assist by A. Wiggins),,54,62
2,1:41.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by D. Augustin),54,64
2,1:26.0,K. Towns makes 2-pt jump shot from 16 ft,,56,64
2,1:14.0,,E. Fournier makes 2-pt jump shot from 11 ft (assist by D. Augustin),56,66
2,1:00.0,A. Wiggins misses 2-pt jump shot from 19 ft,,56,66
2,0:58.0,,Defensive rebound by D. Augustin,56,66
2,0:47.0,,N. Vučević makes 2-pt layup from 1 ft (assist by E. Fournier),56,68
2,0:34.0,T. Gibson misses 2-pt layup from 1 ft,,56,68
2,0:32.0,,Defensive rebound by T. Ross,56,68
2,0:29.0,,Turnover by T. Ross (bad pass; steal by A. Wiggins),56,68
2,0:26.0,Shooting foul by E. Fournier (drawn by T. Gibson),,56,68
2,0:26.0,T. Gibson makes free throw 1 of 2,,57,68
2,0:26.0,T. Gibson makes free throw 2 of 2,,58,68
2,0:06.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),58,71
2,0:01.0,J. Bayless misses 3-pt jump shot from 26 ft,,58,71
2,0:01.0,,Defensive rebound by J. Isaac,58,71
3,11:38.0,J. Bayless misses 3-pt jump shot from 26 ft,,58,71
3,11:35.0,Offensive rebound by A. Wiggins,,58,71
3,11:24.0,T. Gibson makes 2-pt jump shot from 16 ft,,60,71
3,11:06.0,,D. Augustin misses 3-pt jump shot from 25 ft,60,71
3,11:05.0,,Offensive rebound by J. Isaac,60,71
3,11:04.0,,J. Isaac makes 2-pt layup from 2 ft,60,73
3,10:45.0,A. Wiggins misses 2-pt jump shot from 15 ft,,60,73
3,10:42.0,,Defensive rebound by A. Gordon,60,73
3,10:32.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),60,75
3,10:31.0,Minnesota full timeout,,60,75
3,10:23.0,T. Gibson misses 2-pt layup from 3 ft (block by N. Vučević),,60,75
3,10:19.0,,Defensive rebound by N. Vučević,60,75
3,10:00.0,,J. Isaac misses 2-pt jump shot from 12 ft (block by A. Wiggins),60,75
3,10:00.0,Defensive rebound by Team,,60,75
3,9:57.0,Turnover by J. Okogie (bad pass),,60,75
3,9:37.0,,Turnover by A. Gordon (lost ball; steal by J. Okogie),60,75
3,9:22.0,J. Okogie makes 2-pt layup from 1 ft (assist by K. Towns),,62,75
3,9:05.0,,A. Gordon makes 2-pt layup from 1 ft,62,77
3,8:49.0,A. Wiggins misses 2-pt jump shot from 13 ft,,62,77
3,8:47.0,Offensive rebound by K. Towns,,62,77
3,8:45.0,K. Towns makes 2-pt layup from 2 ft,,64,77
3,8:24.0,,J. Isaac makes 3-pt jump shot from 25 ft (assist by D. Augustin),64,80
3,8:11.0,Shooting foul by J. Isaac (drawn by A. Wiggins),,64,80
3,8:11.0,A. Wiggins makes free throw 1 of 2,,65,80
3,8:11.0,A. Wiggins makes free throw 2 of 2,,66,80
3,7:57.0,,Turnover by E. Fournier (bad pass),66,80
3,7:43.0,A. Wiggins misses 2-pt layup from 1 ft,,66,80
3,7:41.0,Offensive rebound by T. Gibson,,66,80
3,7:34.0,J. Okogie makes 2-pt layup from 2 ft,,68,80
3,7:34.0,,Orlando full timeout,68,80
3,7:17.0,,Shooting foul by T. Gibson (drawn by A. Gordon),68,80
3,7:17.0,,A. Gordon makes free throw 1 of 3,68,81
3,7:17.0,,A. Gordon makes free throw 2 of 3,68,82
3,7:17.0,,A. Gordon makes free throw 3 of 3,68,83
3,7:09.0,A. Wiggins makes 2-pt jump shot from 18 ft,,70,83
3,6:56.0,,A. Gordon misses 3-pt jump shot from 25 ft,70,83
3,6:55.0,Defensive rebound by A. Wiggins,,70,83
3,6:47.0,A. Wiggins makes 2-pt layup from 1 ft,,72,83
3,6:21.0,,Shooting foul by J. Okogie (drawn by N. Vučević),72,83
3,6:21.0,,N. Vučević makes free throw 1 of 2,72,84
3,6:21.0,,N. Vučević makes free throw 2 of 2,72,85
3,6:08.0,A. Wiggins makes 2-pt hook shot from 7 ft,,74,85
3,5:47.0,,N. Vučević makes 2-pt jump shot from 11 ft,74,87
3,5:33.0,A. Wiggins misses 2-pt jump shot from 5 ft,,74,87
3,5:31.0,Offensive rebound by A. Wiggins,,74,87
3,5:29.0,Turnover by K. Towns (bad pass),,74,87
3,5:29.0,D. Šarić enters the game for T. Gibson,,74,87
3,5:29.0,,W. Iwundu enters the game for J. Isaac,74,87
3,5:18.0,,Shooting foul by J. Okogie (drawn by D. Augustin),74,87
3,5:18.0,,D. Augustin makes free throw 1 of 2,74,88
3,5:18.0,L. Deng enters the game for J. Okogie,,74,88
3,5:18.0,,D. Augustin makes free throw 2 of 2,74,89
3,5:04.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by K. Towns),,76,89
3,4:45.0,,N. Vučević misses 2-pt jump shot from 15 ft,76,89
3,4:43.0,Defensive rebound by K. Towns,,76,89
3,4:35.0,Personal foul by E. Fournier (drawn by A. Wiggins),,76,89
3,4:35.0,,I. Briscoe enters the game for D. Augustin,76,89
3,4:28.0,K. Towns makes 2-pt jump shot from 18 ft (assist by A. Wiggins),,78,89
3,4:13.0,,E. Fournier misses 2-pt layup from 4 ft,78,89
3,4:09.0,,Offensive rebound by N. Vučević,78,89
3,4:09.0,,N. Vučević misses 2-pt layup from 1 ft,78,89
3,4:07.0,Defensive rebound by K. Towns,,78,89
3,3:56.0,D. Šarić misses 2-pt layup from 2 ft,,78,89
3,3:53.0,,Defensive rebound by N. Vučević,78,89
3,3:48.0,,E. Fournier misses 3-pt jump shot from 22 ft,78,89
3,3:46.0,Defensive rebound by A. Wiggins,,78,89
3,3:36.0,K. Towns misses 2-pt jump shot from 22 ft,,78,89
3,3:33.0,,Defensive rebound by A. Gordon,78,89
3,3:18.0,,Shooting foul by K. Towns (drawn by A. Gordon),78,89
3,3:18.0,Technical foul by K. Towns,,78,89
3,3:18.0,,E. Fournier makes technical free throw,78,90
3,3:18.0,,A. Gordon makes free throw 1 of 2,78,91
3,3:18.0,I. Canaan enters the game for J. Bayless,,78,91
3,3:18.0,G. Dieng enters the game for K. Towns,,78,91
3,3:18.0,A. Tolliver enters the game for A. Wiggins,,78,91
3,3:18.0,,T. Ross enters the game for E. Fournier,78,91
3,3:18.0,,A. Gordon makes free throw 2 of 2,78,92
3,3:00.0,L. Deng misses 2-pt jump shot from 11 ft,,78,92
3,2:57.0,,Defensive rebound by T. Ross,78,92
3,2:45.0,,A. Gordon makes 2-pt layup from 2 ft,78,94
3,2:32.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by I. Canaan),,81,94
3,2:14.0,,Shooting foul by A. Tolliver (drawn by W. Iwundu),81,94
3,2:14.0,,W. Iwundu makes free throw 1 of 2,81,95
3,2:14.0,,K. Birch enters the game for N. Vučević,81,95
3,2:14.0,,W. Iwundu misses free throw 2 of 2,81,95
3,2:12.0,Defensive rebound by G. Dieng,,81,95
3,2:02.0,Personal foul by W. Iwundu (drawn by D. Šarić),,81,95
3,1:57.0,I. Canaan misses 2-pt jump shot from 8 ft,,81,95
3,1:54.0,,Defensive rebound by A. Gordon,81,95
3,1:46.0,,Personal foul by D. Šarić (drawn by A. Gordon),81,95
3,1:46.0,,A. Gordon makes free throw 1 of 2,81,96
3,1:46.0,,A. Gordon makes free throw 2 of 2,81,97
3,1:31.0,G. Dieng makes 2-pt dunk from 1 ft (assist by D. Šarić),,83,97
3,1:20.0,,T. Ross misses 3-pt jump shot from 26 ft,83,97
3,1:20.0,Defensive rebound by D. Šarić,,83,97
3,1:03.0,Turnover by L. Deng (bad pass; steal by I. Briscoe),,83,97
3,1:03.0,,Turnover by I. Briscoe (step out of bounds),83,97
3,0:51.0,G. Dieng makes 2-pt jump shot from 11 ft,,85,97
3,0:36.0,,T. Ross makes 2-pt jump shot from 18 ft,85,99
3,0:27.0,Turnover by A. Tolliver (step out of bounds),,85,99
3,0:03.0,,W. Iwundu makes 3-pt jump shot from 26 ft (assist by I. Briscoe),85,102
3,0:00.0,I. Canaan misses 3-pt jump shot from 27 ft,,85,102
3,0:00.0,Offensive rebound by Team,,85,102
4,11:42.0,,T. Ross makes 3-pt jump shot from 23 ft (assist by A. Gordon),85,105
4,11:26.0,D. Šarić misses 3-pt jump shot from 26 ft,,85,105
4,11:23.0,,Defensive rebound by T. Ross,85,105
4,11:17.0,,T. Ross misses 3-pt jump shot from 25 ft,85,105
4,11:14.0,Defensive rebound by D. Šarić,,85,105
4,11:05.0,A. Wiggins misses 2-pt jump shot from 16 ft (block by W. Iwundu),,85,105
4,11:05.0,Offensive rebound by Team,,85,105
4,11:02.0,I. Canaan makes 3-pt jump shot from 22 ft (assist by L. Deng),,88,105
4,10:45.0,,T. Ross misses 2-pt jump shot from 19 ft (block by L. Deng),88,105
4,10:42.0,,Offensive rebound by K. Birch,88,105
4,10:40.0,,W. Iwundu misses 3-pt jump shot from 23 ft,88,105
4,10:38.0,Defensive rebound by K. Towns,,88,105
4,10:30.0,L. Deng makes 3-pt jump shot from 23 ft (assist by K. Towns),,91,105
4,10:10.0,,T. Ross makes 2-pt jump shot from 15 ft (assist by A. Gordon),91,107
4,9:46.0,D. Šarić makes 3-pt jump shot from 23 ft (assist by L. Deng),,94,107
4,9:44.0,Violation by Team (delay of game),,94,107
4,9:40.0,,T. Ross misses 3-pt jump shot from 26 ft,94,107
4,9:38.0,,Offensive rebound by W. Iwundu,94,107
4,9:33.0,,W. Iwundu makes 2-pt dunk from 2 ft (assist by A. Gordon),94,109
4,9:33.0,,Shooting foul by D. Šarić (drawn by W. Iwundu),94,109
4,9:33.0,,J. Isaac enters the game for A. Gordon,94,109
4,9:33.0,,W. Iwundu misses free throw 1 of 1,94,109
4,9:30.0,,Offensive rebound by K. Birch,94,109
4,9:28.0,,T. Ross misses 3-pt jump shot from 27 ft,94,109
4,9:24.0,,Offensive rebound by J. Isaac,94,109
4,9:17.0,,Turnover by W. Iwundu (traveling),94,109
4,9:17.0,,E. Fournier enters the game for W. Iwundu,94,109
4,9:10.0,A. Wiggins misses 2-pt jump shot from 8 ft,,94,109
4,9:05.0,,Defensive rebound by K. Birch,94,109
4,9:04.0,,Turnover by K. Birch (bad pass; steal by A. Wiggins),94,109
4,9:01.0,A. Wiggins misses 2-pt layup from 3 ft (block by J. Isaac),,94,109
4,8:58.0,Offensive rebound by A. Wiggins,,94,109
4,8:57.0,A. Wiggins makes 2-pt layup from 1 ft,,96,109
4,8:47.0,,Personal foul by D. Šarić (drawn by J. Isaac),96,109
4,8:30.0,,E. Fournier makes 2-pt jump shot from 20 ft (assist by K. Birch),96,111
4,8:12.0,Turnover by I. Canaan (bad pass),,96,111
4,8:12.0,A. Tolliver enters the game for D. Šarić,,96,111
4,8:02.0,,T. Ross misses 2-pt jump shot from 14 ft,96,111
4,8:01.0,Defensive rebound by Team,,96,111
4,8:01.0,Minnesota full timeout,,96,111
4,8:01.0,J. Bayless enters the game for I. Canaan,,96,111
4,8:01.0,J. Okogie enters the game for L. Deng,,96,111
4,7:53.0,J. Okogie misses 2-pt jump shot from 18 ft,,96,111
4,7:52.0,Offensive rebound by Team,,96,111
4,7:52.0,,Loose ball foul by E. Fournier (drawn by K. Towns),96,111
4,7:45.0,A. Wiggins misses 2-pt jump shot from 15 ft,,96,111
4,7:41.0,Offensive rebound by A. Wiggins,,96,111
4,7:41.0,Personal foul by K. Birch (drawn by A. Wiggins),,96,111
4,7:33.0,Personal foul by K. Birch (drawn by K. Towns),,96,111
4,7:23.0,J. Okogie misses 3-pt jump shot from 25 ft,,96,111
4,7:20.0,,Defensive rebound by J. Isaac,96,111
4,7:05.0,,J. Isaac misses 2-pt jump shot from 22 ft,96,111
4,7:03.0,Defensive rebound by J. Bayless,,96,111
4,6:51.0,A. Wiggins misses 3-pt jump shot from 26 ft,,96,111
4,6:49.0,Offensive rebound by K. Towns,,96,111
4,6:41.0,J. Okogie makes 2-pt jump shot from 4 ft,,98,111
4,6:27.0,,Personal foul by J. Bayless (drawn by K. Birch),98,111
4,6:27.0,I. Canaan enters the game for J. Bayless,,98,111
4,6:27.0,,D. Augustin enters the game for K. Birch,98,111
4,6:27.0,,N. Vučević enters the game for I. Briscoe,98,111
4,6:12.0,,N. Vučević makes 2-pt hook shot from 18 ft,98,113
4,5:58.0,Offensive foul by K. Towns (drawn by N. Vučević),,98,113
4,5:58.0,Turnover by K. Towns (offensive foul),,98,113
4,5:44.0,,T. Ross makes 2-pt jump shot from 18 ft (assist by J. Isaac),98,115
4,5:26.0,I. Canaan makes 3-pt jump shot from 27 ft,,101,115
4,5:10.0,,Shooting foul by A. Tolliver (drawn by J. Isaac),101,115
4,5:10.0,,J. Isaac makes free throw 1 of 2,101,116
4,5:10.0,,J. Isaac makes free throw 2 of 2,101,117
4,4:57.0,K. Towns makes 2-pt layup from 3 ft (assist by I. Canaan),,103,117
4,4:42.0,,Turnover by N. Vučević (3 sec),103,117
4,4:31.0,I. Canaan misses 3-pt jump shot from 25 ft,,103,117
4,4:28.0,,Defensive rebound by T. Ross,103,117
4,4:20.0,,E. Fournier misses 3-pt jump shot from 24 ft,103,117
4,4:18.0,Defensive rebound by K. Towns,,103,117
4,4:00.0,A. Tolliver misses 3-pt jump shot from 26 ft,,103,117
4,3:57.0,,Defensive rebound by N. Vučević,103,117
4,3:50.0,,Orlando full timeout,103,117
4,3:50.0,D. Šarić enters the game for J. Okogie,,103,117
4,3:50.0,,A. Gordon enters the game for J. Isaac,103,117
4,3:43.0,,A. Gordon misses 2-pt jump shot from 23 ft,103,117
4,3:39.0,Defensive rebound by K. Towns,,103,117
4,3:31.0,Turnover by A. Wiggins (bad pass; steal by D. Augustin),,103,117
4,3:22.0,,T. Ross misses 3-pt jump shot from 26 ft,103,117
4,3:19.0,Defensive rebound by K. Towns,,103,117
4,3:09.0,A. Wiggins makes 2-pt layup from 3 ft,,105,117
4,2:48.0,,A. Gordon misses 3-pt jump shot from 23 ft,105,117
4,2:46.0,Defensive rebound by D. Šarić,,105,117
4,2:39.0,K. Towns makes 2-pt hook shot from 7 ft (assist by I. Canaan),,107,117
4,2:39.0,Shooting foul by A. Gordon (drawn by K. Towns),,107,117
4,2:39.0,K. Towns makes free throw 1 of 1,,108,117
4,2:24.0,,Turnover by D. Augustin (bad pass),108,117
4,2:19.0,A. Wiggins misses 2-pt layup from 2 ft (block by N. Vučević),,108,117
4,2:16.0,,Defensive rebound by N. Vučević,108,117
4,2:08.0,,Turnover by E. Fournier (lost ball; steal by A. Wiggins),108,117
